#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
2177,流沙河6-1,10001,桤木西,流沙河6-1,流沙河6-1,,主线,1,,,流沙河6-1#lime（已完成),与%s对话,
2179,流沙河6-4,10001,桤木西,流沙河6-4,流沙河6-4,,主线,1,,,流沙河6-4#lime（已完成),与%s对话,
2181,流沙河6-7,10001,桤木西,流沙河6-7,流沙河6-7,,主线,1,,,流沙河6-7#lime（已完成),与%s对话,
2183,流沙河6-10,10001,桤木西,流沙河6-10,流沙河6-10,,主线,1,,,流沙河6-10#lime（已完成),与%s对话,
2185,流沙河7-1,10001,桤木西,流沙河7-1,流沙河7-1,,主线,1,,,流沙河7-1#lime（已完成),与%s对话,
2187,流沙河7-4,10001,桤木西,流沙河7-4,流沙河7-4,,主线,1,,,流沙河7-4#lime（已完成),与%s对话,
2189,流沙河7-7,10001,桤木西,流沙河7-7,流沙河7-7,,主线,1,,,流沙河7-7#lime（已完成),与%s对话,
2191,流沙河7-10,10001,桤木西,流沙河7-10,流沙河7-10,,主线,1,,,流沙河7-10#lime（已完成),与%s对话,
2193,流沙河8-1,10001,桤木西,流沙河8-1,流沙河8-1,,主线,1,,,流沙河8-1#lime（已完成),与%s对话,
2195,流沙河8-4,10001,桤木西,流沙河8-4,流沙河8-4,,主线,1,,,流沙河8-4#lime（已完成),与%s对话,
2197,流沙河8-7,10001,桤木西,流沙河8-7,流沙河8-7,,主线,1,,,流沙河8-7#lime（已完成),与%s对话,
2199,流沙河8-10,10001,桤木西,流沙河8-10,流沙河8-10,,主线,1,,,流沙河8-10#lime（已完成),与%s对话,
2201,前往五庄观,10001,桤木西,前往五庄观,前往五庄观,,主线,1,,,前往五庄观#lime（已完成),与%s对话,
2203,五庄观1-1,10001,桤木西,五庄观1-1,五庄观1-1,,主线,1,,,五庄观1-1#lime（已完成),与%s对话,
2205,五庄观1-4,10001,桤木西,五庄观1-4,五庄观1-4,,主线,1,,,五庄观1-4#lime（已完成),与%s对话,
2207,五庄观1-7,10001,桤木西,五庄观1-7,五庄观1-7,,主线,1,,,五庄观1-7#lime（已完成),与%s对话,
2209,五庄观1-10,10001,桤木西,五庄观1-10,五庄观1-10,,主线,1,,,五庄观1-10#lime（已完成),与%s对话,
2211,五庄观2-1,10001,桤木西,五庄观2-1,五庄观2-1,,主线,1,,,五庄观2-1#lime（已完成),与%s对话,
2213,五庄观2-4,10001,桤木西,五庄观2-4,五庄观2-4,,主线,1,,,五庄观2-4#lime（已完成),与%s对话,
2215,五庄观2-7,10001,桤木西,五庄观2-7,五庄观2-7,,主线,1,,,五庄观2-7#lime（已完成),与%s对话,
2217,五庄观2-10,10001,桤木西,五庄观2-10,五庄观2-10,,主线,1,,,五庄观2-10#lime（已完成),与%s对话,
2219,五庄观3-1,10001,桤木西,五庄观3-1,五庄观3-1,,主线,1,,,五庄观3-1#lime（已完成),与%s对话,
2221,五庄观3-4,10001,桤木西,五庄观3-4,五庄观3-4,,主线,1,,,五庄观3-4#lime（已完成),与%s对话,
2223,五庄观3-7,10001,桤木西,五庄观3-7,五庄观3-7,,主线,1,,,五庄观3-7#lime（已完成),与%s对话,
2225,五庄观3-10,10001,桤木西,五庄观3-10,五庄观3-10,,主线,1,,,五庄观3-10#lime（已完成),与%s对话,
2227,五庄观4-1,10001,桤木西,五庄观4-1,五庄观4-1,,主线,1,,,五庄观4-1#lime（已完成),与%s对话,
2229,五庄观4-4,10001,桤木西,五庄观4-4,五庄观4-4,,主线,1,,,五庄观4-4#lime（已完成),与%s对话,
2231,五庄观4-7,10001,桤木西,五庄观4-7,五庄观4-7,,主线,1,,,五庄观4-7#lime（已完成),与%s对话,
2233,五庄观4-10,10001,桤木西,五庄观4-10,五庄观4-10,,主线,1,,,五庄观4-10#lime（已完成),与%s对话,
2235,五庄观5-1,10001,桤木西,五庄观5-1,五庄观5-1,,主线,1,,,五庄观5-1#lime（已完成),与%s对话,
2237,五庄观5-4,10001,桤木西,五庄观5-4,五庄观5-4,,主线,1,,,五庄观5-4#lime（已完成),与%s对话,
2239,五庄观5-7,10001,桤木西,五庄观5-7,五庄观5-7,,主线,1,,,五庄观5-7#lime（已完成),与%s对话,
2241,五庄观5-10,10001,桤木西,五庄观5-10,五庄观5-10,,主线,1,,,五庄观5-10#lime（已完成),与%s对话,
2243,五庄观6-1,10001,桤木西,五庄观6-1,五庄观6-1,,主线,1,,,五庄观6-1#lime（已完成),与%s对话,
2245,五庄观6-4,10001,桤木西,五庄观6-4,五庄观6-4,,主线,1,,,五庄观6-4#lime（已完成),与%s对话,
2247,五庄观6-7,10001,桤木西,五庄观6-7,五庄观6-7,,主线,1,,,五庄观6-7#lime（已完成),与%s对话,
2249,五庄观6-10,10001,桤木西,五庄观6-10,五庄观6-10,,主线,1,,,五庄观6-10#lime（已完成),与%s对话,
2251,五庄观7-1,10001,桤木西,五庄观7-1,五庄观7-1,,主线,1,,,五庄观7-1#lime（已完成),与%s对话,
2253,五庄观7-4,10001,桤木西,五庄观7-4,五庄观7-4,,主线,1,,,五庄观7-4#lime（已完成),与%s对话,
2255,五庄观7-7,10001,桤木西,五庄观7-7,五庄观7-7,,主线,1,,,五庄观7-7#lime（已完成),与%s对话,
2257,五庄观7-10,10001,桤木西,五庄观7-10,五庄观7-10,,主线,1,,,五庄观7-10#lime（已完成),与%s对话,
2259,五庄观8-1,10001,桤木西,五庄观8-1,五庄观8-1,,主线,1,,,五庄观8-1#lime（已完成),与%s对话,
2261,五庄观8-4,10001,桤木西,五庄观8-4,五庄观8-4,,主线,1,,,五庄观8-4#lime（已完成),与%s对话,
2263,五庄观8-7,10001,桤木西,五庄观8-7,五庄观8-7,,主线,1,,,五庄观8-7#lime（已完成),与%s对话,
2265,五庄观8-10,10001,桤木西,五庄观8-10,五庄观8-10,,主线,1,,,五庄观8-10#lime（已完成),与%s对话,
2267,前往花果山,10001,桤木西,前往花果山,前往花果山,,主线,1,,,前往花果山#lime（已完成),与%s对话,
2269,花果山1-1,10001,桤木西,花果山1-1,花果山1-1,,主线,1,,,花果山1-1#lime（已完成),与%s对话,
2271,花果山1-4,10001,桤木西,花果山1-4,花果山1-4,,主线,1,,,花果山1-4#lime（已完成),与%s对话,
2273,花果山1-7,10001,桤木西,花果山1-7,花果山1-7,,主线,1,,,花果山1-7#lime（已完成),与%s对话,
2275,花果山1-10,10001,桤木西,花果山1-10,花果山1-10,,主线,1,,,花果山1-10#lime（已完成),与%s对话,
2277,花果山2-1,10001,桤木西,花果山2-1,花果山2-1,,主线,1,,,花果山2-1#lime（已完成),与%s对话,
2279,花果山2-4,10001,桤木西,花果山2-4,花果山2-4,,主线,1,,,花果山2-4#lime（已完成),与%s对话,
2281,花果山2-7,10001,桤木西,花果山2-7,花果山2-7,,主线,1,,,花果山2-7#lime（已完成),与%s对话,
2283,花果山2-10,10001,桤木西,花果山2-10,花果山2-10,,主线,1,,,花果山2-10#lime（已完成),与%s对话,
2285,花果山3-1,10001,桤木西,花果山3-1,花果山3-1,,主线,1,,,花果山3-1#lime（已完成),与%s对话,
2287,花果山3-4,10001,桤木西,花果山3-4,花果山3-4,,主线,1,,,花果山3-4#lime（已完成),与%s对话,
2289,花果山3-7,10001,桤木西,花果山3-7,花果山3-7,,主线,1,,,花果山3-7#lime（已完成),与%s对话,
2291,花果山3-10,10001,桤木西,花果山3-10,花果山3-10,,主线,1,,,花果山3-10#lime（已完成),与%s对话,
2293,花果山4-1,10001,桤木西,花果山4-1,花果山4-1,,主线,1,,,花果山4-1#lime（已完成),与%s对话,
2295,花果山4-4,10001,桤木西,花果山4-4,花果山4-4,,主线,1,,,花果山4-4#lime（已完成),与%s对话,
2297,花果山4-7,10001,桤木西,花果山4-7,花果山4-7,,主线,1,,,花果山4-7#lime（已完成),与%s对话,
2299,花果山4-10,10001,桤木西,花果山4-10,花果山4-10,,主线,1,,,花果山4-10#lime（已完成),与%s对话,
2301,花果山5-1,10001,桤木西,花果山5-1,花果山5-1,,主线,1,,,花果山5-1#lime（已完成),与%s对话,
2303,花果山5-4,10001,桤木西,花果山5-4,花果山5-4,,主线,1,,,花果山5-4#lime（已完成),与%s对话,
2305,花果山5-7,10001,桤木西,花果山5-7,花果山5-7,,主线,1,,,花果山5-7#lime（已完成),与%s对话,
2307,花果山5-10,10001,桤木西,花果山5-10,花果山5-10,,主线,1,,,花果山5-10#lime（已完成),与%s对话,
2309,花果山6-1,10001,桤木西,花果山6-1,花果山6-1,,主线,1,,,花果山6-1#lime（已完成),与%s对话,
2311,花果山6-4,10001,桤木西,花果山6-4,花果山6-4,,主线,1,,,花果山6-4#lime（已完成),与%s对话,
2313,花果山6-7,10001,桤木西,花果山6-7,花果山6-7,,主线,1,,,花果山6-7#lime（已完成),与%s对话,
2315,花果山6-10,10001,桤木西,花果山6-10,花果山6-10,,主线,1,,,花果山6-10#lime（已完成),与%s对话,
2317,花果山7-1,10001,桤木西,花果山7-1,花果山7-1,,主线,1,,,花果山7-1#lime（已完成),与%s对话,
2319,花果山7-4,10001,桤木西,花果山7-4,花果山7-4,,主线,1,,,花果山7-4#lime（已完成),与%s对话,
2321,花果山7-7,10001,桤木西,花果山7-7,花果山7-7,,主线,1,,,花果山7-7#lime（已完成),与%s对话,
2323,花果山7-10,10001,桤木西,花果山7-10,花果山7-10,,主线,1,,,花果山7-10#lime（已完成),与%s对话,
2325,花果山8-1,10001,桤木西,花果山8-1,花果山8-1,,主线,1,,,花果山8-1#lime（已完成),与%s对话,
2327,花果山8-4,10001,桤木西,花果山8-4,花果山8-4,,主线,1,,,花果山8-4#lime（已完成),与%s对话,
2329,花果山8-7,10001,桤木西,花果山8-7,花果山8-7,,主线,1,,,花果山8-7#lime（已完成),与%s对话,
2331,花果山8-10,10001,桤木西,花果山8-10,花果山8-10,,主线,1,,,花果山8-10#lime（已完成),与%s对话,
2333,花果山9-1,10001,桤木西,花果山9-1,花果山9-1,,主线,1,,,花果山9-1#lime（已完成),与%s对话,
2335,花果山9-4,10001,桤木西,花果山9-4,花果山9-4,,主线,1,,,花果山9-4#lime（已完成),与%s对话,
2337,花果山9-7,10001,桤木西,花果山9-7,花果山9-7,,主线,1,,,花果山9-7#lime（已完成),与%s对话,
2339,花果山9-10,10001,桤木西,花果山9-10,花果山9-10,,主线,1,,,花果山9-10#lime（已完成),与%s对话,
2341,花果山10-1,10001,桤木西,花果山10-1,花果山10-1,,主线,1,,,花果山10-1#lime（已完成),与%s对话,
2343,花果山10-4,10001,桤木西,花果山10-4,花果山10-4,,主线,1,,,花果山10-4#lime（已完成),与%s对话,
2345,花果山10-7,10001,桤木西,花果山10-7,花果山10-7,,主线,1,,,花果山10-7#lime（已完成),与%s对话,
2347,花果山10-10,10001,桤木西,花果山10-10,花果山10-10,,主线,1,,,花果山10-10#lime（已完成),与%s对话,
2349,前往乌鸡国,10001,桤木西,前往乌鸡国,前往乌鸡国,,主线,1,,,前往乌鸡国#lime（已完成),与%s对话,
