名字,注释,等级,升到几级,数量
TianNvXianQi,仙器,1,2,1
TianNvXianQi,,2,3,1
TianNvXianQi,,3,4,2
TianNvXianQi,,4,5,2
TianNvXianQi,,5,6,3
TianNvXianQi,,6,7,3
TianNvXianQi,,7,8,4
TianNvXianQi,,8,9,4
TianNvXianQi,,9,10,5
TianNvXianQi,,10,11,5
TianNvXianQi,,11,12,6
TianNvXianQi,,12,13,6
TianNvXianQi,,13,14,7
TianNvXianQi,,14,15,7
TianNvHuaNian,花辇,1,2,1
TianNvHuaNian,,2,3,1
TianNvHuaNian,,3,4,2
TianNvHuaNian,,4,5,2
TianNvHuaNian,,5,6,3
TianNvHuaNian,,6,7,3
TianNvHuaNian,,7,8,4
TianNvHuaNian,,8,9,4
TianNvHuaNian,,9,10,5
TianNvHuaNian,,10,11,5
TianNvHuaNian,,11,12,6
TianNvHuaNian,,12,13,6
TianNvHuaNian,,13,14,7
TianNvHuaNian,,14,15,7
TianNvLingQi,灵气,1,2,1
TianNvLingQi,,2,3,1
TianNvLingQi,,3,4,2
TianNvLingQi,,4,5,2
TianNvLingQi,,5,6,3
TianNvLingQi,,6,7,3
TianNvLingQi,,7,8,4
TianNvLingQi,,8,9,4
TianNvLingQi,,9,10,5
TianNvLingQi,,10,11,5
TianNvLingQi,,11,12,6
TianNvLingQi,,12,13,6
TianNvLingQi,,13,14,7
TianNvLingQi,,14,15,7
XianLvStartUp,仙君升星,1,2,20
XianLvStartUp,,2,3,50
XianLvStartUp,,3,4,80
XianLvStartUp,,4,5,100
XianLvStartUp,,5,6,120
XianLvStartUp,,6,7,200
