名字,等级,升到几级,物品id,物品数量,货币单位,货币数量,每一次加多少经验值,多少经验可以升级,进阶奖励
Pet,17,18,20013,2,1,2000,10,60,
Pet,18,19,20013,2,1,2100,10,60,
Pet,19,20,20013,2,1,2200,10,60,
Pet,20,21,20013,3,1,2300,10,70,
Pet,21,22,20013,3,1,2400,10,70,
Pet,22,23,20013,3,1,2500,10,70,
Pet,23,24,20013,3,1,2600,10,70,
Pet,24,25,20013,3,1,2700,10,70,
Pet,25,26,20013,3,1,2800,10,70,
Pet,26,27,20013,3,1,2900,10,80,
Pet,27,28,20013,3,1,3000,10,80,
Pet,28,29,20013,3,1,3100,10,80,
Pet,29,30,20013,3,1,3200,10,80,
Pet,30,31,20013,4,1,3300,10,90,
Pet,31,32,20013,4,1,3400,10,90,
Pet,32,33,20013,4,1,3500,10,90,
Pet,33,34,20013,4,1,3600,10,90,
Pet,34,35,20013,4,1,3700,10,90,
Pet,35,36,20013,4,1,3800,10,100,
Pet,36,37,20013,4,1,3900,10,100,
Pet,37,38,20013,4,1,4000,10,100,
Pet,38,39,20013,4,1,4100,10,100,
Pet,39,40,20013,4,1,4200,10,100,
Pet,40,41,20013,5,1,4300,10,110,
Pet,41,42,20013,5,1,4400,10,110,
Pet,42,43,20013,5,1,4500,10,110,
Pet,43,44,20013,5,1,4600,10,110,
Pet,44,45,20013,5,1,4700,10,110,
Pet,45,46,20013,5,1,4800,10,120,
Pet,46,47,20013,5,1,4900,10,120,
Pet,47,48,20013,5,1,5000,10,120,
Pet,48,49,20013,5,1,5100,10,120,
Pet,49,50,20013,5,1,5200,10,120,
Pet,50,51,20013,6,1,5300,10,130,
Pet,51,52,20013,6,1,5400,10,130,
Pet,52,53,20013,6,1,5500,10,130,
Pet,53,54,20013,6,1,5600,10,130,
Pet,54,55,20013,6,1,5700,10,130,
Pet,55,56,20013,6,1,5800,10,140,
Pet,56,57,20013,6,1,5900,10,140,
Pet,57,58,20013,6,1,6000,10,140,
Pet,58,59,20013,6,1,6100,10,140,
Pet,59,60,20013,6,1,6200,10,140,
Pet,60,61,20013,7,1,6300,10,150,
Pet,61,62,20013,7,1,6400,10,150,
Pet,62,63,20013,7,1,6500,10,150,
Pet,63,64,20013,7,1,6600,10,150,
Pet,64,65,20013,7,1,6700,10,150,
Pet,65,66,20013,7,1,6800,10,160,
Pet,66,67,20013,7,1,6900,10,160,
Pet,67,68,20013,7,1,7000,10,160,
Pet,68,69,20013,7,1,7100,10,160,
Pet,69,70,20013,7,1,7200,10,160,
Pet,70,71,20013,8,1,7300,10,170,
Pet,71,72,20013,8,1,7400,10,170,
Pet,72,73,20013,8,1,7500,10,170,
Pet,73,74,20013,8,1,7600,10,170,
Pet,74,75,20013,8,1,7700,10,170,
Pet,75,76,20013,8,1,7800,10,180,
Pet,76,77,20013,8,1,7900,10,180,
Pet,77,78,20013,8,1,8000,10,180,
Pet,78,79,20013,8,1,8100,10,180,
Pet,79,80,20013,8,1,8200,10,180,
Pet,80,81,20013,9,1,8300,10,190,
Pet,81,82,20013,9,1,8400,10,190,
Pet,82,83,20013,9,1,8500,10,190,
Pet,83,84,20013,9,1,8600,10,190,
Pet,84,85,20013,9,1,8700,10,190,
Pet,85,86,20013,9,1,8800,10,200,
Pet,86,87,20013,9,1,8900,10,200,
Pet,87,88,20013,9,1,9000,10,200,
Pet,88,89,20013,9,1,9100,10,200,
Pet,89,90,20013,9,1,9200,10,200,
Pet,90,91,20013,10,1,9300,10,210,
Pet,91,92,20013,10,1,9400,10,210,
Pet,92,93,20013,10,1,9500,10,210,
Pet,93,94,20013,10,1,9600,10,210,
Pet,94,95,20013,10,1,9700,10,210,
Pet,95,96,20013,10,1,9800,10,220,
Pet,96,97,20013,10,1,9900,10,220,
Pet,97,98,20013,10,1,10000,10,220,
Pet,98,99,20013,10,1,10100,10,220,
Pet,99,100,20013,10,1,10200,10,220,
Pet,100,,20013,,1,,,,
XianLv,1,2,20014,3,1,500,10,100,
XianLv,2,3,20014,3,1,600,10,150,
XianLv,3,4,20014,4,1,700,10,200,
XianLv,4,5,20014,5,1,800,10,300,
XianLv,5,6,20014,6,1,900,10,400,
XianLv,6,7,20014,7,1,1000,10,500,
XianLv,7,8,20014,8,1,1100,10,600,
XianLv,8,9,20014,9,1,1200,10,800,
XianLv,9,10,20014,10,1,1300,10,1000,
XianLv,10,11,20014,12,1,1400,10,1200,
XianLv,11,12,20014,14,1,1500,10,1400,
XianLv,12,13,20014,16,1,1600,10,1600,
XianLv,13,14,20014,18,1,1700,10,1800,
XianLv,14,15,20014,20,1,1800,10,2000,
XianLv,15,,20014,,1,,,,
XianLvFaZhen,1,2,20005,3,1,400,10,100,
XianLvFaZhen,2,3,20005,3,1,500,10,200,
XianLvFaZhen,3,4,20005,4,1,600,10,400,
XianLvFaZhen,4,5,20005,5,1,700,10,600,
XianLvFaZhen,5,6,20005,7,1,800,10,900,"{""item"",20005,46}"
XianLvFaZhen,6,7,20005,10,1,900,10,1000,"{""item"",20005,77}"
XianLvFaZhen,7,8,20005,15,1,1000,10,1200,"{""item"",20005,74},{""item"",20005,74}"
XianLvFaZhen,8,9,20005,25,1,1100,10,1500,"{""item"",20005,180},{""item"",20005,180}"
XianLvFaZhen,9,10,20005,30,1,1200,10,2000,"{""item"",20005,224},{""item"",20005,224},{""item"",20005,224}"
XianLvFaZhen,10,11,20005,35,1,1300,10,2500,"{""item"",20005,382},{""item"",20005,382},{""item"",20005,382}"
XianLvFaZhen,11,12,20005,40,1,1400,10,3000,"{""item"",20005,616},{""item"",20005,616},{""item"",20005,616}"
XianLvFaZhen,12,13,20005,45,1,1500,10,3500,"{""item"",20005,946},{""item"",20005,946},{""item"",20005,946}"
XianLvFaZhen,13,14,20005,50,1,1600,10,4000,"{""item"",20005,1400},{""item"",20005,1400},{""item"",20005,1400}"
XianLvFaZhen,14,15,20005,55,1,1700,10,4500,"{""item"",20005,2006},{""item"",20005,2006},{""item"",20005,2006}"
XianLvFaZhen,15,,20005,,1,,,,
XianLvXianWei,1,2,20006,3,1,400,10,100,
XianLvXianWei,2,3,20006,3,1,500,10,200,
XianLvXianWei,3,4,20006,4,1,600,10,400,
XianLvXianWei,4,5,20006,5,1,700,10,600,
XianLvXianWei,5,6,20006,7,1,800,10,900,"{""item"",20006,46}"
XianLvXianWei,6,7,20006,10,1,900,10,1000,"{""item"",20006,77}"
XianLvXianWei,7,8,20006,15,1,1000,10,1200,"{""item"",20006,74},{""item"",20006,74}"
XianLvXianWei,8,9,20006,25,1,1100,10,1500,"{""item"",20006,180},{""item"",20006,180}"
XianLvXianWei,9,10,20006,30,1,1200,10,2000,"{""item"",20006,224},{""item"",20006,224},{""item"",20006,224}"
XianLvXianWei,10,11,20006,35,1,1300,10,2500,"{""item"",20006,382},{""item"",20006,382},{""item"",20006,382}"
XianLvXianWei,11,12,20006,40,1,1400,10,3000,"{""item"",20006,616},{""item"",20006,616},{""item"",20006,616}"
XianLvXianWei,12,13,20006,45,1,1500,10,3500,"{""item"",20006,946},{""item"",20006,946},{""item"",20006,946}"
XianLvXianWei,13,14,20006,50,1,1600,10,4000,"{""item"",20006,1400},{""item"",20006,1400},{""item"",20006,1400}"
XianLvXianWei,14,15,20006,55,1,1700,10,4500,"{""item"",20006,2006},{""item"",20006,2006},{""item"",20006,2006}"
XianLvXianWei,15,,20006,,1,,,,
TianXian,1,2,20002,3,1,400,10,100,
TianXian,2,3,20002,3,1,500,10,200,
TianXian,3,4,20002,4,1,600,10,400,
TianXian,4,5,20002,5,1,700,10,600,
TianXian,5,6,20002,7,1,800,10,900,"{""item"",20002,55}"
TianXian,6,7,20002,10,1,900,10,1000,"{""item"",20002,92}"
TianXian,7,8,20002,15,1,1000,10,1200,"{""item"",20002,91},{""item"",20002,91}"
TianXian,8,9,20002,25,1,1100,10,1500,"{""item"",20002,234},{""item"",20002,234}"
TianXian,9,10,20002,30,1,1200,10,2000,"{""item"",20002,304},{""item"",20002,304},{""item"",20002,304}"
TianXian,10,11,20002,35,1,1300,10,2500,"{""item"",20002,539},{""item"",20002,539},{""item"",20002,539}"
TianXian,11,12,20002,40,1,1400,10,3000,"{""item"",20002,896},{""item"",20002,896},{""item"",20002,896}"
TianXian,12,13,20002,45,1,1500,10,3500,"{""item"",20002,1412},{""item"",20002,1412},{""item"",20002,1412}"
TianXian,13,14,20002,50,1,1600,10,4000,"{""item"",20002,2133},{""item"",20002,2133},{""item"",20002,2133}"
TianXian,14,15,20002,55,1,1700,10,4500,"{""item"",20002,3110},{""item"",20002,3110},{""item"",20002,3110}"
TianXian,15,,20002,,1,,,,
TianXianWeapon,1,2,20003,3,1,400,10,100,
TianXianWeapon,2,3,20003,3,1,500,10,200,
TianXianWeapon,3,4,20003,4,1,600,10,400,
TianXianWeapon,4,5,20003,5,1,700,10,600,
TianXianWeapon,5,6,20003,7,1,800,10,900,"{""item"",20003,55}"
TianXianWeapon,6,7,20003,10,1,900,10,1000,"{""item"",20003,92}"
TianXianWeapon,7,8,20003,15,1,1000,10,1200,"{""item"",20003,91},{""item"",20003,91}"
TianXianWeapon,8,9,20003,25,1,1100,10,1500,"{""item"",20003,234},{""item"",20003,234}"
TianXianWeapon,9,10,20003,30,1,1200,10,2000,"{""item"",20003,304},{""item"",20003,304},{""item"",20003,304}"
TianXianWeapon,10,11,20003,35,1,1300,10,2500,"{""item"",20003,539},{""item"",20003,539},{""item"",20003,539}"
TianXianWeapon,11,12,20003,40,1,1400,10,3000,"{""item"",20003,896},{""item"",20003,896},{""item"",20003,896}"
TianXianWeapon,12,13,20003,45,1,1500,10,3500,"{""item"",20003,1412},{""item"",20003,1412},{""item"",20003,1412}"
TianXianWeapon,13,14,20003,50,1,1600,10,4000,"{""item"",20003,2133},{""item"",20003,2133},{""item"",20003,2133}"
TianXianWeapon,14,15,20003,55,1,1700,10,4500,"{""item"",20003,3110},{""item"",20003,3110},{""item"",20003,3110}"
TianXianWeapon,15,,20003,,1,,,,
TianNv,1,2,20009,3,1,500,10,100,
TianNv,2,3,20009,3,1,600,10,200,
TianNv,3,4,20009,4,1,700,10,400,
TianNv,4,5,20009,5,1,800,10,600,
TianNv,5,6,20009,7,1,900,10,900,"{""item"",20009,60}"
TianNv,6,7,20009,10,1,1000,10,1000,"{""item"",20009,100}"
TianNv,7,8,20009,15,1,1100,10,1200,"{""item"",20009,97},{""item"",20009,97}"
TianNv,8,9,20009,25,1,1200,10,1500,"{""item"",20009,239},{""item"",20009,239}"
TianNv,9,10,20009,30,1,1300,10,2000,"{""item"",20009,300},{""item"",20009,300},{""item"",20009,300}"
TianNv,10,11,20009,35,1,1400,10,2500,"{""item"",20009,517},{""item"",20009,517},{""item"",20009,517}"
TianNv,11,12,20009,40,1,1500,10,3000,"{""item"",20009,840},{""item"",20009,840},{""item"",20009,840}"
TianNv,12,13,20009,45,1,1600,10,3500,"{""item"",20009,1299},{""item"",20009,1299},{""item"",20009,1299}"
TianNv,13,14,20009,50,1,1700,10,4000,"{""item"",20009,1933},{""item"",20009,1933},{""item"",20009,1933}"
TianNv,14,15,20009,55,1,1800,10,4500,"{""item"",20009,2784},{""item"",20009,2784},{""item"",20009,2784}"
TianNv,15,,20009,,1,,,,
TianNvXianQi,1,2,20010,3,1,500,10,100,
TianNvXianQi,2,3,20010,3,1,600,10,200,
TianNvXianQi,3,4,20010,4,1,700,10,400,
TianNvXianQi,4,5,20010,5,1,800,10,600,
TianNvXianQi,5,6,20010,7,1,900,10,900,"{""item"",20010,60}"
TianNvXianQi,6,7,20010,10,1,1000,10,1000,"{""item"",20010,100}"
TianNvXianQi,7,8,20010,15,1,1100,10,1200,"{""item"",20010,97},{""item"",20010,97}"
TianNvXianQi,8,9,20010,25,1,1200,10,1500,"{""item"",20010,239},{""item"",20010,239}"
TianNvXianQi,9,10,20010,30,1,1300,10,2000,"{""item"",20010,300},{""item"",20010,300},{""item"",20010,300}"
TianNvXianQi,10,11,20010,35,1,1400,10,2500,"{""item"",20010,517},{""item"",20010,517},{""item"",20010,517}"
TianNvXianQi,11,12,20010,40,1,1500,10,3000,"{""item"",20010,840},{""item"",20010,840},{""item"",20010,840}"
TianNvXianQi,12,13,20010,45,1,1600,10,3500,"{""item"",20010,1299},{""item"",20010,1299},{""item"",20010,1299}"
TianNvXianQi,13,14,20010,50,1,1700,10,4000,"{""item"",20010,1933},{""item"",20010,1933},{""item"",20010,1933}"
TianNvXianQi,14,15,20010,55,1,1800,10,4500,"{""item"",20010,2784},{""item"",20010,2784},{""item"",20010,2784}"
TianNvXianQi,15,,20010,,1,,,,
TianNvHuaNian,1,2,20011,3,1,500,10,100,
TianNvHuaNian,2,3,20011,3,1,600,10,200,
TianNvHuaNian,3,4,20011,4,1,700,10,400,
TianNvHuaNian,4,5,20011,5,1,800,10,600,
TianNvHuaNian,5,6,20011,7,1,900,10,900,"{""item"",20011,60}"
TianNvHuaNian,6,7,20011,10,1,1000,10,1000,"{""item"",20011,100}"
TianNvHuaNian,7,8,20011,15,1,1100,10,1200,"{""item"",20011,97},{""item"",20011,97}"
TianNvHuaNian,8,9,20011,25,1,1200,10,1500,"{""item"",20011,239},{""item"",20011,239}"
TianNvHuaNian,9,10,20011,30,1,1300,10,2000,"{""item"",20011,300},{""item"",20011,300},{""item"",20011,300}"
TianNvHuaNian,10,11,20011,35,1,1400,10,2500,"{""item"",20011,517},{""item"",20011,517},{""item"",20011,517}"
TianNvHuaNian,11,12,20011,40,1,1500,10,3000,"{""item"",20011,840},{""item"",20011,840},{""item"",20011,840}"
TianNvHuaNian,12,13,20011,45,1,1600,10,3500,"{""item"",20011,1299},{""item"",20011,1299},{""item"",20011,1299}"
TianNvHuaNian,13,14,20011,50,1,1700,10,4000,"{""item"",20011,1933},{""item"",20011,1933},{""item"",20011,1933}"
TianNvHuaNian,14,15,20011,55,1,1800,10,4500,"{""item"",20011,2784},{""item"",20011,2784},{""item"",20011,2784}"
TianNvHuaNian,15,,20011,,1,,,,
TianNvLingQi,1,2,20012,3,1,500,10,100,
TianNvLingQi,2,3,20012,3,1,600,10,200,
TianNvLingQi,3,4,20012,4,1,700,10,400,
TianNvLingQi,4,5,20012,5,1,800,10,600,
TianNvLingQi,5,6,20012,7,1,900,10,900,"{""item"",20012,60}"
TianNvLingQi,6,7,20012,10,1,1000,10,1000,"{""item"",20012,100}"
TianNvLingQi,7,8,20012,15,1,1100,10,1200,"{""item"",20012,97},{""item"",20012,97}"
TianNvLingQi,8,9,20012,25,1,1200,10,1500,"{""item"",20012,239},{""item"",20012,239}"
TianNvLingQi,9,10,20012,30,1,1300,10,2000,"{""item"",20012,300},{""item"",20012,300},{""item"",20012,300}"
TianNvLingQi,10,11,20012,35,1,1400,10,2500,"{""item"",20012,517},{""item"",20012,517},{""item"",20012,517}"
TianNvLingQi,11,12,20012,40,1,1500,10,3000,"{""item"",20012,840},{""item"",20012,840},{""item"",20012,840}"
TianNvLingQi,12,13,20012,45,1,1600,10,3500,"{""item"",20012,1299},{""item"",20012,1299},{""item"",20012,1299}"
TianNvLingQi,13,14,20012,50,1,1700,10,4000,"{""item"",20012,1933},{""item"",20012,1933},{""item"",20012,1933}"
TianNvLingQi,14,15,20012,55,1,1800,10,4500,"{""item"",20012,2784},{""item"",20012,2784},{""item"",20012,2784}"
TianNvLingQi,15,,20012,,1,,,,
Hourse,1,2,20016,2,1,1300,10,200,
Hourse,2,3,20016,2,1,1400,10,360,
Hourse,3,4,20016,2,1,1500,10,640,
Hourse,4,5,20016,2,1,1600,10,1200,
Hourse,5,6,20016,2,1,1700,10,1600,
Hourse,6,7,20016,2,1,1800,10,2400,
Hourse,7,8,20016,2,1,1900,10,3600,
Hourse,8,9,20016,2,1,2000,10,6000,
Hourse,9,10,20016,2,1,2100,10,11000,
Hourse,10,11,20016,2,1,2200,10,15000,
Hourse,11,12,20016,2,1,2300,10,17600,
Hourse,12,13,20016,2,1,2400,10,22200,
Hourse,13,14,20016,2,1,2500,10,27200,
Hourse,14,15,20016,2,1,2600,10,36000,
Hourse,15,,20016,,1,,,,
Hero,1,2,,,,,,30000,
Hero,2,3,,,,,,60000,
Hero,3,4,,,,,,91000,
Hero,4,5,,,,,,123000,
Hero,5,6,,,,,,154000,
Hero,6,7,,,,,,186000,
Hero,7,8,,,,,,219000,
Hero,8,9,,,,,,252000,
Hero,9,10,,,,,,286000,
Hero,10,11,,,,,,383000,
Hero,11,12,,,,,,425000,
Hero,12,13,,,,,,467000,
Hero,13,14,,,,,,509000,
Hero,14,15,,,,,,552000,
Hero,15,16,,,,,,596000,
Hero,16,17,,,,,,640000,
Hero,17,18,,,,,,685000,
Hero,18,19,,,,,,731000,
Hero,19,20,,,,,,777000,
Hero,20,21,,,,,,1030000,
Hero,21,22,,,,,,1089000,
Hero,22,23,,,,,,1150000,
Hero,23,24,,,,,,1211000,
Hero,24,25,,,,,,1273000,
Hero,25,26,,,,,,1335000,
Hero,26,27,,,,,,1399000,
Hero,27,28,,,,,,1463000,
Hero,28,29,,,,,,1529000,
Hero,29,30,,,,,,1595000,
Hero,30,31,,,,,,2106000,
Hero,31,32,,,,,,2192000,
Hero,32,33,,,,,,2280000,
Hero,33,34,,,,,,2369000,
Hero,34,35,,,,,,2459000,
Hero,35,36,,,,,,2550000,
Hero,36,37,,,,,,2643000,
Hero,37,38,,,,,,2736000,
Hero,38,39,,,,,,2832000,
Hero,39,40,,,,,,2928000,
Hero,40,41,,,,,,3982000,
Hero,41,42,,,,,,4112000,
Hero,42,43,,,,,,4245000,
Hero,43,44,,,,,,4379000,
Hero,44,45,,,,,,4515000,
Hero,45,46,,,,,,4653000,
Hero,46,47,,,,,,4793000,
Hero,47,48,,,,,,4935000,
Hero,48,49,,,,,,5079000,
Hero,49,50,,,,,,5225000,
Hero,50,51,,,,,,7092000,
Hero,51,52,,,,,,7290000,
Hero,52,53,,,,,,7491000,
Hero,53,54,,,,,,7694000,
Hero,54,55,,,,,,7901000,
Hero,55,56,,,,,,8110000,
Hero,56,57,,,,,,8322000,
Hero,57,58,,,,,,8537000,
Hero,58,59,,,,,,8756000,
Hero,59,60,,,,,,8977000,
Hero,60,61,,,,,,11153000,
Hero,61,62,,,,,,11429000,
Hero,62,63,,,,,,11708000,
Hero,63,64,,,,,,11991000,
Hero,64,65,,,,,,12279000,
Hero,65,66,,,,,,12570000,
Hero,66,67,,,,,,12866000,
Hero,67,68,,,,,,13165000,
Hero,68,69,,,,,,13469000,
Hero,69,70,,,,,,13777000,
Hero,70,71,,,,,,19373000,
Hero,71,72,,,,,,19808000,
Hero,72,73,,,,,,20250000,
Hero,73,74,,,,,,20698000,
Hero,74,75,,,,,,21152000,
Hero,75,76,,,,,,21612000,
Hero,76,77,,,,,,22079000,
Hero,77,78,,,,,,22552000,
Hero,78,79,,,,,,23032000,
Hero,79,80,,,,,,23518000,
Hero,80,81,,,,,,30560000,
Hero,81,82,,,,,,31197000,
Hero,82,83,,,,,,31842000,
Hero,83,84,,,,,,32497000,
Hero,84,85,,,,,,33160000,
Hero,85,86,,,,,,33833000,
Hero,86,87,,,,,,34515000,
Hero,87,88,,,,,,35207000,
Hero,88,89,,,,,,35909000,
Hero,89,90,,,,,,36620000,
Hero,90,91,,,,,,50677000,
Hero,91,92,,,,,,51670000,
Hero,92,93,,,,,,52676000,
Hero,93,94,,,,,,53696000,
Hero,94,95,,,,,,54731000,
Hero,95,96,,,,,,55780000,
Hero,96,97,,,,,,56855000,
Hero,97,98,,,,,,57922000,
Hero,98,99,,,,,,59016000,
Hero,99,100,,,,,,60124000,
Hero,100,101,,,,,,77367000,
Hero,101,102,,,,,,78807000,
Hero,102,103,,,,,,80267000,
Hero,103,104,,,,,,81747000,
Hero,104,105,,,,,,83249000,
Hero,105,106,,,,,,84771000,
Hero,106,107,,,,,,86314000,
Hero,107,108,,,,,,87879000,
Hero,108,109,,,,,,89466000,
Hero,109,110,,,,,,91075000,
Hero,110,111,,,,,,123615000,
Hero,111,112,,,,,,125813000,
Hero,112,113,,,,,,128050000,
Hero,113,114,,,,,,130317000,
Hero,114,115,,,,,,132616000,
Hero,115,116,,,,,,134948000,
Hero,116,117,,,,,,137311000,
Hero,117,118,,,,,,139708000,
Hero,118,119,,,,,,142138000,
Hero,119,120,,,,,,144603000,
Hero,120,121,,,,,,183876000,
Hero,121,122,,,,,,187043000,
Hero,122,123,,,,,,190254000,
Hero,123,124,,,,,,193510000,
Hero,124,125,,,,,,196811000,
Hero,125,126,,,,,,200159000,
Hero,126,127,,,,,,203553000,
Hero,127,128,,,,,,206994000,
Hero,128,129,,,,,,210484000,
Hero,129,130,,,,,,214022000,
Hero,130,131,,,,,,272012000,
Hero,131,132,,,,,,276559000,
Hero,132,133,,,,,,281170000,
Hero,133,134,,,,,,285845000,
Hero,134,135,,,,,,290585000,
Hero,135,136,,,,,,295392000,
Hero,136,137,,,,,,300265000,
Hero,137,138,,,,,,305207000,
Hero,138,139,,,,,,310217000,
Hero,139,140,,,,,,315298000,
Hero,140,141,,,,,,384539000,
Hero,141,142,,,,,,390807000,
Hero,142,143,,,,,,397162000,
Hero,143,144,,,,,,403607000,
Hero,144,145,,,,,,410141000,
Hero,145,146,,,,,,416766000,
Hero,146,147,,,,,,423484000,
Hero,147,148,,,,,,430296000,
Hero,148,149,,,,,,437202000,
Hero,149,150,,,,,,444205000,
Hero,150,151,,,,,,549089000,
Hero,151,152,,,,,,557849000,
Hero,152,153,,,,,,566732000,
Hero,153,154,,,,,,575738000,
Hero,154,155,,,,,,584870000,
Hero,155,156,,,,,,594129000,
Hero,156,157,,,,,,603518000,
Hero,157,158,,,,,,613038000,
Hero,158,159,,,,,,622690000,
