宠物ID,名字,金1木2水3火4土5,金木水火土属性值,宠物激活道具ID,需要多少个,主动技能,被动技能列表,宠物头像,宠物模型,头像款的颜色,宠物排序（1000后是绿色，2000后是蓝色，3000后是紫色，4000后是金色，5000后是红色）,宠物SR类型（1是R，2是SR，3是SSR，4是SSSR，5是SSSSR）,初始属性,神宠填1,变异填1,屏蔽填1,屏蔽宠物开服多久后显示出来（单位秒）,飞升技能,飞升模型
20020,黑风小妖,3,100,40020,1,50020,"60071,60078,60029,60015,60050,",20020,20020,4,3005,3,"{'maxhp',10380},{'demage',4152},{'hujia',1038}",,,,,,
20021,熊猫,3,100,40021,1,50021,"60148,60155,60001,60043,60022,",20021,20021,4,3006,3,"{'maxhp',10540},{'demage',4216},{'hujia',1054}",,,,,,
20022,黑水麒麟,2,100,40022,1,50022,"60071,60078,60008,60064,60015,",20022,20022,4,3007,3,"{'maxhp',10720},{'demage',4288},{'hujia',1072}",,,,,,
20023,火德真君,1,100,40023,1,50023,"60148,60155,60015,60057,60015,",20023,20023,4,3008,3,"{'maxhp',11220},{'demage',4488},{'hujia',1122}",,,,,,
20024,六耳猕猴,4,100,40024,1,50024,"60078,60099,60015,60064,60057,",20024,20024,4,3009,3,"{'maxhp',11760},{'demage',4704},{'hujia',1176}",,,,,,
20025,地狱三头犬,5,100,40025,1,50025,"60148,60155,60043,60057,60043,",20025,20025,4,3026,4,"{'maxhp',12280},{'demage',4912},{'hujia',1228}",,,,,,
20026,夜游神,1,100,40026,1,50026,"60176,60183,60064,60001,60015,",20026,20026,4,3010,4,"{'maxhp',14080},{'demage',5632},{'hujia',1408}",,,,,,
20027,莲花仙子,2,100,40027,1,50027,"60078,60099,60008,60015,60001,",20027,20027,4,3011,4,"{'maxhp',14320},{'demage',5728},{'hujia',1432}",,,,,,
20028,强盗,4,100,40028,1,50028,"60078,60099,60064,60064,60057,",20028,20028,4,3012,4,"{'maxhp',12800},{'demage',5120},{'hujia',1280}",,,,,,
20029,白象王,5,100,40029,1,50029,"60148,60155,60036,60001,60015,",20029,20029,4,3013,4,"{'maxhp',13360},{'demage',5344},{'hujia',1336}",,,,,,
20030,冰龙,3,100,40030,1,50030,"60078,60099,60022,60022,60057,",20030,20030,4,3014,4,"{'maxhp',13880},{'demage',5552},{'hujia',1388}",,,,,,
20031,剑侠兔,3,100,40031,1,50031,"60176,60183,60001,60057,60001,",20031,20031,4,3015,4,"{'maxhp',14360},{'demage',5744},{'hujia',1436}",,,,,,
20032,封蛇,2,100,40032,1,50032,"60099,60106,60064,60022,60057,",20032,20032,4,3016,4,"{'maxhp',14800},{'demage',5920},{'hujia',1480}",,,,,,
20033,神将,1,100,40033,1,50033,"60176,60183,60029,60029,60029,",20033,20033,4,3017,4,"{'maxhp',15320},{'demage',6128},{'hujia',1532}",,,,,,
20034,圣灵蝶,4,100,40034,1,50034,"60099,60106,60029,60022,60029,",20034,20034,4,3018,4,"{'maxhp',15320},{'demage',6128},{'hujia',1532}",,,,,,
20035,招财猫,5,100,40035,1,50035,"60176,60183,60036,60008,60015,",20035,20035,4,3019,4,"{'maxhp',15340},{'demage',6136},{'hujia',1534}",,,,,,
20036,熊猫大侠,1,100,40036,1,50036,"60099,60106,60029,60001,60057,",20036,20036,4,3020,4,"{'maxhp',15540},{'demage',6216},{'hujia',1554}",,,,,,
20037,青狮怪,2,100,40037,1,50037,"60099,60106,60029,60001,60057,",20037,20037,4,3021,4,"{'maxhp',15680},{'demage',6272},{'hujia',1568}",,,,,,
20038,东海龙王,4,100,40038,1,50038,"60099,60106,60050,60015,60064,",20038,20038,4,3022,4,"{'maxhp',15900},{'demage',6360},{'hujia',1590}",,,,,,
20039,朱雀,5,100,40039,1,50039,"60218,60162,60204,60057,60022,60029,",20039,20039,5,4003,5,"{'maxhp',27200},{'demage',10880},{'hujia',2720}",,,,,"55010,55011,55012,",21504
20040,青龙,3,100,40040,1,50040,"60218,60162,60204,60029,60001,60057,",20040,20040,5,4004,5,"{'maxhp',26000},{'demage',10400},{'hujia',2600}",,,,,"55016,55017,55018,",21506
20041,白虎,3,100,40041,1,50041,"60141,60085,60127,60050,60043,60008,",20041,20041,5,4005,5,"{'maxhp',52000},{'demage',20800},{'hujia',5200}",1,,,,"55013,55014,55015,",21505
20042,玄武,2,100,40042,1,50042,"60218,60162,60204,60029,60015,60015,",20042,20042,5,4006,5,"{'maxhp',48000},{'demage',19200},{'hujia',4800}",1,,,,"55019,55020,55021,",21507
20043,猪八戒,1,100,40043,1,50043,"60141,60085,60127,60008,60050,60064,",20043,20043,5,4007,5,"{'maxhp',26000},{'demage',10400},{'hujia',2600}",,,,,"55004,55005,55006,",21502
20044,虎力大仙,4,100,40044,1,50044,"60141,60085,60127,60043,60057,60015,",20044,20044,5,4008,5,"{'maxhp',52000},{'demage',20800},{'hujia',5200}",1,,,,"55022,55023,55024,",21508
20045,鲲鹏,5,100,40045,1,50045,"60141,60085,60008,60008,60043,60043,",20045,20045,5,4009,5,"{'maxhp',28000},{'demage',11200},{'hujia',2800}",,,,,"55025,55026,55027,",21509
20046,奎木狼,1,100,40046,1,50046,"60141,60085,60008,60008,60043,60043,",20046,20046,5,4010,5,"{'maxhp',24800},{'demage',9920},{'hujia',2480}",,,,,"55028,55029,55030,",21510
20047,鹿力大仙,2,100,40047,1,50047,"60099,60106,60050,60015,60064,",20047,20047,5,4011,5,"{'maxhp',23200},{'demage',9280},{'hujia',2320}",,,,,"55007,55008,55009,",21503
20048,申公豹,3,100,40048,1,50052,"60141,60085,60008,60008,60043,60043,",20054,20054,5,4012,5,"{'maxhp',48000},{'demage',19200},{'hujia',4800}",1,,,,"55001,55002,55003,",21501
20049,琵琶精,2,100,40049,1,50053,"60218,60162,60204,60029,60001,60057,",20055,20055,5,4013,5,"{'maxhp',44000},{'demage',17600},{'hujia',4400}",1,,,,"55031,55032,55033,",21511
20050,天神,1,100,40050,1,50055,"60141,60085,60008,60008,60043,60043,",20057,20057,6,5001,5,"{'maxhp',60000},{'demage',24000},{'hujia',6000}",,,1,259200,"55034,55035,55036,",21512
20051,吕洞宾,4,100,40051,1,50054,"60141,60085,60008,60008,60043,60043,",20056,20056,5,4014,5,"{'maxhp',48000},{'demage',19200},{'hujia',4800}",1,,,,"55037,55038,55039,",21513
20052,嫦娥,5,100,40052,1,50048,"60218,60162,60204,60029,60001,60057,",20050,20050,6,5002,5,"{'maxhp',60000},{'demage',24000},{'hujia',6000}",,,1,1036800,"55043,55044,55045,",21515
20053,三太子,1,100,40053,1,50049,"60141,60085,60008,60008,60043,60043,",20051,20051,6,5003,5,"{'maxhp',66000},{'demage',26400},{'hujia',6600}",,,1,777600,"55046,55047,55048,",21516
20054,斗战胜佛,2,100,40054,1,50051,"60218,60162,60204,60029,60001,60057,",20053,20053,6,5004,5,"{'maxhp',72000},{'demage',28800},{'hujia',7200}",,,,,"55049,55050,55051,",21517
20055,太上老君,4,100,40055,1,50050,"60141,60085,60008,60008,60043,60043,",20052,20052,6,5005,5,"{'maxhp',72000},{'demage',28800},{'hujia',7200}",,,1,1555200,"55052,55053,55054,",21518
20056,九尾狐,1,100,40056,1,50016,"60092,60029,60057,",20016,20016,4,3001,4,"{'maxhp',7460},{'demage',2984},{'hujia',746}",,,,,,
20057,变异神将,1,100,40057,1,50057,"60176,60183,60029,60029,60029,",20033,20059,5,4002,4,"{'maxhp',20000},{'demage',8000},{'hujia',2000}",,1,,,,
20058,象神,1,100,40058,1,50058,"60141,60085,60127,60050,60043,60008,",20029,20060,5,4016,5,"{'maxhp',22000},{'demage',8800},{'hujia',2200}",,,,,"55040,55041,55042,",21514
20059,变异趴趴熊,5,100,40059,1,50060,"60092,60050,60036,60029,",20015,20061,4,3023,3,"{'maxhp',11156},{'demage',4462},{'hujia',1116}",,1,,,,
20060,变异广目天王,2,100,40060,1,50059,"60092,60043,60064,",20012,20062,4,3024,3,"{'maxhp',7680},{'demage',3072},{'hujia',768}",,1,,,,
20061,变异武士,4,100,40061,1,50061,"60071,60078,60001,60043,60050,",20018,20063,4,3025,4,"{'maxhp',11850},{'demage',4740},{'hujia',1185}",,1,,,,
20062,灵狐,5,100,40100,1,50062,"60120,60043,60036,60043,",20004,20100,3,2013,3,"{'maxhp',4600},{'demage',1840},{'hujia',460}",,1,,,,
20063,人鱼王,3,100,40101,1,50063,"60092,60036,60015,60099,",20010,20101,3,2014,3,"{'maxhp',5760},{'demage',2304},{'hujia',576}",,1,,,,
20064,强盗王,5,100,40102,1,50064,"60078,60099,60064,60064,60057,",20028,20102,4,3027,4,"{'maxhp',15360},{'demage',6144},{'hujia',1536}",,1,,,,
20065,火烈鸟,4,100,40103,1,50065,"60169,60015,60050,60204,",20013,20103,3,2015,3,"{'maxhp',8000},{'demage',3200},{'hujia',800}",,1,,,,
20066,飞天熊,2,100,40104,1,50066,"60148,60155,60001,60043,60022,",20008,20104,3,2016,3,"{'maxhp',8000},{'demage',3200},{'hujia',800}",,1,,,,
20067,风魔王,1,100,40105,1,50067,"60071,60078,60029,60015,60050,",20020,20105,4,3028,4,"{'maxhp',12456},{'demage',4982},{'hujia',1246}",,1,,,,
20068,地狱魔犬,1,100,40106,1,50068,"60148,60155,60043,60057,60043,60218,",20025,20106,5,4017,5,"{'maxhp',26000},{'demage',10400},{'hujia',2600}",,1,,,,
20069,神兵小将,1,100,40107,1,50069,"60120,60043,60043,60001,",20001,20107,3,2017,3,"{'maxhp',4200},{'demage',1680},{'hujia',420}",,1,,,,
20070,水神,3,100,40108,1,50070,"60120,60043,60036,60001,",20007,20108,3,2018,3,"{'maxhp',5520},{'demage',2208},{'hujia',552}",,1,,,,
20071,神君,2,100,40109,1,50071,"60148,60155,60015,60057,60015,",20023,20109,4,3029,4,"{'maxhp',16000},{'demage',6400},{'hujia',1600}",,1,,,,
20072,变异冰龙,3,100,40110,1,50072,"60078,60099,60022,60022,60057,60057,",20030,20110,5,4018,5,"{'maxhp',20000},{'demage',8000},{'hujia',2000}",,1,,,,
20073,珞珈山大王,5,100,40111,1,50073,"60092,60036,60015,",20009,20009,4,3030,3,"{'maxhp',13120},{'demage',5248},{'hujia',1312}",,1,,,,
20074,变异巨灵神,4,100,40112,1,50074,"60169,60050,60036,60029,60029,",20014,20112,4,3031,4,"{'maxhp',13120},{'demage',5248},{'hujia',1312}",,1,,,,
