名字,位置索引,,皮肤ID,需要什么物品,需要多少个,每一级加多少属性,模型名字,套装对应的名字,套装对应的id(每件对应位置
Hero,39,ch_name39,80039,63039,1,"{'maxhp',2860},{'demage',1144},{'hujia',286}",高老庄征服者,,
Hero,40,ch_name40,80040,63040,1,"{'maxhp',2970},{'demage',1188},{'hujia',297}",黄风岭征服者,,
Hero,41,ch_name41,80041,63041,1,"{'maxhp',3080},{'demage',1232},{'hujia',308}",流沙河征服者,,
Hero,42,ch_name42,80042,63042,1,"{'maxhp',3300},{'demage',1320},{'hujia',330}",五庄观征服者,,
Hero,43,ch_name43,80043,63043,1,"{'maxhp',4400},{'demage',1760},{'hujia',440}",花果山征服者,,
Hero,44,ch_name45,80045,63045,1,"{'maxhp',12300},{'demage',4920},{'hujia',1230}",贵气逼人,,
Hero,45,ch_name46,80046,63046,1,"{'maxhp',10000},{'demage',4000},{'hujia',1000}",一夫当关,,
Hero,46,ch_name47,80047,63047,1,"{'maxhp',3080},{'demage',1232},{'hujia',308}",快人一等,,
Hero,47,ch_name48,80048,63048,1,"{'maxhp',3300},{'demage',1320},{'hujia',330}",器宇轩昂,,
Hero,48,ch_name12,80007,63049,1,"{'maxhp',12000},{'demage',4800},{'hujia',1200}",神·深藏不露,,
Hero,49,ch_name46,80046,63050,1,"{'maxhp',15000},{'demage',6000},{'hujia',1500}",神·一夫当关,,
HeroEquip,1,sz_name01,90010,65001,1,"{'maxhp',100},{'demage',200},{'speed',200}",新婚时装,,
HeroEquip,2,sz_name02,90011,65002,1,"{'maxhp',480},{'demage',192},{'hujia',48}",白雪纯情,,
HeroEquip,3,sz_name03,90012,65003,1,"{'maxhp',6000},{'demage',2400},{'hujia',600}",蓝缕精灵,,
HeroEquip,4,sz_name04,90013,65004,1,"{'maxhp',5688},{'demage',2275},{'hujia',569}",太虚道袍,ZidianQingShuang,1
HeroEquip,5,sz_name05,90014,65005,1,"{'maxhp',7200},{'demage',2880},{'hujia',720}",万物珍裳,HaiZhiLanJing,1
HeroEquip,6,sz_name06,90015,65006,1,"{'maxhp',14200},{'demage',5680},{'hujia',1420}",穿花蝴蝶,,
HeroEquip,7,sz_name07,90016,65007,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",幻影羽衣,DaHuaXianzi,1
HeroEquip,8,sz_name08,90017,65008,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",白日飞升,,
HeroEquip,9,sz_name09,90017,65009,1,"{'maxhp',4000},{'demage',1600},{'hujia',400}",白画时装,,
