名字,等级,需要什么物品,需要多少个,货币单位,货币数量
HeroSkill,65,,,1,37200
HeroSkill,66,,,1,37900
HeroSkill,67,,,1,38700
HeroSkill,68,,,1,39500
HeroSkill,69,,,1,40300
HeroSkill,70,,,1,41100
HeroSkill,71,,,1,41900
HeroSkill,72,,,1,42700
HeroSkill,73,,,1,43500
HeroSkill,74,,,1,44300
HeroSkill,75,,,1,45100
HeroSkill,76,,,1,45900
HeroSkill,77,,,1,46700
HeroSkill,78,,,1,47500
HeroSkill,79,,,1,48300
HeroSkill,80,,,1,49100
HeroSkill,81,,,1,50000
HeroSkill,82,,,1,50900
HeroSkill,83,,,1,51800
HeroSkill,84,,,1,52700
HeroSkill,85,,,1,53600
HeroSkill,86,,,1,54500
HeroSkill,87,,,1,55400
HeroSkill,88,,,1,56300
HeroSkill,89,,,1,57200
HeroSkill,90,,,1,58100
HeroSkill,91,,,1,59000
HeroSkill,92,,,1,59900
HeroSkill,93,,,1,60800
HeroSkill,94,,,1,61800
HeroSkill,95,,,1,62800
HeroSkill,96,,,1,63800
HeroSkill,97,,,1,64800
HeroSkill,98,,,1,65800
HeroSkill,99,,,1,66800
HeroSkill,100,,,1,67800
HeroSkill,101,,,1,68800
HeroSkill,102,,,1,69800
HeroSkill,103,,,1,70800
HeroSkill,104,,,1,71800
HeroSkill,105,,,1,72900
HeroSkill,106,,,1,74000
HeroSkill,107,,,1,75100
HeroSkill,108,,,1,76200
HeroSkill,109,,,1,77300
HeroSkill,110,,,1,78400
HeroSkill,111,,,1,79500
HeroSkill,112,,,1,80600
HeroSkill,113,,,1,81700
HeroSkill,114,,,1,82800
HeroSkill,115,,,1,83900
HeroSkill,116,,,1,85000
HeroSkill,117,,,1,86200
HeroSkill,118,,,1,87400
HeroSkill,119,,,1,88600
HeroSkill,120,,,1,89800
HeroSkill,121,,,1,91000
HeroSkill,122,,,1,92200
HeroSkill,123,,,1,93400
HeroSkill,124,,,1,94600
HeroSkill,125,,,1,95800
HeroSkill,126,,,1,97000
HeroSkill,127,,,1,98300
HeroSkill,128,,,1,99600
HeroSkill,129,,,1,100900
HeroSkill,130,,,1,102200
HeroSkill,131,,,1,103500
HeroSkill,132,,,1,104800
HeroSkill,133,,,1,106100
HeroSkill,134,,,1,107400
HeroSkill,135,,,1,108700
HeroSkill,136,,,1,110000
HeroSkill,137,,,1,111400
HeroSkill,138,,,1,112800
HeroSkill,139,,,1,114200
HeroSkill,140,,,1,115600
HeroSkill,141,,,1,117000
HeroSkill,142,,,1,118400
HeroSkill,143,,,1,119800
HeroSkill,144,,,1,121200
HeroSkill,145,,,1,122600
HeroSkill,146,,,1,124000
HeroSkill,147,,,1,125500
HeroSkill,148,,,1,127000
HeroSkill,149,,,1,128500
HeroSkill,150,,,1,130000
HeroSkill,151,,,1,131500
HeroSkill,152,,,1,133000
HeroSkill,153,,,1,134500
HeroSkill,154,,,1,136000
HeroSkill,155,,,1,137500
HeroSkill,156,,,1,139000
HeroSkill,157,,,1,140600
HeroSkill,158,,,1,142200
HeroSkill,159,,,1,143800
HeroSkill,160,,,1,145400
HeroSkill,161,,,1,147000
HeroSkill,162,,,1,148600
HeroSkill,163,,,1,150200
HeroSkill,164,,,1,151800
HeroSkill,165,,,1,153400
HeroSkill,166,,,1,155100
HeroSkill,167,,,1,156800
HeroSkill,168,,,1,158500
HeroSkill,169,,,1,160200
HeroSkill,170,,,1,161900
HeroSkill,171,,,1,163600
HeroSkill,172,,,1,165300
HeroSkill,173,,,1,167000
HeroSkill,174,,,1,168700
HeroSkill,175,,,1,170500
HeroSkill,176,,,1,172300
HeroSkill,177,,,1,174100
HeroSkill,178,,,1,175900
HeroSkill,179,,,1,177700
HeroSkill,180,,,1,179500
HeroSkill,181,,,1,181300
HeroSkill,182,,,1,183100
HeroSkill,183,,,1,185000
HeroSkill,184,,,1,186900
HeroSkill,185,,,1,188800
HeroSkill,186,,,1,190700
HeroSkill,187,,,1,192600
HeroSkill,188,,,1,194500
HeroSkill,189,,,1,196400
HeroSkill,190,,,1,198300
HeroSkill,191,,,1,200200
HeroSkill,192,,,1,202200
HeroSkill,193,,,1,204200
HeroSkill,194,,,1,206200
HeroSkill,195,,,1,208200
HeroSkill,196,,,1,210200
HeroSkill,197,,,1,212200
HeroSkill,198,,,1,214200
HeroSkill,199,,,1,216200
HeroSkill,200,,,1,218300
HeroSkill,201,,,1,220400
HeroSkill,202,,,1,222500
HeroSkill,203,,,1,224600
HeroSkill,204,,,1,226700
HeroSkill,205,,,1,228800
HeroSkill,206,,,1,230900
HeroSkill,207,,,1,233000
HeroSkill,208,,,1,235200
HeroSkill,209,,,1,237400
HeroSkill,210,,,1,239600
HeroSkill,211,,,1,241800
HeroSkill,212,,,1,244000
HeroSkill,213,,,1,246200
HeroSkill,214,,,1,248400
HeroSkill,215,,,1,250600
HeroSkill,216,,,1,252900
HeroSkill,217,,,1,255200
HeroSkill,218,,,1,257500
HeroSkill,219,,,1,259800
HeroSkill,220,,,1,262100
HeroSkill,221,,,1,264400
HeroSkill,222,,,1,266700
HeroSkill,223,,,1,269000
HeroSkill,224,,,1,271400
HeroSkill,225,,,1,273800
HeroSkill,226,,,1,276200
HeroSkill,227,,,1,278600
HeroSkill,228,,,1,281000
HeroSkill,229,,,1,283400
HeroSkill,230,,,1,285800
HeroSkill,231,,,1,288300
HeroSkill,232,,,1,290800
HeroSkill,233,,,1,293300
HeroSkill,234,,,1,295800
HeroSkill,235,,,1,298300
HeroSkill,236,,,1,300800
HeroSkill,237,,,1,303300
HeroSkill,238,,,1,305800
HeroSkill,239,,,1,308400
HeroSkill,240,,,1,311000
HeroSkill,241,,,1,313600
HeroSkill,242,,,1,316200
HeroSkill,243,,,1,318800
HeroSkill,244,,,1,321400
HeroSkill,245,,,1,324000
HeroSkill,246,,,1,326700
HeroSkill,247,,,1,329400
HeroSkill,248,,,1,332100
HeroSkill,249,,,1,334800
HeroSkill,250,,,1,337500
HeroSkill,251,,,1,340200
HeroSkill,252,,,1,342900
HeroSkill,253,,,1,345700
HeroSkill,254,,,1,348500
HeroSkill,255,,,1,351300
HeroSkill,256,,,1,354100
HeroSkill,257,,,1,356900
HeroSkill,258,,,1,359700
HeroSkill,259,,,1,362500
HeroSkill,260,,,1,365400
HeroSkill,261,,,1,368300
HeroSkill,262,,,1,371200
HeroSkill,263,,,1,374100
HeroSkill,264,,,1,377000
HeroSkill,265,,,1,379900
HeroSkill,266,,,1,382800
HeroSkill,267,,,1,385800
HeroSkill,268,,,1,388800
HeroSkill,269,,,1,391800
HeroSkill,270,,,1,394800
HeroSkill,271,,,1,397800
HeroSkill,272,,,1,400800
HeroSkill,273,,,1,403800
HeroSkill,274,,,1,406900
HeroSkill,275,,,1,410000
HeroSkill,276,,,1,413100
HeroSkill,277,,,1,416200
HeroSkill,278,,,1,419300
HeroSkill,279,,,1,422400
HeroSkill,280,,,1,425500
HeroSkill,281,,,1,428700
HeroSkill,282,,,1,431900
HeroSkill,283,,,1,435100
HeroSkill,284,,,1,438300
HeroSkill,285,,,1,441500
HeroSkill,286,,,1,444700
HeroSkill,287,,,1,447900
HeroSkill,288,,,1,451200
HeroSkill,289,,,1,454500
HeroSkill,290,,,1,457800
HeroSkill,291,,,1,461100
HeroSkill,292,,,1,464400
HeroSkill,293,,,1,467700
HeroSkill,294,,,1,471000
HeroSkill,295,,,1,474400
HeroSkill,296,,,1,477800
HeroSkill,297,,,1,481200
HeroSkill,298,,,1,484600
HeroSkill,299,,,1,488000
HeroSkill,300,,,1,491400
