天数,索引,升阶类型,要求,货币类型,描述,原价,现价,限购数量(0不限购),限时(秒),物品
4,21,TianNvLingQi,10,3,灵气进阶丹,16500,4950,20,86400,"{""item"",20012,165}"
4,22,TianNvLingQi,10,3,灵气进阶丹,11500,4600,20,86400,"{""item"",20012,115}"
5,0,XianLvFaZhen,1,3,法阵进阶丹,7000,1400,5,86400,"{""item"",20005,70}"
5,1,XianLvFaZhen,1,3,法阵进阶丹,5000,1500,1,86400,"{""item"",20005,50}"
5,2,XianLvFaZhen,1,3,法阵技能书,2000,800,1,86400,"{""item"",30003,1}"
5,3,XianLvFaZhen,4,3,法阵进阶丹,2600,520,5,86400,"{""item"",20005,26}"
5,4,XianLvFaZhen,4,3,法阵进阶丹,9000,2700,5,86400,"{""item"",20005,90}"
5,5,XianLvFaZhen,4,3,法阵技能书,2000,800,1,86400,"{""item"",30003,1}"
5,6,XianLvFaZhen,5,3,法阵进阶丹,5400,1080,5,86400,"{""item"",20005,54}"
5,7,XianLvFaZhen,5,3,法阵进阶丹,3800,1140,5,86400,"{""item"",20005,38}"
5,8,XianLvFaZhen,5,3,法阵技能书,2000,800,1,86400,"{""item"",30003,1}"
5,9,XianLvFaZhen,6,3,法阵进阶丹,8000,1600,10,86400,"{""item"",20005,80}"
5,10,XianLvFaZhen,6,3,法阵进阶丹,6000,1800,10,86400,"{""item"",20005,60}"
5,11,XianLvFaZhen,6,3,法阵6阶经验丹,5000,2500,1,86400,"{""item"",20046,1}"
5,12,XianLvFaZhen,7,3,法阵进阶丹,8000,1600,10,86400,"{""item"",20005,80}"
5,13,XianLvFaZhen,7,3,法阵进阶丹,6000,1800,10,86400,"{""item"",20005,60}"
5,14,XianLvFaZhen,7,3,法阵7阶经验丹,5000,2500,1,86400,"{""item"",20047,1}"
5,15,XianLvFaZhen,8,3,法阵进阶丹,8000,1600,10,86400,"{""item"",20005,80}"
5,16,XianLvFaZhen,8,3,法阵进阶丹,5500,1650,10,86400,"{""item"",20005,55}"
5,17,XianLvFaZhen,8,3,法阵8阶经验丹,5000,2500,1,86400,"{""item"",20048,1}"
5,18,XianLvFaZhen,9,3,法阵进阶丹,11500,2300,20,86400,"{""item"",20005,115}"
5,19,XianLvFaZhen,9,3,法阵进阶丹,8000,2400,20,86400,"{""item"",20005,80}"
5,20,XianLvFaZhen,9,3,法阵9阶经验丹,5000,2500,1,86400,"{""item"",20049,1}"
5,21,XianLvFaZhen,10,3,法阵进阶丹,16500,3300,20,86400,"{""item"",20005,165}"
5,22,XianLvFaZhen,10,3,法阵进阶丹,11500,3450,20,86400,"{""item"",20005,115}"
6,0,XianLvXianWei,1,3,神位进阶丹,7000,1400,5,86400,"{""item"",20006,70}"
6,1,XianLvXianWei,1,3,神位进阶丹,5000,1500,1,86400,"{""item"",20006,50}"
6,2,XianLvXianWei,1,3,神位技能书,2000,800,1,86400,"{""item"",30004,1}"
6,3,XianLvXianWei,4,3,神位进阶丹,2600,520,5,86400,"{""item"",20006,26}"
6,4,XianLvXianWei,4,3,神位进阶丹,9000,2700,5,86400,"{""item"",20006,90}"
6,5,XianLvXianWei,4,3,神位技能书,2000,800,1,86400,"{""item"",30004,1}"
6,6,XianLvXianWei,5,3,神位进阶丹,5400,1080,5,86400,"{""item"",20006,54}"
6,7,XianLvXianWei,5,3,神位进阶丹,3800,1140,5,86400,"{""item"",20006,38}"
6,8,XianLvXianWei,5,3,神位技能书,2000,800,1,86400,"{""item"",30004,1}"
6,9,XianLvXianWei,6,3,神位进阶丹,8000,1600,10,86400,"{""item"",20006,80}"
6,10,XianLvXianWei,6,3,神位进阶丹,6000,1800,10,86400,"{""item"",20006,60}"
6,11,XianLvXianWei,6,3,神位6阶经验丹,5000,2500,1,86400,"{""item"",20051,1}"
6,12,XianLvXianWei,7,3,神位进阶丹,8000,1600,10,86400,"{""item"",20006,80}"
6,13,XianLvXianWei,7,3,神位进阶丹,6000,1800,10,86400,"{""item"",20006,60}"
6,14,XianLvXianWei,7,3,神位7阶经验丹,5000,2500,1,86400,"{""item"",20052,1}"
6,15,XianLvXianWei,8,3,神位进阶丹,8000,1600,10,86400,"{""item"",20006,80}"
6,16,XianLvXianWei,8,3,神位进阶丹,5500,1650,10,86400,"{""item"",20006,55}"
6,17,XianLvXianWei,8,3,神位8阶经验丹,5000,2500,1,86400,"{""item"",20053,1}"
6,18,XianLvXianWei,9,3,神位进阶丹,11500,2300,20,86400,"{""item"",20006,115}"
6,19,XianLvXianWei,9,3,神位进阶丹,8000,2400,20,86400,"{""item"",20006,80}"
6,20,XianLvXianWei,9,3,神位9阶经验丹,5000,2500,1,86400,"{""item"",20054,1}"
6,21,XianLvXianWei,10,3,神位进阶丹,16500,3300,20,86400,"{""item"",20006,165}"
6,22,XianLvXianWei,10,3,神位进阶丹,11500,3450,20,86400,"{""item"",20006,115}"
7,0,PetTongLin,1,3,通灵进阶丹,7000,1400,5,86400,"{""item"",20007,70}"
7,1,PetTongLin,1,3,通灵进阶丹,5000,1500,1,86400,"{""item"",20007,50}"
7,2,PetTongLin,1,3,通灵技能书,2000,800,1,86400,"{""item"",30005,1}"
7,3,PetTongLin,4,3,通灵进阶丹,2600,520,5,86400,"{""item"",20007,26}"
7,4,PetTongLin,4,3,通灵进阶丹,9000,2700,5,86400,"{""item"",20007,90}"
7,5,PetTongLin,4,3,通灵技能书,2000,800,1,86400,"{""item"",30005,1}"
7,6,PetTongLin,5,3,通灵进阶丹,5400,1080,5,86400,"{""item"",20007,54}"
7,7,PetTongLin,5,3,通灵进阶丹,3800,1140,5,86400,"{""item"",20007,38}"
7,8,PetTongLin,5,3,通灵技能书,2000,800,1,86400,"{""item"",30005,1}"
7,9,PetTongLin,6,3,通灵进阶丹,8000,1600,10,86400,"{""item"",20007,80}"
7,10,PetTongLin,6,3,通灵进阶丹,6000,1800,10,86400,"{""item"",20007,60}"
7,11,PetTongLin,6,3,通灵6阶经验丹,5000,2500,1,86400,"{""item"",20056,1}"
7,12,PetTongLin,7,3,通灵进阶丹,8000,1600,10,86400,"{""item"",20007,80}"
7,13,PetTongLin,7,3,通灵进阶丹,6000,1800,10,86400,"{""item"",20007,60}"
7,14,PetTongLin,7,3,通灵7阶经验丹,5000,2500,1,86400,"{""item"",20057,1}"
7,15,PetTongLin,8,3,通灵进阶丹,8000,1600,10,86400,"{""item"",20007,80}"
7,16,PetTongLin,8,3,通灵进阶丹,5500,1650,10,86400,"{""item"",20007,55}"
7,17,PetTongLin,8,3,通灵8阶经验丹,5000,2500,1,86400,"{""item"",20058,1}"
7,18,PetTongLin,9,3,通灵进阶丹,11500,2300,20,86400,"{""item"",20007,115}"
7,19,PetTongLin,9,3,通灵进阶丹,8000,2400,20,86400,"{""item"",20007,80}"
7,20,PetTongLin,9,3,通灵9阶经验丹,5000,2500,1,86400,"{""item"",20059,1}"
7,21,PetTongLin,10,3,通灵进阶丹,16500,3300,20,86400,"{""item"",20007,165}"
7,22,PetTongLin,10,3,通灵进阶丹,11500,3450,20,86400,"{""item"",20007,115}"
8,0,PetSouHun,1,3,元神进阶丹,7000,1400,5,86400,"{""item"",20008,70}"
8,1,PetSouHun,1,3,元神进阶丹,5000,1500,1,86400,"{""item"",20008,50}"
8,2,PetSouHun,1,3,元神技能书,2000,800,1,86400,"{""item"",30006,1}"
8,3,PetSouHun,4,3,元神进阶丹,2600,520,5,86400,"{""item"",20008,26}"
8,4,PetSouHun,4,3,元神进阶丹,9000,2700,5,86400,"{""item"",20008,90}"
8,5,PetSouHun,4,3,元神技能书,2000,800,1,86400,"{""item"",30006,1}"
8,6,PetSouHun,5,3,元神进阶丹,5400,1080,5,86400,"{""item"",20008,54}"
8,7,PetSouHun,5,3,元神进阶丹,3800,1140,5,86400,"{""item"",20008,38}"
8,8,PetSouHun,5,3,元神技能书,2000,800,1,86400,"{""item"",30006,1}"
8,9,PetSouHun,6,3,元神进阶丹,8000,1600,10,86400,"{""item"",20008,80}"
8,10,PetSouHun,6,3,元神进阶丹,6000,1800,10,86400,"{""item"",20008,60}"
8,11,PetSouHun,6,3,元神6阶经验丹,5000,2500,1,86400,"{""item"",20061,1}"
8,12,PetSouHun,7,3,元神进阶丹,8000,1600,10,86400,"{""item"",20008,80}"
8,13,PetSouHun,7,3,元神进阶丹,6000,1800,10,86400,"{""item"",20008,60}"
8,14,PetSouHun,7,3,元神7阶经验丹,5000,2500,1,86400,"{""item"",20062,1}"
8,15,PetSouHun,8,3,元神进阶丹,8000,1600,10,86400,"{""item"",20008,80}"
8,16,PetSouHun,8,3,元神进阶丹,5500,1650,10,86400,"{""item"",20008,55}"
8,17,PetSouHun,8,3,元神8阶经验丹,5000,2500,1,86400,"{""item"",20063,1}"
8,18,PetSouHun,9,3,元神进阶丹,11500,2300,20,86400,"{""item"",20008,115}"
8,19,PetSouHun,9,3,元神进阶丹,8000,2400,20,86400,"{""item"",20008,80}"
8,20,PetSouHun,9,3,元神9阶经验丹,5000,2500,1,86400,"{""item"",20064,1}"
8,21,PetSouHun,10,3,元神进阶丹,16500,3300,20,86400,"{""item"",20008,165}"
8,22,PetSouHun,10,3,元神进阶丹,11500,3450,20,86400,"{""item"",20008,115}"
9,0,HeroWing,1,3,翅膀进阶丹,7000,1400,5,86400,"{""item"",20004,70}"
9,1,HeroWing,1,3,翅膀进阶丹,5000,1500,1,86400,"{""item"",20004,50}"
9,2,HeroWing,1,3,翅膀技能书,2000,800,1,86400,"{""item"",30002,1}"
9,3,HeroWing,4,3,翅膀进阶丹,2600,520,5,86400,"{""item"",20004,26}"
9,4,HeroWing,4,3,翅膀进阶丹,9000,2700,5,86400,"{""item"",20004,90}"
9,5,HeroWing,4,3,翅膀技能书,2000,800,1,86400,"{""item"",30002,1}"
9,6,HeroWing,5,3,翅膀进阶丹,5400,1080,5,86400,"{""item"",20004,54}"
9,7,HeroWing,5,3,翅膀进阶丹,3800,1140,5,86400,"{""item"",20004,38}"
9,8,HeroWing,5,3,翅膀技能书,2000,800,1,86400,"{""item"",30002,1}"
9,9,HeroWing,6,3,翅膀进阶丹,8000,1600,10,86400,"{""item"",20004,80}"
9,10,HeroWing,6,3,翅膀进阶丹,6000,1800,10,86400,"{""item"",20004,60}"
9,11,HeroWing,6,3,翅膀6阶经验丹,5000,2500,1,86400,"{""item"",20041,1}"
9,12,HeroWing,7,3,翅膀进阶丹,8000,1600,10,86400,"{""item"",20004,80}"
9,13,HeroWing,7,3,翅膀进阶丹,6000,1800,10,86400,"{""item"",20004,60}"
9,14,HeroWing,7,3,翅膀7阶经验丹,5000,2500,1,86400,"{""item"",20042,1}"
9,15,HeroWing,8,3,翅膀进阶丹,8000,1600,10,86400,"{""item"",20004,80}"
9,16,HeroWing,8,3,翅膀进阶丹,5500,1650,10,86400,"{""item"",20004,55}"
9,17,HeroWing,8,3,翅膀8阶经验丹,5000,2500,1,86400,"{""item"",20043,1}"
9,18,HeroWing,9,3,翅膀进阶丹,11500,2300,20,86400,"{""item"",20004,115}"
9,19,HeroWing,9,3,翅膀进阶丹,8000,2400,20,86400,"{""item"",20004,80}"
9,20,HeroWing,9,3,翅膀9阶经验丹,5000,2500,1,86400,"{""item"",20044,1}"
9,21,HeroWing,10,3,翅膀进阶丹,16500,3300,20,86400,"{""item"",20004,165}"
9,22,HeroWing,10,3,翅膀进阶丹,11500,3450,20,86400,"{""item"",20004,115}"
10,0,TianXianWeapon,1,3,神兵进阶丹,7000,1400,5,86400,"{""item"",20003,70}"
10,1,TianXianWeapon,1,3,神兵进阶丹,5000,1500,1,86400,"{""item"",20003,50}"
10,2,TianXianWeapon,1,3,神兵技能书,2000,800,1,86400,"{""item"",30008,1}"
10,3,TianXianWeapon,4,3,神兵进阶丹,2600,520,5,86400,"{""item"",20003,26}"
10,4,TianXianWeapon,4,3,神兵进阶丹,9000,2700,5,86400,"{""item"",20003,90}"
10,5,TianXianWeapon,4,3,神兵技能书,2000,800,1,86400,"{""item"",30008,1}"
10,6,TianXianWeapon,5,3,神兵进阶丹,5400,1080,5,86400,"{""item"",20003,54}"
10,7,TianXianWeapon,5,3,神兵进阶丹,3800,1140,5,86400,"{""item"",20003,38}"
10,8,TianXianWeapon,5,3,神兵技能书,2000,800,1,86400,"{""item"",30008,1}"
10,9,TianXianWeapon,6,3,神兵进阶丹,8000,1600,10,86400,"{""item"",20003,80}"
10,10,TianXianWeapon,6,3,神兵进阶丹,6000,1800,10,86400,"{""item"",20003,60}"
10,11,TianXianWeapon,6,3,神兵6阶经验丹,5000,2500,1,86400,"{""item"",20036,1}"
10,12,TianXianWeapon,7,3,神兵进阶丹,8000,1600,10,86400,"{""item"",20003,80}"
10,13,TianXianWeapon,7,3,神兵进阶丹,6000,1800,10,86400,"{""item"",20003,60}"
10,14,TianXianWeapon,7,3,神兵7阶经验丹,5000,2500,1,86400,"{""item"",20037,1}"
10,15,TianXianWeapon,8,3,神兵进阶丹,8000,1600,10,86400,"{""item"",20003,80}"
10,16,TianXianWeapon,8,3,神兵进阶丹,5500,1650,10,86400,"{""item"",20003,55}"
10,17,TianXianWeapon,8,3,神兵8阶经验丹,5000,2500,1,86400,"{""item"",20038,1}"
10,18,TianXianWeapon,9,3,神兵进阶丹,11500,2300,20,86400,"{""item"",20003,115}"
10,19,TianXianWeapon,9,3,神兵进阶丹,8000,2400,20,86400,"{""item"",20003,80}"
10,20,TianXianWeapon,9,3,神兵9阶经验丹,5000,2500,1,86400,"{""item"",20039,1}"
10,21,TianXianWeapon,10,3,神兵进阶丹,16500,3300,20,86400,"{""item"",20003,165}"
10,22,TianXianWeapon,10,3,神兵进阶丹,11500,3450,20,86400,"{""item"",20003,115}"
11,0,TianXian,1,3,天仙进阶丹,7000,1400,5,86400,"{""item"",20002,70}"
11,1,TianXian,1,3,天仙进阶丹,5000,1500,1,86400,"{""item"",20002,50}"
11,2,TianXian,1,3,天仙技能书,2000,800,1,86400,"{""item"",30007,1}"
11,3,TianXian,4,3,天仙进阶丹,2600,520,5,86400,"{""item"",20002,26}"
11,4,TianXian,4,3,天仙进阶丹,9000,2700,5,86400,"{""item"",20002,90}"
11,5,TianXian,4,3,天仙技能书,2000,800,1,86400,"{""item"",30007,1}"
11,6,TianXian,5,3,天仙进阶丹,5400,1080,5,86400,"{""item"",20002,54}"
11,7,TianXian,5,3,天仙进阶丹,3800,1140,5,86400,"{""item"",20002,38}"
11,8,TianXian,5,3,天仙技能书,2000,800,1,86400,"{""item"",30007,1}"
11,9,TianXian,6,3,天仙进阶丹,8000,1600,10,86400,"{""item"",20002,80}"
11,10,TianXian,6,3,天仙进阶丹,6000,1800,10,86400,"{""item"",20002,60}"
11,11,TianXian,6,3,天仙6阶经验丹,5000,2500,1,86400,"{""item"",20031,1}"
11,12,TianXian,7,3,天仙进阶丹,8000,1600,10,86400,"{""item"",20002,80}"
11,13,TianXian,7,3,天仙进阶丹,6000,1800,10,86400,"{""item"",20002,60}"
11,14,TianXian,7,3,天仙7阶经验丹,5000,2500,1,86400,"{""item"",20032,1}"
11,15,TianXian,8,3,天仙进阶丹,8000,1600,10,86400,"{""item"",20002,80}"
11,16,TianXian,8,3,天仙进阶丹,5500,1650,10,86400,"{""item"",20002,55}"
11,17,TianXian,8,3,天仙8阶经验丹,5000,2500,1,86400,"{""item"",20033,1}"
11,18,TianXian,9,3,天仙进阶丹,11500,2300,20,86400,"{""item"",20002,115}"
11,19,TianXian,9,3,天仙进阶丹,8000,2400,20,86400,"{""item"",20002,80}"
11,20,TianXian,9,3,天仙9阶经验丹,5000,2500,1,86400,"{""item"",20034,1}"
11,21,TianXian,10,3,天仙进阶丹,16500,3300,20,86400,"{""item"",20002,165}"
11,22,TianXian,10,3,天仙进阶丹,11500,3450,20,86400,"{""item"",20002,115}"
12,0,HeroRide,1,3,坐骑进阶丹,7000,1400,5,86400,"{""item"",20001,70}"
12,1,HeroRide,1,3,坐骑进阶丹,5000,1500,1,86400,"{""item"",20001,50}"
12,2,HeroRide,1,3,坐骑技能书,2000,800,1,86400,"{""item"",30001,1}"
12,3,HeroRide,4,3,坐骑进阶丹,2600,520,5,86400,"{""item"",20001,26}"
12,4,HeroRide,4,3,坐骑进阶丹,9000,2700,5,86400,"{""item"",20001,90}"
12,5,HeroRide,4,3,坐骑技能书,2000,800,1,86400,"{""item"",30001,1}"
12,6,HeroRide,5,3,坐骑进阶丹,5400,1080,5,86400,"{""item"",20001,54}"
12,7,HeroRide,5,3,坐骑进阶丹,3800,1140,5,86400,"{""item"",20001,38}"
12,8,HeroRide,5,3,坐骑技能书,2000,800,1,86400,"{""item"",30001,1}"
12,9,HeroRide,6,3,坐骑进阶丹,8000,1600,10,86400,"{""item"",20001,80}"
12,10,HeroRide,6,3,坐骑进阶丹,6000,1800,10,86400,"{""item"",20001,60}"
12,11,HeroRide,6,3,坐骑6阶经验丹,5000,2500,1,86400,"{""item"",20026,1}"
12,12,HeroRide,7,3,坐骑进阶丹,8000,1600,10,86400,"{""item"",20001,80}"
12,13,HeroRide,7,3,坐骑进阶丹,6000,1800,10,86400,"{""item"",20001,60}"
12,14,HeroRide,7,3,坐骑7阶经验丹,5000,2500,1,86400,"{""item"",20027,1}"
12,15,HeroRide,8,3,坐骑进阶丹,8000,1600,10,86400,"{""item"",20001,80}"
12,16,HeroRide,8,3,坐骑进阶丹,5500,1650,10,86400,"{""item"",20001,55}"
12,17,HeroRide,8,3,坐骑8阶经验丹,5000,2500,1,86400,"{""item"",20028,1}"
12,18,HeroRide,9,3,坐骑进阶丹,11500,2300,20,86400,"{""item"",20001,115}"
12,19,HeroRide,9,3,坐骑进阶丹,8000,2400,20,86400,"{""item"",20001,80}"
12,20,HeroRide,9,3,坐骑9阶经验丹,5000,2500,1,86400,"{""item"",20029,1}"
12,21,HeroRide,10,3,坐骑进阶丹,16500,3300,20,86400,"{""item"",20001,165}"
12,22,HeroRide,10,3,坐骑进阶丹,11500,3450,20,86400,"{""item"",20001,115}"
13,0,TianNv,1,3,女王进阶丹,6000,1800,5,86400,"{""item"",20009,60}"
13,1,TianNv,1,3,女王进阶丹,4000,1600,1,86400,"{""item"",20009,40}"
13,2,TianNv,1,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
13,3,TianNv,4,3,女王进阶丹,2200,660,5,86400,"{""item"",20009,22}"
13,4,TianNv,4,3,女王进阶丹,7200,2880,5,86400,"{""item"",20009,72}"
13,5,TianNv,4,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
13,6,TianNv,5,3,女王进阶丹,4600,1380,5,86400,"{""item"",20009,46}"
13,7,TianNv,5,3,女王进阶丹,3000,1200,5,86400,"{""item"",20009,30}"
13,8,TianNv,5,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
