天数,索引,标题,描述,要求,要求,奖励
5,4,法阵进阶,法阵达到8阶,XianLvFaZhen,8,"{""item"",20005,25},{""commonEquip"",10048,1,5,11}"
5,5,法阵进阶,法阵达到9阶,XianLvFaZhen,9,"{""item"",20005,25},{""commonEquip"",10049,1,5,11}"
5,6,法阵进阶,法阵达到10阶,XianLvFaZhen,10,"{""item"",20005,25},{""commonEquip"",10050,1,5,11}"
6,0,神位进阶,神位达到4阶,XianLvXianWei,4,"{""item"",20006,5}"
6,1,神位进阶,神位达到5阶,XianLvXianWei,5,"{""item"",20006,10},{""commonEquip"",10285,1,5,11}"
6,2,神位进阶,神位达到6阶,XianLvXianWei,6,"{""item"",20006,15},{""commonEquip"",10286,1,5,11}"
6,3,神位进阶,神位达到7阶,XianLvXianWei,7,"{""item"",20006,20},{""commonEquip"",10287,1,5,11}"
6,4,神位进阶,神位达到8阶,XianLvXianWei,8,"{""item"",20006,25},{""commonEquip"",10288,1,5,11}"
6,5,神位进阶,神位达到9阶,XianLvXianWei,9,"{""item"",20006,25},{""commonEquip"",10289,1,5,11}"
6,6,神位进阶,神位达到10阶,XianLvXianWei,10,"{""item"",20006,25},{""commonEquip"",10290,1,5,11}"
7,0,通灵进阶,通灵达到4阶,PetTongLin,4,"{""item"",20007,5}"
7,1,通灵进阶,通灵达到5阶,PetTongLin,5,"{""item"",20007,10},{""commonEquip"",10245,1,5,11}"
7,2,通灵进阶,通灵达到6阶,PetTongLin,6,"{""item"",20007,15},{""commonEquip"",10246,1,5,11}"
7,3,通灵进阶,通灵达到7阶,PetTongLin,7,"{""item"",20007,20},{""commonEquip"",10247,1,5,11}"
7,4,通灵进阶,通灵达到8阶,PetTongLin,8,"{""item"",20007,25},{""commonEquip"",10248,1,5,11}"
7,5,通灵进阶,通灵达到9阶,PetTongLin,9,"{""item"",20007,25},{""commonEquip"",10249,1,5,11}"
7,6,通灵进阶,通灵达到10阶,PetTongLin,10,"{""item"",20007,25},{""commonEquip"",10250,1,5,11}"
8,0,元神进阶,元神达到4阶,PetSouHun,4,"{""item"",20008,5}"
8,1,元神进阶,元神达到5阶,PetSouHun,5,"{""item"",20008,10},{""commonEquip"",10005,1,5,11}"
8,2,元神进阶,元神达到6阶,PetSouHun,6,"{""item"",20008,15},{""commonEquip"",10006,1,5,11}"
8,3,元神进阶,元神达到7阶,PetSouHun,7,"{""item"",20008,20},{""commonEquip"",10007,1,5,11}"
8,4,元神进阶,元神达到8阶,PetSouHun,8,"{""item"",20008,25},{""commonEquip"",10008,1,5,11}"
8,5,元神进阶,元神达到9阶,PetSouHun,9,"{""item"",20008,25},{""commonEquip"",10009,1,5,11}"
8,6,元神进阶,元神达到10阶,PetSouHun,10,"{""item"",20008,25},{""commonEquip"",10010,1,5,11}"
9,0,翅膀进阶,翅膀达到4阶,HeroWing,4,"{""item"",20004,5}"
9,1,翅膀进阶,翅膀达到5阶,HeroWing,5,"{""item"",20004,10},{""commonEquip"",10335,1,5,11}"
9,2,翅膀进阶,翅膀达到6阶,HeroWing,6,"{""item"",20004,15},{""commonEquip"",10336,1,5,11}"
9,3,翅膀进阶,翅膀达到7阶,HeroWing,7,"{""item"",20004,20},{""commonEquip"",10337,1,5,11}"
9,4,翅膀进阶,翅膀达到8阶,HeroWing,8,"{""item"",20004,25},{""commonEquip"",10338,1,5,11}"
9,5,翅膀进阶,翅膀达到9阶,HeroWing,9,"{""item"",20004,25},{""commonEquip"",10339,1,5,11}"
9,6,翅膀进阶,翅膀达到10阶,HeroWing,10,"{""item"",20004,25},{""commonEquip"",10340,1,5,11}"
10,0,神兵进阶,神兵达到4阶,TianXianWeapon,4,"{""item"",20003,5}"
10,1,神兵进阶,神兵达到5阶,TianXianWeapon,5,"{""item"",20003,10},{""commonEquip"",10375,1,5,11}"
10,2,神兵进阶,神兵达到6阶,TianXianWeapon,6,"{""item"",20003,15},{""commonEquip"",10376,1,5,11}"
10,3,神兵进阶,神兵达到7阶,TianXianWeapon,7,"{""item"",20003,20},{""commonEquip"",10377,1,5,11}"
10,4,神兵进阶,神兵达到8阶,TianXianWeapon,8,"{""item"",20003,25},{""commonEquip"",10378,1,5,11}"
10,5,神兵进阶,神兵达到9阶,TianXianWeapon,9,"{""item"",20003,25},{""commonEquip"",10379,1,5,11}"
10,6,神兵进阶,神兵达到10阶,TianXianWeapon,10,"{""item"",20003,25},{""commonEquip"",10380,1,5,11}"
11,0,天仙进阶,天仙达到4阶,TianXian,4,"{""item"",20002,5}"
11,1,天仙进阶,天仙达到5阶,TianXian,5,"{""item"",20002,10},{""commonEquip"",10415,1,5,11}"
11,2,天仙进阶,天仙达到6阶,TianXian,6,"{""item"",20002,15},{""commonEquip"",10416,1,5,11}"
11,3,天仙进阶,天仙达到7阶,TianXian,7,"{""item"",20002,20},{""commonEquip"",10417,1,5,11}"
11,4,天仙进阶,天仙达到8阶,TianXian,8,"{""item"",20002,25},{""commonEquip"",10418,1,5,11}"
11,5,天仙进阶,天仙达到9阶,TianXian,9,"{""item"",20002,25},{""commonEquip"",10419,1,5,11}"
11,6,天仙进阶,天仙达到10阶,TianXian,10,"{""item"",20002,25},{""commonEquip"",10420,1,5,11}"
12,0,坐骑进阶,坐骑达到4阶,HeroRide,4,"{""item"",20001,5}"
12,1,坐骑进阶,坐骑达到5阶,HeroRide,5,"{""item"",20001,10},{""commonEquip"",10455,1,5,11}"
12,2,坐骑进阶,坐骑达到6阶,HeroRide,6,"{""item"",20001,15},{""commonEquip"",10456,1,5,11}"
12,3,坐骑进阶,坐骑达到7阶,HeroRide,7,"{""item"",20001,20},{""commonEquip"",10457,1,5,11}"
12,4,坐骑进阶,坐骑达到8阶,HeroRide,8,"{""item"",20001,25},{""commonEquip"",10458,1,5,11}"
12,5,坐骑进阶,坐骑达到9阶,HeroRide,9,"{""item"",20001,25},{""commonEquip"",10459,1,5,11}"
12,6,坐骑进阶,坐骑达到10阶,HeroRide,10,"{""item"",20001,25},{""commonEquip"",10460,1,5,11}"
13,0,女王进阶,女儿国王达到4阶,TianNv,4,"{""item"",20009,5}"
13,1,女王进阶,女儿国王达到5阶,TianNv,5,"{""item"",20009,10},{""commonEquip"",10135,1,5,11}"
13,2,女王进阶,女儿国王达到6阶,TianNv,6,"{""item"",20009,15},{""commonEquip"",10136,1,5,11}"
13,3,女王进阶,女儿国王达到7阶,TianNv,7,"{""item"",20009,20},{""commonEquip"",10137,1,5,11}"
13,4,女王进阶,女儿国王达到8阶,TianNv,8,"{""item"",20009,25},{""commonEquip"",10138,1,5,11}"
13,5,女王进阶,女儿国王达到9阶,TianNv,9,"{""item"",20009,25},{""commonEquip"",10139,1,5,11}"
13,6,女王进阶,女儿国王达到10阶,TianNv,10,"{""item"",20009,25},{""commonEquip"",10140,1,5,11}"
14,0,仙位进阶,仙位达到4阶,TianNvXianQi,4,"{""item"",20010,5}"
14,1,仙位进阶,仙位达到5阶,TianNvXianQi,5,"{""item"",20010,10},{""commonEquip"",10095,1,5,11}"
14,2,仙位进阶,仙位达到6阶,TianNvXianQi,6,"{""item"",20010,15},{""commonEquip"",10096,1,5,11}"
14,3,仙位进阶,仙位达到7阶,TianNvXianQi,7,"{""item"",20010,20},{""commonEquip"",10097,1,5,11}"
14,4,仙位进阶,仙位达到8阶,TianNvXianQi,8,"{""item"",20010,25},{""commonEquip"",10098,1,5,11}"
14,5,仙位进阶,仙位达到9阶,TianNvXianQi,9,"{""item"",20010,25},{""commonEquip"",10099,1,5,11}"
14,6,仙位进阶,仙位达到10阶,TianNvXianQi,10,"{""item"",20010,25},{""commonEquip"",10100,1,5,11}"
15,0,花辇进阶,花辇达到4阶,TianNvHuaNian,4,"{""item"",20011,5}"
15,1,花辇进阶,花辇达到5阶,TianNvHuaNian,5,"{""item"",20011,10},{""commonEquip"",10175,1,5,11}"
15,2,花辇进阶,花辇达到6阶,TianNvHuaNian,6,"{""item"",20011,15},{""commonEquip"",10176,1,5,11}"
15,3,花辇进阶,花辇达到7阶,TianNvHuaNian,7,"{""item"",20011,20},{""commonEquip"",10177,1,5,11}"
15,4,花辇进阶,花辇达到8阶,TianNvHuaNian,8,"{""item"",20011,25},{""commonEquip"",10178,1,5,11}"
15,5,花辇进阶,花辇达到9阶,TianNvHuaNian,9,"{""item"",20011,25},{""commonEquip"",10179,1,5,11}"
15,6,花辇进阶,花辇达到10阶,TianNvHuaNian,10,"{""item"",20011,25},{""commonEquip"",10180,1,5,11}"
16,0,灵气进阶,灵气达到4阶,TianNvLingQi,4,"{""item"",20012,5}"
16,1,灵气进阶,灵气达到5阶,TianNvLingQi,5,"{""item"",20012,10},{""commonEquip"",10215,1,5,11}"
16,2,灵气进阶,灵气达到6阶,TianNvLingQi,6,"{""item"",20012,15},{""commonEquip"",10216,1,5,11}"
16,3,灵气进阶,灵气达到7阶,TianNvLingQi,7,"{""item"",20012,20},{""commonEquip"",10217,1,5,11}"
16,4,灵气进阶,灵气达到8阶,TianNvLingQi,8,"{""item"",20012,25},{""commonEquip"",10218,1,5,11}"
16,5,灵气进阶,灵气达到9阶,TianNvLingQi,9,"{""item"",20012,25},{""commonEquip"",10219,1,5,11}"
16,6,灵气进阶,灵气达到10阶,TianNvLingQi,10,"{""item"",20012,25},{""commonEquip"",10220,1,5,11}"
17,0,法阵进阶,法阵达到4阶,XianLvFaZhen,4,"{""item"",20005,5}"
17,1,法阵进阶,法阵达到5阶,XianLvFaZhen,5,"{""item"",20005,10},{""commonEquip"",10025,1,5,11}"
17,2,法阵进阶,法阵达到6阶,XianLvFaZhen,6,"{""item"",20005,15},{""commonEquip"",10026,1,5,11}"
17,3,法阵进阶,法阵达到7阶,XianLvFaZhen,7,"{""item"",20005,20},{""commonEquip"",10027,1,5,11}"
17,4,法阵进阶,法阵达到8阶,XianLvFaZhen,8,"{""item"",20005,25},{""commonEquip"",10028,1,5,11}"
17,5,法阵进阶,法阵达到9阶,XianLvFaZhen,9,"{""item"",20005,25},{""commonEquip"",10029,1,5,11}"
17,6,法阵进阶,法阵达到10阶,XianLvFaZhen,10,"{""item"",20005,25},{""commonEquip"",10030,1,5,11}"
18,0,神位进阶,神位达到4阶,XianLvXianWei,4,"{""item"",20006,5}"
18,1,神位进阶,神位达到5阶,XianLvXianWei,5,"{""item"",20006,10},{""commonEquip"",10265,1,5,11}"
18,2,神位进阶,神位达到6阶,XianLvXianWei,6,"{""item"",20006,15},{""commonEquip"",10266,1,5,11}"
18,3,神位进阶,神位达到7阶,XianLvXianWei,7,"{""item"",20006,20},{""commonEquip"",10267,1,5,11}"
18,4,神位进阶,神位达到8阶,XianLvXianWei,8,"{""item"",20006,25},{""commonEquip"",10268,1,5,11}"
18,5,神位进阶,神位达到9阶,XianLvXianWei,9,"{""item"",20006,25},{""commonEquip"",10269,1,5,11}"
18,6,神位进阶,神位达到10阶,XianLvXianWei,10,"{""item"",20006,25},{""commonEquip"",10270,1,5,11}"
19,0,女王进阶,女儿国王达到4阶,TianNv,4,"{""item"",20009,5}"
19,1,女王进阶,女儿国王达到5阶,TianNv,5,"{""item"",20009,10},{""commonEquip"",10305,1,5,11}"
19,2,女王进阶,女儿国王达到6阶,TianNv,6,"{""item"",20009,15},{""commonEquip"",10306,1,5,11}"
19,3,女王进阶,女儿国王达到7阶,TianNv,7,"{""item"",20009,20},{""commonEquip"",10307,1,5,11}"
19,4,女王进阶,女儿国王达到8阶,TianNv,8,"{""item"",20009,25},{""commonEquip"",10308,1,5,11}"
19,5,女王进阶,女儿国王达到9阶,TianNv,9,"{""item"",20009,25},{""commonEquip"",10309,1,5,11}"
19,6,女王进阶,女儿国王达到10阶,TianNv,10,"{""item"",20009,25},{""commonEquip"",10310,1,5,11}"
20,0,仙位进阶,仙位达到4阶,TianNvXianQi,4,"{""item"",20010,5}"
20,1,仙位进阶,仙位达到5阶,TianNvXianQi,5,"{""item"",20010,10},{""commonEquip"",10065,1,5,11}"
20,2,仙位进阶,仙位达到6阶,TianNvXianQi,6,"{""item"",20010,15},{""commonEquip"",10066,1,5,11}"
20,3,仙位进阶,仙位达到7阶,TianNvXianQi,7,"{""item"",20010,20},{""commonEquip"",10067,1,5,11}"
20,4,仙位进阶,仙位达到8阶,TianNvXianQi,8,"{""item"",20010,25},{""commonEquip"",10068,1,5,11}"
20,5,仙位进阶,仙位达到9阶,TianNvXianQi,9,"{""item"",20010,25},{""commonEquip"",10069,1,5,11}"
20,6,仙位进阶,仙位达到10阶,TianNvXianQi,10,"{""item"",20010,25},{""commonEquip"",10070,1,5,11}"
21,0,花辇进阶,花辇达到4阶,TianNvHuaNian,4,"{""item"",20011,5}"
21,1,花辇进阶,花辇达到5阶,TianNvHuaNian,5,"{""item"",20011,10},{""commonEquip"",10225,1,5,11}"
21,2,花辇进阶,花辇达到6阶,TianNvHuaNian,6,"{""item"",20011,15},{""commonEquip"",10226,1,5,11}"
21,3,花辇进阶,花辇达到7阶,TianNvHuaNian,7,"{""item"",20011,20},{""commonEquip"",10227,1,5,11}"
21,4,花辇进阶,花辇达到8阶,TianNvHuaNian,8,"{""item"",20011,25},{""commonEquip"",10228,1,5,11}"
21,5,花辇进阶,花辇达到9阶,TianNvHuaNian,9,"{""item"",20011,25},{""commonEquip"",10229,1,5,11}"
21,6,花辇进阶,花辇达到10阶,TianNvHuaNian,10,"{""item"",20011,25},{""commonEquip"",10230,1,5,11}"
22,0,灵气进阶,灵气达到4阶,TianNvLingQi,4,"{""item"",20012,5}"
22,1,灵气进阶,灵气达到5阶,TianNvLingQi,5,"{""item"",20012,10},{""commonEquip"",10185,1,5,11}"
22,2,灵气进阶,灵气达到6阶,TianNvLingQi,6,"{""item"",20012,15},{""commonEquip"",10186,1,5,11}"
22,3,灵气进阶,灵气达到7阶,TianNvLingQi,7,"{""item"",20012,20},{""commonEquip"",10187,1,5,11}"
22,4,灵气进阶,灵气达到8阶,TianNvLingQi,8,"{""item"",20012,25},{""commonEquip"",10188,1,5,11}"
22,5,灵气进阶,灵气达到9阶,TianNvLingQi,9,"{""item"",20012,25},{""commonEquip"",10189,1,5,11}"
22,6,灵气进阶,灵气达到10阶,TianNvLingQi,10,"{""item"",20012,25},{""commonEquip"",10190,1,5,11}"
23,0,法阵进阶,法阵达到4阶,XianLvFaZhen,4,"{""item"",20005,5}"
23,1,法阵进阶,法阵达到5阶,XianLvFaZhen,5,"{""item"",20005,10},{""commonEquip"",10035,1,5,11}"
23,2,法阵进阶,法阵达到6阶,XianLvFaZhen,6,"{""item"",20005,15},{""commonEquip"",10036,1,5,11}"
23,3,法阵进阶,法阵达到7阶,XianLvFaZhen,7,"{""item"",20005,20},{""commonEquip"",10037,1,5,11}"
23,4,法阵进阶,法阵达到8阶,XianLvFaZhen,8,"{""item"",20005,25},{""commonEquip"",10038,1,5,11}"
23,5,法阵进阶,法阵达到9阶,XianLvFaZhen,9,"{""item"",20005,25},{""commonEquip"",10039,1,5,11}"
23,6,法阵进阶,法阵达到10阶,XianLvFaZhen,10,"{""item"",20005,25},{""commonEquip"",10040,1,5,11}"
24,0,神位进阶,神位达到4阶,XianLvXianWei,4,"{""item"",20006,5}"
24,1,神位进阶,神位达到5阶,XianLvXianWei,5,"{""item"",20006,10},{""commonEquip"",10275,1,5,11}"
24,2,神位进阶,神位达到6阶,XianLvXianWei,6,"{""item"",20006,15},{""commonEquip"",10276,1,5,11}"
24,3,神位进阶,神位达到7阶,XianLvXianWei,7,"{""item"",20006,20},{""commonEquip"",10277,1,5,11}"
24,4,神位进阶,神位达到8阶,XianLvXianWei,8,"{""item"",20006,25},{""commonEquip"",10278,1,5,11}"
24,5,神位进阶,神位达到9阶,XianLvXianWei,9,"{""item"",20006,25},{""commonEquip"",10279,1,5,11}"
24,6,神位进阶,神位达到10阶,XianLvXianWei,10,"{""item"",20006,25},{""commonEquip"",10280,1,5,11}"
