类型,冲多少点,index,奖励什么,
101,400000,17,"{""item"",60007,200},{""item"",60009,200},{""item"",20001,400},{""item"",20002,400},{""bindRmb"",10000},{""funds"",5000000}",499800
102,1000,10,"{""item"",60008,2},{""item"",20015,5},{""item"",20005,10},{""item"",20006,10},{""bindRmb"",1000},{""funds"",800000}",5800
102,3000,11,"{""item"",60008,5},{""item"",20015,10},{""item"",20012,20},{""item"",20008,20},{""bindRmb"",1500},{""funds"",1200000}",16500
102,10000,12,"{""talisman"",19003,1,5},{""item"",20015,25},{""item"",20009,30},{""item"",20002,30},{""bindRmb"",2000},{""funds"",1600000}",36100
102,20000,13,"{""talisman"",19004,1,5},{""item"",20015,40},{""item"",20010,40},{""item"",20004,40},{""bindRmb"",3000},{""funds"",2000000}",62600
102,50000,14,"{""talisman"",19005,1,5},{""item"",20015,60},{""item"",20011,90},{""item"",20006,90},{""bindRmb"",4000},{""funds"",2400000}",115500
102,100000,15,"{""talisman"",19006,1,5},{""item"",20015,125},{""item"",20012,150},{""item"",20008,150},{""bindRmb"",5000},{""funds"",2800000}",196800
102,200000,16,"{""talisman"",19001,1,6},{""item"",20015,200},{""item"",20001,250},{""item"",20002,250},{""bindRmb"",7000},{""funds"",3500000}",319800
102,400000,17,"{""talisman"",19002,1,6},{""item"",20015,300},{""item"",20003,400},{""item"",20004,400},{""bindRmb"",10000},{""funds"",5000000}",499800
103,1000,10,"{""item"",60010,3},{""item"",60009,5},{""item"",20012,10},{""item"",20008,10},{""bindRmb"",1000},{""funds"",800000}",5800
103,3000,11,"{""item"",60010,7},{""item"",60009,15},{""item"",20009,20},{""item"",20002,20},{""bindRmb"",1500},{""funds"",1200000}",16500
103,10000,12,"{""item"",60010,13},{""item"",60009,30},{""item"",20010,30},{""item"",20004,30},{""bindRmb"",2000},{""funds"",1600000}",36100
103,20000,13,"{""item"",60010,18},{""item"",60009,40},{""item"",20011,40},{""item"",20006,40},{""bindRmb"",3000},{""funds"",2000000}",62600
103,50000,14,"{""item"",60010,33},{""item"",60009,70},{""item"",20012,90},{""item"",20008,90},{""bindRmb"",4000},{""funds"",2400000}",115500
103,100000,15,"{""item"",60010,48},{""item"",60009,100},{""item"",20001,150},{""item"",20002,150},{""bindRmb"",5000},{""funds"",2800000}",196800
103,200000,16,"{""item"",60010,63},{""item"",60009,135},{""item"",20003,250},{""item"",20004,250},{""bindRmb"",7000},{""funds"",3500000}",319800
103,400000,17,"{""item"",60010,75},{""item"",60009,200},{""item"",20005,400},{""item"",20006,400},{""bindRmb"",10000},{""funds"",5000000}",499800
104,1000,10,"{""item"",60008,2},{""item"",20015,5},{""item"",20009,10},{""item"",20002,10},{""bindRmb"",1000},{""funds"",800000}",5800
104,3000,11,"{""item"",60008,5},{""item"",20015,10},{""item"",20010,20},{""item"",20004,20},{""bindRmb"",1500},{""funds"",1200000}",16500
104,10000,12,"{""talisman"",19005,1,5},{""item"",20015,25},{""item"",20011,30},{""item"",20006,30},{""bindRmb"",2000},{""funds"",1600000}",36100
104,20000,13,"{""talisman"",19006,1,5},{""item"",20015,40},{""item"",20012,40},{""item"",20008,40},{""bindRmb"",3000},{""funds"",2000000}",62600
104,50000,14,"{""talisman"",19007,1,5},{""item"",20015,60},{""item"",20001,90},{""item"",20002,90},{""bindRmb"",4000},{""funds"",2400000}",115500
104,100000,15,"{""talisman"",19008,1,5},{""item"",20015,125},{""item"",20003,150},{""item"",20004,150},{""bindRmb"",5000},{""funds"",2800000}",196800
104,200000,16,"{""talisman"",19003,1,6},{""item"",20015,200},{""item"",20005,250},{""item"",20006,250},{""bindRmb"",7000},{""funds"",3500000}",319800
104,400000,17,"{""talisman"",19004,1,6},{""item"",20015,300},{""item"",20012,400},{""item"",20008,400},{""bindRmb"",10000},{""funds"",5000000}",499800
105,1000,10,"{""item"",60007,5},{""item"",60009,5},{""item"",20010,10},{""item"",20004,10},{""bindRmb"",1000},{""funds"",800000}",5800
105,3000,11,"{""item"",60007,15},{""item"",60009,15},{""item"",20011,20},{""item"",20006,20},{""bindRmb"",1500},{""funds"",1200000}",16500
105,10000,12,"{""item"",60007,30},{""item"",60009,30},{""item"",20012,30},{""item"",20008,30},{""bindRmb"",2000},{""funds"",1600000}",36100
105,20000,13,"{""item"",60007,40},{""item"",60009,40},{""item"",20001,40},{""item"",20002,40},{""bindRmb"",3000},{""funds"",2000000}",62600
105,50000,14,"{""item"",60007,70},{""item"",60009,70},{""item"",20003,90},{""item"",20004,90},{""bindRmb"",4000},{""funds"",2400000}",115500
105,100000,15,"{""item"",60007,100},{""item"",60009,100},{""item"",20005,150},{""item"",20006,150},{""bindRmb"",5000},{""funds"",2800000}",196800
105,200000,16,"{""item"",60007,135},{""item"",60009,135},{""item"",20012,250},{""item"",20008,250},{""bindRmb"",7000},{""funds"",3500000}",319800
105,400000,17,"{""item"",60007,200},{""item"",60009,200},{""item"",20009,400},{""item"",20002,400},{""bindRmb"",10000},{""funds"",5000000}",499800
106,1000,10,"{""item"",60008,2},{""item"",20015,5},{""item"",20011,10},{""item"",20006,10},{""bindRmb"",1000},{""funds"",800000}",5800
106,3000,11,"{""item"",60008,5},{""item"",20015,10},{""item"",20012,20},{""item"",20008,20},{""bindRmb"",1500},{""funds"",1200000}",16500
106,10000,12,"{""talisman"",19007,1,5},{""item"",20015,25},{""item"",20001,30},{""item"",20002,30},{""bindRmb"",2000},{""funds"",1600000}",36100
106,20000,13,"{""talisman"",19008,1,5},{""item"",20015,40},{""item"",20003,40},{""item"",20004,40},{""bindRmb"",3000},{""funds"",2000000}",62600
106,50000,14,"{""talisman"",19001,1,5},{""item"",20015,60},{""item"",20005,90},{""item"",20006,90},{""bindRmb"",4000},{""funds"",2400000}",115500
106,100000,15,"{""talisman"",19002,1,5},{""item"",20015,125},{""item"",20012,150},{""item"",20008,150},{""bindRmb"",5000},{""funds"",2800000}",196800
106,200000,16,"{""talisman"",19005,1,6},{""item"",20015,200},{""item"",20009,250},{""item"",20002,250},{""bindRmb"",7000},{""funds"",3500000}",319800
106,400000,17,"{""talisman"",19006,1,6},{""item"",20015,300},{""item"",20010,400},{""item"",20004,400},{""bindRmb"",10000},{""funds"",5000000}",499800
107,1000,10,"{""item"",60010,3},{""item"",60009,5},{""item"",20012,10},{""item"",20008,10},{""bindRmb"",1000},{""funds"",800000}",5800
107,3000,11,"{""item"",60010,7},{""item"",60009,15},{""item"",20001,20},{""item"",20002,20},{""bindRmb"",1500},{""funds"",1200000}",16500
107,10000,12,"{""item"",60010,13},{""item"",60009,30},{""item"",20003,30},{""item"",20004,30},{""bindRmb"",2000},{""funds"",1600000}",36100
107,20000,13,"{""item"",60010,18},{""item"",60009,40},{""item"",20005,40},{""item"",20006,40},{""bindRmb"",3000},{""funds"",2000000}",62600
107,50000,14,"{""item"",60010,33},{""item"",60009,70},{""item"",20012,90},{""item"",20008,90},{""bindRmb"",4000},{""funds"",2400000}",115500
107,100000,15,"{""item"",60010,48},{""item"",60009,100},{""item"",20009,150},{""item"",20002,150},{""bindRmb"",5000},{""funds"",2800000}",196800
107,200000,16,"{""item"",60010,63},{""item"",60009,135},{""item"",20010,250},{""item"",20004,250},{""bindRmb"",7000},{""funds"",3500000}",319800
107,400000,17,"{""item"",60010,75},{""item"",60009,200},{""item"",20011,400},{""item"",20006,400},{""bindRmb"",10000},{""funds"",5000000}",499800
