套装ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,子类型,装备基础属性
108,3,203,"{'maxhp',9000},{'hujia',3600}"
108,4,203,"{'maxhp',15000},{'hujia',6000}"
108,5,203,"{'maxhp',30000},{'hujia',12000}"
108,6,203,"{'maxhp',75000},{'hujia',30000}"
109,1,203,"{'maxhp',3720},{'hujia',1488}"
109,2,203,"{'maxhp',7440},{'hujia',2976}"
109,3,203,"{'maxhp',11160},{'hujia',4464}"
109,4,203,"{'maxhp',18600},{'hujia',7440}"
109,5,203,"{'maxhp',37200},{'hujia',14880}"
109,6,203,"{'maxhp',93000},{'hujia',37200}"
110,1,203,"{'maxhp',4500},{'hujia',1800}"
110,2,203,"{'maxhp',9000},{'hujia',3600}"
110,3,203,"{'maxhp',13500},{'hujia',5400}"
110,4,203,"{'maxhp',22500},{'hujia',9000}"
110,5,203,"{'maxhp',45000},{'hujia',18000}"
110,6,203,"{'maxhp',112500},{'hujia',45000}"
111,1,203,"{'maxhp',5580},{'hujia',2232}"
111,2,203,"{'maxhp',11160},{'hujia',4464}"
111,3,203,"{'maxhp',16740},{'hujia',6696}"
111,4,203,"{'maxhp',27900},{'hujia',11160}"
111,5,203,"{'maxhp',55800},{'hujia',22320}"
111,6,203,"{'maxhp',139500},{'hujia',55800}"
112,1,203,"{'maxhp',6900},{'hujia',2760}"
112,2,203,"{'maxhp',13800},{'hujia',5520}"
112,3,203,"{'maxhp',20700},{'hujia',8280}"
112,4,203,"{'maxhp',34500},{'hujia',13800}"
112,5,203,"{'maxhp',69000},{'hujia',27600}"
112,6,203,"{'maxhp',172500},{'hujia',69000}"
113,1,203,"{'maxhp',8400},{'hujia',3360}"
113,2,203,"{'maxhp',16800},{'hujia',6720}"
113,3,203,"{'maxhp',25200},{'hujia',10080}"
113,4,203,"{'maxhp',42000},{'hujia',16800}"
113,5,203,"{'maxhp',84000},{'hujia',33600}"
113,6,203,"{'maxhp',210000},{'hujia',84000}"
101,1,204,"{'maxhp',90},{'demage',28}"
101,2,204,"{'maxhp',180},{'demage',56}"
101,3,204,"{'maxhp',270},{'demage',84}"
101,4,204,"{'maxhp',450},{'demage',140}"
101,5,204,"{'maxhp',900},{'demage',280}"
102,1,204,"{'maxhp',180},{'demage',56}"
102,2,204,"{'maxhp',360},{'demage',112}"
102,3,204,"{'maxhp',540},{'demage',168}"
102,4,204,"{'maxhp',900},{'demage',280}"
102,5,204,"{'maxhp',1800},{'demage',560}"
103,1,204,"{'maxhp',300},{'demage',96}"
103,2,204,"{'maxhp',600},{'demage',192}"
103,3,204,"{'maxhp',900},{'demage',288}"
103,4,204,"{'maxhp',1500},{'demage',480}"
103,5,204,"{'maxhp',3000},{'demage',960}"
104,1,204,"{'maxhp',450},{'demage',144}"
104,2,204,"{'maxhp',900},{'demage',288}"
104,3,204,"{'maxhp',1350},{'demage',432}"
104,4,204,"{'maxhp',2250},{'demage',720}"
104,5,204,"{'maxhp',4500},{'demage',1440}"
105,1,204,"{'maxhp',660},{'demage',211}"
105,2,204,"{'maxhp',1320},{'demage',422}"
105,3,204,"{'maxhp',1980},{'demage',633}"
105,4,204,"{'maxhp',3300},{'demage',1056}"
105,5,204,"{'maxhp',6600},{'demage',2112}"
105,6,204,"{'maxhp',16500},{'demage',5280}"
106,1,204,"{'maxhp',900},{'demage',288}"
106,2,204,"{'maxhp',1800},{'demage',576}"
106,3,204,"{'maxhp',2700},{'demage',864}"
106,4,204,"{'maxhp',4500},{'demage',1440}"
106,5,204,"{'maxhp',9000},{'demage',2880}"
106,6,204,"{'maxhp',22500},{'demage',7200}"
107,1,204,"{'maxhp',1170},{'demage',374}"
107,2,204,"{'maxhp',2340},{'demage',748}"
107,3,204,"{'maxhp',3510},{'demage',1123}"
107,4,204,"{'maxhp',5850},{'demage',1872}"
107,5,204,"{'maxhp',11700},{'demage',3744}"
107,6,204,"{'maxhp',29250},{'demage',9360}"
108,1,204,"{'maxhp',1500},{'demage',480}"
108,2,204,"{'maxhp',3000},{'demage',960}"
108,3,204,"{'maxhp',4500},{'demage',1440}"
108,4,204,"{'maxhp',7500},{'demage',2400}"
108,5,204,"{'maxhp',15000},{'demage',4800}"
108,6,204,"{'maxhp',37500},{'demage',12000}"
109,1,204,"{'maxhp',1860},{'demage',595}"
109,2,204,"{'maxhp',3720},{'demage',1190}"
109,3,204,"{'maxhp',5580},{'demage',1785}"
109,4,204,"{'maxhp',9300},{'demage',2976}"
109,5,204,"{'maxhp',18600},{'demage',5952}"
109,6,204,"{'maxhp',46500},{'demage',14880}"
110,1,204,"{'maxhp',2250},{'demage',720}"
110,2,204,"{'maxhp',4500},{'demage',1440}"
110,3,204,"{'maxhp',6750},{'demage',2160}"
110,4,204,"{'maxhp',11250},{'demage',3600}"
110,5,204,"{'maxhp',22500},{'demage',7200}"
110,6,204,"{'maxhp',56250},{'demage',18000}"
111,1,204,"{'maxhp',2790},{'demage',892}"
111,2,204,"{'maxhp',5580},{'demage',1785}"
111,3,204,"{'maxhp',8370},{'demage',2678}"
111,4,204,"{'maxhp',13950},{'demage',4464}"
111,5,204,"{'maxhp',27900},{'demage',8928}"
111,6,204,"{'maxhp',69750},{'demage',22320}"
112,1,204,"{'maxhp',3450},{'demage',1104}"
112,2,204,"{'maxhp',6900},{'demage',2208}"
112,3,204,"{'maxhp',10350},{'demage',3312}"
112,4,204,"{'maxhp',17250},{'demage',5520}"
112,5,204,"{'maxhp',34500},{'demage',11040}"
112,6,204,"{'maxhp',86250},{'demage',27600}"
113,1,204,"{'maxhp',4200},{'demage',1344}"
113,2,204,"{'maxhp',8400},{'demage',2688}"
113,3,204,"{'maxhp',12600},{'demage',4032}"
113,4,204,"{'maxhp',21000},{'demage',6720}"
113,5,204,"{'maxhp',42000},{'demage',13440}"
113,6,204,"{'maxhp',105000},{'demage',33600}"
101,1,205,"{'maxhp',90},{'demage',28}"
101,2,205,"{'maxhp',180},{'demage',56}"
101,3,205,"{'maxhp',270},{'demage',84}"
101,4,205,"{'maxhp',450},{'demage',140}"
101,5,205,"{'maxhp',900},{'demage',280}"
102,1,205,"{'maxhp',180},{'demage',56}"
102,2,205,"{'maxhp',360},{'demage',112}"
102,3,205,"{'maxhp',540},{'demage',168}"
102,4,205,"{'maxhp',900},{'demage',280}"
102,5,205,"{'maxhp',1800},{'demage',560}"
103,1,205,"{'maxhp',300},{'demage',96}"
103,2,205,"{'maxhp',600},{'demage',192}"
103,3,205,"{'maxhp',900},{'demage',288}"
103,4,205,"{'maxhp',1500},{'demage',480}"
103,5,205,"{'maxhp',3000},{'demage',960}"
104,1,205,"{'maxhp',450},{'demage',140}"
104,2,205,"{'maxhp',900},{'demage',280}"
104,3,205,"{'maxhp',1350},{'demage',420}"
104,4,205,"{'maxhp',2250},{'demage',700}"
104,5,205,"{'maxhp',4500},{'demage',1400}"
105,1,205,"{'maxhp',660},{'demage',211}"
105,2,205,"{'maxhp',1320},{'demage',422}"
105,3,205,"{'maxhp',1980},{'demage',633}"
105,4,205,"{'maxhp',3300},{'demage',1056}"
105,5,205,"{'maxhp',6600},{'demage',2112}"
105,6,205,"{'maxhp',16500},{'demage',5280}"
106,1,205,"{'maxhp',900},{'demage',288}"
106,2,205,"{'maxhp',1800},{'demage',576}"
106,3,205,"{'maxhp',2700},{'demage',864}"
106,4,205,"{'maxhp',4500},{'demage',1440}"
106,5,205,"{'maxhp',9000},{'demage',2880}"
106,6,205,"{'maxhp',22500},{'demage',7200}"
107,1,205,"{'maxhp',1170},{'demage',374}"
107,2,205,"{'maxhp',2340},{'demage',748}"
107,3,205,"{'maxhp',3510},{'demage',1123}"
107,4,205,"{'maxhp',5850},{'demage',1872}"
107,5,205,"{'maxhp',11700},{'demage',3744}"
107,6,205,"{'maxhp',29250},{'demage',9360}"
108,1,205,"{'maxhp',1500},{'demage',480}"
108,2,205,"{'maxhp',3000},{'demage',960}"
108,3,205,"{'maxhp',4500},{'demage',1440}"
108,4,205,"{'maxhp',7500},{'demage',2400}"
108,5,205,"{'maxhp',15000},{'demage',4800}"
108,6,205,"{'maxhp',37500},{'demage',12000}"
109,1,205,"{'maxhp',1860},{'demage',595}"
109,2,205,"{'maxhp',3720},{'demage',1190}"
109,3,205,"{'maxhp',5580},{'demage',1785}"
109,4,205,"{'maxhp',9300},{'demage',2976}"
109,5,205,"{'maxhp',18600},{'demage',5952}"
109,6,205,"{'maxhp',46500},{'demage',14880}"
110,1,205,"{'maxhp',2250},{'demage',720}"
110,2,205,"{'maxhp',4500},{'demage',1440}"
110,3,205,"{'maxhp',6750},{'demage',2160}"
110,4,205,"{'maxhp',11250},{'demage',3600}"
110,5,205,"{'maxhp',22500},{'demage',7200}"
110,6,205,"{'maxhp',56250},{'demage',18000}"
111,1,205,"{'maxhp',2790},{'demage',892}"
111,2,205,"{'maxhp',5580},{'demage',1785}"
111,3,205,"{'maxhp',8370},{'demage',2678}"
111,4,205,"{'maxhp',13950},{'demage',4464}"
111,5,205,"{'maxhp',27900},{'demage',8928}"
111,6,205,"{'maxhp',69750},{'demage',22320}"
112,1,205,"{'maxhp',3450},{'demage',1104}"
112,2,205,"{'maxhp',6900},{'demage',2208}"
112,3,205,"{'maxhp',10350},{'demage',3312}"
112,4,205,"{'maxhp',17250},{'demage',5520}"
112,5,205,"{'maxhp',34500},{'demage',11040}"
112,6,205,"{'maxhp',86250},{'demage',27600}"
113,1,205,"{'maxhp',4200},{'demage',1344}"
113,2,205,"{'maxhp',8400},{'demage',2688}"
113,3,205,"{'maxhp',12600},{'demage',4032}"
113,4,205,"{'maxhp',21000},{'demage',6720}"
113,5,205,"{'maxhp',42000},{'demage',13440}"
113,6,205,"{'maxhp',105000},{'demage',33600}"
101,1,206,"{'demage',25},{'hujia',24}"
101,2,206,"{'demage',50},{'hujia',48}"
101,3,206,"{'demage',75},{'hujia',72}"
101,4,206,"{'demage',125},{'hujia',120}"
101,5,206,"{'demage',250},{'hujia',240}"
102,1,206,"{'demage',50},{'hujia',48}"
102,2,206,"{'demage',100},{'hujia',96}"
102,3,206,"{'demage',150},{'hujia',144}"
102,4,206,"{'demage',250},{'hujia',240}"
102,5,206,"{'demage',500},{'hujia',480}"
103,1,206,"{'demage',84},{'hujia',80}"
103,2,206,"{'demage',168},{'hujia',160}"
103,3,206,"{'demage',252},{'hujia',240}"
103,4,206,"{'demage',420},{'hujia',400}"
103,5,206,"{'demage',840},{'hujia',800}"
104,1,206,"{'demage',126},{'hujia',120}"
104,2,206,"{'demage',252},{'hujia',240}"
104,3,206,"{'demage',378},{'hujia',360}"
104,4,206,"{'demage',630},{'hujia',600}"
104,5,206,"{'demage',1260},{'hujia',1200}"
105,1,206,"{'demage',184},{'hujia',176}"
105,2,206,"{'demage',369},{'hujia',352}"
105,3,206,"{'demage',554},{'hujia',528}"
105,4,206,"{'demage',924},{'hujia',880}"
105,5,206,"{'demage',1848},{'hujia',1760}"
105,6,206,"{'demage',4620},{'hujia',4400}"
106,1,206,"{'demage',252},{'hujia',240}"
106,2,206,"{'demage',504},{'hujia',480}"
106,3,206,"{'demage',756},{'hujia',720}"
106,4,206,"{'demage',1260},{'hujia',1200}"
106,5,206,"{'demage',2520},{'hujia',2400}"
106,6,206,"{'demage',6300},{'hujia',6000}"
107,1,206,"{'demage',327},{'hujia',312}"
107,2,206,"{'demage',655},{'hujia',624}"
107,3,206,"{'demage',982},{'hujia',936}"
107,4,206,"{'demage',1638},{'hujia',1560}"
107,5,206,"{'demage',3276},{'hujia',3120}"
107,6,206,"{'demage',8190},{'hujia',7800}"
108,1,206,"{'demage',420},{'hujia',400}"
108,2,206,"{'demage',840},{'hujia',800}"
108,3,206,"{'demage',1260},{'hujia',1200}"
108,4,206,"{'demage',2100},{'hujia',2000}"
108,5,206,"{'demage',4200},{'hujia',4000}"
108,6,206,"{'demage',10500},{'hujia',10000}"
109,1,206,"{'demage',520},{'hujia',496}"
109,2,206,"{'demage',1041},{'hujia',992}"
109,3,206,"{'demage',1562},{'hujia',1488}"
109,4,206,"{'demage',2604},{'hujia',2480}"
109,5,206,"{'demage',5208},{'hujia',4960}"
109,6,206,"{'demage',13020},{'hujia',12400}"
110,1,206,"{'demage',630},{'hujia',600}"
110,2,206,"{'demage',1260},{'hujia',1200}"
110,3,206,"{'demage',1890},{'hujia',1800}"
110,4,206,"{'demage',3150},{'hujia',3000}"
110,5,206,"{'demage',6300},{'hujia',6000}"
110,6,206,"{'demage',15750},{'hujia',15000}"
111,1,206,"{'demage',781},{'hujia',744}"
111,2,206,"{'demage',1562},{'hujia',1488}"
111,3,206,"{'demage',2343},{'hujia',2232}"
111,4,206,"{'demage',3906},{'hujia',3720}"
111,5,206,"{'demage',7812},{'hujia',7440}"
111,6,206,"{'demage',19530},{'hujia',18600}"
112,1,206,"{'demage',966},{'hujia',920}"
112,2,206,"{'demage',1932},{'hujia',1840}"
112,3,206,"{'demage',2898},{'hujia',2760}"
112,4,206,"{'demage',4830},{'hujia',4600}"
112,5,206,"{'demage',9660},{'hujia',9200}"
112,6,206,"{'demage',24150},{'hujia',23000}"
113,1,206,"{'demage',1176},{'hujia',1120}"
113,2,206,"{'demage',2352},{'hujia',2240}"
113,3,206,"{'demage',3528},{'hujia',3360}"
113,4,206,"{'demage',5880},{'hujia',5600}"
113,5,206,"{'demage',11760},{'hujia',11200}"
113,6,206,"{'demage',29400},{'hujia',28000}"
101,1,207,"{'demage',25},{'hujia',24}"
101,2,207,"{'demage',50},{'hujia',48}"
101,3,207,"{'demage',75},{'hujia',72}"
101,4,207,"{'demage',125},{'hujia',120}"
101,5,207,"{'demage',250},{'hujia',240}"
102,1,207,"{'demage',50},{'hujia',48}"
102,2,207,"{'demage',100},{'hujia',96}"
102,3,207,"{'demage',150},{'hujia',144}"
102,4,207,"{'demage',250},{'hujia',240}"
102,5,207,"{'demage',500},{'hujia',480}"
103,1,207,"{'demage',84},{'hujia',80}"
103,2,207,"{'demage',168},{'hujia',160}"
103,3,207,"{'demage',252},{'hujia',240}"
103,4,207,"{'demage',420},{'hujia',400}"
103,5,207,"{'demage',840},{'hujia',800}"
104,1,207,"{'demage',126},{'hujia',120}"
104,2,207,"{'demage',252},{'hujia',240}"
104,3,207,"{'demage',378},{'hujia',360}"
104,4,207,"{'demage',630},{'hujia',600}"
104,5,207,"{'demage',1260},{'hujia',1200}"
105,1,207,"{'demage',184},{'hujia',176}"
105,2,207,"{'demage',369},{'hujia',352}"
105,3,207,"{'demage',554},{'hujia',528}"
105,4,207,"{'demage',924},{'hujia',880}"
105,5,207,"{'demage',1848},{'hujia',1760}"
105,6,207,"{'demage',4620},{'hujia',4400}"
106,1,207,"{'demage',252},{'hujia',240}"
106,2,207,"{'demage',504},{'hujia',480}"
106,3,207,"{'demage',756},{'hujia',720}"
106,4,207,"{'demage',1260},{'hujia',1200}"
106,5,207,"{'demage',2520},{'hujia',2400}"
106,6,207,"{'demage',6300},{'hujia',6000}"
107,1,207,"{'demage',327},{'hujia',312}"
107,2,207,"{'demage',655},{'hujia',624}"
107,3,207,"{'demage',982},{'hujia',936}"
107,4,207,"{'demage',1638},{'hujia',1560}"
107,5,207,"{'demage',3276},{'hujia',3120}"
107,6,207,"{'demage',8190},{'hujia',7800}"
108,1,207,"{'demage',420},{'hujia',400}"
108,2,207,"{'demage',840},{'hujia',800}"
108,3,207,"{'demage',1260},{'hujia',1200}"
108,4,207,"{'demage',2100},{'hujia',2000}"
108,5,207,"{'demage',4200},{'hujia',4000}"
108,6,207,"{'demage',10500},{'hujia',10000}"
109,1,207,"{'demage',520},{'hujia',496}"
109,2,207,"{'demage',1041},{'hujia',992}"
109,3,207,"{'demage',1562},{'hujia',1488}"
109,4,207,"{'demage',2604},{'hujia',2480}"
109,5,207,"{'demage',5208},{'hujia',4960}"
109,6,207,"{'demage',13020},{'hujia',12400}"
110,1,207,"{'demage',630},{'hujia',600}"
110,2,207,"{'demage',1260},{'hujia',1200}"
110,3,207,"{'demage',1890},{'hujia',1800}"
110,4,207,"{'demage',3150},{'hujia',3000}"
110,5,207,"{'demage',6300},{'hujia',6000}"
110,6,207,"{'demage',15750},{'hujia',15000}"
111,1,207,"{'demage',781},{'hujia',744}"
111,2,207,"{'demage',1562},{'hujia',1488}"
111,3,207,"{'demage',2343},{'hujia',2232}"
111,4,207,"{'demage',3906},{'hujia',3720}"
111,5,207,"{'demage',7812},{'hujia',7440}"
111,6,207,"{'demage',19530},{'hujia',18600}"
112,1,207,"{'demage',966},{'hujia',920}"
112,2,207,"{'demage',1932},{'hujia',1840}"
112,3,207,"{'demage',2898},{'hujia',2760}"
112,4,207,"{'demage',4830},{'hujia',4600}"
112,5,207,"{'demage',9660},{'hujia',9200}"
112,6,207,"{'demage',24150},{'hujia',23000}"
113,1,207,"{'demage',1176},{'hujia',1120}"
113,2,207,"{'demage',2352},{'hujia',2240}"
113,3,207,"{'demage',3528},{'hujia',3360}"
113,4,207,"{'demage',5880},{'hujia',5600}"
113,5,207,"{'demage',11760},{'hujia',11200}"
113,6,207,"{'demage',29400},{'hujia',28000}"
101,1,208,"{'demage',25},{'hujia',24}"
101,2,208,"{'demage',50},{'hujia',48}"
101,3,208,"{'demage',75},{'hujia',72}"
101,4,208,"{'demage',125},{'hujia',120}"
101,5,208,"{'demage',250},{'hujia',240}"
102,1,208,"{'demage',50},{'hujia',48}"
102,2,208,"{'demage',100},{'hujia',96}"
102,3,208,"{'demage',150},{'hujia',144}"
102,4,208,"{'demage',250},{'hujia',240}"
102,5,208,"{'demage',500},{'hujia',480}"
103,1,208,"{'demage',84},{'hujia',80}"
103,2,208,"{'demage',168},{'hujia',160}"
103,3,208,"{'demage',252},{'hujia',240}"
103,4,208,"{'demage',420},{'hujia',400}"
103,5,208,"{'demage',840},{'hujia',800}"
104,1,208,"{'demage',126},{'hujia',120}"
104,2,208,"{'demage',252},{'hujia',240}"
