位置,阶,紫色 4;金色 5;红色 6,通用装备基础属性,通用装备附加属性,生命填1，攻击填2，防御填3
2,10,6,"{'demage',2619}","{'demage',524}",2
3,1,4,"{'demage',15}","{'demage',3}",2
3,2,4,"{'demage',30}","{'demage',6}",2
3,3,4,"{'demage',60}","{'demage',12}",2
3,4,4,"{'demage',105}","{'demage',21}",2
3,5,4,"{'demage',165}","{'demage',33}",2
3,6,4,"{'demage',246}","{'demage',49}",2
3,7,4,"{'demage',342}","{'demage',68}",2
3,8,4,"{'demage',468}","{'demage',94}",2
3,9,4,"{'demage',639}","{'demage',128}",2
3,10,4,"{'demage',873}","{'demage',175}",2
3,1,5,"{'demage',25}","{'demage',5}",2
3,2,5,"{'demage',50}","{'demage',10}",2
3,3,5,"{'demage',100}","{'demage',20}",2
3,4,5,"{'demage',175}","{'demage',35}",2
3,5,5,"{'demage',275}","{'demage',55}",2
3,6,5,"{'demage',410}","{'demage',82}",2
3,7,5,"{'demage',570}","{'demage',114}",2
3,8,5,"{'demage',780}","{'demage',156}",2
3,9,5,"{'demage',1065}","{'demage',213}",2
3,10,5,"{'demage',1455}","{'demage',291}",2
3,1,6,"{'demage',45}","{'demage',9}",2
3,2,6,"{'demage',90}","{'demage',18}",2
3,3,6,"{'demage',180}","{'demage',36}",2
3,4,6,"{'demage',315}","{'demage',63}",2
3,5,6,"{'demage',495}","{'demage',99}",2
3,6,6,"{'demage',738}","{'demage',148}",2
3,7,6,"{'demage',1026}","{'demage',205}",2
3,8,6,"{'demage',1404}","{'demage',281}",2
3,9,6,"{'demage',1917}","{'demage',383}",2
3,10,6,"{'demage',2619}","{'demage',524}",2
4,1,4,"{'hujia',15}","{'hujia',3}",3
4,2,4,"{'hujia',30}","{'hujia',6}",3
4,3,4,"{'hujia',60}","{'hujia',12}",3
4,4,4,"{'hujia',105}","{'hujia',21}",3
4,5,4,"{'hujia',165}","{'hujia',33}",3
4,6,4,"{'hujia',246}","{'hujia',49}",3
4,7,4,"{'hujia',342}","{'hujia',68}",3
4,8,4,"{'hujia',468}","{'hujia',94}",3
4,9,4,"{'hujia',639}","{'hujia',128}",3
4,10,4,"{'hujia',873}","{'hujia',175}",3
4,1,5,"{'hujia',25}","{'hujia',5}",3
4,2,5,"{'hujia',50}","{'hujia',10}",3
4,3,5,"{'hujia',100}","{'hujia',20}",3
4,4,5,"{'hujia',175}","{'hujia',35}",3
4,5,5,"{'hujia',275}","{'hujia',55}",3
4,6,5,"{'hujia',410}","{'hujia',82}",3
4,7,5,"{'hujia',570}","{'hujia',114}",3
4,8,5,"{'hujia',780}","{'hujia',156}",3
4,9,5,"{'hujia',1065}","{'hujia',213}",3
4,10,5,"{'hujia',1455}","{'hujia',291}",3
4,1,6,"{'hujia',45}","{'hujia',9}",3
4,2,6,"{'hujia',90}","{'hujia',18}",3
4,3,6,"{'hujia',180}","{'hujia',36}",3
4,4,6,"{'hujia',315}","{'hujia',63}",3
4,5,6,"{'hujia',495}","{'hujia',99}",3
4,6,6,"{'hujia',738}","{'hujia',148}",3
4,7,6,"{'hujia',1026}","{'hujia',205}",3
4,8,6,"{'hujia',1404}","{'hujia',281}",3
4,9,6,"{'hujia',1917}","{'hujia',383}",3
4,10,6,"{'hujia',2619}","{'hujia',524}",3
