法宝ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,装备基础属性,技能,技能名称,技能描述,技能显示,技能效果,属性效果
19005,5,"{'maxhp',1200},{'demage',240}",,不坏金刚,【被动】攻击时有10%%概率全队减伤%s两回合,"{0,9,{0.12}},{10,19,{0.14}},{20,29,{0.16}},{30,49,{0.18}},{50,50,{0.2}},","{0,9,{""BUFF"",""C21""}},{10,19,{""BUFF"",""C23""}},{20,29,{""BUFF"",""C25""}},{30,49,{""BUFF"",""C27""}},{50,50,{""BUFF"",""C29""}},",
19006,5,"{'maxhp',1200},{'demage',240}",,放下屠刀,【被动】攻击时有%s概率所有目标眩晕一回合,"{0,9,{0.04}},{10,19,{0.042}},{20,29,{0.044}},{30,49,{0.047}},{50,50,{0.05}},","{0,9,{""BUFF"",""C31""}},{10,19,{""BUFF"",""C33""}},{20,29,{""BUFF"",""C35""}},{30,49,{""BUFF"",""C37""}},{50,50,{""BUFF"",""C39""}},",
19007,5,"{'demage',240},{'hujia',120}",,弱点破防,【被动】攻击时有概率给予所有敌人%s+%d点伤害，并无视40%%防御两回合,"{0,9,{0.17,3500}},{10,19,{0.19,4000}},{20,29,{0.21,4500}},{30,49,{0.23,5000}},{50,50,{0.25,5500}},","{0,9,{""BUFF"",""C41""}},{10,19,{""BUFF"",""C44""}},{20,29,{""BUFF"",""C46""}},{30,49,{""BUFF"",""C48""}},{50,50,{""BUFF"",""C50""}},",
19008,5,"{'demage',240},{'hujia',120}",,愤怒狂攻,【被动】攻击时有概率给予单个敌人两连击，每次造成%s+%d点伤害,"{0,9,{0.27,4000}},{10,19,{0.29,5000}},{20,29,{0.31,6000}},{30,49,{0.33,7000}},{50,50,{0.35,8000}},","{0,9,{""BUFF"",""C52""}},{10,19,{""BUFF"",""C54""}},{20,29,{""BUFF"",""C56""}},{30,49,{""BUFF"",""C58""}},{50,50,{""BUFF"",""C60""}},",
19001,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,pve伤加,【固定】增加%spve伤加,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'pveattinc',0.02}},{10,19,{'pveattinc',0.025}},{20,29,{'pveattinc',0.03}},{30,49,{'pveattinc',0.035}},{50,50,{'pveattinc',0.04}},"
19002,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,pve伤减,【固定】增加%spve伤减,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'pvpattdec',0.02}},{10,19,{'pvpattdec',0.025}},{20,29,{'pvpattdec',0.03}},{30,49,{'pvpattdec',0.035}},{50,50,{'pvpattdec',0.04}},"
19003,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,暴伤加成,【固定】增加%s暴伤加成,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'critdamage',0.02}},{10,19,{'critdamage',0.025}},{20,29,{'critdamage',0.03}},{30,49,{'critdamage',0.035}},{50,50,{'critdamage',0.04}},"
19004,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,暴伤减免,【固定】增加%s暴伤减免,"{0,9,{0.02}},{10,19,{0.025}},{20,29,{0.03}},{30,49,{0.035}},{50,50,{0.04}},",,"{0,9,{'critdadec',0.02}},{10,19,{'critdadec',0.025}},{20,29,{'critdadec',0.03}},{30,49,{'critdadec',0.035}},{50,50,{'critdadec',0.04}},"
19005,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,不坏金刚,【被动】攻击时有10%%概率全队减伤%s两回合,"{0,9,{0.12}},{10,19,{0.14}},{20,29,{0.16}},{30,49,{0.18}},{50,50,{0.2}},","{0,9,{""BUFF"",""C82""}},{10,19,{""BUFF"",""C84""}},{20,29,{""BUFF"",""C86""}},{30,49,{""BUFF"",""C88""}},{50,50,{""BUFF"",""C90""}},",
19006,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,放下屠刀,【被动】攻击时有%s概率所有目标眩晕一回合,"{0,9,{0.06}},{10,19,{0.062}},{20,29,{0.064}},{30,49,{0.067}},{50,50,{0.07}},","{0,9,{""BUFF"",""C92""}},{10,19,{""BUFF"",""C94""}},{20,29,{""BUFF"",""C96""}},{30,49,{""BUFF"",""C98""}},{50,50,{""BUFF"",""C100""}},",
19007,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,弱点破防,【被动】攻击时有概率给予所有敌人%s+%d点伤害，并无视40%%防御两回合,"{0,9,{0.22,4000}},{10,19,{0.24,4500}},{20,29,{0.26,5000}},{30,49,{0.28,5500}},{50,50,{0.3,6000}},","{0,9,{""BUFF"",""C102""}},{10,19,{""BUFF"",""C105""}},{20,29,{""BUFF"",""C107""}},{30,49,{""BUFF"",""C109""}},{50,50,{""BUFF"",""C111""}},",
19008,6,"{'maxhp',1200},{'demage',450},{'hujia',120}",,愤怒狂攻,【被动】攻击时有概率给予单个敌人两连击，每次造成%s+%d点伤害,"{0,9,{0.32,6000}},{10,19,{0.34,7000}},{20,29,{0.36,8000}},{30,49,{0.38,9000}},{50,50,{0.4,10000}},","{0,9,{""BUFF"",""C113""}},{10,19,{""BUFF"",""C115""}},{20,29,{""BUFF"",""C117""}},{30,49,{""BUFF"",""C119""}},{50,50,{""BUFF"",""C121""}},",
