任务序号,对话序号,任务名字,头顶图标类型,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4,选项5,跳转5,操作5
123,-1,,,1,,,1,,,,,"""迷雾森林战前准备""",,,,,,,,,,,,
124,-1,,,1,,,1,,,,,"""点击跨服军团旗帜""",,,,,,,,,,,,
125,-1,,,1,,,1,,,,,"""迷惑宫殿拾取宝箱""",,,,,,,,,,,,
126,-1,,,1,,,1,,,,,"""迷惑宫殿攻击boss""",,,,,,,,,,,,
127,-1,,,1,,,1,,,,,"""查询中秋节活动""",,,,,,,,,,,,
128,-1,,,1,,,1,,,,,"""查询国庆活动""",,,,,,,,,,,,
129,-1,,,1,,,1,,,,,"""密语境地挑战NPC""",,,,,,,,,,,,
130,-1,,,1,,,1,,,,,"""密语境地拾取宝箱""",,,,,,,,,,,,
131,-1,,,1,,,1,,,,,"""光棍节活动""",,,,,,,,,,,,
132,-1,,,1,,,1,,,,,"""光棍节战斗""",,,,,,,,,,,,
133,-1,,,1,,,1,,,,,"""点击圣诞树""",,,,,,,,,,,,
134,-1,,,1,,,1,,,,,"""点击圣诞使者""",,,,,,,,,,,,
135,-1,,,1,,,1,,,,,"""捡雪花""",,,,,,,,,,,,
136,-1,,,1,,,1,,,,,"""点击节日礼炮""",,,,,,,,,,,,
137,-1,,,1,,,1,,,,,"""点击元旦使者""",,,,,,,,,,,,
138,-1,,,1,,,1,,,,,"""元旦战斗""",,,,,,,,,,,,
139,-1,,,1,,,1,,,,,"""点击活动使者""",,,,,,,,,,,,
140,-1,,,1,,,1,,,,,"""点击摇钱树使者""",,,,,,,,,,,,
141,-1,,,1,,,1,,,,,"""春节年兽战斗""",,,,,,,,,,,,
142,-1,,,1,,,1,,,,,"""许愿盒""",,,,,,,,,,,,
143,-1,,,1,,,1,,,,,"""点击摇钱树""",,,,,,,,,,,,
144,-1,,,1,,,1,,,,,"""拾风筝""",,,,,,,,,,,,
145,-1,,,1,,,1,,,,,"""打开春分界面""",,,,,,,,,,,,
146,-1,,,1,,,1,,,,,"""打开儿童节界面""",,,,,,,,,,,,
147,-1,,,1,,,1,,,,,"""混沌拾取BOSS宝箱""",,,,,,,,,,,,
148,-1,,,1,,,1,,,,,"""联盟战点传送门""",,,,,,,,,,,,
149,-1,,,1,,,1,,,,,"""联盟战点道具""",,,,,,,,,,,,
150,-1,,,,,,3,,#norb确定离开联盟战副本？,确定,,"""联盟战接引者""",,,,,,,,,,,,
151,-1,,,1,,,1,,,,,"""联盟战挑战NPC""",,,,,,,,,,,,
152,-1,,,1,,,1,,,,,"""联盟PVE挑战NPC""",,,,,,,,,,,,
153,-1,,,1,,,2,,,,,"""独立日敲钟""",,,,,,,,,,,,
154,-1,,,1,,,2,,,,,"""独立日收集烤肉""",,,,,,,,,,,,
155,-1,,,1,,,2,,,,,"""独立日使者""",,,,,,,,,,,,
156,-1,,,1,,,1,,,,,"""跨服联盟战点传送门""",,,,,,,,,,,,
157,-1,,,1,,,1,,,,,"""跨服联盟战点道具""",,,,,,,,,,,,
158,-1,,,,,,3,,#norb确定离开联盟战副本？,确定,,"""跨服联盟战传送""",,,,,,,,,,,,
159,-1,,,1,,,1,,,,,"""跨服联盟战挑战""",,,,,,,,,,,,
161,-1,,,1,,,1,,,,,"""点击豪华婚礼奖品""",,,,,,,,,,,,
162,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=1",,,,,,,,,,,,
163,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=2",,,,,,,,,,,,
164,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=3",,,,,,,,,,,,
165,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=4",,,,,,,,,,,,
167,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=5",,,,,,,,,,,,
168,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=6",,,,,,,,,,,,
169,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=7",,,,,,,,,,,,
170,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=8",,,,,,,,,,,,
171,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=9",,,,,,,,,,,,
172,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=10",,,,,,,,,,,,
173,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=11",,,,,,,,,,,,
174,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=12",,,,,,,,,,,,
175,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=13",,,,,,,,,,,,
176,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=14",,,,,,,,,,,,
177,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=15",,,,,,,,,,,,
178,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=16",,,,,,,,,,,,
179,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=17",,,,,,,,,,,,
180,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=18",,,,,,,,,,,,
181,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
182,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
183,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
184,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
185,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
186,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
187,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
188,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
189,-1,,,1,,,1,,,,,"""圣地掉落""",,,,,,,,,,,,
190,-1,,,1,,,1,,,装备晋升,,"""功能指令"",['param']='dazao'",,,,,,,,,,,,
191,-1,,,1,,,1,,,溶解,,"""功能指令"",['param']='rongjie'",,,,,,,,,,,,
192,-1,,,,,,1,,如果你有兑换码，可以找我兑换奖励哦！,兑换码,,"""功能指令"",['param']='duihuanma'",,,,,,,,,,,,
193,-1,,,1,,,1,,,圣地珍稀,,"""圣地珍稀""",,,,,,,,,,,,
194,-1,,,,3,,1,,北方有佳人，绝世而独立；一顾倾人城，再顾倾人国。,查看魅力榜,,"""功能指令"",['param']='charmbang'",,,,,,,,,,,,
195,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=19",,,,,,,,,,,,
196,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=20",,,,,,,,,,,,
197,-1,,,1,,,1,,,,,"""拾取鲜花""",,,,,,,,,,,,
198,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=21",,,,,,,,,,,,
199,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=22",,,,,,,,,,,,
200,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=23",,,,,,,,,,,,
201,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=24",,,,,,,,,,,,
202,-1,,,,,,1,,需#deepskyblue3人组队#rf才能领取任务。#deepskyblue队长#rf或#deepskyblue血盟组队#rf在任务过程中还可以获得#deepskyblue经验金币加成#rf。队员#red暂离#rf或#red更换队长#rf会导致任务失败，准备好了吗？,封魔任务（组队）,,"""申请任务"",['param']=33",,,,,,,,,,,,
203,-1,,,1,,,1,,,,,"""拾取彩蛋道具"",['param']=1",,,,,,,,,,,,
204,-1,,,1,,,1,,,,,"""拾取彩蛋道具"",['param']=2",,,,,,,,,,,,
205,-1,,,1,,,1,,,,,"""拾取彩蛋道具"",['param']=3",,,,,,,,,,,,
206,-1,,,1,,,1,,,,,"""拾取彩蛋道具"",['param']=4",,,,,,,,,,,,
207,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=25",,,,,,,,,,,,
208,-1,,,1,,,1,,,,,"""圣地掉落"",['param']=26",,,,,,,,,,,,
209,-1,,,1,,,1,,,,,"""npc功能"",['param']=4",,,,,,,,,,,,
210,-1,,,1,,,1,,,,,"""帮会采集""",,,,,,,,,,,,
211,-1,,,1,,,1,,,,,"""帮会小怪""",,,,,,,,,,,,
212,-1,,,1,,,1,,,,,"""钟馗Npc"",['param']=11",,,,,,,,,,,,
213,-1,,,1,,,1,,,,,"""钟馗Npc"",['param']=12",,,,,,,,,,,,
214,-1,,,1,,,1,,,,,"""钟馗Npc"",['param']=13",,,,,,,,,,,,
215,-1,,,1,,,1,,,,,"""钟馗Npc"",['param']=14",,,,,,,,,,,,
216,-1,,,1,,,1,,,,,"""钟馗Npc"",['param']=15",,,,,,,,,,,,
217,-1,,,1,,,1,,,,,"""武林大会Npc""",,,,,,,,,,,,
218,-1,,,1,,,1,,,,,"""据点矿""",,,,,,,,,,,,
219,-1,,,1,,,1,,,,,"""据点矿""",,,,,,,,,,,,
220,-1,,,1,,,1,,,,,"""据点矿""",,,,,,,,,,,,
221,-1,,,1,,,1,,,,,"""据点钥匙""",,,,,,,,,,,,
222,-1,,,1,,,1,,,,,"""据点boss""",,,,,,,,,,,,
223,-1,,,1,,,1,,,,,"""据点宝箱""",,,,,,,,,,,,
