daxie,名字,缩放,镜像,骨骼操作,模型名,换装,二进制加载
60009,男神兵皮肤09,,,,data/sprite/weapon/ShengBingNanPiFu09,,
60010,男神兵皮肤10,,,,data/sprite/weapon/ShengBingNanPiFu10,,
61001,女神兵皮肤01,,,,data/sprite/weapon/ShengBingNvPiFu01,,
61002,女神兵皮肤02,,,,data/sprite/weapon/ShengBingNvPiFu02,,
61003,女神兵皮肤03,,,,data/sprite/weapon/ShengBingNvPiFu03,,
61004,女神兵皮肤04,,,,data/sprite/weapon/ShengBingNvPiFu04,,
61005,女神兵皮肤05,,,,data/sprite/weapon/ShengBingNvPiFu05,,
61006,女神兵皮肤06,,,,data/sprite/weapon/ShengBingNvPiFu06,,
61007,女神兵皮肤07,,,,data/sprite/weapon/ShengBingNvPiFu07,,
61008,女神兵皮肤08,,,,data/sprite/weapon/ShengBingNvPiFu08,,
61009,女神兵皮肤09,,,,data/sprite/weapon/ShengBingNvPiFu09,,
61010,女神兵皮肤10,,,,data/sprite/weapon/ShengBingNvPiFu10,,
13001,翅膀1阶,,,,data/sprite/chiBang/chiBang01,,
13002,翅膀2阶,,,,data/sprite/chiBang/chiBang02,,
13003,翅膀3阶,,,,data/sprite/chiBang/chiBang03,,
13004,翅膀4阶,,,,data/sprite/chiBang/chiBang04,,
13005,翅膀5阶,,,,data/sprite/chiBang/chiBang05,,
13006,翅膀6阶,,,,data/sprite/chiBang/chiBang06,,
13007,翅膀7阶,,,,data/sprite/chiBang/chiBang07,,
13008,翅膀8阶,,,,data/sprite/chiBang/chiBang09,,
13009,翅膀9阶,,,,data/sprite/chiBang/chiBang10,,
13010,翅膀10阶,,,,data/sprite/chiBang/chiBang11,,
13011,翅膀11阶,,,,data/sprite/chiBang/chiBang14,,
13012,翅膀12阶,,,,data/sprite/chiBang/chiBang15,,
15001,坐骑1阶,,,,data/sprite/ride/ride05,,
15002,坐骑2阶,,,,data/sprite/ride/ride04,,
15003,坐骑3阶,,,,data/sprite/ride/ride02,,
15004,坐骑4阶,,,,data/sprite/ride/ride06,,
15005,坐骑5阶,,,,data/sprite/ride/ride16,,
15006,坐骑6阶,,,,data/sprite/ride/ride15,,
15007,坐骑7阶,,,,data/sprite/ride/ride13,,
15008,坐骑8阶,,,,data/sprite/ride/ride11,,
15009,坐骑9阶,,,,data/sprite/ride/ride18,,
15010,坐骑10阶,,,,data/sprite/ride/ride17,,
30001,坐骑皮肤猫,,,,data/sprite/ride/ride14,,
30002,坐骑皮肤羽毛,,,,data/sprite/ride/ride09,,
30003,坐骑皮肤鱼,,,,data/sprite/ride/ride08,,
30004,坐骑皮肤龙船,,,,data/sprite/ride/ride10,,
30005,坐骑皮肤羊驼,,,,data/sprite/ride/ride07,,
30006,坐骑皮肤绿龙,,,,data/sprite/ride/ride12,,
30007,坐骑皮肤蛮牛,,,,data/sprite/ride/ride03,,
30008,坐骑皮肤六彩神鹿,,,,data/sprite/ride/ride19,,
23001,女儿国王01,,,,data/sprite/tianNv/tianwaifeixian,,
25001,女儿国王花撵01,,,,data/sprite/faZhen/faZhen01,,
25002,女儿国王花撵02,,,,data/sprite/faZhen/faZhen02,,
25003,女儿国王花撵03,,,,data/sprite/faZhen/faZhen03,,
25004,女儿国王花撵04,,,,data/sprite/faZhen/faZhen04,,
25005,女儿国王花撵05,,,,data/sprite/faZhen/faZhen05,,
25006,女儿国王花撵06,,,,data/sprite/faZhen/faZhen06,,
25007,女儿国王花撵07,,,,data/sprite/faZhen/faZhen07,,
25008,女儿国王花撵08,,,,data/sprite/faZhen/faZhen08,,
25009,女儿国王花撵09,,,,data/sprite/faZhen/faZhen09,,
25010,女儿国王花撵10,,,,data/sprite/faZhen/faZhen10,,
25011,女儿国王花撵11,,,,data/sprite/faZhen/faZhen11,,
25012,女儿国王花撵12,,,,data/sprite/faZhen/faZhen12,,
25013,女儿国王花撵13,,,,data/sprite/faZhen/faZhen13,,
25014,女儿国王花撵14,,,,data/sprite/faZhen/faZhen14,,
25015,女儿国王花撵15,,,,data/sprite/faZhen/faZhen15,,
26001,女儿国王灵气01,,,,data/sprite/shouHun/shouHun01,,
26002,女儿国王灵气02,,,,data/sprite/shouHun/shouHun02,,
26003,女儿国王灵气03,,,,data/sprite/shouHun/shouHun03,,
26004,女儿国王灵气04,,,,data/sprite/shouHun/shouHun04,,
26005,女儿国王灵气05,,,,data/sprite/shouHun/shouHun05,,
26006,女儿国王灵气06,,,,data/sprite/shouHun/shouHun06,,
26007,女儿国王灵气07,,,,data/sprite/shouHun/shouHun07,,
26008,女儿国王灵气08,,,,data/sprite/shouHun/shouHun08,,
26009,女儿国王灵气09,,,,data/sprite/shouHun/shouHun09,,
26010,女儿国王灵气10,,,,data/sprite/shouHun/shouHun10,,
26011,女儿国王灵气11,,,,data/sprite/shouHun/shouHun11,,
26012,女儿国王灵气12,,,,data/sprite/shouHun/shouHun12,,
26013,女儿国王灵气13,,,,data/sprite/shouHun/shouHun13,,
26014,女儿国王灵气14,,,,data/sprite/shouHun/shouHun14,,
26015,女儿国王灵气15,,,,data/sprite/shouHun/shouHun15,,
70001,女儿国王皮肤01,,,,data/sprite/tianNv/tianwaifeixian02,,
70002,女儿国王皮肤02,,,,data/sprite/tianNv/tianwaifeixian03,,
70003,女儿国王皮肤03,,,,data/sprite/tianNv/tianwaifeixian02,,
40001,翅膀皮肤01,,,,data/sprite/chiBang/chiBang08,,
40002,翅膀皮肤02,,,,data/sprite/chiBang/chiBang12,,
40003,翅膀皮肤03,,,,data/sprite/chiBang/chiBang13,,
40004,翅膀皮肤04,,,,data/sprite/chiBang/chiBang16,,
17001,月光碟,,,,data/sprite/xianlv/yueguangdie,,
17002,炼丹童子,,,,data/sprite/xianlv/dantong,,
17003,桃花仙子,,,,data/sprite/xianlv/taohuaxianzi,,
17004,圣灵蝶,,,,data/sprite/xianlv/shenglingdie,,
17005,流浪剑客,,,,data/sprite/xianlv/liulangjianke,,
17006,杨戬,,,,data/sprite/xianlv/yangjian,,
17007,增长天王,,,,data/sprite/xianlv/zengzhangtianwang,,
17008,阎罗王,,,,data/sprite/xianlv/yanwang,,
17009,多闻天王,,,,data/sprite/xianlv/duowentianwang,,
17010,雷震子,,,,data/sprite/xianlv/leizhenzi,,
17011,美猴王,,,,data/sprite/xianlv/meihouwang,,
18001,法阵1阶,,,,data/sprite/faZhen/faZhen01,,
18002,法阵2阶,,,,data/sprite/faZhen/faZhen02,,
18003,法阵3阶,,,,data/sprite/faZhen/faZhen03,,
18004,法阵4阶,,,,data/sprite/faZhen/faZhen04,,
18005,法阵5阶,,,,data/sprite/faZhen/faZhen05,,
18006,法阵6阶,,,,data/sprite/faZhen/faZhen06,,
18007,法阵7阶,,,,data/sprite/faZhen/faZhen07,,
18008,法阵8阶,,,,data/sprite/faZhen/faZhen08,,
18009,法阵9阶,,,,data/sprite/faZhen/faZhen09,,
18010,法阵10阶,,,,data/sprite/faZhen/faZhen10,,
18011,法阵11阶,,,,data/sprite/faZhen/faZhen11,,
18012,法阵12阶,,,,data/sprite/faZhen/faZhen12,,
18013,法阵13阶,,,,data/sprite/faZhen/faZhen13,,
18014,法阵14阶,,,,data/sprite/faZhen/faZhen14,,
18015,法阵15阶,,,,data/sprite/faZhen/faZhen15,,
20001,忠勇兔,,,,data/sprite/pet/zhongyongtu,,
20002,粉红兔,,,,data/sprite/pet/fenhongtu,,
20003,鲛人,,,,data/sprite/pet/jiaoren,,
20004,狐妖,,,,data/sprite/pet/huyao,,
20005,鱼精,,,,data/sprite/pet/yujing01,,
20006,持国天王,,,,data/sprite/pet/chiguotianwang,,
20007,鲨鱼精,,,,data/sprite/pet/shayujing,,
20008,棕熊,,,,data/sprite/pet/zongxiong,,
20009,熊精,,,,data/sprite/pet/xiongjing,,
20010,蟹精,,,,data/sprite/pet/xiejing,,
20011,小白虎,,,,data/sprite/pet/xiaobaihu,,
20012,剑邪,,,,data/sprite/pet/jianXie,,
20013,重明鸟,,,,data/sprite/pet/chongmingniao,,
20014,巨灵,,,,data/sprite/pet/juling,,
20015,白熊精,,,,data/sprite/pet/baixiongjing,,
20016,九尾狐,,,,data/sprite/pet/jiuweihu,,
20017,龙乌,,,,data/sprite/pet/longgui01,,
20018,晶魂,,,,data/sprite/pet/jinghun,,
20019,麒麟,,,,data/sprite/pet/yunshengshou,,
20020,黑风小妖,,,,data/sprite/pet/heifengxiaoyao,,
20021,熊猫,,,,data/sprite/pet/xiongmao,,
20022,黑水玄蛇,,,,data/sprite/pet/heishuixuanshe,,
20023,火灵,,,,data/sprite/pet/huoling,,
20024,猿猴,,,,data/sprite/pet/yuanhou,,
20025,地狱三头犬,,,,data/sprite/pet/diyusantouquan,,
20026,星魔,,,,data/sprite/pet/moxing,,
20027,百花仙子,,,,data/sprite/pet/baihuaxianzi03,,
20028,龙象精,,,,data/sprite/pet/xiangjing,,
20029,白象精,,,,data/sprite/pet/xiangjing02,,
20030,冰龙,,,,data/sprite/pet/long,,
20031,剑侠兔,,,,data/sprite/pet/jianxiatu,,
20032,封蛇,,,,data/sprite/pet/fengshe,,
20033,鬼武者,,,,data/sprite/pet/guiwuzhe,,
20034,黑风老妖,,,,data/sprite/pet/heifenglaoyao,,
20035,招财猫,,,,data/sprite/pet/zhaocaimao,,
20036,酒仙,,,,data/sprite/pet/jiuxian,,
20037,狻猊,,,,data/sprite/pet/suanni,,
20038,水龙,,,,data/sprite/pet/long02,,
20039,朱雀,,,,data/sprite/pet/fenghuang,,
20040,青龙,,,,data/sprite/pet/qinglong,,
20041,白虎,,,,data/sprite/pet/baihu,,
20042,玄武,,,,data/sprite/pet/xuanwu,,
20043,猪刚鬣,,,,data/sprite/pet/zhuyao,,
20044,虎力大仙,,,,data/sprite/pet/hulidaxian,,
20045,蓝巨人,,,,data/sprite/pet/wenshen,,
20046,狮驼,,,,data/sprite/pet/shimoren,,
20047,鹿力大仙,,,,data/sprite/pet/lulidaxian,,
20048,天将,,,,data/sprite/pet/tianjiang,,
20049,广目天王,,,,data/sprite/pet/guangmutianwang,,
20050,蟒蛇精,,,,data/sprite/pet/change,,
20051,昴日星官,,,,data/sprite/pet/santaizi,,
20052,宝象,,,,data/sprite/pet/taishanglaojun,,
20053,灵明石猴,,,,data/sprite/pet/douzhanshenfo,,
20054,刑天,,,,data/sprite/pet/shengongbao,,
20055,陆吾,,,,data/sprite/pet/pipajing,,
20056,赤炎,,,,data/sprite/pet/lvdongbing,,
20057,饕餮,,,,data/sprite/pet/julingshen,,
20058,变异九尾狐,,,,data/sprite/pet/jiuweihu_bianyi,,
20059,变异神将,,,,data/sprite/pet/guiwuzhe_bianyi,,
20060,变异白象,,,,data/sprite/pet/xiangjing02_by,,
20061,变异趴趴熊,,,,data/sprite/pet/baixiongjing_bianyi,,
20062,变异广目天王,,,,data/sprite/pet/guangmutianwang_bianyi,,
20063,变异武士,,,,data/sprite/pet/jinghun_bianyi,,
20100,变异妖狐,,,,data/sprite/pet/huyao_bianyi,,
20101,变异人鱼公主,,,,data/sprite/pet/xiejing_bianyi,,
20102,变异强盗,,,,data/sprite/pet/xiangjing_bianyi,,
20103,变异重名鸟,,,,data/sprite/pet/chongmingniao_bianyi,,
20104,变异棕熊,,,,data/sprite/pet/zongxiong_bianyi,,
20105,变异黑风小妖,,,,data/sprite/pet/heifengxiaoyao_bianyi,,
20106,变异三头犬,,,,data/sprite/pet/diyusantouquan_bianyi,,
20107,变异天将,,,,data/sprite/pet/tianjiang_bianyi,,
20108,变异河神,,,,data/sprite/pet/shayujing_bianyi,,
20109,变异火灵,,,,data/sprite/pet/huoling_bianyi,,
20110,变异冰龙,,,,data/sprite/pet/long_bianyi,,
20112,变异巨灵,,,,data/sprite/pet/juling_bianyi,,
21501,申公豹飞升,,,,data/sprite/pet/shengongbao,,
21502,猪八戒飞升,,,,data/sprite/pet/zhuyao_fs,,
21503,鹿力大仙飞升,,,,data/sprite/pet/lulidaxian,,
21504,朱雀飞升,,,,data/sprite/pet/fenghuang_fs,,
21505,白虎飞升,,,,data/sprite/pet/baihu,,
21506,青龙飞升,,,,data/sprite/pet/qinglong_fs,,
21507,玄武飞升,,,,data/sprite/pet/xuanwu,,
21508,虎力大仙飞升,,,,data/sprite/pet/hulidaxian,,
21509,鲲鹏飞升,,,,data/sprite/pet/wenshen_fs,,
21510,奎木狼飞升,,,,data/sprite/pet/shimoren,,
21511,琵琶精飞升,,,,data/sprite/pet/pipajing,,
21512,天神飞升,,,,data/sprite/pet/julingshen_fs,,
21513,吕洞宾飞升,,,,data/sprite/pet/lvdongbing,,
21514,象神飞升,,,,data/sprite/pet/xiangjing02_by,,
21515,嫦娥飞升,,,,data/sprite/pet/change,,
21516,三太子飞升,,,,data/sprite/pet/santaizi,,
21517,斗战胜佛飞升,,,,data/sprite/pet/douzhanshenfo,,
21518,太上老君飞升,,,,data/sprite/pet/taishanglaojun,,
22001,兽魂01,,,,data/sprite/shouHun/shouHun01,,
22002,兽魂02,,,,data/sprite/shouHun/shouHun02,,
22003,兽魂03,,,,data/sprite/shouHun/shouHun03,,
22004,兽魂04,,,,data/sprite/shouHun/shouHun04,,
22005,兽魂05,,,,data/sprite/shouHun/shouHun05,,
22006,兽魂06,,,,data/sprite/shouHun/shouHun06,,
22007,兽魂07,,,,data/sprite/shouHun/shouHun07,,
22008,兽魂08,,,,data/sprite/shouHun/shouHun08,,
22009,兽魂09,,,,data/sprite/shouHun/shouHun09,,
22010,兽魂10,,,,data/sprite/shouHun/shouHun10,,
22011,兽魂11,,,,data/sprite/shouHun/shouHun11,,
22012,兽魂12,,,,data/sprite/shouHun/shouHun12,,
22013,兽魂13,,,,data/sprite/shouHun/shouHun13,,
22014,兽魂14,,,,data/sprite/shouHun/shouHun14,,
22015,兽魂15,,,,data/sprite/shouHun/shouHun15,,
90001,神武男,,,,data/sprite/role/ShengWuNan,,
90002,逍遥男,,,,data/sprite/role/XiaoYaoNan,,
90003,心魔男,,,,data/sprite/role/XinMoNan,,
90004,神武男骑乘,,,,data/sprite/role/ShengWuNanQiCheng,,
90005,逍遥男骑乘,,,,data/sprite/role/XiaoYaoNanQiCheng,,
90006,心魔男骑乘,,,,data/sprite/role/XinMoNanQiCheng,,
90007,神武男头,,,,data/sprite/role/ShengWuNan-TouBu,,
90008,逍遥男头,,,,data/sprite/role/XiaoYaoNan-TouBu,,
90009,心魔男头,,,,data/sprite/role/XinMoNan-TouBu,,
90010,男时装04,,,,data/sprite/cloth/ShiZhuangNan07,,
90011,男时装05,,,,data/sprite/cloth/ShiZhuangNan04,,
90012,男时装06,,,,data/sprite/cloth/ShiZhuangNan05,,
90013,男时装01,,,,data/sprite/cloth/ShiZhuangNan01,,
90014,男时装02,,,,data/sprite/cloth/ShiZhuangNan02,,
90015,男时装07,,,,data/sprite/cloth/ShiZhuangNan06,,
90016,男时装03,,,,data/sprite/cloth/ShiZhuangNan03,,
90017,男时装08,,,,data/sprite/cloth/ShiZhuangNan08,,
91001,神武女,,,,data/sprite/role/ShengWuNv,,
91002,逍遥女,,,,data/sprite/role/XiaoYaoNv,,
91003,心魔女,,,,data/sprite/role/XinMoNv,,
91004,神武女骑乘,,,,data/sprite/role/ShengWuNvQiCheng,,
91005,逍遥女骑乘,,,,data/sprite/role/XiaoYaoNvQiCheng,,
91006,心魔女骑乘,,,,data/sprite/role/XinMoNvQiCheng,,
91007,神武女头,,,,data/sprite/role/ShengWuNv-TouBu,,
91008,逍遥女头,,,,data/sprite/role/XiaoYaoNv-TouBu,,
91009,心魔女头,,,,data/sprite/role/XinMoNv-TouBu,,
91010,女时装04,,,,data/sprite/cloth/ShiZhuangNv07,,
91011,女时装05,,,,data/sprite/cloth/ShiZhuangNv04,,
91012,女时装06,,,,data/sprite/cloth/ShiZhuangNv05,,
91013,女时装01,,,,data/sprite/cloth/ShiZhuangNv01,,
91014,女时装02,,,,data/sprite/cloth/ShiZhuangNv02,,
91015,女时装07,,,,data/sprite/cloth/ShiZhuangNv06,,
91016,女时装03,,,,data/sprite/cloth/ShiZhuangNv03,,
91017,女时装08,,,,data/sprite/cloth/ShiZhuangNv08,,
100001,小乌龟,,,,data/sprite/monster/xiaowugui,,
100002,强盗,,,,data/sprite/monster/qiangdao,,
100003,小骷髅,,,,data/sprite/monster/xiaokulou,,
100004,跳跳鼠,,,,data/sprite/monster/tiaotiaoshu,,
100005,蚌精,,,,data/sprite/monster/bangjing,,
100006,蛮牛,,,,data/sprite/monster/manniu,,
100007,石狮,,,,data/sprite/monster/shishi,,
100008,白熊精,,,,data/sprite/pet/baixiongjing,,
100009,异面怪,,,,data/sprite/monster/yimianguai,,
100010,蝶精灵,,,,data/sprite/monster/diejingling,,
100011,寒霜狼,,,,data/sprite/monster/hanbinglang,,
100012,剑魂,,,,data/sprite/monster/jianhun,,
100013,古树精,,,,data/sprite/monster/gushujing,,
100014,林妖,,,,data/sprite/monster/linyao,,
100015,麟鹿,,,,data/sprite/monster/linlu,,
100016,冰火螳螂,,,,data/sprite/monster/binghuotanglang,,
100017,炎魔,,,,data/sprite/monster/yanmo,,
100018,邪毒蜂,,,,data/sprite/monster/xiedufeng,,
100019,小僵尸,,,,data/sprite/monster/xiaojiangshi,,
100020,瞌睡蛇,,,,data/sprite/monster/keshuishe,,
100021,五毒蝎,,,,data/sprite/monster/wuduxie,,
100022,巫龟,,,,data/sprite/monster/wugui,,
100023,灵猴,,,,data/sprite/monster/linghou,,
100024,石巨人,,,,data/sprite/monster/shijuren,,
100025,魔爪花,,,,data/sprite/monster/mozhuahua,,
100026,木鱼怪,,,,data/sprite/monster/muyuguai,,
100027,硬壳龟,,,,data/sprite/monster/yingkegui,,
100028,利刃猿,,,,data/sprite/monster/lirenyuan,,
100029,山精,,,,data/sprite/monster/shanjing,,
100030,宠物剑邪,,,,data/sprite/pet/jianXie,,
100031,上官清,,,,data/sprite/monster/shangguanqing,,
100032,逸琼玄女,,,,data/sprite/monster/yiqiongxuannv,,
100033,玉冥真人,,,,data/sprite/monster/yumingzhenren,,
100034,云中子,,,,data/sprite/monster/yunzhongzi,,
100035,地域三头犬,,,,data/sprite/pet/diyusantouquan,,
100036,靡籁,,,,data/sprite/monster/milai,,
100037,混沌,,,,data/sprite/monster/hundun,,
100038,穷奇,,,,data/sprite/monster/qiongqi,,
100039,深渊之龙,,,,data/sprite/monster/shenyuanzhilong,,
100040,魅,,,,data/sprite/monster/mei,,
100041,魑,,,,data/sprite/monster/chi,,
110001,靡籁,0.6,,,data/sprite/monster/milai,,
110002,混沌,0.5,,,data/sprite/monster/hundun,,
110003,穷奇,0.4,,,data/sprite/monster/qiongqi,,
110004,深渊之龙,0.4,,,data/sprite/monster/shenyuanzhilong,,
110005,魅,0.6,,,data/sprite/monster/mei,,
110006,魑,0.6,,,data/sprite/monster/chi,,
110007,混沌,0.6,,,data/sprite/monster/hundun,,
110008,穷奇,0.53,,,data/sprite/monster/qiongqi,,
110009,深渊之龙,0.53,,,data/sprite/monster/shenyuanzhilong,,
110010,魅,0.67,,,data/sprite/monster/mei,,
110011,魑,0.67,,,data/sprite/monster/chi,,
110012,靡籁,0.67,,,data/sprite/monster/milai,,
1001,受击,,,,data/sprite/effect/attacked,,
1002,暴击,,,,data/sprite/effect/baoji,,
1003,冰技能01,,,,data/sprite/effect/bing01,,
1004,缠绕01,,,,data/sprite/effect/chanrao01,,
1005,刀光01,,,,data/sprite/effect/dao01,,
1006,刀光02,,,,data/sprite/effect/dao02,,
1008,风01,,,,data/sprite/effect/feng01,,
1009,风02,,,,data/sprite/effect/feng02,,
1010,风03,,,,data/sprite/effect/feng03,,
1011,风04,,,,data/sprite/effect/feng04,,
1012,光技能01,,,,data/sprite/effect/guang01,,
1013,光技能02,,,,data/sprite/effect/guang02,,
1014,光技能03,,,,data/sprite/effect/guang03,,
1015,光技能04,,,,data/sprite/effect/guang04,,
1016,光技能05,,,,data/sprite/effect/guang05,,
1017,光技能06,,,,data/sprite/effect/guang06,,
1018,光技能07,,,,data/sprite/effect/guang07,,
1019,光技能08,,,,data/sprite/effect/guang08,,
1020,光技能09,,,,data/sprite/effect/guang09,,
1021,光技能10,,,,data/sprite/effect/guang10,,
1022,光技能11,,,,data/sprite/effect/guang11,,
1023,花技能01,,,,data/sprite/effect/hua01,,
1024,花技能02,,,,data/sprite/effect/hua02,,
1025,花技能03,,,,data/sprite/effect/hua03,,
1026,花技能04,,,,data/sprite/effect/hua04,,
1027,火技能01,,,,data/sprite/effect/huo01,,
1028,火技能02,,,,data/sprite/effect/huo02,,
1029,火技能03,,,,data/sprite/effect/huo03,,
1030,雷击01,,,,data/sprite/effect/lei01,,
1031,雷击02,,,,data/sprite/effect/lei02,,
1032,雷击03,,,,data/sprite/effect/lei03,,
1033,雷击04,,,,data/sprite/effect/lei04,,
1034,雷击05,,,,data/sprite/effect/lei05,,
1035,雷击06,,,,data/sprite/effect/lei06,,
1036,雷击07,,,,data/sprite/effect/lei07,,
1037,落石01,,,,data/sprite/effect/shitou01,,
1038,落石02,,,,data/sprite/effect/shitou02,,
1039,水技能01,,,,data/sprite/effect/shui01,,
1040,水技能02,,,,data/sprite/effect/shui02,,
1041,水技能03,,,,data/sprite/effect/shui03,,
1042,水技能04,,,,data/sprite/effect/shui04,,
1043,雪技能01,,,,data/sprite/effect/xue01,,
1044,网01,,,,data/sprite/effect/zhizhuwang02,,
1045,受击02,,,,data/sprite/effect/attacked02,,
1046,冰02,,,,data/sprite/effect/bing02,,
1047,冰03,,,,data/sprite/effect/bing03,,
1048,冰04,,,,data/sprite/effect/bing04,,
1049,刀光03,,,,data/sprite/effect/dao03,,
1050,毒01,,,,data/sprite/effect/du01,,
1051,光12,,,,data/sprite/effect/guang12,,
1052,光13,,,,data/sprite/effect/guang13,,
1053,光14,,,,data/sprite/effect/guang14,,
1054,光15,,,,data/sprite/effect/guang15,,
1055,火04,,,,data/sprite/effect/huo04,,
1056,火05,,,,data/sprite/effect/huo05,,
1057,雷08,,,,data/sprite/effect/lei08,,
1058,毒02,,,,data/sprite/effect/du02,,
1059,雷09,,,,data/sprite/effect/lei09,,
1060,火06,,,,data/sprite/effect/huo06,,
1061,水05,,,,data/sprite/effect/shui05,,
1062,蛇01,,,,data/sprite/effect/she01,,
1063,混沌,,,,data/sprite/effect/hunduntexiao,,
1064,靡籁,,,,data/sprite/effect/milaitexiao,,
1065,神武技能01,,,,data/sprite/effect/HengSaoQianJun,,
1066,神武技能02,,,,data/sprite/effect/PoFuChenZhou,,
1067,神武技能03,,,,data/sprite/effect/ChongJiBo,,
1068,神武技能04,,,,data/sprite/effect/DanDaoZhiRu,,
1069,神武技能05,,,,data/sprite/effect/PianHongYiJi,,
1070,神武技能06,,,,data/sprite/effect/WanJianGuiYi_Qian,,
1071,神武技能07,,,,data/sprite/effect/WanJianGuiYi_Hou,,
1072,逍遥技能01,,,,data/sprite/effect/LongJuanYuJi,,
1073,逍遥技能02,,,,data/sprite/effect/LongTeng,,
