entryId,名称,模型,名字颜色（1灰 2绿 3蓝 4紫 5金 6红）,类型(-1，分身半透明；-2，头顶；-3不透明),宠物半身像,怪物帮手提示对白,发招对白
114209,小乌龟,100001,,,100001,,
114210,巨灵,20014,,,20014,,
114309,小僵尸,100019,,,100019,,
114310,晶魂,20018,,,20018,,
114409,蝶精灵,100010,,,100010,,
114410,白熊精,20015,,,20015,,
114509,瞌睡蛇,100020,,,100020,,
114510,剑灵,20006,,,20006,,
114609,石巨人,100024,,,100024,,
114610,靡籁,100036,,,100036,,
114709,瞌睡蛇,100020,,,100020,,
114710,狐妖,20004,,,20004,,
114809,硬壳龟,100027,,,100027,,
114810,小白虎,20011,,,20011,,
114909,邪毒蜂,100018,,,100018,,
114910,地狱三头犬,20025,,,20025,,
115009,巫龟,100022,,,100022,,
115010,鲛人,20003,,,20003,,
115109,石狮,100007,,,100007,,
115110,阎罗王,17008,,,17008,,
115209,跳跳鼠,100004,,,100004,,
115210,鱼精,20005,,,20005,,
115309,木鱼怪,100026,,,100026,,
115310,黑风小妖,20020,,,20020,,
115409,蚌精,100005,,,100005,,
115410,狻猊,20037,,,20037,,
115509,异面怪,100009,,,100009,,
115510,狮驼,20046,,,20046,,
115609,魔爪花,100025,,,100025,,
115610,黑风小妖,20020,,,20020,,
115709,古树精,100013,,,100013,,
115710,鲛人,20003,,,20003,,
115809,石巨人,100024,,,100024,,
115810,桃花仙子,17003,,,17003,,
115909,白熊精,20015,,,20015,,
115910,玉冥真人,100033,,,100033,,
116009,五毒蝎,100021,,,100021,,
116010,封蛇,20032,,,20032,,
116109,小僵尸,100019,,,100019,,
116110,业魔,20027,,,20027,,
116209,古树精,100013,,,100013,,
116210,蟹精,20010,,,20010,,
116309,麟鹿,100015,,,100015,,
116310,玉冥真人,100033,,,100033,,
116409,五毒蝎,100021,,,100021,,
116410,鹿力大仙,20047,,,20047,,
116509,山精,100029,,,100029,,
116510,炼丹童子,17002,,,17002,,
116609,硬壳龟,100027,,,100027,,
116610,小白虎,20011,,,20011,,
116709,寒霜狼,100011,,,100011,,
116710,狮驼,20046,,,20046,,
116809,冰火螳螂,100016,,,100016,,
116810,炼丹童子,17002,,,17002,,
116909,利刃猿,100028,,,100028,,
116910,狮驼,20046,,,20046,,
117009,硬壳龟,100027,,,100027,,
117010,百花仙子,17009,,,17009,,
117109,冰火螳螂,100016,,,100016,,
117110,鲨鱼精,20007,,,20007,,
117209,巫龟,100022,,,100022,,
117210,蓝巨人,20045,,,20045,,
117309,硬壳龟,100027,,,100027,,
117310,重明鸟,20013,,,20013,,
117409,麟鹿,100015,,,100015,,
117410,剑邪,20012,,,20012,,
117509,冰火螳螂,100016,,,100016,,
117510,狐妖,20004,,,20004,,
117609,邪毒蜂,100018,,,100018,,
117610,宠物剑邪,100030,,,100030,,
117709,巫龟,100022,,,100022,,
117710,玉冥真人,100033,,,100033,,
117809,蛮牛,100006,,,100006,,
117810,玄武,20042,,,20042,,
117909,炎魔,100017,,,100017,,
117910,鹿力大仙,20047,,,20047,,
118009,五毒蝎,100021,,,100021,,
118010,龙象精,20028,,,20028,,
118109,炎魔,100017,,,100017,,
118110,鹿力大仙,20047,,,20047,,
118209,五毒蝎,100021,,,100021,,
118210,小白虎,20011,,,20011,,
118309,灵猴,100023,,,100023,,
118310,玉冥真人,100033,,,100033,,
118409,利刃猿,100028,,,100028,,
118410,剑邪,20012,,,20012,,
118509,白熊精,20015,,,20015,,
118510,朱雀,20039,,,20039,,
118609,蚌精,100005,,,100005,,
118610,朱雀,20039,,,20039,,
118709,石狮,100007,,,100007,,
118710,鬼武者,20033,,,20033,,
118809,跳跳鼠,100004,,,100004,,
118810,业魔,20027,,,20027,,
118909,林妖,100014,,,100014,,
118910,靡籁,100036,,,100036,,
119009,小僵尸,100019,,,100019,,
119010,粉红兔,20002,,,20002,,
119109,利刃猿,100028,,,100028,,
119110,黑水玄蛇,20022,,,20022,,
119209,跳跳鼠,100004,,,100004,,
119210,百花仙子,17009,,,17009,,
119309,巫龟,100022,,,100022,,
119310,白熊精,20015,,,20015,,
119409,硬壳龟,100027,,,100027,,
119410,猪刚鬣,20043,,,20043,,
119509,麟鹿,100015,,,100015,,
119510,狻猊,20037,,,20037,,
119609,小乌龟,100001,,,100001,,
119610,冰龙,20030,,,20030,,
119709,跳跳鼠,100004,,,100004,,
119710,忠勇兔,20001,,,20001,,
119809,剑魂,100012,,,100012,,
119810,多闻天王,17006,,,17006,,
119909,蛮牛,100006,,,100006,,
119910,逸琼玄女,100032,,,100032,,
120009,五毒蝎,100021,,,100021,,
120010,黑风老妖,20034,,,20034,,
120109,剑魂,100012,,,100012,,
120110,鬼武者,20033,,,20033,,
120209,跳跳鼠,100004,,,100004,,
120210,魑,100041,,,100041,,
120309,瞌睡蛇,100020,,,100020,,
120310,小白虎,20011,,,20011,,
120409,强盗,100002,,,100002,,
120410,剑侠兔,20031,,,20031,,
120509,硬壳龟,100027,,,100027,,
120510,酒仙,20036,,,20036,,
120609,小僵尸,100019,,,100019,,
120610,龙象精,20028,,,20028,,
120709,强盗,100002,,,100002,,
120710,冰龙,20030,,,20030,,
120809,麟鹿,100015,,,100015,,
120810,百花仙子,17009,,,17009,,
120909,巫龟,100022,,,100022,,
120910,蓝巨人,20045,,,20045,,
121009,硬壳龟,100027,,,100027,,
121010,青龙,20040,,,20040,,
121109,利刃猿,100028,,,100028,,
121110,地狱三头犬,20025,,,20025,,
121209,邪毒蜂,100018,,,100018,,
121210,鲛人,20003,,,20003,,
121309,巫龟,100022,,,100022,,
121310,魅,100040,,,100040,,
121409,小乌龟,100001,,,100001,,
121410,鬼武者,20033,,,20033,,
121509,小乌龟,100001,,,100001,,
121510,月光蝶,17001,,,17001,,
121609,小僵尸,100019,,,100019,,
121610,穷奇,100038,,,100038,,
121709,剑魂,100012,,,100012,,
121710,水龙,20038,,,20038,,
121809,瞌睡蛇,100020,,,100020,,
121810,麒麟,20019,,,20019,,
121909,古树精,100013,,,100013,,
121910,白虎,20041,,,20041,,
122009,蝶精灵,100010,,,100010,,
122010,招财猫,20035,,,20035,,
122109,灵猴,100023,,,100023,,
122110,白虎,20041,,,20041,,
122209,寒霜狼,100011,,,100011,,
122210,雷震子,17010,,,17010,,
122309,巫龟,100022,,,100022,,
122310,狻猊,20037,,,20037,,
122409,石巨人,100024,,,100024,,
122410,冰龙,20030,,,20030,,
122509,剑魂,100012,,,100012,,
122510,猿猴,20024,,,20024,,
122609,蚌精,100005,,,100005,,
122610,剑侠兔,20031,,,20031,,
122709,冰火螳螂,100016,,,100016,,
122710,炼丹童子,17002,,,17002,,
122809,炎魔,100017,,,100017,,
122810,百花仙子,17009,,,17009,,
122909,白熊精,20015,,,20015,,
122910,忠勇兔,20001,,,20001,,
123009,异面怪,100009,,,100009,,
123010,桃花仙子,17003,,,17003,,
123109,灵猴,100023,,,100023,,
123110,地狱三头犬,20025,,,20025,,
123209,硬壳龟,100027,,,100027,,
123210,重明鸟,20013,,,20013,,
123309,石狮,100007,,,100007,,
123310,穷奇,100038,,,100038,,
123409,寒霜狼,100011,,,100011,,
123410,月光蝶,17001,,,17001,,
123509,魔爪花,100025,,,100025,,
123510,狻猊,20037,,,20037,,
123609,石狮,100007,,,100007,,
123610,鱼精,20005,,,20005,,
123709,白熊精,20015,,,20015,,
123710,封蛇,20032,,,20032,,
123809,巫龟,100022,,,100022,,
123810,棕熊,20008,,,20008,,
123909,魔爪花,100025,,,100025,,
123910,流浪剑客,17005,,,17005,,
124009,邪毒蜂,100018,,,100018,,
124010,青龙,20040,,,20040,,
124109,魔爪花,100025,,,100025,,
124110,粉红兔,20002,,,20002,,
124209,山精,100029,,,100029,,
124210,小白虎,20011,,,20011,,
124309,石狮,100007,,,100007,,
124310,重明鸟,20013,,,20013,,
124409,木鱼怪,100026,,,100026,,
124410,鲛人,20003,,,20003,,
124509,魔爪花,100025,,,100025,,
124510,熊猫,20021,,,20021,,
124609,白熊精,20015,,,20015,,
124610,逸琼玄女,100032,,,100032,,
124709,利刃猿,100028,,,100028,,
124710,炼丹童子,17002,,,17002,,
124809,木鱼怪,100026,,,100026,,
124810,雷震子,17010,,,17010,,
124909,石狮,100007,,,100007,,
124910,狻猊,20037,,,20037,,
125009,山精,100029,,,100029,,
125010,狮驼,20046,,,20046,,
125109,异面怪,100009,,,100009,,
125110,炼丹童子,17002,,,17002,,
125209,硬壳龟,100027,,,100027,,
125210,白象精,20029,,,20029,,
125309,蛮牛,100006,,,100006,,
125310,火灵,20023,,,20023,,
125409,小僵尸,100019,,,100019,,
125410,朱雀,20039,,,20039,,
