任务号,名字,类型,可否删除,环,节点数,生成任务条件,接任务条件,初始任务条件,交任务条件,任务奖励,下一个任务,提交条件,成功处理,失败处理,事件,flag
500009,狼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40043]=1},[""BATTLE""]=41009","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500010,食人魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40044]=1},[""BATTLE""]=41010","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500011,食人魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40045]=1},[""BATTLE""]=41011","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500012,食人魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40046]=1},[""BATTLE""]=41012","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500013,狼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40047]=1},[""BATTLE""]=41013","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500014,狮鹫魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40048]=1},[""BATTLE""]=41014","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500015,狮鹫魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40049]=1},[""BATTLE""]=41015","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500016,狮鹫魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40050]=1},[""BATTLE""]=41016","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500017,牛魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40051]=1},[""BATTLE""]=41017","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500018,圣魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40052]=1},[""BATTLE""]=41018","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500019,圣魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40053]=1},[""BATTLE""]=41019","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500020,恶魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40054]=1},[""BATTLE""]=41020","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500021,恶魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40055]=1},[""BATTLE""]=41021","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500022,圣魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40056]=1},[""BATTLE""]=41022","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500023,狮鹫魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40057]=1},[""BATTLE""]=41023","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500024,500025,500026,500027,500028,500029,",,,,,0
500024,狼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40058]=1},[""BATTLE""]=41024","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500025,500026,500027,500028,500029,",,,,,0
500025,牛魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40059]=1},[""BATTLE""]=41025","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500026,500027,500028,500029,",,,,,0
500026,恶魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40060]=1},[""BATTLE""]=41026","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500027,500028,500029,",,,,,0
500027,斧魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40061]=1},[""BATTLE""]=41027","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500028,500029,",,,,,0
500028,食人魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40062]=1},[""BATTLE""]=41028","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500029,",,,,,0
500029,圣魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40063]=1},[""BATTLE""]=41029","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,",,,,,0
