,地图名称,关卡所在地图,地图等级,绑定元宝,银两,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数
1052,乌鸡国4章,50017,110,100,16500,107,3,3,2,1
1053,乌鸡国5章,50017,110,100,16500,107,3,3,2,1
1054,乌鸡国6章,50017,110,100,16720,107,3,3,2,1
1055,乌鸡国7章,50017,110,100,16720,107,3,3,2,1
1056,乌鸡国8章,50017,110,100,16940,107,3,3,2,1
1057,乌鸡国9章,50017,110,100,16940,107,3,3,2,1
1058,乌鸡国10章,50017,110,100,17160,107,3,3,2,1
1059,火云洞1章,50006,120,100,17160,108,3,3,2,1
1060,火云洞2章,50006,120,100,17160,108,3,3,2,1
1061,火云洞3章,50006,120,100,17380,108,3,3,2,1
1062,火云洞4章,50006,120,100,17380,108,3,3,2,1
1063,火云洞5章,50006,120,100,17380,108,3,3,2,1
1064,火云洞6章,50006,120,100,17600,108,3,3,2,1
1065,火云洞7章,50006,120,100,17600,108,3,3,2,1
1066,火云洞8章,50006,120,100,17820,108,3,3,2,1
1067,火云洞9章,50006,120,100,17820,108,3,3,2,1
1068,火云洞10章,50006,120,100,17820,108,3,3,2,1
1069,火云洞11章,50006,120,100,18040,108,3,3,2,1
1070,火云洞12章,50006,120,100,18040,108,3,3,2,1
1071,火云洞13章,50006,120,100,18260,108,3,3,2,1
1072,通天河1章,50016,130,100,18260,108,3,3,2,1
1073,通天河2章,50016,130,100,18260,108,3,3,2,1
1074,通天河3章,50016,130,100,18480,108,3,3,2,1
1075,通天河4章,50016,130,100,18480,108,3,3,2,1
1076,通天河5章,50016,130,100,18480,108,3,3,2,1
1077,通天河6章,50016,130,100,18700,108,3,3,2,1
1078,通天河7章,50016,130,100,18700,108,3,3,2,1
1079,通天河8章,50016,130,100,18700,108,3,3,2,1
1080,通天河9章,50016,130,100,18920,108,3,3,2,1
1081,通天河10章,50016,130,100,18920,108,3,3,2,1
1082,通天河11章,50016,130,100,19140,108,3,3,2,1
1083,通天河12章,50016,130,100,19140,108,3,3,2,1
1084,通天河13章,50016,130,100,19360,108,3,3,2,1
1085,女儿国1章,50012,140,100,19360,109,3,3,2,1
1086,女儿国2章,50012,140,100,19360,109,3,3,2,1
1087,女儿国3章,50012,140,100,19580,109,3,3,2,1
1088,女儿国4章,50012,140,100,19580,109,3,3,2,1
1089,女儿国5章,50012,140,100,19580,109,3,3,2,1
1090,女儿国6章,50012,140,100,19800,109,3,3,2,1
1091,女儿国7章,50012,140,100,19800,109,3,3,2,1
1092,女儿国8章,50012,140,100,19800,109,3,3,2,1
1093,女儿国9章,50012,140,100,20020,109,3,3,2,1
1094,女儿国10章,50012,140,100,20020,109,3,3,2,1
1095,女儿国11章,50012,140,100,20020,109,3,3,2,1
1096,女儿国12章,50012,140,100,20240,109,3,3,2,1
1097,女儿国13章,50012,140,100,20240,109,3,3,2,1
1098,女儿国14章,50012,140,100,20240,109,3,3,2,1
1099,琵琶洞1章,50013,150,100,20460,109,3,3,2,1
1100,琵琶洞2章,50013,150,100,20460,109,3,3,2,1
1101,琵琶洞3章,50013,150,100,20680,109,3,3,2,1
1102,琵琶洞4章,50013,150,100,20680,109,3,3,2,1
1103,琵琶洞5章,50013,150,100,20680,109,3,3,2,1
1104,琵琶洞6章,50013,150,100,20900,109,3,3,2,1
1105,琵琶洞7章,50013,150,100,20900,109,3,3,2,1
1106,琵琶洞8章,50013,150,100,20900,109,3,3,2,1
1107,琵琶洞9章,50013,150,100,21120,109,3,3,2,1
1108,琵琶洞10章,50013,150,100,21120,109,3,3,2,1
1109,琵琶洞11章,50013,150,100,21120,109,3,3,2,1
1110,琵琶洞12章,50013,150,100,21340,109,3,3,2,1
1111,琵琶洞13章,50013,150,100,21340,109,3,3,2,1
1112,琵琶洞14章,50013,150,100,21340,109,3,3,2,1
1113,火焰山1章,50005,160,100,21560,110,3,3,2,1
1114,火焰山2章,50005,160,100,21560,110,3,3,2,1
1115,火焰山3章,50005,160,100,21780,110,3,3,2,1
1116,火焰山4章,50005,160,100,21780,110,3,3,2,1
1117,火焰山5章,50005,160,100,21780,110,3,3,2,1
1118,火焰山6章,50005,160,100,22000,110,3,3,2,1
1119,火焰山7章,50005,160,100,22000,110,3,3,2,1
1120,火焰山8章,50005,160,100,22000,110,3,3,2,1
1121,火焰山9章,50005,160,100,22220,110,3,3,2,1
1122,火焰山10章,50005,160,100,22220,110,3,3,2,1
1123,火焰山11章,50005,160,100,22220,110,3,3,2,1
1124,火焰山12章,50005,160,100,22440,110,3,3,2,1
1125,火焰山13章,50005,160,100,22440,110,3,3,2,1
1126,火焰山14章,50005,160,100,22440,110,3,3,2,1
1127,火焰山15章,50005,160,100,22660,110,3,3,2,1
1128,小雷音寺1章,50021,170,100,22660,110,3,3,2,1
1129,小雷音寺2章,50021,170,100,22660,110,3,3,2,1
1130,小雷音寺3章,50021,170,100,22880,110,3,3,2,1
1131,小雷音寺4章,50021,170,100,22880,110,3,3,2,1
1132,小雷音寺5章,50021,170,100,22880,110,3,3,2,1
1133,小雷音寺6章,50021,170,100,23100,110,3,3,2,1
1134,小雷音寺7章,50021,170,100,23100,110,3,3,2,1
1135,小雷音寺8章,50021,170,100,23100,110,3,3,2,1
1136,小雷音寺9章,50021,170,100,23320,110,3,3,2,1
1137,小雷音寺10章,50021,170,100,23320,110,3,3,2,1
1138,小雷音寺11章,50021,170,100,23320,110,3,3,2,1
1139,小雷音寺12章,50021,170,100,23540,110,3,3,2,1
1140,小雷音寺13章,50021,170,100,23540,110,3,3,2,1
1141,小雷音寺14章,50021,170,100,23540,110,3,3,2,1
1142,小雷音寺15章,50021,170,100,23760,109,3,3,2,1
1143,无底洞1章,50018,180,100,23760,110,3,3,2,1
1144,无底洞2章,50018,180,100,23760,110,3,3,2,1
1145,无底洞3章,50018,180,100,23760,110,3,3,2,1
1146,无底洞4章,50018,180,100,23980,110,3,3,2,1
1147,无底洞5章,50018,180,100,23980,110,3,3,2,1
1148,无底洞6章,50018,180,100,23980,110,3,3,2,1
1149,无底洞7章,50018,180,100,24200,110,3,3,2,1
1150,无底洞8章,50018,180,100,24200,110,3,3,2,1
1151,无底洞9章,50018,180,100,24200,110,3,3,2,1
1152,无底洞10章,50018,180,100,24420,110,3,3,2,1
1153,无底洞11章,50018,180,100,24420,110,3,3,2,1
1154,无底洞12章,50018,180,100,24420,110,3,3,2,1
1155,无底洞13章,50018,180,100,24640,110,3,3,2,1
1156,无底洞14章,50018,180,100,24640,110,3,3,2,1
1157,无底洞15章,50018,180,100,24640,110,3,3,2,1
1158,无底洞16章,50018,180,100,24860,110,3,3,2,1
1159,蜘蛛洞1章,50025,190,100,24860,110,3,3,2,1
1160,蜘蛛洞2章,50025,190,100,24860,110,3,3,2,1
1161,蜘蛛洞3章,50025,190,100,24860,110,3,3,2,1
1162,蜘蛛洞4章,50025,190,100,25080,110,3,3,2,1
1163,蜘蛛洞5章,50025,190,100,25080,110,3,3,2,1
1164,蜘蛛洞6章,50025,190,100,25080,110,3,3,2,1
1165,蜘蛛洞7章,50025,190,100,25300,110,3,3,2,1
1166,蜘蛛洞8章,50025,190,100,25300,110,3,3,2,1
1167,蜘蛛洞9章,50025,190,100,25300,110,3,3,2,1
1168,蜘蛛洞10章,50025,190,100,25520,110,3,3,2,1
1169,蜘蛛洞11章,50025,190,100,25520,110,3,3,2,1
1170,蜘蛛洞12章,50025,190,100,25520,110,3,3,2,1
1171,蜘蛛洞13章,50025,190,100,25740,110,3,3,2,1
1172,蜘蛛洞14章,50025,190,100,25740,110,3,3,2,1
1173,蜘蛛洞15章,50025,190,100,25740,110,3,3,2,1
1174,蜘蛛洞16章,50025,190,100,25960,110,3,3,2,1
1175,狮驼岭1章,50014,200,100,25960,110,3,3,2,1
1176,狮驼岭2章,50014,200,100,25960,110,3,3,2,1
1177,狮驼岭3章,50014,200,100,25960,110,3,3,2,1
1178,狮驼岭4章,50014,200,100,26180,110,3,3,2,1
1179,狮驼岭5章,50014,200,100,26180,110,3,3,2,1
1180,狮驼岭6章,50014,200,100,26180,110,3,3,2,1
1181,狮驼岭7章,50014,200,100,26400,110,3,3,2,1
1182,狮驼岭8章,50014,200,100,26400,110,3,3,2,1
1183,狮驼岭9章,50014,200,100,26400,110,3,3,2,1
1184,狮驼岭10章,50014,200,100,26400,110,3,3,2,1
1185,狮驼岭11章,50014,200,100,26620,110,3,3,2,1
1186,狮驼岭12章,50014,200,100,26620,110,3,3,2,1
1187,狮驼岭13章,50014,200,100,26620,110,3,3,2,1
1188,狮驼岭14章,50014,200,100,26840,110,3,3,2,1
1189,狮驼岭15章,50014,200,100,26840,110,3,3,2,1
1190,狮驼岭16章,50014,200,100,26840,110,3,3,2,1
1191,狮驼岭17章,50014,200,100,27060,110,3,3,2,1
1192,天竺1章,50015,200,100,27060,110,3,3,2,1
1193,天竺2章,50015,200,100,27060,110,3,3,2,1
1194,天竺3章,50015,200,100,27060,110,3,3,2,1
1195,天竺4章,50015,200,100,27280,110,3,3,2,1
1196,天竺5章,50015,200,100,27280,110,3,3,2,1
1197,天竺6章,50015,200,100,27280,110,3,3,2,1
1198,天竺7章,50015,200,100,27280,110,3,3,2,1
1199,天竺8章,50015,200,100,27500,110,3,3,2,1
1200,天竺9章,50015,200,100,27500,110,3,3,2,1
1201,天竺10章,50015,200,100,27500,110,3,3,2,1
1202,天竺11章,50015,200,100,27720,110,3,3,2,1
1203,天竺12章,50015,200,100,27720,110,3,3,2,1
1204,天竺13章,50015,200,100,27720,110,3,3,2,1
1205,天竺14章,50015,200,100,27940,110,3,3,2,1
1206,天竺15章,50015,200,100,27940,110,3,3,2,1
1207,天竺16章,50015,200,100,27940,110,3,3,2,1
1208,天竺17章,50015,200,100,28160,110,3,3,2,1
1209,灵山1章,50008,200,100,28160,110,3,3,2,1
1210,灵山2章,50008,200,100,28160,110,3,3,2,1
1211,灵山3章,50008,200,100,28160,110,3,3,2,1
1212,灵山4章,50008,200,100,30580,110,3,3,2,1
1213,灵山5章,50008,200,100,30580,110,3,3,2,1
1214,灵山6章,50008,200,100,30580,110,3,3,2,1
1215,灵山7章,50008,200,100,30580,110,3,3,2,1
1216,灵山8章,50008,200,100,30580,110,3,3,2,1
1217,灵山9章,50008,200,100,28600,110,3,3,2,1
1218,灵山10章,50008,200,100,28600,110,3,3,2,1
1219,灵山11章,50008,200,100,28600,110,3,3,2,1
1220,灵山12章,50008,200,100,28820,110,3,3,2,1
1221,灵山13章,50008,200,100,28820,110,3,3,2,1
1222,灵山14章,50008,200,100,28820,110,3,3,2,1
1223,灵山15章,50008,200,100,28820,110,3,3,2,1
1224,灵山16章,50008,200,100,29040,110,3,3,2,1
1225,灵山17章,50008,200,100,29040,110,3,3,2,1
1226,灵山18章,50008,200,100,29040,110,3,3,2,1
1227,灵山19章,50008,200,100,29040,110,3,3,2,1
1228,灵山20章,50008,200,100,29260,110,3,3,2,1
1229,两界山1章,50007,200,100,29260,110,3,3,2,1
1230,两界山2章,50007,200,100,29260,110,3,3,2,1
1231,两界山3章,50007,200,100,29260,110,3,3,2,1
1232,两界山4章,50007,200,100,29480,110,3,3,2,1
1233,两界山5章,50007,200,100,29480,110,3,3,2,1
1234,两界山6章,50007,200,100,29480,110,3,3,2,1
1235,两界山7章,50007,200,100,29480,110,3,3,2,1
1236,两界山8章,50007,200,100,29480,110,3,3,2,1
1237,两界山9章,50007,200,100,29700,110,3,3,2,1
1238,两界山10章,50007,200,100,29700,110,3,3,2,1
1239,两界山11章,50007,200,100,29700,110,3,3,2,1
1240,两界山12章,50007,200,100,29920,110,3,3,2,1
1241,两界山13章,50007,200,100,29920,110,3,3,2,1
1242,两界山14章,50007,200,100,29920,110,3,3,2,1
1243,两界山15章,50007,200,100,29920,110,3,3,2,1
1244,两界山16章,50007,200,100,30140,110,3,3,2,1
1245,两界山17章,50007,200,100,30140,110,3,3,2,1
1246,两界山18章,50007,200,100,30140,110,3,3,2,1
1247,两界山19章,50007,200,100,30140,110,3,3,2,1
1248,两界山20章,50007,200,100,30360,110,3,3,2,1
1249,南天门1章,50011,200,100,30360,110,3,3,2,1
1250,南天门2章,50011,200,100,30360,110,3,3,2,1
1251,南天门3章,50011,200,100,30360,110,3,3,2,1
1252,南天门4章,50011,200,100,30360,110,3,3,2,1
1253,南天门5章,50011,200,100,30580,110,3,3,2,1
1254,南天门6章,50011,200,100,30580,110,3,3,2,1
1255,南天门7章,50011,200,100,30580,110,3,3,2,1
1256,南天门8章,50011,200,100,30580,110,3,3,2,1
1257,南天门9章,50011,200,100,30580,110,3,3,2,1
1258,南天门10章,50011,200,100,30800,110,3,3,2,1
1259,南天门11章,50011,200,100,30800,110,3,3,2,1
1260,南天门12章,50011,200,100,30800,110,3,3,2,1
1261,南天门13章,50011,200,100,31020,110,3,3,2,1
1262,南天门14章,50011,200,100,31020,110,3,3,2,1
1263,南天门15章,50011,200,100,31020,110,3,3,2,1
1264,南天门16章,50011,200,100,31020,110,3,3,2,1
1265,南天门17章,50011,200,100,31020,110,3,3,2,1
1266,南天门18章,50011,200,100,31240,110,3,3,2,1
1267,南天门19章,50011,200,100,31240,110,3,3,2,1
1268,南天门20章,50011,200,100,31240,110,3,3,2,1
1269,南天门21章,50011,200,100,31240,110,3,3,2,1
1270,南天门22章,50011,200,100,31240,110,3,3,2,1
1271,南天门23章,50011,200,100,31460,110,3,3,2,1
1272,南天门24章,50011,200,100,31460,110,3,3,2,1
1273,南天门25章,50011,200,100,31460,110,3,3,2,1
1274,瑶池仙境1章,50022,200,100,31460,110,3,3,2,1
1275,瑶池仙境2章,50022,200,100,31460,110,3,3,2,1
1276,瑶池仙境3章,50022,200,100,31680,110,3,3,2,1
1277,瑶池仙境4章,50022,200,100,31680,110,3,3,2,1
1278,瑶池仙境5章,50022,200,100,31680,110,3,3,2,1
1279,瑶池仙境6章,50022,200,100,31680,110,3,3,2,1
1280,瑶池仙境7章,50022,200,100,31900,110,3,3,2,1
1281,瑶池仙境8章,50022,200,100,31900,110,3,3,2,1
1282,瑶池仙境9章,50022,200,100,31900,110,3,3,2,1
1283,瑶池仙境10章,50022,200,100,31900,110,3,3,2,1
1284,瑶池仙境11章,50022,200,100,32120,110,3,3,2,1
1285,瑶池仙境12章,50022,200,100,32120,110,3,3,2,1
1286,瑶池仙境13章,50022,200,100,32120,110,3,3,2,1
1287,瑶池仙境14章,50022,200,100,32340,110,3,3,2,1
1288,瑶池仙境15章,50022,200,100,32340,110,3,3,2,1
1289,瑶池仙境16章,50022,200,100,32340,110,3,3,2,1
1290,瑶池仙境17章,50022,200,100,32560,110,3,3,2,1
1291,瑶池仙境18章,50022,200,100,32560,110,3,3,2,1
1292,瑶池仙境19章,50022,200,100,32560,110,3,3,2,1
1293,瑶池仙境20章,50022,200,100,32780,110,3,3,2,1
1294,瑶池仙境21章,50022,200,100,32780,110,3,3,2,1
1295,瑶池仙境22章,50022,200,100,32780,110,3,3,2,1
1296,瑶池仙境23章,50022,200,100,33000,110,3,3,2,1
1297,瑶池仙境24章,50022,200,100,33000,110,3,3,2,1
1298,瑶池仙境25章,50022,200,100,33000,110,3,3,2,1
