关卡ID,章节id,名称,怪物库,难度,需要玩家等级,经验奖励,关卡等级,遇多少次怪,掉落装备,,掉落库,三星通关时间,星级奖励,体力消耗,指定部下增加血量或怒气,增加奧義能量,关卡礼包npcEntryId,礼包有效期,容错,掉落神魂(3:level 4:exp)
1046,1005,大雁塔2-6,"[2]=104609,[3]=104609,[4]=104609,[5]=104609,[6]=104609,[9]=104609,[10]=104610,[11]=104609",0,20,2397000,20,3,,,,120,,0,,,,,0,
1047,1005,大雁塔2-7,"[2]=104709,[3]=104709,[4]=104709,[5]=104709,[6]=104709,[9]=104709,[10]=104710,[11]=104709",0,20,2397000,20,3,,,,120,,0,,,,,0,
1048,1005,大雁塔2-8,"[2]=104809,[3]=104809,[4]=104809,[5]=104809,[6]=104809,[9]=104809,[10]=104810,[11]=104809",0,20,2530000,20,3,,,,120,,0,,,,,0,
1049,1005,大雁塔2-9,"[2]=104909,[3]=104909,[4]=104909,[5]=104909,[6]=104909,[9]=104909,[10]=104910,[11]=104909",0,20,2530000,20,3,,,,120,,0,,,,,0,
1050,1005,大雁塔2-10,"[2]=105009,[3]=105009,[4]=105009,[5]=105009,[6]=105009,[9]=105009,[10]=105010,[11]=105009",0,20,2530000,20,3,,,,120,,0,,,"{""item"",50002,5}",,0,
1051,1006,大雁塔3-1,"[2]=105109,[3]=105109,[4]=105109,[5]=105109,[6]=105109,[9]=105109,[10]=105110,[11]=105109",0,20,2669000,20,3,,,,120,,0,,,,,0,
1052,1006,大雁塔3-2,"[2]=105209,[3]=105209,[4]=105209,[5]=105209,[6]=105209,[9]=105209,[10]=105210,[11]=105209",0,20,2669000,20,3,,,,120,,0,,,,,0,
1053,1006,大雁塔3-3,"[2]=105309,[3]=105309,[4]=105309,[5]=105309,[6]=105309,[9]=105309,[10]=105310,[11]=105309",0,20,2669000,20,3,,,,120,,0,,,,,0,
1054,1006,大雁塔3-4,"[2]=105409,[3]=105409,[4]=105409,[5]=105409,[6]=105409,[9]=105409,[10]=105410,[11]=105409",0,20,2810000,20,3,,,,120,,0,,,,,0,
1055,1006,大雁塔3-5,"[2]=105509,[3]=105509,[4]=105509,[5]=105509,[6]=105509,[9]=105509,[10]=105510,[11]=105509",0,20,2810000,20,3,,,,120,,0,,,,,0,
1056,1006,大雁塔3-6,"[2]=105609,[3]=105609,[4]=105609,[5]=105609,[6]=105609,[9]=105609,[10]=105610,[11]=105609",0,20,2810000,20,3,,,,120,,0,,,,,0,
1057,1006,大雁塔3-7,"[2]=105709,[3]=105709,[4]=105709,[5]=105709,[6]=105709,[9]=105709,[10]=105710,[11]=105709",0,20,2956000,20,3,,,,120,,0,,,,,0,
1058,1006,大雁塔3-8,"[2]=105809,[3]=105809,[4]=105809,[5]=105809,[6]=105809,[9]=105809,[10]=105810,[11]=105809",0,20,2956000,20,3,,,,120,,0,,,,,0,
1059,1006,大雁塔3-9,"[2]=105909,[3]=105909,[4]=105909,[5]=105909,[6]=105909,[9]=105909,[10]=105910,[11]=105909",0,20,2956000,20,3,,,,120,,0,,,,,0,
1060,1006,大雁塔3-10,"[2]=106009,[3]=106009,[4]=106009,[5]=106009,[6]=106009,[9]=106009,[10]=106010,[11]=106009",0,20,2956000,20,3,,,,120,,0,,,"{""item"",50002,5}",,0,
1061,1007,长安城1-1,"[2]=106109,[3]=106109,[4]=106109,[5]=106109,[6]=106109,[8]=106109,[9]=106109,[10]=106110,[11]=106109,[12]=106109",0,40,1244000,40,3,,,,120,,0,,,,,0,
1062,1007,长安城1-2,"[2]=106209,[3]=106209,[4]=106209,[5]=106209,[6]=106209,[8]=106209,[9]=106209,[10]=106210,[11]=106209,[12]=106209",0,40,1244000,40,3,,,,120,,0,,,,,0,
1063,1007,长安城1-3,"[2]=106309,[3]=106309,[4]=106309,[5]=106309,[6]=106309,[8]=106309,[9]=106309,[10]=106310,[11]=106309,[12]=106309",0,40,1244000,40,3,,,,120,,0,,,,,0,
1064,1007,长安城1-4,"[2]=106409,[3]=106409,[4]=106409,[5]=106409,[6]=106409,[8]=106409,[9]=106409,[10]=106410,[11]=106409,[12]=106409",0,40,1244000,40,3,,,,120,,0,,,,,0,
1065,1007,长安城1-5,"[2]=106509,[3]=106509,[4]=106509,[5]=106509,[6]=106509,[8]=106509,[9]=106509,[10]=106510,[11]=106509,[12]=106509",0,40,1244000,40,3,,,,120,,0,,,,,0,
1066,1007,长安城1-6,"[2]=106609,[3]=106609,[4]=106609,[5]=106609,[6]=106609,[8]=106609,[9]=106609,[10]=106610,[11]=106609,[12]=106609",0,40,1244000,40,3,,,,120,,0,,,,,0,
1067,1007,长安城1-7,"[2]=106709,[3]=106709,[4]=106709,[5]=106709,[6]=106709,[8]=106709,[9]=106709,[10]=106710,[11]=106709,[12]=106709",0,40,1244000,40,3,,,,120,,0,,,,,0,
1068,1007,长安城1-8,"[2]=106809,[3]=106809,[4]=106809,[5]=106809,[6]=106809,[8]=106809,[9]=106809,[10]=106810,[11]=106809,[12]=106809",0,40,1244000,40,3,,,,120,,0,,,,,0,
1069,1007,长安城1-9,"[2]=106909,[3]=106909,[4]=106909,[5]=106909,[6]=106909,[8]=106909,[9]=106909,[10]=106910,[11]=106909,[12]=106909",0,40,1244000,40,3,,,,120,,0,,,,,0,
1070,1007,长安城1-10,"[2]=107009,[3]=107009,[4]=107009,[5]=107009,[6]=107009,[8]=107009,[9]=107009,[10]=107010,[11]=107009,[12]=107009",0,40,1244000,40,3,,,,120,,0,,,"{""item"",50002,5}",,0,
1071,1008,长安城2-1,"[2]=107109,[3]=107109,[4]=107109,[5]=107109,[6]=107109,[8]=107109,[9]=107109,[10]=107110,[11]=107109,[12]=107109",0,40,1244000,40,3,,,,120,,0,,,,,0,
1072,1008,长安城2-2,"[2]=107209,[3]=107209,[4]=107209,[5]=107209,[6]=107209,[8]=107209,[9]=107209,[10]=107210,[11]=107209,[12]=107209",0,40,1244000,40,3,,,,120,,0,,,,,0,
1073,1008,长安城2-3,"[2]=107309,[3]=107309,[4]=107309,[5]=107309,[6]=107309,[8]=107309,[9]=107309,[10]=107310,[11]=107309,[12]=107309",0,40,1244000,40,3,,,,120,,0,,,,,0,
1074,1008,长安城2-4,"[2]=107409,[3]=107409,[4]=107409,[5]=107409,[6]=107409,[8]=107409,[9]=107409,[10]=107410,[11]=107409,[12]=107409",0,40,1244000,40,3,,,,120,,0,,,,,0,
1075,1008,长安城2-5,"[2]=107509,[3]=107509,[4]=107509,[5]=107509,[6]=107509,[8]=107509,[9]=107509,[10]=107510,[11]=107509,[12]=107509",0,40,1244000,40,3,,,,120,,0,,,,,0,
1076,1008,长安城2-6,"[2]=107609,[3]=107609,[4]=107609,[5]=107609,[6]=107609,[8]=107609,[9]=107609,[10]=107610,[11]=107609,[12]=107609",0,40,1244000,40,3,,,,120,,0,,,,,0,
1077,1008,长安城2-7,"[2]=107709,[3]=107709,[4]=107709,[5]=107709,[6]=107709,[8]=107709,[9]=107709,[10]=107710,[11]=107709,[12]=107709",0,40,1244000,40,3,,,,120,,0,,,,,0,
1078,1008,长安城2-8,"[2]=107809,[3]=107809,[4]=107809,[5]=107809,[6]=107809,[8]=107809,[9]=107809,[10]=107810,[11]=107809,[12]=107809",0,40,1244000,40,3,,,,120,,0,,,,,0,
1079,1008,长安城2-9,"[2]=107909,[3]=107909,[4]=107909,[5]=107909,[6]=107909,[8]=107909,[9]=107909,[10]=107910,[11]=107909,[12]=107909",0,40,1244000,40,3,,,,120,,0,,,,,0,
1080,1008,长安城2-10,"[2]=108009,[3]=108009,[4]=108009,[5]=108009,[6]=108009,[8]=108009,[9]=108009,[10]=108010,[11]=108009,[12]=108009",0,40,1244000,40,3,,,,120,,0,,,"{""item"",50003,5}",,0,
1081,1009,长安城3-1,"[2]=108109,[3]=108109,[4]=108109,[5]=108109,[6]=108109,[8]=108109,[9]=108109,[10]=108110,[11]=108109,[12]=108109",0,40,1244000,40,3,,,,120,,0,,,,,0,
1082,1009,长安城3-2,"[2]=108209,[3]=108209,[4]=108209,[5]=108209,[6]=108209,[8]=108209,[9]=108209,[10]=108210,[11]=108209,[12]=108209",0,40,1244000,40,3,,,,120,,0,,,,,0,
1083,1009,长安城3-3,"[2]=108309,[3]=108309,[4]=108309,[5]=108309,[6]=108309,[8]=108309,[9]=108309,[10]=108310,[11]=108309,[12]=108309",0,40,1244000,40,3,,,,120,,0,,,,,0,
1084,1009,长安城3-4,"[2]=108409,[3]=108409,[4]=108409,[5]=108409,[6]=108409,[8]=108409,[9]=108409,[10]=108410,[11]=108409,[12]=108409",0,40,1244000,40,3,,,,120,,0,,,,,0,
1085,1009,长安城3-5,"[2]=108509,[3]=108509,[4]=108509,[5]=108509,[6]=108509,[8]=108509,[9]=108509,[10]=108510,[11]=108509,[12]=108509",0,40,1244000,40,3,,,,120,,0,,,,,0,
1086,1009,长安城3-6,"[2]=108609,[3]=108609,[4]=108609,[5]=108609,[6]=108609,[8]=108609,[9]=108609,[10]=108610,[11]=108609,[12]=108609",0,40,1244000,40,3,,,,120,,0,,,,,0,
1087,1009,长安城3-7,"[2]=108709,[3]=108709,[4]=108709,[5]=108709,[6]=108709,[8]=108709,[9]=108709,[10]=108710,[11]=108709,[12]=108709",0,40,1244000,40,3,,,,120,,0,,,,,0,
1088,1009,长安城3-8,"[2]=108809,[3]=108809,[4]=108809,[5]=108809,[6]=108809,[8]=108809,[9]=108809,[10]=108810,[11]=108809,[12]=108809",0,40,1244000,40,3,,,,120,,0,,,,,0,
1089,1009,长安城3-9,"[2]=108909,[3]=108909,[4]=108909,[5]=108909,[6]=108909,[8]=108909,[9]=108909,[10]=108910,[11]=108909,[12]=108909",0,40,1244000,40,3,,,,120,,0,,,,,0,
1090,1009,长安城3-10,"[2]=109009,[3]=109009,[4]=109009,[5]=109009,[6]=109009,[8]=109009,[9]=109009,[10]=109010,[11]=109009,[12]=109009",0,40,1244000,40,3,,,,120,,0,,,"{""item"",50003,5}",,0,
1091,1010,长寿村1-1,"[2]=109109,[3]=109109,[4]=109109,[5]=109109,[6]=109109,[8]=109109,[9]=109109,[10]=109110,[11]=109109,[12]=109109",0,50,2140000,50,3,,,,120,,0,,,,,0,
1092,1010,长寿村1-2,"[2]=109209,[3]=109209,[4]=109209,[5]=109209,[6]=109209,[8]=109209,[9]=109209,[10]=109210,[11]=109209,[12]=109209",0,50,2140000,50,3,,,,120,,0,,,,,0,
1093,1010,长寿村1-3,"[2]=109309,[3]=109309,[4]=109309,[5]=109309,[6]=109309,[8]=109309,[9]=109309,[10]=109310,[11]=109309,[12]=109309",0,50,2140000,50,3,,,,120,,0,,,,,0,
1094,1010,长寿村1-4,"[2]=109409,[3]=109409,[4]=109409,[5]=109409,[6]=109409,[8]=109409,[9]=109409,[10]=109410,[11]=109409,[12]=109409",0,50,2140000,50,3,,,,120,,0,,,,,0,
1095,1010,长寿村1-5,"[2]=109509,[3]=109509,[4]=109509,[5]=109509,[6]=109509,[8]=109509,[9]=109509,[10]=109510,[11]=109509,[12]=109509",0,50,2140000,50,3,,,,120,,0,,,,,0,
1096,1010,长寿村1-6,"[2]=109609,[3]=109609,[4]=109609,[5]=109609,[6]=109609,[8]=109609,[9]=109609,[10]=109610,[11]=109609,[12]=109609",0,50,2140000,50,3,,,,120,,0,,,,,0,
1097,1010,长寿村1-7,"[2]=109709,[3]=109709,[4]=109709,[5]=109709,[6]=109709,[8]=109709,[9]=109709,[10]=109710,[11]=109709,[12]=109709",0,50,2140000,50,3,,,,120,,0,,,,,0,
1098,1010,长寿村1-8,"[2]=109809,[3]=109809,[4]=109809,[5]=109809,[6]=109809,[8]=109809,[9]=109809,[10]=109810,[11]=109809,[12]=109809",0,50,2140000,50,3,,,,120,,0,,,,,0,
1099,1010,长寿村1-9,"[2]=109909,[3]=109909,[4]=109909,[5]=109909,[6]=109909,[8]=109909,[9]=109909,[10]=109910,[11]=109909,[12]=109909",0,50,2140000,50,3,,,,120,,0,,,,,0,
1100,1010,长寿村1-10,"[2]=110009,[3]=110009,[4]=110009,[5]=110009,[6]=110009,[8]=110009,[9]=110009,[10]=110010,[11]=110009,[12]=110009",0,50,2140000,50,3,,,,120,,0,,,"{""item"",50003,5}",,0,
1101,1011,长寿村2-1,"[2]=110109,[3]=110109,[4]=110109,[5]=110109,[6]=110109,[8]=110109,[9]=110109,[10]=110110,[11]=110109,[12]=110109",0,50,2140000,50,3,,,,120,,0,,,,,0,
1102,1011,长寿村2-2,"[2]=110209,[3]=110209,[4]=110209,[5]=110209,[6]=110209,[8]=110209,[9]=110209,[10]=110210,[11]=110209,[12]=110209",0,50,2140000,50,3,,,,120,,0,,,,,0,
1103,1011,长寿村2-3,"[2]=110309,[3]=110309,[4]=110309,[5]=110309,[6]=110309,[8]=110309,[9]=110309,[10]=110310,[11]=110309,[12]=110309",0,50,2140000,50,3,,,,120,,0,,,,,0,
1104,1011,长寿村2-4,"[2]=110409,[3]=110409,[4]=110409,[5]=110409,[6]=110409,[8]=110409,[9]=110409,[10]=110410,[11]=110409,[12]=110409",0,50,2140000,50,3,,,,120,,0,,,,,0,
1105,1011,长寿村2-5,"[2]=110509,[3]=110509,[4]=110509,[5]=110509,[6]=110509,[8]=110509,[9]=110509,[10]=110510,[11]=110509,[12]=110509",0,50,2140000,50,3,,,,120,,0,,,,,0,
1106,1011,长寿村2-6,"[2]=110609,[3]=110609,[4]=110609,[5]=110609,[6]=110609,[8]=110609,[9]=110609,[10]=110610,[11]=110609,[12]=110609",0,50,2140000,50,3,,,,120,,0,,,,,0,
1107,1011,长寿村2-7,"[2]=110709,[3]=110709,[4]=110709,[5]=110709,[6]=110709,[8]=110709,[9]=110709,[10]=110710,[11]=110709,[12]=110709",0,50,2140000,50,3,,,,120,,0,,,,,0,
1108,1011,长寿村2-8,"[2]=110809,[3]=110809,[4]=110809,[5]=110809,[6]=110809,[8]=110809,[9]=110809,[10]=110810,[11]=110809,[12]=110809",0,50,2140000,50,3,,,,120,,0,,,,,0,
1109,1011,长寿村2-9,"[2]=110909,[3]=110909,[4]=110909,[5]=110909,[6]=110909,[8]=110909,[9]=110909,[10]=110910,[11]=110909,[12]=110909",0,50,2140000,50,3,,,,120,,0,,,,,0,
1110,1011,长寿村2-10,"[2]=111009,[3]=111009,[4]=111009,[5]=111009,[6]=111009,[8]=111009,[9]=111009,[10]=111010,[11]=111009,[12]=111009",0,50,2140000,50,3,,,,120,,0,,,"{""item"",50003,5}",,0,
1111,1012,长寿村3-1,"[2]=111109,[3]=111109,[4]=111109,[5]=111109,[6]=111109,[8]=111109,[9]=111109,[10]=111110,[11]=111109,[12]=111109",0,50,2140000,50,3,,,,120,,0,,,,,0,
1112,1012,长寿村3-2,"[2]=111209,[3]=111209,[4]=111209,[5]=111209,[6]=111209,[8]=111209,[9]=111209,[10]=111210,[11]=111209,[12]=111209",0,50,2140000,50,3,,,,120,,0,,,,,0,
1113,1012,长寿村3-3,"[2]=111309,[3]=111309,[4]=111309,[5]=111309,[6]=111309,[8]=111309,[9]=111309,[10]=111310,[11]=111309,[12]=111309",0,50,2140000,50,3,,,,120,,0,,,,,0,
1114,1012,长寿村3-4,"[2]=111409,[3]=111409,[4]=111409,[5]=111409,[6]=111409,[8]=111409,[9]=111409,[10]=111410,[11]=111409,[12]=111409",0,50,2140000,50,3,,,,120,,0,,,,,0,
1115,1012,长寿村3-5,"[2]=111509,[3]=111509,[4]=111509,[5]=111509,[6]=111509,[8]=111509,[9]=111509,[10]=111510,[11]=111509,[12]=111509",0,50,2140000,50,3,,,,120,,0,,,,,0,
1116,1012,长寿村3-6,"[2]=111609,[3]=111609,[4]=111609,[5]=111609,[6]=111609,[8]=111609,[9]=111609,[10]=111610,[11]=111609,[12]=111609",0,50,2140000,50,3,,,,120,,0,,,,,0,
1117,1012,长寿村3-7,"[2]=111709,[3]=111709,[4]=111709,[5]=111709,[6]=111709,[8]=111709,[9]=111709,[10]=111710,[11]=111709,[12]=111709",0,50,2140000,50,3,,,,120,,0,,,,,0,
1118,1012,长寿村3-8,"[2]=111809,[3]=111809,[4]=111809,[5]=111809,[6]=111809,[8]=111809,[9]=111809,[10]=111810,[11]=111809,[12]=111809",0,50,2140000,50,3,,,,120,,0,,,,,0,
1119,1012,长寿村3-9,"[2]=111909,[3]=111909,[4]=111909,[5]=111909,[6]=111909,[8]=111909,[9]=111909,[10]=111910,[11]=111909,[12]=111909",0,50,2140000,50,3,,,,120,,0,,,,,0,
1120,1012,长寿村3-10,"[2]=112009,[3]=112009,[4]=112009,[5]=112009,[6]=112009,[8]=112009,[9]=112009,[10]=112010,[11]=112009,[12]=112009",0,50,2140000,50,3,,,,120,,0,,,"{""item"",50003,5}",,0,
1121,1013,高老庄1-1,"[2]=112109,[3]=112109,[4]=112109,[5]=112109,[6]=112109,[8]=112109,[9]=112109,[10]=112110,[11]=112109,[12]=112109",0,60,2012000,60,3,,,,120,,0,,,,,0,
1122,1013,高老庄1-2,"[2]=112209,[3]=112209,[4]=112209,[5]=112209,[6]=112209,[8]=112209,[9]=112209,[10]=112210,[11]=112209,[12]=112209",0,60,2012000,60,3,,,,120,,0,,,,,0,
1123,1013,高老庄1-3,"[2]=112309,[3]=112309,[4]=112309,[5]=112309,[6]=112309,[8]=112309,[9]=112309,[10]=112310,[11]=112309,[12]=112309",0,60,2012000,60,3,,,,120,,0,,,,,0,
1124,1013,高老庄1-4,"[2]=112409,[3]=112409,[4]=112409,[5]=112409,[6]=112409,[8]=112409,[9]=112409,[10]=112410,[11]=112409,[12]=112409",0,60,2012000,60,3,,,,120,,0,,,,,0,
1125,1013,高老庄1-5,"[2]=112509,[3]=112509,[4]=112509,[5]=112509,[6]=112509,[8]=112509,[9]=112509,[10]=112510,[11]=112509,[12]=112509",0,60,2012000,60,3,,,,120,,0,,,,,0,
1126,1013,高老庄1-6,"[2]=112609,[3]=112609,[4]=112609,[5]=112609,[6]=112609,[8]=112609,[9]=112609,[10]=112610,[11]=112609,[12]=112609",0,60,2012000,60,3,,,,120,,0,,,,,0,
1127,1013,高老庄1-7,"[2]=112709,[3]=112709,[4]=112709,[5]=112709,[6]=112709,[8]=112709,[9]=112709,[10]=112710,[11]=112709,[12]=112709",0,60,2012000,60,3,,,,120,,0,,,,,0,
1128,1013,高老庄1-8,"[2]=112809,[3]=112809,[4]=112809,[5]=112809,[6]=112809,[8]=112809,[9]=112809,[10]=112810,[11]=112809,[12]=112809",0,60,2012000,60,3,,,,120,,0,,,,,0,
1129,1013,高老庄1-9,"[2]=112909,[3]=112909,[4]=112909,[5]=112909,[6]=112909,[8]=112909,[9]=112909,[10]=112910,[11]=112909,[12]=112909",0,60,2012000,60,3,,,,120,,0,,,,,0,
1130,1013,高老庄1-10,"[2]=113009,[3]=113009,[4]=113009,[5]=113009,[6]=113009,[8]=113009,[9]=113009,[10]=113010,[11]=113009,[12]=113009",0,60,2012000,60,3,,,,120,,0,,,"{""item"",50003,5}",,0,"{""shenhun"",70007,1,0,0,1}"
1131,1014,高老庄2-1,"[2]=113109,[3]=113109,[4]=113109,[5]=113109,[6]=113109,[8]=113109,[9]=113109,[10]=113110,[11]=113109,[12]=113109",0,60,2012000,60,3,,,,120,,0,,,,,0,
1132,1014,高老庄2-2,"[2]=113209,[3]=113209,[4]=113209,[5]=113209,[6]=113209,[8]=113209,[9]=113209,[10]=113210,[11]=113209,[12]=113209",0,60,2012000,60,3,,,,120,,0,,,,,0,
1133,1014,高老庄2-3,"[2]=113309,[3]=113309,[4]=113309,[5]=113309,[6]=113309,[8]=113309,[9]=113309,[10]=113310,[11]=113309,[12]=113309",0,60,2012000,60,3,,,,120,,0,,,,,0,
1134,1014,高老庄2-4,"[2]=113409,[3]=113409,[4]=113409,[5]=113409,[6]=113409,[8]=113409,[9]=113409,[10]=113410,[11]=113409,[12]=113409",0,60,2012000,60,3,,,,120,,0,,,,,0,
