,名称缩写,技能系,说明,技能类型,技能伤害类型火FIRE 冰ICE 神圣HOLY 黑暗DARKLY 无NONE,吟唱 持续施法效果,目标类型,技能施法效果,表演时间500的倍数,恢复能量,恢复奥义,打断恢复,打断恢复奥义,持续施法恢复,持续施法恢复奥义,释放消耗能量,释放消耗奥义,普攻效果的触发,取消技能标示,技能cd时间,是否不可限制（1不可限制，0限制）,技能固定伤害,技能百分比伤害,单体技能（0是1否）,技能对象类型,flag
40002,毒葫芦,,对随机1个目标造成15%+300的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.15}",0,0,0,0,,0,,0,,,,,,300,0.15,0,3,0
40003,旋风斩,,对随机2个目标造成15%+380的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.15}",0,0,0,0,,0,,0,,,,,,380,0.15,1,3,0
40004,千军破,,对随机2个目标造成20%+780的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,780,0.2,1,3,0
40005,流浪剑法,,对随机2个目标造成18%+540的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.18}",0,0,0,0,,0,,0,,,,,,540,0.18,1,3,0
40006,蝶花乱舞,,对随机2个目标造成18%+680的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.18}",0,0,0,0,,0,,0,,,,,,680,0.18,1,3,0
40007,八部天龙,,对随机2个目标造成20%+780的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.23}",0,0,0,0,,0,,0,,,,,,780,0.23,1,3,0
40008,敕令灵符,,对随机3个目标造成22%+860的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,860,0.25,1,3,0
40009,天神怒吼,,对随机3个目标造成24%+940的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.265}",0,0,0,0,,0,,0,,,,,,940,0.265,1,3,0
40010,雷霆万钧,,对随机3个目标造成26%+1020的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,1020,0.28,1,3,0
40011,猴王出世,,对随机2个目标造成20%+780的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.215}",0,0,0,0,,0,,0,,,,,,780,0.215,1,3,0
40012,花花公子,,对随机2名目标造成15%+500的伤害,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.15}",0,0,0,0,,0,,0,,,,,,500,0.15,1,3,0
50001,天将-普攻,,对随机1个目标造成20%+280的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,280,,0,,0
50002,月兔-普攻,,对随机1个目标造成20%+560的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,560,,0,,0
50003,鲛人-普攻,,对随机1个目标造成20%+840的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,840,,0,,0
50004,狐妖-普攻,,对随机1个目标造成20%+1120的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,1120,,0,,0
50005,巡海夜叉-普攻,,对随机1个目标造成21%+1400的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.21}",0,0,0,0,,0,,0,,,,,,1400,,0,,0
50006,持国天王-普攻,,对随机3个目标造成16%+1008的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.16}",0,0,0,0,,0,,0,,,,,,1008,,1,,0
50007,鲨鱼精-普攻,,对随机1个目标造成20%+1000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,1000,,0,,0
50008,棕熊-普攻,,对随机1个目标造成21%+1000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.21}",0,0,0,0,,0,,0,,,,,,1000,,0,,0
50009,黑熊精-普攻,,对随机1个目标造成22%+1000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,1000,,0,,0
50010,蟹王-普攻,,对随机1个目标造成22%+1960的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,1960,,0,,0
50011,猛虎-普攻,,对随机3个目标造成16.5%+1344的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.165}",0,0,0,0,,0,,0,,,,,,1344,,1,,0
50012,广目天王-普攻,,对随机1个目标造成23%+2520的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.23}",0,0,0,0,,0,,0,,,,,,2520,,0,,0
50013,重明鸟-普攻,,对随机3个目标造成17.5%+1680的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.175}",0,0,0,0,,0,,0,,,,,,1680,,1,,0
50014,巨灵神-普攻,,对随机3个目标造成18%+2016的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.18}",0,0,0,0,,0,,0,,,,,,2016,,1,,0
50015,趴趴熊-普攻,,对随机1个目标造成25%+3640的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,3640,,0,,0
50016,九尾狐-普攻,,对随机1个目标造成25%+3080的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,3080,,0,,0
50017,龙龟-普攻,,对随机3个目标造成19%+2352的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.19}",0,0,0,0,,0,,0,,,,,,2352,,1,,0
50018,晶魂-普攻,,对随机1个目标造成25%+4200的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,4200,,0,,0
50019,年兽-普攻,,对随机3个目标造成19%+2688的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.19}",0,0,0,0,,0,,0,,,,,,2688,,1,,0
50020,黑风小妖-普攻,,对随机1个目标造成26%+4760的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.26}",0,0,0,0,,0,,0,,,,,,4760,,0,,0
50021,熊猫-普攻,,对随机3个目标造成19.5%+3024的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.195}",0,0,0,0,,0,,0,,,,,,3024,,1,,0
50022,黑水玄蛇-普攻,,对随机1个目标造成26%+5320的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.26}",0,0,0,0,,0,,0,,,,,,5320,,0,,0
50023,火德真君-普攻,,对随机3个目标造成19.5%+3360的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.195}",0,0,0,0,,0,,0,,,,,,3360,,1,,0
50024,六耳猕猴-普攻,,对随机1个目标造成27%+5880的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.27}",0,0,0,0,,0,,0,,,,,,5880,,0,,0
50025,地狱三头犬-普攻,,对随机3个目标造成22%+3696的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,3696,,1,,0
50026,夜游神-普攻,,对随机3个目标造成21%+4368的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.21}",0,0,0,0,,0,,0,,,,,,4368,,1,,0
50027,业魔-普攻,,对随机1个目标造成29%+7560的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.29}",0,0,0,0,,0,,0,,,,,,7560,,0,,0
50028,强盗-普攻,,对随机1个目标造成28%+6440的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,6440,,0,,0
50029,白象王-普攻,,对随机3个目标造成21%+4032的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.21}",0,0,0,0,,0,,0,,,,,,4032,,1,,0
50030,冰龙-普攻,,对随机1个目标造成28%+7000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,7000,,0,,0
50031,剑侠兔-普攻,,对随机3个目标造成22%+4704的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,4704,,1,,0
50032,封蛇-普攻,,对随机1个目标造成26%+8120的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.26}",0,0,0,0,,0,,0,,,,,,8120,,0,,0
50033,神将-普攻,,对随机3个目标造成22.5%+5040的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.225}",0,0,0,0,,0,,0,,,,,,5040,,1,,0
50034,千年老妖-普攻,,对随机1个目标造成27%+8680的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.27}",0,0,0,0,,0,,0,,,,,,8680,,0,,0
50035,招财猫-普攻,,对随机3个目标造成23.5%+5376的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.235}",0,0,0,0,,0,,0,,,,,,5376,,1,,0
50036,熊猫大侠-普攻,,对随机1个目标造成28%+9240的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,9240,,0,,0
50037,青狮怪-普攻,,对随机1个目标造成29%+9520的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.29}",0,0,0,0,,0,,0,,,,,,9520,,0,,0
50038,东海龙王-普攻,,对随机1个目标造成29%+9800的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.29}",0,0,0,0,,0,,0,,,,,,9800,,0,,0
50039,朱雀-普攻,,对随机3个目标造成27%+6700的伤害。攻击时有概率提升30%命中持续2回合,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,6700,,1,,0
50040,青龙-普攻,,对随机3个目标造成24%+6384的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.26}",0,0,0,0,,0,,0,,,,,,6384,,1,,0
50041,白虎-普攻,,对随机1个目标造成43%+13300的伤害。攻击时有概率提升30%命中持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.46}",0,0,0,0,,0,,0,,,,,,13300,,0,,0
50042,玄武-普攻,,对随机3个目标造成30%+6900的伤害。攻击时有概率提升30%命中持续2回合,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.33}",0,0,0,0,,0,,0,,,,,,6900,,1,,0
50043,猪八戒-普攻,,对随机1个目标造成38%+11200的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.38}",0,0,0,0,,0,,0,,,,,,11200,,0,,0
50044,虎力大仙-普攻,,对随机1个目标造成40%+11480的伤害。攻击时有概率提升30%PVP伤害持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.48}",0,0,0,0,,0,,0,,,,,,11480,,0,,0
50045,赤脚大仙-普攻,,对随机1个目标造成39%+11500的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.4}",0,0,0,0,,0,,0,,,,,,11500,,0,,0
50046,奎木狼-普攻,,对随机1个目标造成36%+12500的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.38}",0,0,0,0,,0,,0,,,,,,12500,,0,,0
50047,鹿力大仙-普攻,,对随机1个目标造成30%+8000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.33}",0,0,0,0,,0,,0,,,,,,8000,,0,,0
50048,普攻,,对随机3个目标造成33%+8000的伤害。攻击时有概率提升50%PVP伤害持续2回合,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.37}",0,0,0,0,,0,,0,,,,,,8000,,1,,0
50049,普攻,,对随机1个目标造成48%+15500的伤害。攻击时有概率提升50%PVP防御持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.57}",0,0,0,0,,0,,0,,,,,,15500,,0,,0
50050,普攻,,对随机1个目标造成48%+15500的伤害。攻击时有概率提升30%闪避持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.6}",0,0,0,0,,0,,0,,,,,,15500,,0,,0
50051,普攻,,对随机3个目标造成33%+8000的伤害。攻击时有概率提升50%攻击持续2回合,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.42}",0,0,0,0,,0,,0,,,,,,8000,,1,,0
50052,普攻,,对随机1个目标造成44%+13800的伤害。攻击时有概率提升30%PVP伤害减免持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.48}",0,0,0,0,,0,,0,,,,,,13800,,0,,0
50053,普攻,,对随机3个目标造成31%+7200的伤害。攻击时有概率提升30%PVE伤害增加持续2回合,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.35}",0,0,0,0,,0,,0,,,,,,7200,,1,,0
50054,普攻,,对随机1个目标造成45%+13800的伤害。攻击时有概率提升30%PVE伤害持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.5}",0,0,0,0,,0,,0,,,,,,13800,,0,,0
50055,普攻,,对随机1个目标造成45%+13800的伤害。攻击时有概率提升30%PVE防御持续2回合,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.55}",0,0,0,0,,0,,0,,,,,,13800,,0,,0
50056,普攻,,对随机1个目标造成26.5%+4080的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.265}",0,0,0,0,,0,,0,,,,,,4080,,0,,0
50057,普攻,,对随机3个目标造成23%+6000的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,6000,,1,,0
50058,普攻,,对随机1个目标造成33%+9000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.38}",0,0,0,0,,0,,0,,,,,,9000,,0,,0
50059,普攻,,对随机1个目标造成23%+4000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.23}",0,0,0,0,,0,,0,,,,,,4000,,0,,0
50060,普攻,,对随机1个目标造成27%+5000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.27}",0,0,0,0,,0,,0,,,,,,5000,,0,,0
50061,普攻,,对随机1个目标造成27.5%+8000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.275}",0,0,0,0,,0,,0,,,,,,8000,,0,,0
50062,普攻,,对随机1个目标造成0.2+2100的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,2100,,0,,0
50063,普攻,,对随机1个目标造成0.22+1800的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,1800,,0,,0
50064,普攻,,对随机1个目标造成0.28+8000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.28}",0,0,0,0,,0,,0,,,,,,8000,,0,,0
50065,普攻,,对随机3个目标造成0.18+1800的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.18}",0,0,0,0,,0,,0,,,,,,1800,,1,,0
50066,普攻,,对随机3个目标造成0.21+1300的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,1300,,1,,0
50067,普攻,,对随机1个目标造成0.265+6800的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.265}",0,0,0,0,,0,,0,,,,,,6800,,0,,0
50068,普攻,,对随机3个目标造成0.235+11050的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,11050,,1,,0
50069,普攻,,对随机1个目标造成0.2+2150的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,2150,,0,,0
50070,普攻,,对随机1个目标造成0.2+2100的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.22}",0,0,0,0,,0,,0,,,,,,2100,,0,,0
50071,普攻,,对随机3个目标造成0.2+3600的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.2}",0,0,0,0,,0,,0,,,,,,3600,,1,,0
50072,普攻,,对随机1个目标造成0.3+9000的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.33}",0,0,0,0,,0,,0,,,,,,9000,,0,,0
50073,普攻,,对随机1个目标造成0.25+3080的伤害。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,3080,,0,,0
50074,普攻,,对随机3个目标造成0.2+3016的伤害。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.25}",0,0,0,0,,0,,0,,,,,,3016,,1,,0
55001,致盲毒液,,攻击时降低目标命中值30%三回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E1'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55002,毒性精通,,盲药毒师的降低命中值效果增至55%,0,NONE,,{'SELF'},"{'BuffAStart', 'E3'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55003,烈性毒液,,对攻击目标附加一个随机单位造成35%溅射伤害，降低命中效果对两个单位都生效,0,NONE,,{'SELF'},"{'BuffAStart', 'E5'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55004,狂暴一击,,本回合对敌人造成暴击伤害时，下回合获得溅射效果，对敌人造成伤害时，将溅射其上下左右相邻的队友，对他们造成16.72%的伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'G1'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55005,势如破竹,,技能狂暴一击造成的伤害变为20%,0,NONE,,{'SELF'},"{'BuffAStart', 'G3'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55006,暴怒猛击,,技能狂暴一击造成的伤害变为真实伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'G5'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55007,化为己用,,攻击时吸收伤害量25%恢复生命值,0,NONE,,{'SELF'},"{'BuffAStart', 'E10'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55008,生生不息,,回光返照的吸收伤害效果增加15%,0,NONE,,{'SELF'},"{'BuffAStart', 'E12'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55009,灵动腾挪,,被动：闪避值提升20%,0,NONE,,{'SELF'},"{'BuffAStart', 'E14'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55010,神龙摆尾,,自身攻击附带灼烧效果，每次攻击有20%的几率使其陷入灼烧状态，每回合受到17%的伤害，持续1回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E15'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55011,巨龙猛击,,灼烧伤害变为33%,0,NONE,,{'SELF'},"{'BuffAStart', 'E16'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55012,生机盎然,,自身死亡时，有50%的几率复活，复活后恢复12%的生命，攻击提高15.2%。每场只触发一次,0,NONE,,{'SELF'},"{'BuffAStart', 'E17'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55013,噬血爪,,攻击时吸收伤害量18%恢复生命值,0,NONE,,{'SELF'},"{'BuffAStart', 'E18'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55014,通灵血爪,,噬血爪吸收的伤害量增加10%,0,NONE,,{'SELF'},"{'BuffAStart', 'E20'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55015,灵巧步伐,,被动：闪避值提升20%,0,NONE,,{'SELF'},"{'BuffAStart', 'E22'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55016,天凤回巢,,本回合内，自身与后方队友对敌人造成的总伤害超过自身攻击的165%时，下回合攻击目标增加2人，持续1回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E23'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55017,天凤姿态,,龙之气息攻击目标变为全体,0,NONE,,{'SELF'},"{'BuffAStart', 'E24'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55018,灵魂烈火,,龙之气息持续回合数增加1回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E25'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55019,顽强意志,,受到致命攻击时，30%概率保留1点生命值,0,NONE,,{'SELF'},"{'BuffAStart', 'E27'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55020,绝处逢生,,顽强意志触发概率增加20%,0,NONE,,{'SELF'},"{'BuffAStart', 'E28'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55021,生机勃发,,回合开始立即回复6%的生命,0,NONE,,{'SELF'},"{'BuffAStart', 'E29'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55022,擎天一棒,,攻击时附带20%几率晕眩目标1回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E30'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55023,定海神针,,爆裂巨斧晕眩概率增加10%,0,NONE,,{'SELF'},"{'BuffAStart', 'E32'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55024,大杀四方,,攻击时目标周围单位将受到40%溅射伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'E34'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55025,穿刺一击,,第3回合开始，若自身生命高于50%，则本回合必定嘲讽敌方全体（优先级最高），同时获得15%的防御,0,NONE,,{'SELF'},"{'BuffAStart', 'G7'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55026,隔山打牛,,获得的防御变为25%,0,NONE,,{'SELF'},"{'BuffAStart', 'G9'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55027,天生尅星,,若自身在本回合内受到的伤害次数超过5次，则在回合结束时，以牺牲自身30%当前生命的代价，对敌方全体造成所损失生命数值50%的伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'G11'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55028,泰山压顶,,攻击时附带10%几率晕眩目标1回合,0,NONE,,{'SELF'},"{'BuffAStart', 'E38'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55029,上古血脉,,泰山压顶晕眩概率增加10%,0,NONE,,{'SELF'},"{'BuffAStart', 'E39'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55030,崩天裂地,,主动技能伤害增加5%，攻击时目标周围单位将受到18%溅射伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'E40'},{'BuffAStart', 'E41'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55031,斗转星移,,击中敌方的仙君，伤害将提升80%,0,NONE,,{'SELF'},"{'BuffAStart', 'E42'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55032,流光溢彩,,琵琶之魂伤害提升至120%,0,NONE,,{'SELF'},"{'BuffAStart', 'E43'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55033,通天之力,,攻击附带破防两回合，使其防御降低100%,0,NONE,,{'SELF'},"{'BuffAStart', 'E44'}",0,0,0,0,,0,,0,,,,,,0,,,,0
