名称,名称,ID,状态类型Buff DeBuff Null,技能伤害类型火FIRE 冰ICE 神圣HOLY 黑暗DARKLY 无NONE,状态系列,状态效果,持续时间(毫秒),替换规则,状态最大叠加数,是否发送到客户端,基础概率,成长参数,flag
B17,攻击触发防御降低,20017,Null,NONE,,"{'ProcBuff', {{'B18', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B18,防御降低,20018,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -35}",0,Replace,1,1,,,0
B19,攻击触发防御降低,20019,Null,NONE,,"{'ProcBuff', {{'B20', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B20,防御降低,20020,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -40}",0,Replace,1,1,,,0
B21,攻击触发防御降低,20021,Null,NONE,,"{'ProcBuff', {{'B22', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B22,防御降低,20022,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -45}",0,Replace,1,1,,,0
B23,攻击触发防御降低,20023,Null,NONE,,"{'ProcBuff', {{'B24', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B24,防御降低,20024,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -50}",0,Replace,1,1,,,0
B25,攻击触发防御降低,20025,Null,NONE,,"{'ProcBuff', {{'B26', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B26,防御降低,20026,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -55}",0,Replace,1,1,,,0
B27,攻击触发防御降低,20027,Null,NONE,,"{'ProcBuff', {{'B28', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B28,防御降低,20028,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -60}",0,Replace,1,1,,,0
B29,攻击触发暴击提升,20029,Null,NONE,,"{'ProcBuff', {{'B30', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B30,下回合暴击提升20%,20030,Buff,NONE,,"{'ChaLAPercent', 'critrate', 20, 0,Time='Apply'}",0,Replace,1,1,,,0
B31,攻击触发暴击提升,20031,Null,NONE,,"{'ProcBuff', {{'B32', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B32,下回合暴击提升25%,20032,Buff,NONE,,"{'ChaLAPercent', 'critrate', 25, 0,Time='Apply'}",0,Replace,1,1,,,0
B33,攻击触发暴击提升,20033,Null,NONE,,"{'ProcBuff', {{'B34', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B34,下回合暴击提升30%,20034,Buff,NONE,,"{'ChaLAPercent', 'critrate', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
B35,攻击触发暴击提升,20035,Null,NONE,,"{'ProcBuff', {{'B36', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B36,下回合暴击提升35%,20036,Buff,NONE,,"{'ChaLAPercent', 'critrate', 35, 0,Time='Apply'}",0,Replace,1,1,,,0
B37,攻击触发暴击提升,20037,Null,NONE,,"{'ProcBuff', {{'B38', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B38,下回合暴击提升40%,20038,Buff,NONE,,"{'ChaLAPercent', 'critrate', 40, 0,Time='Apply'}",0,Replace,1,1,,,0
B39,攻击触发暴击提升,20039,Null,NONE,,"{'ProcBuff', {{'B40', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B40,下回合暴击提升45%,20040,Buff,NONE,,"{'ChaLAPercent', 'critrate', 45, 0,Time='Apply'}",0,Replace,1,1,,,0
B41,攻击触发暴击提升,20041,Null,NONE,,"{'ProcBuff', {{'B42', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B42,下回合暴击提升50%,20042,Buff,NONE,,"{'ChaLAPercent', 'critrate', 50, 0,Time='Apply'}",0,Replace,1,1,,,0
B43,攻击触发伤害转换生命,20043,Null,NONE,,"{'ProcBuff', {{'B44', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B44,转换8%的生命,20044,Buff,NONE,,"{'CureHP', 0.08,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B45,攻击触发伤害转换生命,20045,Null,NONE,,"{'ProcBuff', {{'B46', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B46,转换12%的生命,20046,Buff,NONE,,"{'CureHP', 0.12,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B47,攻击触发伤害转换生命,20047,Null,NONE,,"{'ProcBuff', {{'B48', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B48,转换16%的生命,20048,Buff,NONE,,"{'CureHP', 0.16,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B49,攻击触发伤害转换生命,20049,Null,NONE,,"{'ProcBuff', {{'B50', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B50,转换20%的生命,20050,Buff,NONE,,"{'CureHP', 0.20,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B51,攻击触发伤害转换生命,20051,Null,NONE,,"{'ProcBuff', {{'B52', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B52,转换24%的生命,20052,Buff,NONE,,"{'CureHP', 0.24,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B53,攻击触发伤害转换生命,20053,Null,NONE,,"{'ProcBuff', {{'B54', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B54,转换28%的生命,20054,Buff,NONE,,"{'CureHP', 0.28,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B55,攻击触发伤害转换生命,20055,Null,NONE,,"{'ProcBuff', {{'B56', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B56,转换32%的生命,20056,Buff,NONE,,"{'CureHP', 0.32,Param='Damage',Time='Apply'}",0,Replace,1,1,,,0
B57,受到攻击触发伤害转换生命,20057,Null,NONE,,"{'ProcBuff', {{'B58', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B58,转换8%的生命,20058,Buff,NONE,,"{'AbsorbDamage', 8,Time='Apply'},",0,Replace,1,1,,,0
B59,受到攻击触发伤害转换生命,20059,Null,NONE,,"{'ProcBuff', {{'B60', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B60,转换12%的生命,20060,Buff,NONE,,"{'AbsorbDamage', 12,Time='Apply'},",0,Replace,1,1,,,0
B61,受到攻击触发伤害转换生命,20061,Null,NONE,,"{'ProcBuff', {{'B62', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B62,转换16%的生命,20062,Buff,NONE,,"{'AbsorbDamage', 16,Time='Apply'},",0,Replace,1,1,,,0
B63,受到攻击触发伤害转换生命,20063,Null,NONE,,"{'ProcBuff', {{'B64', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B64,转换20%的生命,20064,Buff,NONE,,"{'AbsorbDamage', 20,Time='Apply'},",0,Replace,1,1,,,0
B65,受到攻击触发伤害转换生命,20065,Null,NONE,,"{'ProcBuff', {{'B66', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B66,转换24%的生命,20066,Buff,NONE,,"{'AbsorbDamage', 24,Time='Apply'},",0,Replace,1,1,,,0
B67,受到攻击触发伤害转换生命,20067,Null,NONE,,"{'ProcBuff', {{'B68', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B68,转换28%的生命,20068,Buff,NONE,,"{'AbsorbDamage', 28,Time='Apply'},",0,Replace,1,1,,,0
B69,受到攻击触发伤害转换生命,20069,Null,NONE,,"{'ProcBuff', {{'B70', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B70,转换32%的生命,20070,Buff,NONE,,"{'AbsorbDamage', 32,Time='Apply'},",0,Replace,1,1,,,0
B71,受到攻击触发伤害提升,20071,Null,NONE,,"{'ProcBuff', {{'B72', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B72,提升15%,20072,Buff,NONE,,"{'ChaLAPercent', 'attinc', 15, 0,Time='Apply'}",0,Replace,1,1,,,0
B73,受到攻击触发伤害提升,20073,Null,NONE,,"{'ProcBuff', {{'B74', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B74,提升18%,20074,Buff,NONE,,"{'ChaLAPercent', 'attinc', 18, 0,Time='Apply'}",0,Replace,1,1,,,0
B75,受到攻击触发伤害提升,20075,Null,NONE,,"{'ProcBuff', {{'B76', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B76,提升21%,20076,Buff,NONE,,"{'ChaLAPercent', 'attinc', 21, 0,Time='Apply'}",0,Replace,1,1,,,0
B77,受到攻击触发伤害提升,20077,Null,NONE,,"{'ProcBuff', {{'B78', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B78,提升24%,20078,Buff,NONE,,"{'ChaLAPercent', 'attinc', 24, 0,Time='Apply'}",0,Replace,1,1,,,0
B79,受到攻击触发伤害提升,20079,Null,NONE,,"{'ProcBuff', {{'B80', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B80,提升27%,20080,Null,NONE,,"{'ChaLAPercent', 'attinc', 27, 0,Time='Apply'}",0,Replace,1,1,,,0
B81,受到攻击触发伤害提升,20081,Buff,NONE,,"{'ProcBuff', {{'B82', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B82,提升30%,20082,Null,NONE,,"{'ChaLAPercent', 'attinc', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
B83,受到攻击触发伤害提升,20083,Buff,NONE,,"{'ProcBuff', {{'B84', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B84,提升33%,20084,Null,NONE,,"{'ChaLAPercent', 'attinc', 33, 0,Time='Apply'}",0,Replace,1,1,,,0
B85,受到攻击触发伤害减免,20085,Null,NONE,,"{'ProcBuff', {{'B86', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B86,伤害减免15%,20086,Buff,NONE,,"{'AbsorbDamage', 15,Time='Apply'},",0,Replace,1,1,,,0
B87,受到攻击触发伤害减免,20087,Null,NONE,,"{'ProcBuff', {{'B88', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B88,伤害减免18%,20088,Buff,NONE,,"{'AbsorbDamage', 18,Time='Apply'},",0,Replace,1,1,,,0
B89,受到攻击触发伤害减免,20089,Null,NONE,,"{'ProcBuff', {{'B90', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B90,伤害减免21%,20090,Buff,NONE,,"{'AbsorbDamage', 21,Time='Apply'},",0,Replace,1,1,,,0
B91,受到攻击触发伤害减免,20091,Null,NONE,,"{'ProcBuff', {{'B92', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B92,伤害减免24%,20092,Buff,NONE,,"{'AbsorbDamage', 24,Time='Apply'},",0,Replace,1,1,,,0
B93,受到攻击触发伤害减免,20093,Null,NONE,,"{'ProcBuff', {{'B94', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B94,伤害减免27%,20094,Null,NONE,,"{'AbsorbDamage', 27,Time='Apply'},",0,Replace,1,1,,,0
B95,受到攻击触发伤害减免,20095,Buff,NONE,,"{'ProcBuff', {{'B96', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B96,伤害减免30%,20096,Null,NONE,,"{'AbsorbDamage', 30,Time='Apply'},",0,Replace,1,1,,,0
B97,受到攻击触发伤害减免,20097,Buff,NONE,,"{'ProcBuff', {{'B98', 10}, {'Nothing', 90}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B98,伤害减免33%,20098,Null,NONE,,"{'AbsorbDamage', 33,Time='Apply'},",0,Replace,1,1,,,0
B99,攻击触发额外伤害,20099,Null,NONE,,"{'ProcBuff', {{'B100', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B100,伤害增加18%,20100,Buff,NONE,,"{'ChaLAPercent', 'attinc', 18, 0,Time='Apply'}",0,Replace,1,1,,,0
B101,攻击触发额外伤害,20101,Null,NONE,,"{'ProcBuff', {{'B102', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B102,伤害增加22%,20102,Buff,NONE,,"{'ChaLAPercent', 'attinc', 22, 0,Time='Apply'}",0,Replace,1,1,,,0
B103,攻击触发额外伤害,20103,Null,NONE,,"{'ProcBuff', {{'B104', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B104,伤害增加26%,20104,Buff,NONE,,"{'ChaLAPercent', 'attinc', 26, 0,Time='Apply'}",0,Replace,1,1,,,0
B105,攻击触发额外伤害,20105,Null,NONE,,"{'ProcBuff', {{'B106', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B106,伤害增加30%,20106,Buff,NONE,,"{'ChaLAPercent', 'attinc', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
B107,攻击触发额外伤害,20107,Null,NONE,,"{'ProcBuff', {{'B108', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B108,伤害增加34%,20108,Buff,NONE,,"{'ChaLAPercent', 'attinc', 34, 0,Time='Apply'}",0,Replace,1,1,,,0
B109,攻击触发额外伤害,20109,Null,NONE,,"{'ProcBuff', {{'B110', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B110,伤害增加38%,20110,Buff,NONE,,"{'ChaLAPercent', 'attinc', 38, 0,Time='Apply'}",0,Replace,1,1,,,0
B111,攻击触发额外伤害,20111,Null,NONE,,"{'ProcBuff', {{'B112', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
B112,伤害增加42%,20112,Buff,NONE,,"{'ChaLAPercent', 'attinc', 42, 0,Time='Apply'}",0,Replace,1,1,,,0
B113,攻击触发眩晕,20113,Null,NONE,,"{'ProcBuff', {{'B114', 6}, {'Nothing', 94}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B114,眩晕,20114,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B115,攻击触发眩晕,20115,Null,NONE,,"{'ProcBuff', {{'B116', 65}, {'Nothing', 935}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B116,眩晕,20116,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B117,攻击触发眩晕,20117,Null,NONE,,"{'ProcBuff', {{'B118', 7}, {'Nothing', 93}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B118,眩晕,20118,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B119,攻击触发眩晕,20119,Null,NONE,,"{'ProcBuff', {{'B120', 75}, {'Nothing', 925}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B120,眩晕,20120,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B121,攻击触发眩晕,20121,Null,NONE,,"{'ProcBuff', {{'B122', 8}, {'Nothing', 92}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B122,眩晕,20122,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B123,攻击触发眩晕,20123,Null,NONE,,"{'ProcBuff', {{'B124', 85}, {'Nothing', 915}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B124,眩晕,20124,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B125,攻击触发眩晕,20125,Null,NONE,,"{'ProcBuff', {{'B126', 9}, {'Nothing', 91}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B126,眩晕,20126,DeBuff,NONE,,"{'DamageBreak',Time='Apply'},{'Dizziness'}",1,Replace,1,1,,,0
B127,受到攻击触发反击,20127,Null,NONE,,"{'ProcBuff', {{'B128', 50}, {'Nothing', 950}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B128,反击,20128,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B129,受到攻击触发反击,20129,Null,NONE,,"{'ProcBuff', {{'B130', 55}, {'Nothing', 945}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B130,反击,20130,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B131,受到攻击触发反击,20131,Null,NONE,,"{'ProcBuff', {{'B132', 60}, {'Nothing', 940}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B132,反击,20132,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B133,受到攻击触发反击,20133,Null,NONE,,"{'ProcBuff', {{'B134', 65}, {'Nothing', 935}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B134,反击,20134,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B135,受到攻击触发反击,20135,Null,NONE,,"{'ProcBuff', {{'B136', 70}, {'Nothing', 930}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B136,反击,20136,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B137,受到攻击触发反击,20137,Null,NONE,,"{'ProcBuff', {{'B138', 75}, {'Nothing', 925}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B138,反击,20138,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B139,受到攻击触发反击,20139,Null,NONE,,"{'ProcBuff', {{'B140', 80}, {'Nothing', 920}}, Time='BeSingleCast'}",0,Replace,1,1,,,0
B140,反击,20140,Buff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B141,攻击触发额外伤害,20141,Null,NONE,,"{'ProcBuff', {{'B142', 50}, {'Nothing', 950}}, Time='AllCast'}",0,Replace,1,1,,,0
B142,伤害增加,20142,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B143,攻击触发额外伤害,20143,Null,NONE,,"{'ProcBuff', {{'B144', 55}, {'Nothing', 945}}, Time='AllCast'}",0,Replace,1,1,,,0
B144,伤害增加,20144,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B145,攻击触发额外伤害,20145,Null,NONE,,"{'ProcBuff', {{'B146', 60}, {'Nothing', 940}}, Time='AllCast'}",0,Replace,1,1,,,0
B146,伤害增加,20146,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B147,攻击触发额外伤害,20147,Null,NONE,,"{'ProcBuff', {{'B148', 65}, {'Nothing', 935}}, Time='AllCast'}",0,Replace,1,1,,,0
B148,伤害增加,20148,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B149,攻击触发额外伤害,20149,Null,NONE,,"{'ProcBuff', {{'B150', 70}, {'Nothing', 930}}, Time='AllCast'}",0,Replace,1,1,,,0
B150,伤害增加,20150,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
B151,攻击触发额外伤害,20151,Null,NONE,,"{'ProcBuff', {{'B152', 75}, {'Nothing', 925}}, Time='AllCast'}",0,Replace,1,1,,,0
B152,伤害增加,20152,DeBuff,NONE,,"{'ProbCastSkill', 0, 'firstSkill', 1, Time='Apply'}",0,Replace,1,1,,,0
