索引,说明,名称,装备名称,摘要 简单描述,物品图标,堆叠数量,物品等级,使用等级,类型(通用装备的大类2),子类型,装备位置
10069,翅膀 位置3,翅（覆）,9阶覆羽,,10003,1,9,9,2,513,3
10070,翅膀 位置3,翅（覆）,10阶覆羽,,10003,1,10,10,2,513,3
10071,翅膀 位置4,翅（翼）,1阶翼羽,,10004,1,1,1,2,514,4
10072,翅膀 位置4,翅（翼）,2阶翼羽,,10004,1,2,2,2,514,4
10073,翅膀 位置4,翅（翼）,3阶翼羽,,10004,1,3,3,2,514,4
10074,翅膀 位置4,翅（翼）,4阶翼羽,,10004,1,4,4,2,514,4
10075,翅膀 位置4,翅（翼）,5阶翼羽,,10004,1,5,5,2,514,4
10076,翅膀 位置4,翅（翼）,6阶翼羽,,10004,1,6,6,2,514,4
10077,翅膀 位置4,翅（翼）,7阶翼羽,,10004,1,7,7,2,514,4
10078,翅膀 位置4,翅（翼）,8阶翼羽,,10004,1,8,8,2,514,4
10079,翅膀 位置4,翅（翼）,9阶翼羽,,10004,1,9,9,2,514,4
10080,翅膀 位置4,翅（翼）,10阶翼羽,,10004,1,10,10,2,514,4
10081,法阵 位置1,法（灵）,1阶法灵,,10001,1,1,1,2,521,1
10082,法阵 位置1,法（灵）,2阶法灵,,10001,1,2,2,2,521,1
10083,法阵 位置1,法（灵）,3阶法灵,,10001,1,3,3,2,521,1
10084,法阵 位置1,法（灵）,4阶法灵,,10001,1,4,4,2,521,1
10085,法阵 位置1,法（灵）,5阶法灵,,10001,1,5,5,2,521,1
10086,法阵 位置1,法（灵）,6阶法灵,,10001,1,6,6,2,521,1
10087,法阵 位置1,法（灵）,7阶法灵,,10001,1,7,7,2,521,1
10088,法阵 位置1,法（灵）,8阶法灵,,10001,1,8,8,2,521,1
10089,法阵 位置1,法（灵）,9阶法灵,,10001,1,9,9,2,521,1
10090,法阵 位置1,法（灵）,10阶法灵,,10001,1,10,10,2,521,1
10091,法阵 位置2,法（眼）,1阶法眼,,10002,1,1,1,2,522,2
10092,法阵 位置2,法（眼）,2阶法眼,,10002,1,2,2,2,522,2
10093,法阵 位置2,法（眼）,3阶法眼,,10002,1,3,3,2,522,2
10094,法阵 位置2,法（眼）,4阶法眼,,10002,1,4,4,2,522,2
10095,法阵 位置2,法（眼）,5阶法眼,,10002,1,5,5,2,522,2
10096,法阵 位置2,法（眼）,6阶法眼,,10002,1,6,6,2,522,2
10097,法阵 位置2,法（眼）,7阶法眼,,10002,1,7,7,2,522,2
10098,法阵 位置2,法（眼）,8阶法眼,,10002,1,8,8,2,522,2
10099,法阵 位置2,法（眼）,9阶法眼,,10002,1,9,9,2,522,2
10100,法阵 位置2,法（眼）,10阶法眼,,10002,1,10,10,2,522,2
10101,法阵 位置3,法（魂）,1阶阵魂,,10003,1,1,1,2,523,3
10102,法阵 位置3,法（魂）,2阶阵魂,,10003,1,2,2,2,523,3
10103,法阵 位置3,法（魂）,3阶阵魂,,10003,1,3,3,2,523,3
10104,法阵 位置3,法（魂）,4阶阵魂,,10003,1,4,4,2,523,3
10105,法阵 位置3,法（魂）,5阶阵魂,,10003,1,5,5,2,523,3
10106,法阵 位置3,法（魂）,6阶阵魂,,10003,1,6,6,2,523,3
10107,法阵 位置3,法（魂）,7阶阵魂,,10003,1,7,7,2,523,3
10108,法阵 位置3,法（魂）,8阶阵魂,,10003,1,8,8,2,523,3
10109,法阵 位置3,法（魂）,9阶阵魂,,10003,1,9,9,2,523,3
10110,法阵 位置3,法（魂）,10阶阵魂,,10003,1,10,10,2,523,3
10111,法阵 位置4,法（魄）,1阶阵魄,,10004,1,1,1,2,524,4
10112,法阵 位置4,法（魄）,2阶阵魄,,10004,1,2,2,2,524,4
10113,法阵 位置4,法（魄）,3阶阵魄,,10004,1,3,3,2,524,4
10114,法阵 位置4,法（魄）,4阶阵魄,,10004,1,4,4,2,524,4
10115,法阵 位置4,法（魄）,5阶阵魄,,10004,1,5,5,2,524,4
10116,法阵 位置4,法（魄）,6阶阵魄,,10004,1,6,6,2,524,4
10117,法阵 位置4,法（魄）,7阶阵魄,,10004,1,7,7,2,524,4
10118,法阵 位置4,法（魄）,8阶阵魄,,10004,1,8,8,2,524,4
10119,法阵 位置4,法（魄）,9阶阵魄,,10004,1,9,9,2,524,4
10120,法阵 位置4,法（魄）,10阶阵魄,,10004,1,10,10,2,524,4
10121,神位 位置1,仙（泽）,1阶川泽,,10001,1,1,1,2,531,1
10122,神位 位置1,仙（泽）,2阶川泽,,10001,1,2,2,2,531,1
10123,神位 位置1,仙（泽）,3阶川泽,,10001,1,3,3,2,531,1
10124,神位 位置1,仙（泽）,4阶川泽,,10001,1,4,4,2,531,1
10125,神位 位置1,仙（泽）,5阶川泽,,10001,1,5,5,2,531,1
10126,神位 位置1,仙（泽）,6阶川泽,,10001,1,6,6,2,531,1
10127,神位 位置1,仙（泽）,7阶川泽,,10001,1,7,7,2,531,1
10128,神位 位置1,仙（泽）,8阶川泽,,10001,1,8,8,2,531,1
10129,神位 位置1,仙（泽）,9阶川泽,,10001,1,9,9,2,531,1
10130,神位 位置1,仙（泽）,10阶川泽,,10001,1,10,10,2,531,1
10131,神位 位置2,仙（物）,1阶百物,,10002,1,1,1,2,532,2
10132,神位 位置2,仙（物）,2阶百物,,10002,1,2,2,2,532,2
10133,神位 位置2,仙（物）,3阶百物,,10002,1,3,3,2,532,2
10134,神位 位置2,仙（物）,4阶百物,,10002,1,4,4,2,532,2
10135,神位 位置2,仙（物）,5阶百物,,10002,1,5,5,2,532,2
10136,神位 位置2,仙（物）,6阶百物,,10002,1,6,6,2,532,2
10137,神位 位置2,仙（物）,7阶百物,,10002,1,7,7,2,532,2
10138,神位 位置2,仙（物）,8阶百物,,10002,1,8,8,2,532,2
10139,神位 位置2,仙（物）,9阶百物,,10002,1,9,9,2,532,2
10140,神位 位置2,仙（物）,10阶百物,,10002,1,10,10,2,532,2
10141,神位 位置3,仙（神）,1阶天神,,10003,1,1,1,2,533,3
10142,神位 位置3,仙（神）,2阶天神,,10003,1,2,2,2,533,3
10143,神位 位置3,仙（神）,3阶天神,,10003,1,3,3,2,533,3
10144,神位 位置3,仙（神）,4阶天神,,10003,1,4,4,2,533,3
10145,神位 位置3,仙（神）,5阶天神,,10003,1,5,5,2,533,3
10146,神位 位置3,仙（神）,6阶天神,,10003,1,6,6,2,533,3
10147,神位 位置3,仙（神）,7阶天神,,10003,1,7,7,2,533,3
10148,神位 位置3,仙（神）,8阶天神,,10003,1,8,8,2,533,3
10149,神位 位置3,仙（神）,9阶天神,,10003,1,9,9,2,533,3
10150,神位 位置3,仙（神）,10阶天神,,10003,1,10,10,2,533,3
10151,神位 位置4,仙（只）,1阶地只,,10004,1,1,1,2,534,4
10152,神位 位置4,仙（只）,2阶地只,,10004,1,2,2,2,534,4
10153,神位 位置4,仙（只）,3阶地只,,10004,1,3,3,2,534,4
10154,神位 位置4,仙（只）,4阶地只,,10004,1,4,4,2,534,4
10155,神位 位置4,仙（只）,5阶地只,,10004,1,5,5,2,534,4
10156,神位 位置4,仙（只）,6阶地只,,10004,1,6,6,2,534,4
10157,神位 位置4,仙（只）,7阶地只,,10004,1,7,7,2,534,4
10158,神位 位置4,仙（只）,8阶地只,,10004,1,8,8,2,534,4
10159,神位 位置4,仙（只）,9阶地只,,10004,1,9,9,2,534,4
10160,神位 位置4,仙（只）,10阶地只,,10004,1,10,10,2,534,4
10161,通灵 位置1,通（察）,1阶洞察,,10001,1,1,1,2,541,1
10162,通灵 位置1,通（察）,2阶洞察,,10001,1,2,2,2,541,1
10163,通灵 位置1,通（察）,3阶洞察,,10001,1,3,3,2,541,1
10164,通灵 位置1,通（察）,4阶洞察,,10001,1,4,4,2,541,1
10165,通灵 位置1,通（察）,5阶洞察,,10001,1,5,5,2,541,1
10166,通灵 位置1,通（察）,6阶洞察,,10001,1,6,6,2,541,1
10167,通灵 位置1,通（察）,7阶洞察,,10001,1,7,7,2,541,1
10168,通灵 位置1,通（察）,8阶洞察,,10001,1,8,8,2,541,1
10169,通灵 位置1,通（察）,9阶洞察,,10001,1,9,9,2,541,1
10170,通灵 位置1,通（察）,10阶洞察,,10001,1,10,10,2,541,1
10171,通灵 位置2,通（识）,1阶灵识,,10002,1,1,1,2,542,2
10172,通灵 位置2,通（识）,2阶灵识,,10002,1,2,2,2,542,2
10173,通灵 位置2,通（识）,3阶灵识,,10002,1,3,3,2,542,2
10174,通灵 位置2,通（识）,4阶灵识,,10002,1,4,4,2,542,2
10175,通灵 位置2,通（识）,5阶灵识,,10002,1,5,5,2,542,2
10176,通灵 位置2,通（识）,6阶灵识,,10002,1,6,6,2,542,2
10177,通灵 位置2,通（识）,7阶灵识,,10002,1,7,7,2,542,2
10178,通灵 位置2,通（识）,8阶灵识,,10002,1,8,8,2,542,2
10179,通灵 位置2,通（识）,9阶灵识,,10002,1,9,9,2,542,2
10180,通灵 位置2,通（识）,10阶灵识,,10002,1,10,10,2,542,2
10181,通灵 位置3,通（知）,1阶感知,,10003,1,1,1,2,543,3
10182,通灵 位置3,通（知）,2阶感知,,10003,1,2,2,2,543,3
10183,通灵 位置3,通（知）,3阶感知,,10003,1,3,3,2,543,3
10184,通灵 位置3,通（知）,4阶感知,,10003,1,4,4,2,543,3
10185,通灵 位置3,通（知）,5阶感知,,10003,1,5,5,2,543,3
10186,通灵 位置3,通（知）,6阶感知,,10003,1,6,6,2,543,3
10187,通灵 位置3,通（知）,7阶感知,,10003,1,7,7,2,543,3
10188,通灵 位置3,通（知）,8阶感知,,10003,1,8,8,2,543,3
10189,通灵 位置3,通（知）,9阶感知,,10003,1,9,9,2,543,3
10190,通灵 位置3,通（知）,10阶感知,,10003,1,10,10,2,543,3
10191,通灵 位置4,通（锐）,1阶敏锐,,10004,1,1,1,2,544,4
10192,通灵 位置4,通（锐）,2阶敏锐,,10004,1,2,2,2,544,4
10193,通灵 位置4,通（锐）,3阶敏锐,,10004,1,3,3,2,544,4
10194,通灵 位置4,通（锐）,4阶敏锐,,10004,1,4,4,2,544,4
10195,通灵 位置4,通（锐）,5阶敏锐,,10004,1,5,5,2,544,4
10196,通灵 位置4,通（锐）,6阶敏锐,,10004,1,6,6,2,544,4
10197,通灵 位置4,通（锐）,7阶敏锐,,10004,1,7,7,2,544,4
10198,通灵 位置4,通（锐）,8阶敏锐,,10004,1,8,8,2,544,4
10199,通灵 位置4,通（锐）,9阶敏锐,,10004,1,9,9,2,544,4
10200,通灵 位置4,通（锐）,10阶敏锐,,10004,1,10,10,2,544,4
10201,元神 位置1,魂（血）,1阶血魂,,10001,1,1,1,2,551,1
10202,元神 位置1,魂（血）,2阶血魂,,10001,1,2,2,2,551,1
10203,元神 位置1,魂（血）,3阶血魂,,10001,1,3,3,2,551,1
10204,元神 位置1,魂（血）,4阶血魂,,10001,1,4,4,2,551,1
10205,元神 位置1,魂（血）,5阶血魂,,10001,1,5,5,2,551,1
10206,元神 位置1,魂（血）,6阶血魂,,10001,1,6,6,2,551,1
10207,元神 位置1,魂（血）,7阶血魂,,10001,1,7,7,2,551,1
10208,元神 位置1,魂（血）,8阶血魂,,10001,1,8,8,2,551,1
10209,元神 位置1,魂（血）,9阶血魂,,10001,1,9,9,2,551,1
10210,元神 位置1,魂（血）,10阶血魂,,10001,1,10,10,2,551,1
10211,元神 位置2,魂（地）,1阶地魂,,10002,1,1,1,2,552,2
10212,元神 位置2,魂（地）,2阶地魂,,10002,1,2,2,2,552,2
10213,元神 位置2,魂（地）,3阶地魂,,10002,1,3,3,2,552,2
10214,元神 位置2,魂（地）,4阶地魂,,10002,1,4,4,2,552,2
10215,元神 位置2,魂（地）,5阶地魂,,10002,1,5,5,2,552,2
10216,元神 位置2,魂（地）,6阶地魂,,10002,1,6,6,2,552,2
10217,元神 位置2,魂（地）,7阶地魂,,10002,1,7,7,2,552,2
10218,元神 位置2,魂（地）,8阶地魂,,10002,1,8,8,2,552,2
10219,元神 位置2,魂（地）,9阶地魂,,10002,1,9,9,2,552,2
10220,元神 位置2,魂（地）,10阶地魂,,10002,1,10,10,2,552,2
10221,元神 位置3,魂（战）,1阶战魂,,10003,1,1,1,2,553,3
10222,元神 位置3,魂（战）,2阶战魂,,10003,1,2,2,2,553,3
10223,元神 位置3,魂（战）,3阶战魂,,10003,1,3,3,2,553,3
10224,元神 位置3,魂（战）,4阶战魂,,10003,1,4,4,2,553,3
10225,元神 位置3,魂（战）,5阶战魂,,10003,1,5,5,2,553,3
10226,元神 位置3,魂（战）,6阶战魂,,10003,1,6,6,2,553,3
10227,元神 位置3,魂（战）,7阶战魂,,10003,1,7,7,2,553,3
10228,元神 位置3,魂（战）,8阶战魂,,10003,1,8,8,2,553,3
10229,元神 位置3,魂（战）,9阶战魂,,10003,1,9,9,2,553,3
10230,元神 位置3,魂（战）,10阶战魂,,10003,1,10,10,2,553,3
10231,元神 位置4,魂（刹）,1阶刹魂,,10004,1,1,1,2,554,4
10232,元神 位置4,魂（刹）,2阶刹魂,,10004,1,2,2,2,554,4
10233,元神 位置4,魂（刹）,3阶刹魂,,10004,1,3,3,2,554,4
10234,元神 位置4,魂（刹）,4阶刹魂,,10004,1,4,4,2,554,4
10235,元神 位置4,魂（刹）,5阶刹魂,,10004,1,5,5,2,554,4
10236,元神 位置4,魂（刹）,6阶刹魂,,10004,1,6,6,2,554,4
10237,元神 位置4,魂（刹）,7阶刹魂,,10004,1,7,7,2,554,4
10238,元神 位置4,魂（刹）,8阶刹魂,,10004,1,8,8,2,554,4
10239,元神 位置4,魂（刹）,9阶刹魂,,10004,1,9,9,2,554,4
10240,元神 位置4,魂（刹）,10阶刹魂,,10004,1,10,10,2,554,4
10241,天仙 位置1,天（冠）,1阶凤冠,,10001,1,1,1,2,561,1
10242,天仙 位置1,天（冠）,2阶凤冠,,10001,1,2,2,2,561,1
10243,天仙 位置1,天（冠）,3阶凤冠,,10001,1,3,3,2,561,1
10244,天仙 位置1,天（冠）,4阶凤冠,,10001,1,4,4,2,561,1
10245,天仙 位置1,天（冠）,5阶凤冠,,10001,1,5,5,2,561,1
10246,天仙 位置1,天（冠）,6阶凤冠,,10001,1,6,6,2,561,1
10247,天仙 位置1,天（冠）,7阶凤冠,,10001,1,7,7,2,561,1
10248,天仙 位置1,天（冠）,8阶凤冠,,10001,1,8,8,2,561,1
10249,天仙 位置1,天（冠）,9阶凤冠,,10001,1,9,9,2,561,1
10250,天仙 位置1,天（冠）,10阶凤冠,,10001,1,10,10,2,561,1
10251,天仙 位置2,天（环）,1阶耳环,,10002,1,1,1,2,562,2
10252,天仙 位置2,天（环）,2阶耳环,,10002,1,2,2,2,562,2
10253,天仙 位置2,天（环）,3阶耳环,,10002,1,3,3,2,562,2
10254,天仙 位置2,天（环）,4阶耳环,,10002,1,4,4,2,562,2
10255,天仙 位置2,天（环）,5阶耳环,,10002,1,5,5,2,562,2
10256,天仙 位置2,天（环）,6阶耳环,,10002,1,6,6,2,562,2
10257,天仙 位置2,天（环）,7阶耳环,,10002,1,7,7,2,562,2
10258,天仙 位置2,天（环）,8阶耳环,,10002,1,8,8,2,562,2
10259,天仙 位置2,天（环）,9阶耳环,,10002,1,9,9,2,562,2
10260,天仙 位置2,天（环）,10阶耳环,,10002,1,10,10,2,562,2
10261,天仙 位置3,天（胸）,1阶护胸,,10003,1,1,1,2,563,3
10262,天仙 位置3,天（胸）,2阶护胸,,10003,1,2,2,2,563,3
10263,天仙 位置3,天（胸）,3阶护胸,,10003,1,3,3,2,563,3
10264,天仙 位置3,天（胸）,4阶护胸,,10003,1,4,4,2,563,3
10265,天仙 位置3,天（胸）,5阶护胸,,10003,1,5,5,2,563,3
10266,天仙 位置3,天（胸）,6阶护胸,,10003,1,6,6,2,563,3
10267,天仙 位置3,天（胸）,7阶护胸,,10003,1,7,7,2,563,3
10268,天仙 位置3,天（胸）,8阶护胸,,10003,1,8,8,2,563,3
10269,天仙 位置3,天（胸）,9阶护胸,,10003,1,9,9,2,563,3
10270,天仙 位置3,天（胸）,10阶护胸,,10003,1,10,10,2,563,3
10271,天仙 位置4,天（纱）,1阶披纱,,10004,1,1,1,2,564,4
10272,天仙 位置4,天（纱）,2阶披纱,,10004,1,2,2,2,564,4
10273,天仙 位置4,天（纱）,3阶披纱,,10004,1,3,3,2,564,4
10274,天仙 位置4,天（纱）,4阶披纱,,10004,1,4,4,2,564,4
10275,天仙 位置4,天（纱）,5阶披纱,,10004,1,5,5,2,564,4
10276,天仙 位置4,天（纱）,6阶披纱,,10004,1,6,6,2,564,4
10277,天仙 位置4,天（纱）,7阶披纱,,10004,1,7,7,2,564,4
10278,天仙 位置4,天（纱）,8阶披纱,,10004,1,8,8,2,564,4
10279,天仙 位置4,天（纱）,9阶披纱,,10004,1,9,9,2,564,4
10280,天仙 位置4,天（纱）,10阶披纱,,10004,1,10,10,2,564,4
10281,神兵 位置1,神（鞘）,1阶护鞘,,10001,1,1,1,2,571,1
10282,神兵 位置1,神（鞘）,2阶护鞘,,10001,1,2,2,2,571,1
10283,神兵 位置1,神（鞘）,3阶护鞘,,10001,1,3,3,2,571,1
10284,神兵 位置1,神（鞘）,4阶护鞘,,10001,1,4,4,2,571,1
10285,神兵 位置1,神（鞘）,5阶护鞘,,10001,1,5,5,2,571,1
10286,神兵 位置1,神（鞘）,6阶护鞘,,10001,1,6,6,2,571,1
10287,神兵 位置1,神（鞘）,7阶护鞘,,10001,1,7,7,2,571,1
10288,神兵 位置1,神（鞘）,8阶护鞘,,10001,1,8,8,2,571,1
10289,神兵 位置1,神（鞘）,9阶护鞘,,10001,1,9,9,2,571,1
10290,神兵 位置1,神（鞘）,10阶护鞘,,10001,1,10,10,2,571,1
10291,神兵 位置2,神（柄）,1阶护柄,,10002,1,1,1,2,572,2
10292,神兵 位置2,神（柄）,2阶护柄,,10002,1,2,2,2,572,2
10293,神兵 位置2,神（柄）,3阶护柄,,10002,1,3,3,2,572,2
10294,神兵 位置2,神（柄）,4阶护柄,,10002,1,4,4,2,572,2
10295,神兵 位置2,神（柄）,5阶护柄,,10002,1,5,5,2,572,2
10296,神兵 位置2,神（柄）,6阶护柄,,10002,1,6,6,2,572,2
10297,神兵 位置2,神（柄）,7阶护柄,,10002,1,7,7,2,572,2
10298,神兵 位置2,神（柄）,8阶护柄,,10002,1,8,8,2,572,2
10299,神兵 位置2,神（柄）,9阶护柄,,10002,1,9,9,2,572,2
10300,神兵 位置2,神（柄）,10阶护柄,,10002,1,10,10,2,572,2
10301,神兵 位置3,神（刃）,1阶护刃,,10003,1,1,1,2,573,3
10302,神兵 位置3,神（刃）,2阶护刃,,10003,1,2,2,2,573,3
10303,神兵 位置3,神（刃）,3阶护刃,,10003,1,3,3,2,573,3
10304,神兵 位置3,神（刃）,4阶护刃,,10003,1,4,4,2,573,3
10305,神兵 位置3,神（刃）,5阶护刃,,10003,1,5,5,2,573,3
10306,神兵 位置3,神（刃）,6阶护刃,,10003,1,6,6,2,573,3
10307,神兵 位置3,神（刃）,7阶护刃,,10003,1,7,7,2,573,3
10308,神兵 位置3,神（刃）,8阶护刃,,10003,1,8,8,2,573,3
10309,神兵 位置3,神（刃）,9阶护刃,,10003,1,9,9,2,573,3
10310,神兵 位置3,神（刃）,10阶护刃,,10003,1,10,10,2,573,3
10311,神兵 位置4,神（玉）,1阶玉璇,,10004,1,1,1,2,574,4
10312,神兵 位置4,神（玉）,2阶玉璇,,10004,1,2,2,2,574,4
10313,神兵 位置4,神（玉）,3阶玉璇,,10004,1,3,3,2,574,4
10314,神兵 位置4,神（玉）,4阶玉璇,,10004,1,4,4,2,574,4
10315,神兵 位置4,神（玉）,5阶玉璇,,10004,1,5,5,2,574,4
10316,神兵 位置4,神（玉）,6阶玉璇,,10004,1,6,6,2,574,4
10317,神兵 位置4,神（玉）,7阶玉璇,,10004,1,7,7,2,574,4
10318,神兵 位置4,神（玉）,8阶玉璇,,10004,1,8,8,2,574,4
10319,神兵 位置4,神（玉）,9阶玉璇,,10004,1,9,9,2,574,4
10320,神兵 位置4,神（玉）,10阶玉璇,,10004,1,10,10,2,574,4
10321,女儿国王 位置1,女（盔）,1阶战盔,,10001,1,1,1,2,581,1
10322,女儿国王 位置1,女（盔）,2阶战盔,,10001,1,2,2,2,581,1
10323,女儿国王 位置1,女（盔）,3阶战盔,,10001,1,3,3,2,581,1
10324,女儿国王 位置1,女（盔）,4阶战盔,,10001,1,4,4,2,581,1
10325,女儿国王 位置1,女（盔）,5阶战盔,,10001,1,5,5,2,581,1
10326,女儿国王 位置1,女（盔）,6阶战盔,,10001,1,6,6,2,581,1
10327,女儿国王 位置1,女（盔）,7阶战盔,,10001,1,7,7,2,581,1
10328,女儿国王 位置1,女（盔）,8阶战盔,,10001,1,8,8,2,581,1
10329,女儿国王 位置1,女（盔）,9阶战盔,,10001,1,9,9,2,581,1
10330,女儿国王 位置1,女（盔）,10阶战盔,,10001,1,10,10,2,581,1
10331,女儿国王 位置2,女（甲）,1阶战甲,,10002,1,1,1,2,582,2
10332,女儿国王 位置2,女（甲）,2阶战甲,,10002,1,2,2,2,582,2
10333,女儿国王 位置2,女（甲）,3阶战甲,,10002,1,3,3,2,582,2
10334,女儿国王 位置2,女（甲）,4阶战甲,,10002,1,4,4,2,582,2
10335,女儿国王 位置2,女（甲）,5阶战甲,,10002,1,5,5,2,582,2
10336,女儿国王 位置2,女（甲）,6阶战甲,,10002,1,6,6,2,582,2
10337,女儿国王 位置2,女（甲）,7阶战甲,,10002,1,7,7,2,582,2
10338,女儿国王 位置2,女（甲）,8阶战甲,,10002,1,8,8,2,582,2
10339,女儿国王 位置2,女（甲）,9阶战甲,,10002,1,9,9,2,582,2
