索引,名称,详细描述,摘要 简单描述,物品图示,物品小图标,堆栈数量,物品等级,使用等级,物品品质框,类型,子类型,商店,能否出售0否1真,能否丢弃0否1真,使用时机（0内外皆可1战斗内2战斗外3擂台）,使用对象（仅表示在战斗中的使用对象；1表示可以对自己使用；2表示对自己和己方单位使用；3表示对敌方使用；0表示不能在战斗中使用）,"货币单位(0现银、储备金,1现银,2储备金,100灵石)",购买价格（现银）,出售价格（现银）,分解获得资源点,摆摊价格上限,背包可以使用就填1,使用,使用描述,效用,初始化,是否批量使用,素材质量(1到5，灰色到金色),是否废弃(1是废弃不能生成),提示使用数量,提示使用间隔（秒）,红点使用行为,掉落模型ID,掉落光效（1是有光效）,flag
20014,仙君进阶丹,用于仙君进阶使用,,20014,XIANLV_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20015,法宝升阶石,用于法宝槽位升级,,20015,,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20016,房屋进阶石,用于房屋进阶使用,,20016,,99999,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
20017,(废弃)图腾升级石,图腾的升级的材料，图腾升级可获得大量的战力,,20017,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
20018,坐骑直升丹,坐骑6阶以下使用可直接提升一阶，≥6阶使用获得200坐骑经验，建议5阶使用！#br当天23:59:59后失效,,20018,,1,,10,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{4,0,5,1,200}",,,,,,,,,,
20019,天仙直升丹,天仙6阶以下使用可直接提升一阶，≥6阶使用获得200天仙经验，建议5阶使用！#br当天23:59:59后失效,,20019,,1,,50,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{14,0,5,1,200}",,,,,,,,,,
20020,神兵直升丹,神兵6阶以下使用可直接提升一阶，≥6阶使用获得200神兵经验，建议5阶使用！#br当天23:59:59后失效,,20020,,1,,65,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{15,0,5,1,200}",,,,,,,,,,
20021,翅膀直升丹,翅膀6阶以下使用可直接提升一阶，≥6阶使用获得200翅膀经验，建议5阶使用！#br当天23:59:59后失效,,20021,,1,,70,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{5,0,5,1,200}",,,,,,,,,,
20022,法阵直升丹,法阵6阶以下使用可直接提升一阶，≥6阶使用获得200法阵经验，建议5阶使用！#br当天23:59:59后失效,,20022,,1,,74,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{12,0,5,1,200}",,,,,,,,,,
20023,神位直升丹,神位6阶以下使用可直接提升一阶，≥6阶使用获得200神位经验，建议5阶使用！#br当天23:59:59后失效,,20023,,1,,78,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{13,0,5,1,200}",,,,,,,,,,
20024,通灵直升丹,通灵6阶以下使用可直接提升一阶，≥6阶使用获得200通灵经验，建议5阶使用！#br当天23:59:59后失效,,20024,,1,,82,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{8,0,5,1,200}",,,,,,,,,,
20025,元神直升丹,元神6阶以下使用可直接提升一阶，≥6阶使用获得200元神经验，建议5阶使用！#br当天23:59:59后失效,,20025,,1,,86,5,1,1,,,,,,,,,,,1,stageLevelUp,,"{9,0,5,1,200}",,,,,,,,,,
20026,坐骑6阶经验丹,6阶坐骑可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20026,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"4,6,0.2",,,,,,,,,,
20027,坐骑7阶经验丹,7阶坐骑可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20027,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"4,7,0.2",,,,,,,,,,
20028,坐骑8阶经验丹,8阶坐骑可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20028,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"4,8,0.2",,,,,,,,,,
20029,坐骑9阶经验丹,9阶坐骑可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20029,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"4,9,0.2",,,,,,,,,,
20030,坐骑10阶经验丹,10阶坐骑可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20030,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"4,10,0.2",,,,,,,,,,
20031,天仙6阶经验丹,6阶天仙可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20031,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"14,6,0.2",,,,,,,,,,
20032,天仙7阶经验丹,7阶天仙可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20032,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"14,7,0.2",,,,,,,,,,
20033,天仙8阶经验丹,8阶天仙可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20033,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"14,8,0.2",,,,,,,,,,
20034,天仙9阶经验丹,9阶天仙可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20034,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"14,9,0.2",,,,,,,,,,
20035,天仙10阶经验丹,10阶天仙可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20035,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"14,10,0.2",,,,,,,,,,
20036,神兵6阶经验丹,6阶神兵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20036,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"15,6,0.2",,,,,,,,,,
20037,神兵7阶经验丹,7阶神兵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20037,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"15,7,0.2",,,,,,,,,,
20038,神兵8阶经验丹,8阶神兵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20038,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"15,8,0.2",,,,,,,,,,
20039,神兵9阶经验丹,9阶神兵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20039,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"15,9,0.2",,,,,,,,,,
20040,神兵10阶经验丹,10阶神兵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20040,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"15,10,0.2",,,,,,,,,,
20041,翅膀6阶经验丹,6阶翅膀可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20041,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"5,6,0.2",,,,,,,,,,
20042,翅膀7阶经验丹,7阶翅膀可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20042,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"5,7,0.2",,,,,,,,,,
20043,翅膀8阶经验丹,8阶翅膀可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20043,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"5,8,0.2",,,,,,,,,,
20044,翅膀9阶经验丹,9阶翅膀可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20044,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"5,9,0.2",,,,,,,,,,
20045,翅膀10阶经验丹,10阶翅膀可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20045,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"5,10,0.2",,,,,,,,,,
20046,法阵6阶经验丹,6阶法阵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20046,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"12,6,0.2",,,,,,,,,,
20047,法阵7阶经验丹,7阶法阵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20047,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"12,7,0.2",,,,,,,,,,
20048,法阵8阶经验丹,8阶法阵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20048,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"12,8,0.2",,,,,,,,,,
20049,法阵9阶经验丹,9阶法阵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20049,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"12,9,0.2",,,,,,,,,,
20050,法阵10阶经验丹,10阶法阵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20050,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"12,10,0.2",,,,,,,,,,
20051,神位6阶经验丹,6阶神位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20051,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"13,6,0.2",,,,,,,,,,
20052,神位7阶经验丹,7阶神位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20052,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"13,7,0.2",,,,,,,,,,
20053,神位8阶经验丹,8阶神位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20053,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"13,8,0.2",,,,,,,,,,
20054,神位9阶经验丹,9阶神位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20054,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"13,9,0.2",,,,,,,,,,
20055,神位10阶经验丹,10阶神位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20055,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"13,10,0.2",,,,,,,,,,
20056,通灵6阶经验丹,6阶通灵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20056,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"8,6,0.2",,,,,,,,,,
20057,通灵7阶经验丹,7阶通灵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20057,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"8,7,0.2",,,,,,,,,,
20058,通灵8阶经验丹,8阶通灵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20058,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"8,8,0.2",,,,,,,,,,
20059,通灵9阶经验丹,9阶通灵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20059,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"8,9,0.2",,,,,,,,,,
20060,通灵10阶经验丹,10阶通灵可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20060,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"8,10,0.2",,,,,,,,,,
20061,元神6阶经验丹,6阶元神可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20061,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"9,6,0.2",,,,,,,,,,
20062,元神7阶经验丹,7阶元神可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20062,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"9,7,0.2",,,,,,,,,,
20063,元神8阶经验丹,8阶元神可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20063,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"9,8,0.2",,,,,,,,,,
20064,元神9阶经验丹,9阶元神可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20064,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"9,9,0.2",,,,,,,,,,
20065,元神10阶经验丹,10阶元神可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20065,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"9,10,0.2",,,,,,,,,,
20066,女王6阶经验丹,6阶女王可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20066,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"18,6,0.2",,,,,,,,,,
20067,女王7阶经验丹,7阶女王可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20067,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"18,7,0.2",,,,,,,,,,
20068,女王8阶经验丹,8阶女王可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20068,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"18,8,0.2",,,,,,,,,,
20069,女王9阶经验丹,9阶女王可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20069,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"18,9,0.2",,,,,,,,,,
20070,女王10阶经验丹,10阶女王可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20070,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"18,10,0.2",,,,,,,,,,
20071,仙位6阶经验丹,6阶仙位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20071,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"19,6,0.2",,,,,,,,,,
20072,仙位7阶经验丹,7阶仙位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20072,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"19,7,0.2",,,,,,,,,,
20073,仙位8阶经验丹,8阶仙位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20073,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"19,8,0.2",,,,,,,,,,
20074,仙位9阶经验丹,9阶仙位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20074,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"19,9,0.2",,,,,,,,,,
20075,仙位10阶经验丹,10阶仙位可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20075,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"19,10,0.2",,,,,,,,,,
20076,花辇6阶经验丹,6阶花辇可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20076,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"20,6,0.2",,,,,,,,,,
20077,花辇7阶经验丹,7阶花辇可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20077,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"20,7,0.2",,,,,,,,,,
20078,花辇8阶经验丹,8阶花辇可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20078,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"20,8,0.2",,,,,,,,,,
20079,花辇9阶经验丹,9阶花辇可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20079,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"20,9,0.2",,,,,,,,,,
20080,花辇10阶经验丹,10阶花辇可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20080,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"20,10,0.2",,,,,,,,,,
20081,灵气6阶经验丹,6阶灵气可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20081,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"21,6,0.2",,,,,,,,,,
20082,灵气7阶经验丹,7阶灵气可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20082,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"21,7,0.2",,,,,,,,,,
20083,灵气8阶经验丹,8阶灵气可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20083,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"21,8,0.2",,,,,,,,,,
20084,灵气9阶经验丹,9阶灵气可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20084,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"21,9,0.2",,,,,,,,,,
20085,灵气10阶经验丹,10阶灵气可使用，使用后增加当前等阶20%的升阶经验。活动获得,,20085,,1,,,5,1,1,,,,,,,,,,,1,stageExp,,"21,10,0.2",,,,,,,,,,
30001,坐骑技能书,用于提升坐骑技能等级。活动获得和擂台商店,,30001,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30002,翅膀技能书,用于提升翅膀技能等级。活动获得和擂台商店,,30002,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30003,法阵技能书,用于提升法阵技能等级。活动获得和擂台商店,,30003,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30004,神位技能书,用于提升神位技能等级。活动获得和擂台商店,,30004,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30005,通灵技能书,用于提升通灵技能等级。活动获得和擂台商店,,30005,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30006,元神技能书,用于提升元神技能等级。活动获得和擂台商店,,30006,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30007,天仙技能书,用于提升坐骑技能等级。活动获得和擂台商店,,30007,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30008,神兵技能书,用于提升坐骑技能等级。活动获得和擂台商店,,30008,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30009,女王技能书,用于提升女王技能等级。活动获得,,30009,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30010,仙位技能书,用于提升仙位技能等级。活动获得,,30010,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30011,花辇技能书,用于提升花辇技能等级。活动获得,,30011,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
30012,灵气技能书,用于提升灵气技能等级。活动获得,,30012,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40001,天将卡,"用于激活宠物天将#br战力飙升3500,技能效果更厉害。",,40001,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40002,月兔卡,"用于激活宠物月兔#br战力飙升4000,技能效果更厉害。",,40002,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40003,鲛人卡,"用于激活宠物鲛人#br战力飙升5000,技能效果更厉害。",,40003,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40004,狐妖卡,"用于激活宠物狐妖#br战力飙升10000,技能效果更厉害。",,40004,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40005,巡海夜叉卡,"用于激活宠物巡海夜叉#br战力飙升10500,技能效果更厉害。",,40005,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40006,持国天王卡,"用于激活宠物持国天王#br战力飙升13000,技能效果更厉害。",,40006,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40007,河神卡,"用于激活宠物河神#br战力飙升10000,技能效果更厉害。",,40007,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40008,棕熊卡,"用于激活宠物棕熊#br战力飙升10000,技能效果更厉害。",,40008,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40009,黑熊精卡,"用于激活宠物黑熊精#br战力飙升10000,技能效果更厉害。",,40009,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40010,人鱼公主卡,"用于激活宠物人鱼公主#br战力飙升15000,技能效果更厉害。",,40010,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40011,猛虎卡,"用于激活宠物猛虎#br战力飙升15000,技能效果更厉害。",,40011,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40012,广目天王卡,"用于激活宠物广目天王#br战力飙升15000,技能效果更厉害。",,40012,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40013,重明鸟卡,"用于激活宠物重明鸟#br战力飙升17000,技能效果更厉害。",,40013,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40014,巨灵神卡,"用于激活宠物巨灵神#br战力飙升20000,技能效果更厉害。",,40014,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40015,趴趴熊卡,"用于激活宠物趴趴熊#br战力飙升20000,技能效果更厉害。",,40015,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40016,变异九尾狐卡,"用于激活宠物变异九尾狐#br战力飙升27975,技能效果更厉害。",,40058,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40017,龙龟卡,"用于激活宠物龙龟#br战力飙升22950,技能效果更厉害。",,40017,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40018,武士卡,"用于激活宠物武士#br战力飙升23700,技能效果更厉害。",,40018,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40019,年兽卡,"用于激活宠物年兽#br战力飙升25050,技能效果更厉害。",,40019,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40020,黑风小妖卡,"用于激活宠物黑风小妖#br战力飙升25950,技能效果更厉害。",,40020,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40021,熊猫卡,"用于激活宠物熊猫#br战力飙升26350,技能效果更厉害。",,40021,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40022,黑水麒麟卡,"用于激活宠物黑水麒麟#br战力飙升26800,技能效果更厉害。",,40022,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40023,火德真君卡,"用于激活宠物火德真君#br战力飙升28050,技能效果更厉害。",,40023,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40024,六耳猕猴卡,"用于激活宠物六耳猕猴#br战力飙升29400,技能效果更厉害。",,40024,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40025,地狱三头犬卡,"用于激活宠物地狱三头犬#br战力飙升30700,技能效果更厉害。",,40025,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40026,夜游神卡,"用于激活宠物夜游神#br战力飙升35200,技能效果更厉害。",,40026,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40027,莲花仙子卡,"用于激活宠物莲花仙子#br战力飙升35800,技能效果更厉害。",,40027,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40028,强盗卡,"用于激活宠物强盗#br战力飙升32000,技能效果更厉害。",,40028,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40029,白象王卡,"用于激活宠物白象王#br战力飙升33400,技能效果更厉害。",,40029,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40030,冰龙卡,"用于激活宠物冰龙#br战力飙升34700,技能效果更厉害。",,40030,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40031,剑侠兔卡,"用于激活宠物剑侠兔#br战力飙升35900,技能效果更厉害。",,40031,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40032,封蛇卡,"用于激活宠物封蛇#br战力飙升37000,技能效果更厉害。",,40032,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40033,神将卡,"用于激活宠物神将#br战力飙升38300,技能效果更厉害。",,40033,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40034,圣灵蝶卡,"用于激活宠物圣灵蝶#br战力飙升38300,技能效果更厉害。",,40034,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40035,招财猫卡,"用于激活宠物招财猫#br战力飙升38350,技能效果更厉害。",,40035,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40036,熊猫大侠卡,"用于激活宠物熊猫大侠#br战力飙升38850,技能效果更厉害。",,40036,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40037,青狮怪卡,"用于激活宠物青狮怪#br战力飙升39200,技能效果更厉害。",,40037,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40038,东海龙王卡,"用于激活宠物东海龙王#br战力飙升39750,技能效果更厉害。",,40038,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40039,朱雀卡,"用于激活宠物朱雀#br战力飙升68000,技能效果更厉害。",,40039,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40040,青龙卡,"用于激活宠物青龙#br战力飙升65000,技能效果更厉害。",,40040,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40041,白虎卡,"用于激活宠物白虎#br战力飙升130000,技能效果更厉害。",,40041,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40042,玄武卡,"用于激活宠物玄武#br战力飙升120000,技能效果更厉害。",,40042,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40043,猪八戒卡,"用于激活宠物猪八戒#br战力飙升65000,技能效果更厉害。",,40043,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40044,虎力大仙卡,"用于激活宠物虎力大仙#br战力飙升130000,技能效果更厉害。",,40044,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
