商店类型id,索引,客户端位置索引,商店名称,物品Entry,物品名称,商城名称拼音,商城显示消耗小图标（界面右上角）,皮肤的位置,对应的仙君id,道具数量,获取途径,获取途径名字,循环天数,哪一天,哪个套装,打几折,物品品质,"钱货币id(1，银两,3，元宝,2，绑定元宝）就这三个","消耗的物品（1幻兽令，2,仙吕令,3.........还有很多)",消耗物品数量或者钱,每日限购次数,每周限购次数,终身限购,等级条件,皇城天塔通关条件,帮会等级条件,竞技场排名条件,押镖条件,答题次数条件,个人BOSS胜利次数,全民BOSS胜利次数,生死劫条件,材料副本条件
2,1,1,绑元商店,20001,坐骑进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,2,2,绑元商店,20002,天仙进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,3,3,绑元商店,20003,神兵进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,4,4,绑元商店,20004,翅膀进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,5,5,绑元商店,20005,法阵进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,6,6,绑元商店,20006,神位进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,7,7,绑元商店,20007,通灵进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,8,8,绑元商店,20008,元神进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,9,9,绑元商店,20009,女王进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,10,10,绑元商店,20010,仙器进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,11,11,绑元商店,20011,花辇进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,12,12,绑元商店,20012,灵气进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,13,13,绑元商店,20013,宠物进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,14,14,绑元商店,20014,仙君进阶丹,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
2,15,15,绑元商店,20015,法宝升阶石,bangyuan,2,,,1,,,,,,1,,2,,100,0,0,0,,,,,,,,,,
3,1,1,宠物商城,60005,宠物技能石,chongwu,60013,,,1,,,,,,1,,,60013,1,0,0,500,,,,,,,,,,
3,2,2,宠物商城,40004,狐妖卡,chongwu,60013,,,1,,,,,,1,,,60013,3,0,0,1,,,,,,,,,,
3,3,3,宠物商城,40012,广目天王卡,chongwu,60013,,,1,,,,,,1,,,60013,5,0,0,1,,,,,,,,,,
3,4,4,宠物商城,40015,趴趴熊卡,chongwu,60013,,,1,,,,,,1,,,60013,7,0,0,1,,,,,,,,,,
3,5,5,宠物商城,40023,火德真君卡,chongwu,60013,,,1,,,,,,1,,,60013,15,0,0,1,,,,,,,,,,
3,6,6,宠物商城,40027,莲花仙子卡,chongwu,60013,,,1,,,,,,1,,,60013,30,0,0,1,,,,,,,,,,
4,1,1,仙君商城,50001,桃花仙子碎片,xianlv,60012,,,3,,,,,,1,,,60012,10,0,0,0,,,,,,,,,,
4,2,2,仙君商城,50002,兵魂碎片,xianlv,60012,,,3,,,,,,1,,,60012,12,0,0,0,,,,,,,,,,
4,3,3,仙君商城,50003,龙象精碎片,xianlv,60012,,,3,,,,,,1,,,60012,15,0,0,0,,,,,,,,,,
4,4,4,仙君商城,50004,白象精碎片,xianlv,60012,,,3,,,,,,1,,,60012,20,0,0,0,,,,,,,,,,
4,5,5,仙君商城,50005,圣灵蝶碎片,xianlv,60012,,,3,,,,,,1,,,60012,23,0,0,0,,,,,,,,,,
4,6,6,仙君商城,50500,美猴王碎片,xianlv,60012,,,3,,,,,,1,,,60012,30,0,0,0,,,,,,,,,,
4,7,7,仙君商城,50006,魔星碎片,xianlv,60012,,,3,,,,,,1,,,60012,26,0,0,0,,,,,,,,,,
4,8,8,仙君商城,50007,熊精碎片,xianlv,60012,,,3,,,,,,1,,,60012,30,0,0,0,,,,,,,,,,
4,9,9,仙君商城,50008,猪刚鬣碎片,xianlv,60012,,,3,,,,,,1,,,60012,35,0,0,0,,,,,,,,,,
4,10,10,仙君商城,50009,业魔碎片,xianlv,60012,,,3,,,,,,1,,,60012,60,0,0,0,,,,,,,,,,
4,11,11,仙君商城,50010,鬼武者碎片,xianlv,60012,,,3,,,,,,1,,,60012,80,0,0,0,,,,,,,,,,
4,12,12,仙君商城,50501,花花公子碎片,xianlv,60012,,,3,,,,,,1,,,60012,14,0,0,0,,,,,,,,,,
5,1,1,物品商店,60001,精炼石,zhuangbei,60019,,,500,,,,,,1,,,60019,1,2,0,0,,,,,,,,,,
5,2,2,物品商店,60002,锻造石,zhuangbei,60019,,,100,,,,,,1,,,60019,1,2,0,0,,,,,,,,,,
5,3,3,物品商店,60003,宝石精华,zhuangbei,60019,,,5,,,,,,1,,,60019,1,10,0,0,,,,,,,,,,
5,4,4,物品商店,60015,高级复活令,zhuangbei,60019,,,1,,,,,,1,,,60019,10,1,0,0,,,,,,,,,,
5,5,5,物品商店,60001,精炼石,zhuangbei,60019,,,200,,,,,,1,,,60019,2,0,0,0,,,,,,,,,,
5,6,6,物品商店,60002,锻造石,zhuangbei,60019,,,80,,,,,,1,,,60019,2,0,0,0,,,,,,,,,,
5,7,7,物品商店,60003,宝石精华,zhuangbei,60019,,,1,,,,,,1,,,60019,2,0,0,0,,,,,,,,,,
6,1,1,40级金装,15021,长夜头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,2,2,40级金装,15022,长夜武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,3,3,40级金装,15023,长夜衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,4,4,40级金装,15024,长夜戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,5,5,40级金装,15025,长夜项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,6,6,40级金装,15026,长夜鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,7,7,40级金装,15027,长夜披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,8,8,40级金装,15028,长夜腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,9,9,40级金装,15029,长夜裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
6,10,10,40级金装,15030,长夜护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,15,0,0,0,,,,,,,,,,
7,1,1,60级金装,15031,流年头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,2,2,60级金装,15032,流年武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,3,3,60级金装,15033,流年衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,4,4,60级金装,15034,流年戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,5,5,60级金装,15035,流年项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,6,6,60级金装,15036,流年鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,7,7,60级金装,15037,流年披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,8,8,60级金装,15038,流年腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,9,9,60级金装,15039,流年裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
7,10,10,60级金装,15040,流年护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,40,0,0,0,,,,,,,,,,
8,1,1,80级金装,15041,沉星头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,2,2,80级金装,15042,沉星武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,3,3,80级金装,15043,沉星衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,4,4,80级金装,15044,沉星戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,5,5,80级金装,15045,沉星项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,6,6,80级金装,15046,沉星鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,7,7,80级金装,15047,沉星披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,8,8,80级金装,15048,沉星腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,9,9,80级金装,15049,沉星裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
8,10,10,80级金装,15050,沉星护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,100,0,0,0,,,,,,,,,,
9,1,1,100级金装,15051,秋鸿头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,2,2,100级金装,15052,秋鸿武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,3,3,100级金装,15053,秋鸿衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,4,4,100级金装,15054,秋鸿戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,5,5,100级金装,15055,秋鸿项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,6,6,100级金装,15056,秋鸿鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,7,7,100级金装,15057,秋鸿披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,8,8,100级金装,15058,秋鸿腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,9,9,100级金装,15059,秋鸿裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
9,10,10,100级金装,15060,秋鸿护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,240,0,0,0,,,,,,,,,,
10,1,1,120级金装,15061,难离头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,2,2,120级金装,15062,难离武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,3,3,120级金装,15063,难离衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,4,4,120级金装,15064,难离戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,5,5,120级金装,15065,难离项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,6,6,120级金装,15066,难离鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,7,7,120级金装,15067,难离披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,8,8,120级金装,15068,难离腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,9,9,120级金装,15069,难离裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
10,10,10,120级金装,15070,难离护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,600,0,0,0,,,,,,,,,,
11,1,1,140级金装,15071,玲珑头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,2,2,140级金装,15072,玲珑武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,3,3,140级金装,15073,玲珑衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,4,4,140级金装,15074,玲珑戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,5,5,140级金装,15075,玲珑项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,6,6,140级金装,15076,玲珑鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,7,7,140级金装,15077,玲珑披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,8,8,140级金装,15078,玲珑腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,9,9,140级金装,15079,玲珑裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
11,10,10,140级金装,15080,玲珑护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,1500,0,0,0,,,,,,,,,,
12,1,1,160级金装,15081,乾坤头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,2,2,160级金装,15082,乾坤武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,3,3,160级金装,15083,乾坤衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,4,4,160级金装,15084,乾坤戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,5,5,160级金装,15085,乾坤项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,6,6,160级金装,15086,乾坤鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,7,7,160级金装,15087,乾坤披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,8,8,160级金装,15088,乾坤腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,9,9,160级金装,15089,乾坤裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
12,10,10,160级金装,15090,乾坤护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,3600,0,0,0,,,,,,,,,,
13,1,1,180级金装,15091,九龙头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,2,2,180级金装,15092,九龙武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,3,3,180级金装,15093,九龙衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,4,4,180级金装,15094,九龙戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,5,5,180级金装,15095,九龙项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,6,6,180级金装,15096,九龙鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,7,7,180级金装,15097,九龙披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,8,8,180级金装,15098,九龙腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,9,9,180级金装,15099,九龙裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
13,10,10,180级金装,15100,九龙护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,7800,0,0,0,,,,,,,,,,
14,1,1,200级金装,15101,星落头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,2,2,200级金装,15102,星落武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,3,3,200级金装,15103,星落衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,4,4,200级金装,15104,星落戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,5,5,200级金装,15105,星落项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,6,6,200级金装,15106,星落鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,7,7,200级金装,15107,星落披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,8,8,200级金装,15108,星落腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,9,9,200级金装,15109,星落裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
14,10,10,200级金装,15110,星落护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,13600,0,0,0,,,,,,,,,,
15,1,1,220级金装,15111,逐日头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,2,2,220级金装,15112,逐日武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,3,3,220级金装,15113,逐日衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,4,4,220级金装,15114,逐日戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,5,5,220级金装,15115,逐日项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,6,6,220级金装,15116,逐日鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,7,7,220级金装,15117,逐日披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,8,8,220级金装,15118,逐日腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,9,9,220级金装,15119,逐日裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
15,10,10,220级金装,15120,逐日护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,21800,0,0,0,,,,,,,,,,
16,1,1,240级金装,15121,狱焰头盔,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,2,2,240级金装,15122,狱焰武器,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,3,3,240级金装,15123,狱焰衣服,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,4,4,240级金装,15124,狱焰戒指,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,5,5,240级金装,15125,狱焰项链,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,6,6,240级金装,15126,狱焰鞋子,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,7,7,240级金装,15127,狱焰披肩,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,8,8,240级金装,15128,狱焰腰带,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,9,9,240级金装,15129,狱焰裤子,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
16,10,10,240级金装,15130,狱焰护腕,zhuangbei,60019,,,1,,,,,,1,5,,60019,33600,0,0,0,,,,,,,,,,
17,1,1,皇城福利,60056,绑定元宝,leiyin,60019,,,2000,,,,,,1,,,60019,6,0,0,1,,6,,,,,,,,
17,2,2,皇城福利,60003,宝石精华,leiyin,60019,,,30,,,,,,1,,,60019,10,0,0,1,,12,,,,,,,,
17,3,3,皇城福利,15033,赤焰衣服,leiyin,60019,,,1,,,,,,1,5,,60019,26,0,0,1,,18,,,,,,,,
17,4,4,皇城福利,60056,绑定元宝,leiyin,60019,,,4000,,,,,,1,,,60019,13,0,0,1,,24,,,,,,,,
17,5,5,皇城福利,15049,飞虎披风,leiyin,60019,,,1,,,,,,1,5,,60019,51,0,0,1,,30,,,,,,,,
17,6,6,皇城福利,60003,宝石精华,leiyin,60019,,,40,,,,,,1,,,60019,16,0,0,1,,35,,,,,,,,
17,7,7,皇城福利,60056,绑定元宝,leiyin,60019,,,6000,,,,,,1,,,60019,19,0,0,1,,40,,,,,,,,
17,8,8,皇城福利,60056,绑定元宝,leiyin,60019,,,8000,,,,,,1,,,60019,25,0,0,1,,40,,,,,,,,
17,9,9,皇城福利,60003,宝石精华,leiyin,60019,,,50,,,,,,1,,,60019,19,0,0,1,,45,,,,,,,,
17,10,10,皇城福利,60003,宝石精华,leiyin,60019,,,60,,,,,,1,,,60019,22,0,0,1,,45,,,,,,,,
17,11,11,皇城福利,63009,三界试炼,leiyin,60019,"1,9",,1,,,,,,1,,,60019,21,0,0,1,,50,,,,,,,,
17,12,12,皇城福利,15060,秋鸿护腕,leiyin,60019,,,1,,,,,,1,5,,60019,120,0,0,1,,60,,,,,,,,
17,13,13,皇城福利,60056,绑定元宝,leiyin,60019,,,10000,,,,,,1,,,60019,31,0,0,1,,70,,,,,,,,
17,14,14,皇城福利,60003,宝石精华,leiyin,60019,,,80,,,,,,1,,,60019,31,0,0,1,,80,,,,,,,,
17,15,15,皇城福利,15071,噬魂头盔,leiyin,60019,,,1,,,,,,1,5,,60019,400,0,0,1,,120,,,,,,,,
17,16,16,皇城福利,60003,宝石精华,leiyin,60019,,,120,,,,,,1,,,60019,51,0,0,1,,140,,,,,,,,
17,17,17,皇城福利,15090,乾坤护腕,leiyin,60019,,,1,,,,,,1,5,,60019,720,0,0,1,,150,,,,,,,,
17,18,18,皇城福利,60003,宝石精华,leiyin,60019,,,150,,,,,,1,,,60019,81,0,0,1,,160,,,,,,,,
17,19,19,皇城福利,15091,九龙头盔,leiyin,60019,,,1,,,,,,1,5,,60019,1520,0,0,1,,180,,,,,,,,
17,20,20,皇城福利,60056,绑定元宝,leiyin,60019,,,14000,,,,,,1,,,60019,61,0,0,1,,220,,,,,,,,
17,21,21,皇城福利,60003,宝石精华,leiyin,60019,,,180,,,,,,1,,,60019,120,0,0,1,,260,,,,,,,,
17,22,22,皇城福利,60056,绑定元宝,leiyin,60019,,,16000,,,,,,1,,,60019,130,0,0,1,,300,,,,,,,,
18,1,1,帮会商店,20001,坐骑进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,2,2,帮会商店,20002,天仙进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,3,3,帮会商店,20003,神兵进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,4,4,帮会商店,20004,翅膀进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
