f,"二级索引  100白色,101蓝色,102金色,103普通传奇,104传奇套装",说明,值
attrFactor,300004,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300005,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300006,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.76,0.76,67},{0.76,0.988,20},{0.988,1.216,9},{1.216,1.52,3},{1.52,1.52,1}},[2]={{1,1,100}}"
attrFactor,300007,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.76,0.76,67},{0.76,0.988,20},{0.988,1.216,9},{1.216,1.52,3},{1.52,1.52,1}},[2]={{1,1,100}}"
attrFactor,300008,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300009,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.76,0.76,67},{0.76,0.988,20},{0.988,1.216,9},{1.216,1.52,3},{1.52,1.52,1}},[2]={{1,1,100}}"
attrFactor,300011,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{1,1,67},{1,1.3,20},{1.3,1.6,9},{1.6,2,3},{2,2,1}},[2]={{1,1,100}}"
attrFactor,300016,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300017,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300018,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300019,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300020,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300021,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300022,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.8015,0.8015,67},{0.8015,1.042,20},{1.042,1.2824,9},{1.2824,1.603,3},{1.603,1.603,1}},[2]={{1,1,100}}"
attrFactor,300023,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.8015,0.8015,67},{0.8015,1.042,20},{1.042,1.2824,9},{1.2824,1.603,3},{1.603,1.603,1}},[2]={{1,1,100}}"
attrFactor,300024,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300025,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.8015,0.8015,67},{0.8015,1.042,20},{1.042,1.2824,9},{1.2824,1.603,3},{1.603,1.603,1}},[2]={{1,1,100}}"
attrFactor,300027,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{1,1,67},{1,1.3,20},{1.3,1.6,9},{1.6,2,3},{2,2,1}},[2]={{1,1,100}}"
attrFactor,300032,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300033,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300034,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300035,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300036,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300037,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300038,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.82,0.82,67},{0.82,1.066,20},{1.066,1.312,9},{1.312,1.64,3},{1.64,1.64,1}},[2]={{1,1,100}}"
attrFactor,300039,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.82,0.82,67},{0.82,1.066,20},{1.066,1.312,9},{1.312,1.64,3},{1.64,1.64,1}},[2]={{1,1,100}}"
attrFactor,300040,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300041,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.82,0.82,67},{0.82,1.066,20},{1.066,1.312,9},{1.312,1.64,3},{1.64,1.64,1}},[2]={{1,1,100}}"
attrFactor,300043,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{1,1,67},{1,1.3,20},{1.3,1.6,9},{1.6,2,3},{2,2,1}},[2]={{1,1,100}}"
attrFactor,300048,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300049,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300050,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300051,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300052,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300053,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300054,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300055,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300056,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300057,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300059,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{1,1,67},{1,1.3,20},{1.3,1.6,9},{1.6,2,3},{2,2,1}},[2]={{1,1,100}}"
attrFactor,300064,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300065,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300066,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300067,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300068,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300069,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300070,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300071,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300072,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300073,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.825,0.825,67},{0.825,1.0725,20},{1.0725,1.32,9},{1.32,1.65,3},{1.65,1.65,1}},[2]={{1,1,100}}"
attrFactor,300075,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{1,1,67},{1,1.3,20},{1.3,1.6,9},{1.6,2,3},{2,2,1}},[2]={{1,1,100}}"
attrFactorEx,300000,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300001,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围3}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300002,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围4}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300003,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围5}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300004,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围6}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300005,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围7}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300006,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围8}}","[1]={{0.76,0.988,60},{0.988,1.216,28},{1.216,1.52,8},{1.52,1.52,4}},[2]={{1,1,100}}"
attrFactorEx,300007,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围9}}","[1]={{0.76,0.988,60},{0.988,1.216,28},{1.216,1.52,8},{1.52,1.52,4}},[2]={{1,1,100}}"
attrFactorEx,300008,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围10}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300009,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围11}}","[1]={{0.76,0.988,60},{0.988,1.216,28},{1.216,1.52,8},{1.52,1.52,4}},[2]={{1,1,100}}"
attrFactorEx,300011,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围13}}","[1]={{1,1.3,60},{1.3,1.6,28},{1.6,2,8},{2,2,4}},[2]={{1,1,100}}"
attrFactorEx,300016,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围18}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300017,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围19}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300018,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围20}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300019,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围21}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300020,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围22}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300021,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围23}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300022,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围24}}","[1]={{0.8015,1.042,60},{1.042,1.2824,28},{1.2824,1.603,8},{1.603,1.603,4}},[2]={{1,1,100}}"
attrFactorEx,300023,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围25}}","[1]={{0.8015,1.042,60},{1.042,1.2824,28},{1.2824,1.603,8},{1.603,1.603,4}},[2]={{1,1,100}}"
attrFactorEx,300024,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围26}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300025,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围27}}","[1]={{0.8015,1.042,60},{1.042,1.2824,28},{1.2824,1.603,8},{1.603,1.603,4}},[2]={{1,1,100}}"
attrFactorEx,300027,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围29}}","[1]={{1,1.3,60},{1.3,1.6,28},{1.6,2,8},{2,2,4}},[2]={{1,1,100}}"
attrFactorEx,300032,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围34}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300033,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围35}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300034,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围36}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300035,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围37}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300036,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围38}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300037,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围39}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300038,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围40}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300039,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围41}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300040,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围42}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300041,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围43}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300043,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围45}}","[1]={{1,1.3,60},{1.3,1.6,28},{1.6,2,8},{2,2,4}},[2]={{1,1,100}}"
attrFactorEx,300048,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围50}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300049,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围51}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300050,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围52}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300051,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围53}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300052,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围54}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300053,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围55}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300054,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围56}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300055,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围57}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300056,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围58}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300057,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围59}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300059,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围61}}","[1]={{1,1.3,60},{1.3,1.6,28},{1.6,2,8},{2,2,4}},[2]={{1,1,100}}"
attrFactorEx,300064,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围66}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300065,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围67}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300066,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围68}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300067,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围69}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300068,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围70}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300069,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围71}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
