#buff_id,buff名称,buff图标id,buff特效ID,一次性特效ID,特效缩放,限制发招,效果索引,飘字图片名列表（获得BUFF时出现）,说明
id_kn,name_s,icon_id_n,effect_t,oneceEffect_t,scaleList_t,marked_s,paramList_t,charaterList_t,read_c
10027,攻击时有概率提升30%PVP伤减持续2回合,,,,,,,,攻击时有概率提升30%PVP伤减持续2回合
10028,伤害减免,,,,,,,,伤害减免
10029,攻击时有概率提升30%pve伤减持续2回合,,,,,,,,攻击时有概率提升30%pve伤减持续2回合
10030,伤害增加,,,10213,,,,,伤害增加
20001,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20002,伤害降低,,,,,,,"""xuruo""",伤害降低
20003,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20004,伤害降低,,,,,,,"""xuruo""",伤害降低
20005,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20006,伤害降低,,,,,,,"""xuruo""",伤害降低
20007,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20008,伤害降低,,,,,,,"""xuruo""",伤害降低
20009,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20010,伤害降低,,,,,,,"""xuruo""",伤害降低
20011,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20012,伤害降低,,,,,,,"""xuruo""",伤害降低
20013,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20014,伤害降低,,,,,,,"""xuruo""",伤害降低
20015,攻击触发防御降低,,,,,,,,攻击触发防御降低
20016,防御降低,,,10210,,,,,防御降低
20017,攻击触发防御降低,,,,,,,,攻击触发防御降低
20018,防御降低,,,10210,,,,,防御降低
20019,攻击触发防御降低,,,,,,,,攻击触发防御降低
20020,防御降低,,,10210,,,,,防御降低
20021,攻击触发防御降低,,,,,,,,攻击触发防御降低
20022,防御降低,,,10210,,,,,防御降低
20023,攻击触发防御降低,,,,,,,,攻击触发防御降低
20024,防御降低,,,10210,,,,,防御降低
20025,攻击触发防御降低,,,,,,,,攻击触发防御降低
20026,防御降低,,,10210,,,,,防御降低
20027,攻击触发防御降低,,,,,,,,攻击触发防御降低
20028,防御降低,,,10210,,,,,防御降低
20029,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20030,下回合暴击提升20%,,,,,,,,下回合暴击提升20%
20031,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20032,下回合暴击提升25%,,,,,,,,下回合暴击提升25%
20033,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20034,下回合暴击提升30%,,,,,,,,下回合暴击提升30%
20035,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20036,下回合暴击提升35%,,,,,,,,下回合暴击提升35%
20037,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20038,下回合暴击提升40%,,,,,,,,下回合暴击提升40%
20039,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20040,下回合暴击提升45%,,,,,,,,下回合暴击提升45%
20041,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20042,下回合暴击提升50%,,,,,,,,下回合暴击提升50%
20043,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20044,转换8%的生命,,,,,,,"""xixue""",转换8%的生命
20045,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20046,转换12%的生命,,,,,,,"""xixue""",转换12%的生命
20047,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20048,转换16%的生命,,,,,,,"""xixue""",转换16%的生命
20049,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20050,转换20%的生命,,,,,,,"""xixue""",转换20%的生命
20051,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20052,转换24%的生命,,,,,,,"""xixue""",转换24%的生命
20053,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20054,转换28%的生命,,,,,,,"""xixue""",转换28%的生命
20055,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20056,转换32%的生命,,,,,,,"""xixue""",转换32%的生命
20057,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20058,转换8%的生命,,,,,,,"""xiShou""",转换8%的生命
20059,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20060,转换12%的生命,,,,,,,"""xiShou""",转换12%的生命
20061,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20062,转换16%的生命,,,,,,,"""xiShou""",转换16%的生命
20063,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20064,转换20%的生命,,,,,,,"""xiShou""",转换20%的生命
20065,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20066,转换24%的生命,,,,,,,"""xiShou""",转换24%的生命
20067,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20068,转换28%的生命,,,,,,,"""xiShou""",转换28%的生命
20069,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20070,转换32%的生命,,,,,,,"""xiShou""",转换32%的生命
20071,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20072,提升15%,,,10213,,,,,提升15%
20073,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20074,提升18%,,,10213,,,,,提升18%
20075,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20076,提升21%,,,10213,,,,,提升21%
20077,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20078,提升24%,,,10213,,,,,提升24%
20079,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20080,提升27%,,,10213,,,,,提升27%
20081,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20082,提升30%,,,10213,,,,,提升30%
20083,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20084,提升33%,,,10213,,,,,提升33%
20085,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20086,伤害减免15%,,,,,,,"""jianren""",伤害减免15%
20087,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20088,伤害减免18%,,,,,,,"""jianren""",伤害减免18%
20089,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20090,伤害减免21%,,,,,,,"""jianren""",伤害减免21%
20091,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20092,伤害减免24%,,,,,,,"""jianren""",伤害减免24%
20093,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20094,伤害减免27%,,,,,,,"""jianren""",伤害减免27%
20095,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20096,伤害减免30%,,,,,,,"""jianren""",伤害减免30%
20097,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20098,伤害减免33%,,,,,,,"""jianren""",伤害减免33%
20099,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20100,伤害增加18%,,,,,,,"""nuji""",伤害增加18%
20101,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20102,伤害增加22%,,,,,,,"""nuji""",伤害增加22%
20103,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20104,伤害增加26%,,,,,,,"""nuji""",伤害增加26%
20105,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20106,伤害增加30%,,,,,,,"""nuji""",伤害增加30%
20107,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20108,伤害增加34%,,,,,,,"""nuji""",伤害增加34%
20109,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20110,伤害增加38%,,,,,,,"""nuji""",伤害增加38%
20111,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20112,伤害增加42%,,,,,,,"""nuji""",伤害增加42%
20113,攻击触发眩晕,,,,,,,,攻击触发眩晕
20114,眩晕,,10214,,,,,"""yunjue""",眩晕
20115,攻击触发眩晕,,,,,,,,攻击触发眩晕
20116,眩晕,,10214,,,,,"""yunjue""",眩晕
20117,攻击触发眩晕,,,,,,,,攻击触发眩晕
20118,眩晕,,10214,,,,,"""yunjue""",眩晕
20119,攻击触发眩晕,,,,,,,,攻击触发眩晕
20120,眩晕,,10214,,,,,"""yunjue""",眩晕
20121,攻击触发眩晕,,,,,,,,攻击触发眩晕
20122,眩晕,,10214,,,,,"""yunjue""",眩晕
20123,攻击触发眩晕,,,,,,,,攻击触发眩晕
20124,眩晕,,10214,,,,,"""yunjue""",眩晕
20125,攻击触发眩晕,,,,,,,,攻击触发眩晕
20126,眩晕,,10214,,,,,"""yunjue""",眩晕
20127,受到攻击触发反击,,,,,,,,受到攻击触发反击
20128,反击,,,,,,,"""fanji""",反击
20129,受到攻击触发反击,,,,,,,,受到攻击触发反击
20130,反击,,,,,,,"""fanji""",反击
20131,受到攻击触发反击,,,,,,,,受到攻击触发反击
20132,反击,,,,,,,"""fanji""",反击
20133,受到攻击触发反击,,,,,,,,受到攻击触发反击
20134,反击,,,,,,,"""fanji""",反击
20135,受到攻击触发反击,,,,,,,,受到攻击触发反击
20136,反击,,,,,,,"""fanji""",反击
20137,受到攻击触发反击,,,,,,,,受到攻击触发反击
20138,反击,,,,,,,"""fanji""",反击
20139,受到攻击触发反击,,,,,,,,受到攻击触发反击
20140,反击,,,,,,,"""fanji""",反击
20141,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20142,伤害增加,,,,,,,,伤害增加
20143,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20144,伤害增加,,,,,,,,伤害增加
20145,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20146,伤害增加,,,,,,,,伤害增加
20147,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20148,伤害增加,,,,,,,,伤害增加
20149,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20150,伤害增加,,,,,,,,伤害增加
20151,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20152,伤害增加,,,,,,,,伤害增加
20153,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20154,伤害增加,,,,,,,,伤害增加
20155,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20156,伤害降低,,,,,,,"""xuruo""",伤害降低
20157,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20158,伤害降低,,,,,,,"""xuruo""",伤害降低
20159,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20160,伤害降低,,,,,,,"""xuruo""",伤害降低
20161,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20162,伤害降低,,,,,,,"""xuruo""",伤害降低
20163,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20164,伤害降低,,,,,,,"""xuruo""",伤害降低
20165,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20166,伤害降低,,,,,,,"""xuruo""",伤害降低
20167,攻击触发伤害降低,,,,,,,,攻击触发伤害降低
20168,伤害降低,,,,,,,"""xuruo""",伤害降低
20169,攻击触发防御降低,,,,,,,,攻击触发防御降低
20170,防御降低,,,10210,,,,,防御降低
20171,攻击触发防御降低,,,,,,,,攻击触发防御降低
20172,防御降低,,,10210,,,,,防御降低
20173,攻击触发防御降低,,,,,,,,攻击触发防御降低
20174,防御降低,,,10210,,,,,防御降低
20175,攻击触发防御降低,,,,,,,,攻击触发防御降低
20176,防御降低,,,10210,,,,,防御降低
20177,攻击触发防御降低,,,,,,,,攻击触发防御降低
20178,防御降低,,,10210,,,,,防御降低
20179,攻击触发防御降低,,,,,,,,攻击触发防御降低
20180,防御降低,,,10210,,,,,防御降低
20181,攻击触发防御降低,,,,,,,,攻击触发防御降低
20182,防御降低,,,10210,,,,,防御降低
20183,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20184,下回合暴击提升20%,,,,,,,,下回合暴击提升20%
20185,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20186,下回合暴击提升25%,,,,,,,,下回合暴击提升25%
20187,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20188,下回合暴击提升30%,,,,,,,,下回合暴击提升30%
20189,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20190,下回合暴击提升35%,,,,,,,,下回合暴击提升35%
20191,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20192,下回合暴击提升40%,,,,,,,,下回合暴击提升40%
20193,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20194,下回合暴击提升45%,,,,,,,,下回合暴击提升45%
20195,攻击触发暴击提升,,,,,,,,攻击触发暴击提升
20196,下回合暴击提升50%,,,,,,,,下回合暴击提升50%
20197,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20198,转换生命,,,,,,,"""xixue""",转换生命
20199,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20200,转换生命,,,,,,,"""xixue""",转换生命
20201,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20202,转换生命,,,,,,,"""xixue""",转换生命
20203,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20204,转换生命,,,,,,,"""xixue""",转换生命
20205,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20206,转换生命,,,,,,,"""xixue""",转换生命
20207,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20208,转换生命,,,,,,,"""xixue""",转换生命
20209,攻击触发伤害转换生命,,,,,,,,攻击触发伤害转换生命
20210,转换生命,,,,,,,"""xixue""",转换生命
20211,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20212,转换生命,,,,,,,"""xiShou""",转换生命
20213,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20214,转换生命,,,,,,,"""xiShou""",转换生命
20215,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20216,转换生命,,,,,,,"""xiShou""",转换生命
20217,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20218,转换生命,,,,,,,"""xiShou""",转换生命
20219,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20220,转换生命,,,,,,,"""xiShou""",转换生命
20221,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20222,转换生命,,,,,,,"""xiShou""",转换生命
20223,受到攻击触发伤害转换生命,,,,,,,,受到攻击触发伤害转换生命
20224,转换32%的生命,,,,,,,"""xiShou""",转换32%的生命
20225,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20226,提升伤害,,,10213,,,,,提升伤害
20227,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20228,提升伤害,,,10213,,,,,提升伤害
20229,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20230,提升伤害,,,10213,,,,,提升伤害
20231,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20232,提升伤害,,,10213,,,,,提升伤害
20233,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20234,提升伤害,,,10213,,,,,提升伤害
20235,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20236,提升伤害,,,10213,,,,,提升伤害
20237,受到攻击触发伤害提升,,,,,,,,受到攻击触发伤害提升
20238,提升伤害,,,10213,,,,,提升伤害
20239,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20240,伤害减免,,,,,,,"""jianren""",伤害减免
20241,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20242,伤害减免,,,,,,,"""jianren""",伤害减免
20243,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20244,伤害减免,,,,,,,"""jianren""",伤害减免
20245,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20246,伤害减免,,,,,,,"""jianren""",伤害减免
20247,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20248,伤害减免,,,,,,,"""jianren""",伤害减免
20249,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20250,伤害减免,,,,,,,"""jianren""",伤害减免
20251,受到攻击触发伤害减免,,,,,,,,受到攻击触发伤害减免
20252,伤害减免,,,,,,,"""jianren""",伤害减免
20253,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20254,伤害增加,,,,,,,"""nuji""",伤害增加
20255,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20256,伤害增加,,,,,,,"""nuji""",伤害增加
20257,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20258,伤害增加,,,,,,,"""nuji""",伤害增加
20259,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20260,伤害增加,,,,,,,"""nuji""",伤害增加
20261,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20262,伤害增加,,,,,,,"""nuji""",伤害增加
20263,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20264,伤害增加,,,,,,,"""nuji""",伤害增加
20265,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20266,伤害增加,,,,,,,"""nuji""",伤害增加
20267,攻击触发眩晕,,,,,,,,攻击触发眩晕
20268,眩晕,,10214,,,,,"""yunjue""",眩晕
20269,攻击触发眩晕,,,,,,,,攻击触发眩晕
20270,眩晕,,10214,,,,,"""yunjue""",眩晕
20271,攻击触发眩晕,,,,,,,,攻击触发眩晕
20272,眩晕,,10214,,,,,"""yunjue""",眩晕
20273,攻击触发眩晕,,,,,,,,攻击触发眩晕
20274,眩晕,,10214,,,,,"""yunjue""",眩晕
20275,攻击触发眩晕,,,,,,,,攻击触发眩晕
20276,眩晕,,10214,,,,,"""yunjue""",眩晕
20277,攻击触发眩晕,,,,,,,,攻击触发眩晕
20278,眩晕,,10214,,,,,"""yunjue""",眩晕
20279,攻击触发眩晕,,,,,,,,攻击触发眩晕
20280,眩晕,,10214,,,,,"""yunjue""",眩晕
20281,受到攻击触发反击,,,,,,,,受到攻击触发反击
20282,反击,,,,,,,"""fuchou""",反击
20283,受到攻击触发反击,,,,,,,,受到攻击触发反击
20284,反击,,,,,,,"""fuchou""",反击
20285,受到攻击触发反击,,,,,,,,受到攻击触发反击
20286,反击,,,,,,,"""fuchou""",反击
20287,受到攻击触发反击,,,,,,,,受到攻击触发反击
20288,反击,,,,,,,"""fuchou""",反击
20289,受到攻击触发反击,,,,,,,,受到攻击触发反击
20290,反击,,,,,,,"""fuchou""",反击
20291,受到攻击触发反击,,,,,,,,受到攻击触发反击
20292,反击,,,,,,,"""fuchou""",反击
20293,受到攻击触发反击,,,,,,,,受到攻击触发反击
20294,反击,,,,,,,"""fuchou""",反击
20295,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20296,伤害增加,,,,,,,"""lianji""",伤害增加
20297,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20298,伤害增加,,,,,,,"""lianji""",伤害增加
20299,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20300,伤害增加,,,,,,,"""lianji""",伤害增加
20301,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20302,伤害增加,,,,,,,"""lianji""",伤害增加
20303,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20304,伤害增加,,,,,,,"""lianji""",伤害增加
20305,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20306,伤害增加,,,,,,,"""lianji""",伤害增加
20307,攻击触发额外伤害,,,,,,,,攻击触发额外伤害
20308,伤害增加,,,,,,,"""lianji""",伤害增加
20309,增加1200生命,,,,,,,,增加1200生命
20310,增加1800生命,,,,,,,,增加1800生命
20311,增加2500生命,,,,,,,,增加2500生命
20312,增加3800生命,,,,,,,,增加3800生命
20313,增加6000生命,,,,,,,,增加6000生命
20314,增加9100生命,,,,,,,,增加9100生命
20315,增加14500生命,,,,,,,,增加14500生命
20316,增加120攻击,,,,,,,,增加120攻击
20317,增加180攻击,,,,,,,,增加180攻击
20318,增加250攻击,,,,,,,,增加250攻击
20319,增加380攻击,,,,,,,,增加380攻击
20320,增加600攻击,,,,,,,,增加600攻击
20321,增加910攻击,,,,,,,,增加910攻击
20322,增加1450攻击,,,,,,,,增加1450攻击
20323,增加120防御,,,,,,,,增加120防御
20324,增加180防御,,,,,,,,增加180防御
20325,增加250防御,,,,,,,,增加250防御
20326,增加380防御,,,,,,,,增加380防御
20327,增加600防御,,,,,,,,增加600防御
20328,增加910防御,,,,,,,,增加910防御
20329,增加1450防御,,,,,,,,增加1450防御
20330,增加5速度,,,,,,,,增加5速度
20331,增加7速度,,,,,,,,增加7速度
20332,增加10速度,,,,,,,,增加10速度
20333,增加15速度,,,,,,,,增加15速度
20334,增加24速度,,,,,,,,增加24速度
20335,增加36速度,,,,,,,,增加36速度
20336,增加58速度,,,,,,,,增加58速度
20337,增加100闪避,,,,,,,,增加100闪避
20338,增加140闪避,,,,,,,,增加140闪避
20339,增加200闪避,,,,,,,,增加200闪避
20340,增加300闪避,,,,,,,,增加300闪避
20341,增加480闪避,,,,,,,,增加480闪避
20342,增加730闪避,,,,,,,,增加730闪避
20343,增加1160闪避,,,,,,,,增加1160闪避
20344,增加100命中,,,,,,,,增加100命中
20345,增加140命中,,,,,,,,增加140命中
20346,增加200命中,,,,,,,,增加200命中
20347,增加300命中,,,,,,,,增加300命中
20348,增加480命中,,,,,,,,增加480命中
20349,增加730命中,,,,,,,,增加730命中
20350,增加1160命中,,,,,,,,增加1160命中
20351,增加100暴击,,,,,,,,增加100暴击
20352,增加140暴击,,,,,,,,增加140暴击
20353,增加200暴击,,,,,,,,增加200暴击
20354,增加300暴击,,,,,,,,增加300暴击
20355,增加480暴击,,,,,,,,增加480暴击
20356,增加730暴击,,,,,,,,增加730暴击
20357,增加1160暴击,,,,,,,,增加1160暴击
20358,增加100抗暴,,,,,,,,增加100抗暴
20359,增加140抗暴,,,,,,,,增加140抗暴
20360,增加200抗暴,,,,,,,,增加200抗暴
20361,增加300抗暴,,,,,,,,增加300抗暴
20362,增加480抗暴,,,,,,,,增加480抗暴
20363,增加730抗暴,,,,,,,,增加730抗暴
20364,增加1160抗暴,,,,,,,,增加1160抗暴
20365,增加47无视防御,,,,,,,,增加47无视防御
20366,增加65无视防御,,,,,,,,增加65无视防御
20367,增加94无视防御,,,,,,,,增加94无视防御
20368,增加141无视防御,,,,,,,,增加141无视防御
20369,增加225无视防御,,,,,,,,增加225无视防御
20370,增加342无视防御,,,,,,,,增加342无视防御
20371,增加580无视防御,,,,,,,,增加580无视防御
20372,增加47减免无视,,,,,,,,增加47减免无视
20373,增加65减免无视,,,,,,,,增加65减免无视
20374,增加94减免无视,,,,,,,,增加94减免无视
20375,增加141减免无视,,,,,,,,增加141减免无视
20376,增加225减免无视,,,,,,,,增加225减免无视
20377,增加342减免无视,,,,,,,,增加342减免无视
20378,增加580减免无视,,,,,,,,增加580减免无视
20379,增加800点无视防御,,,,,,,,增加800点无视防御
20380,增加900点无视防御,,,,,,,,增加900点无视防御
20381,增加1000点无视防御,,,,,,,,增加1000点无视防御
20382,增加1100点无视防御,,,,,,,,增加1100点无视防御
20383,增加1200点无视防御,,,,,,,,增加1200点无视防御
20384,增加800点减免无视,,,,,,,,增加800点减免无视
20385,增加900点减免无视,,,,,,,,增加900点减免无视
20386,增加1000点减免无视,,,,,,,,增加1000点减免无视
20387,增加1100点减免无视,,,,,,,,增加1100点减免无视
20388,增加1200点减免无视,,,,,,,,增加1200点减免无视
20389,增加2%pvp伤加,,,,,,,,增加2%pvp伤加
20390,增加2.5%pvp伤加,,,,,,,,增加2.5%pvp伤加
20391,增加3%pvp伤加,,,,,,,,增加3%pvp伤加
20392,增加3.5%pvp伤加,,,,,,,,增加3.5%pvp伤加
20393,增加4%pvp伤加,,,,,,,,增加4%pvp伤加
20394,增减2%pvp伤减,,,,,,,,增减2%pvp伤减
20395,增减2.5%pvp伤减,,,,,,,,增减2.5%pvp伤减
20396,增减3%pvp伤减,,,,,,,,增减3%pvp伤减
20397,增减3.5%pvp伤减,,,,,,,,增减3.5%pvp伤减
20398,增减4%pvp伤减,,,,,,,,增减4%pvp伤减
20399,攻击时有10%概率全队减伤12%两回合,,,,,,,,攻击时有10%概率全队减伤12%两回合
20400,伤害减免,,,,,,,,伤害减免
20401,攻击时有10%概率全队减伤14%两回合,,,,,,,,攻击时有10%概率全队减伤14%两回合
20402,伤害减免,,,,,,,,伤害减免
20403,攻击时有10%概率全队减伤16%两回合,,,,,,,,攻击时有10%概率全队减伤16%两回合
20404,伤害减免,,,,,,,,伤害减免
20405,攻击时有10%概率全队减伤18%两回合,,,,,,,,攻击时有10%概率全队减伤18%两回合
20406,伤害减免,,,,,,,,伤害减免
20407,攻击时有10%概率全队减伤20%两回合,,,,,,,,攻击时有10%概率全队减伤20%两回合
20408,伤害减免,,,,,,,,伤害减免
20409,攻击时有4%概率所有目标眩晕一回合,,,,,,,,攻击时有4%概率所有目标眩晕一回合
20410,眩晕,,10214,,,,,,眩晕
20411,攻击时有4.2%概率所有目标眩晕一回合,,,,,,,,攻击时有4.2%概率所有目标眩晕一回合
20412,眩晕,,10214,,,,,,眩晕
20413,攻击时有4.4%概率所有目标眩晕一回合,,,,,,,,攻击时有4.4%概率所有目标眩晕一回合
20414,眩晕,,10214,,,,,,眩晕
20415,攻击时有4.7%概率所有目标眩晕一回合,,,,,,,,攻击时有4.7%概率所有目标眩晕一回合
20416,眩晕,,10214,,,,,,眩晕
20417,攻击时有5%概率所有目标眩晕一回合,,,,,,,,攻击时有5%概率所有目标眩晕一回合
20418,眩晕,,10214,,,,,,眩晕
20419,攻击时有10%概率给予所有敌人%d+%d点伤害,,,,,,,,攻击时有10%概率给予所有敌人%d+%d点伤害
20420,所有敌人%d+%d点伤害,,,,,,,,所有敌人%d+%d点伤害
20421,无视40%防御两回合,,,,,,,,无视40%防御两回合
20422,攻击时有10%概率给予所有敌人%d+%d点伤害,,,,,,,,攻击时有10%概率给予所有敌人%d+%d点伤害
20423,所有敌人%d+%d点伤害,,,,,,,,所有敌人%d+%d点伤害
20424,攻击时有10%概率给予所有敌人%d+%d点伤害,,,,,,,,攻击时有10%概率给予所有敌人%d+%d点伤害
