层数索引,是否是跳转点(0否1是),跳层数量(进入的层次=当前层+跳层数),跳层限制时间(s),怪物等级,关卡要求,普通怪,奖励金币,积分,角色经验,宠物经验,物品,战斗地图,本层显示的怪物entryid,是否boss层（0否1是）
29,0,0,,24,1066,"[2]=502901,[4]=502902,[6]=502903,[7]=502904,[9]=502905,[11]=502906,[14]=502907,[16]=502908,[18]=502909",390,2,,,"{30001,19}",50012,502901,0
30,1,10,20,25,1066,"[2]=503001,[4]=503002,[6]=503003,[7]=503004,[9]=503005,[11]=503006,[14]=503007,[16]=503008,[18]=503009",399,2,,,"{30001,20}",50012,503001,1
31,0,0,,25,1066,"[2]=503101,[4]=503102,[6]=503103,[7]=503104,[9]=503105,[11]=503106,[14]=503107,[16]=503108,[18]=503109",409,2,,,"{30001,20}",50012,503101,0
32,0,0,,26,1066,"[2]=503201,[4]=503202,[6]=503203,[7]=503204,[9]=503205,[11]=503206,[14]=503207,[16]=503208,[18]=503209",420,2,,,"{30001,21}",50012,503201,0
33,0,0,,26,1066,"[2]=503301,[4]=503302,[6]=503303,[7]=503304,[9]=503305,[11]=503306,[14]=503307,[16]=503308,[18]=503309",430,2,,,"{30001,22}",50012,503301,0
34,0,0,,26,1066,"[2]=503401,[4]=503402,[6]=503403,[7]=503404,[9]=503405,[11]=503406,[14]=503407,[16]=503408,[18]=503409",441,2,,,"{30001,22}",50012,503401,0
35,0,0,,27,1066,"[2]=503501,[4]=503502,[6]=503503,[7]=503504,[9]=503505,[11]=503506,[14]=503507,[16]=503508,[18]=503509",452,2,,,"{30001,23}",50012,503501,0
36,0,0,,28,1066,"[2]=503601,[4]=503602,[6]=503603,[7]=503604,[9]=503605,[11]=503606,[14]=503607,[16]=503608,[18]=503609",463,2,,,"{30001,23}",50012,503601,0
37,0,0,,28,1066,"[2]=503701,[4]=503702,[6]=503703,[7]=503704,[9]=503705,[11]=503706,[14]=503707,[16]=503708,[18]=503709",475,2,,,"{30001,24}",50012,503701,0
38,0,0,,28,1066,"[2]=503801,[4]=503802,[6]=503803,[7]=503804,[9]=503805,[11]=503806,[14]=503807,[16]=503808,[18]=503809",487,2,,,"{30001,24}",50012,503801,0
39,0,0,,29,1066,"[2]=503901,[4]=503902,[6]=503903,[7]=503904,[9]=503905,[11]=503906,[14]=503907,[16]=503908,[18]=503909",499,2,,,"{30001,25}",50012,503901,0
40,1,10,20,30,1066,"[2]=504001,[4]=504002,[6]=504003,[7]=504004,[9]=504005,[11]=504006,[14]=504007,[16]=504008,[18]=504009",511,2,,,"{30001,26}",50012,504001,1
41,0,0,,30,1066,"[2]=504101,[4]=504102,[6]=504103,[7]=504104,[9]=504105,[11]=504106,[14]=504107,[16]=504108,[18]=504109",524,2,,,"{30001,26}",50012,504101,0
42,0,0,,31,1066,"[2]=504201,[4]=504202,[6]=504203,[7]=504204,[9]=504205,[11]=504206,[14]=504207,[16]=504208,[18]=504209",537,2,,,"{30001,27}",50012,504201,0
43,0,0,,31,1066,"[2]=504301,[4]=504302,[6]=504303,[7]=504304,[9]=504305,[11]=504306,[14]=504307,[16]=504308,[18]=504309",550,2,,,"{30001,28}",50012,504301,0
44,0,0,,32,1066,"[2]=504401,[4]=504402,[6]=504403,[7]=504404,[9]=504405,[11]=504406,[14]=504407,[16]=504408,[18]=504409",564,2,,,"{30001,28}",50012,504401,0
45,0,0,,32,1066,"[2]=504501,[4]=504502,[6]=504503,[7]=504504,[9]=504505,[11]=504506,[14]=504507,[16]=504508,[18]=504509",578,2,,,"{30001,29}",50012,504501,0
46,0,0,,33,1066,"[2]=504601,[4]=504602,[6]=504603,[7]=504604,[9]=504605,[11]=504606,[14]=504607,[16]=504608,[18]=504609",593,2,,,"{30001,30}",50012,504601,0
47,0,0,,33,1066,"[2]=504701,[4]=504702,[6]=504703,[7]=504704,[9]=504705,[11]=504706,[14]=504707,[16]=504708,[18]=504709",608,2,,,"{30001,30}",50012,504701,0
48,0,0,,34,1066,"[2]=504801,[4]=504802,[6]=504803,[7]=504804,[9]=504805,[11]=504806,[14]=504807,[16]=504808,[18]=504809",623,2,,,"{30001,31}",50012,504801,0
49,0,0,,34,1066,"[2]=504901,[4]=504902,[6]=504903,[7]=504904,[9]=504905,[11]=504906,[14]=504907,[16]=504908,[18]=504909",638,2,,,"{30001,32}",50012,504901,0
50,1,10,20,35,1066,"[2]=505001,[4]=505002,[6]=505003,[7]=505004,[9]=505005,[11]=505006,[14]=505007,[16]=505008,[18]=505009",654,2,,,"{30001,33}",50011,505001,1
51,0,0,,35,1066,"[2]=505101,[4]=505102,[6]=505103,[7]=505104,[9]=505105,[11]=505106,[14]=505107,[16]=0,[18]=505109",671,2,,,"{30001,34}",50011,505101,0
52,0,0,,36,1066,"[2]=505201,[4]=505202,[6]=505203,[7]=505204,[9]=505205,[11]=505206,[14]=505207,[16]=505208,[18]=505209",687,2,,,"{30001,34}",50011,505201,0
53,0,0,,36,1066,"[2]=505301,[4]=505302,[6]=505303,[7]=505304,[9]=505305,[11]=505306,[14]=505307,[16]=505308,[18]=505309",705,2,,,"{30001,35}",50011,505301,0
54,0,0,,37,1066,"[2]=505401,[4]=505402,[6]=505403,[7]=505404,[9]=505405,[11]=505406,[14]=505407,[16]=505408,[18]=505409",722,2,,,"{30001,36}",50011,505401,0
55,0,0,,37,1066,"[2]=505501,[4]=505502,[6]=505503,[7]=505504,[9]=505505,[11]=505506,[14]=505507,[16]=505508,[18]=505509",740,2,,,"{30001,37}",50011,505501,0
56,0,0,,38,1066,"[2]=505601,[4]=505602,[6]=505603,[7]=505604,[9]=505605,[11]=505606,[14]=505607,[16]=505608,[18]=505609",759,2,,,"{30001,38}",50011,505601,0
57,0,0,,38,1066,"[2]=505701,[4]=505702,[6]=505703,[7]=505704,[9]=505705,[11]=505706,[14]=505707,[16]=505708,[18]=505709",778,2,,,"{30001,39}",50011,505701,0
58,0,0,,39,1066,"[2]=505801,[4]=505802,[6]=505803,[7]=505804,[9]=505805,[11]=505806,[14]=505807,[16]=505808,[18]=505809",797,2,,,"{30001,40}",50011,505801,0
59,0,0,,39,1066,"[2]=505901,[4]=505902,[6]=505903,[7]=505904,[9]=505905,[11]=505906,[14]=505907,[16]=505908,[18]=505909",817,2,,,"{30001,41}",50011,505901,0
60,1,10,20,40,1066,"[2]=506001,[4]=506002,[6]=506003,[7]=506004,[9]=506005,[11]=506006,[14]=506007,[16]=506008,[18]=506009",838,2,,,"{30001,42}",50011,506001,1
61,0,0,,40,1066,"[2]=506101,[4]=506102,[6]=506103,[7]=506104,[9]=506105,[11]=506106,[14]=506107,[16]=506108,[18]=506109",838,2,,,"{30001,42}",50011,506101,0
62,0,0,,41,1066,"[2]=506201,[4]=506202,[6]=506203,[7]=506204,[9]=506205,[11]=506206,[14]=506207,[16]=506208,[18]=506209",838,2,,,"{30001,42}",50011,506201,0
63,0,0,,41,1066,"[2]=506301,[4]=506302,[6]=506303,[7]=506304,[9]=506305,[11]=506306,[14]=506307,[16]=506308,[18]=506309",838,2,,,"{30001,42}",50011,506301,0
64,0,0,,42,1066,"[2]=506401,[4]=506402,[6]=506403,[7]=506404,[9]=506405,[11]=506406,[14]=506407,[16]=506408,[18]=506409",838,2,,,"{30001,42}",50011,506401,0
65,0,0,,42,1066,"[2]=506501,[4]=506502,[6]=506503,[7]=506504,[9]=506505,[11]=506506,[14]=506507,[16]=506508,[18]=506509",838,2,,,"{30001,42}",50011,506501,0
66,0,0,,43,1066,"[2]=506601,[4]=506602,[6]=506603,[7]=506604,[9]=506605,[11]=506606,[14]=506607,[16]=506608,[18]=506609",838,2,,,"{30001,42}",50011,506601,0
67,0,0,,43,1066,"[2]=506701,[4]=506702,[6]=506703,[7]=506704,[9]=506705,[11]=506706,[14]=506707,[16]=506708,[18]=506709",838,2,,,"{30001,42}",50011,506701,0
68,0,0,,44,1066,"[2]=506801,[4]=506802,[6]=506803,[7]=506804,[9]=506805,[11]=506806,[14]=506807,[16]=506808,[18]=506809",838,2,,,"{30001,42}",50011,506801,0
69,0,0,,44,1066,"[2]=506901,[4]=506902,[6]=506903,[7]=506904,[9]=506905,[11]=506906,[14]=506907,[16]=506908,[18]=506909",838,2,,,"{30001,42}",50011,506901,0
70,1,10,20,45,1066,"[2]=507001,[4]=507002,[6]=507003,[7]=507004,[9]=507005,[11]=507006,[14]=507007,[16]=507008,[18]=507009",838,2,,,"{30001,42}",50011,507001,1
71,0,0,,45,1066,"[2]=507101,[4]=507102,[6]=507103,[7]=507104,[9]=507105,[11]=507106,[14]=507107,[16]=507108,[18]=507109",838,2,,,"{30001,42}",50011,507101,0
72,0,0,,46,1066,"[2]=507201,[4]=507202,[6]=507203,[7]=507204,[9]=507205,[11]=507206,[14]=507207,[16]=507208,[18]=507209",838,2,,,"{30001,42}",50011,507201,0
73,0,0,,46,1066,"[2]=507301,[4]=507302,[6]=507303,[7]=507304,[9]=507305,[11]=507306,[14]=507307,[16]=507308,[18]=507309",838,2,,,"{30001,42}",50011,507301,0
74,0,0,,47,1066,"[2]=507401,[4]=507402,[6]=507403,[7]=507404,[9]=507405,[11]=507406,[14]=507407,[16]=507408,[18]=507409",838,2,,,"{30001,42}",50011,507401,0
75,0,0,,47,1066,"[2]=507501,[4]=507502,[6]=507503,[7]=507504,[9]=507505,[11]=507506,[14]=507507,[16]=507508,[18]=507509",838,2,,,"{30001,42}",50011,507501,0
76,0,0,,48,1066,"[2]=507601,[4]=507602,[6]=507603,[7]=507604,[9]=507605,[11]=507606,[14]=507607,[16]=507608,[18]=507609",838,2,,,"{30001,42}",50011,507601,0
77,0,0,,48,1066,"[2]=507701,[4]=507702,[6]=507703,[7]=507704,[9]=507705,[11]=507706,[14]=507707,[16]=507708,[18]=507709",838,2,,,"{30001,42}",50011,507701,0
78,0,0,,49,1066,"[2]=507801,[4]=507802,[6]=507803,[7]=507804,[9]=507805,[11]=507806,[14]=507807,[16]=507808,[18]=507809",838,2,,,"{30001,42}",50011,507801,0
79,0,0,,49,1066,"[2]=507901,[4]=507902,[6]=507903,[7]=507904,[9]=507905,[11]=507906,[14]=507907,[16]=507908,[18]=507909",838,2,,,"{30001,42}",50011,507901,0
80,1,10,20,50,1066,"[2]=508001,[4]=508002,[6]=508003,[7]=508004,[9]=508005,[11]=508006,[14]=508007,[16]=508008,[18]=508009",838,2,,,"{30001,42}",50011,508001,1
81,0,0,,61,1066,"[2]=508101,[4]=508102,[6]=508103,[7]=508104,[9]=508105,[11]=508106,[14]=508107,[16]=508108,[18]=508109",858,2,,,"{30001,43}",50011,508101,0
82,0,0,,62,1066,"[2]=508201,[4]=508202,[6]=508203,[7]=508204,[9]=508205,[11]=508206,[14]=508207,[16]=508208,[18]=508209",880,2,,,"{30001,44}",50011,508201,0
83,0,0,,63,1066,"[2]=508301,[4]=508302,[6]=508303,[7]=508304,[9]=508305,[11]=508306,[14]=508307,[16]=508308,[18]=508309",902,2,,,"{30001,45}",50011,508301,0
84,0,0,,64,1066,"[2]=508401,[4]=508402,[6]=508403,[7]=508404,[9]=508405,[11]=508406,[14]=508407,[16]=508408,[18]=508409",925,2,,,"{30001,46}",50011,508401,0
85,0,0,,65,1066,"[2]=508501,[4]=508502,[6]=508503,[7]=508504,[9]=508505,[11]=508506,[14]=508507,[16]=508508,[18]=508509",948,2,,,"{30001,47}",50011,508501,0
86,0,0,,66,1066,"[2]=508601,[4]=508602,[6]=508603,[7]=508604,[9]=508605,[11]=508606,[14]=508607,[16]=508608,[18]=508609",971,2,,,"{30001,49}",50011,508601,0
87,0,0,,67,1066,"[2]=508701,[4]=508702,[6]=508703,[7]=508704,[9]=508705,[11]=508706,[14]=508707,[16]=508708,[18]=508709",996,2,,,"{30001,50}",50011,508701,0
88,0,0,,68,1066,"[2]=508801,[4]=508802,[6]=508803,[7]=508804,[9]=508805,[11]=508806,[14]=508807,[16]=508808,[18]=508809",1020,2,,,"{30001,51}",50011,508801,0
89,0,0,,69,1066,"[2]=508901,[4]=508902,[6]=508903,[7]=508904,[9]=508905,[11]=508906,[14]=508907,[16]=508908,[18]=508909",1046,2,,,"{30001,52}",50011,508901,0
90,0,0,,70,1066,"[2]=509001,[4]=509002,[6]=509003,[7]=509004,[9]=509005,[11]=509006,[14]=509007,[16]=509008,[18]=509009",1072,2,,,"{30001,54}",50011,509001,1
91,0,0,,71,1066,"[2]=509101,[4]=509102,[6]=509103,[7]=509104,[9]=509105,[11]=509106,[14]=509107,[16]=509108,[18]=509109",1099,2,,,"{30001,55}",50011,509101,0
92,0,0,,72,1066,"[2]=509201,[4]=509202,[6]=509203,[7]=509204,[9]=509205,[11]=509206,[14]=509207,[16]=509208,[18]=509209",1126,2,,,"{30001,56}",50011,509201,0
93,0,0,,73,1066,"[2]=509301,[4]=509302,[6]=509303,[7]=509304,[9]=509305,[11]=509306,[14]=509307,[16]=509308,[18]=509309",1155,2,,,"{30001,58}",50011,509301,0
94,0,0,,74,1066,"[2]=509401,[4]=509402,[6]=509403,[7]=509404,[9]=509405,[11]=509406,[14]=509407,[16]=509408,[18]=509409",1183,2,,,"{30001,59}",50011,509401,0
95,0,0,,75,1066,"[2]=509501,[4]=509502,[6]=509503,[7]=509504,[9]=509505,[11]=509506,[14]=509507,[16]=509508,[18]=509509",1213,2,,,"{30001,61}",50011,509501,0
96,0,0,,76,1066,"[2]=509601,[4]=509602,[6]=509603,[7]=509604,[9]=509605,[11]=509606,[14]=509607,[16]=509608,[18]=509609",1243,2,,,"{30001,62}",50011,509601,0
97,0,0,,77,1066,"[2]=509701,[4]=509702,[6]=509703,[7]=509704,[9]=509705,[11]=509706,[14]=509707,[16]=509708,[18]=509709",1274,2,,,"{30001,64}",50011,509701,0
98,0,0,,78,1066,"[2]=509801,[4]=509802,[6]=509803,[7]=509804,[9]=509805,[11]=509806,[14]=509807,[16]=509808,[18]=509809",1306,2,,,"{30001,65}",50011,509801,0
99,0,0,,79,1066,"[2]=509901,[4]=509902,[6]=509903,[7]=509904,[9]=509905,[11]=509906,[14]=509907,[16]=509908,[18]=509909",1339,2,,,"{30001,67}",50011,509901,0
100,0,0,,80,1066,"[2]=510001,[4]=510002,[6]=510003,[7]=510004,[9]=510005,[11]=510006,[14]=510007,[16]=510008,[18]=510009",1372,2,,,"{30001,69}",50011,510001,1
