战斗类型,活动索引,活动标题,奖励描述
8,45,第8劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,46,第8劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,47,第8劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,48,第9劫(1),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,49,第9劫(2),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,50,第9劫(3),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,51,第9劫(4),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,52,第9劫(5),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
8,53,第9劫(6),奖励：元宝、女王属性丹、法宝进阶石、进阶丹
10,11,坐骑副本,奖励：元宝、坐骑进阶丹
10,12,宠物副本,奖励：元宝、宠物进阶丹
10,13,精炼副本,奖励：元宝、精炼石
10,14,仙君副本,奖励：元宝、仙君进阶丹
10,15,锻炼副本,奖励：元宝、锻炼石
10,16,宝石副本,奖励：元宝、宝石精华
10,17,天仙副本,奖励：元宝、天仙进阶丹
10,18,神兵副本,奖励：元宝、神兵进阶丹
10,19,翅膀副本,奖励：元宝、翅膀进阶丹
10,20,法阵副本,奖励：元宝、法阵进阶丹
10,21,神位副本,奖励：元宝、神位进阶丹
10,22,通灵副本,奖励：元宝、通灵进阶丹
10,23,元神副本,奖励：元宝、元神进阶丹
10,24,房屋副本,奖励：元宝、房屋进阶石
11,11,皇城天塔 第1层,奖励：经验、银两、金装碎片
11,12,皇城天塔 第2层,奖励：经验、银两、金装碎片
11,13,皇城天塔 第3层,奖励：经验、银两、金装碎片
11,14,皇城天塔 第4层,奖励：经验、银两、金装碎片
11,15,皇城天塔 第5层,奖励：经验、银两、金装碎片
11,16,皇城天塔 第6层,奖励：经验、银两、金装碎片
11,17,皇城天塔 第7层,奖励：经验、银两、金装碎片
11,18,皇城天塔 第8层,奖励：经验、银两、金装碎片
11,19,皇城天塔 第9层,奖励：经验、银两、金装碎片
11,20,皇城天塔 第10层,奖励：经验、银两、金装碎片
11,21,皇城天塔 第11层,奖励：经验、银两、金装碎片
11,22,皇城天塔 第12层,奖励：经验、银两、金装碎片
11,23,皇城天塔 第13层,奖励：经验、银两、金装碎片
11,24,皇城天塔 第14层,奖励：经验、银两、金装碎片
11,25,皇城天塔 第15层,奖励：经验、银两、金装碎片
11,26,皇城天塔 第16层,奖励：经验、银两、金装碎片
11,27,皇城天塔 第17层,奖励：经验、银两、金装碎片
11,28,皇城天塔 第18层,奖励：经验、银两、金装碎片
11,29,皇城天塔 第19层,奖励：经验、银两、金装碎片
11,30,皇城天塔 第20层,奖励：经验、银两、金装碎片
11,31,皇城天塔 第21层,奖励：经验、银两、金装碎片
11,32,皇城天塔 第22层,奖励：经验、银两、金装碎片
11,33,皇城天塔 第23层,奖励：经验、银两、金装碎片
11,34,皇城天塔 第24层,奖励：经验、银两、金装碎片
11,35,皇城天塔 第25层,奖励：经验、银两、金装碎片
11,36,皇城天塔 第26层,奖励：经验、银两、金装碎片
11,37,皇城天塔 第27层,奖励：经验、银两、金装碎片
11,38,皇城天塔 第28层,奖励：经验、银两、金装碎片
11,39,皇城天塔 第29层,奖励：经验、银两、金装碎片
11,40,皇城天塔 第30层,奖励：经验、银两、金装碎片
11,41,皇城天塔 第31层,奖励：经验、银两、金装碎片
11,42,皇城天塔 第32层,奖励：经验、银两、金装碎片
11,43,皇城天塔 第33层,奖励：经验、银两、金装碎片
11,44,皇城天塔 第34层,奖励：经验、银两、金装碎片
11,45,皇城天塔 第35层,奖励：经验、银两、金装碎片
11,46,皇城天塔 第36层,奖励：经验、银两、金装碎片
11,47,皇城天塔 第37层,奖励：经验、银两、金装碎片
11,48,皇城天塔 第38层,奖励：经验、银两、金装碎片
11,49,皇城天塔 第39层,奖励：经验、银两、金装碎片
11,50,皇城天塔 第40层,奖励：经验、银两、金装碎片
11,51,皇城天塔 第41层,奖励：经验、银两、金装碎片
11,52,皇城天塔 第42层,奖励：经验、银两、金装碎片
11,53,皇城天塔 第43层,奖励：经验、银两、金装碎片
11,54,皇城天塔 第44层,奖励：经验、银两、金装碎片
11,55,皇城天塔 第45层,奖励：经验、银两、金装碎片
11,56,皇城天塔 第46层,奖励：经验、银两、金装碎片
11,57,皇城天塔 第47层,奖励：经验、银两、金装碎片
11,58,皇城天塔 第48层,奖励：经验、银两、金装碎片
11,59,皇城天塔 第49层,奖励：经验、银两、金装碎片
11,60,皇城天塔 第50层,奖励：经验、银两、金装碎片
11,61,皇城天塔 第51层,奖励：经验、银两、金装碎片
11,62,皇城天塔 第52层,奖励：经验、银两、金装碎片
11,63,皇城天塔 第53层,奖励：经验、银两、金装碎片
11,64,皇城天塔 第54层,奖励：经验、银两、金装碎片
11,65,皇城天塔 第55层,奖励：经验、银两、金装碎片
11,66,皇城天塔 第56层,奖励：经验、银两、金装碎片
11,67,皇城天塔 第57层,奖励：经验、银两、金装碎片
11,68,皇城天塔 第58层,奖励：经验、银两、金装碎片
11,69,皇城天塔 第59层,奖励：经验、银两、金装碎片
11,70,皇城天塔 第60层,奖励：经验、银两、金装碎片
11,71,皇城天塔 第61层,奖励：经验、银两、金装碎片
11,72,皇城天塔 第62层,奖励：经验、银两、金装碎片
11,73,皇城天塔 第63层,奖励：经验、银两、金装碎片
11,74,皇城天塔 第64层,奖励：经验、银两、金装碎片
11,75,皇城天塔 第65层,奖励：经验、银两、金装碎片
11,76,皇城天塔 第66层,奖励：经验、银两、金装碎片
11,77,皇城天塔 第67层,奖励：经验、银两、金装碎片
11,78,皇城天塔 第68层,奖励：经验、银两、金装碎片
11,79,皇城天塔 第69层,奖励：经验、银两、金装碎片
11,80,皇城天塔 第70层,奖励：经验、银两、金装碎片
11,81,皇城天塔 第71层,奖励：经验、银两、金装碎片
11,82,皇城天塔 第72层,奖励：经验、银两、金装碎片
11,83,皇城天塔 第73层,奖励：经验、银两、金装碎片
11,84,皇城天塔 第74层,奖励：经验、银两、金装碎片
11,85,皇城天塔 第75层,奖励：经验、银两、金装碎片
11,86,皇城天塔 第76层,奖励：经验、银两、金装碎片
11,87,皇城天塔 第77层,奖励：经验、银两、金装碎片
11,88,皇城天塔 第78层,奖励：经验、银两、金装碎片
11,89,皇城天塔 第79层,奖励：经验、银两、金装碎片
11,90,皇城天塔 第80层,奖励：经验、银两、金装碎片
11,91,皇城天塔 第81层,奖励：经验、银两、金装碎片
11,92,皇城天塔 第82层,奖励：经验、银两、金装碎片
11,93,皇城天塔 第83层,奖励：经验、银两、金装碎片
11,94,皇城天塔 第84层,奖励：经验、银两、金装碎片
11,95,皇城天塔 第85层,奖励：经验、银两、金装碎片
11,96,皇城天塔 第86层,奖励：经验、银两、金装碎片
11,97,皇城天塔 第87层,奖励：经验、银两、金装碎片
11,98,皇城天塔 第88层,奖励：经验、银两、金装碎片
11,99,皇城天塔 第89层,奖励：经验、银两、金装碎片
11,100,皇城天塔 第90层,奖励：经验、银两、金装碎片
11,101,皇城天塔 第91层,奖励：经验、银两、金装碎片
11,102,皇城天塔 第92层,奖励：经验、银两、金装碎片
11,103,皇城天塔 第93层,奖励：经验、银两、金装碎片
11,104,皇城天塔 第94层,奖励：经验、银两、金装碎片
11,105,皇城天塔 第95层,奖励：经验、银两、金装碎片
11,106,皇城天塔 第96层,奖励：经验、银两、金装碎片
11,107,皇城天塔 第97层,奖励：经验、银两、金装碎片
11,108,皇城天塔 第98层,奖励：经验、银两、金装碎片
11,109,皇城天塔 第99层,奖励：经验、银两、金装碎片
11,110,皇城天塔 第100层,奖励：经验、银两、金装碎片
11,111,皇城天塔 第101层,奖励：经验、银两、金装碎片
11,112,皇城天塔 第102层,奖励：经验、银两、金装碎片
11,113,皇城天塔 第103层,奖励：经验、银两、金装碎片
11,114,皇城天塔 第104层,奖励：经验、银两、金装碎片
11,115,皇城天塔 第105层,奖励：经验、银两、金装碎片
11,116,皇城天塔 第106层,奖励：经验、银两、金装碎片
11,117,皇城天塔 第107层,奖励：经验、银两、金装碎片
11,118,皇城天塔 第108层,奖励：经验、银两、金装碎片
11,119,皇城天塔 第109层,奖励：经验、银两、金装碎片
11,120,皇城天塔 第110层,奖励：经验、银两、金装碎片
11,121,皇城天塔 第111层,奖励：经验、银两、金装碎片
11,122,皇城天塔 第112层,奖励：经验、银两、金装碎片
11,123,皇城天塔 第113层,奖励：经验、银两、金装碎片
11,124,皇城天塔 第114层,奖励：经验、银两、金装碎片
11,125,皇城天塔 第115层,奖励：经验、银两、金装碎片
11,126,皇城天塔 第116层,奖励：经验、银两、金装碎片
11,127,皇城天塔 第117层,奖励：经验、银两、金装碎片
11,128,皇城天塔 第118层,奖励：经验、银两、金装碎片
11,129,皇城天塔 第119层,奖励：经验、银两、金装碎片
11,130,皇城天塔 第120层,奖励：经验、银两、金装碎片
11,131,皇城天塔 第121层,奖励：经验、银两、金装碎片
11,132,皇城天塔 第122层,奖励：经验、银两、金装碎片
11,133,皇城天塔 第123层,奖励：经验、银两、金装碎片
11,134,皇城天塔 第124层,奖励：经验、银两、金装碎片
11,135,皇城天塔 第125层,奖励：经验、银两、金装碎片
11,136,皇城天塔 第126层,奖励：经验、银两、金装碎片
11,137,皇城天塔 第127层,奖励：经验、银两、金装碎片
11,138,皇城天塔 第128层,奖励：经验、银两、金装碎片
11,139,皇城天塔 第129层,奖励：经验、银两、金装碎片
11,140,皇城天塔 第130层,奖励：经验、银两、金装碎片
11,141,皇城天塔 第131层,奖励：经验、银两、金装碎片
11,142,皇城天塔 第132层,奖励：经验、银两、金装碎片
11,143,皇城天塔 第133层,奖励：经验、银两、金装碎片
11,144,皇城天塔 第134层,奖励：经验、银两、金装碎片
11,145,皇城天塔 第135层,奖励：经验、银两、金装碎片
11,146,皇城天塔 第136层,奖励：经验、银两、金装碎片
11,147,皇城天塔 第137层,奖励：经验、银两、金装碎片
11,148,皇城天塔 第138层,奖励：经验、银两、金装碎片
11,149,皇城天塔 第139层,奖励：经验、银两、金装碎片
11,150,皇城天塔 第140层,奖励：经验、银两、金装碎片
11,151,皇城天塔 第141层,奖励：经验、银两、金装碎片
11,152,皇城天塔 第142层,奖励：经验、银两、金装碎片
11,153,皇城天塔 第143层,奖励：经验、银两、金装碎片
11,154,皇城天塔 第144层,奖励：经验、银两、金装碎片
11,155,皇城天塔 第145层,奖励：经验、银两、金装碎片
11,156,皇城天塔 第146层,奖励：经验、银两、金装碎片
11,157,皇城天塔 第147层,奖励：经验、银两、金装碎片
11,158,皇城天塔 第148层,奖励：经验、银两、金装碎片
11,159,皇城天塔 第149层,奖励：经验、银两、金装碎片
11,160,皇城天塔 第150层,奖励：经验、银两、金装碎片
11,161,皇城天塔 第151层,奖励：经验、银两、金装碎片
11,162,皇城天塔 第152层,奖励：经验、银两、金装碎片
11,163,皇城天塔 第153层,奖励：经验、银两、金装碎片
11,164,皇城天塔 第154层,奖励：经验、银两、金装碎片
11,165,皇城天塔 第155层,奖励：经验、银两、金装碎片
11,166,皇城天塔 第156层,奖励：经验、银两、金装碎片
11,167,皇城天塔 第157层,奖励：经验、银两、金装碎片
11,168,皇城天塔 第158层,奖励：经验、银两、金装碎片
11,169,皇城天塔 第159层,奖励：经验、银两、金装碎片
11,170,皇城天塔 第160层,奖励：经验、银两、金装碎片
11,171,皇城天塔 第161层,奖励：经验、银两、金装碎片
11,172,皇城天塔 第162层,奖励：经验、银两、金装碎片
11,173,皇城天塔 第163层,奖励：经验、银两、金装碎片
11,174,皇城天塔 第164层,奖励：经验、银两、金装碎片
11,175,皇城天塔 第165层,奖励：经验、银两、金装碎片
11,176,皇城天塔 第166层,奖励：经验、银两、金装碎片
11,177,皇城天塔 第167层,奖励：经验、银两、金装碎片
11,178,皇城天塔 第168层,奖励：经验、银两、金装碎片
11,179,皇城天塔 第169层,奖励：经验、银两、金装碎片
11,180,皇城天塔 第170层,奖励：经验、银两、金装碎片
11,181,皇城天塔 第171层,奖励：经验、银两、金装碎片
11,182,皇城天塔 第172层,奖励：经验、银两、金装碎片
11,183,皇城天塔 第173层,奖励：经验、银两、金装碎片
11,184,皇城天塔 第174层,奖励：经验、银两、金装碎片
11,185,皇城天塔 第175层,奖励：经验、银两、金装碎片
11,186,皇城天塔 第176层,奖励：经验、银两、金装碎片
11,187,皇城天塔 第177层,奖励：经验、银两、金装碎片
11,188,皇城天塔 第178层,奖励：经验、银两、金装碎片
11,189,皇城天塔 第179层,奖励：经验、银两、金装碎片
11,190,皇城天塔 第180层,奖励：经验、银两、金装碎片
11,191,皇城天塔 第181层,奖励：经验、银两、金装碎片
11,192,皇城天塔 第182层,奖励：经验、银两、金装碎片
11,193,皇城天塔 第183层,奖励：经验、银两、金装碎片
11,194,皇城天塔 第184层,奖励：经验、银两、金装碎片
11,195,皇城天塔 第185层,奖励：经验、银两、金装碎片
11,196,皇城天塔 第186层,奖励：经验、银两、金装碎片
11,197,皇城天塔 第187层,奖励：经验、银两、金装碎片
11,198,皇城天塔 第188层,奖励：经验、银两、金装碎片
11,199,皇城天塔 第189层,奖励：经验、银两、金装碎片
11,200,皇城天塔 第190层,奖励：经验、银两、金装碎片
11,201,皇城天塔 第191层,奖励：经验、银两、金装碎片
11,202,皇城天塔 第192层,奖励：经验、银两、金装碎片
11,203,皇城天塔 第193层,奖励：经验、银两、金装碎片
11,204,皇城天塔 第194层,奖励：经验、银两、金装碎片
11,205,皇城天塔 第195层,奖励：经验、银两、金装碎片
11,206,皇城天塔 第196层,奖励：经验、银两、金装碎片
11,207,皇城天塔 第197层,奖励：经验、银两、金装碎片
11,208,皇城天塔 第198层,奖励：经验、银两、金装碎片
11,209,皇城天塔 第199层,奖励：经验、银两、金装碎片
11,210,皇城天塔 第200层,奖励：经验、银两、金装碎片
11,211,皇城天塔 第201层,奖励：经验、银两、金装碎片
11,212,皇城天塔 第202层,奖励：经验、银两、金装碎片
11,213,皇城天塔 第203层,奖励：经验、银两、金装碎片
11,214,皇城天塔 第204层,奖励：经验、银两、金装碎片
11,215,皇城天塔 第205层,奖励：经验、银两、金装碎片
11,216,皇城天塔 第206层,奖励：经验、银两、金装碎片
11,217,皇城天塔 第207层,奖励：经验、银两、金装碎片
11,218,皇城天塔 第208层,奖励：经验、银两、金装碎片
11,219,皇城天塔 第209层,奖励：经验、银两、金装碎片
11,220,皇城天塔 第210层,奖励：经验、银两、金装碎片
11,221,皇城天塔 第211层,奖励：经验、银两、金装碎片
11,222,皇城天塔 第212层,奖励：经验、银两、金装碎片
11,223,皇城天塔 第213层,奖励：经验、银两、金装碎片
11,224,皇城天塔 第214层,奖励：经验、银两、金装碎片
11,225,皇城天塔 第215层,奖励：经验、银两、金装碎片
11,226,皇城天塔 第216层,奖励：经验、银两、金装碎片
11,227,皇城天塔 第217层,奖励：经验、银两、金装碎片
11,228,皇城天塔 第218层,奖励：经验、银两、金装碎片
11,229,皇城天塔 第219层,奖励：经验、银两、金装碎片
11,230,皇城天塔 第220层,奖励：经验、银两、金装碎片
11,231,皇城天塔 第221层,奖励：经验、银两、金装碎片
11,232,皇城天塔 第222层,奖励：经验、银两、金装碎片
11,233,皇城天塔 第223层,奖励：经验、银两、金装碎片
11,234,皇城天塔 第224层,奖励：经验、银两、金装碎片
11,235,皇城天塔 第225层,奖励：经验、银两、金装碎片
11,236,皇城天塔 第226层,奖励：经验、银两、金装碎片
11,237,皇城天塔 第227层,奖励：经验、银两、金装碎片
11,238,皇城天塔 第228层,奖励：经验、银两、金装碎片
11,239,皇城天塔 第229层,奖励：经验、银两、金装碎片
11,240,皇城天塔 第230层,奖励：经验、银两、金装碎片
11,241,皇城天塔 第231层,奖励：经验、银两、金装碎片
11,242,皇城天塔 第232层,奖励：经验、银两、金装碎片
11,243,皇城天塔 第233层,奖励：经验、银两、金装碎片
11,244,皇城天塔 第234层,奖励：经验、银两、金装碎片
11,245,皇城天塔 第235层,奖励：经验、银两、金装碎片
11,246,皇城天塔 第236层,奖励：经验、银两、金装碎片
11,247,皇城天塔 第237层,奖励：经验、银两、金装碎片
11,248,皇城天塔 第238层,奖励：经验、银两、金装碎片
11,249,皇城天塔 第239层,奖励：经验、银两、金装碎片
11,250,皇城天塔 第240层,奖励：经验、银两、金装碎片
11,251,皇城天塔 第241层,奖励：经验、银两、金装碎片
11,252,皇城天塔 第242层,奖励：经验、银两、金装碎片
11,253,皇城天塔 第243层,奖励：经验、银两、金装碎片
11,254,皇城天塔 第244层,奖励：经验、银两、金装碎片
11,255,皇城天塔 第245层,奖励：经验、银两、金装碎片
11,256,皇城天塔 第246层,奖励：经验、银两、金装碎片
11,257,皇城天塔 第247层,奖励：经验、银两、金装碎片
11,258,皇城天塔 第248层,奖励：经验、银两、金装碎片
11,259,皇城天塔 第249层,奖励：经验、银两、金装碎片
11,260,皇城天塔 第250层,奖励：经验、银两、金装碎片
11,261,皇城天塔 第251层,奖励：经验、银两、金装碎片
11,262,皇城天塔 第252层,奖励：经验、银两、金装碎片
11,263,皇城天塔 第253层,奖励：经验、银两、金装碎片
11,264,皇城天塔 第254层,奖励：经验、银两、金装碎片
11,265,皇城天塔 第255层,奖励：经验、银两、金装碎片
11,266,皇城天塔 第256层,奖励：经验、银两、金装碎片
11,267,皇城天塔 第257层,奖励：经验、银两、金装碎片
11,268,皇城天塔 第258层,奖励：经验、银两、金装碎片
11,269,皇城天塔 第259层,奖励：经验、银两、金装碎片
11,270,皇城天塔 第260层,奖励：经验、银两、金装碎片
11,271,皇城天塔 第261层,奖励：经验、银两、金装碎片
11,272,皇城天塔 第262层,奖励：经验、银两、金装碎片
11,273,皇城天塔 第263层,奖励：经验、银两、金装碎片
11,274,皇城天塔 第264层,奖励：经验、银两、金装碎片
11,275,皇城天塔 第265层,奖励：经验、银两、金装碎片
11,276,皇城天塔 第266层,奖励：经验、银两、金装碎片
11,277,皇城天塔 第267层,奖励：经验、银两、金装碎片
11,278,皇城天塔 第268层,奖励：经验、银两、金装碎片
11,279,皇城天塔 第269层,奖励：经验、银两、金装碎片
11,280,皇城天塔 第270层,奖励：经验、银两、金装碎片
11,281,皇城天塔 第271层,奖励：经验、银两、金装碎片
11,282,皇城天塔 第272层,奖励：经验、银两、金装碎片
11,283,皇城天塔 第273层,奖励：经验、银两、金装碎片
11,284,皇城天塔 第274层,奖励：经验、银两、金装碎片
11,285,皇城天塔 第275层,奖励：经验、银两、金装碎片
11,286,皇城天塔 第276层,奖励：经验、银两、金装碎片
11,287,皇城天塔 第277层,奖励：经验、银两、金装碎片
11,288,皇城天塔 第278层,奖励：经验、银两、金装碎片
11,289,皇城天塔 第279层,奖励：经验、银两、金装碎片
11,290,皇城天塔 第280层,奖励：经验、银两、金装碎片
11,291,皇城天塔 第281层,奖励：经验、银两、金装碎片
11,292,皇城天塔 第282层,奖励：经验、银两、金装碎片
11,293,皇城天塔 第283层,奖励：经验、银两、金装碎片
11,294,皇城天塔 第284层,奖励：经验、银两、金装碎片
11,295,皇城天塔 第285层,奖励：经验、银两、金装碎片
11,296,皇城天塔 第286层,奖励：经验、银两、金装碎片
11,297,皇城天塔 第287层,奖励：经验、银两、金装碎片
11,298,皇城天塔 第288层,奖励：经验、银两、金装碎片
11,299,皇城天塔 第289层,奖励：经验、银两、金装碎片
11,300,皇城天塔 第290层,奖励：经验、银两、金装碎片
11,301,皇城天塔 第291层,奖励：经验、银两、金装碎片
11,302,皇城天塔 第292层,奖励：经验、银两、金装碎片
11,303,皇城天塔 第293层,奖励：经验、银两、金装碎片
11,304,皇城天塔 第294层,奖励：经验、银两、金装碎片
11,305,皇城天塔 第295层,奖励：经验、银两、金装碎片
11,306,皇城天塔 第296层,奖励：经验、银两、金装碎片
11,307,皇城天塔 第297层,奖励：经验、银两、金装碎片
11,308,皇城天塔 第298层,奖励：经验、银两、金装碎片
11,309,皇城天塔 第299层,奖励：经验、银两、金装碎片
11,310,皇城天塔 第300层,奖励：经验、银两、金装碎片
12,11,三界试炼 第1关,奖励：银两、仙君进阶丹
12,12,三界试炼 第2关,奖励：银两、仙君进阶丹
12,13,三界试炼 第3关,奖励：银两、仙君进阶丹
12,14,三界试炼 第4关,奖励：银两、仙君进阶丹
12,15,三界试炼 第5关,奖励：银两、仙君进阶丹
12,16,三界试炼 第6关,奖励：银两、仙君进阶丹
12,17,三界试炼 第7关,奖励：银两、仙君进阶丹
12,18,三界试炼 第8关,奖励：银两、仙君进阶丹
12,19,三界试炼 第9关,奖励：银两、仙君进阶丹
12,20,三界试炼 第10关,奖励：银两、仙君进阶丹
12,21,三界试炼 第11关,奖励：银两、仙君进阶丹
12,22,三界试炼 第12关,奖励：银两、仙君进阶丹
12,23,三界试炼 第13关,奖励：银两、仙君进阶丹
12,24,三界试炼 第14关,奖励：银两、仙君进阶丹
12,25,三界试炼 第15关,奖励：银两、仙君进阶丹
12,26,三界试炼 第16关,奖励：银两、仙君进阶丹
12,27,三界试炼 第17关,奖励：银两、仙君进阶丹
12,28,三界试炼 第18关,奖励：银两、仙君进阶丹
12,29,三界试炼 第19关,奖励：银两、仙君进阶丹
12,30,三界试炼 第20关,奖励：银两、仙君进阶丹
12,31,三界试炼 第21关,奖励：银两、仙君进阶丹
12,32,三界试炼 第22关,奖励：银两、仙君进阶丹
12,33,三界试炼 第23关,奖励：银两、仙君进阶丹
12,34,三界试炼 第24关,奖励：银两、仙君进阶丹
12,35,三界试炼 第25关,奖励：银两、仙君进阶丹
12,36,三界试炼 第26关,奖励：银两、仙君进阶丹
12,37,三界试炼 第27关,奖励：银两、仙君进阶丹
12,38,三界试炼 第28关,奖励：银两、仙君进阶丹
12,39,三界试炼 第29关,奖励：银两、仙君进阶丹
12,40,三界试炼 第30关,奖励：银两、仙君进阶丹
12,41,三界试炼 第31关,奖励：银两、仙君进阶丹
12,42,三界试炼 第32关,奖励：银两、仙君进阶丹
12,43,三界试炼 第33关,奖励：银两、仙君进阶丹
12,44,三界试炼 第34关,奖励：银两、仙君进阶丹
12,45,三界试炼 第35关,奖励：银两、仙君进阶丹
12,46,三界试炼 第36关,奖励：银两、仙君进阶丹
12,47,三界试炼 第37关,奖励：银两、仙君进阶丹
12,48,三界试炼 第38关,奖励：银两、仙君进阶丹
12,49,三界试炼 第39关,奖励：银两、仙君进阶丹
12,50,三界试炼 第40关,奖励：银两、仙君进阶丹
12,51,三界试炼 第41关,奖励：银两、仙君进阶丹
12,52,三界试炼 第42关,奖励：银两、仙君进阶丹
12,53,三界试炼 第43关,奖励：银两、仙君进阶丹
12,54,三界试炼 第44关,奖励：银两、仙君进阶丹
12,55,三界试炼 第45关,奖励：银两、仙君进阶丹
12,56,三界试炼 第46关,奖励：银两、仙君进阶丹
12,57,三界试炼 第47关,奖励：银两、仙君进阶丹
12,58,三界试炼 第48关,奖励：银两、仙君进阶丹
12,59,三界试炼 第49关,奖励：银两、仙君进阶丹
12,60,三界试炼 第50关,奖励：银两、仙君进阶丹
12,61,三界试炼 第51关,奖励：银两、仙君进阶丹
12,62,三界试炼 第52关,奖励：银两、仙君进阶丹
12,63,三界试炼 第53关,奖励：银两、仙君进阶丹
12,64,三界试炼 第54关,奖励：银两、仙君进阶丹
12,65,三界试炼 第55关,奖励：银两、仙君进阶丹
12,66,三界试炼 第56关,奖励：银两、仙君进阶丹
12,67,三界试炼 第57关,奖励：银两、仙君进阶丹
12,68,三界试炼 第58关,奖励：银两、仙君进阶丹
12,69,三界试炼 第59关,奖励：银两、仙君进阶丹
12,70,三界试炼 第60关,奖励：银两、仙君进阶丹
12,71,三界试炼 第61关,奖励：银两、仙君进阶丹
12,72,三界试炼 第62关,奖励：银两、仙君进阶丹
12,73,三界试炼 第63关,奖励：银两、仙君进阶丹
12,74,三界试炼 第64关,奖励：银两、仙君进阶丹
12,75,三界试炼 第65关,奖励：银两、仙君进阶丹
12,76,三界试炼 第66关,奖励：银两、仙君进阶丹
12,77,三界试炼 第67关,奖励：银两、仙君进阶丹
12,78,三界试炼 第68关,奖励：银两、仙君进阶丹
