,名称,模型,难度系数,等级,生命上限,面板物理攻击,防御,出手速度,暴击值,抗暴值,爆伤加成,闪避值,命中值,无视防御,减免无视,暴伤减免,伤害增加,伤害减少,PVP伤加,PVP伤减,PVE伤加,PVE伤减,技能列表,技能队列,头目,普通技能ID
101109,石狮,100007,0,10,293,1144,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
101110,魑,100041,0,10,4889,1467,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
101209,小骷髅,100003,0,10,274,1070,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
101210,靡籁,100036,0,10,4574,1372,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80132,"0,0,0,0",1,80132
101309,异面怪,100009,0,10,389,1516,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
101310,逸琼玄女,100032,0,10,6480,1944,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80114,"0,0,0,0",1,80114
101409,白熊精,20015,0,10,385,1500,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
101410,魑,100041,0,10,6409,1923,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
101509,五毒蝎,100021,0,10,374,1458,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
101510,云中子,100034,0,10,6229,1869,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80117,"0,0,0,0",1,80117
101609,麟鹿,100015,0,10,396,1544,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
101610,逸琼玄女,100032,0,10,6599,1980,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80114,"0,0,0,0",1,80114
101709,小骷髅,100003,0,10,408,1591,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
101710,云中子,100034,0,10,6798,2039,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80117,"0,0,0,0",1,80117
101809,蝶精灵,100010,0,10,425,1657,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
101810,宠物剑邪,100030,0,10,7080,2124,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
101909,古树精,100013,0,10,448,1749,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
101910,粉红兔,20002,0,10,7474,2242,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
102009,剑魂,100012,0,10,673,1924,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
102010,宠物剑邪,100030,0,10,11211,2466,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
102109,硬壳龟,100027,0,10,721,2061,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
102110,逸琼玄女,100032,0,10,12011,2642,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80114,"0,0,0,0",1,80114
102209,异面怪,100009,0,10,769,2198,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
102210,地狱三头犬,20025,0,10,12811,2818,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80099,"0,0,0,0",1,80099
102309,小僵尸,100019,0,10,817,2336,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
102310,靡籁,100036,0,10,13611,2994,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80132,"0,0,0,0",1,80132
102409,山精,100029,0,10,865,3267,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
102410,魑,100041,0,10,14411,4188,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
102509,林妖,100014,0,10,913,3501,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
102510,逸琼玄女,100032,0,10,15211,4488,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80114,"0,0,0,0",1,80114
102609,五毒蝎,100021,0,10,961,3735,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
102610,狐妖,20004,0,10,16011,4788,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80045,"0,0,0,0",1,80045
102709,硬壳龟,100027,0,10,1009,3969,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
102710,逸琼玄女,100032,0,10,16811,5088,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80114,"0,0,0,0",1,80114
102809,石狮,100007,0,10,1057,4203,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
102810,粉红兔,20002,0,10,17611,5388,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
102909,石狮,100007,0,10,1105,4437,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
102910,穷奇,100038,0,10,18411,5688,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80130,"0,0,0,0",1,80130
103009,小僵尸,100019,0,10,1326,4671,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
103010,地狱三头犬,20025,0,10,22093,5988,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80099,"0,0,0,0",1,80099
103109,小骷髅,100003,0,20,1513,4905,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
103110,云中子,100034,0,20,27500,6288,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80117,"0,0,0,0",1,80117
103209,跳跳鼠,100004,0,20,1518,5033,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
103210,宠物剑邪,100030,0,20,27600,6452,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
103309,林妖,100014,0,20,1524,5267,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
103310,星魔,20026,0,20,27700,6752,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80109,"0,0,0,0",1,80109
103409,小僵尸,100019,0,20,1529,5501,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
103410,粉红兔,20002,0,20,27800,7052,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
103509,冰火螳螂,100016,0,20,1535,5735,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
103510,玄武,20042,0,20,27900,7352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80126,"0,0,0,0",1,80126
103609,炎魔,100017,0,20,1540,5969,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
103610,龙龟,20017,0,20,28000,7652,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80104,"0,0,0,0",1,80104
103709,五毒蝎,100021,0,20,1546,6203,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
103710,小白虎,20011,0,20,28100,7952,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80101,"0,0,0,0",1,80101
103809,寒霜狼,100011,0,20,1551,6437,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
103810,小白虎,20011,0,20,28200,8252,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80101,"0,0,0,0",1,80101
103909,小僵尸,100019,0,20,1557,6671,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
103910,炼丹童子,17002,0,20,28300,8552,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80090,"0,0,0,0",1,80090
104009,小乌龟,100001,0,20,1667,6905,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
104010,多闻天王,17006,0,20,30300,8852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80122,"0,0,0,0",1,80122
104109,麟鹿,100015,0,20,1777,7139,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
104110,星魔,20026,0,20,32300,9152,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80109,"0,0,0,0",1,80109
104209,山精,100029,0,20,1887,7373,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
104210,剑邪,20012,0,20,34300,9452,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80053,"0,0,0,0",1,80053
104309,蝶精灵,100010,0,20,1997,7607,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
104310,鱼精,20005,0,20,36300,9752,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80046,"0,0,0,0",1,80046
104409,小僵尸,100019,0,20,2107,7841,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104410,白熊精,20015,0,20,38300,10052,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80056,"0,0,0,0",1,80056
104509,小僵尸,100019,0,20,2217,8075,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104510,宠物剑邪,100030,0,20,40300,10352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
104609,蝶精灵,100010,0,20,2327,8309,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
104610,剑侠兔,20031,0,20,42300,10652,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80111,"0,0,0,0",1,80111
104709,强盗,100002,0,20,2437,8543,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
104710,剑邪,20012,0,20,44300,10952,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80053,"0,0,0,0",1,80053
104809,跳跳鼠,100004,0,20,2547,8777,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
104810,蟹精,20010,0,20,46300,11252,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80051,"0,0,0,0",1,80051
104909,五毒蝎,100021,0,20,2657,9011,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
104910,熊猫,20021,0,20,48300,11552,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80106,"0,0,0,0",1,80106
105009,异面怪,100009,0,20,2767,9245,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
105010,狻猊,20037,0,20,50300,11852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80078,"0,0,0,0",1,80078
105109,巫龟,100022,0,20,2877,9479,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
105110,流浪剑客,17005,0,20,52300,12152,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80121,"0,0,0,0",1,80121
105209,蚌精,100005,0,20,2987,9713,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
105210,黑风老妖,20034,0,20,54300,12452,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80075,"0,0,0,0",1,80075
105309,利刃猿,100028,0,20,3097,9947,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
105310,深渊之龙,100039,0,20,56300,12752,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80131,"0,0,0,0",1,80131
105409,魔爪花,100025,0,20,3207,10181,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
105410,猿猴,20024,0,20,58300,13052,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80065,"0,0,0,0",1,80065
105509,魔爪花,100025,0,20,3317,10415,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
105510,龙龟,20017,0,20,60300,13352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80104,"0,0,0,0",1,80104
105609,石狮,100007,0,20,3427,10649,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
105610,雷震子,17010,0,20,62300,13652,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80129,"0,0,0,0",1,80129
105709,跳跳鼠,100004,0,20,3537,10883,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
105710,龙龟,20017,0,20,64300,13952,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80104,"0,0,0,0",1,80104
105809,石狮,100007,0,20,3647,11117,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
105810,粉红兔,20002,0,20,66300,14252,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
105909,灵猴,100023,0,20,3757,11351,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
105910,玉冥真人,100033,0,20,68300,14552,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80033,"0,0,0,0",1,80033
106009,白熊精,20015,0,20,3867,11585,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
106010,小白虎,20011,0,20,70300,14852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80101,"0,0,0,0",1,80101
106109,剑魂,100012,0,40,4002,11975,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
106110,粉红兔,20002,0,40,72761,15352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
106209,麟鹿,100015,0,40,4137,12365,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
106210,麒麟,20019,0,40,75221,15852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80105,"0,0,0,0",1,80105
106309,灵猴,100023,0,40,4272,12755,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
106310,招财猫,20035,0,40,77682,16352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80113,"0,0,0,0",1,80113
106409,瞌睡蛇,100020,0,40,4408,13145,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
106410,星魔,20026,0,40,80142,16852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80109,"0,0,0,0",1,80109
106509,白熊精,20015,0,40,4543,13535,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
106510,龙象精,20028,0,40,82603,17352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
106609,魔爪花,100025,0,40,4678,13925,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
106610,酒仙,20036,0,40,85064,17852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80077,"0,0,0,0",1,80077
106709,异面怪,100009,0,40,4814,14315,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
106710,鲨鱼精,20007,0,40,87524,18352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80048,"0,0,0,0",1,80048
106809,石巨人,100024,0,40,4949,14705,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
106810,龙象精,20028,0,40,89985,18852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
106909,利刃猿,100028,0,40,5084,15095,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
106910,龙龟,20017,0,40,92445,19352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80104,"0,0,0,0",1,80104
107009,巫龟,100022,0,40,5220,15485,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
107010,龙象精,20028,0,40,94906,19852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
107109,白熊精,20015,0,40,5355,15875,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
107110,深渊之龙,100039,0,40,97366,20352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80131,"0,0,0,0",1,80131
107209,强盗,100002,0,40,5490,16265,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
107210,穷奇,100038,0,40,99827,20852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80130,"0,0,0,0",1,80130
107309,寒霜狼,100011,0,40,5626,16655,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
107310,剑侠兔,20031,0,40,102288,21352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80111,"0,0,0,0",1,80111
107409,冰火螳螂,100016,0,40,5761,17045,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
107410,剑侠兔,20031,0,40,104748,21852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80111,"0,0,0,0",1,80111
107509,麟鹿,100015,0,40,5896,17435,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
107510,白熊精,20015,0,40,107209,22352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80056,"0,0,0,0",1,80056
107609,寒霜狼,100011,0,40,6032,17825,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
107610,玄武,20042,0,40,109669,22852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80126,"0,0,0,0",1,80126
107709,灵猴,100023,0,40,6167,18215,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
107710,黑水玄蛇,20022,0,40,112130,23352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80063,"0,0,0,0",1,80063
107809,利刃猿,100028,0,40,6302,18605,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
107810,晶魂,20018,0,40,114591,23852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80059,"0,0,0,0",1,80059
