任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
500002,4,封魔任务,1,40036,鱼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500002,5,封魔任务,1,40036,鱼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500002,6,封魔任务,1,40036,鱼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500003,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500003}},{2}",,,,,,,,,,
500003,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500003,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500003,4,封魔任务,1,40037,恶魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500003,5,封魔任务,1,40037,恶魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500003,6,封魔任务,1,40037,恶魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500004,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500004}},{2}",,,,,,,,,,
500004,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500004,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500004,4,封魔任务,1,40038,牛魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500004,5,封魔任务,1,40038,牛魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500004,6,封魔任务,1,40038,牛魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500005,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500005}},{2}",,,,,,,,,,
500005,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500005,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500005,4,封魔任务,1,40039,斧魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500005,5,封魔任务,1,40039,斧魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500005,6,封魔任务,1,40039,斧魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500006,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500006}},{2}",,,,,,,,,,
500006,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500006,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500006,4,封魔任务,1,40040,斧魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500006,5,封魔任务,1,40040,斧魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500006,6,封魔任务,1,40040,斧魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500007,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500007}},{2}",,,,,,,,,,
500007,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500007,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500007,4,封魔任务,1,40041,鱼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500007,5,封魔任务,1,40041,鱼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500007,6,封魔任务,1,40041,鱼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500008,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500008}},{2}",,,,,,,,,,
500008,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500008,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500008,4,封魔任务,1,40042,狼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500008,5,封魔任务,1,40042,狼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500008,6,封魔任务,1,40042,狼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500009,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500009}},{2}",,,,,,,,,,
500009,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500009,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500009,4,封魔任务,1,40043,狼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500009,5,封魔任务,1,40043,狼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500009,6,封魔任务,1,40043,狼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500010,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500010}},{2}",,,,,,,,,,
500010,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500010,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500010,4,封魔任务,1,40044,食人魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500010,5,封魔任务,1,40044,食人魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500010,6,封魔任务,1,40044,食人魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500011,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500011}},{2}",,,,,,,,,,
500011,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500011,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500011,4,封魔任务,1,40045,食人魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500011,5,封魔任务,1,40045,食人魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500011,6,封魔任务,1,40045,食人魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500012,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500012}},{2}",,,,,,,,,,
500012,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500012,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500012,4,封魔任务,1,40046,食人魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500012,5,封魔任务,1,40046,食人魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500012,6,封魔任务,1,40046,食人魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500013,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500013}},{2}",,,,,,,,,,
500013,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500013,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500013,4,封魔任务,1,40047,狼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500013,5,封魔任务,1,40047,狼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500013,6,封魔任务,1,40047,狼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500014,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500014}},{2}",,,,,,,,,,
500014,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500014,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500014,4,封魔任务,1,40048,狮鹫魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500014,5,封魔任务,1,40048,狮鹫魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500014,6,封魔任务,1,40048,狮鹫魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500015,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500015}},{2}",,,,,,,,,,
500015,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500015,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500015,4,封魔任务,1,40049,狮鹫魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500015,5,封魔任务,1,40049,狮鹫魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500015,6,封魔任务,1,40049,狮鹫魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500016,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500016}},{2}",,,,,,,,,,
500016,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500016,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500016,4,封魔任务,1,40050,狮鹫魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500016,5,封魔任务,1,40050,狮鹫魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500016,6,封魔任务,1,40050,狮鹫魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500017,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500017}},{2}",,,,,,,,,,
500017,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500017,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500017,4,封魔任务,1,40051,牛魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500017,5,封魔任务,1,40051,牛魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500017,6,封魔任务,1,40051,牛魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500018,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500018}},{2}",,,,,,,,,,
500018,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500018,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500018,4,封魔任务,1,40052,圣魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500018,5,封魔任务,1,40052,圣魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500018,6,封魔任务,1,40052,圣魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500019,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500019}},{2}",,,,,,,,,,
500019,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500019,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500019,4,封魔任务,1,40053,圣魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500019,5,封魔任务,1,40053,圣魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500019,6,封魔任务,1,40053,圣魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500020,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500020}},{2}",,,,,,,,,,
500020,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500020,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500020,4,封魔任务,1,40054,恶魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500020,5,封魔任务,1,40054,恶魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500020,6,封魔任务,1,40054,恶魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500021,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500021}},{2}",,,,,,,,,,
500021,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500021,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500021,4,封魔任务,1,40055,恶魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500021,5,封魔任务,1,40055,恶魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500021,6,封魔任务,1,40055,恶魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500022,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500022}},{2}",,,,,,,,,,
500022,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500022,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500022,4,封魔任务,1,40056,圣魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500022,5,封魔任务,1,40056,圣魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500022,6,封魔任务,1,40056,圣魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500023,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500023}},{2}",,,,,,,,,,
500023,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500023,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500023,4,封魔任务,1,40057,狮鹫魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500023,5,封魔任务,1,40057,狮鹫魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500023,6,封魔任务,1,40057,狮鹫魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500024,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500024}},{2}",,,,,,,,,,
500024,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500024,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500024,4,封魔任务,1,40058,狼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500024,5,封魔任务,1,40058,狼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500024,6,封魔任务,1,40058,狼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500025,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500025}},{2}",,,,,,,,,,
500025,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500025,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500025,4,封魔任务,1,40059,牛魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500025,5,封魔任务,1,40059,牛魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500025,6,封魔任务,1,40059,牛魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500026,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500026}},{2}",,,,,,,,,,
500026,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500026,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500026,4,封魔任务,1,40060,恶魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500026,5,封魔任务,1,40060,恶魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500026,6,封魔任务,1,40060,恶魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500027,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500027}},{2}",,,,,,,,,,
500027,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500027,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500027,4,封魔任务,1,40061,斧魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500027,5,封魔任务,1,40061,斧魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500027,6,封魔任务,1,40061,斧魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500028,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500028}},{2}",,,,,,,,,,
500028,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500028,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500028,4,封魔任务,1,40062,食人魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500028,5,封魔任务,1,40062,食人魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500028,6,封魔任务,1,40062,食人魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500029,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500029}},{2}",,,,,,,,,,
500029,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500029,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500029,4,封魔任务,1,40063,圣魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500029,5,封魔任务,1,40063,圣魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500029,6,封魔任务,1,40063,圣魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
