索引,物品Entry,物品名称,NpcEntry,Npc名称,货币单位（1金币 2晶石 3体力 4竞技积分 5时空碎片 6武斗积分）,购买单价,排序,限购次数,每周限购次数,终身限购
#70,40036,圣地大礼包,4,新手礼包,2,165,71,0,0,1
#71,40035,养成大礼包,4,新手礼包,2,175,72,0,0,1
#72,40038,装备强化礼包,4,新手礼包,2,1130,73,0,0,1
#73,40039,宙斯蜕变礼包,4,新手礼包,2,1350,74,0,0,1
#74,40037,技能升级礼包,5,大礼包,2,210,75,0,0,1
#75,40042,御灵礼包,5,大礼包,2,350,76,0,0,1
#76,40040,守护礼包1,5,大礼包,2,1000,77,0,0,1
#77,40041,守护礼包2,5,大礼包,2,3800,78,0,0,1
#78,40063,女神养成礼包,4,新手礼包,2,3257,79,0,0,1
#79,40064,魅力特惠礼包,4,新手礼包,2,480,80,0,0,1
#80,40065,蜕变礼包,4,新手礼包,2,3250,81,0,0,1
#81,40066,进阶大礼包,4,新手礼包,2,500,82,0,0,1
#82,40071,潘蜕变礼包,4,新手礼包,2,3000,83,0,0,1
#83,40072,装备培养礼包,4,新手礼包,2,2700,84,0,0,3
#84,40073,星辰大礼包,4,新手礼包,2,2990,85,0,0,20
#85,40074,强化石大礼包,4,新手礼包,2,600,86,0,0,5
#86,40077,魅力表白礼包,4,新手礼包,2,520,87,0,0,15
#87,40078,好运礼包,4,新手礼包,2,500,88,0,0,1
88,300001,悬铃木杖,2,竞技场,4,200,89,0,0,0
89,300002,学徒帽,2,竞技场,4,200,90,0,0,0
90,300003,针织护甲,2,竞技场,4,200,91,0,0,0
91,300004,力量指环,2,竞技场,4,200,92,0,0,0
92,300005,知识指环,2,竞技场,4,200,93,0,0,0
93,300006,磐石项链,2,竞技场,4,200,94,0,0,0
94,300007,修道项链,2,竞技场,4,200,95,0,0,0
95,300008,敏捷项链,2,竞技场,4,200,96,0,0,0
96,300009,符文项链,2,竞技场,4,200,97,0,0,0
97,300011,英雄腰带,2,竞技场,4,200,98,0,0,0
98,300000,长矛,2,竞技场,4,200,99,0,0,0
99,40082,神兵礼包,6,神秘商人,2,598,100,1,0,0
100,40083,异界礼包,6,神秘商人,2,400,101,1,0,0
101,40084,天天向上礼包,6,神秘商人,2,283,102,1,0,0
102,40095,进化石,13,天梯,13,22500,103,0,0,0
103,20001,鲜花,7,公会商城,19,1,104,0,0,0
104,40026,烂鸡蛋,7,公会商城,19,1,105,0,0,0
106,40079,重铸之石,7,公会商城,19,20,107,0,0,0
107,40003,中级强化石,7,公会商城,19,28,108,0,0,0
108,40012,抽奖券,7,公会商城,19,50,109,0,0,0
109,70008,守护源力,7,公会商城,19,50,110,0,0,0
110,40004,高级强化石,7,公会商城,19,60,111,0,0,0
111,30006,火龙果,7,公会商城,19,62,112,0,0,0
112,40013,能力印记,7,公会商城,19,100,113,0,0,0
113,40014,星辰图纸,7,公会商城,19,100,114,0,0,0
114,50024,神魂结晶,7,公会商城,19,100,115,0,0,0
115,40069,装备鉴定券,7,公会商城,19,200,116,0,0,0
116,40095,进化石,7,公会商城,19,3000,117,0,0,0
117,40199,惩戒,7,公会商城,19,13000,118,0,0,0
118,40199,惩戒,13,天梯,13,97500,119,0,0,0
119,40112,好运礼包,4,新手礼包,2,500,120,0,0,1
120,40113,圣地礼包,4,新手礼包,2,290,121,0,0,1
121,40114,强化石礼包,4,新手礼包,2,590,122,0,0,1
122,40115,养成礼包,4,新手礼包,2,499,123,0,0,1
123,40116,潘蜕变礼包,4,新手礼包,2,2560,124,0,0,1
124,40117,宙斯蜕变礼包,4,新手礼包,2,1680,125,0,0,1
125,40118,普罗米修斯蜕变包,4,新手礼包,2,1680,126,0,0,1
126,40119,波塞冬蜕变包,4,新手礼包,2,1680,127,0,0,1
127,40120,女神养成礼包,4,新手礼包,2,2500,128,0,0,1
128,40121,魅力特惠礼包,4,新手礼包,2,250,129,0,0,1
129,40122,星辰大礼包,4,新手礼包,2,2990,130,0,0,1
130,40123,装备培养礼包,5,新手礼包,2,4000,131,0,0,1
131,40124,装备强化礼包,5,新手礼包,2,1000,132,0,0,1
132,40125,守护大礼包,5,新手礼包,2,1290,133,0,0,1
133,40126,蜕变礼包,5,新手礼包,2,3250,134,0,0,1
134,40127,技能升级礼包,5,新手礼包,2,590,135,0,0,1
135,40128,物攻天赋礼盒,5,新手礼包,2,2490,136,0,0,1
136,40129,魔攻天赋礼盒,5,新手礼包,2,2490,137,0,0,1
