索引,说明,库,物品ID,物品名称,权重,数量,品质,条件,修正增加权重,装备额外属性加成
190,,24,20011,花辇进阶丹,100,1,,,,
191,,24,20012,灵气进阶丹,100,1,,,,
192,,24,20001,坐骑进阶丹,100,5,,,,
193,,24,20002,天仙进阶丹,100,5,,,,
194,,24,20003,神兵进阶丹,100,5,,,,
195,,24,20004,翅膀进阶丹,100,5,,,,
196,,24,20005,法阵进阶丹,100,5,,,,
197,,24,20006,神位进阶丹,100,5,,,,
198,,24,20007,通灵进阶丹,100,5,,,,
199,,24,20008,元神进阶丹,100,5,,,,
200,,24,20009,女王进阶丹,100,5,,,,
201,,24,20010,仙器进阶丹,100,5,,,,
202,,24,20011,花辇进阶丹,100,5,,,,
203,,24,20012,灵气进阶丹,100,5,,,,
204,,24,,空,3600,,,,,
205,粉晶矿宝箱5,25,60074,法书,100,1,,,,
206,,25,,空,100,,,,,
207,粉晶矿宝箱6,26,60075,神铁,100,1,,,,
208,,26,,空,100,,,,,
209,粉晶矿宝箱7,27,60008,玄晶石,50,1,,,,
210,,27,,空,100,,,,,
211,粉晶矿宝箱8,28,60003,宝石精华,0,2,,,,
212,,28,,空,300,,,,,
213,紫晶矿宝箱1,29,60107,元宝大包,100,1,,,,
214,,29,60091,绑元中包,200,1,,,,
215,紫晶矿宝箱2,30,60016,皮肤碎片,100,1,,,,
216,,30,,空,300,,,,,
217,紫晶矿宝箱3,31,20015,法宝升阶石,100,1,,,,
218,,31,,空,0,,,,,
219,紫晶矿宝箱4,32,20001,坐骑进阶丹,100,1,,,,
220,,32,20002,天仙进阶丹,100,1,,,,
221,,32,20003,神兵进阶丹,100,1,,,,
222,,32,20004,翅膀进阶丹,100,1,,,,
223,,32,20005,法阵进阶丹,100,1,,,,
224,,32,20006,神位进阶丹,100,1,,,,
225,,32,20007,通灵进阶丹,100,1,,,,
226,,32,20008,元神进阶丹,100,1,,,,
227,,32,20009,女王进阶丹,100,1,,,,
228,,32,20010,仙器进阶丹,100,1,,,,
229,,32,20011,花辇进阶丹,100,1,,,,
230,,32,20012,灵气进阶丹,100,1,,,,
231,,32,20001,坐骑进阶丹,100,5,,,,
232,,32,20002,天仙进阶丹,100,5,,,,
233,,32,20003,神兵进阶丹,100,5,,,,
234,,32,20004,翅膀进阶丹,100,5,,,,
235,,32,20005,法阵进阶丹,100,5,,,,
236,,32,20006,神位进阶丹,100,5,,,,
237,,32,20007,通灵进阶丹,100,5,,,,
238,,32,20008,元神进阶丹,100,5,,,,
239,,32,20009,女王进阶丹,100,5,,,,
240,,32,20010,仙器进阶丹,100,5,,,,
241,,32,20011,花辇进阶丹,100,5,,,,
242,,32,20012,灵气进阶丹,100,5,,,,
243,,32,,空,3600,,,,,
244,紫晶矿宝箱5,33,60074,法书,100,1,,,,
245,,33,,空,100,,,,,
246,紫晶矿宝箱6,34,60075,神铁,100,1,,,,
247,,34,,空,100,,,,,
248,紫晶矿宝箱7,35,60008,玄晶石,50,1,,,,
249,,35,,空,100,,,,,
250,紫晶矿宝箱8,36,60091,绑元中包,100,1,,,,
251,,36,,空,,,,,,
252,蓝晶矿宝箱1,37,60107,元宝大包,100,1,,,,
253,,37,60091,绑元中包,700,1,,,,
254,蓝晶矿宝箱2,38,60016,皮肤碎片,100,1,,,,
255,,38,,空,700,,,,,
256,蓝晶矿宝箱3,39,20015,法宝升阶石,0,2,,,,
257,,39,,空,100,,,,,
258,蓝晶矿宝箱4,40,20001,坐骑进阶丹,100,1,,,,
259,,40,20002,天仙进阶丹,100,1,,,,
260,,40,20003,神兵进阶丹,100,1,,,,
261,,40,20004,翅膀进阶丹,100,1,,,,
262,,40,20005,法阵进阶丹,100,1,,,,
263,,40,20006,神位进阶丹,100,1,,,,
264,,40,20007,通灵进阶丹,100,1,,,,
265,,40,20008,元神进阶丹,100,1,,,,
266,,40,20009,女王进阶丹,100,1,,,,
267,,40,20010,仙器进阶丹,100,1,,,,
268,,40,20011,花辇进阶丹,100,1,,,,
269,,40,20012,灵气进阶丹,100,1,,,,
270,,40,20001,坐骑进阶丹,100,5,,,,
271,,40,20002,天仙进阶丹,100,5,,,,
272,,40,20003,神兵进阶丹,100,5,,,,
273,,40,20004,翅膀进阶丹,100,5,,,,
274,,40,20005,法阵进阶丹,100,5,,,,
275,,40,20006,神位进阶丹,100,5,,,,
276,,40,20007,通灵进阶丹,100,5,,,,
277,,40,20008,元神进阶丹,100,5,,,,
278,,40,20009,女王进阶丹,100,5,,,,
279,,40,20010,仙器进阶丹,100,5,,,,
280,,40,20011,花辇进阶丹,100,5,,,,
281,,40,20012,灵气进阶丹,100,5,,,,
282,,40,,空,3600,,,,,
283,蓝晶矿宝箱5,41,60074,法书,100,1,,,,
284,,41,,空,200,,,,,
285,蓝晶矿宝箱6,42,60075,神铁,100,1,,,,
286,,42,,空,200,,,,,
287,蓝晶矿宝箱7,43,60008,玄晶石,50,1,,,,
288,,43,,空,150,,,,,
289,蓝晶矿宝箱8,44,60003,宝石精华,100,2,,,,
290,,44,,空,0,,,,,
291,绿晶矿宝箱1,45,60107,元宝大包,0,1,,,,
292,,45,60090,绑元小包,100,1,,,,
293,绿晶矿宝箱2,46,60016,皮肤碎片,100,1,,,,
294,,46,,空,1500,,,,,
295,绿晶矿宝箱3,47,20015,法宝升阶石,0,2,,,,
296,,47,,空,100,,,,,
297,绿晶矿宝箱4,48,20001,坐骑进阶丹,100,1,,,,
298,,48,20002,天仙进阶丹,100,1,,,,
299,,48,20003,神兵进阶丹,100,1,,,,
300,,48,20004,翅膀进阶丹,100,1,,,,
301,,48,20005,法阵进阶丹,100,1,,,,
302,,48,20006,神位进阶丹,100,1,,,,
303,,48,20007,通灵进阶丹,100,1,,,,
304,,48,20008,元神进阶丹,100,1,,,,
305,,48,20009,女王进阶丹,100,1,,,,
306,,48,20010,仙器进阶丹,100,1,,,,
307,,48,20011,花辇进阶丹,100,1,,,,
308,,48,20012,灵气进阶丹,100,1,,,,
309,,48,20001,坐骑进阶丹,100,5,,,,
310,,48,20002,天仙进阶丹,100,5,,,,
311,,48,20003,神兵进阶丹,100,5,,,,
312,,48,20004,翅膀进阶丹,100,5,,,,
313,,48,20005,法阵进阶丹,100,5,,,,
314,,48,20006,神位进阶丹,100,5,,,,
315,,48,20007,通灵进阶丹,100,5,,,,
316,,48,20008,元神进阶丹,100,5,,,,
317,,48,20009,女王进阶丹,100,5,,,,
318,,48,20010,仙器进阶丹,100,5,,,,
319,,48,20011,花辇进阶丹,100,5,,,,
320,,48,20012,灵气进阶丹,100,5,,,,
321,,48,,空,3600,,,,,
322,绿晶矿宝箱5,49,60074,法书,100,1,,,,
323,,49,,空,200,,,,,
324,绿晶矿宝箱6,50,60075,神铁,100,1,,,,
325,,50,,空,200,,,,,
326,绿晶矿宝箱7,51,60008,玄晶石,50,1,,,,
327,,51,,空,300,,,,,
328,绿晶矿宝箱8,52,60003,宝石精华,100,1,,,,
329,,52,,空,0,,,,,
330,7阶红色通用装备,53,10007,7阶铠首,100,1,"{6,100}",,,11
331,,53,10017,7阶马鞍,100,1,"{6,100}",,,11
332,,53,10027,7阶缰绳,100,1,"{6,100}",,,11
333,,53,10037,7阶马蹬,100,1,"{6,100}",,,11
334,,53,10047,7阶翎羽,100,1,"{6,100}",,,11
335,,53,10057,7阶飞羽,100,1,"{6,100}",,,11
336,,53,10067,7阶覆羽,100,1,"{6,100}",,,11
337,,53,10077,7阶翼羽,100,1,"{6,100}",,,11
338,,53,10087,7阶法灵,100,1,"{6,100}",,,11
339,,53,10097,7阶法眼,100,1,"{6,100}",,,11
340,,53,10107,7阶阵魂,100,1,"{6,100}",,,11
341,,53,10117,7阶阵魄,100,1,"{6,100}",,,11
342,,53,10127,7阶川泽,100,1,"{6,100}",,,11
343,,53,10137,7阶百物,100,1,"{6,100}",,,11
344,,53,10147,7阶天神,100,1,"{6,100}",,,11
345,,53,10157,7阶地只,100,1,"{6,100}",,,11
346,,53,10167,7阶洞察,100,1,"{6,100}",,,11
347,,53,10177,7阶灵识,100,1,"{6,100}",,,11
348,,53,10187,7阶感知,100,1,"{6,100}",,,11
349,,53,10197,7阶敏锐,100,1,"{6,100}",,,11
350,,53,10207,7阶血魂,100,1,"{6,100}",,,11
351,,53,10217,7阶地魂,100,1,"{6,100}",,,11
352,,53,10227,7阶战魂,100,1,"{6,100}",,,11
353,,53,10237,7阶刹魂,100,1,"{6,100}",,,11
354,,53,10247,7阶凤冠,100,1,"{6,100}",,,11
355,,53,10257,7阶耳环,100,1,"{6,100}",,,11
356,,53,10267,7阶护胸,100,1,"{6,100}",,,11
357,,53,10277,7阶披纱,100,1,"{6,100}",,,11
358,,53,10287,7阶护鞘,100,1,"{6,100}",,,11
359,,53,10297,7阶护柄,100,1,"{6,100}",,,11
360,,53,10307,7阶护刃,100,1,"{6,100}",,,11
361,,53,10317,7阶玉璇,100,1,"{6,100}",,,11
362,,53,10327,7阶战盔,100,1,"{6,100}",,,11
363,,53,10337,7阶战甲,100,1,"{6,100}",,,11
364,,53,10347,7阶战靴,100,1,"{6,100}",,,11
365,,53,10357,7阶战符,100,1,"{6,100}",,,11
366,,53,10367,7阶正气,100,1,"{6,100}",,,11
367,,53,10377,7阶阳刚,100,1,"{6,100}",,,11
368,,53,10387,7阶阴柔,100,1,"{6,100}",,,11
369,,53,10397,7阶贯通,100,1,"{6,100}",,,11
370,,53,10407,7阶花灯,100,1,"{6,100}",,,11
371,,53,10417,7阶花铃,100,1,"{6,100}",,,11
372,,53,10427,7阶花环,100,1,"{6,100}",,,11
373,,53,10437,7阶花印,100,1,"{6,100}",,,11
374,,53,10447,7阶灵意,100,1,"{6,100}",,,11
375,,53,10457,7阶灵境,100,1,"{6,100}",,,11
376,,53,10467,7阶灵法,100,1,"{6,100}",,,11
377,,53,10477,7阶灵域,100,1,"{6,100}",,,11
378,8阶红色通用装备,54,10008,8阶铠首,100,1,"{6,100}",,,11
379,,54,10018,8阶马鞍,100,1,"{6,100}",,,11
380,,54,10028,8阶缰绳,100,1,"{6,100}",,,11
381,,54,10038,8阶马蹬,100,1,"{6,100}",,,11
382,,54,10048,8阶翎羽,100,1,"{6,100}",,,11
383,,54,10058,8阶飞羽,100,1,"{6,100}",,,11
384,,54,10068,8阶覆羽,100,1,"{6,100}",,,11
385,,54,10078,8阶翼羽,100,1,"{6,100}",,,11
386,,54,10088,8阶法灵,100,1,"{6,100}",,,11
387,,54,10098,8阶法眼,100,1,"{6,100}",,,11
388,,54,10108,8阶阵魂,100,1,"{6,100}",,,11
389,,54,10118,8阶阵魄,100,1,"{6,100}",,,11
390,,54,10128,8阶川泽,100,1,"{6,100}",,,11
391,,54,10138,8阶百物,100,1,"{6,100}",,,11
392,,54,10148,8阶天神,100,1,"{6,100}",,,11
393,,54,10158,8阶地只,100,1,"{6,100}",,,11
394,,54,10168,8阶洞察,100,1,"{6,100}",,,11
395,,54,10178,8阶灵识,100,1,"{6,100}",,,11
396,,54,10188,8阶感知,100,1,"{6,100}",,,11
397,,54,10198,8阶敏锐,100,1,"{6,100}",,,11
398,,54,10208,8阶血魂,100,1,"{6,100}",,,11
399,,54,10218,8阶地魂,100,1,"{6,100}",,,11
400,,54,10228,8阶战魂,100,1,"{6,100}",,,11
401,,54,10238,8阶刹魂,100,1,"{6,100}",,,11
402,,54,10248,8阶凤冠,100,1,"{6,100}",,,11
403,,54,10258,8阶耳环,100,1,"{6,100}",,,11
404,,54,10268,8阶护胸,100,1,"{6,100}",,,11
405,,54,10278,8阶披纱,100,1,"{6,100}",,,11
406,,54,10288,8阶护鞘,100,1,"{6,100}",,,11
407,,54,10298,8阶护柄,100,1,"{6,100}",,,11
408,,54,10308,8阶护刃,100,1,"{6,100}",,,11
409,,54,10318,8阶玉璇,100,1,"{6,100}",,,11
410,,54,10328,8阶战盔,100,1,"{6,100}",,,11
411,,54,10338,8阶战甲,100,1,"{6,100}",,,11
412,,54,10348,8阶战靴,100,1,"{6,100}",,,11
413,,54,10358,8阶战符,100,1,"{6,100}",,,11
414,,54,10368,8阶正气,100,1,"{6,100}",,,11
415,,54,10378,8阶阳刚,100,1,"{6,100}",,,11
416,,54,10388,8阶阴柔,100,1,"{6,100}",,,11
417,,54,10398,8阶贯通,100,1,"{6,100}",,,11
418,,54,10408,8阶花灯,100,1,"{6,100}",,,11
419,,54,10418,8阶花铃,100,1,"{6,100}",,,11
420,,54,10428,8阶花环,100,1,"{6,100}",,,11
421,,54,10438,8阶花印,100,1,"{6,100}",,,11
422,,54,10448,8阶灵意,100,1,"{6,100}",,,11
423,,54,10458,8阶灵境,100,1,"{6,100}",,,11
424,,54,10468,8阶灵法,100,1,"{6,100}",,,11
425,,54,10478,8阶灵域,100,1,"{6,100}",,,11
426,9阶红色通用装备,55,10009,9阶铠首,100,1,"{6,100}",,,11
427,,55,10019,9阶马鞍,100,1,"{6,100}",,,11
428,,55,10029,9阶缰绳,100,1,"{6,100}",,,11
429,,55,10039,9阶马蹬,100,1,"{6,100}",,,11
430,,55,10049,9阶翎羽,100,1,"{6,100}",,,11
431,,55,10059,9阶飞羽,100,1,"{6,100}",,,11
432,,55,10069,9阶覆羽,100,1,"{6,100}",,,11
433,,55,10079,9阶翼羽,100,1,"{6,100}",,,11
434,,55,10089,9阶法灵,100,1,"{6,100}",,,11
435,,55,10099,9阶法眼,100,1,"{6,100}",,,11
436,,55,10109,9阶阵魂,100,1,"{6,100}",,,11
437,,55,10119,9阶阵魄,100,1,"{6,100}",,,11
438,,55,10129,9阶川泽,100,1,"{6,100}",,,11
439,,55,10139,9阶百物,100,1,"{6,100}",,,11
440,,55,10149,9阶天神,100,1,"{6,100}",,,11
441,,55,10159,9阶地只,100,1,"{6,100}",,,11
442,,55,10169,9阶洞察,100,1,"{6,100}",,,11
443,,55,10179,9阶灵识,100,1,"{6,100}",,,11
444,,55,10189,9阶感知,100,1,"{6,100}",,,11
445,,55,10199,9阶敏锐,100,1,"{6,100}",,,11
446,,55,10209,9阶血魂,100,1,"{6,100}",,,11
447,,55,10219,9阶地魂,100,1,"{6,100}",,,11
448,,55,10229,9阶战魂,100,1,"{6,100}",,,11
449,,55,10239,9阶刹魂,100,1,"{6,100}",,,11
450,,55,10249,9阶凤冠,100,1,"{6,100}",,,11
451,,55,10259,9阶耳环,100,1,"{6,100}",,,11
452,,55,10269,9阶护胸,100,1,"{6,100}",,,11
453,,55,10279,9阶披纱,100,1,"{6,100}",,,11
454,,55,10289,9阶护鞘,100,1,"{6,100}",,,11
455,,55,10299,9阶护柄,100,1,"{6,100}",,,11
456,,55,10309,9阶护刃,100,1,"{6,100}",,,11
457,,55,10319,9阶玉璇,100,1,"{6,100}",,,11
458,,55,10329,9阶战盔,100,1,"{6,100}",,,11
459,,55,10339,9阶战甲,100,1,"{6,100}",,,11
460,,55,10349,9阶战靴,100,1,"{6,100}",,,11
461,,55,10359,9阶战符,100,1,"{6,100}",,,11
462,,55,10369,9阶正气,100,1,"{6,100}",,,11
463,,55,10379,9阶阳刚,100,1,"{6,100}",,,11
464,,55,10389,9阶阴柔,100,1,"{6,100}",,,11
465,,55,10399,9阶贯通,100,1,"{6,100}",,,11
466,,55,10409,9阶花灯,100,1,"{6,100}",,,11
467,,55,10419,9阶花铃,100,1,"{6,100}",,,11
468,,55,10429,9阶花环,100,1,"{6,100}",,,11
469,,55,10439,9阶花印,100,1,"{6,100}",,,11
470,,55,10449,9阶灵意,100,1,"{6,100}",,,11
471,,55,10459,9阶灵境,100,1,"{6,100}",,,11
472,,55,10469,9阶灵法,100,1,"{6,100}",,,11
473,,55,10479,9阶灵域,100,1,"{6,100}",,,11
474,10阶红色通用装备,56,10010,10阶铠首,100,1,"{6,100}",,,11
475,,56,10020,10阶马鞍,100,1,"{6,100}",,,11
476,,56,10030,10阶缰绳,100,1,"{6,100}",,,11
477,,56,10040,10阶马蹬,100,1,"{6,100}",,,11
478,,56,10050,10阶翎羽,100,1,"{6,100}",,,11
479,,56,10060,10阶飞羽,100,1,"{6,100}",,,11
480,,56,10070,10阶覆羽,100,1,"{6,100}",,,11
481,,56,10080,10阶翼羽,100,1,"{6,100}",,,11
482,,56,10090,10阶法灵,100,1,"{6,100}",,,11
483,,56,10100,10阶法眼,100,1,"{6,100}",,,11
484,,56,10110,10阶阵魂,100,1,"{6,100}",,,11
485,,56,10120,10阶阵魄,100,1,"{6,100}",,,11
486,,56,10130,10阶川泽,100,1,"{6,100}",,,11
487,,56,10140,10阶百物,100,1,"{6,100}",,,11
488,,56,10150,10阶天神,100,1,"{6,100}",,,11
489,,56,10160,10阶地只,100,1,"{6,100}",,,11
490,,56,10170,10阶洞察,100,1,"{6,100}",,,11
491,,56,10180,10阶灵识,100,1,"{6,100}",,,11
492,,56,10190,10阶感知,100,1,"{6,100}",,,11
493,,56,10200,10阶敏锐,100,1,"{6,100}",,,11
494,,56,10210,10阶血魂,100,1,"{6,100}",,,11
495,,56,10220,10阶地魂,100,1,"{6,100}",,,11
496,,56,10230,10阶战魂,100,1,"{6,100}",,,11
497,,56,10240,10阶刹魂,100,1,"{6,100}",,,11
498,,56,10250,10阶凤冠,100,1,"{6,100}",,,11
499,,56,10260,10阶耳环,100,1,"{6,100}",,,11
500,,56,10270,10阶护胸,100,1,"{6,100}",,,11
501,,56,10280,10阶披纱,100,1,"{6,100}",,,11
502,,56,10290,10阶护鞘,100,1,"{6,100}",,,11
503,,56,10300,10阶护柄,100,1,"{6,100}",,,11
504,,56,10310,10阶护刃,100,1,"{6,100}",,,11
505,,56,10320,10阶玉璇,100,1,"{6,100}",,,11
506,,56,10330,10阶战盔,100,1,"{6,100}",,,11
507,,56,10340,10阶战甲,100,1,"{6,100}",,,11
508,,56,10350,10阶战靴,100,1,"{6,100}",,,11
509,,56,10360,10阶战符,100,1,"{6,100}",,,11
510,,56,10370,10阶正气,100,1,"{6,100}",,,11
511,,56,10380,10阶阳刚,100,1,"{6,100}",,,11
512,,56,10390,10阶阴柔,100,1,"{6,100}",,,11
513,,56,10400,10阶贯通,100,1,"{6,100}",,,11
514,,56,10410,10阶花灯,100,1,"{6,100}",,,11
515,,56,10420,10阶花铃,100,1,"{6,100}",,,11
516,,56,10430,10阶花环,100,1,"{6,100}",,,11
517,,56,10440,10阶花印,100,1,"{6,100}",,,11
518,,56,10450,10阶灵意,100,1,"{6,100}",,,11
519,,56,10460,10阶灵境,100,1,"{6,100}",,,11
520,,56,10470,10阶灵法,100,1,"{6,100}",,,11
521,,56,10480,10阶灵域,100,1,"{6,100}",,,11
522,7阶红色通用装备+10,57,10007,7阶铠首,100,1,"{6,100}",,,10
523,,57,10017,7阶马鞍,100,1,"{6,100}",,,10
524,,57,10027,7阶缰绳,100,1,"{6,100}",,,10
525,,57,10037,7阶马蹬,100,1,"{6,100}",,,10
526,,57,10047,7阶翎羽,100,1,"{6,100}",,,10
527,,57,10057,7阶飞羽,100,1,"{6,100}",,,10
