索引,说明,库,道具ID,物品名称,道具类型,权重,数量,条件
209,,160,18009,安菲特里忒,pet,100,1,
210,,161,18010,普罗米修斯,pet,100,1,
211,,162,18011,维纳斯,pet,100,1,
212,,163,18012,阿基里斯,pet,100,1,
213,,164,18013,奥丁,pet,100,1,
214,,165,18014,赫拉,pet,100,1,
215,,166,18015,阿波罗,pet,100,1,
216,,167,18016,哈迪斯,pet,100,1,
217,,168,18017,阿瑞斯,pet,100,1,
218,,169,18018,许德拉,pet,100,1,
219,五阶装备宝箱,170,300064,雷神之锤,item,100,1,
220,,170,300065,无上权杖,item,100,1,
221,,170,300066,王冠,item,100,1,
222,,170,300067,圣殿胸甲,item,100,1,
223,,170,300068,君王指环,item,100,1,
224,,170,300069,永恒指环,item,100,1,
225,,170,300070,泰坦项链,item,100,1,
226,,170,300071,费斯项链,item,100,1,
227,,170,300072,鬼影项链,item,100,1,
228,,170,300073,天使项链,item,100,1,
229,,170,300075,远古腰带,item,100,1,
230,神魂宝盒,171,50024,神魂结晶,item,4000,1,
231,,171,50024,神魂结晶,item,2000,2,
232,,171,50024,神魂结晶,item,1667,3,
233,,171,50024,神魂结晶,item,1000,5,
234,,171,50024,神魂结晶,item,500,10,
235,,171,50024,神魂结晶,item,250,20,
236,,172,18022,嫦娥,pet,100,1,
237,,173,18023,克洛诺斯,pet,100,1,
