天数,冲多少点,奖励什么
6,4800,"{""item"",60036,1},{""item"",30004,1},{""item"",20006,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
7,4800,"{""item"",60037,1},{""item"",30005,1},{""item"",20007,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
8,4800,"{""item"",60038,1},{""item"",30006,1},{""item"",20008,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
9,4800,"{""item"",60041,1},{""item"",20009,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
10,4800,"{""item"",60042,1},{""item"",20010,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
11,4800,"{""item"",60043,1},{""item"",20011,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
12,4800,"{""item"",60044,1},{""item"",20012,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
13,4800,"{""item"",60033,1},{""item"",30001,1},{""item"",20001,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
14,4800,"{""item"",60039,1},{""item"",30007,1},{""item"",20002,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
15,4800,"{""item"",60040,1},{""item"",30008,1},{""item"",20003,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
16,4800,"{""item"",60034,1},{""item"",30002,1},{""item"",20004,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
17,4800,"{""item"",60035,1},{""item"",30003,1},{""item"",20005,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
18,4800,"{""item"",60036,1},{""item"",30004,1},{""item"",20006,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
19,4800,"{""item"",60037,1},{""item"",30005,1},{""item"",20007,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
20,4800,"{""item"",60038,1},{""item"",30006,1},{""item"",20008,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
21,4800,"{""item"",60041,1},{""item"",20009,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
22,4800,"{""item"",60042,1},{""item"",20010,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
23,4800,"{""item"",60043,1},{""item"",20011,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
24,4800,"{""item"",60044,1},{""item"",20012,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
