抽奖类型,索引,奖励,随机物品库,权重(绑元),权重(元宝),权重(元宝)开服八天内的权重,是否为稀有物品0否1是,第一使用元宝10连抽必中物品(1是0否),只能抽中一次(1是0否),是否极品(1是0否),低于多少元宝不能抽中,低于多少绑元不能抽中,"分类(10连抽只能中一次的分为一类,0没有限定)",全服保底需要元宝,哪一天
2,7,"{""item"",60058,1}",,400,500,500,0,0,0,0,,,0,,"{4,6}"
2,8,"{""item"",60059,1}",,200,500,500,0,0,0,0,,,0,,"{4,6}"
2,9,"{""item"",40050,1}",,0,12,24,1,0,0,1,,,1,,"{4,6}"
2,10,"{""item"",60005,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",400,400,400,0,0,0,0,,,0,,"{4,6}"
2,11,"{""item"",20009,10}","{{""item"",20009,10},100},{{""item"",20010,10},100},{{""item"",20011,10},100},{{""item"",20012,10},100}",800,1200,1200,0,0,0,0,,,0,,"{4,6}"
2,12,"{""item"",60019,10000}","{{""item"",60019,10},1500},{{""item"",60019,15},2500},{{""item"",60019,20},4000},{{""item"",60019,50},500},{{""item"",60019,10000},1}",400,800,800,0,0,0,1,,,0,,"{4,6}"
3,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,1900,0,0,0,0,,,0,,"{7,9}"
3,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{7,9}"
3,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{7,9}"
3,4,"{""item"",60059,1}",,1500,1000,1000,0,0,0,0,,,0,,"{7,9}"
3,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{7,9}"
3,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{7,9}"
3,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,1800,0,0,0,0,,,0,,"{7,9}"
3,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{7,9}"
3,9,"{""item"",50011,1}",,0,50,20,1,0,1,1,,,1,,"{7,9}"
3,10,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,1100,0,0,0,0,,,0,,"{7,9}"
3,11,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{7,9}"
3,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,2000,0,0,0,0,,,0,,"{7,9}"
4,1,"{""item"",20016,1}",,1000,1100,1100,0,0,0,0,,,0,,"{10,12}"
4,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{10,12}"
4,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{10,12}"
4,4,"{""item"",60059,4}",,1500,1200,1200,0,0,0,0,,,0,,"{10,12}"
4,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{10,12}"
4,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{10,12}"
4,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,1800,0,0,0,0,,,0,,"{10,12}"
4,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{10,12}"
4,9,"{""item"",40053,1}",,0,12,12,1,0,0,1,,,1,,"{10,12}"
4,10,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,1800,0,0,0,0,,,0,,"{10,12}"
4,11,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{10,12}"
4,12,"{""item"",60008,1}",,20,1000,1000,0,0,0,0,,,0,,"{10,12}"
5,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,1900,0,0,0,0,,,0,,"{13,15}"
5,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{13,15}"
5,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{13,15}"
5,4,"{""item"",60059,1}",,1500,1000,1000,0,0,0,0,,,0,,"{13,15}"
5,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{13,15}"
5,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{13,15}"
5,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,1800,0,0,0,0,,,0,,"{13,15}"
5,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{13,15}"
5,9,"{""item"",40052,1}",,0,12,20,1,0,0,1,,,1,,"{13,15}"
5,10,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,1100,0,0,0,0,,,0,,"{13,15}"
5,11,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{13,15}"
5,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,2000,0,0,0,0,,,0,,"{13,15}"
6,1,"{""item"",20016,1}",,1000,1100,1100,0,0,0,0,,,0,,"{16,18}"
6,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{16,18}"
6,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{16,18}"
6,4,"{""item"",60059,4}",,1500,1200,1200,0,0,0,0,,,0,,"{16,18}"
6,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{16,18}"
6,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{16,18}"
6,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,1800,0,0,0,0,,,0,,"{16,18}"
6,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{16,18}"
6,9,"{""item"",50019,1}",,0,12,12,1,0,1,1,,,1,,"{16,18}"
6,10,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,1800,0,0,0,0,,,0,,"{16,18}"
6,11,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{16,18}"
6,12,"{""item"",60008,1}",,20,1000,1000,0,0,0,0,,,0,,"{16,18}"
7,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,1900,0,0,0,0,,,0,,"{19,21}"
7,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{19,21}"
7,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{19,21}"
7,4,"{""item"",60059,1}",,1500,1000,1000,0,0,0,0,,,0,,"{19,21}"
7,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{19,21}"
7,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{19,21}"
7,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,1800,0,0,0,0,,,0,,"{19,21}"
7,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{19,21}"
7,9,"{""item"",40055,1}",,0,12,20,1,0,0,1,,,1,,"{19,21}"
7,10,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,1100,0,0,0,0,,,0,,"{19,21}"
7,11,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{19,21}"
7,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,2000,0,0,0,0,,,0,,"{19,21}"
8,1,"{""item"",20016,1}",,1000,1100,1100,0,0,0,0,,,0,,"{22,24}"
8,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{22,24}"
8,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{22,24}"
8,4,"{""item"",60059,4}",,1500,1200,1200,0,0,0,0,,,0,,"{22,24}"
8,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{22,24}"
8,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{22,24}"
8,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,1800,0,0,0,0,,,0,,"{22,24}"
8,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,100,1,0,0,1,,,0,,"{22,24}"
8,9,"{""item"",50020,1}",,0,12,12,1,0,1,1,,,1,,"{22,24}"
8,10,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,1800,0,0,0,0,,,0,,"{22,24}"
8,11,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,250,1,0,0,1,,,0,,"{22,24}"
8,12,"{""item"",60008,1}",,20,1000,1000,0,0,0,0,,,0,,"{22,24}"
9,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,1900,0,0,0,0,,,0,,"{25,27}"
9,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{25,27}"
9,3,"{""item"",60058,1}",,1500,1100,1100,0,0,0,0,,,0,,"{25,27}"
9,4,"{""item"",60059,1}",,1500,1000,1000,0,0,0,0,,,0,,"{25,27}"
9,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1200,1,0,0,1,,,0,,"{25,27}"
9,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{25,27}"
9,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,1800,0,0,0,0,,,0,,"{25,27}"
9,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{25,27}"
9,9,"{""item"",40054,1}",,0,12,20,1,0,0,1,,,1,,"{25,27}"
9,10,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,1100,0,0,0,0,,,0,,"{25,27}"
9,11,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,75,1,0,0,1,,,0,,"{25,27}"
