类型,索引,奖励,随机物品库,权重(绑元),权重(元宝),是否为稀有物品0否1是,是否极品(1是0否),低于多少元宝不能抽中,低于多少绑元不能抽中,"分类(10连抽只能中一次的分为一类,0没有限定)",全服保底需要元宝
2,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
2,9,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,0,0,,,0,
2,10,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
2,11,"{""item"",40052,1}",,0,12,1,1,,,2,150000
2,12,"{""item"",60008,1}",,20,1000,0,0,,,0,
3,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,0,0,,1000,0,
3,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
3,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
3,4,"{""item"",60059,1}",,1500,1000,0,0,,1000,0,
3,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
3,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
3,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,0,0,,,0,
3,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
3,9,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,0,0,,,0,
3,10,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
3,11,"{""item"",50011,1}",,0,20,1,1,,,2,120000
3,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,0,0,,,0,
4,1,"{""item"",20016,1}",,1000,1100,0,0,,,0,
4,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
4,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
4,4,"{""item"",60059,4}",,1500,1200,0,0,,1000,0,
4,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
4,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
4,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,0,0,,,0,
4,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
4,9,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,0,0,,,0,
4,10,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
4,11,"{""item"",40053,1}",,0,12,1,1,,,2,150000
4,12,"{""item"",60008,1}",,20,1000,0,0,,,0,
5,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,0,0,,1000,0,
5,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
5,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
5,4,"{""item"",60059,1}",,1500,1000,0,0,,1000,0,
5,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
5,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
5,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,0,0,,,0,
5,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
5,9,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,0,0,,,0,
5,10,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
5,11,"{""item"",50019,1}",,0,20,1,1,,,2,120000
5,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,0,0,,,0,
6,1,"{""item"",20016,1}",,1000,1100,0,0,,,0,
6,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
6,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
6,4,"{""item"",60059,4}",,1500,1200,0,0,,1000,0,
6,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
6,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
6,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,0,0,,,0,
6,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
6,9,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",2500,1800,0,0,,,0,
6,10,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
6,11,"{""item"",40054,1}",,0,12,1,1,,,2,150000
6,12,"{""item"",60008,1}",,20,1000,0,0,,,0,
7,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",,,,,,,,
7,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",,,,,,,,
7,3,"{""item"",60058,1}",,,,,,,,,
7,4,"{""item"",60059,1}",,,,,,,,,
7,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",,,,,,,,
7,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",,,,,,,,
7,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",,,,,,,,
7,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",,,,,,,,
7,9,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",,,,,,,,
7,10,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",,,,,,,,
7,11,"{""item"",50018,1}",,,,,,,,,
7,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",,,,,,,,
8,1,"{""item"",20016,1}",,,,,,,,,
8,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",,,,,,,,
8,3,"{""item"",60058,1}",,,,,,,,,
8,4,"{""item"",60059,4}",,,,,,,,,
8,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",,,,,,,,
8,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",,,,,,,,
8,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",,,,,,,,
8,8,"{""talisman"",19004,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",,,,,,,,
8,9,"{""item"",60074,4}","{{""item"",60074,1},100},{{""item"",60074,2},80},{{""item"",60074,4},80},{{""item"",60075,1},100},{{""item"",60075,2},80},{{""item"",60075,4},80},{{""item"",60025,1},100},{{""item"",60025,1},80},{{""item"",60025,1},80},{{""item"",60026,1},100},{{""item"",60026,1},80},{{""item"",60026,1},80},{{""item"",60027,1},100},{{""item"",60027,1},80},{{""item"",60027,1},80},{{""item"",60032,1},100},{{""item"",60032,1},80},{{""item"",60032,1},80},{{""item"",60030,1},100},{{""item"",60030,1},80},{{""item"",60030,1},80},{{""item"",60031,1},100},{{""item"",60031,1},80},{{""item"",60031,1},80},{{""item"",60029,1},100},{{""item"",60029,1},80},{{""item"",60029,1},80},{{""item"",60028,1},100},{{""item"",60028,1},80},{{""item"",60028,1},80}",,,,,,,,
8,10,"{""talisman"",19006,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",,,,,,,,
8,11,"{""item"",40055,1}",,,,,,,,,
8,12,"{""item"",60008,1}",,,,,,,,,
