等级,生命,面板伤害,护甲,防御穿透,减免无视,命中值,闪避值,暴击值,抗暴值,暴击伤害,暴击伤害减免,出手速度,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力
71,118080,47232,11808,9.48,,23.745,23.745,15.82,15.82,2,0,1,,,,,,,295200
72,119712,47885,11971,9.593,,24.029,24.029,16.009,16.009,2,0,1,,,,,,,299280
73,121344,48538,12134,9.706,,24.313,24.313,16.198,16.198,2,0,1,,,,,,,303360
74,122976,49190,12298,9.819,,24.597,24.597,16.387,16.387,2,0,1,,,,,,,307440
75,124608,49843,12461,9.932,,24.881,24.881,16.576,16.576,2,0,1,,,,,,,311520
76,126240,50496,12624,10.045,,25.165,25.165,16.765,16.765,2,0,1,,,,,,,315600
77,127872,51149,12787,10.158,,25.449,25.449,16.954,16.954,2,0,1,,,,,,,319680
78,129504,51802,12950,10.271,,25.733,25.733,17.143,17.143,2,0,1,,,,,,,323760
79,131136,52454,13114,10.384,,26.017,26.017,17.332,17.332,2,0,1,,,,,,,327840
80,162362,64945,16236,29.61,,45.585,45.585,36.71,36.71,2,0,1,,,,,,,405906
81,163986,65594,16399,30.61,,46.585,46.585,37.71,37.71,2,0,1,,,,,,,409964
82,165625,66250,16562,31.61,,47.585,47.585,38.71,38.71,2,0,1,,,,,,,414062
83,167281,66912,16728,32.61,,48.585,48.585,39.71,39.71,2,0,1,,,,,,,418202
84,168954,67581,16895,33.61,,49.585,49.585,40.71,40.71,2,0,1,,,,,,,422384
85,170642,68257,17064,34.61,,50.585,50.585,41.71,41.71,2,0,1,,,,,,,426606
86,172349,68940,17235,35.61,,51.585,51.585,42.71,42.71,2,0,1,,,,,,,430872
87,174072,69629,17407,36.61,,52.585,52.585,43.71,43.71,2,0,1,,,,,,,435180
88,175812,70325,17581,37.61,,53.585,53.585,44.71,44.71,2,0,1,,,,,,,439530
89,177570,71028,17757,38.61,,54.585,54.585,45.71,45.71,2,0,1,,,,,,,443924
90,179345,71738,17934,39.61,,55.585,55.585,46.71,46.71,2,0,1,,,,,,,448362
91,181138,72455,18114,40.61,,56.585,56.585,47.71,47.71,2,0,1,,,,,,,452844
92,182949,73180,18295,41.61,,57.585,57.585,48.71,48.71,2,0,1,,,,,,,457372
93,184778,73911,18478,42.61,,58.585,58.585,49.71,49.71,2,0,1,,,,,,,461944
94,186625,74650,18662,43.61,,59.585,59.585,50.71,50.71,2,0,1,,,,,,,466562
95,188490,75396,18849,44.61,,60.585,60.585,51.71,51.71,2,0,1,,,,,,,471226
96,190375,76150,19038,45.61,,61.585,61.585,52.71,52.71,2,0,1,,,,,,,475938
97,192278,76911,19228,46.61,,62.585,62.585,53.71,53.71,2,0,1,,,,,,,480696
98,194201,77680,19420,47.61,,63.585,63.585,54.71,54.71,2,0,1,,,,,,,485502
99,196142,78457,19614,48.61,,64.585,64.585,55.71,55.71,2,0,1,,,,,,,490356
100,325781,130312,32578,99.61,,115.585,115.585,106.71,106.71,2,0,1,,,,,,,814452
101,329038,131615,32904,100.61,,116.585,116.585,107.71,107.71,2,0,1,,,,,,,822596
102,332328,132931,33233,101.61,,117.585,117.585,108.71,108.71,2,0,1,,,,,,,830820
103,335651,134260,33565,102.61,,118.585,118.585,109.71,109.71,2,0,1,,,,,,,839128
104,339007,135603,33901,103.61,,119.585,119.585,110.71,110.71,2,0,1,,,,,,,847518
105,342397,136959,34240,104.61,,120.585,120.585,111.71,111.71,2,0,1,,,,,,,855992
106,345820,138328,34582,105.61,,121.585,121.585,112.71,112.71,2,0,1,,,,,,,864550
107,349278,139711,34928,106.61,,122.585,122.585,113.71,113.71,2,0,1,,,,,,,873194
108,352770,141108,35277,107.61,,123.585,123.585,114.71,114.71,2,0,1,,,,,,,881924
109,356297,142519,35630,108.61,,124.585,124.585,115.71,115.71,2,0,1,,,,,,,890742
110,359859,143944,35986,109.61,,125.585,125.585,116.71,116.71,2,0,1,,,,,,,899648
111,363458,145383,36346,110.61,,126.585,126.585,117.71,117.71,2,0,1,,,,,,,908644
112,367092,146837,36709,111.61,,127.585,127.585,118.71,118.71,2,0,1,,,,,,,917730
113,370762,148305,37076,112.61,,128.585,128.585,119.71,119.71,2,0,1,,,,,,,926906
114,374470,149788,37447,113.61,,129.585,129.585,120.71,120.71,2,0,1,,,,,,,936174
115,378214,151285,37821,114.61,,130.585,130.585,121.71,121.71,2,0,1,,,,,,,945534
116,381995,152798,38200,115.61,,131.585,131.585,122.71,122.71,2,0,1,,,,,,,954988
117,385814,154326,38581,116.61,,132.585,132.585,123.71,123.71,2,0,1,,,,,,,964536
118,389672,155869,38967,117.61,,133.585,133.585,124.71,124.71,2,0,1,,,,,,,974180
119,393568,157427,39357,118.61,,134.585,134.585,125.71,125.71,2,0,1,,,,,,,983920
120,485021,194008,48502,139.61,,155.585,155.585,146.71,146.71,2,0,1,,,,,,,1212552
121,489870,195948,48987,140.61,,156.585,156.585,147.71,147.71,2,0,1,,,,,,,1224676
122,494769,197908,49477,141.61,,157.585,157.585,148.71,148.71,2,0,1,,,,,,,1236922
123,499716,199886,49972,142.61,,158.585,158.585,149.71,149.71,2,0,1,,,,,,,1249290
124,504713,201885,50471,143.61,,159.585,159.585,150.71,150.71,2,0,1,,,,,,,1261782
125,509759,203904,50976,144.61,,160.585,160.585,151.71,151.71,2,0,1,,,,,,,1274398
126,514856,205942,51486,145.61,,161.585,161.585,152.71,152.71,2,0,1,,,,,,,1287140
127,520004,208002,52000,146.61,,162.585,162.585,153.71,153.71,2,0,1,,,,,,,1300010
128,525204,210082,52520,147.61,,163.585,163.585,154.71,154.71,2,0,1,,,,,,,1313010
129,530456,212182,53046,148.61,,164.585,164.585,155.71,155.71,2,0,1,,,,,,,1326140
130,535760,214304,53576,149.61,,165.585,165.585,156.71,156.71,2,0,1,,,,,,,1339400
131,541118,216447,54112,150.61,,166.585,166.585,157.71,157.71,2,0,1,,,,,,,1352794
132,546528,218611,54653,151.61,,167.585,167.585,158.71,158.71,2,0,1,,,,,,,1366320
133,551993,220797,55199,152.61,,168.585,168.585,159.71,159.71,2,0,1,,,,,,,1379982
134,557512,223005,55751,153.61,,169.585,169.585,160.71,160.71,2,0,1,,,,,,,1393780
135,563086,225235,56309,154.61,,170.585,170.585,161.71,161.71,2,0,1,,,,,,,1407716
136,568717,227487,56872,155.61,,171.585,171.585,162.71,162.71,2,0,1,,,,,,,1421792
137,574403,229761,57440,156.61,,172.585,172.585,163.71,163.71,2,0,1,,,,,,,1436008
138,580147,232059,58015,157.61,,173.585,173.585,164.71,164.71,2,0,1,,,,,,,1450368
139,585948,234379,58595,158.61,,174.585,174.585,165.71,165.71,2,0,1,,,,,,,1464870
140,797651,319060,79765,189.61,,205.585,205.585,196.71,196.71,2,0,1,,,,,,,1994128
141,805627,322251,80563,190.61,,206.585,206.585,197.71,197.71,2,0,1,,,,,,,2014068
142,813683,325473,81368,191.61,,207.585,207.585,198.71,198.71,2,0,1,,,,,,,2034208
143,821820,328728,82182,192.61,,208.585,208.585,199.71,199.71,2,0,1,,,,,,,2054550
144,830038,332015,83004,193.61,,209.585,209.585,200.71,200.71,2,0,1,,,,,,,2075094
145,838338,335335,83834,194.61,,210.585,210.585,201.71,201.71,2,0,1,,,,,,,2095844
146,846721,338688,84672,195.61,,211.585,211.585,202.71,202.71,2,0,1,,,,,,,2116802
147,855188,342075,85519,196.61,,212.585,212.585,203.71,203.71,2,0,1,,,,,,,2137970
148,863739,345496,86374,197.61,,213.585,213.585,204.71,204.71,2,0,1,,,,,,,2159348
149,872376,348950,87238,198.61,,214.585,214.585,205.71,205.71,2,0,1,,,,,,,2180940
150,881099,352440,88110,199.61,,215.585,215.585,206.71,206.71,2,0,1,,,,,,,2202748
151,889910,355964,88991,200.61,,216.585,216.585,207.71,207.71,2,0,1,,,,,,,2224774
152,898808,359523,89881,201.61,,217.585,217.585,208.71,208.71,2,0,1,,,,,,,2247020
153,907796,363118,90780,202.61,,218.585,218.585,209.71,209.71,2,0,1,,,,,,,2269490
154,916874,366749,91687,203.61,,219.585,219.585,210.71,210.71,2,0,1,,,,,,,2292184
155,926042,370417,92604,204.61,,220.585,220.585,211.71,211.71,2,0,1,,,,,,,2315104
156,935302,374121,93530,205.61,,221.585,221.585,212.71,212.71,2,0,1,,,,,,,2338254
157,944654,377862,94465,206.61,,222.585,222.585,213.71,213.71,2,0,1,,,,,,,2361636
158,954101,381640,95410,207.61,,223.585,223.585,214.71,214.71,2,0,1,,,,,,,2385252
159,963642,385457,96364,208.61,,224.585,224.585,215.71,215.71,2,0,1,,,,,,,2409104
160,1600657,640263,160066,259.61,,275.585,275.585,266.71,266.71,2,0,1,,,,,,,4001642
161,1616663,646665,161666,260.61,,276.585,276.585,267.71,267.71,2,0,1,,,,,,,4041658
162,1632830,653132,163283,261.61,,277.585,277.585,268.71,268.71,2,0,1,,,,,,,4082074
163,1649158,659663,164916,262.61,,278.585,278.585,269.71,269.71,2,0,1,,,,,,,4122894
164,1665649,666260,166565,263.61,,279.585,279.585,270.71,270.71,2,0,1,,,,,,,4164122
165,1682305,672922,168230,264.61,,280.585,280.585,271.71,271.71,2,0,1,,,,,,,4205762
166,1699127,679651,169913,265.61,,281.585,281.585,272.71,272.71,2,0,1,,,,,,,4247818
167,1716118,686447,171612,266.61,,282.585,282.585,273.71,273.71,2,0,1,,,,,,,4290296
168,1733279,693312,173328,267.61,,283.585,283.585,274.71,274.71,2,0,1,,,,,,,4333198
169,1750611,700244,175061,268.61,,284.585,284.585,275.71,275.71,2,0,1,,,,,,,4376528
170,1768117,707247,176812,269.61,,285.585,285.585,276.71,276.71,2,0,1,,,,,,,4420292
171,1785798,714319,178580,270.61,,286.585,286.585,277.71,277.71,2,0,1,,,,,,,4464494
172,1803655,721462,180366,271.61,,287.585,287.585,278.71,278.71,2,0,1,,,,,,,4509138
173,1821691,728676,182169,272.61,,288.585,288.585,279.71,279.71,2,0,1,,,,,,,4554228
174,1839908,735963,183991,273.61,,289.585,289.585,280.71,280.71,2,0,1,,,,,,,4599770
175,1858306,743323,185831,274.61,,290.585,290.585,281.71,281.71,2,0,1,,,,,,,4645766
176,1876889,750756,187689,275.61,,291.585,291.585,282.71,282.71,2,0,1,,,,,,,4692222
177,1895658,758263,189566,276.61,,292.585,292.585,283.71,283.71,2,0,1,,,,,,,4739144
178,1914614,765845,191461,277.61,,293.585,293.585,284.71,284.71,2,0,1,,,,,,,4786534
179,1933759,773504,193376,278.61,,294.585,294.585,285.71,285.71,2,0,1,,,,,,,4834398
180,1953096,781238,195310,279.61,,295.585,295.585,286.71,286.71,2,0,1,,,,,,,4882740
181,1972626,789051,197263,280.61,,296.585,296.585,287.71,287.71,2,0,1,,,,,,,4931566
182,1992352,796941,199235,281.61,,297.585,297.585,288.71,288.71,2,0,1,,,,,,,4980880
183,2012275,804910,201228,282.61,,298.585,298.585,289.71,289.71,2,0,1,,,,,,,5030688
184,2032398,812959,203240,283.61,,299.585,299.585,290.71,290.71,2,0,1,,,,,,,5080994
185,2052721,821088,205272,284.61,,300.585,300.585,291.71,291.71,2,0,1,,,,,,,5131802
186,2073248,829299,207325,285.61,,301.585,301.585,292.71,292.71,2,0,1,,,,,,,5183120
187,2093980,837592,209398,286.61,,302.585,302.585,293.71,293.71,2,0,1,,,,,,,5234950
188,2114919,845968,211492,287.61,,303.585,303.585,294.71,294.71,2,0,1,,,,,,,5287298
189,2136068,854427,213607,288.61,,304.585,304.585,295.71,295.71,2,0,1,,,,,,,5340170
190,2157428,862971,215743,289.61,,305.585,305.585,296.71,296.71,2,0,1,,,,,,,5393570
191,2179002,871601,217900,290.61,,306.585,306.585,297.71,297.71,2,0,1,,,,,,,5447504
192,2200791,880316,220079,291.61,,307.585,307.585,298.71,298.71,2,0,1,,,,,,,5501978
193,2222798,889119,222280,292.61,,308.585,308.585,299.71,299.71,2,0,1,,,,,,,5556996
194,2245026,898010,224503,293.61,,309.585,309.585,300.71,300.71,2,0,1,,,,,,,5612564
195,2267475,906990,226748,294.61,,310.585,310.585,301.71,301.71,2,0,1,,,,,,,5668688
196,2290150,916060,229015,295.61,,311.585,311.585,302.71,302.71,2,0,1,,,,,,,5725374
197,2313050,925220,231305,296.61,,312.585,312.585,303.71,303.71,2,0,1,,,,,,,5782626
198,2336181,934472,233618,297.61,,313.585,313.585,304.71,304.71,2,0,1,,,,,,,5840452
199,2359542,943817,235954,298.61,,314.585,314.585,305.71,305.71,2,0,1,,,,,,,5898856
200,2383138,953255,238314,299.61,,315.585,315.585,306.71,306.71,2,0,1,,,,,,,5957844
201,2406969,962788,240697,300.61,,316.585,316.585,307.71,307.71,2,0,1,,,,,,,6017422
202,2431038,972415,243104,301.61,,317.585,317.585,308.71,308.71,2,0,1,,,,,,,6077596
203,2455348,982139,245535,302.61,,318.585,318.585,309.71,309.71,2,0,1,,,,,,,6138370
204,2479901,991960,247990,303.61,,319.585,319.585,310.71,310.71,2,0,1,,,,,,,6199752
205,2504699,1001880,250470,304.61,,320.585,320.585,311.71,311.71,2,0,1,,,,,,,6261748
206,2529746,1011898,252975,305.61,,321.585,321.585,312.71,312.71,2,0,1,,,,,,,6324364
207,2555042,1022017,255504,306.61,,322.585,322.585,313.71,313.71,2,0,1,,,,,,,6387606
208,2580593,1032237,258059,307.61,,323.585,323.585,314.71,314.71,2,0,1,,,,,,,6451482
209,2606398,1042559,260640,308.61,,324.585,324.585,315.71,315.71,2,0,1,,,,,,,6515996
210,2632462,1052985,263246,309.61,,325.585,325.585,316.71,316.71,2,0,1,,,,,,,6581154
211,2658786,1063514,265879,310.61,,326.585,326.585,317.71,317.71,2,0,1,,,,,,,6646964
212,2685373,1074149,268537,311.61,,327.585,327.585,318.71,318.71,2,0,1,,,,,,,6713432
213,2712226,1084891,271223,312.61,,328.585,328.585,319.71,319.71,2,0,1,,,,,,,6780566
214,2739348,1095739,273935,313.61,,329.585,329.585,320.71,320.71,2,0,1,,,,,,,6848370
215,2766741,1106696,276674,314.61,,330.585,330.585,321.71,321.71,2,0,1,,,,,,,6916852
216,2794408,1117763,279441,315.61,,331.585,331.585,322.71,322.71,2,0,1,,,,,,,6986020
217,2822352,1128941,282235,316.61,,332.585,332.585,323.71,323.71,2,0,1,,,,,,,7055880
218,2850575,1140230,285058,317.61,,333.585,333.585,324.71,324.71,2,0,1,,,,,,,7126438
219,2879081,1151632,287908,318.61,,334.585,334.585,325.71,325.71,2,0,1,,,,,,,7197702
220,2907871,1163148,290787,319.61,,335.585,335.585,326.71,326.71,2,0,1,,,,,,,7269678
221,2936950,1174780,293695,320.61,,336.585,336.585,327.71,327.71,2,0,1,,,,,,,7342374
222,2966318,1186527,296632,321.61,,337.585,337.585,328.71,328.71,2,0,1,,,,,,,7415796
223,2995981,1198392,299598,322.61,,338.585,338.585,329.71,329.71,2,0,1,,,,,,,7489952
224,3025940,1210376,302594,323.61,,339.585,339.585,330.71,330.71,2,0,1,,,,,,,7564850
225,3056199,1222480,305620,324.61,,340.585,340.585,331.71,331.71,2,0,1,,,,,,,7640498
226,3086761,1234704,308676,325.61,,341.585,341.585,332.71,332.71,2,0,1,,,,,,,7716902
227,3117628,1247051,311763,326.61,,342.585,342.585,333.71,333.71,2,0,1,,,,,,,7794070
228,3148804,1259522,314880,327.61,,343.585,343.585,334.71,334.71,2,0,1,,,,,,,7872010
229,3180292,1272117,318029,328.61,,344.585,344.585,335.71,335.71,2,0,1,,,,,,,7950730
230,3212094,1284838,321209,329.61,,345.585,345.585,336.71,336.71,2,0,1,,,,,,,8030236
231,3244215,1297686,324422,330.61,,346.585,346.585,337.71,337.71,2,0,1,,,,,,,8110538
232,3276657,1310663,327666,331.61,,347.585,347.585,338.71,338.71,2,0,1,,,,,,,8191642
233,3309423,1323769,330942,332.61,,348.585,348.585,339.71,339.71,2,0,1,,,,,,,8273558
234,3342517,1337007,334252,333.61,,349.585,349.585,340.71,340.71,2,0,1,,,,,,,8356292
235,3375942,1350377,337594,334.61,,350.585,350.585,341.71,341.71,2,0,1,,,,,,,8439854
236,3409701,1363880,340970,335.61,,351.585,351.585,342.71,342.71,2,0,1,,,,,,,8524252
237,3443798,1377519,344380,336.61,,352.585,352.585,343.71,343.71,2,0,1,,,,,,,8609494
238,3478235,1391294,347824,337.61,,353.585,353.585,344.71,344.71,2,0,1,,,,,,,8695588
239,3513017,1405207,351302,338.61,,354.585,354.585,345.71,345.71,2,0,1,,,,,,,8782542
240,3548146,1419259,354815,339.61,,355.585,355.585,346.71,346.71,2,0,1,,,,,,,8870366
241,3583627,1433451,358363,340.61,,356.585,356.585,347.71,347.71,2,0,1,,,,,,,8959068
242,3619463,1447785,361946,341.61,,357.585,357.585,348.71,348.71,2,0,1,,,,,,,9048658
243,3655658,1462263,365566,342.61,,358.585,358.585,349.71,349.71,2,0,1,,,,,,,9139144
244,3692214,1476885,369221,343.61,,359.585,359.585,350.71,350.71,2,0,1,,,,,,,9230534
245,3729135,1491654,372914,344.61,,360.585,360.585,351.71,351.71,2,0,1,,,,,,,9322838
246,3766426,1506571,376643,345.61,,361.585,361.585,352.71,352.71,2,0,1,,,,,,,9416066
247,3804090,1521636,380409,346.61,,362.585,362.585,353.71,353.71,2,0,1,,,,,,,9510226
248,3842131,1536852,384213,347.61,,363.585,363.585,354.71,354.71,2,0,1,,,,,,,9605328
249,3880552,1552221,388055,348.61,,364.585,364.585,355.71,355.71,2,0,1,,,,,,,9701380
250,3919357,1567743,391936,349.61,,365.585,365.585,356.71,356.71,2,0,1,,,,,,,9798392
251,3958550,1583420,395855,350.61,,366.585,366.585,357.71,357.71,2,0,1,,,,,,,9896374
252,3998134,1599254,399813,351.61,,367.585,367.585,358.71,358.71,2,0,1,,,,,,,9995336
253,4038115,1615246,403812,352.61,,368.585,368.585,359.71,359.71,2,0,1,,,,,,,10095288
254,4078496,1631398,407850,353.61,,369.585,369.585,360.71,360.71,2,0,1,,,,,,,10196240
255,4119281,1647712,411928,354.61,,370.585,370.585,361.71,361.71,2,0,1,,,,,,,10298202
256,4160474,1664189,416047,355.61,,371.585,371.585,362.71,362.71,2,0,1,,,,,,,10401184
257,4202078,1680831,420208,356.61,,372.585,372.585,363.71,363.71,2,0,1,,,,,,,10505194
258,4244098,1697639,424410,357.61,,373.585,373.585,364.71,364.71,2,0,1,,,,,,,10610244
259,4286538,1714615,428654,358.61,,374.585,374.585,365.71,365.71,2,0,1,,,,,,,10716346
260,4329403,1731761,432940,359.61,,375.585,375.585,366.71,366.71,2,0,1,,,,,,,10823508
261,4372697,1749079,437270,360.61,,376.585,376.585,367.71,367.71,2,0,1,,,,,,,10931742
262,4416423,1766569,441642,361.61,,377.585,377.585,368.71,368.71,2,0,1,,,,,,,11041058
263,4460587,1784235,446059,362.61,,378.585,378.585,369.71,369.71,2,0,1,,,,,,,11151468
264,4505193,1802077,450519,363.61,,379.585,379.585,370.71,370.71,2,0,1,,,,,,,11262982
265,4550244,1820098,455024,364.61,,380.585,380.585,371.71,371.71,2,0,1,,,,,,,11375610
266,4595746,1838299,459575,365.61,,381.585,381.585,372.71,372.71,2,0,1,,,,,,,11489366
267,4641703,1856681,464170,366.61,,382.585,382.585,373.71,373.71,2,0,1,,,,,,,11604258
268,4688120,1875248,468812,367.61,,383.585,383.585,374.71,374.71,2,0,1,,,,,,,11720300
269,4735001,1894000,473500,368.61,,384.585,384.585,375.71,375.71,2,0,1,,,,,,,11837502
270,4782350,1912940,478235,369.61,,385.585,385.585,376.71,376.71,2,0,1,,,,,,,11955876
271,4830174,1932069,483017,370.61,,386.585,386.585,377.71,377.71,2,0,1,,,,,,,12075434
272,4878475,1951390,487848,371.61,,387.585,387.585,378.71,378.71,2,0,1,,,,,,,12196188
273,4927259,1970904,492726,372.61,,388.585,388.585,379.71,379.71,2,0,1,,,,,,,12318148
274,4976531,1990612,497653,373.61,,389.585,389.585,380.71,380.71,2,0,1,,,,,,,12441328
275,5026296,2010518,502630,374.61,,390.585,390.585,381.71,381.71,2,0,1,,,,,,,12565740
276,5076558,2030623,507656,375.61,,391.585,391.585,382.71,382.71,2,0,1,,,,,,,12691396
277,5127323,2050929,512732,376.61,,392.585,392.585,383.71,383.71,2,0,1,,,,,,,12818308
278,5178596,2071438,517860,377.61,,393.585,393.585,384.71,384.71,2,0,1,,,,,,,12946490
279,5230382,2092153,523038,378.61,,394.585,394.585,385.71,385.71,2,0,1,,,,,,,13075954
280,5282685,2113074,528268,379.61,,395.585,395.585,386.71,386.71,2,0,1,,,,,,,13206712
281,5335511,2134204,533551,380.61,,396.585,396.585,387.71,387.71,2,0,1,,,,,,,13338778
