#规则索引,序号,奖励说明,是否模板 1是,说明标题（默认是玩法介绍）
rule_ks,index_kn,des_s,templet,title_s
huanianRule,2,2、提升等阶可获得大量属性。,,
huanianRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
huanianRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
lingquRule,1,1、提升等阶可激活更炫酷的外形。,,
lingquRule,2,2、提升等阶可获得大量属性。,,
lingquRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
lingquRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
tiannvRule,1,1、女儿国王系统开启时，女儿国王将上阵进行战斗。,,
tiannvRule,2,2、女儿国王技能能够让女儿国王在战斗中有强大的输出，几率控制和强大的防御。,,
tiannvRule,3,3、在多人组队战斗中，出战多位玩家中最高战斗力的女儿国王。,,
tiannvRule,4,4、当仙位、花辇、灵气开启时，对应的技能将会为女儿国王所用。,,
tiannvRule,5,5、提升等阶可激活更炫酷的外形。,,
tiannvRule,6,6、提升等阶可获得大量属性。,,
tiannvRule,7,7、提升等阶可佩戴更强大的装备，获得大量属性。,,
tiannvRule,8,8、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
marryRule,1,1、求婚必须双方相互关注且在线。,,
marryRule,2,2、结婚分为三档：简朴、热闹、豪华。,,
marryRule,3,3、三档不同结婚获得的结婚奖励和结婚房屋属性条数不一样。,,
marryRule,4,4、简朴、热闹、豪华结婚激活房屋属性条数分别为1条、2条、3条。,,
marryRule,5,5、离婚不会影响房屋的属性，只是不能继续培养（必须是结婚状态才能培养）,,
marryRule,6,6、再次结婚选择档次比之前低，房屋的品质是取最高的。例如第一次结婚是豪华结婚，结婚豪华别墅；离婚后再结婚朴素的，房屋依然是豪华别墅。,,
clubRule,1,1、帮贡获得：完成“帮会活跃”里的任务即可获得大量帮贡。,,
clubRule,2,2、帮会商店：帮贡可兑换道具，某些特殊道具兑换和帮会等级相关。,,
clubRule,3,3、帮会地图：进入地图后，挂机战斗将以离线的方式进行计算经验。,,
clubRule,4,4、帮会任务：在帮会地图中可以完成帮会任务获得大量帮贡。每天在12点-13点活动内做帮会任务会加倍完成效率。,,
clubRule,5,5、帮会收购：帮会收购所需的物品是通过帮会任务获得。,,
clubRule,6,6、帮会上香：每天上香的次数和帮会等级相关。,,
clubRule,7,7、帮会副本：帮会等级越高开启帮会副本等级越高。,,
clubRule,8,8、帮会技能：学习帮会技能能获得属性。,,
clubRule,9,9、帮主超过3天未登陆，职位将转让给近7天内有登陆过且帮贡最高的玩家。,,
clubRule,10,10、离开帮会，帮贡和帮会技能不会被清空。,,
yabiaoRule,1,1、每天#green11:00-13:00和23:00-01:00时间内奖励翻倍#rf,,
yabiaoRule,2,2、玩家每天有3次押送机会，有5次拦截次数。,,
yabiaoRule,3,3、拦截其他玩家无论是否成功都算1次。,,
yabiaoRule,4,4、每次押送最多被拦截2次。,,
yabiaoRule,5,5、被其他玩家拦截成功了会损失一定的押送奖励。,,
yabiaoRule,6,6、单次押送只能拦截1次。,,
yabiaoRule,7,7、刷新到橙色镖车被拦截后不会损失奖励。,,
xianlvRule,1,1、仙君进阶需要消耗仙君进阶丹，进阶可获得大量属性。,,
xianlvRule,2,2、品质越的仙君，初始技能输出威力效果更高。,,
xianlvRule,3,3、仙君升星需要消耗同类型的仙君碎片，升星可增加技能威力。,,
xianlvRule,4,4、仙君奇缘可获得稀有属性加成，该属性将无视攻击和防御独立计算效果。,,
petUpgradeRule,1,1、宠物升级可获得属性提升。,,
petUpgradeRule,2,2、宠物品质越高，初始技能输出的威力效果更高，被动技能算了也越多。,,
petUpgradeRule,3,3、洗练技能可提升主动技能和改变被动技能效果和等级。,,
petSkillRule,1,1、宠物技能洗练可通过消耗“宠物技能石”或“特级技能石”来洗练。,,
petSkillRule,2,2、使用“特级技能石”每次增加10次洗练次数。,,
petSkillRule,3,3、主动技能不能洗练。,,
petSkillRule,4,4、技能品质越高技能效果越强。,,
petSkillRule,5,5、洗练时【被动】触发技能同类型仅会出现一种。【固定】属性技能最多可出现2个同种类型。,,
petSkillRule,6,6、技能锁定后，洗练技能时该槽的技能不会发生改变。,,
petSkillRule,7,7、锁定的技能在每次洗练时需要消耗元宝。,,
petSkillRule,8,8、洗练出来的技能需要更换才生效，更换后之前的技能将被替换（根据自己需求来更换）。,,
petSkillRule,9,9、洗练的星级越高，洗练出来的技能品质越高。,,
shituRule,1,1、55级开启师徒系统，师傅必须≥徒弟3级方可招徒。,,
shituRule,2,2、每个师傅可收两名徒弟，徒弟只能拜一位名师。,,
shituRule,3,3、师徒关系建立后即可传功（大量经验）和做师徒任务。,,
shituRule,4,4、建立师徒关系第8天后就可出师。,,
shituRule,5,5、徒弟可选择完美出师和普通出师（师傅不能选择，出师可获得#orange突破丹#rf）。,,
shituRule,6,6、若第9天徒弟还未进行出师操作，则师傅可进行强制出师，获得普通出师奖励。,,
XiyouWelfareRule,1,1、每天24点服务器等级排名前3玩家的平均等级即为世界等级。,,
XiyouWelfareRule,2,2、当世界等级-自身等级≤3级以内时，每次可以领取660元宝,,
XiyouWelfareRule,3,3、当世界等级-自己等级＞3级以上时，玩家可以领取海量经验。,,
fabaoRule,1,1、法宝槽位激活后可佩戴法宝。,,
fabaoRule,2,2、佩戴的法宝级别越高，增加属性越多。,,
fabaoRule,3,3、完美和传说级别的法宝，拥有强大的特技，特技在主角战斗时触发。,,
fabaoRule,4,4、佩戴法宝后，可提升法宝槽位等级，佩戴越高品质的法宝，增加属性越多。,,
fabaoRule,5,5、法宝的特技还可以通过升级槽位等级来提升特技效果。,,
fabaoRule,6,6、法宝锁定后将无法被分解。,,
fabaoRule,7,7、法宝特技释放规则：在战斗中触发了法宝攻击型特技，本该在该回合触发的普通技能则在下一回合释放。后面的普通技能也都依次根据顺序往后释放。,,
fabaodazaoRule,1,1、消耗打造必要材料可随机获得一件法宝。,,
fabaodazaoRule,2,2、累计20次完美打造，必定出完美级别以上的法宝（完美以上法宝是完美和传说的法宝，拥有特技）,,
GlobalMine,1,1.开服≥4天角色等级≥90级,,
GlobalMine,2,2.3个服为一个战场，每个服为一个阵营,,
GlobalMine,3,3.采集粉矿可获得#red粉晶矿宝箱#rf，粉晶矿宝箱打开可获得元宝，概率获得珍稀#red皮肤碎片#rf,,
GlobalMine,4,4.玩法说明,,
GlobalMine,5,一、进入战场后在对应服所在阵营基地,,
GlobalMine,6,二、通过抢夺矿和采矿来获得收益,,
GlobalMine,7,三、战场中有1个粉晶矿、4个紫晶矿、6个蓝晶矿、9个绿晶矿（每个阵营附近的3个绿晶矿，其他阵营的玩家是不能进行抢夺和占领）,,
GlobalMine,8,四、占领矿后，本阵营的玩家可进行采矿，不可抢夺本阵营玩家的矿。,,
GlobalMine,9,五、占领矿的玩家或队伍则成为该矿的守矿者，其他服玩家来抢占该矿需要挑战守矿者,,
GlobalMine,10,六、每个类型的矿可容纳的采矿人数不同,,
GlobalMine,11,七、采集对应的矿即可获得对应的晶矿宝箱和阵营积分,,
GlobalMine,12,八、该获得场景为自由PK场景,,
PeerlessRule,1,1.开启等级120级,,
PeerlessRule,2,2.天下第一每周举行一届,,
PeerlessRule,3,3.每轮比赛前5分钟同步玩家的属性,,
PeerlessRule,4,4.报名时间：每周一00:00-20:55,,
PeerlessRule,5,5.榜区：,,
PeerlessRule,6,人榜：120-149级,,
PeerlessRule,7,天榜：150-179级,,
PeerlessRule,8,佛榜：180-209级,,
PeerlessRule,9,仙榜：210-239级,,
PeerlessRule,10,神榜：240-269级,,
PeerlessRule,11,帝榜：270-300级,,
PeerlessRule,12,6.赛制,,
PeerlessRule,13,战区：每80人划分1个战区,,
PeerlessRule,14,海选赛：周一晚上21:00，战区积分前16进入16强,,
PeerlessRule,15,16强赛：周二晚上21：00，胜者进入8强,,
PeerlessRule,16,8强赛：周三晚上21：00，胜者进入4强,,
PeerlessRule,17,4强赛：周四晚上21：00，胜者进入决赛,,
PeerlessRule,18,总决赛：周五晚上21：00，胜者为总冠军,,
PeerlessRule,19,7.押注：每轮比赛前可押注一位胜利者玩家，押注成功可活动大量奖励,,
PeerlessRule,20,8.每轮比赛获胜可获得海量奖励,,
wulinRule,1,1.活动时间：开服4天后的周二、四、六的20：00-20：20,,
wulinRule,2,2.参与等级：90级以上,,
wulinRule,3,3.比武大赛分为8层，层数越高，每分钟获得的奖励越好,,
wulinRule,4,4.击败对手则向上跳层，被人击败则掉层。,,
wulinRule,5,5.击败对手获得积分，层数越高获得积分越多。,,
wulinRule,6,6.积分达到一定目标可领取积分目标奖励。,,
wulinRule,7,7.积分排名靠前，可获得排名奖励。,,
wulinRule,8,8.第1个到第8层的成为本届武林盟主，每1分钟可获得珍稀道具，打败武林盟主可成为新的武林盟主。,,
wulinRule,9,9.该活动场景为自由PK场景。,,
wulinRule,10,10.每两分钟更新一次小怪,,
PetUnionRule,1,1、合成宠物时，需要先合成上阶宠物后才能合成下阶宠物。,,
PetUnionRule,2,2、同阶宠物都满足合成时，合成时有概率获得其他宠物。,,
PetUnionRule,3,3、合成成功后，获得宠物卡，使用道具激活相应宠物。,,
PetUnionRule,4,4、根据提示信息放入正确材料可以提升成功率。,,
PetUnionRule,5,5、使用不同的材料，有可能出现不同的宠物。,,
GlobalMineRank,1,1、最近相邻的24个服为一个榜,,
GlobalMineRank,2,2、根据各自服累积一个月的积分进行排名,,
GlobalMineRank,3,3、每个月的1号0点，重置排名和排名积分,,
GlobalMineRank,4,4、根据排名，每个月的1号会以邮件形式发送奖励,,
strongholdBossRule,1,1、每天中午12点半开启抢夺钥匙。,,
strongholdBossRule,2,2、抢夺钥匙后，持有2分钟，可以击杀boss获得奖励。,,
strongholdBossRule,3,3、奖励进入玩家所在公会仓库中，由会长和副会长进行分配。,,
strongholdBossRule,4,4、非公会玩家不能持有钥匙。,,
strongholdBossRule,5,5、场景中帮会成员越多可以获得鼓舞加成，全面提升玩家能力，最高提升60%。,,
strongholdBossRule,6,6、击败其他玩家将被该玩家诅咒，全面降低玩家能力，最高达到100%。,,
strongholdBossRule,7,7、战斗前4回合，上阵角色被击杀时强制保留1点血量。,,
ShenhunRule,1,1、神魂分为种族专属和通用，每个种族只能用该种族专属的神魂和通用神魂,,
ShenhunRule,2,2、种族专属神魂只能镌刻一个，同一种神魂也只能镌刻一个,,
ShenhunRule,3,3、神魂可通过吞噬其他神魂进行强化，强化后属性将加强，最高15级,,
ShenhunRule,4,4、强化后的神魂再用于强化，会流失一部分经验,,
ShenhunRule,5,5、神魂有不同品质，不同品质的技能效果不同,,
ShenhunRule,6,6、神魂可通过钟馗猎魂获得,,
ShenhunRule,7,7、钟馗猎魂分元宝猎魂和魂币猎魂，从高老庄开始，在线挂机有几率掉落魂币,,
