野外boss索引,怪物entryId,等级（要求）,能否组队,怪物列表,固定掉落,刷新时间,刷新时间描述,掉落预览（固定）,掉落预览（稀有）,挑战消耗,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,普通物品掉落库
20,8001010,120,0,"[2]=8001009,[3]=8001009,[4]=8001009,[5]=8001009,[6]=8001009,[8]=8001009,[9]=8001009,[10]=8001010,[11]=8001009,[12]=8001009","{""bindRmb"",180},{""item"",60019,3},{""funds"",91800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,91800}","{""equip"",15062,1,5},{""equip"",15053,1,5},{""equip"",15054,1,5}","{""item"",60011,0}",107,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}",
21,8001110,130,0,"[2]=8001109,[3]=8001109,[4]=8001109,[5]=8001109,[6]=8001109,[8]=8001109,[9]=8001109,[10]=8001110,[11]=8001109,[12]=8001109","{""bindRmb"",180},{""item"",60019,3},{""funds"",96800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,96800}","{""equip"",15062,1,5},{""equip"",15053,1,5},{""equip"",15054,1,5}","{""item"",60011,0}",107,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}",
22,8001210,140,0,"[2]=8001209,[3]=8001209,[4]=8001209,[5]=8001209,[6]=8001209,[8]=8001209,[9]=8001209,[10]=8001210,[11]=8001209,[12]=8001209","{""bindRmb"",180},{""item"",60019,3},{""funds"",102000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,102000}","{""equip"",15072,1,5},{""equip"",15073,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,1}",108,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1001,1002,"
23,8001310,150,0,"[2]=8001309,[3]=8001309,[4]=8001309,[5]=8001309,[6]=8001309,[8]=8001309,[9]=8001309,[10]=8001310,[11]=8001309,[12]=8001309","{""bindRmb"",180},{""item"",60019,3},{""funds"",107000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,107000}","{""equip"",15072,1,5},{""equip"",15073,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,1}",108,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1001,1002,"
24,8001410,160,0,"[2]=8001409,[3]=8001409,[4]=8001409,[5]=8001409,[6]=8001409,[8]=8001409,[9]=8001409,[10]=8001410,[11]=8001409,[12]=8001409","{""bindRmb"",180},{""item"",60019,3},{""funds"",112000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,112000}","{""equip"",15082,1,5},{""equip"",15083,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,2}",109,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1003,1004,"
25,8001510,170,0,"[2]=8001509,[3]=8001509,[4]=8001509,[5]=8001509,[6]=8001509,[8]=8001509,[9]=8001509,[10]=8001510,[11]=8001509,[12]=8001509","{""bindRmb"",180},{""item"",60019,3},{""funds"",117000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,117000}","{""equip"",15082,1,5},{""equip"",15083,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,2}",109,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1003,1004,"
26,50000006,180,0,"[2]=8001609,[3]=8001609,[4]=8001609,[5]=8001609,[6]=8001609,[8]=8001609,[9]=8001609,[10]=8001610,[11]=8001609,[12]=8001609","{""bindRmb"",180},{""item"",60019,3},{""funds"",122000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,122000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
27,50000005,190,0,"[2]=8001709,[3]=8001709,[4]=8001709,[5]=8001709,[6]=8001709,[8]=8001709,[9]=8001709,[10]=8001710,[11]=8001709,[12]=8001709","{""bindRmb"",180},{""item"",60019,3},{""funds"",127000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,127000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
28,8001810,200,0,"[2]=8001809,[3]=8001809,[4]=8001809,[5]=8001809,[6]=8001809,[8]=8001809,[9]=8001809,[10]=8001810,[11]=8001809,[12]=8001809","{""bindRmb"",180},{""item"",60019,3},{""funds"",132000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60019,3},{""item"",60055,132000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
29,8001910,220,0,"[2]=8001909,[3]=8001909,[4]=8001909,[5]=8001909,[6]=8001909,[8]=8001909,[9]=8001909,[10]=8001910,[11]=8001909,[12]=8001909","{""bindRmb"",180},{""item"",60012,3},{""funds"",137000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60012,3},{""item"",60055,137000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
30,50000001,240,0,"[2]=8002009,[3]=8002009,[4]=8002009,[5]=8002009,[6]=8002009,[8]=8002009,[9]=8002009,[10]=8002010,[11]=8002009,[12]=8002009","{""bindRmb"",180},{""item"",60012,3},{""funds"",142000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60012,3},{""item"",60055,142000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
31,50000003,260,0,"[2]=8002109,[3]=8002109,[4]=8002109,[5]=8002109,[6]=8002109,[8]=8002109,[9]=8002109,[10]=8002110,[11]=8002109,[12]=8002109","{""bindRmb"",180},{""item"",60012,3},{""funds"",147000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60012,3},{""item"",60055,147000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
32,50000004,280,0,"[2]=8002209,[3]=8002209,[4]=8002209,[5]=8002209,[6]=8002209,[8]=8002209,[9]=8002209,[10]=8002210,[11]=8002209,[12]=8002209","{""bindRmb"",180},{""item"",60012,3},{""funds"",152000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"{""item"",60056,180},{""item"",60012,3},{""item"",60055,152000}","{""equip"",15092,1,5},{""equip"",15093,1,5},{""item"",60007,1},{""item"",60009,1}","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,19000},{1,1000}","1005,1006,"
