章节id,地图Id,遇怪使用的关卡起始ＩＤ,向后随机多少关,掉落装备概率,掉落绿色装备概率,装备套装id,经验,银两,多少秒遇怪一次,魂币掉落几率,每天上限
1147,50018,1030,10,0.5,0.2,110,113357,1090,6,0.05917,43
1148,50018,1030,10,0.5,0.2,110,113357,1090,6,0.05917,43
1149,50018,1030,10,0.5,0.2,110,113357,1100,6,0.05917,43
1150,50018,1030,10,0.5,0.2,110,113357,1100,6,0.05917,43
1151,50018,1030,10,0.5,0.2,110,113357,1100,6,0.05917,43
1152,50018,1030,10,0.5,0.2,110,113357,1110,6,0.05917,43
1153,50018,1030,10,0.5,0.2,110,113357,1110,6,0.05917,43
1154,50018,1030,10,0.5,0.2,110,113357,1110,6,0.05917,43
1155,50018,1030,10,0.5,0.2,110,113357,1120,6,0.05917,43
1156,50018,1030,10,0.5,0.2,110,113357,1120,6,0.05917,43
1157,50018,1030,10,0.5,0.2,110,113357,1120,6,0.05917,43
1158,50018,1030,10,0.5,0.2,110,113357,1130,6,0.05917,43
1159,50018,1030,10,0.5,0.2,110,113357,1130,6,0.05917,43
1160,50025,1030,10,0.5,0.2,110,125953,1130,6,0.06063,44
1161,50025,1030,10,0.5,0.2,110,125953,1130,6,0.06063,44
1162,50025,1030,10,0.5,0.2,110,125953,1140,6,0.06063,44
1163,50025,1030,10,0.5,0.2,110,125953,1140,6,0.06063,44
1164,50025,1030,10,0.5,0.2,110,125953,1140,6,0.06063,44
1165,50025,1030,10,0.5,0.2,110,125953,1150,6,0.06063,44
1166,50025,1030,10,0.5,0.2,110,125953,1150,6,0.06063,44
1167,50025,1030,10,0.5,0.2,110,125953,1150,6,0.06063,44
1168,50025,1030,10,0.5,0.2,110,125953,1160,6,0.06063,44
1169,50025,1030,10,0.5,0.2,110,125953,1160,6,0.06063,44
1170,50025,1030,10,0.5,0.2,110,125953,1160,6,0.06063,44
1171,50025,1030,10,0.5,0.2,110,125953,1170,6,0.06063,44
1172,50025,1030,10,0.5,0.2,110,125953,1170,6,0.06063,44
1173,50025,1030,10,0.5,0.2,110,125953,1170,6,0.06063,44
1174,50025,1030,10,0.5,0.2,110,125953,1180,6,0.06063,44
1175,50025,1030,10,0.5,0.2,110,125953,1180,6,0.06063,44
1176,50014,1030,10,0.5,0.2,110,138548,1180,6,0.06208,45
1177,50014,1030,10,0.5,0.2,110,138548,1180,6,0.06208,45
1178,50014,1030,10,0.5,0.2,110,138548,1190,6,0.06208,45
1179,50014,1030,10,0.5,0.2,110,138548,1190,6,0.06208,45
1180,50014,1030,10,0.5,0.2,110,138548,1190,6,0.06208,45
1181,50014,1030,10,0.5,0.2,110,138548,1200,6,0.06208,45
1182,50014,1030,10,0.5,0.2,110,138548,1200,6,0.06208,45
1183,50014,1030,10,0.5,0.2,110,138548,1200,6,0.06208,45
1184,50014,1030,10,0.5,0.2,110,138548,1200,6,0.06208,45
1185,50014,1030,10,0.5,0.2,110,138548,1210,6,0.06208,45
1186,50014,1030,10,0.5,0.2,110,138548,1210,6,0.06208,45
1187,50014,1030,10,0.5,0.2,110,138548,1210,6,0.06208,45
1188,50014,1030,10,0.5,0.2,110,138548,1220,6,0.06208,45
1189,50014,1030,10,0.5,0.2,110,138548,1220,6,0.06208,45
1190,50014,1030,10,0.5,0.2,110,138548,1220,6,0.06208,45
1191,50014,1030,10,0.5,0.2,110,138548,1230,6,0.06208,45
1192,50014,1030,10,0.5,0.2,110,138548,1230,6,0.06208,45
1193,50015,1030,10,0.5,0.2,110,151931,1230,6,0.06354,46
1194,50015,1030,10,0.5,0.2,110,151931,1230,6,0.06354,46
1195,50015,1030,10,0.5,0.2,110,151931,1240,6,0.06354,46
1196,50015,1030,10,0.5,0.2,110,151931,1240,6,0.06354,46
1197,50015,1030,10,0.5,0.2,110,151931,1240,6,0.06354,46
1198,50015,1030,10,0.5,0.2,110,151931,1240,6,0.06354,46
1199,50015,1030,10,0.5,0.2,110,151931,1250,6,0.06354,46
1200,50015,1030,10,0.5,0.2,110,151931,1250,6,0.06354,46
1201,50015,1030,10,0.5,0.2,110,151931,1250,6,0.06354,46
1202,50015,1030,10,0.5,0.2,110,151931,1260,6,0.06354,46
1203,50015,1030,10,0.5,0.2,110,151931,1260,6,0.06354,46
1204,50015,1030,10,0.5,0.2,110,151931,1260,6,0.06354,46
1205,50015,1030,10,0.5,0.2,110,151931,1270,6,0.06354,46
1206,50015,1030,10,0.5,0.2,110,151931,1270,6,0.06354,46
1207,50015,1030,10,0.5,0.2,110,151931,1270,6,0.06354,46
1208,50015,1030,10,0.5,0.2,110,151931,1280,6,0.06354,46
1209,50015,1030,10,0.5,0.2,110,165312,1280,6,0.06354,46
1210,50008,1030,10,0.5,0.2,110,165312,1280,6,0.065,47
1211,50008,1030,10,0.5,0.2,110,165312,1280,6,0.065,47
1212,50008,1030,10,0.5,0.2,110,165312,1390,6,0.065,47
1213,50008,1030,10,0.5,0.2,110,165312,1390,6,0.065,47
1214,50008,1030,10,0.5,0.2,110,165312,1390,6,0.065,47
1215,50008,1030,10,0.5,0.2,110,165312,1390,6,0.065,47
1216,50008,1030,10,0.5,0.2,110,165312,1390,6,0.065,47
1217,50008,1030,10,0.5,0.2,110,165312,1300,6,0.065,47
1218,50008,1030,10,0.5,0.2,110,165312,1300,6,0.065,47
1219,50008,1030,10,0.5,0.2,110,165312,1300,6,0.065,47
1220,50008,1030,10,0.5,0.2,110,165312,1310,6,0.065,47
1221,50008,1030,10,0.5,0.2,110,165312,1310,6,0.065,47
1222,50008,1030,10,0.5,0.2,110,165312,1310,6,0.065,47
1223,50008,1030,10,0.5,0.2,110,165312,1310,6,0.065,47
1224,50008,1030,10,0.5,0.2,110,165312,1320,6,0.065,47
1225,50008,1030,10,0.5,0.2,110,165312,1320,6,0.065,47
1226,50008,1030,10,0.5,0.2,110,165312,1320,6,0.065,47
1227,50008,1030,10,0.5,0.2,110,165312,1320,6,0.065,47
1228,50008,1030,10,0.5,0.2,110,165312,1330,6,0.065,47
1229,50008,1030,10,0.5,0.2,110,181056,1330,6,0.065,47
1230,50007,1030,10,0.5,0.2,110,181056,1330,6,0.06646,48
1231,50007,1030,10,0.5,0.2,110,181056,1330,6,0.06646,48
1232,50007,1030,10,0.5,0.2,110,181056,1340,6,0.06646,48
1233,50007,1030,10,0.5,0.2,110,181056,1340,6,0.06646,48
1234,50007,1030,10,0.5,0.2,110,181056,1340,6,0.06646,48
1235,50007,1030,10,0.5,0.2,110,181056,1340,6,0.06646,48
1236,50007,1030,10,0.5,0.2,110,181056,1340,6,0.06646,48
1237,50007,1030,10,0.5,0.2,110,181056,1350,6,0.06646,48
1238,50007,1030,10,0.5,0.2,110,181056,1350,6,0.06646,48
1239,50007,1030,10,0.5,0.2,110,181056,1350,6,0.06646,48
1240,50007,1030,10,0.5,0.2,110,181056,1360,6,0.06646,48
1241,50007,1030,10,0.5,0.2,110,181056,1360,6,0.06646,48
1242,50007,1030,10,0.5,0.2,110,181056,1360,6,0.06646,48
1243,50007,1030,10,0.5,0.2,110,181056,1360,6,0.06646,48
1244,50007,1030,10,0.5,0.2,110,181056,1370,6,0.06646,48
1245,50007,1030,10,0.5,0.2,110,181056,1370,6,0.06646,48
1246,50007,1030,10,0.5,0.2,110,181056,1370,6,0.06646,48
1247,50007,1030,10,0.5,0.2,110,181056,1370,6,0.06646,48
1248,50007,1030,10,0.5,0.2,110,181056,1380,6,0.06646,48
1249,50007,1030,10,0.5,0.2,110,196800,1380,6,0.06646,48
1250,50011,1030,10,0.5,0.2,110,196800,1380,6,0.06792,49
1251,50011,1030,10,0.5,0.2,110,196800,1380,6,0.06792,49
1252,50011,1030,10,0.5,0.2,110,196800,1380,6,0.06792,49
1253,50011,1030,10,0.5,0.2,110,196800,1390,6,0.06792,49
1254,50011,1030,10,0.5,0.2,110,196800,1390,6,0.06792,49
1255,50011,1030,10,0.5,0.2,110,196800,1390,6,0.06792,49
1256,50011,1030,10,0.5,0.2,110,196800,1390,6,0.06792,49
1257,50011,1030,10,0.5,0.2,110,196800,1390,6,0.06792,49
1258,50011,1030,10,0.5,0.2,110,196800,1400,6,0.06792,49
1259,50011,1030,10,0.5,0.2,110,196800,1400,6,0.06792,49
1260,50011,1030,10,0.5,0.2,110,196800,1400,6,0.06792,49
1261,50011,1030,10,0.5,0.2,110,196800,1410,6,0.06792,49
1262,50011,1030,10,0.5,0.2,110,196800,1410,6,0.06792,49
1263,50011,1030,10,0.5,0.2,110,196800,1410,6,0.06792,49
1264,50011,1030,10,0.5,0.2,110,196800,1410,6,0.06792,49
1265,50011,1030,10,0.5,0.2,110,196800,1410,6,0.06792,49
1266,50011,1030,10,0.5,0.2,110,196800,1420,6,0.06792,49
1267,50011,1030,10,0.5,0.2,110,196800,1420,6,0.06792,49
1268,50011,1030,10,0.5,0.2,110,196800,1420,6,0.06792,49
1269,50011,1030,10,0.5,0.2,110,196800,1420,6,0.06792,49
1270,50011,1030,10,0.5,0.2,110,196800,1420,6,0.06792,49
1271,50011,1030,10,0.5,0.2,110,196800,1430,6,0.06792,49
1272,50011,1030,10,0.5,0.2,110,196800,1430,6,0.06792,49
1273,50011,1030,10,0.5,0.2,110,196800,1430,6,0.06792,49
1274,50011,1030,10,0.5,0.2,110,216481,1430,6,0.06792,49
1275,50022,1030,10,0.5,0.2,110,216481,1430,6,0.06938,50
1276,50022,1030,10,0.5,0.2,110,216481,1440,6,0.06938,50
1277,50022,1030,10,0.5,0.2,110,216481,1440,6,0.06938,50
1278,50022,1030,10,0.5,0.2,110,216481,1440,6,0.06938,50
1279,50022,1030,10,0.5,0.2,110,216481,1440,6,0.06938,50
1280,50022,1030,10,0.5,0.2,110,216481,1450,6,0.06938,50
1281,50022,1030,10,0.5,0.2,110,216481,1450,6,0.06938,50
1282,50022,1030,10,0.5,0.2,110,216481,1450,6,0.06938,50
1283,50022,1030,10,0.5,0.2,110,216481,1450,6,0.06938,50
1284,50022,1030,10,0.5,0.2,110,216481,1460,6,0.06938,50
1285,50022,1030,10,0.5,0.2,110,216481,1460,6,0.06938,50
1286,50022,1030,10,0.5,0.2,110,216481,1460,6,0.06938,50
1287,50022,1030,10,0.5,0.2,110,216481,1470,6,0.06938,50
1288,50022,1030,10,0.5,0.2,110,216481,1470,6,0.06938,50
1289,50022,1030,10,0.5,0.2,110,216481,1470,6,0.06938,50
1290,50022,1030,10,0.5,0.2,110,216481,1480,6,0.06938,50
1291,50022,1030,10,0.5,0.2,110,216481,1480,6,0.06938,50
1292,50022,1030,10,0.5,0.2,110,216481,1480,6,0.06938,50
1293,50022,1030,10,0.5,0.2,110,216481,1490,6,0.06938,50
1294,50022,1030,10,0.5,0.2,110,216481,1490,6,0.06938,50
1295,50022,1030,10,0.5,0.2,110,216481,1490,6,0.06938,50
1296,50022,1030,10,0.5,0.2,110,216481,1500,6,0.06938,50
1297,50022,1030,10,0.5,0.2,110,216481,1500,6,0.06938,50
1298,50022,1030,10,0.5,0.2,110,216481,1500,6,0.06938,50
