全民boss索引,怪物entryId,等级（要求）,boss名字,复活消耗,怪物复活时间,能否组队,怪物列表,掉落预览,战斗经验,月卡加成系数,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,金装碎片权重,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,第一名邮件金色掉落装备,金装概率,金装碎片权重,第一名经验,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,其他名邮件金色掉落装备,金装概率,金装碎片权重,其他名次经验,复活需要vip等级
20,7001010,112,重明鸟（112级）,"{60014, 1}",3600,0,"[2]=7001009,[3]=7001009,[4]=7001009,[5]=7001009,[6]=7001009,[8]=7001009,[9]=7001009,[10]=7001010,[11]=7001009,[12]=7001009","{""item"",60061,390000},{""equip"",15052,1,5},{""equip"",15056,1,5}",390000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,19}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{5,55}",908700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,19}","{1,200},{2,100}","{106,1}","{0,299},{1,1}","{0,45},{4,55}",585000,6
21,7001110,120,九尾狐（120级）,"{60015, 1}",7200,0,"[2]=7001109,[3]=7001109,[4]=7001109,[5]=7001109,[6]=7001109,[8]=7001109,[9]=7001109,[10]=7001110,[11]=7001109,[12]=7001109","{""item"",60061,480000},{""equip"",15062,1,5},{""equip"",15068,1,5}",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,20}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{5,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,20}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{4,55}",720000,6
22,7001210,124,巨灵（124级）,"{60015, 1}",7200,0,"[2]=7001209,[3]=7001209,[4]=7001209,[5]=7001209,[6]=7001209,[8]=7001209,[9]=7001209,[10]=7001210,[11]=7001209,[12]=7001209","{""item"",60061,480000},{""equip"",15062,1,5},{""equip"",15068,1,5}",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,21}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{6,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,21}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{5,55}",720000,6
23,7001310,128,白熊精（128级）,"{60015, 1}",7200,0,"[2]=7001309,[3]=7001309,[4]=7001309,[5]=7001309,[6]=7001309,[8]=7001309,[9]=7001309,[10]=7001310,[11]=7001309,[12]=7001309","{""item"",60061,480000},{""equip"",15062,1,5},{""equip"",15068,1,5}",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,22}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{6,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,22}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{5,55}",720000,6
24,7001410,132,龙龟（132级）,"{60015, 1}",7200,0,"[2]=7001409,[3]=7001409,[4]=7001409,[5]=7001409,[6]=7001409,[8]=7001409,[9]=7001409,[10]=7001410,[11]=7001409,[12]=7001409","{""item"",60061,690000},{""equip"",15062,1,5},{""equip"",15068,1,5}",690000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,23}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{6,55}",1607700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,23}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{5,55}",1035000,6
25,7001510,136,晶魂（136级）,"{60015, 1}",7200,0,"[2]=7001509,[3]=7001509,[4]=7001509,[5]=7001509,[6]=7001509,[8]=7001509,[9]=7001509,[10]=7001510,[11]=7001509,[12]=7001509","{""item"",60061,690000},{""equip"",15062,1,5},{""equip"",15068,1,5}",690000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,24}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{7,55}",1607700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,24}","{1,100}","{107,1}","{0,299},{1,1}","{0,45},{6,55}",1035000,6
26,7001610,140,麒麟（140级）,"{60015, 1}",14400,0,"[2]=7001609,[3]=7001609,[4]=7001609,[5]=7001609,[6]=7001609,[8]=7001609,[9]=7001609,[10]=7001610,[11]=7001609,[12]=7001609","{""item"",60061,830000},{""equip"",15073,1,5},{""equip"",15079,1,5}",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,25}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{7,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,25}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{6,55}",1245000,6
27,7001710,144,黑风小妖（144级）,"{60015, 1}",14400,0,"[2]=7001709,[3]=7001709,[4]=7001709,[5]=7001709,[6]=7001709,[8]=7001709,[9]=7001709,[10]=7001710,[11]=7001709,[12]=7001709","{""item"",60061,830000},{""equip"",15073,1,5},{""equip"",15079,1,5}",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,26}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{7,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,26}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{6,55}",1245000,6
28,7001810,148,熊猫（148级）,"{60015, 1}",14400,0,"[2]=7001809,[3]=7001809,[4]=7001809,[5]=7001809,[6]=7001809,[8]=7001809,[9]=7001809,[10]=7001810,[11]=7001809,[12]=7001809","{""item"",60061,830000},{""equip"",15073,1,5},{""equip"",15079,1,5}",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,27}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{8,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,27}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{7,55}",1245000,6
29,7001910,152,黑水玄蛇（152级）,"{60015, 1}",14400,0,"[2]=7001909,[3]=7001909,[4]=7001909,[5]=7001909,[6]=7001909,[8]=7001909,[9]=7001909,[10]=7001910,[11]=7001909,[12]=7001909","{""item"",60061,1000000},{""equip"",15073,1,5},{""equip"",15079,1,5}",1000000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,28}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{8,55}",2330000,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,28}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{7,55}",1500000,6
30,7002010,156,火灵（156级）,"{60015, 1}",14400,0,"[2]=7002009,[3]=7002009,[4]=7002009,[5]=7002009,[6]=7002009,[8]=7002009,[9]=7002009,[10]=7002010,[11]=7002009,[12]=7002009","{""item"",60061,1000000},{""equip"",15073,1,5},{""equip"",15079,1,5}",1000000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,29}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{8,55}",2330000,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,29}","{1,100}","{108,1}","{0,299},{1,1}","{0,45},{7,55}",1500000,6
31,7002110,160,猿猴（160级）,"{60015, 1}",21600,0,"[2]=7002109,[3]=7002109,[4]=7002109,[5]=7002109,[6]=7002109,[8]=7002109,[9]=7002109,[10]=7002110,[11]=7002109,[12]=7002109","{""item"",60061,1180000},{""equip"",15082,1,5},{""equip"",15087,1,5}",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,30}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,30}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{8,55}",1770000,6
32,7002210,164,地狱三头犬（164级）,"{60015, 1}",21600,0,"[2]=7002209,[3]=7002209,[4]=7002209,[5]=7002209,[6]=7002209,[8]=7002209,[9]=7002209,[10]=7002210,[11]=7002209,[12]=7002209","{""item"",60061,1180000},{""equip"",15085,1,5},{""equip"",15087,1,5}",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,31}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,31}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{8,55}",1770000,6
33,7002310,168,龙象精（168级）,"{60015, 1}",21600,0,"[2]=7002309,[3]=7002309,[4]=7002309,[5]=7002309,[6]=7002309,[8]=7002309,[9]=7002309,[10]=7002310,[11]=7002309,[12]=7002309","{""item"",60061,1180000},{""equip"",15082,1,5},{""equip"",15087,1,5}",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,32}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,32}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{8,55}",1770000,6
34,7002410,172,白象精（172级）,"{60015, 1}",21600,0,"[2]=7002409,[3]=7002409,[4]=7002409,[5]=7002409,[6]=7002409,[8]=7002409,[9]=7002409,[10]=7002410,[11]=7002409,[12]=7002409","{""item"",60061,1380000},{""equip"",15083,1,5},{""equip"",15087,1,5}",1380000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,33}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{10,55}",3215400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,33}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{9,55}",2070000,6
35,7002510,176,冰龙（176级）,"{60015, 1}",21600,0,"[2]=7002509,[3]=7002509,[4]=7002509,[5]=7002509,[6]=7002509,[8]=7002509,[9]=7002509,[10]=7002510,[11]=7002509,[12]=7002509","{""item"",60061,1380000},{""equip"",15082,1,5},{""equip"",15087,1,5}",1380000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,34}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{10,55}",3215400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,34}","{1,100}","{109,1}","{0,299},{1,1}","{0,45},{9,55}",2070000,6
36,7002610,180,星魔（180级）,"{60015, 1}",21600,0,"[2]=7002609,[3]=7002609,[4]=7002609,[5]=7002609,[6]=7002609,[8]=7002609,[9]=7002609,[10]=7002610,[11]=7002609,[12]=7002609","{""item"",60061,1570000},{""equip"",15091,1,5},{""equip"",15094,1,5}",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,35}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{10,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,35}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{9,55}",2355000,6
37,7002710,184,业魔（184级）,"{60015, 1}",21600,0,"[2]=7002709,[3]=7002709,[4]=7002709,[5]=7002709,[6]=7002709,[8]=7002709,[9]=7002709,[10]=7002710,[11]=7002709,[12]=7002709","{""item"",60061,1570000},{""equip"",15091,1,5},{""equip"",15094,1,5}",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,36}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,36}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{10,55}",2355000,6
38,7002810,188,剑侠兔（188级）,"{60015, 1}",21600,0,"[2]=7002809,[3]=7002809,[4]=7002809,[5]=7002809,[6]=7002809,[8]=7002809,[9]=7002809,[10]=7002810,[11]=7002809,[12]=7002809","{""item"",60061,1570000},{""equip"",15095,1,5},{""equip"",15094,1,5}",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,37}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,37}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{10,55}",2355000,6
39,7002910,192,封蛇（192级）,"{60015, 1}",21600,0,"[2]=7002909,[3]=7002909,[4]=7002909,[5]=7002909,[6]=7002909,[8]=7002909,[9]=7002909,[10]=7002910,[11]=7002909,[12]=7002909","{""item"",60061,1770000},{""equip"",15096,1,5},{""equip"",15094,1,5}",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,38}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,38}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{10,55}",2655000,6
40,7003010,196,鬼武者（196级）,"{60015, 1}",21600,0,"[2]=7003009,[3]=7003009,[4]=7003009,[5]=7003009,[6]=7003009,[8]=7003009,[9]=7003009,[10]=7003010,[11]=7003009,[12]=7003009","{""item"",60061,1770000},{""equip"",15098,1,5},{""equip"",15094,1,5}",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,39}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,39}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",2655000,6
41,50000005,200,魑（200级）,"{60015, 1}",21600,0,"[2]=7003109,[3]=7003109,[4]=7003109,[5]=7003109,[6]=7003109,[8]=7003109,[9]=7003109,[10]=7003110,[11]=7003109,[12]=7003109","{""item"",60061,1770000},{""equip"",15091,1,5},{""equip"",15094,1,5}",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,40}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,40}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",2655000,6
42,7003210,205,黑风老妖（205级）,"{60015, 1}",21600,0,"[2]=7003209,[3]=7003209,[4]=7003209,[5]=7003209,[6]=7003209,[8]=7003209,[9]=7003209,[10]=7003210,[11]=7003209,[12]=7003209","{""item"",60061,1980000},{""equip"",15091,1,5},{""equip"",15094,1,5}",1980000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,41}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",4613400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,41}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{11,55}",2871000,6
43,50000006,210,魅（210级）,"{60015, 1}",21600,0,"[2]=7003309,[3]=7003309,[4]=7003309,[5]=7003309,[6]=7003309,[8]=7003309,[9]=7003309,[10]=7003310,[11]=7003309,[12]=7003309","{""item"",60061,1980000},{""equip"",15093,1,5},{""equip"",15094,1,5}",1980000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,42}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",4613400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,42}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",2871000,6
44,7003410,215,招财猫（215级）,"{60015, 1}",21600,0,"[2]=7003409,[3]=7003409,[4]=7003409,[5]=7003409,[6]=7003409,[8]=7003409,[9]=7003409,[10]=7003410,[11]=7003409,[12]=7003409","{""item"",60061,2170000},{""equip"",15091,1,5},{""equip"",15094,1,5}",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,43}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,43}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",3146500,6
45,7003510,220,奎木狼（220级）,"{60015, 1}",21600,0,"[2]=7003509,[3]=7003509,[4]=7003509,[5]=7003509,[6]=7003509,[8]=7003509,[9]=7003509,[10]=7003510,[11]=7003509,[12]=7003509","{""item"",60061,2170000},{""equip"",15091,1,5},{""equip"",15094,1,5}",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,44}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,44}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{12,55}",3146500,6
46,7003610,225,熊猫大侠（225级）,"{60015, 1}",21600,0,"[2]=7003609,[3]=7003609,[4]=7003609,[5]=7003609,[6]=7003609,[8]=7003609,[9]=7003609,[10]=7003610,[11]=7003609,[12]=7003609","{""item"",60061,2170000},{""equip"",15092,1,5},{""equip"",15094,1,5}",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,45}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{14,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,45}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",3146500,6
47,7003710,230,青狮怪（230级）,"{60015, 1}",21600,0,"[2]=7003709,[3]=7003709,[4]=7003709,[5]=7003709,[6]=7003709,[8]=7003709,[9]=7003709,[10]=7003710,[11]=7003709,[12]=7003709","{""item"",60061,2370000},{""equip"",15097,1,5},{""equip"",15094,1,5}",2370000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,46}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{14,55}",5522100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,46}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",3436500,6
48,7003810,235,东海龙王（235级）,"{60015, 1}",21600,0,"[2]=7003809,[3]=7003809,[4]=7003809,[5]=7003809,[6]=7003809,[8]=7003809,[9]=7003809,[10]=7003810,[11]=7003809,[12]=7003809","{""item"",60061,2370000},{""equip"",15091,1,5},{""equip"",15094,1,5}",2370000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,47}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{14,55}",5522100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,47}","{1,100}","{110,1}","{0,299},{1,1}","{0,45},{13,55}",3436500,6
