等级阶段,等级说明,奖励索引位置,怪物条件需求,奖励内容,"快速完成消耗货币种类id(1，银两,3，元宝,2，绑定元宝）",快速完成消耗数量,VIP等级
200,200~209级,2,200,"{""exp"",930000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
210,210~219级,2,200,"{""exp"",1030000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
220,220~229级,2,200,"{""exp"",1135000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
230,230~239级,2,200,"{""exp"",1245000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
240,240~300级,2,200,"{""exp"",1355000},{""bindRmb"",500},{""item"",60075,5}",3,3000,6
40,40~69级,3,300,"{""exp"",40000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
70,70~79级,3,300,"{""exp"",60000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
80,80~89级,3,300,"{""exp"",73333},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
90,90~99级,3,300,"{""exp"",100000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
100,100~109级,3,300,"{""exp"",200000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
110,110~119级,3,300,"{""exp"",240000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
120,120~129级,3,300,"{""exp"",300000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
130,130~139级,3,300,"{""exp"",426667},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
140,140~149级,3,300,"{""exp"",513333},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
150,150~159级,3,300,"{""exp"",626667},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
160,160~169级,3,300,"{""exp"",740000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
170,170~179级,3,300,"{""exp"",860000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
180,180~189级,3,300,"{""exp"",980000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
190,190~199级,3,300,"{""exp"",1106667},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
200,200~209级,3,300,"{""exp"",1240000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
210,210~219级,3,300,"{""exp"",1373333},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
220,220~229级,3,300,"{""exp"",1513333},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
230,230~239级,3,300,"{""exp"",1660000},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
240,240~300级,3,300,"{""exp"",1806667},{""bindRmb"",500},{""item"",60013,1},{""item"",60046,4}",3,3000,6
