索引,索引2,钟馗伏魔等级阶段,等级说明,怪物,掉落库
11,17,"220,229,",220~229级,"[2]=3008109,[3]=3008109,[4]=3008109,[5]=3008109,[6]=3008109,[8]=3008109,[9]=3008109,[10]=3008110,[11]=3008109,[12]=3008109","{""exp"",2270000},{""funds"",61500},"
11,18,"230,239,",230~239级,"[2]=3008609,[3]=3008609,[4]=3008609,[5]=3008609,[6]=3008609,[8]=3008609,[9]=3008609,[10]=3008610,[11]=3008609,[12]=3008609","{""exp"",2490000},{""funds"",64000},"
11,19,"240,300,",240~300级,"[2]=3009109,[3]=3009109,[4]=3009109,[5]=3009109,[6]=3009109,[8]=3009109,[9]=3009109,[10]=3009110,[11]=3009109,[12]=3009109","{""exp"",2710000},{""funds"",66500},"
12,1,"0,69,",40~69级,"[8]=3000209,[9]=3000209,[10]=3000210,[11]=3000209","{""exp"",60000},{""funds"",21500},"
12,2,"70,79,",70~79级,"[2]=3000709,[3]=3000709,[4]=3000709,[5]=3000709,[6]=3000709,[8]=3000709,[9]=3000709,[10]=3000710,[11]=3000709,[12]=3000709","{""exp"",90000},{""funds"",24000},"
12,3,"80,89,",80~89级,"[2]=3001209,[3]=3001209,[4]=3001209,[5]=3001209,[6]=3001209,[8]=3001209,[9]=3001209,[10]=3001210,[11]=3001209,[12]=3001209","{""exp"",110000},{""funds"",26500},"
12,4,"90,99,",90~99级,"[2]=3001709,[3]=3001709,[4]=3001709,[5]=3001709,[6]=3001709,[8]=3001709,[9]=3001709,[10]=3001710,[11]=3001709,[12]=3001709","{""exp"",150000},{""funds"",29000},"
12,5,"100,109,",100~109级,"[2]=3002209,[3]=3002209,[4]=3002209,[5]=3002209,[6]=3002209,[8]=3002209,[9]=3002209,[10]=3002210,[11]=3002209,[12]=3002209","{""exp"",300000},{""funds"",31500},"
12,6,"110,119,",110~119级,"[2]=3002709,[3]=3002709,[4]=3002709,[5]=3002709,[6]=3002709,[8]=3002709,[9]=3002709,[10]=3002710,[11]=3002709,[12]=3002709","{""exp"",360000},{""funds"",34000},"
12,7,"120,129,",120~129级,"[2]=3003209,[3]=3003209,[4]=3003209,[5]=3003209,[6]=3003209,[8]=3003209,[9]=3003209,[10]=3003210,[11]=3003209,[12]=3003209","{""exp"",450000},{""funds"",36500},"
12,8,"130,139,",130~139级,"[2]=3003709,[3]=3003709,[4]=3003709,[5]=3003709,[6]=3003709,[8]=3003709,[9]=3003709,[10]=3003710,[11]=3003709,[12]=3003709","{""exp"",640000},{""funds"",39000},"
12,9,"140,149,",140~149级,"[2]=3004209,[3]=3004209,[4]=3004209,[5]=3004209,[6]=3004209,[8]=3004209,[9]=3004209,[10]=3004210,[11]=3004209,[12]=3004209","{""exp"",770000},{""funds"",41500},"
12,10,"150,159,",150~159级,"[2]=3004709,[3]=3004709,[4]=3004709,[5]=3004709,[6]=3004709,[8]=3004709,[9]=3004709,[10]=3004710,[11]=3004709,[12]=3004709","{""exp"",940000},{""funds"",44000},"
12,11,"160,169,",160~169级,"[2]=3005209,[3]=3005209,[4]=3005209,[5]=3005209,[6]=3005209,[8]=3005209,[9]=3005209,[10]=3005210,[11]=3005209,[12]=3005209","{""exp"",1110000},{""funds"",46500},"
12,12,"170,179,",170~179级,"[2]=3005709,[3]=3005709,[4]=3005709,[5]=3005709,[6]=3005709,[8]=3005709,[9]=3005709,[10]=3005710,[11]=3005709,[12]=3005709","{""exp"",1290000},{""funds"",49000},"
12,13,"180,189,",180~189级,"[2]=3006209,[3]=3006209,[4]=3006209,[5]=3006209,[6]=3006209,[8]=3006209,[9]=3006209,[10]=3006210,[11]=3006209,[12]=3006209","{""exp"",1470000},{""funds"",51500},"
12,14,"190,199,",190~199级,"[2]=3006709,[3]=3006709,[4]=3006709,[5]=3006709,[6]=3006709,[8]=3006709,[9]=3006709,[10]=3006710,[11]=3006709,[12]=3006709","{""exp"",1660000},{""funds"",54000},"
12,15,"200,209,",200~209级,"[2]=3007209,[3]=3007209,[4]=3007209,[5]=3007209,[6]=3007209,[8]=3007209,[9]=3007209,[10]=3007210,[11]=3007209,[12]=3007209","{""exp"",1860000},{""funds"",56500},"
12,16,"210,219,",210~219级,"[2]=3007709,[3]=3007709,[4]=3007709,[5]=3007709,[6]=3007709,[8]=3007709,[9]=3007709,[10]=3007710,[11]=3007709,[12]=3007709","{""exp"",2060000},{""funds"",59000},"
12,17,"220,229,",220~229级,"[2]=3008209,[3]=3008209,[4]=3008209,[5]=3008209,[6]=3008209,[8]=3008209,[9]=3008209,[10]=3008210,[11]=3008209,[12]=3008209","{""exp"",2270000},{""funds"",61500},"
12,18,"230,239,",230~239级,"[2]=3008709,[3]=3008709,[4]=3008709,[5]=3008709,[6]=3008709,[8]=3008709,[9]=3008709,[10]=3008710,[11]=3008709,[12]=3008709","{""exp"",2490000},{""funds"",64000},"
12,19,"240,300,",240~300级,"[2]=3009209,[3]=3009209,[4]=3009209,[5]=3009209,[6]=3009209,[8]=3009209,[9]=3009209,[10]=3009210,[11]=3009209,[12]=3009209","{""exp"",2710000},{""funds"",66500},"
13,1,"0,69,",40~69级,"[2]=3000309,[10]=3000310,[12]=3000309","{""exp"",60000},{""funds"",21500},"
13,2,"70,79,",70~79级,"[2]=3000809,[3]=3000809,[4]=3000809,[5]=3000809,[6]=3000809,[8]=3000809,[9]=3000809,[10]=3000810,[11]=3000809,[12]=3000809","{""exp"",90000},{""funds"",24000},"
13,3,"80,89,",80~89级,"[2]=3001309,[3]=3001309,[4]=3001309,[5]=3001309,[6]=3001309,[8]=3001309,[9]=3001309,[10]=3001310,[11]=3001309,[12]=3001309","{""exp"",110000},{""funds"",26500},"
13,4,"90,99,",90~99级,"[2]=3001809,[3]=3001809,[4]=3001809,[5]=3001809,[6]=3001809,[8]=3001809,[9]=3001809,[10]=3001810,[11]=3001809,[12]=3001809","{""exp"",150000},{""funds"",29000},"
13,5,"100,109,",100~109级,"[2]=3002309,[3]=3002309,[4]=3002309,[5]=3002309,[6]=3002309,[8]=3002309,[9]=3002309,[10]=3002310,[11]=3002309,[12]=3002309","{""exp"",300000},{""funds"",31500},"
13,6,"110,119,",110~119级,"[2]=3002809,[3]=3002809,[4]=3002809,[5]=3002809,[6]=3002809,[8]=3002809,[9]=3002809,[10]=3002810,[11]=3002809,[12]=3002809","{""exp"",360000},{""funds"",34000},"
13,7,"120,129,",120~129级,"[2]=3003309,[3]=3003309,[4]=3003309,[5]=3003309,[6]=3003309,[8]=3003309,[9]=3003309,[10]=3003310,[11]=3003309,[12]=3003309","{""exp"",450000},{""funds"",36500},"
13,8,"130,139,",130~139级,"[2]=3003809,[3]=3003809,[4]=3003809,[5]=3003809,[6]=3003809,[8]=3003809,[9]=3003809,[10]=3003810,[11]=3003809,[12]=3003809","{""exp"",640000},{""funds"",39000},"
13,9,"140,149,",140~149级,"[2]=3004309,[3]=3004309,[4]=3004309,[5]=3004309,[6]=3004309,[8]=3004309,[9]=3004309,[10]=3004310,[11]=3004309,[12]=3004309","{""exp"",770000},{""funds"",41500},"
13,10,"150,159,",150~159级,"[2]=3004809,[3]=3004809,[4]=3004809,[5]=3004809,[6]=3004809,[8]=3004809,[9]=3004809,[10]=3004810,[11]=3004809,[12]=3004809","{""exp"",940000},{""funds"",44000},"
13,11,"160,169,",160~169级,"[2]=3005309,[3]=3005309,[4]=3005309,[5]=3005309,[6]=3005309,[8]=3005309,[9]=3005309,[10]=3005310,[11]=3005309,[12]=3005309","{""exp"",1110000},{""funds"",46500},"
13,12,"170,179,",170~179级,"[2]=3005809,[3]=3005809,[4]=3005809,[5]=3005809,[6]=3005809,[8]=3005809,[9]=3005809,[10]=3005810,[11]=3005809,[12]=3005809","{""exp"",1290000},{""funds"",49000},"
13,13,"180,189,",180~189级,"[2]=3006309,[3]=3006309,[4]=3006309,[5]=3006309,[6]=3006309,[8]=3006309,[9]=3006309,[10]=3006310,[11]=3006309,[12]=3006309","{""exp"",1470000},{""funds"",51500},"
13,14,"190,199,",190~199级,"[2]=3006809,[3]=3006809,[4]=3006809,[5]=3006809,[6]=3006809,[8]=3006809,[9]=3006809,[10]=3006810,[11]=3006809,[12]=3006809","{""exp"",1660000},{""funds"",54000},"
13,15,"200,209,",200~209级,"[2]=3007309,[3]=3007309,[4]=3007309,[5]=3007309,[6]=3007309,[8]=3007309,[9]=3007309,[10]=3007310,[11]=3007309,[12]=3007309","{""exp"",1860000},{""funds"",56500},"
13,16,"210,219,",210~219级,"[2]=3007809,[3]=3007809,[4]=3007809,[5]=3007809,[6]=3007809,[8]=3007809,[9]=3007809,[10]=3007810,[11]=3007809,[12]=3007809","{""exp"",2060000},{""funds"",59000},"
13,17,"220,229,",220~229级,"[2]=3008309,[3]=3008309,[4]=3008309,[5]=3008309,[6]=3008309,[8]=3008309,[9]=3008309,[10]=3008310,[11]=3008309,[12]=3008309","{""exp"",2270000},{""funds"",61500},"
13,18,"230,239,",230~239级,"[2]=3008809,[3]=3008809,[4]=3008809,[5]=3008809,[6]=3008809,[8]=3008809,[9]=3008809,[10]=3008810,[11]=3008809,[12]=3008809","{""exp"",2490000},{""funds"",64000},"
13,19,"240,300,",240~300级,"[2]=3009309,[3]=3009309,[4]=3009309,[5]=3009309,[6]=3009309,[8]=3009309,[9]=3009309,[10]=3009310,[11]=3009309,[12]=3009309","{""exp"",2710000},{""funds"",66500},"
14,1,"0,69,",40~69级,"[3]=3000409,[10]=3000410,[4]=3000409","{""exp"",60000},{""funds"",21500},"
14,2,"70,79,",70~79级,"[2]=3000909,[3]=3000909,[4]=3000909,[5]=3000909,[6]=3000909,[8]=3000909,[9]=3000909,[10]=3000910,[11]=3000909,[12]=3000909","{""exp"",90000},{""funds"",24000},"
14,3,"80,89,",80~89级,"[2]=3001409,[3]=3001409,[4]=3001409,[5]=3001409,[6]=3001409,[8]=3001409,[9]=3001409,[10]=3001410,[11]=3001409,[12]=3001409","{""exp"",110000},{""funds"",26500},"
14,4,"90,99,",90~99级,"[2]=3001909,[3]=3001909,[4]=3001909,[5]=3001909,[6]=3001909,[8]=3001909,[9]=3001909,[10]=3001910,[11]=3001909,[12]=3001909","{""exp"",150000},{""funds"",29000},"
14,5,"100,109,",100~109级,"[2]=3002409,[3]=3002409,[4]=3002409,[5]=3002409,[6]=3002409,[8]=3002409,[9]=3002409,[10]=3002410,[11]=3002409,[12]=3002409","{""exp"",300000},{""funds"",31500},"
14,6,"110,119,",110~119级,"[2]=3002909,[3]=3002909,[4]=3002909,[5]=3002909,[6]=3002909,[8]=3002909,[9]=3002909,[10]=3002910,[11]=3002909,[12]=3002909","{""exp"",360000},{""funds"",34000},"
14,7,"120,129,",120~129级,"[2]=3003409,[3]=3003409,[4]=3003409,[5]=3003409,[6]=3003409,[8]=3003409,[9]=3003409,[10]=3003410,[11]=3003409,[12]=3003409","{""exp"",450000},{""funds"",36500},"
14,8,"130,139,",130~139级,"[2]=3003909,[3]=3003909,[4]=3003909,[5]=3003909,[6]=3003909,[8]=3003909,[9]=3003909,[10]=3003910,[11]=3003909,[12]=3003909","{""exp"",640000},{""funds"",39000},"
14,9,"140,149,",140~149级,"[2]=3004409,[3]=3004409,[4]=3004409,[5]=3004409,[6]=3004409,[8]=3004409,[9]=3004409,[10]=3004410,[11]=3004409,[12]=3004409","{""exp"",770000},{""funds"",41500},"
14,10,"150,159,",150~159级,"[2]=3004909,[3]=3004909,[4]=3004909,[5]=3004909,[6]=3004909,[8]=3004909,[9]=3004909,[10]=3004910,[11]=3004909,[12]=3004909","{""exp"",940000},{""funds"",44000},"
14,11,"160,169,",160~169级,"[2]=3005409,[3]=3005409,[4]=3005409,[5]=3005409,[6]=3005409,[8]=3005409,[9]=3005409,[10]=3005410,[11]=3005409,[12]=3005409","{""exp"",1110000},{""funds"",46500},"
14,12,"170,179,",170~179级,"[2]=3005909,[3]=3005909,[4]=3005909,[5]=3005909,[6]=3005909,[8]=3005909,[9]=3005909,[10]=3005910,[11]=3005909,[12]=3005909","{""exp"",1290000},{""funds"",49000},"
14,13,"180,189,",180~189级,"[2]=3006409,[3]=3006409,[4]=3006409,[5]=3006409,[6]=3006409,[8]=3006409,[9]=3006409,[10]=3006410,[11]=3006409,[12]=3006409","{""exp"",1470000},{""funds"",51500},"
14,14,"190,199,",190~199级,"[2]=3006909,[3]=3006909,[4]=3006909,[5]=3006909,[6]=3006909,[8]=3006909,[9]=3006909,[10]=3006910,[11]=3006909,[12]=3006909","{""exp"",1660000},{""funds"",54000},"
14,15,"200,209,",200~209级,"[2]=3007409,[3]=3007409,[4]=3007409,[5]=3007409,[6]=3007409,[8]=3007409,[9]=3007409,[10]=3007410,[11]=3007409,[12]=3007409","{""exp"",1860000},{""funds"",56500},"
14,16,"210,219,",210~219级,"[2]=3007909,[3]=3007909,[4]=3007909,[5]=3007909,[6]=3007909,[8]=3007909,[9]=3007909,[10]=3007910,[11]=3007909,[12]=3007909","{""exp"",2060000},{""funds"",59000},"
14,17,"220,229,",220~229级,"[2]=3008409,[3]=3008409,[4]=3008409,[5]=3008409,[6]=3008409,[8]=3008409,[9]=3008409,[10]=3008410,[11]=3008409,[12]=3008409","{""exp"",2270000},{""funds"",61500},"
14,18,"230,239,",230~239级,"[2]=3008909,[3]=3008909,[4]=3008909,[5]=3008909,[6]=3008909,[8]=3008909,[9]=3008909,[10]=3008910,[11]=3008909,[12]=3008909","{""exp"",2490000},{""funds"",64000},"
14,19,"240,300,",240~300级,"[2]=3009409,[3]=3009409,[4]=3009409,[5]=3009409,[6]=3009409,[8]=3009409,[9]=3009409,[10]=3009410,[11]=3009409,[12]=3009409","{""exp"",2710000},{""funds"",66500},"
15,1,"0,69,",40~69级,"[5]=3000509,[10]=3000510,[6]=3000509","{""exp"",60000},{""funds"",21500},"
15,2,"70,79,",70~79级,"[2]=3001009,[3]=3001009,[4]=3001009,[5]=3001009,[6]=3001009,[8]=3001009,[9]=3001009,[10]=3001010,[11]=3001009,[12]=3001009","{""exp"",90000},{""funds"",24000},"
15,3,"80,89,",80~89级,"[2]=3001509,[3]=3001509,[4]=3001509,[5]=3001509,[6]=3001509,[8]=3001509,[9]=3001509,[10]=3001510,[11]=3001509,[12]=3001509","{""exp"",110000},{""funds"",26500},"
15,4,"90,99,",90~99级,"[2]=3002009,[3]=3002009,[4]=3002009,[5]=3002009,[6]=3002009,[8]=3002009,[9]=3002009,[10]=3002010,[11]=3002009,[12]=3002009","{""exp"",150000},{""funds"",29000},"
15,5,"100,109,",100~109级,"[2]=3002509,[3]=3002509,[4]=3002509,[5]=3002509,[6]=3002509,[8]=3002509,[9]=3002509,[10]=3002510,[11]=3002509,[12]=3002509","{""exp"",300000},{""funds"",31500},"
15,6,"110,119,",110~119级,"[2]=3003009,[3]=3003009,[4]=3003009,[5]=3003009,[6]=3003009,[8]=3003009,[9]=3003009,[10]=3003010,[11]=3003009,[12]=3003009","{""exp"",360000},{""funds"",34000},"
15,7,"120,129,",120~129级,"[2]=3003509,[3]=3003509,[4]=3003509,[5]=3003509,[6]=3003509,[8]=3003509,[9]=3003509,[10]=3003510,[11]=3003509,[12]=3003509","{""exp"",450000},{""funds"",36500},"
15,8,"130,139,",130~139级,"[2]=3004009,[3]=3004009,[4]=3004009,[5]=3004009,[6]=3004009,[8]=3004009,[9]=3004009,[10]=3004010,[11]=3004009,[12]=3004009","{""exp"",640000},{""funds"",39000},"
15,9,"140,149,",140~149级,"[2]=3004509,[3]=3004509,[4]=3004509,[5]=3004509,[6]=3004509,[8]=3004509,[9]=3004509,[10]=3004510,[11]=3004509,[12]=3004509","{""exp"",770000},{""funds"",41500},"
15,10,"150,159,",150~159级,"[2]=3005009,[3]=3005009,[4]=3005009,[5]=3005009,[6]=3005009,[8]=3005009,[9]=3005009,[10]=3005010,[11]=3005009,[12]=3005009","{""exp"",940000},{""funds"",44000},"
15,11,"160,169,",160~169级,"[2]=3005509,[3]=3005509,[4]=3005509,[5]=3005509,[6]=3005509,[8]=3005509,[9]=3005509,[10]=3005510,[11]=3005509,[12]=3005509","{""exp"",1110000},{""funds"",46500},"
15,12,"170,179,",170~179级,"[2]=3006009,[3]=3006009,[4]=3006009,[5]=3006009,[6]=3006009,[8]=3006009,[9]=3006009,[10]=3006010,[11]=3006009,[12]=3006009","{""exp"",1290000},{""funds"",49000},"
15,13,"180,189,",180~189级,"[2]=3006509,[3]=3006509,[4]=3006509,[5]=3006509,[6]=3006509,[8]=3006509,[9]=3006509,[10]=3006510,[11]=3006509,[12]=3006509","{""exp"",1470000},{""funds"",51500},"
15,14,"190,199,",190~199级,"[2]=3007009,[3]=3007009,[4]=3007009,[5]=3007009,[6]=3007009,[8]=3007009,[9]=3007009,[10]=3007010,[11]=3007009,[12]=3007009","{""exp"",1660000},{""funds"",54000},"
15,15,"200,209,",200~209级,"[2]=3007509,[3]=3007509,[4]=3007509,[5]=3007509,[6]=3007509,[8]=3007509,[9]=3007509,[10]=3007510,[11]=3007509,[12]=3007509","{""exp"",1860000},{""funds"",56500},"
15,16,"210,219,",210~219级,"[2]=3008009,[3]=3008009,[4]=3008009,[5]=3008009,[6]=3008009,[8]=3008009,[9]=3008009,[10]=3008010,[11]=3008009,[12]=3008009","{""exp"",2060000},{""funds"",59000},"
15,17,"220,229,",220~229级,"[2]=3008509,[3]=3008509,[4]=3008509,[5]=3008509,[6]=3008509,[8]=3008509,[9]=3008509,[10]=3008510,[11]=3008509,[12]=3008509","{""exp"",2270000},{""funds"",61500},"
15,18,"230,239,",230~239级,"[2]=3009009,[3]=3009009,[4]=3009009,[5]=3009009,[6]=3009009,[8]=3009009,[9]=3009009,[10]=3009010,[11]=3009009,[12]=3009009","{""exp"",2490000},{""funds"",64000},"
15,19,"240,300,",240~300级,"[2]=3009509,[3]=3009509,[4]=3009509,[5]=3009509,[6]=3009509,[8]=3009509,[9]=3009509,[10]=3009510,[11]=3009509,[12]=3009509","{""exp"",2710000},{""funds"",66500},"
