索引,falg_c,值
RELIC_MINE_HELP_AUTO,0,因为您的帮助，您队友的商船已经圆满完成开采，获得全部的资源。
RELIC_MINE_SUCCESS_HELP_HAVE,0,因为您的帮助，您队友成功抢夺了%s的商船获得了部分资源。
RELIC_MINE_SUCCESS_HELP_NO,0,因为您的帮助，您队友成功占领了%s的商船。
FACWARSERVER_PRIZE1,0,恭喜您的帮会在帮会赛中获得冠军！这是对你的嘉奖！
FACWARSERVER_PRIZE2,0,恭喜您的帮会在帮会赛中获得亚军！这是对你的嘉奖！
FACWARSERVER_PRIZE4,0,恭喜您的帮会在帮会淘汰赛中成为4强之一！这是对你的嘉奖！
FACWARSERVER_PRIZE8,0,恭喜您的帮会在帮会淘汰赛中成为8强之一！这是对你的嘉奖！
FACWARSERVER_PRIZE16,0,恭喜您的帮会在帮会淘汰赛中成为16强之一！这是对你的嘉奖！
FACWARSERVER_PRIZE32,0,恭喜您的帮会在帮会淘汰赛中成为32强之一！这是对你的嘉奖！
EVERY_DAY_ACCU_CONSUME_PRICE,0,每日累计消费活动，获得以下奖励！
FACWARSERVER_RANK4,0,恭喜#yellow%s#rf，#yellow%s#rf，#yellow%s#rf和#yellow%s#rf成为4强进入冠军赛，冠军赛将在明天开始，请留意相关信息！
FACWARSERVER_RANK2,0,恭喜#yellow%s#rf和#yellow%s#rf以强大实力获得了进入总决赛的资格！敬请各位关注！
FACWARSERVER_RANK1,0,恭喜#yellow%s#rf获得了本次跨服帮会战的冠军！在和#yellow%s#rf的激烈战斗中，#yellow%s#rf最终技高一筹击败了对方获得了最终的冠军！
FACWARSERVER_RANK16,0,经过激烈的比拼，#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、成功晋级16强！请期待接下来更加精彩的比赛！
FACWARSERVER_RANK8,0,经过激烈的比拼，#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、成功晋级8强！请期待接下来更加精彩的比赛！
MERGE_FORCE_PRIZE,0,合服后三天，战力排行榜前%d，获得以下奖励
MERGE_TOWER_PRIZE,0,合服后三天，试练场排行榜前%d，获得以下奖励
MERGE_CHAMPION_PRIZE,0,合服后三天，竞技场排行榜前%d，获得以下奖励
MIDAUTUMN_PRIZE,0,全服赠送康乃馨达到%d个，母亲节使者赠与大家额外奖励，感谢您的参与
EXCITE_SERVER_DEAD_FIELD,0,恭喜您在本次死亡领域活动中成为全服首个通过第%d层的玩家
WAR_HORN_ITEM,0,购买月卡赠送幸运草~请笑纳~
SECRET_LAND_RANK_PRIZE,0,恭喜少爷在密语境地中输出第%d名，获得额外奖励。
SECRET_LAND_BOSS_KILLED_RIGHT,0,恭喜少爷在密语中按照正确的顺序击杀了怪物，这是你获得是所有回报。
SECRET_LAND_BOSS_KILLED_WRONG,0,恭喜少爷在密语中击杀了怪物，但是不是正确答案哦，这是部分回报。
DEAD_FIELD_WIN,0,恭喜通过死亡领域第%d区域，以下是本区的奖励。
HOLY_EQUIP_STAR,0,圣器
FRIEND_RENAME,0,你的好友%s使用%s改名为%s
SING_DAY_RANK,0,这是你在情人节活动中排行%d的奖励，请笑纳
PET_ADVANCEEX_RECORD,0,恭喜少爷，您的异界召集将记录在异界召集攻略上面，这是一个值得庆祝的日子。
COMBAT_TEAM_PRIZE,0,恭喜战队羁绊值达到%d，以下为本次达成奖励（每个玩家ID仅可获得一次）
LEAGUE_DAILY,0,通过今天跨服天梯赛的比拼，你的积分为%d分，段位评定为%s，奖励荣誉值%d点！请继续加油！
LEAGUE_WEEKLY,0,经过一周的比拼，你的跨服天梯赛段位排名为第%d名！获得排名奖励！
LEAGUE_MONTH,0,跨服天梯赛月结，你的，给于物品奖励，积分掉落%d，当前积分为%d分，段位评定为%s！
LEAGUE_CLOSE,0,跨服天梯即将维护，请还在对战的玩家及时退出
FAN_SCORE,0,感谢您加入FB粉丝团，获得以下奖励
EXCITE_SERVER_DEAD_FIELD_PERSONAL,0,恭喜您成为全服第一个通关%d区域终极境地的玩家
GUOZHAN_DAILY_GOLD,0,经过激烈的战争，获得国都分红金砂资源%d，资源点收割资源%d，掠夺资源%d
SPRING_RED_ENVELOPE,0,你种下的摇钱树还剩下%d个晶石，现在返还给你，请笑纳
FACTION_PVE_RANK,0,恭喜你在远古领域排名%s，这个是发给你的奖励，请笑纳
FACTION_PVE,0,通过大家的努力，成功击败远古魔兽，这个是帮会boss的个人奖励，请笑纳
WORLD_BOSS_KILLED,0,%d分钟击退BOSS在场所有玩家额外获得以下奖励
FACTION_BUILD_LEVELUP,0,%s经过大家的努力已经升级到%d，现在每人发放%d帮会建筑积分
WELCOME_TO_ADD_CHAT_GROUP,0,欢迎%s加入讨论组
CHAT_GROUP_REALESE,0,%s讨论组解散了
CHAT_GROUP_EXPELLED,0,你被请出了%s讨论组
UNION_PVP_FIRST_PREPARE,0,你的帮会获得了本届联盟赛参赛资格，请通知各位帮会成员及时参加
UNION_MATCH_APPLY_SUCCESS,0,成功报名联盟战，报名之后请不要重组联盟，以免造成无法参赛
GUOZHAN_MERGE,0,异界纷争合服补偿
UNION_PVP_NO_MATCH,0,"由于名额限制,你的帮会没有获得本届联盟赛参赛资格"
SEND_PRIZE_TO_PUBLISHER,0,恭喜少爷，您的任务已经被其他玩家完成了。这是您得到的奖励，请查收
RETURN_TASK_SPEND,0,少爷在帮会发布的任务超过24小时没其他人领取，退还您消耗的晶石，有需求再发布任务，请前往发布任务操作。
UNIONPVP_PRIZE1,0,恭喜您的帮会在跨服联盟赛中获得冠军！这是对你的嘉奖！
UNIONPVP_PRIZE2,0,恭喜您的帮会在跨服联盟赛中获得亚军！这是对你的嘉奖！
UNIONPVP_PRIZE4,0,恭喜您的帮会在跨服联盟赛中成为4强之一！这是对你的嘉奖！
UNIONPVP_PRIZE8,0,恭喜您的帮会在跨服联盟赛中成为8强之一！这是对你的嘉奖！
UNIONPVP_PRIZE16,0,恭喜您的帮会在跨服联盟赛中成为16强之一！这是对你的嘉奖！
RIDE_ADVANCEEX_RECORD,0,恭喜少爷，您的坐骑激活将记录在坐骑激活攻略上面，这是一个值得庆祝的日子。
VALUE_OF_LOVE_PRIZE,0,恭喜爱慕值达到%d，以下为本次达成奖励
DIVORCE_NOTIFICATION,0,您的婚约解除了，从现在开始您可以去追寻您新的生活了。
GUOZHANCST_PRIZE,0,经过激烈的争霸赛，你在比赛中获得的积分将转换成相应的金砂奖励！
TIANCI,0,天赐
AUCTION_SUCCESS_BUY,0,恭喜您成功从拍卖行以%d晶石最终成交价拍下商品，若有设定自动加价则退回多余晶石。
AUCTION_PRICE_LOWER,0,很遗憾，拍卖行的%s商品被其他玩家出价到%d晶石，本轮竞拍失败，现在退还您%d晶石
AUCTION_SUCCESS_SELL,0,您在拍卖行上架的%s商品以最终成交价%d晶石被拍下，扣除手续费，现返还您%d晶石
AUCTION_FAILE_SELL,0,您在拍卖行上架的%s商品时间结束没人竞拍，现已下架，返还您上架的商品
AUCTION_OFF_SHELF,0,您在拍卖行上架的%s商品由于特殊原因现已下架，返还您上架的商品
AUCTION_OFF_SHELF_REBACK,0,您在拍卖行竞拍的%s商品由于特殊原因现已下架，现在返还您竞拍晶石
RED_ENVELOP_REBACK,0,您发出的红包超过12小时未领取完，已过期，返还剩余晶石
SEND_RED_ENVELOPE,0,我发放了一个帮会红包，大家快去领取吧！
FRIEND_SEND_GIFT,0,%s向你赠送了行动力，请查收！
CHAMPION_WIN_STREAK,0,竞技场连胜%d场，这是给你的奖励
PAY_MAIL_SevenDay,0,创角七天奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_SinglePay,0,单笔冲值奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_SingleConsume,0,单笔消费奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_LimitDayPay,0,限时每日冲值奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_LimitDayConsume,0,限时每日消费奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_DayAccumPay,0,每日累计冲值奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_DayAccumConsume,0,每日累计消费奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_AccumPay,0,累计冲值奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_AccumConsume,0,累计消费奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_QudaoPayReturn,0,渠道冲值反馈奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_AllPayReturn,0,冲值反馈奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_Recharge,0,冲值奖励，%s档次的奖励过期未领，通过邮件补发。
PAY_MAIL_GamePayRank,0,恭喜你在冲值排行活动中获得了第%d名的好成绩，获得以下奖励。
PAY_MAIL_GameConsumeRank,0,恭喜你在消费排行活动中获得了第%d名的好成绩，获得以下奖励。
PAY_MAIL_ServersPayRank,0,恭喜你在跨服冲值排行活动中获得了第%d名的好成绩，获得以下奖励。
PAY_MAIL_ServersConsumeRank,0,恭喜你在跨服消费排行活动中获得了第%d名的好成绩，获得以下奖励。
ROBBER_KILLED,0,%s你在圣地被%s击杀了。
LEVEL_FUND,0,尊敬的汪君or汪酱大人，你好！非常荣幸可以得到您对我们商队的资金支持，目前我们的商队一切进展的很顺利。听说您已经达到%d级了，可喜可贺呀！这是我们商队奉上的小小心意，希望您能收下！希望您一帆风顺！ ——贸易商队阿信
ROBBER_HANG_UP_OVER,0,由于你太长时间没有收回圣地挂机收益，系统自动帮你结算了收益并且停止了你的挂机。
EMPLOY_INCOME,0,这个是你的帮会入驻收益，请收下吧
FLOWER_GREET_WORDS,0,%s#rf，与你相识是一个奇迹! 与你相爱，我无怨无悔，遇到你是我一生牵挂开始，牵挂到永远，愿这份爱天长地久！--%s
FACTIONWAR_PRIZE_TOP_1,0,恭喜您的帮会在帮会赛中获得冠军！成为了全服第一！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE_TOP_2,0,恭喜您的帮会在帮会赛中获得亚军！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE_TOP_3,0,恭喜您的帮会在帮会赛中获得季军！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE_TOP_4,0,恭喜您的帮会在帮会淘汰赛中成为4强之一，夺得了进入冠军赛资格！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE8,0,恭喜您的帮会在帮会淘汰赛中成为8强之一！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE16,0,恭喜您的帮会成功进入16强！
TASK_END_ROBBER_HANG,0,由于任务原因，结束了您在圣地的挂机，任务结束之后记得重新设置挂机哦！
CHARM_RANK_PRIZE,0,截止周六23点59分，你的魅力值排行%s，恭喜获得以下奖励！
FACTION_WARE_HOUSE_NOT_ENOUGH,0,帮会仓库储存即将达到上限，请尽快分配仓库物品，以避免损失
CHANNEL_FINISH_1,0,您的互动已经完毕，目前体能为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。
CHANNEL_FINISH_2,0,您的互动已经完毕，目前精神为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。
CHANNEL_FINISH_3,0,您的互动已经完毕，目前智力为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。
CHANNEL_FINISH_4,0,您的互动已经完毕，目前魅力为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。
CHANNEL_FINISH_5,0,您的互动已经完毕，目前品德为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。
RESULT_HOME_PAGE_GIFT,0,我已经在个人主页放置神秘礼物，点赞会有惊喜噢~
RESULT_HOME_PAGE_ICON,0,我的个人主页更新啦，欢迎大家踩踩！
NEW_SERVER_FACT_PRIZE,0,新服冲榜活动:帮会排行第%s名，获得以下奖励
NEW_SERVER_TOWER_PRIZE,0,新服冲榜活动:海底逃生排行第%s名，获得以下奖励
NEW_SERVER_LEVEL_PRIZE,0,新服冲榜活动:等级排行第%s名，获得以下奖励
NEW_SERVER_CHAMPION_PRIZE,0,新服冲榜活动:竞技场排行第%s名，获得以下奖励
NEW_SERVER_CHARM_PRIZE,0,新服冲榜活动:魅力排行第%s名，获得以下奖励
NEW_SERVER_FORCE_PRIZE,0,新服冲榜活动:战力排行第%s名，获得以下奖励
EASTEREGG_PRIZE,0,天呐，竟然打败100次怪物都没有掉落幸运之星，请别灰心，小助手为你呈上以下补偿：
FACTIONWAR_APPLY_START,0,帮会战报名开始了，已报名的帮会请别忘记设置精英赛参战成员！ 详情：帮会战-名单-精英赛
FEST_CHARM_RANK_PRIZE,0,恭喜你在合服魅力活动中获得第%s名，以下是排名奖励，请查收!
EMPLOY_BE_REJECT,0,#yellow%s#rf拒绝了你的雇佣申请
EMPLOY_APPLY_PASS,0,#yellow%s#rf同意了你的雇佣申请
RESULT_ENPLY_RETIRE,0,由于你退出了帮会，入驻的队伍也自动退出了。
FACTIONWAR_SENIORPER,0,精英赛还有1分钟开始，被选中成员请前往布阵
IMMORTAL_LEVEL_UP,0,恭喜你圣使已升阶，可在更多-圣使进行查看
IMMORTAL_TASTE_START_TIME,0,恭喜你获得圣使30分钟体验时间
IMMORTAL_TASTE_OVER_TIME,0,圣使体验时间已结束，你可以在更多界面里面查看圣使功能介绍
TREASURE_ALLOT,0,你获得了藏宝阁的物品分配
FACTIONTASK_FIRST_PRIZE,0,恭喜你所在的帮会取得全服排名第%d名，获得以下奖励
TOTALL_BIND_CURRENCY_OVER,0,彩钻历史总额度已经达到最高上限%s，不能在获得彩钻了
FACTIONTASK_FIRST_PRIZE,0,通过大家的努力，获得了本次帮会争霸%s名，以下是发给你奖励。
NEW_SERVER_IMMORTALS_PRIZE,0,新服冲榜活动:圣使排行第%s名，获得以下奖励
H5_ATTENTION,0,谢谢你的关注，这个是给你的关注奖励！
H5_DAILY_SHARE,0,每日分享奖励
H5_ATTENTION,0,平台关注奖励
DAILY_ROBBER_ITEM,0,恭喜你获得每日零点奖励，请领取
OPERATE_PRIZE,0,活动%s过期未领取补发奖励
MARRY,0,恭喜您和%s喜结连理，祝你们相亲相爱幸福永远，同德同心幸福长存。附件是奖励。#red（注：重复结婚不会再次获得结婚时装）
MARRY_GIFT,0,今天是你们喜结良缘的日子，我%s祝贺你俩幸福美满，永俦偕老！
MARRY_RETURN_GIFT,0,新人为了答谢您的到来特别回馈的礼品，请查收！
END_MARRY,0,你的前夫君（妻子）解除了这段婚姻。他离开了，那是他对不起你，相信自己会有更好的明天。
CHU_SHI_TUDI,0,恭喜您顺利出师，附件是出师奖励，请查收！
CHU_SHI_SHIFU,0,恭喜您的徒弟顺利出师，附件是出师奖励，请查收！
PRESTIGE,0,您的徒弟：%s完成了师徒任务，您获得10点威望，请查收！
INVEST_PLAN,0,以下奖励是未领取投资计划的奖励，请领取奖励
MIX_ACCU_RECHARGE,0,每日累积充值%d元宝档次未领取奖励补发
WORLD_BOSS_RANK_PRIZE,0,全民boss排行第%d奖励，请查收
NewServerAllBuy,0,首充团购
NewServerAllStageUp,0,开服进阶
STAGE_UP,0,直升一阶
DAILY_EXPENSIVE_GIFT,0,今日豪礼
NewServerStageUpRank,0,开服进阶排行
LIFE_AND_DEATH_SERVER_FIRST,0,玩家%s成功通关生死劫%s，所有玩家获得首通奖励，请查收
ACCU_CONSUME_RECHARGE,0,您有消费或充值的奖励未领取！
WU_LIN_MENG_ZHU_SCORE,0,大仙您在比武大赛中有积分奖励未领取，附件是未领取的积分奖励
WU_LIN_MENG_ZHU_RANK,0,"恭喜大仙在【比武大赛】中,个人积分排名第%d名，获得排名奖励。本届比武最后是%s夺得的武林盟主"
WU_LIN_MENG_ZHU_MONTH_RANK,0,"恭喜大仙在【比武大赛】中,月排名第%d名，获得排名奖励。本月第一名是%s夺得的武林盟主"
FALLEN_GOOD_GIFT,0,天降好礼
WORLDONE_JOINPRIZE,0,天下第一活动参与奖励
WORLDONE_JINJI,0,"恭喜您!在天下第一活动中成功晋级%s,获得以下奖励"
WORLDONE_LOSE_PRIZE,0,天下第一活动下注失败奖励
WORLDONE_WIN_PRIZE,0,天下第一活动下注成功奖励
STRONGHOLD_TIMECAL,0,天宫矿洞开采结束，获得以下奖励
STRONGHOLD_EVACUATE,0,中途撤离天宫矿洞，只能获得当前一半的收益，请查收
GLOBAL_MINE_SCORE_RANK,0,本次跨服争霸活动中你所在阵营获得了%s积分，当前战区排名第%s名，获得以下奖励！
GLOBAL_MINE_MONTH_RANK,0,上月跨服争霸活动中你所在的服总积分%s，全服排名第%s名，获得以下奖励！
STRONGHOLD_BEPLUNDERED,0,被%s抢夺资源，还剩余以下材料
STRONGHOLD_REVENGE,0,公会好友%s帮你复仇成功，追回部分材料
