索引,显示频道1系统+屏幕 2屏幕 3屏幕+弹窗 4屏幕上方,值
AMBASSADOR_HAD_INVITED,2,您已经使用过邀请码
AMBASSADOR_IS_YOURSELF,2,无法邀请自己
TEAM_FULL,2,队伍人数未满
ACTIVITY_NOT_ACTIVE,2,不在活动时间
ACTIVITY_TEAM_FIGHT,2,队伍人数不足3人，无法触发战斗！
FACTION_COUNT_LIMIT,2,公会数量已经达到上限
FACTION_APPLY_LIST_LIMIT,2,公会申请列表人数达已到上限
ITEM_GET,8,获得%d个#yellow%s#rf
ADD_TASK,8,接受任务：#yellow%s#rf
ADD_PET,8,您获得了一个名叫#yellow%s#rf的女神
ITEM_DROP,8,失去%d个#yellow%s#rf
CHANNEL_LOSE_EFFECT,2,玩家下线，展示超链接已失效
PLR_LEVEL_OVER,2,主角等级超过10级，无法使用邀请码
RMB_GOLD_LIMIT,2,钻石不足
PET_EXP_OVER_PLR_EXP,8,女神等级不能高于主角等级
PET_ADD_EXP,8,#yellow%s#rf获得%d点经验
PLR_ADD_EXP,8,主角获得%d点经验
QUICK_RECRUIT_GOLD_LIMIT,2,您的钻石不足！
ERROR_CHANGE_MAP,2,当前在#yellow%s#rf，无法进行地图跳转
PLR_LEVEL_UP,8,主角等级升到%d级
PET_LEVEL_UP,8,#yellow%s#rf等级升到了%d级
NO_QUEUE,2,至少上阵一个女神才可挑战
MAX_POWER,2,行动力超过上限，无需够买
DUI_HUAN_MAX,2,今天购买次数已用完，凌晨0点更新次数
ACTIVITY_IS_OVER,2,活动已经结束
LOST_PET,2,您失去了一个名叫#yellow%s#rf的女神
IDENTIFY_HAS,2,已经鉴定过了，无需再次鉴定
IDENTIFY_SUCCESS,8,#yellow%s#rf鉴定成功
ROBBER_PUNISH,3,#yellow%s#rf战斗失败惩罚中（剩余%d秒）
BOSS_NO_TEAM,2,不能组队参加
ITEM_NOT_ENOUGH,2,所需材料不足！
ROBBER_TICKET_LOST,2,场景跳转，令牌丢失。
ROBBER_TICKET_CHANGE,2,挑战令牌被抢走了
ROBBER_FIGHT,2,您受到#yellow%s#rf的袭击了
ROBBER_PROTECT,3,保护时间内，不能攻击与被攻击
TEAM_REJECT,2,您的申请被拒绝了
EMAIL_MAX_COUNT,8,邮箱空间已经达到上限，请及时清理邮件！
EMAIL_NEED_READ,8,您有%d封未处理的邮件
ROBBER_NOT_ACTIVE,2,该玩家不在圣地
FUNDS_LIMIT,2,金币不足！
CAMPAIGN_WIPE,8,行动力不足，无法扫荡
CAN_NOT_USE_WAR_HORN,2,使用后会超出月卡期限上限180天，不可使用
EMAIL_NOT_READED_AND_GOT,2,邮件还有附件没有领取，不能删除
FACTION_CONTRIBUTION,8,获得%d点活跃
SPECIAL_PRIZE,8,%s
APPLY_FRIEND_SEND,2,成功发送好友申请，等待对方处理
ADD_FRIEND_SUCCESS,2,恭喜您和%s玩家成为好友
TOWER_NO_COUNT_RESET,2,今天已经没有重置次数了
SKY_TOWER_MAX_FLOOR,2,已经超过了海底逃生最高层
MAX_POWER_USE_ITEM,8,行动力已经达到上限。
WORLDQUESTION_LOTTERY,2,恭喜获得趣味答题惊喜奖励#yellow%s#rf
VOICE_PASS,2,该消息已过期
RELIC_MINE_COUNT_LIMIT,2,今日您的挑战次数已经达到上限
RELIC_MINE_LOCK,2,该商船正在被其他玩家攻打中，请稍后！
RELIC_MINE_PROTECT,2,该商船正在保护时间中，无法攻打
CHANNEL_NOT_PLAYER,2,该玩家已下线
PLAT_FORM_USED,2,本账号已使用过渠道码
FACTION_NAME_REPEAT,2,该公会名字已经被注册了
FACTION_CREATE_LIMIT,2,您的等级太低，不能创建公会
ACTIVECODE_ERROR1,2,礼包码不存在
ACTIVECODE_ERROR2,2,礼包码已被使用
ACTIVECODE_ERROR3,2,已经领取过该礼包，不能重复领取
FACTIONMAP_CREATE,8,我已开启#yellow公会副本%s#rf！请兄弟姐妹们跟随我一起作战吧！
NEW_CODE_ERROR,2,新手码错误
NEW_CODE_GOT_READY,2,您已经领取过了
FACTION_MAP_COUNT_LIMIT,2,公会副本每天只能开启一次。
BY_FACTION_FIRE,8,您被%s请离了公会
FACTION_FIRE,8,%s被请离了公会.
APPOINT_TO_FACTION_LEADER,8,%s被任命为会长
LEADER,2,会长
SUB_LEADER,2,副会长
ELDER,2,长老
MEMBER,2,成员
APPOINT_TO_POST,8,您被%s任命为%s
FACTION_RELASE,8,您所在的公会解散了
FACTION_TO_LEAVE,8,%s离开了公会
SACRIFICE_LEARN_FAIL,8,御灵升级失败
LOTTERY_CONSUME,2,消耗%d晶石
GOT_DAILY_POWER_ALREADY,2,您已经领取过奖励了
GET_DAILY_POWER_SUCCESS,2,成功领取行动力
FACTION_OTHER_MAP,2,今天您已在其他公会参与过公会副本
WORLD_BOSS_NO_TIME_OR_KILLED,2,当前活动还没有开启或者boss已经被杀死
FACTION_CREATE_INTERVAL,2,需要间隔一小时才能再次创建公会
TEAM_ACTIVITY,2,活动中不能组队
SACRIFICE_LEARN_SUCCESS,2,恭喜御灵升级成功
MUTIL_ITEM,2,多倍收益道具使用时间未结束，无需再使用多倍收益道具
SKY_TOWER_RESETING,2,海底逃生现已关闭，正在重置记录中
NOT_ACTIVITY_TIME,2,不在活动时间内
ELITE_MONSTER_LIMIT,2,#yellow%s#rf今日击杀精英怪次数达到上限#yellow%d#rf个
HAD_INVITED,8,该好友已经邀请过了。
INVITED_SUCCESS,8,好友邀请成功！
VIP_LEVEL_UP,8,vip等级提升1级
VIP_EXP_ADD,8,vip经验提升%d
MAX_VIP_LEVEL,8,vip等级达到最高级16级，无法使用
LOTTERY_COUNT_LIMIT,2,每天只能转动%d次
ENHANCE_EFFECT_ACTIVATED,2,%s女神获得%d级装备强化共鸣属性
STAR_EFFECT_ACTIVATED,2,%s女神获得%s品质装备共鸣属性
REFINE_EFFECT_ACTIVATED,2,%s装备获得附加属性进阶加成
NOT_IN_SALE_TIME,2,物品出售服务器时间已结束
SEVEN_DAY_PRIZE,2,今天的全部奖励已经领取过了
SEVEN_DAY_NOT_ALL_SUCCESS,2,今天还有未完成的任务，不能领取该奖励
STONE_SUB_TYPE_EQUAL,2,不能镶嵌相同类型的神石
EQUIP_STONE_RESONATE_EFFECT,2,%s女神获得%d颗%d阶神石共鸣效果
FACTIONWAR_ERROR1,2,你们公会已经报名参赛，请准时参加比赛！
FACTIONWAR_ERROR2,2,比赛还未开始
FACTIONWAR_ERROR3,2,该场比赛已结束，请等待其他公会战果
FACTIONWAR_ERROR4,2,玩家死亡复活中
MONSTER_SIEGE_NO_TIME_OR_KILLED,2,当前活动还没有开启或者魔物已被杀死
FACTION_ALLOCA,2,对方入公会时间比该物品入库时间晚，没有获得分配资格
MONSTER_SIEGE_CRIATT_BUFF,2,你获得了一个增加500暴击值的buff
MONSTER_SIEGE_ATT_BUFF,2,你获得了一个增加百分之50攻击伤害的buff
MONSTER_SIEGE_HP_BUFF,2,你获得了一个最大血量增加百分之30的buff
FACTIONWAR_NOFIRE,2,公会战期间不能进行该操作
ROBBER_POINT_TO_HIGHT,2,你的罪恶值过高，系统现在禁止你继续攻击其他玩家！
ROBBER_POINT_ZERO,2,你的罪恶值已经为0，变回正常状态
ROBBER_GOT_DAILY_POWER,2,你的罪恶值过高，无法领取行动力！
SENIOR_DEVELOP,8,培养大暴击%d倍经验
SMALL_DEVELOP,8,培养小暴击%d倍经验
FAITY_LEVEL_UP,8,精灵品阶成功提升1阶
IN_OTHER_UNION,2,对方已加入其他联盟
IN_SAME_UNION,2,对方已加入我方联盟
UNION_MAX_COUNT,2,加入该联盟的公会数量达到上限
APPLY_SEND_SUCCESS,2,联盟申请已发送，请等待对方回应
REFUSE_ADD_UNION,2,对方拒绝了您的联盟申请
IS_APPLY,2,#yellow%s#rf已经报名本次活动
FACTIONWAR_JION_FACTION_LIMIT_TIME,2,加入公会不足48小时无法报名参加公会战
RIGHT_DOOR_ONLY,2,当前只剩余一扇正确的门，无需使用技能
NO_SKILL_ONE_LAYER,2,迷雾森林第一区不可使用技能
LAYER_DOWN,2,您选择是错误的传送门，倒退一区
LAYER_UP,2,恭喜您选择正确的传送门，进入下一区
REMOVE_FOREST_TASK,2,限定错误次数通过指定区事件未达成，刷新下一个事件
FOREST_TASK_FINISH,2,完成限定错误次数通过指定区事件，刷新下一个事件
QUIT_FACTION_CDTIME,2,退出公会24小时内无法加入公会
WUDOUSERVER_NOT_BET,2,不在押注时间
WUDOUSERVER_NOT_APPLY,2,没有获得比赛资格
HONOR_IS_EXISTS,2,已有该成就称号，无需使用
MAX_LAYER,2,已达到最高区域，无需使用技能
RECORD_IS_RESETTING,2,迷雾森林重置区域中，请在12点重置完成后再进来
FIRST_TASK_FAILED,8,当前进入传送门1次错误目标奖励任务失败。
NOT_ENOUGH_PLAYER,2,人数不足
COMBATTEAM_NAME,2,血盟名字不符合要求
COMBATTEAM_NAME_REPEAT,2,血盟已存在
COMBATTEAM_CREATE_LIMIT,2,主角10级以上才可创建血盟
COMBATTEAM_HAD,2,已加入血盟
RESULT_COMBATTEAM_CREATE_SUCCESS,2,血盟创建成功
COMBATTEAM_NO_JOINLEVEL,2,低于申请条件
COMBATTEAM_NO_EXIT,2,该血盟不存在
COMBATTEAM_APPLY_MAX,2,超过最大申请数
NO_SIRFAR,2,只有血盟首领才能执行此操作
NO_APPLY,2,无此申请者
FULL_MEMBER,2,成员已达上限
APPLY_JOIN_OTHER,2,申请者已加入其他血盟
REFUSE_ADD_CONBATTEAM,2,%sf血盟拒绝您的加入
NO_PLAYER,2,无此玩家
INVITEE_JOIN_OTHER,2,被邀请者已加入其他血盟
NO_INVITE_SELF,2,不能邀请自己
COMBATTEAM_EXPEL,2,%s玩家将您从血盟名单里开除了
NO_MEMBER,2,此玩家不在本血盟
COMBERTEAM_ZHUANRANG,2,%s玩家将血盟首领身份转让给了您
FACTIONWAR_ERROR5,2,公会精英赛准备中
FACTIONWAR_ERROR6,2,公会精英赛比赛中
NO_SELF,2,不能开除自己
COMBAT_TEAM_MAX_COUNT_LIMIT,2,血盟数量限制，最多存在300个
CREATE_TIME_LIMIT,2,创建血盟一小时内不能再次创建
COMBAT_TEAM_APPLY_SUCCESS,2,血盟申请发送成功，请等待处理
CAN_NOT_FIRE_YOUSELF,2,无法开除自己
CAN_NOT_HEIR_YOUSELF,2,无法转让身份给自己
COMBAT_TEAM_INVITEE_LEVEL_LIMIT,2,对方主角等级不足10级
COMBAT_TEAM_LEVEL_LIMIT,2,主角等级不足10级
AMBASSADOR_MAX_COUNT,2,对方邀请人数达到上限
EQUIP_PROMOTE_RESONATE_EFFECT,2,%s女神获得神装%s改造共鸣效果
AMBASSADOR_MAX_COUNT,2,对方邀请人数达到上限
FACTIONWAR_ERROR7,2,会长和副会长才能报名
RELIC_MINE_NOT_ATT_TEAM,2,无法攻打对你提供协助的队友
IN_OUT_COMBAT_TEAM_TIME,2,退出血盟24小时内不能加入血盟，也不能创建血盟
COMBATE_TEAM_PLR_OUT_TIME,2,如果有玩家退出血盟，24小时内无法加入新成员
DAILY_ERROR4,2,#yellow%s#rf活动还未解锁，无法参与活动
FACWARSERVER_NOT_ACTIVE,2,没有跨服公会战活动
FACWARSERVER_NOT_APPLY,2,没有获得跨服公会战资格
ENHANCE_SUCCESS,2,成功强化到%d级
RUNMAN_MAX_PICKTICKET,2,当前道具栏已满，不可以再获得
RUNMAN_MAX_PRESTART,2,当前活动还未开启，请做好准备耐心等待。
RUNMAN_ENTER_CD,3,中途退出活动，在20秒过后才可重新参加（剩余%d秒）
DEVELOP_SUCCESS,8,升级成功，幸运值清空
DEVELOP_FAILE,8,升级失败， 获得%d点幸运值
WING_LEVEL_LIMIT,2,守护等级限制，不能使用该物品
WING_LEVEL_LIMIT,2,守护需要达到%d级才能使用这个物品
RUNMAN_USE_TICKET,2,使用道具成功
RUNMAN_BEUSE_TICKET,2,%s对你使用了道具
MIDAUTUMN_NOTENOUGH,2,数量不足，兑换失败！
MIDAUTUMN_TOOMANY,2,你今天送的太多了，明天再来兑换吧！
RUNMAN_SAME_FACTION,2,不能攻击公会成员
NATIONALDAY_NOTIME,2,当天在线时间不足，领取失败
NATIONALDAY_ISGET,2,你今天的在线奖励已经领取，请明天再领奖
NATIONALDAY_NOKILL,2,当前杀怪次数不足，无法领取奖励
NATIONALDAY_ISGET2,2,已领取当前奖励，无法再领取奖励
ORDER_ONLY_ONCE,2,每一种能力每一波怪物只能对其使用一次
TIME_IS_OVER,2,死亡时间到了，您被死神带走，无法进入死亡领域
MONSTER_HP_LIMIT,2,怪物生命低于百分之二十，不可使用这个能力
OPEN_SKILL_HOLE_SUCESS,2,恭喜您打孔成功
OPEN_SKILL_HOLE_FAILE,2,很遗憾打孔失败了
ENERGY_ADD,2,增加%d能量
ENERGY_DEC,2,减少%d点能量
DEAD_FIELD_SUCCESS,2,您已闯过死亡领域所有区域
FIGHT_COUNT_LIMIT,2,至少需要战斗一次
BOX_COUNT_LIMIT,2,当前不能获得更多的箱子，请留给其他玩家
UNLOCK_ALREADLY,2,技能已经解锁了
HALLOWEEN_BODY,2,每天只能领取一次变身
HALLOWEEN_FIGHT,2,每人每天做多可以挑战%d次
HALLOWEEN_FIGHT2,2,每人每天做多可以挑战%d次稀有怪物
INSPIRE_MAX_LEVEL,2,已经满级 不需要鼓舞
PLR_RENAME,2,%s改名为%s
RENAME_SUCCESS,2,改名成功！
EQUIP_ADVANCE_FAILED,2,很遗憾，装备晋升失败了！
EQUIP_ADVANCE_SUCCESS,2,恭喜您的装备晋升成功，焕然一新！
CULTRUED_SOUL_DEC,8,减少%d个%s
CULTRUED_SOUL_ADD,8,增加%d个%s
IN_CHNAGE_TIME,2,10天内不能再次改名
FRIEND_RENAME,8,你的好友%s使用%s改名为%s
ROLE_NAME_EXIST,2,该名字已经存在
NO_VOICE,2,跨服频道暂不支持语音聊天！
NO_SERVER_CHAT_ITEM,2,道具不足无法发送跨服消息！
HAD_GET_PEIZE,2,当天奖励已经获取！
SERVER_CHAT_SUC,2,跨服消息发送成功！
SERVER_CHAT_NO_LEVEL,2,等级不足45级，无法发送跨服消息！
ENCOUNTER_REWARD_LIMIT,2,每天只能领取一次奖励
ENCOUNTER_COUNT_LIMIT,2,今天免费的邂逅次数已经用完了
ENCOUNTER_TIME_LIMIT,2,邂逅时间还没有CD
QUESTION_EXSIT,2,请先回答女神的问题，再来邂逅吧
ADD_LOVER,2,您与%s增加%d点好感值
SINGLES_DAY_TIME,8,今天最后一次免费次数已用完，倒计时将持续到明天凌晨
ACTIVITY_NO_CUR_DAY,2,只能领取活动当天奖励！
PRAISE_READLY,2,您已经点评过了
ADD_OPTION_TASK,8,%s女神触发了%s任务
MATERIALS_WRONG,2,上交材料非正确材料
ACTIVITY_NOT_RECHARGE_ENOUGH,2,当天充值额度不足，无法领取！
PRAISE_MAX_COUNT,2,评论达到最大条数
DAILY_ERROR5,2,活动还未解锁，请先通关第五章第三关
COPY_MAP_DESTROY,8,由于副本地图关闭，您被强制退出当前副本
COMBINE_SKILL_LIMIT_PET,2,主将女神已在主阵容参战，无法使用本技能。
COMBINE_SKILL_LIMIT_COUNT,2,拥有女神数量不足，无法使用本技能。
COMBINE_SKILL_LIMIT_LEVEL,2,主角等级不足，无法使用本技能。
COMBINE_SKILL_PET_NO,2,缺少女神%s参与援助，无法使用本技能。
COMBINE_SKILL_PET_LIMIT_LV,2,女神%s等级不足，无法使用本技能。
COMBINE_SKILL_PET_LIMIT_FRIEND,2,女神%s羁绊等级不足，无法使用本技能。
COMBINE_SKILL_PET_LIMIT_AWAKE,2,女神%s进阶等级不足，无法使用本技能。
COMBINE_SKILL_PET_LIMIT_BREAK,2,女神%s蜕变等级不足，无法使用本技能。
COMBINE_SKILL_MAX_COUNT,2,战斗中最多同时启动3个援助合力技能！
COMBINE_SKILL_TEAMMATE_LIMIT,2,只有队长可以进行操作！
CHRISTMAS_HAD_GET_PEIZE,2,"你已经领取过当天的礼物啦,圣诞快乐！"
CHRISTMAS_PICK_MAX,2,你今天已经拾取了25个雪花，圣诞快乐！
NEWYEAR_FIGHT_MAX,2,你今天已经逮捕了10个小怪啦，请明天再继续吧！
NEWYEAR_HAD_GET_PEIZE,2,"你已经燃放过今天的礼炮了,元旦快乐！"
DEAD_FIELD_PERSONAL_RESETING,2,终极境地记录正在重置中，凌晨再来挑战吧！
DEAD_FIELD_PERSONAL_SUCCESS,2,你已成功通关终极境地！
COURAGE_MAX_LEVEL,2,魄力已达到最高等级！
COURAGE_MAX_QUALITY,2,魄力已达到最高品阶！
COURAGE_LEVEL_FAILE,2,魄力升级失败!
INHERIT_SUCCESS,2,继承者变为%d级%d阶进阶，传授者重置为%d级%d阶进阶
SHOULD_OFF_EQUIP,2,%s需要脱下装备才可进行继承操作
TEAM_OTHER_ACTIVITY,2,对方正处于其他活动中
MEMBER_COUNT_LIMIT,2,队员不足，不能做此操作
ESSENCE_POINT_NOT_ENOUGH,2,专精点不足
ESSENCE_NO_FIELD_VALUE,2,可以转化的属性值不足
ESSENCE_POINT_OUT_RANGE,2,不能超出可以转换的范围
GM_BODY_EXIST,2,请等待变身时间结束再使用
MAX_CHAMPION_COUNT,2,挑战次数已经达到上限
CAN_NOT_TEAM,2,组队状态无法使用该功能
VIP_LEVEL_LIMIT,2,vip等级达到16才可使用
SKY_TOWER_MAX_LAYER,2,已达到个人历史最高层
DISCOUNT_LIMIT_COUNT,2,购买次数已满，请耐心等待下次活动
TEAM_IN_BLACK,2,你被对方拉入了黑名单
GUOZHAN_HOUSE_TIMES,2,每天最多可对国都资源点进行3次掠夺
GUOZHAN_MINE_TIMES,2,每天最多可对世界资源点进行3次掠夺
GUOZHAN_HOUSE_GAIN,2,今天还可以收获%d次城内资源
GUOZHAN_MINE_GAIN,2,今天还可以收获%d次城外资源
GUOZHAN_CANNOT_ATTACK,2,每小时最多被攻击3次
RED_MINE,2,不能抢自己的红包
RED_ENVELOPE_GOT,2,你已经摇过这棵摇钱树了
FACTION_LIMIT,2,你不属于这个公会，不能摇这颗摇钱树
GET_COUNT_OVER,2,摇这棵摇钱树的人已经超过上限了
MONERY_TREE_NO_POSITION,2,摇钱树已经种满了，请稍后再来
VOW_FAILED,2,很遗憾，许愿失败了
USED_READERY,2,你已经使用过许愿盒了，不能再次许愿了
RED_TOO_MIN,2,种下一颗摇钱树至少需要%d晶石
PLANT_MONEY_TREE,2,【%s】在【%s】种下了一颗摇钱树，大家快去摇一摇吧!
FACTION_ENTER_TIME,2,入团时间不足%d小时，不能做此操作
NPC_DELETE,8,你手速太慢，许愿盒已经被其他人使用或者消失了
GUOZHAN_NOPOINT,2,行动力不够了
GUOZHAN_NOTVALID,2,该地点不存在！
SLOT_DAILY_LIMITS,2,剩余次数
WAR_FORMATION_FAILED,8,很遗憾，战阵升级失败，增加%d点研究值。
WAR_FORMATION_SUCCESS,8,恭喜您，战阵升级成功了！
HAMMER_COUNT_LIMIT,2,神奇铁锤不足，无法使用。
EGGS_IS_BROKEN,2,金蛋已经砸过了。不可使用
GOT_HAMMER,2,恭喜您得到%d个神奇铁锤
BUFF_EXSIT,2,当前已经有这个状态了！
ROBBER_PK_PROTECT,2,自己或者对方处于pk保护状态
FORTUNE_CAT_DAILY_LIMIT,2,今日剩余次数已经用完
FORTUNE_CAT_VIP_LIMIT,2,需要VIP%d才可以使用招财猫
NO_PAPER,2,当前还没有任何资讯
SPING_EQUINOX_LEVEL_LIMIT,2,主角等级需达到10级方可拾取
KITE_CARRY_LIMIT,2,已达到粽子携带上限
KITE_DAILY_LIMIT,2,已达到粽子每日次数上限
KITE_COUNT_LIMIT,2,粽子数量不足
CARD_DAILY_LIMIT,2,翻牌每日次数上限
CARD_TIME_LIMIT,2,翻牌时间限制
KITE_HAS_BEEN_PICKED_UP,2,粽子已经被拾取
EXCEPTION_ERROR,2,异常错误  
KITE_GET,2,捡到一个粽子
PEARL_LEVEL_UP_FAILED,2,升级失败
PEARL_LEVEL_UP_SUCCESS,2,升级成功
PEARL_ACTIVATE_SUCCESS,2,激活成功
ONLINE_TIME_NOT_ENOUGH,2,当天在线时间不足，无法领取
PRIZE_TIMES_LIMIT,2,领奖超过次数限制
FACTION_PVE_OPEND,2,该活动每个星期只能开启一次
FACTION_PVE_JION_LIMIT_TIME,2,加入公会不足%s天无法参加该活动
TOO_MANY_SAME_STONE,2,女神身上装备不能镶嵌总数超过4颗相同类型神石
TOO_MANY_SAME_STONE_EQUIP,2,不允许穿戴装备镶嵌相同类型神石总数4颗以上
AUCTION_RMB_LIMIT,2,拍卖累计消费不能超出累计充值额度
AUCTION_HIGHER_PRICE,2,%s出价%d，您的出价被超过了
MAX_PRICE_LIMIT,8,由于超过最高出价上限，本次出价将设置为最高出价上限
AUCTION_LOWER_NEXT_MIN_PRICE,2,不能小于最小加价
AUCTION_NOT_ITEM,2,该物品已结束拍卖
AUCTION_ITEM_TIME_OUT,2,该物品已结束拍卖
AUCTION_MAX_COUNT,2,拍卖上架的物品已达到100个上限，无法再上架
AUCTION_ITEM_PRICE_CHANGE,2,当前出价有变动，请再刷新再出价
ROBBER_HANG_IN_FIGHTING,2,当前挂机替身正在战斗，请稍后在进
VOCATION_CHANGE,2,转换职业后不能再挑战海底逃生了
ROBBER_REMAIN_SET_TIME,2,还剩余%d秒才能再次设置
JOIN_TEAM_LOST_TEMPLE_SCORE,2,己方或对方拥有神像
CODE_ERROR,2,不能邀请自己
CODE_ACTIVE_ALREADY,2,受邀请数量已达上限！
OTHER_CODE_ACTIVE_ALREADY,2,对方邀请人数达到上限！
IN_INVITELIST_ALREADY,2,已经邀请过该玩家了！
NO_CODE,2,没有这个邀请码
FACTIONWAR_ERROR8,2,没有在报名列表中
NOT_CAPTAIN,2,该申请/邀请已失效
ROBBER_BOSS_BOX_LOST,2,场景跳转，boss宝箱丢失。
NPC_NOT_EXSIT,2,npc已经不存在了，无法操作
CAMPAIGN_ERROR3,2,有队员关卡未解锁，最大可挑战关卡为%s
MAX_RENT_COUNT,2,每天最多出租%s次
CAMPAIGN_ERROR4,2,%s圣地怪物击杀数量不够，不能挑战
ROBBER_PK_LEVEL_PROTECT,2,自己或者对方等级小于等于10级，处于pk保护状态
LEAST_EMPLOY_TIME,2,至少需要%s小时才能退役
ROBBER_KICT_OUT_HANG,8,在进入圣地的时候，由于被人攻击挂机分身，战斗失败，你被赶出了圣地！
ROBBER_VIRTUAL_COMBAT,8,%s的挂机分身正在战斗中，请等待战斗结果再操作！
MESSAGE_CHARM_LIMIT,2,当前魅力值为负，不能发言！
RESULT_FACTION_APPLY_NOT_EXIT,2,该玩家已经取消申请或加入其他公会
BOSS_FIGHTING_NOW,2,怪物正在战斗中，请稍候
REFUSE_EMPLOY_APPLY,2,#yellow%s#rf拒绝了你的雇佣申请
EMPLOY_APPLY_PASS,2,#yellow%s#rf同意了你的雇佣申请
RESULT_EMPLOY_LEADER,2,公会职位长老以上直接获得
RESULT_ENPLY_RETIRE,8,退出公会，清除了你的入驻队伍
RESULT_DAILY_MAX,2,已经达到进入上限
RESULT_IMMOR_NOT_UP,2,当前职业无法使用圣使！
FACTION_RENQI_MAX,2,上香次数已达上限
NOT_GOLD,2,元宝不足
NOT_ONLINE,2,对方不在线
ALREDY_MARRY,2,已经结婚
LIMIT_MARRY,2,当天结婚次数超出
CAMPAIGN_ERROR5,2,对方已经通关该关卡，无需你的帮助，谢谢你的好意！
RESULT_FACTION_DONATION_SUCCESS,2,捐献成功
SEND_ITEM_SUCCESS,2,赠送成功
SEND_ITEM_ERROR,2,没有可赠送的好友
GET_ITEM_SUCCESS,2,接受成功
GET_ITEM_ERROR,2,没有可接受的友情币
FACTION_DISSATISFACTION_FORCE,2,战力不满足
FACTION_FORCE_CLOSE,2,关闭成功
FACTION_FORCE_OPEN,2,开启成功
SHOP_BUY_CONDITION,2,购买条件不足
ATTENTION_SUCCESS,2,关注成功
