等级索引,需要经验,奖励内容,属性
90,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',22446},{'demage',8978},{'hujia',2244}"
91,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',22797},{'demage',9118},{'hujia',2279}"
92,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',23150},{'demage',9260},{'hujia',2315}"
93,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',23505},{'demage',9402},{'hujia',2350}"
94,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',23863},{'demage',9545},{'hujia',2386}"
95,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',24223},{'demage',9689},{'hujia',2422}"
96,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',24585},{'demage',9834},{'hujia',2458}"
97,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',24949},{'demage',9979},{'hujia',2494}"
98,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',25315},{'demage',10126},{'hujia',2531}"
99,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',25684},{'demage',10273},{'hujia',2568}"
100,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',26055},{'demage',10422},{'hujia',2605}"
101,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',26428},{'demage',10571},{'hujia',2642}"
102,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',26803},{'demage',10721},{'hujia',2680}"
103,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',27181},{'demage',10872},{'hujia',2718}"
104,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',27561},{'demage',11024},{'hujia',2756}"
105,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',27943},{'demage',11177},{'hujia',2794}"
106,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',28327},{'demage',11330},{'hujia',2832}"
107,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',28713},{'demage',11485},{'hujia',2871}"
108,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',29102},{'demage',11640},{'hujia',2910}"
109,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',29493},{'demage',11797},{'hujia',2949}"
110,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',29886},{'demage',11954},{'hujia',2988}"
111,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',30281},{'demage',12112},{'hujia',3028}"
112,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',30679},{'demage',12271},{'hujia',3067}"
113,60,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',31079},{'demage',12431},{'hujia',3107}"
114,68,"{""facContribute"",120},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',31481},{'demage',12592},{'hujia',3148}"
115,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',31885},{'demage',12754},{'hujia',3188}"
116,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',32291},{'demage',12916},{'hujia',3229}"
117,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',32700},{'demage',13080},{'hujia',3270}"
118,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',33111},{'demage',13244},{'hujia',3311}"
119,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',33524},{'demage',13409},{'hujia',3352}"
120,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',33939},{'demage',13575},{'hujia',3393}"
121,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',34357},{'demage',13742},{'hujia',3435}"
122,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',34776},{'demage',13910},{'hujia',3477}"
123,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',35198},{'demage',14079},{'hujia',3519}"
124,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',35622},{'demage',14248},{'hujia',3562}"
125,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',36049},{'demage',14419},{'hujia',3604}"
126,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',36477},{'demage',14590},{'hujia',3647}"
127,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',36908},{'demage',14763},{'hujia',3690}"
128,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',37341},{'demage',14936},{'hujia',3734}"
129,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',37777},{'demage',15110},{'hujia',3777}"
130,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',38214},{'demage',15285},{'hujia',3821}"
131,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',38654},{'demage',15461},{'hujia',3865}"
132,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',39096},{'demage',15638},{'hujia',3909}"
133,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',39540},{'demage',15816},{'hujia',3954}"
134,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',39986},{'demage',15994},{'hujia',3998}"
135,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',40435},{'demage',16174},{'hujia',4043}"
136,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',40886},{'demage',16354},{'hujia',4088}"
137,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',41339},{'demage',16535},{'hujia',4133}"
138,68,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',41794},{'demage',16717},{'hujia',4179}"
139,78,"{""facContribute"",136},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',42251},{'demage',16900},{'hujia',4225}"
140,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',42711},{'demage',17084},{'hujia',4271}"
141,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',43173},{'demage',17269},{'hujia',4317}"
142,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',43637},{'demage',17454},{'hujia',4363}"
143,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',44103},{'demage',17641},{'hujia',4410}"
144,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',44572},{'demage',17828},{'hujia',4457}"
145,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',45043},{'demage',18017},{'hujia',4504}"
146,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',45516},{'demage',18206},{'hujia',4551}"
147,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',45991},{'demage',18396},{'hujia',4599}"
148,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',46468},{'demage',18587},{'hujia',4646}"
149,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',46948},{'demage',18779},{'hujia',4694}"
150,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',47430},{'demage',18972},{'hujia',4743}"
151,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',47914},{'demage',19165},{'hujia',4791}"
152,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',48400},{'demage',19360},{'hujia',4840}"
153,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',48889},{'demage',19555},{'hujia',4888}"
154,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',49380},{'demage',19752},{'hujia',4938}"
155,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',49873},{'demage',19949},{'hujia',4987}"
156,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',50368},{'demage',20147},{'hujia',5036}"
157,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',50865},{'demage',20346},{'hujia',5086}"
158,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',51365},{'demage',20546},{'hujia',5136}"
159,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',51867},{'demage',20746},{'hujia',5186}"
160,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',52371},{'demage',20948},{'hujia',5237}"
161,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',52877},{'demage',21150},{'hujia',5287}"
162,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',53386},{'demage',21354},{'hujia',5338}"
163,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',53897},{'demage',21558},{'hujia',5389}"
164,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',54410},{'demage',21764},{'hujia',5441}"
165,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',54925},{'demage',21970},{'hujia',5492}"
166,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',55442},{'demage',22176},{'hujia',5544}"
167,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',55962},{'demage',22384},{'hujia',5596}"
168,78,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',56484},{'demage',22593},{'hujia',5648}"
169,88,"{""facContribute"",156},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',57008},{'demage',22803},{'hujia',5700}"
170,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',57534},{'demage',23013},{'hujia',5753}"
171,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',58063},{'demage',23225},{'hujia',5806}"
172,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',58593},{'demage',23437},{'hujia',5859}"
173,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',59126},{'demage',23650},{'hujia',5912}"
174,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',59661},{'demage',23864},{'hujia',5966}"
175,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',60199},{'demage',24079},{'hujia',6019}"
176,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',60738},{'demage',24295},{'hujia',6073}"
177,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',61280},{'demage',24512},{'hujia',6128}"
178,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',61824},{'demage',24729},{'hujia',6182}"
179,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',62371},{'demage',24948},{'hujia',6237}"
180,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',62919},{'demage',25167},{'hujia',6291}"
181,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',63470},{'demage',25388},{'hujia',6347}"
182,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',64023},{'demage',25609},{'hujia',6402}"
183,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',64578},{'demage',25831},{'hujia',6457}"
184,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',65135},{'demage',26054},{'hujia',6513}"
185,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',65695},{'demage',26278},{'hujia',6569}"
186,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',66257},{'demage',26502},{'hujia',6625}"
187,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',66821},{'demage',26728},{'hujia',6682}"
188,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',67387},{'demage',26954},{'hujia',6738}"
189,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',67955},{'demage',27182},{'hujia',6795}"
190,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',68526},{'demage',27410},{'hujia',6852}"
191,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',69099},{'demage',27639},{'hujia',6909}"
192,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',69674},{'demage',27869},{'hujia',6967}"
193,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',70251},{'demage',28100},{'hujia',7025}"
194,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',70831},{'demage',28332},{'hujia',7083}"
195,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',71413},{'demage',28565},{'hujia',7141}"
196,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',71997},{'demage',28798},{'hujia',7199}"
197,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',72583},{'demage',29033},{'hujia',7258}"
198,88,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',73171},{'demage',29268},{'hujia',7317}"
199,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',73762},{'demage',29504},{'hujia',7376}"
200,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',74355},{'demage',29742},{'hujia',7435}"
201,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',74950},{'demage',29980},{'hujia',7495}"
202,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',75547},{'demage',30218},{'hujia',7554}"
203,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',76147},{'demage',30458},{'hujia',7614}"
204,100,"{""facContribute"",176},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',76749},{'demage',30699},{'hujia',7674}"
205,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',77353},{'demage',30941},{'hujia',7735}"
206,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',77959},{'demage',31183},{'hujia',7795}"
207,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',78567},{'demage',31426},{'hujia',7856}"
208,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',79178},{'demage',31671},{'hujia',7917}"
209,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',79791},{'demage',31916},{'hujia',7979}"
210,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',80406},{'demage',32162},{'hujia',8040}"
211,100,"{""facContribute"",200},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',81023},{'demage',32409},{'hujia',8102}"
