ID,帮贡消耗,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8
26,200,"{'maxhp',8944},{'hujia',260}","{'demage',1378}","{'demage',78},{'hujia',1300}","{'demage',1300},{'critrate',52}","{'demage',1300},{'critratedec',52}","{'demage',1300},{'hitrate',52}","{'demage',1300},{'dodge',52}","{'maxhp',5824},{'speed',26}"
27,200,"{'maxhp',9288},{'hujia',270}","{'demage',1431}","{'demage',81},{'hujia',1350}","{'demage',1350},{'critrate',54}","{'demage',1350},{'critratedec',54}","{'demage',1350},{'hitrate',54}","{'demage',1350},{'dodge',54}","{'maxhp',6048},{'speed',27}"
28,200,"{'maxhp',9632},{'hujia',280}","{'demage',1484}","{'demage',84},{'hujia',1400}","{'demage',1400},{'critrate',56}","{'demage',1400},{'critratedec',56}","{'demage',1400},{'hitrate',56}","{'demage',1400},{'dodge',56}","{'maxhp',6272},{'speed',28}"
29,200,"{'maxhp',9976},{'hujia',290}","{'demage',1537}","{'demage',87},{'hujia',1450}","{'demage',1450},{'critrate',58}","{'demage',1450},{'critratedec',58}","{'demage',1450},{'hitrate',58}","{'demage',1450},{'dodge',58}","{'maxhp',6496},{'speed',29}"
30,200,"{'maxhp',10320},{'hujia',300}","{'demage',1590}","{'demage',90},{'hujia',1500}","{'demage',1500},{'critrate',60}","{'demage',1500},{'critratedec',60}","{'demage',1500},{'hitrate',60}","{'demage',1500},{'dodge',60}","{'maxhp',6720},{'speed',30}"
31,200,"{'maxhp',10664},{'hujia',310}","{'demage',1643}","{'demage',93},{'hujia',1550}","{'demage',1550},{'critrate',62}","{'demage',1550},{'critratedec',62}","{'demage',1550},{'hitrate',62}","{'demage',1550},{'dodge',62}","{'maxhp',6944},{'speed',31}"
32,200,"{'maxhp',11008},{'hujia',320}","{'demage',1696}","{'demage',96},{'hujia',1600}","{'demage',1600},{'critrate',64}","{'demage',1600},{'critratedec',64}","{'demage',1600},{'hitrate',64}","{'demage',1600},{'dodge',64}","{'maxhp',7168},{'speed',32}"
33,200,"{'maxhp',11352},{'hujia',330}","{'demage',1749}","{'demage',99},{'hujia',1650}","{'demage',1650},{'critrate',66}","{'demage',1650},{'critratedec',66}","{'demage',1650},{'hitrate',66}","{'demage',1650},{'dodge',66}","{'maxhp',7392},{'speed',33}"
34,200,"{'maxhp',11696},{'hujia',340}","{'demage',1802}","{'demage',102},{'hujia',1700}","{'demage',1700},{'critrate',68}","{'demage',1700},{'critratedec',68}","{'demage',1700},{'hitrate',68}","{'demage',1700},{'dodge',68}","{'maxhp',7616},{'speed',34}"
35,200,"{'maxhp',12040},{'hujia',350}","{'demage',1855}","{'demage',105},{'hujia',1750}","{'demage',1750},{'critrate',70}","{'demage',1750},{'critratedec',70}","{'demage',1750},{'hitrate',70}","{'demage',1750},{'dodge',70}","{'maxhp',7840},{'speed',35}"
36,200,"{'maxhp',12384},{'hujia',360}","{'demage',1908}","{'demage',108},{'hujia',1800}","{'demage',1800},{'critrate',72}","{'demage',1800},{'critratedec',72}","{'demage',1800},{'hitrate',72}","{'demage',1800},{'dodge',72}","{'maxhp',8064},{'speed',36}"
37,200,"{'maxhp',12728},{'hujia',370}","{'demage',1961}","{'demage',111},{'hujia',1850}","{'demage',1850},{'critrate',74}","{'demage',1850},{'critratedec',74}","{'demage',1850},{'hitrate',74}","{'demage',1850},{'dodge',74}","{'maxhp',8288},{'speed',37}"
38,200,"{'maxhp',13072},{'hujia',380}","{'demage',2014}","{'demage',114},{'hujia',1900}","{'demage',1900},{'critrate',76}","{'demage',1900},{'critratedec',76}","{'demage',1900},{'hitrate',76}","{'demage',1900},{'dodge',76}","{'maxhp',8512},{'speed',38}"
39,200,"{'maxhp',13416},{'hujia',390}","{'demage',2067}","{'demage',117},{'hujia',1950}","{'demage',1950},{'critrate',78}","{'demage',1950},{'critratedec',78}","{'demage',1950},{'hitrate',78}","{'demage',1950},{'dodge',78}","{'maxhp',8736},{'speed',39}"
40,200,"{'maxhp',13760},{'hujia',400}","{'demage',2120}","{'demage',120},{'hujia',2000}","{'demage',2000},{'critrate',80}","{'demage',2000},{'critratedec',80}","{'demage',2000},{'hitrate',80}","{'demage',2000},{'dodge',80}","{'maxhp',8960},{'speed',40}"
41,200,"{'maxhp',14104},{'hujia',410}","{'demage',2173}","{'demage',123},{'hujia',2050}","{'demage',2050},{'critrate',82}","{'demage',2050},{'critratedec',82}","{'demage',2050},{'hitrate',82}","{'demage',2050},{'dodge',82}","{'maxhp',9184},{'speed',41}"
42,200,"{'maxhp',14448},{'hujia',420}","{'demage',2226}","{'demage',126},{'hujia',2100}","{'demage',2100},{'critrate',84}","{'demage',2100},{'critratedec',84}","{'demage',2100},{'hitrate',84}","{'demage',2100},{'dodge',84}","{'maxhp',9408},{'speed',42}"
43,200,"{'maxhp',14792},{'hujia',430}","{'demage',2279}","{'demage',129},{'hujia',2150}","{'demage',2150},{'critrate',86}","{'demage',2150},{'critratedec',86}","{'demage',2150},{'hitrate',86}","{'demage',2150},{'dodge',86}","{'maxhp',9632},{'speed',43}"
44,200,"{'maxhp',15136},{'hujia',440}","{'demage',2332}","{'demage',132},{'hujia',2200}","{'demage',2200},{'critrate',88}","{'demage',2200},{'critratedec',88}","{'demage',2200},{'hitrate',88}","{'demage',2200},{'dodge',88}","{'maxhp',9856},{'speed',44}"
45,200,"{'maxhp',15480},{'hujia',450}","{'demage',2385}","{'demage',135},{'hujia',2250}","{'demage',2250},{'critrate',90}","{'demage',2250},{'critratedec',90}","{'demage',2250},{'hitrate',90}","{'demage',2250},{'dodge',90}","{'maxhp',10080},{'speed',45}"
46,200,"{'maxhp',15824},{'hujia',460}","{'demage',2438}","{'demage',138},{'hujia',2300}","{'demage',2300},{'critrate',92}","{'demage',2300},{'critratedec',92}","{'demage',2300},{'hitrate',92}","{'demage',2300},{'dodge',92}","{'maxhp',10304},{'speed',46}"
47,200,"{'maxhp',16168},{'hujia',470}","{'demage',2491}","{'demage',141},{'hujia',2350}","{'demage',2350},{'critrate',94}","{'demage',2350},{'critratedec',94}","{'demage',2350},{'hitrate',94}","{'demage',2350},{'dodge',94}","{'maxhp',10528},{'speed',47}"
48,200,"{'maxhp',16512},{'hujia',480}","{'demage',2544}","{'demage',144},{'hujia',2400}","{'demage',2400},{'critrate',96}","{'demage',2400},{'critratedec',96}","{'demage',2400},{'hitrate',96}","{'demage',2400},{'dodge',96}","{'maxhp',10752},{'speed',48}"
49,200,"{'maxhp',16856},{'hujia',490}","{'demage',2597}","{'demage',147},{'hujia',2450}","{'demage',2450},{'critrate',98}","{'demage',2450},{'critratedec',98}","{'demage',2450},{'hitrate',98}","{'demage',2450},{'dodge',98}","{'maxhp',10976},{'speed',49}"
50,300,"{'maxhp',17200},{'hujia',500}","{'demage',2650}","{'demage',150},{'hujia',2500}","{'demage',2500},{'critrate',100}","{'demage',2500},{'critratedec',100}","{'demage',2500},{'hitrate',100}","{'demage',2500},{'dodge',100}","{'maxhp',11200},{'speed',50}"
51,300,"{'maxhp',17544},{'hujia',510}","{'demage',2703}","{'demage',153},{'hujia',2550}","{'demage',2550},{'critrate',102}","{'demage',2550},{'critratedec',102}","{'demage',2550},{'hitrate',102}","{'demage',2550},{'dodge',102}","{'maxhp',11424},{'speed',51}"
52,300,"{'maxhp',17888},{'hujia',520}","{'demage',2756}","{'demage',156},{'hujia',2600}","{'demage',2600},{'critrate',104}","{'demage',2600},{'critratedec',104}","{'demage',2600},{'hitrate',104}","{'demage',2600},{'dodge',104}","{'maxhp',11648},{'speed',52}"
53,300,"{'maxhp',18232},{'hujia',530}","{'demage',2809}","{'demage',159},{'hujia',2650}","{'demage',2650},{'critrate',106}","{'demage',2650},{'critratedec',106}","{'demage',2650},{'hitrate',106}","{'demage',2650},{'dodge',106}","{'maxhp',11872},{'speed',53}"
54,300,"{'maxhp',18576},{'hujia',540}","{'demage',2862}","{'demage',162},{'hujia',2700}","{'demage',2700},{'critrate',108}","{'demage',2700},{'critratedec',108}","{'demage',2700},{'hitrate',108}","{'demage',2700},{'dodge',108}","{'maxhp',12096},{'speed',54}"
55,300,"{'maxhp',18920},{'hujia',550}","{'demage',2915}","{'demage',165},{'hujia',2750}","{'demage',2750},{'critrate',110}","{'demage',2750},{'critratedec',110}","{'demage',2750},{'hitrate',110}","{'demage',2750},{'dodge',110}","{'maxhp',12320},{'speed',55}"
56,300,"{'maxhp',19264},{'hujia',560}","{'demage',2968}","{'demage',168},{'hujia',2800}","{'demage',2800},{'critrate',112}","{'demage',2800},{'critratedec',112}","{'demage',2800},{'hitrate',112}","{'demage',2800},{'dodge',112}","{'maxhp',12544},{'speed',56}"
57,300,"{'maxhp',19608},{'hujia',570}","{'demage',3021}","{'demage',171},{'hujia',2850}","{'demage',2850},{'critrate',114}","{'demage',2850},{'critratedec',114}","{'demage',2850},{'hitrate',114}","{'demage',2850},{'dodge',114}","{'maxhp',12768},{'speed',57}"
58,300,"{'maxhp',19952},{'hujia',580}","{'demage',3074}","{'demage',174},{'hujia',2900}","{'demage',2900},{'critrate',116}","{'demage',2900},{'critratedec',116}","{'demage',2900},{'hitrate',116}","{'demage',2900},{'dodge',116}","{'maxhp',12992},{'speed',58}"
59,300,"{'maxhp',20296},{'hujia',590}","{'demage',3127}","{'demage',177},{'hujia',2950}","{'demage',2950},{'critrate',118}","{'demage',2950},{'critratedec',118}","{'demage',2950},{'hitrate',118}","{'demage',2950},{'dodge',118}","{'maxhp',13216},{'speed',59}"
60,300,"{'maxhp',20640},{'hujia',600}","{'demage',3180}","{'demage',180},{'hujia',3000}","{'demage',3000},{'critrate',120}","{'demage',3000},{'critratedec',120}","{'demage',3000},{'hitrate',120}","{'demage',3000},{'dodge',120}","{'maxhp',13440},{'speed',60}"
61,300,"{'maxhp',20984},{'hujia',610}","{'demage',3233}","{'demage',183},{'hujia',3050}","{'demage',3050},{'critrate',122}","{'demage',3050},{'critratedec',122}","{'demage',3050},{'hitrate',122}","{'demage',3050},{'dodge',122}","{'maxhp',13664},{'speed',61}"
62,300,"{'maxhp',21328},{'hujia',620}","{'demage',3286}","{'demage',186},{'hujia',3100}","{'demage',3100},{'critrate',124}","{'demage',3100},{'critratedec',124}","{'demage',3100},{'hitrate',124}","{'demage',3100},{'dodge',124}","{'maxhp',13888},{'speed',62}"
63,300,"{'maxhp',21672},{'hujia',630}","{'demage',3339}","{'demage',189},{'hujia',3150}","{'demage',3150},{'critrate',126}","{'demage',3150},{'critratedec',126}","{'demage',3150},{'hitrate',126}","{'demage',3150},{'dodge',126}","{'maxhp',14112},{'speed',63}"
64,300,"{'maxhp',22016},{'hujia',640}","{'demage',3392}","{'demage',192},{'hujia',3200}","{'demage',3200},{'critrate',128}","{'demage',3200},{'critratedec',128}","{'demage',3200},{'hitrate',128}","{'demage',3200},{'dodge',128}","{'maxhp',14336},{'speed',64}"
65,300,"{'maxhp',22360},{'hujia',650}","{'demage',3445}","{'demage',195},{'hujia',3250}","{'demage',3250},{'critrate',130}","{'demage',3250},{'critratedec',130}","{'demage',3250},{'hitrate',130}","{'demage',3250},{'dodge',130}","{'maxhp',14560},{'speed',65}"
66,300,"{'maxhp',22704},{'hujia',660}","{'demage',3498}","{'demage',198},{'hujia',3300}","{'demage',3300},{'critrate',132}","{'demage',3300},{'critratedec',132}","{'demage',3300},{'hitrate',132}","{'demage',3300},{'dodge',132}","{'maxhp',14784},{'speed',66}"
67,300,"{'maxhp',23048},{'hujia',670}","{'demage',3551}","{'demage',201},{'hujia',3350}","{'demage',3350},{'critrate',134}","{'demage',3350},{'critratedec',134}","{'demage',3350},{'hitrate',134}","{'demage',3350},{'dodge',134}","{'maxhp',15008},{'speed',67}"
68,300,"{'maxhp',23392},{'hujia',680}","{'demage',3604}","{'demage',204},{'hujia',3400}","{'demage',3400},{'critrate',136}","{'demage',3400},{'critratedec',136}","{'demage',3400},{'hitrate',136}","{'demage',3400},{'dodge',136}","{'maxhp',15232},{'speed',68}"
69,300,"{'maxhp',23736},{'hujia',690}","{'demage',3657}","{'demage',207},{'hujia',3450}","{'demage',3450},{'critrate',138}","{'demage',3450},{'critratedec',138}","{'demage',3450},{'hitrate',138}","{'demage',3450},{'dodge',138}","{'maxhp',15456},{'speed',69}"
70,300,"{'maxhp',24080},{'hujia',700}","{'demage',3710}","{'demage',210},{'hujia',3500}","{'demage',3500},{'critrate',140}","{'demage',3500},{'critratedec',140}","{'demage',3500},{'hitrate',140}","{'demage',3500},{'dodge',140}","{'maxhp',15680},{'speed',70}"
71,300,"{'maxhp',24424},{'hujia',710}","{'demage',3763}","{'demage',213},{'hujia',3550}","{'demage',3550},{'critrate',142}","{'demage',3550},{'critratedec',142}","{'demage',3550},{'hitrate',142}","{'demage',3550},{'dodge',142}","{'maxhp',15904},{'speed',71}"
72,300,"{'maxhp',24768},{'hujia',720}","{'demage',3816}","{'demage',216},{'hujia',3600}","{'demage',3600},{'critrate',144}","{'demage',3600},{'critratedec',144}","{'demage',3600},{'hitrate',144}","{'demage',3600},{'dodge',144}","{'maxhp',16128},{'speed',72}"
73,300,"{'maxhp',25112},{'hujia',730}","{'demage',3869}","{'demage',219},{'hujia',3650}","{'demage',3650},{'critrate',146}","{'demage',3650},{'critratedec',146}","{'demage',3650},{'hitrate',146}","{'demage',3650},{'dodge',146}","{'maxhp',16352},{'speed',73}"
74,300,"{'maxhp',25456},{'hujia',740}","{'demage',3922}","{'demage',222},{'hujia',3700}","{'demage',3700},{'critrate',148}","{'demage',3700},{'critratedec',148}","{'demage',3700},{'hitrate',148}","{'demage',3700},{'dodge',148}","{'maxhp',16576},{'speed',74}"
75,300,"{'maxhp',25800},{'hujia',750}","{'demage',3975}","{'demage',225},{'hujia',3750}","{'demage',3750},{'critrate',150}","{'demage',3750},{'critratedec',150}","{'demage',3750},{'hitrate',150}","{'demage',3750},{'dodge',150}","{'maxhp',16800},{'speed',75}"
76,300,"{'maxhp',26144},{'hujia',760}","{'demage',4028}","{'demage',228},{'hujia',3800}","{'demage',3800},{'critrate',152}","{'demage',3800},{'critratedec',152}","{'demage',3800},{'hitrate',152}","{'demage',3800},{'dodge',152}","{'maxhp',17024},{'speed',76}"
77,300,"{'maxhp',26488},{'hujia',770}","{'demage',4081}","{'demage',231},{'hujia',3850}","{'demage',3850},{'critrate',154}","{'demage',3850},{'critratedec',154}","{'demage',3850},{'hitrate',154}","{'demage',3850},{'dodge',154}","{'maxhp',17248},{'speed',77}"
78,300,"{'maxhp',26832},{'hujia',780}","{'demage',4134}","{'demage',234},{'hujia',3900}","{'demage',3900},{'critrate',156}","{'demage',3900},{'critratedec',156}","{'demage',3900},{'hitrate',156}","{'demage',3900},{'dodge',156}","{'maxhp',17472},{'speed',78}"
79,300,"{'maxhp',27176},{'hujia',790}","{'demage',4187}","{'demage',237},{'hujia',3950}","{'demage',3950},{'critrate',158}","{'demage',3950},{'critratedec',158}","{'demage',3950},{'hitrate',158}","{'demage',3950},{'dodge',158}","{'maxhp',17696},{'speed',79}"
80,300,"{'maxhp',27520},{'hujia',800}","{'demage',4240}","{'demage',240},{'hujia',4000}","{'demage',4000},{'critrate',160}","{'demage',4000},{'critratedec',160}","{'demage',4000},{'hitrate',160}","{'demage',4000},{'dodge',160}","{'maxhp',17920},{'speed',80}"
81,300,"{'maxhp',27864},{'hujia',810}","{'demage',4293}","{'demage',243},{'hujia',4050}","{'demage',4050},{'critrate',162}","{'demage',4050},{'critratedec',162}","{'demage',4050},{'hitrate',162}","{'demage',4050},{'dodge',162}","{'maxhp',18144},{'speed',81}"
82,300,"{'maxhp',28208},{'hujia',820}","{'demage',4346}","{'demage',246},{'hujia',4100}","{'demage',4100},{'critrate',164}","{'demage',4100},{'critratedec',164}","{'demage',4100},{'hitrate',164}","{'demage',4100},{'dodge',164}","{'maxhp',18368},{'speed',82}"
83,300,"{'maxhp',28552},{'hujia',830}","{'demage',4399}","{'demage',249},{'hujia',4150}","{'demage',4150},{'critrate',166}","{'demage',4150},{'critratedec',166}","{'demage',4150},{'hitrate',166}","{'demage',4150},{'dodge',166}","{'maxhp',18592},{'speed',83}"
84,300,"{'maxhp',28896},{'hujia',840}","{'demage',4452}","{'demage',252},{'hujia',4200}","{'demage',4200},{'critrate',168}","{'demage',4200},{'critratedec',168}","{'demage',4200},{'hitrate',168}","{'demage',4200},{'dodge',168}","{'maxhp',18816},{'speed',84}"
85,300,"{'maxhp',29240},{'hujia',850}","{'demage',4505}","{'demage',255},{'hujia',4250}","{'demage',4250},{'critrate',170}","{'demage',4250},{'critratedec',170}","{'demage',4250},{'hitrate',170}","{'demage',4250},{'dodge',170}","{'maxhp',19040},{'speed',85}"
86,300,"{'maxhp',29584},{'hujia',860}","{'demage',4558}","{'demage',258},{'hujia',4300}","{'demage',4300},{'critrate',172}","{'demage',4300},{'critratedec',172}","{'demage',4300},{'hitrate',172}","{'demage',4300},{'dodge',172}","{'maxhp',19264},{'speed',86}"
87,300,"{'maxhp',29928},{'hujia',870}","{'demage',4611}","{'demage',261},{'hujia',4350}","{'demage',4350},{'critrate',174}","{'demage',4350},{'critratedec',174}","{'demage',4350},{'hitrate',174}","{'demage',4350},{'dodge',174}","{'maxhp',19488},{'speed',87}"
88,300,"{'maxhp',30272},{'hujia',880}","{'demage',4664}","{'demage',264},{'hujia',4400}","{'demage',4400},{'critrate',176}","{'demage',4400},{'critratedec',176}","{'demage',4400},{'hitrate',176}","{'demage',4400},{'dodge',176}","{'maxhp',19712},{'speed',88}"
89,300,"{'maxhp',30616},{'hujia',890}","{'demage',4717}","{'demage',267},{'hujia',4450}","{'demage',4450},{'critrate',178}","{'demage',4450},{'critratedec',178}","{'demage',4450},{'hitrate',178}","{'demage',4450},{'dodge',178}","{'maxhp',19936},{'speed',89}"
90,300,"{'maxhp',30960},{'hujia',900}","{'demage',4770}","{'demage',270},{'hujia',4500}","{'demage',4500},{'critrate',180}","{'demage',4500},{'critratedec',180}","{'demage',4500},{'hitrate',180}","{'demage',4500},{'dodge',180}","{'maxhp',20160},{'speed',90}"
91,300,"{'maxhp',31304},{'hujia',910}","{'demage',4823}","{'demage',273},{'hujia',4550}","{'demage',4550},{'critrate',182}","{'demage',4550},{'critratedec',182}","{'demage',4550},{'hitrate',182}","{'demage',4550},{'dodge',182}","{'maxhp',20384},{'speed',91}"
92,300,"{'maxhp',31648},{'hujia',920}","{'demage',4876}","{'demage',276},{'hujia',4600}","{'demage',4600},{'critrate',184}","{'demage',4600},{'critratedec',184}","{'demage',4600},{'hitrate',184}","{'demage',4600},{'dodge',184}","{'maxhp',20608},{'speed',92}"
93,300,"{'maxhp',31992},{'hujia',930}","{'demage',4929}","{'demage',279},{'hujia',4650}","{'demage',4650},{'critrate',186}","{'demage',4650},{'critratedec',186}","{'demage',4650},{'hitrate',186}","{'demage',4650},{'dodge',186}","{'maxhp',20832},{'speed',93}"
94,300,"{'maxhp',32336},{'hujia',940}","{'demage',4982}","{'demage',282},{'hujia',4700}","{'demage',4700},{'critrate',188}","{'demage',4700},{'critratedec',188}","{'demage',4700},{'hitrate',188}","{'demage',4700},{'dodge',188}","{'maxhp',21056},{'speed',94}"
95,300,"{'maxhp',32680},{'hujia',950}","{'demage',5035}","{'demage',285},{'hujia',4750}","{'demage',4750},{'critrate',190}","{'demage',4750},{'critratedec',190}","{'demage',4750},{'hitrate',190}","{'demage',4750},{'dodge',190}","{'maxhp',21280},{'speed',95}"
96,300,"{'maxhp',33024},{'hujia',960}","{'demage',5088}","{'demage',288},{'hujia',4800}","{'demage',4800},{'critrate',192}","{'demage',4800},{'critratedec',192}","{'demage',4800},{'hitrate',192}","{'demage',4800},{'dodge',192}","{'maxhp',21504},{'speed',96}"
97,300,"{'maxhp',33368},{'hujia',970}","{'demage',5141}","{'demage',291},{'hujia',4850}","{'demage',4850},{'critrate',194}","{'demage',4850},{'critratedec',194}","{'demage',4850},{'hitrate',194}","{'demage',4850},{'dodge',194}","{'maxhp',21728},{'speed',97}"
98,300,"{'maxhp',33712},{'hujia',980}","{'demage',5194}","{'demage',294},{'hujia',4900}","{'demage',4900},{'critrate',196}","{'demage',4900},{'critratedec',196}","{'demage',4900},{'hitrate',196}","{'demage',4900},{'dodge',196}","{'maxhp',21952},{'speed',98}"
99,300,"{'maxhp',34056},{'hujia',990}","{'demage',5247}","{'demage',297},{'hujia',4950}","{'demage',4950},{'critrate',198}","{'demage',4950},{'critratedec',198}","{'demage',4950},{'hitrate',198}","{'demage',4950},{'dodge',198}","{'maxhp',22176},{'speed',99}"
