ID,,宠物被动技能库ID,宠物被动技能ID,,权重
163,,803,60037,,9413
164,,803,60044,,9413
165,,803,60051,,5648
166,,803,60058,,5648
167,,803,60065,,5648
168,,803,60003,,4965
169,,803,60010,,1654
170,,803,60017,,4965
171,,803,60024,,6206
172,,803,60031,,3723
173,,803,60038,,6206
174,,803,60045,,6206
175,,803,60052,,3723
176,,803,60059,,3723
177,,803,60066,,3723
178,,803,60004,,3144
179,,803,60011,,1047
180,,803,60018,,3144
181,,803,60025,,3930
182,,803,60032,,2357
183,,803,60039,,3930
184,,803,60046,,3930
185,,803,60053,,2357
186,,803,60060,,2357
187,,803,60067,,2357
188,,803,60005,,2068
189,,803,60012,,688
190,,803,60019,,2068
191,,803,60026,,2585
192,,803,60033,,1550
193,,803,60040,,2585
194,,803,60047,,2585
195,,803,60054,,1550
196,,803,60061,,1550
197,,803,60068,,1550
198,,803,60071,,12000
199,,803,60078,,8000
200,,803,60085,,8000
201,,803,60092,,16000
202,,803,60099,,12000
203,,803,60106,,12000
204,,803,60113,,8000
205,,803,60120,,12000
206,,803,60127,,8000
207,,803,60134,,8000
208,,803,60141,,8000
209,,803,60072,,6000
210,,803,60079,,4000
211,,803,60086,,4000
212,,803,60093,,8000
213,,803,60100,,6000
214,,803,60107,,6000
215,,803,60114,,4000
216,,803,60121,,6000
217,,803,60128,,4000
218,,803,60135,,4000
219,,803,60142,,4000
220,,803,60073,,3000
221,,803,60080,,2000
222,,803,60087,,2000
223,,803,60094,,4000
224,,803,60101,,3000
225,,803,60108,,3000
226,,803,60115,,2000
227,,803,60122,,3000
228,,803,60129,,2000
229,,803,60136,,2000
230,,803,60143,,2000
231,,803,60074,,1500
232,,803,60081,,1000
233,,803,60088,,1000
234,,803,60095,,2000
235,,803,60102,,1500
236,,803,60109,,1500
237,,803,60116,,1000
238,,803,60123,,1500
239,,803,60130,,1000
240,,803,60137,,1000
241,,803,60144,,1000
242,,803,60075,,750
243,,803,60082,,500
244,,803,60089,,500
245,,803,60096,,1000
246,,803,60103,,750
247,,803,60110,,750
248,,803,60117,,500
249,,803,60124,,750
250,,803,60131,,500
251,,803,60138,,500
252,,803,60145,,500
253,,804,60001,,12000
254,,804,60008,,4000
255,,804,60015,,12000
256,,804,60022,,15000
257,,804,60029,,9000
258,,804,60036,,15000
259,,804,60043,,15000
260,,804,60050,,9000
261,,804,60057,,9000
262,,804,60064,,9000
263,,804,60002,,7531
264,,804,60009,,2510
265,,804,60016,,7531
266,,804,60023,,9413
267,,804,60030,,5648
268,,804,60037,,9413
269,,804,60044,,9413
270,,804,60051,,5648
271,,804,60058,,5648
272,,804,60065,,5648
273,,804,60003,,4965
274,,804,60010,,1654
275,,804,60017,,4965
276,,804,60024,,6206
277,,804,60031,,3723
278,,804,60038,,6206
279,,804,60045,,6206
280,,804,60052,,3723
281,,804,60059,,3723
282,,804,60066,,3723
283,,804,60004,,3144
284,,804,60011,,1047
285,,804,60018,,3144
286,,804,60025,,3930
287,,804,60032,,2357
288,,804,60039,,3930
289,,804,60046,,3930
290,,804,60053,,2357
291,,804,60060,,2357
292,,804,60067,,2357
293,,804,60005,,2068
294,,804,60012,,688
295,,804,60019,,2068
296,,804,60026,,2585
297,,804,60033,,1550
298,,804,60040,,2585
299,,804,60047,,2585
300,,804,60054,,1550
301,,804,60061,,1550
302,,804,60068,,1550
303,,804,60006,,90
304,,804,60013,,90
305,,804,60020,,90
306,,804,60027,,90
307,,804,60034,,90
308,,804,60041,,90
309,,804,60048,,90
310,,804,60055,,90
311,,804,60062,,90
312,,804,60069,,90
313,,804,60071,,12000
314,,804,60078,,8000
315,,804,60085,,8000
316,,804,60092,,16000
317,,804,60099,,12000
318,,804,60106,,12000
319,,804,60113,,8000
320,,804,60120,,12000
321,,804,60127,,8000
322,,804,60134,,8000
323,,804,60141,,8000
324,,804,60072,,6000
325,,804,60079,,4000
326,,804,60086,,4000
327,,804,60093,,8000
328,,804,60100,,6000
329,,804,60107,,6000
330,,804,60114,,4000
331,,804,60121,,6000
332,,804,60128,,4000
333,,804,60135,,4000
334,,804,60142,,4000
335,,804,60073,,3000
336,,804,60080,,2000
337,,804,60087,,2000
338,,804,60094,,4000
339,,804,60101,,3000
340,,804,60108,,3000
341,,804,60115,,2000
342,,804,60122,,3000
343,,804,60129,,2000
344,,804,60136,,2000
345,,804,60143,,2000
346,,804,60074,,1500
347,,804,60081,,1000
348,,804,60088,,1000
349,,804,60095,,2000
350,,804,60102,,1500
351,,804,60109,,1500
352,,804,60116,,1000
353,,804,60123,,1500
354,,804,60130,,1000
355,,804,60137,,1000
356,,804,60144,,1000
357,,804,60075,,750
358,,804,60082,,500
359,,804,60089,,500
360,,804,60096,,1000
361,,804,60103,,750
362,,804,60110,,750
363,,804,60117,,500
364,,804,60124,,750
365,,804,60131,,500
366,,804,60138,,500
367,,804,60145,,500
368,,804,60076,,30
369,,804,60083,,30
370,,804,60090,,30
371,,804,60097,,30
372,,804,60104,,30
373,,804,60111,,30
374,,804,60118,,30
375,,804,60125,,30
376,,804,60132,,30
377,,804,60139,,30
378,,804,60146,,30
379,,805,60001,,12000
380,,805,60008,,4000
381,,805,60015,,12000
382,,805,60022,,15000
383,,805,60029,,9000
384,,805,60036,,15000
385,,805,60043,,15000
386,,805,60050,,9000
387,,805,60057,,9000
388,,805,60064,,9000
389,,805,60002,,7531
390,,805,60009,,2510
391,,805,60016,,7531
392,,805,60023,,9413
393,,805,60030,,5648
394,,805,60037,,9413
395,,805,60044,,9413
396,,805,60051,,5648
397,,805,60058,,5648
398,,805,60065,,5648
399,,805,60003,,4965
400,,805,60010,,1654
401,,805,60017,,4965
402,,805,60024,,6206
403,,805,60031,,3723
404,,805,60038,,6206
405,,805,60045,,6206
406,,805,60052,,3723
407,,805,60059,,3723
408,,805,60066,,3723
409,,805,60004,,3144
410,,805,60011,,1047
411,,805,60018,,3144
412,,805,60025,,3930
413,,805,60032,,2357
414,,805,60039,,3930
415,,805,60046,,3930
416,,805,60053,,2357
417,,805,60060,,2357
418,,805,60067,,2357
419,,805,60005,,2068
420,,805,60012,,688
421,,805,60019,,2068
422,,805,60026,,2585
423,,805,60033,,1550
424,,805,60040,,2585
425,,805,60047,,2585
426,,805,60054,,1550
427,,805,60061,,1550
428,,805,60068,,1550
429,,805,60006,,90
430,,805,60013,,90
431,,805,60020,,90
432,,805,60027,,90
433,,805,60034,,90
434,,805,60041,,90
435,,805,60048,,90
436,,805,60055,,90
437,,805,60062,,90
438,,805,60069,,90
439,,805,60007,,60
440,,805,60014,,60
441,,805,60021,,60
442,,805,60028,,60
443,,805,60035,,60
444,,805,60042,,60
445,,805,60049,,60
446,,805,60056,,60
447,,805,60063,,60
448,,805,60070,,60
449,,805,60071,,12000
450,,805,60078,,8000
451,,805,60085,,8000
452,,805,60092,,16000
453,,805,60099,,12000
454,,805,60106,,12000
455,,805,60113,,8000
456,,805,60120,,12000
457,,805,60127,,8000
458,,805,60134,,8000
459,,805,60141,,8000
460,,805,60072,,6000
461,,805,60079,,4000
462,,805,60086,,4000
463,,805,60093,,8000
464,,805,60100,,6000
465,,805,60107,,6000
466,,805,60114,,4000
467,,805,60121,,6000
468,,805,60128,,4000
469,,805,60135,,4000
470,,805,60142,,4000
471,,805,60073,,3000
472,,805,60080,,2000
473,,805,60087,,2000
474,,805,60094,,4000
475,,805,60101,,3000
476,,805,60108,,3000
477,,805,60115,,2000
478,,805,60122,,3000
479,,805,60129,,2000
480,,805,60136,,2000
481,,805,60143,,2000
482,,805,60074,,1500
483,,805,60081,,1000
484,,805,60088,,1000
485,,805,60095,,2000
486,,805,60102,,1500
487,,805,60109,,1500
488,,805,60116,,1000
489,,805,60123,,1500
490,,805,60130,,1000
491,,805,60137,,1000
492,,805,60144,,1000
493,,805,60075,,750
494,,805,60082,,500
495,,805,60089,,500
496,,805,60096,,1000
497,,805,60103,,750
498,,805,60110,,750
499,,805,60117,,500
500,,805,60124,,750
501,,805,60131,,500
502,,805,60138,,500
503,,805,60145,,500
504,,805,60076,,30
505,,805,60083,,30
506,,805,60090,,30
507,,805,60097,,30
508,,805,60104,,30
509,,805,60111,,30
510,,805,60118,,30
511,,805,60125,,30
512,,805,60132,,30
513,,805,60139,,30
514,,805,60146,,30
515,,805,60077,,20
516,,805,60084,,20
517,,805,60091,,20
518,,805,60098,,20
519,,805,60105,,20
520,,805,60112,,20
521,,805,60119,,20
522,,805,60126,,20
523,,805,60133,,20
524,,805,60140,,20
525,,805,60147,,20
526,,806,60001,,2900
527,,806,60008,,2000
528,,806,60015,,2100
529,,806,60022,,1900
530,,806,60029,,2800
531,,806,60036,,3300
532,,806,60043,,2800
533,,806,60050,,2800
534,,806,60057,,2500
535,,806,60064,,2800
536,,806,60002,,1303
537,,806,60009,,899
538,,806,60016,,944
539,,806,60023,,854
540,,806,60030,,1258
541,,806,60037,,1483
542,,806,60044,,1258
543,,806,60051,,1258
544,,806,60058,,1124
545,,806,60065,,1258
546,,806,60003,,966
547,,806,60010,,666
548,,806,60017,,699
549,,806,60024,,633
550,,806,60031,,932
551,,806,60038,,1099
552,,806,60045,,932
553,,806,60052,,932
554,,806,60059,,833
555,,806,60066,,932
556,,806,60004,,292
557,,806,60011,,201
558,,806,60018,,211
559,,806,60025,,191
560,,806,60032,,281
561,,806,60039,,332
562,,806,60046,,281
563,,806,60053,,281
564,,806,60060,,251
565,,806,60067,,281
566,,806,60005,,202
567,,806,60012,,139
568,,806,60019,,146
569,,806,60026,,132
570,,806,60033,,194
571,,806,60040,,229
572,,806,60047,,194
573,,806,60054,,194
574,,806,60061,,173
575,,806,60068,,194
576,,806,60006,,157
577,,806,60013,,108
578,,806,60020,,113
579,,806,60027,,102
580,,806,60034,,150
581,,806,60041,,178
582,,806,60048,,150
583,,806,60055,,150
584,,806,60062,,134
585,,806,60069,,150
586,,806,60007,,22
587,,806,60014,,15
588,,806,60021,,16
589,,806,60028,,14
590,,806,60035,,21
591,,806,60042,,25
592,,806,60049,,21
593,,806,60056,,21
594,,806,60063,,19
595,,806,60070,,21
596,,806,60071,,2600
597,,806,60078,,1400
598,,806,60085,,2600
599,,806,60092,,2800
600,,806,60099,,1800
601,,806,60106,,2400
602,,806,60113,,3200
603,,806,60120,,3000
604,,806,60127,,1200
605,,806,60134,,1800
606,,806,60141,,2000
607,,806,60072,,1352
608,,806,60079,,728
609,,806,60086,,1352
610,,806,60093,,1456
611,,806,60100,,936
612,,806,60107,,1248
613,,806,60114,,1664
614,,806,60121,,1560
615,,806,60128,,624
616,,806,60135,,936
617,,806,60142,,1040
618,,806,60073,,1456
619,,806,60080,,784
620,,806,60087,,1456
621,,806,60094,,1568
622,,806,60101,,1008
623,,806,60108,,1344
624,,806,60115,,1792
625,,806,60122,,1680
626,,806,60129,,672
627,,806,60136,,1008
628,,806,60143,,1120
629,,806,60074,,260
630,,806,60081,,140
631,,806,60088,,260
632,,806,60095,,280
633,,806,60102,,180
634,,806,60109,,240
635,,806,60116,,320
636,,806,60123,,300
637,,806,60130,,120
638,,806,60137,,180
639,,806,60144,,200
640,,806,60075,,260
641,,806,60082,,140
642,,806,60089,,260
643,,806,60096,,280
644,,806,60103,,180
645,,806,60110,,240
646,,806,60117,,320
647,,806,60124,,300
648,,806,60131,,120
649,,806,60138,,180
650,,806,60145,,200
651,,806,60076,,52
652,,806,60083,,28
653,,806,60090,,52
654,,806,60097,,56
655,,806,60104,,36
656,,806,60111,,48
657,,806,60118,,64
658,,806,60125,,60
659,,806,60132,,24
660,,806,60139,,36
661,,806,60146,,40
662,,806,60077,,26
663,,806,60084,,14
664,,806,60091,,26
665,,806,60098,,28
666,,806,60105,,18
667,,806,60112,,24
668,,806,60119,,32
669,,806,60126,,30
670,,806,60133,,12
671,,806,60140,,18
672,,806,60147,,20
673,,807,60001,,3000
674,,807,60008,,1900
675,,807,60015,,2400
676,,807,60022,,1800
677,,807,60029,,1500
678,,807,60036,,2300
679,,807,60043,,2200
680,,807,60050,,1100
681,,807,60057,,2300
682,,807,60064,,1600
683,,807,60002,,1568
684,,807,60009,,993
685,,807,60016,,1254
686,,807,60023,,940
687,,807,60030,,784
688,,807,60037,,1202
689,,807,60044,,1150
690,,807,60051,,575
691,,807,60058,,1202
692,,807,60065,,836
693,,807,60003,,1636
694,,807,60010,,1036
695,,807,60017,,1308
696,,807,60024,,980
697,,807,60031,,818
698,,807,60038,,1254
699,,807,60045,,1200
700,,807,60052,,600
701,,807,60059,,1254
702,,807,60066,,872
703,,807,60004,,374
704,,807,60011,,237
705,,807,60018,,299
706,,807,60025,,224
707,,807,60032,,187
708,,807,60039,,287
709,,807,60046,,275
710,,807,60053,,137
711,,807,60060,,287
712,,807,60067,,199
713,,807,60005,,136
714,,807,60012,,86
715,,807,60019,,108
716,,807,60026,,81
717,,807,60033,,68
718,,807,60040,,104
719,,807,60047,,100
720,,807,60054,,49
721,,807,60061,,104
722,,807,60068,,72
723,,807,60006,,102
724,,807,60013,,64
725,,807,60020,,81
726,,807,60027,,60
727,,807,60034,,51
728,,807,60041,,78
729,,807,60048,,75
730,,807,60055,,36
731,,807,60062,,78
732,,807,60069,,54
733,,807,60007,,34
734,,807,60014,,21
735,,807,60021,,27
736,,807,60028,,20
737,,807,60035,,17
738,,807,60042,,26
739,,807,60049,,25
740,,807,60056,,12
741,,807,60063,,26
742,,807,60070,,18
743,,807,60071,,2000
744,,807,60078,,2000
745,,807,60085,,1800
746,,807,60092,,1800
747,,807,60099,,1800
748,,807,60106,,2400
749,,807,60113,,1600
750,,807,60120,,1800
751,,807,60127,,2000
752,,807,60134,,1000
753,,807,60141,,2200
754,,807,60072,,1400
755,,807,60079,,1400
756,,807,60086,,1260
757,,807,60093,,1260
758,,807,60100,,1260
759,,807,60107,,1680
760,,807,60114,,1120
761,,807,60121,,1260
762,,807,60128,,1400
763,,807,60135,,700
764,,807,60142,,1540
765,,807,60073,,1050
766,,807,60080,,1050
767,,807,60087,,945
768,,807,60094,,945
769,,807,60101,,945
770,,807,60108,,1260
771,,807,60115,,840
772,,807,60122,,945
773,,807,60129,,1050
774,,807,60136,,525
775,,807,60143,,1155
776,,807,60074,,350
777,,807,60081,,350
778,,807,60088,,315
779,,807,60095,,315
780,,807,60102,,315
781,,807,60109,,420
782,,807,60116,,280
783,,807,60123,,315
784,,807,60130,,350
785,,807,60137,,175
786,,807,60144,,385
787,,807,60075,,250
788,,807,60082,,250
789,,807,60089,,225
790,,807,60096,,225
791,,807,60103,,225
792,,807,60110,,300
793,,807,60117,,200
794,,807,60124,,225
795,,807,60131,,250
796,,807,60138,,125
797,,807,60145,,275
798,,807,60076,,50
799,,807,60083,,50
800,,807,60090,,45
801,,807,60097,,45
802,,807,60104,,45
803,,807,60111,,60
804,,807,60118,,40
805,,807,60125,,45
806,,807,60132,,50
807,,807,60139,,25
808,,807,60146,,55
809,,807,60077,,25
810,,807,60084,,25
811,,807,60091,,22
812,,807,60098,,22
813,,807,60105,,22
814,,807,60112,,30
815,,807,60119,,20
816,,807,60126,,22
817,,807,60133,,25
818,,807,60140,,12
819,,807,60147,,27
820,,808,60001,,12000
821,,808,60008,,4000
822,,808,60015,,12000
823,,808,60022,,15000
824,,808,60029,,9000
825,,808,60036,,15000
826,,808,60043,,15000
827,,808,60050,,9000
828,,808,60057,,9000
829,,808,60064,,9000
830,,808,60002,,7531
831,,808,60009,,2510
832,,808,60016,,7531
833,,808,60023,,9413
834,,808,60030,,5648
835,,808,60037,,9413
836,,808,60044,,9413
837,,808,60051,,5648
838,,808,60058,,5648
839,,808,60065,,5648
840,,808,60003,,4965
841,,808,60010,,1654
842,,808,60017,,4965
843,,808,60024,,6206
844,,808,60031,,3723
845,,808,60038,,6206
846,,808,60045,,6206
847,,808,60052,,3723
848,,808,60059,,3723
849,,808,60066,,3723
850,,808,60148,,12000
851,,808,60155,,8000
852,,808,60162,,8000
853,,808,60169,,16000
854,,808,60176,,12000
855,,808,60183,,12000
856,,808,60190,,8000
857,,808,60197,,12000
858,,808,60204,,8000
859,,808,60211,,8000
860,,808,60218,,8000
861,,808,60149,,6000
862,,808,60156,,4000
863,,808,60163,,4000
864,,808,60170,,8000
865,,808,60177,,6000
866,,808,60184,,6000
867,,808,60191,,4000
868,,808,60198,,6000
869,,808,60205,,4000
870,,808,60212,,4000
871,,808,60219,,4000
872,,808,60150,,3000
873,,808,60157,,2000
874,,808,60164,,2000
875,,808,60171,,4000
876,,808,60178,,3000
877,,808,60185,,3000
878,,808,60192,,2000
879,,808,60199,,3000
880,,808,60206,,2000
881,,808,60213,,2000
882,,808,60220,,2000
883,,809,60001,,12000
884,,809,60008,,4000
885,,809,60015,,12000
886,,809,60022,,15000
887,,809,60029,,9000
888,,809,60036,,15000
889,,809,60043,,15000
890,,809,60050,,9000
891,,809,60057,,9000
892,,809,60064,,9000
893,,809,60002,,7531
894,,809,60009,,2510
895,,809,60016,,7531
896,,809,60023,,9413
897,,809,60030,,5648
898,,809,60037,,9413
899,,809,60044,,9413
900,,809,60051,,5648
901,,809,60058,,5648
902,,809,60065,,5648
903,,809,60003,,4965
904,,809,60010,,1654
905,,809,60017,,4965
906,,809,60024,,6206
907,,809,60031,,3723
908,,809,60038,,6206
909,,809,60045,,6206
910,,809,60052,,3723
911,,809,60059,,3723
912,,809,60066,,3723
913,,809,60004,,3144
914,,809,60011,,1047
915,,809,60018,,3144
916,,809,60025,,3930
917,,809,60032,,2357
918,,809,60039,,3930
919,,809,60046,,3930
920,,809,60053,,2357
921,,809,60060,,2357
922,,809,60067,,2357
923,,809,60148,,12000
924,,809,60155,,8000
925,,809,60162,,8000
926,,809,60169,,16000
927,,809,60176,,12000
928,,809,60183,,12000
929,,809,60190,,8000
930,,809,60197,,12000
931,,809,60204,,8000
932,,809,60211,,8000
933,,809,60218,,8000
934,,809,60149,,6000
935,,809,60156,,4000
936,,809,60163,,4000
937,,809,60170,,8000
938,,809,60177,,6000
939,,809,60184,,6000
940,,809,60191,,4000
941,,809,60198,,6000
942,,809,60205,,4000
943,,809,60212,,4000
944,,809,60219,,4000
945,,809,60150,,3000
946,,809,60157,,2000
947,,809,60164,,2000
948,,809,60171,,4000
949,,809,60178,,3000
950,,809,60185,,3000
951,,809,60192,,2000
952,,809,60199,,3000
953,,809,60206,,2000
954,,809,60213,,2000
955,,809,60220,,2000
956,,809,60151,,1500
957,,809,60158,,1000
958,,809,60165,,1000
959,,809,60172,,2000
960,,809,60179,,1500
961,,809,60186,,1500
962,,809,60193,,1000
963,,809,60200,,1500
964,,809,60207,,1000
965,,809,60214,,1000
966,,809,60221,,1000
967,,810,60001,,12000
968,,810,60008,,4000
969,,810,60015,,12000
970,,810,60022,,15000
971,,810,60029,,9000
972,,810,60036,,15000
973,,810,60043,,15000
974,,810,60050,,9000
975,,810,60057,,9000
976,,810,60064,,9000
977,,810,60002,,7531
978,,810,60009,,2510
979,,810,60016,,7531
980,,810,60023,,9413
981,,810,60030,,5648
982,,810,60037,,9413
983,,810,60044,,9413
984,,810,60051,,5648
985,,810,60058,,5648
986,,810,60065,,5648
987,,810,60003,,4965
988,,810,60010,,1654
989,,810,60017,,4965
990,,810,60024,,6206
991,,810,60031,,3723
992,,810,60038,,6206
993,,810,60045,,6206
994,,810,60052,,3723
995,,810,60059,,3723
996,,810,60066,,3723
997,,810,60004,,3144
998,,810,60011,,1047
999,,810,60018,,3144
1000,,810,60025,,3930
1001,,810,60032,,2357
1002,,810,60039,,3930
1003,,810,60046,,3930
1004,,810,60053,,2357
1005,,810,60060,,2357
1006,,810,60067,,2357
1007,,810,60005,,2068
1008,,810,60012,,688
1009,,810,60019,,2068
1010,,810,60026,,2585
1011,,810,60033,,1550
1012,,810,60040,,2585
1013,,810,60047,,2585
1014,,810,60054,,1550
1015,,810,60061,,1550
1016,,810,60068,,1550
1017,,810,60148,,12000
1018,,810,60155,,8000
1019,,810,60162,,8000
1020,,810,60169,,16000
1021,,810,60176,,12000
1022,,810,60183,,12000
1023,,810,60190,,8000
1024,,810,60197,,12000
1025,,810,60204,,8000
1026,,810,60211,,8000
1027,,810,60218,,8000
1028,,810,60149,,6000
1029,,810,60156,,4000
1030,,810,60163,,4000
1031,,810,60170,,8000
1032,,810,60177,,6000
1033,,810,60184,,6000
1034,,810,60191,,4000
1035,,810,60198,,6000
1036,,810,60205,,4000
1037,,810,60212,,4000
1038,,810,60219,,4000
1039,,810,60150,,3000
1040,,810,60157,,2000
1041,,810,60164,,2000
1042,,810,60171,,4000
1043,,810,60178,,3000
1044,,810,60185,,3000
1045,,810,60192,,2000
1046,,810,60199,,3000
1047,,810,60206,,2000
1048,,810,60213,,2000
1049,,810,60220,,2000
1050,,810,60151,,1500
1051,,810,60158,,1000
1052,,810,60165,,1000
1053,,810,60172,,2000
1054,,810,60179,,1500
1055,,810,60186,,1500
1056,,810,60193,,1000
1057,,810,60200,,1500
1058,,810,60207,,1000
1059,,810,60214,,1000
1060,,810,60221,,1000
1061,,810,60152,,750
1062,,810,60159,,500
1063,,810,60166,,500
1064,,810,60173,,1000
1065,,810,60180,,750
1066,,810,60187,,750
1067,,810,60194,,500
1068,,810,60201,,750
1069,,810,60208,,500
1070,,810,60215,,500
1071,,810,60222,,500
1072,,811,60001,,12000
1073,,811,60008,,4000
1074,,811,60015,,12000
1075,,811,60022,,15000
1076,,811,60029,,9000
1077,,811,60036,,15000
1078,,811,60043,,15000
1079,,811,60050,,9000
1080,,811,60057,,9000
1081,,811,60064,,9000
1082,,811,60002,,7531
1083,,811,60009,,2510
1084,,811,60016,,7531
1085,,811,60023,,9413
1086,,811,60030,,5648
1087,,811,60037,,9413
1088,,811,60044,,9413
1089,,811,60051,,5648
1090,,811,60058,,5648
1091,,811,60065,,5648
1092,,811,60003,,4965
1093,,811,60010,,1654
1094,,811,60017,,4965
1095,,811,60024,,6206
1096,,811,60031,,3723
1097,,811,60038,,6206
1098,,811,60045,,6206
1099,,811,60052,,3723
1100,,811,60059,,3723
1101,,811,60066,,3723
1102,,811,60004,,3144
1103,,811,60011,,1047
1104,,811,60018,,3144
1105,,811,60025,,3930
1106,,811,60032,,2357
1107,,811,60039,,3930
1108,,811,60046,,3930
1109,,811,60053,,2357
1110,,811,60060,,2357
1111,,811,60067,,2357
1112,,811,60005,,2068
1113,,811,60012,,688
1114,,811,60019,,2068
1115,,811,60026,,2585
1116,,811,60033,,1550
1117,,811,60040,,2585
1118,,811,60047,,2585
1119,,811,60054,,1550
1120,,811,60061,,1550
1121,,811,60068,,1550
1122,,811,60006,,90
1123,,811,60013,,90
1124,,811,60020,,90
1125,,811,60027,,90
1126,,811,60034,,90
1127,,811,60041,,90
1128,,811,60048,,90
1129,,811,60055,,90
1130,,811,60062,,90
1131,,811,60069,,90
1132,,811,60148,,12000
1133,,811,60155,,8000
1134,,811,60162,,8000
1135,,811,60169,,16000
1136,,811,60176,,12000
1137,,811,60183,,12000
1138,,811,60190,,8000
1139,,811,60197,,12000
1140,,811,60204,,8000
1141,,811,60211,,8000
1142,,811,60218,,8000
1143,,811,60149,,6000
1144,,811,60156,,4000
1145,,811,60163,,4000
1146,,811,60170,,8000
1147,,811,60177,,6000
1148,,811,60184,,6000
1149,,811,60191,,4000
1150,,811,60198,,6000
1151,,811,60205,,4000
1152,,811,60212,,4000
1153,,811,60219,,4000
1154,,811,60150,,3000
1155,,811,60157,,2000
1156,,811,60164,,2000
1157,,811,60171,,4000
1158,,811,60178,,3000
1159,,811,60185,,3000
1160,,811,60192,,2000
1161,,811,60199,,3000
1162,,811,60206,,2000
1163,,811,60213,,2000
1164,,811,60220,,2000
1165,,811,60151,,1500
1166,,811,60158,,1000
1167,,811,60165,,1000
1168,,811,60172,,2000
1169,,811,60179,,1500
1170,,811,60186,,1500
1171,,811,60193,,1000
1172,,811,60200,,1500
