名字,宠物ID,宠物名,锁定技能需要扣什么货币,洗练物品ID,物品数量,高级洗练物品ID,物品数量,最多多少个技能,初始的技能列表,洗练星级1级时洗出来的库,2级洗练库,3级洗练库,4级洗练库,5级洗练库,6级洗练库,7级洗练库
PetSkill,20040,青龙,3,60005,1,60006,1,5,"60043,60218,60183,60190,60204,",808,809,810,811,812,813,814
PetSkill,20041,白虎,3,60005,1,60006,1,5,"60043,60155,60183,60211,60176,",801,802,803,804,805,806,807
PetSkill,20042,玄武,3,60005,1,60006,1,6,"60162,60155,60176,60211,60029,60022,",808,809,810,811,812,813,814
PetSkill,20043,猪八戒,3,60005,1,60006,1,6,"60148,60155,60064,60176,60162,60029,",801,802,803,804,805,806,807
PetSkill,20044,虎力大仙,3,60005,1,60006,1,6,"60008,60211,60218,60043,60197,60148,",801,802,803,804,805,806,807
PetSkill,20045,鲲鹏,3,60005,1,60006,1,6,"60148,60176,60050,60015,60169,60155,",801,802,803,804,805,806,807
PetSkill,20046,奎木狼,3,60005,1,60006,1,6,"60015,60036,60218,60155,60190,60204,",801,802,803,804,805,806,807
PetSkill,20047,鹿力大仙,3,60005,1,60006,1,6,"60099,60197,60064,60015,60183,60176,",801,802,803,804,805,806,807
PetSkill,20048,申公豹,3,60005,1,60006,1,6,"60141,60085,60008,60008,60043,60043,",801,802,803,804,805,806,807
PetSkill,20049,琵琶精,3,60005,1,60006,1,6,"60218,60162,60204,60029,60001,60057,",808,809,810,811,812,813,814
PetSkill,20050,天神,3,60005,1,60006,1,6,"60141,60085,60008,60008,60043,60043,",801,802,803,804,805,806,807
PetSkill,20051,吕洞宾,3,60005,1,60006,1,6,"60141,60085,60008,60008,60043,60043,",801,802,803,804,805,806,807
PetSkill,20052,嫦娥,3,60005,1,60006,1,6,"60218,60162,60204,60029,60001,60057,",808,809,810,811,812,813,814
PetSkill,20053,三太子,3,60005,1,60006,1,6,"60141,60085,60008,60008,60043,60043,",801,802,803,804,805,806,807
PetSkill,20054,斗战胜佛,3,60005,1,60006,1,6,"60218,60162,60204,60029,60001,60057,",808,809,810,811,812,813,814
PetSkill,20055,太上老君,3,60005,1,60006,1,6,"60141,60085,60008,60008,60043,60043,",801,802,803,804,805,806,807
PetSkill,20056,九尾狐,3,60005,1,60006,1,3,"60092,60029,60057,",801,802,803,804,805,806,807
PetSkill,20057,变异神将,3,60005,1,60006,1,5,"60176,60183,60029,60029,60029,",808,809,810,811,812,813,814
PetSkill,20058,象神,3,60005,1,60006,1,6,"60141,60085,60127,60050,60043,60008,",801,802,803,804,805,806,807
PetSkill,20059,变异趴趴熊,3,60005,1,60006,1,4,"60092,60050,60036,60029,",801,802,803,804,805,806,807
PetSkill,20060,变异广目天王,3,60005,1,60006,1,3,"60092,60043,60064,",801,802,803,804,805,806,807
PetSkill,20061,变异武士,3,60005,1,60006,1,4,"60071,60078,60001,60043,60050,",801,802,803,804,805,806,807
PetSkill,20062,灵狐,3,60005,1,60006,1,4,"60120,60043,60036,60043,",801,802,803,804,805,806,807
PetSkill,20063,人鱼王,3,60005,1,60006,1,4,"60092,60036,60015,60099,",801,802,803,804,805,806,807
PetSkill,20064,强盗王,3,60005,1,60006,1,5,"60078,60099,60064,60064,60057,",801,802,803,804,805,806,807
PetSkill,20065,火烈鸟,3,60005,1,60006,1,4,"60169,60015,60050,60204,",808,809,810,811,812,813,814
PetSkill,20066,飞天猫,3,60005,1,60006,1,5,"60148,60155,60001,60043,60022,",808,809,810,811,812,813,814
PetSkill,20067,风魔王,3,60005,1,60006,1,5,"60071,60078,60029,60015,60050,",801,802,803,804,805,806,807
PetSkill,20068,地狱魔犬,3,60005,1,60006,1,6,"60148,60155,60043,60057,60043,60218,",808,809,810,811,812,813,814
PetSkill,20069,神兵小将,3,60005,1,60006,1,4,"60120,60043,60043,60001,",801,802,803,804,805,806,807
PetSkill,20070,水神,3,60005,1,60006,1,4,"60120,60043,60036,60001,",801,802,803,804,805,806,807
PetSkill,20071,神君,3,60005,1,60006,1,5,"60148,60155,60015,60057,60015,",808,809,810,811,812,813,814
PetSkill,20072,变异冰龙,3,60005,1,60006,1,6,"60078,60099,60022,60022,60057,60057,",801,802,803,804,805,806,807
PetSkill,20073,珞珈山大王,3,60005,1,60006,1,3,"60092,60036,60015,",801,802,803,804,805,806,807
PetSkill,20074,变异巨灵神,3,60005,1,60006,1,5,"60169,60050,60036,60029,60029,",808,809,810,811,812,813,814
