玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
qianghua,192,,,,1,954795600,8854
qianghua,193,,,,1,1006263700,9017
qianghua,194,,,,1,1060506100,9183
qianghua,195,,,,1,1117672300,9353
qianghua,196,,,,1,1177919900,9526
qianghua,197,,,,1,1241415000,9702
qianghua,198,,,,1,1308332700,9881
qianghua,199,,,,1,1378857400,10064
qianghua,200,,,,1,,10250
jinglian,1,,60001,1,,,16
jinglian,2,,60001,2,,,32
jinglian,3,,60001,3,,,48
jinglian,4,,60001,5,,,66
jinglian,5,,60001,6,,,84
jinglian,6,,60001,8,,,102
jinglian,7,,60001,10,,,120
jinglian,8,,60001,12,,,138
jinglian,9,,60001,14,,,156
jinglian,10,,60001,17,,,174
jinglian,11,,60001,20,,,192
jinglian,12,,60001,23,,,210
jinglian,13,,60001,27,,,228
jinglian,14,,60001,31,,,246
jinglian,15,,60001,35,,,266
jinglian,16,,60001,40,,,286
jinglian,17,,60001,46,,,306
jinglian,18,,60001,52,,,326
jinglian,19,,60001,59,,,346
jinglian,20,,60001,67,,,366
jinglian,21,,60001,76,,,386
jinglian,22,,60001,86,,,406
jinglian,23,,60001,96,,,426
jinglian,24,,60001,107,,,448
jinglian,25,,60001,120,,,470
jinglian,26,,60001,134,,,492
jinglian,27,,60001,150,,,514
jinglian,28,,60001,167,,,536
jinglian,29,,60001,186,,,558
jinglian,30,,60001,207,,,580
jinglian,31,,60001,230,,,602
jinglian,32,,60001,255,,,626
jinglian,33,,60001,282,,,650
jinglian,34,,60001,313,,,674
jinglian,35,,60001,347,,,698
jinglian,36,,60001,383,,,722
jinglian,37,,60001,423,,,746
jinglian,38,,60001,467,,,770
jinglian,39,,60001,515,,,796
jinglian,40,,60001,567,,,822
jinglian,41,,60001,624,,,848
jinglian,42,,60001,686,,,874
jinglian,43,,60001,753,,,900
jinglian,44,,60001,827,,,926
jinglian,45,,60001,906,,,954
jinglian,46,,60001,993,,,982
jinglian,47,,60001,1081,,,1010
jinglian,48,,60001,1178,,,1038
jinglian,49,,60001,1285,,,1066
jinglian,50,,60001,1402,,,1096
jinglian,51,,60001,1530,,,1126
jinglian,52,,60001,1669,,,1156
jinglian,53,,60001,1821,,,1186
jinglian,54,,60001,1986,,,1216
jinglian,55,,60001,2165,,,1248
jinglian,56,,60001,2359,,,1280
jinglian,57,,60001,2569,,,1312
jinglian,58,,60001,2796,,,1344
jinglian,59,,60001,3041,,,1378
jinglian,60,,60001,3305,,,1412
jinglian,61,,60001,3589,,,1446
jinglian,62,,60001,3893,,,1480
jinglian,63,,60001,4219,,,1516
jinglian,64,,60001,4569,,,1552
jinglian,65,,60001,4943,,,1588
jinglian,66,,60001,5342,,,1624
jinglian,67,,60001,5768,,,1662
jinglian,68,,60001,6222,,,1700
jinglian,69,,60001,6705,,,1738
jinglian,70,,60001,7218,,,1776
jinglian,71,,60001,7763,,,1816
jinglian,72,,60001,8340,,,1856
jinglian,73,,60001,8952,,,1896
jinglian,74,,60001,9599,,,1938
jinglian,75,,60001,10283,,,1980
jinglian,76,,60001,11006,,,2022
jinglian,77,,60001,11769,,,2066
jinglian,78,,60001,12573,,,2110
jinglian,79,,60001,13420,,,2154
jinglian,80,,60001,14311,,,2200
jinglian,81,,60001,15249,,,2246
jinglian,82,,60001,16234,,,2292
jinglian,83,,60001,17268,,,2340
jinglian,84,,60001,18353,,,2388
jinglian,85,,60001,19491,,,2436
jinglian,86,,60001,20683,,,2486
jinglian,87,,60001,21931,,,2536
jinglian,88,,60001,23237,,,2588
jinglian,89,,60001,24602,,,2640
jinglian,90,,60001,26028,,,2692
jinglian,91,,60001,27518,,,2746
jinglian,92,,60001,29072,,,2800
jinglian,93,,60001,30693,,,2856
jinglian,94,,60001,32383,,,2912
jinglian,95,,60001,34144,,,2970
jinglian,96,,60001,35978,,,3028
jinglian,97,,60001,37886,,,3088
jinglian,98,,60001,39871,,,3148
jinglian,99,,60001,41935,,,3210
jinglian,100,,60001,44080,,,3272
jinglian,101,,60001,46308,,,3336
jinglian,102,,60001,48621,,,3400
jinglian,103,,60001,51021,,,3466
jinglian,104,,60001,53510,,,3532
jinglian,105,,60001,56091,,,3600
jinglian,106,,60001,58766,,,3668
jinglian,107,,60001,61537,,,3738
jinglian,108,,60001,64406,,,3810
jinglian,109,,60001,67376,,,3882
jinglian,110,,60001,70449,,,3956
jinglian,111,,60001,73628,,,4030
jinglian,112,,60001,76914,,,4106
jinglian,113,,60001,80311,,,4184
jinglian,114,,60001,83820,,,4262
jinglian,115,,60001,87445,,,4342
jinglian,116,,60001,91187,,,4424
jinglian,117,,60001,95050,,,4508
jinglian,118,,60001,99035,,,4592
jinglian,119,,60001,103146,,,4678
jinglian,120,,60001,107385,,,4766
jinglian,121,,60001,111755,,,4854
jinglian,122,,60001,116258,,,4944
jinglian,123,,60001,120897,,,5036
jinglian,124,,60001,125675,,,5130
jinglian,125,,60001,130594,,,5226
jinglian,126,,60001,135657,,,5324
jinglian,127,,60001,140868,,,5422
jinglian,128,,60001,146228,,,5522
jinglian,129,,60001,151741,,,5624
jinglian,130,,60001,157410,,,5728
jinglian,131,,60001,163238,,,5834
jinglian,132,,60001,169227,,,5942
jinglian,133,,60001,175381,,,6052
jinglian,134,,60001,181702,,,6164
jinglian,135,,60001,188194,,,6278
jinglian,136,,60001,194859,,,6394
jinglian,137,,60001,201701,,,6512
jinglian,138,,60001,208722,,,6632
jinglian,139,,60001,215926,,,6754
jinglian,140,,60001,223316,,,6878
jinglian,141,,60001,230896,,,7004
jinglian,142,,60001,238668,,,7132
jinglian,143,,60001,246636,,,7262
jinglian,144,,60001,254802,,,7396
jinglian,145,,60001,263171,,,7532
jinglian,146,,60001,271745,,,7670
jinglian,147,,60001,280528,,,7810
jinglian,148,,60001,289523,,,7954
jinglian,149,,60001,298734,,,8100
jinglian,150,,60001,308164,,,8248
jinglian,151,,60001,317817,,,8400
jinglian,152,,60001,327695,,,8554
jinglian,153,,60001,337803,,,8710
jinglian,154,,60001,348144,,,8870
jinglian,155,,60001,358722,,,9032
jinglian,156,,60001,369540,,,9198
jinglian,157,,60001,380602,,,9366
jinglian,158,,60001,391911,,,9538
jinglian,159,,60001,403471,,,9712
jinglian,160,,60001,415286,,,9890
jinglian,161,,60001,427360,,,10072
jinglian,162,,60001,439696,,,10256
jinglian,163,,60001,452298,,,10444
jinglian,164,,60001,465170,,,10636
jinglian,165,,60001,478315,,,10830
jinglian,166,,60001,491738,,,11028
jinglian,167,,60001,505442,,,11230
jinglian,168,,60001,519432,,,11436
jinglian,169,,60001,533711,,,11646
jinglian,170,,60001,548283,,,11860
jinglian,171,,60001,563153,,,12078
jinglian,172,,60001,578324,,,12300
jinglian,173,,60001,593800,,,12526
jinglian,174,,60001,609585,,,12756
jinglian,175,,60001,625684,,,12990
jinglian,176,,60001,642101,,,13228
jinglian,177,,60001,658839,,,13470
jinglian,178,,60001,675903,,,13718
jinglian,179,,60001,693297,,,13970
jinglian,180,,60001,711026,,,14226
jinglian,181,,60001,729094,,,14488
jinglian,182,,60001,747504,,,14754
jinglian,183,,60001,766262,,,15026
jinglian,184,,60001,785371,,,15302
jinglian,185,,60001,804836,,,15584
jinglian,186,,60001,824662,,,15870
jinglian,187,,60001,844852,,,16162
jinglian,188,,60001,865412,,,16460
jinglian,189,,60001,886345,,,16764
jinglian,190,,60001,907657,,,17074
jinglian,191,,60001,929352,,,17388
jinglian,192,,60001,951434,,,17708
jinglian,193,,60001,973908,,,18034
jinglian,194,,60001,996778,,,18366
jinglian,195,,60001,1020049,,,18706
jinglian,196,,60001,1043726,,,19052
jinglian,197,,60001,1067814,,,19404
jinglian,198,,60001,1092317,,,19762
jinglian,199,,60001,1117240,,,20128
jinglian,200,,60001,1142588,,,20500
duanlian,1,,60002,2,,,20
duanlian,2,,60002,3,,,40
duanlian,3,,60002,4,,,60
duanlian,4,,60002,5,,,83
duanlian,5,,60002,7,,,105
duanlian,6,,60002,9,,,128
duanlian,7,,60002,11,,,150
duanlian,8,,60002,13,,,173
duanlian,9,,60002,15,,,195
duanlian,10,,60002,17,,,218
duanlian,11,,60002,20,,,240
duanlian,12,,60002,22,,,263
duanlian,13,,60002,25,,,285
duanlian,14,,60002,29,,,308
duanlian,15,,60002,32,,,333
duanlian,16,,60002,35,,,358
duanlian,17,,60002,39,,,383
duanlian,18,,60002,43,,,408
duanlian,19,,60002,48,,,433
duanlian,20,,60002,53,,,458
duanlian,21,,60002,58,,,483
duanlian,22,,60002,63,,,508
duanlian,23,,60002,69,,,533
duanlian,24,,60002,75,,,560
duanlian,25,,60002,81,,,588
duanlian,26,,60002,88,,,615
duanlian,27,,60002,96,,,643
duanlian,28,,60002,104,,,670
duanlian,29,,60002,112,,,698
duanlian,30,,60002,121,,,725
duanlian,31,,60002,130,,,753
duanlian,32,,60002,140,,,783
duanlian,33,,60002,150,,,813
duanlian,34,,60002,160,,,843
duanlian,35,,60002,170,,,873
duanlian,36,,60002,180,,,903
duanlian,37,,60002,190,,,933
duanlian,38,,60002,200,,,963
duanlian,39,,60002,210,,,995
duanlian,40,,60002,220,,,1028
duanlian,41,,60002,230,,,1060
duanlian,42,,60002,281,,,1093
duanlian,43,,60002,299,,,1125
duanlian,44,,60002,319,,,1158
duanlian,45,,60002,340,,,1193
duanlian,46,,60002,362,,,1228
duanlian,47,,60002,386,,,1263
duanlian,48,,60002,410,,,1298
duanlian,49,,60002,434,,,1333
duanlian,50,,60002,458,,,1370
duanlian,51,,60002,482,,,1408
duanlian,52,,60002,521,,,1445
duanlian,53,,60002,553,,,1483
duanlian,54,,60002,586,,,1520
duanlian,55,,60002,620,,,1560
duanlian,56,,60002,656,,,1600
duanlian,57,,60002,694,,,1640
duanlian,58,,60002,734,,,1680
duanlian,59,,60002,775,,,1723
duanlian,60,,60002,819,,,1765
duanlian,61,,60002,864,,,1808
duanlian,62,,60002,911,,,1850
duanlian,63,,60002,961,,,1895
duanlian,64,,60002,1012,,,1940
duanlian,65,,60002,1066,,,1985
duanlian,66,,60002,1122,,,2030
duanlian,67,,60002,1180,,,2078
duanlian,68,,60002,1240,,,2125
duanlian,69,,60002,1303,,,2173
duanlian,70,,60002,1369,,,2220
duanlian,71,,60002,1437,,,2270
duanlian,72,,60002,1507,,,2320
duanlian,73,,60002,1581,,,2370
duanlian,74,,60002,1657,,,2423
duanlian,75,,60002,1735,,,2475
duanlian,76,,60002,1817,,,2528
duanlian,77,,60002,1901,,,2583
duanlian,78,,60002,1988,,,2638
duanlian,79,,60002,2078,,,2693
duanlian,80,,60002,2171,,,2750
duanlian,81,,60002,2267,,,2808
duanlian,82,,60002,2366,,,2865
duanlian,83,,60002,2468,,,2925
duanlian,84,,60002,2573,,,2985
duanlian,85,,60002,2682,,,3045
duanlian,86,,60002,2793,,,3108
duanlian,87,,60002,2908,,,3170
duanlian,88,,60002,3025,,,3235
duanlian,89,,60002,3146,,,3300
duanlian,90,,60002,3270,,,3365
duanlian,91,,60002,3398,,,3433
duanlian,92,,60002,3528,,,3500
duanlian,93,,60002,3662,,,3570
duanlian,94,,60002,3798,,,3640
duanlian,95,,60002,3938,,,3713
duanlian,96,,60002,4081,,,3785
duanlian,97,,60002,4227,,,3860
duanlian,98,,60002,4376,,,3935
duanlian,99,,60002,4528,,,4013
duanlian,100,,60002,4683,,,4090
duanlian,101,,60002,4840,,,4170
duanlian,102,,60002,5001,,,4250
duanlian,103,,60002,5164,,,4333
duanlian,104,,60002,5330,,,4415
duanlian,105,,60002,5498,,,4500
duanlian,106,,60002,5669,,,4585
duanlian,107,,60002,5842,,,4673
duanlian,108,,60002,6018,,,4763
duanlian,109,,60002,6195,,,4853
duanlian,110,,60002,6375,,,4945
duanlian,111,,60002,6557,,,5038
duanlian,112,,60002,6739,,,5133
duanlian,113,,60002,6925,,,5230
duanlian,114,,60002,7112,,,5328
duanlian,115,,60002,7300,,,5428
duanlian,116,,60002,7489,,,5530
duanlian,117,,60002,7679,,,5635
duanlian,118,,60002,7870,,,5740
duanlian,119,,60002,8062,,,5848
duanlian,120,,60002,8254,,,5958
duanlian,121,,60002,8447,,,6068
duanlian,122,,60002,8640,,,6180
duanlian,123,,60002,8833,,,6295
duanlian,124,,60002,9025,,,6413
duanlian,125,,60002,9218,,,6533
duanlian,126,,60002,9409,,,6655
duanlian,127,,60002,9600,,,6778
duanlian,128,,60002,9791,,,6903
duanlian,129,,60002,9982,,,7030
duanlian,130,,60002,10173,,,7160
duanlian,131,,60002,10351,,,7293
duanlian,132,,60002,10529,,,7428
duanlian,133,,60002,10707,,,7565
duanlian,134,,60002,10885,,,7705
duanlian,135,,60002,11063,,,7848
duanlian,136,,60002,11241,,,7993
duanlian,137,,60002,11419,,,8140
duanlian,138,,60002,11597,,,8290
duanlian,139,,60002,11775,,,8443
duanlian,140,,60002,11953,,,8598
duanlian,141,,60002,12131,,,8755
duanlian,142,,60002,12309,,,8915
duanlian,143,,60002,12487,,,9078
duanlian,144,,60002,12665,,,9245
duanlian,145,,60002,12843,,,9415
duanlian,146,,60002,13021,,,9588
duanlian,147,,60002,13199,,,9763
duanlian,148,,60002,13377,,,9943
duanlian,149,,60002,13555,,,10125
duanlian,150,,60002,13733,,,10310
duanlian,151,,60002,13911,,,10500
duanlian,152,,60002,14089,,,10693
duanlian,153,,60002,14267,,,10888
duanlian,154,,60002,14445,,,11088
duanlian,155,,60002,14623,,,11290
duanlian,156,,60002,14801,,,11498
duanlian,157,,60002,14979,,,11708
duanlian,158,,60002,15157,,,11923
duanlian,159,,60002,15335,,,12140
duanlian,160,,60002,15513,,,12363
duanlian,161,,60002,15691,,,12590
duanlian,162,,60002,15869,,,12820
duanlian,163,,60002,16047,,,13055
duanlian,164,,60002,16225,,,13295
duanlian,165,,60002,16403,,,13538
duanlian,166,,60002,16581,,,13785
duanlian,167,,60002,16759,,,14038
duanlian,168,,60002,16937,,,14295
duanlian,169,,60002,17115,,,14558
duanlian,170,,60002,17293,,,14825
duanlian,171,,60002,17471,,,15098
duanlian,172,,60002,17649,,,15375
duanlian,173,,60002,17827,,,15658
duanlian,174,,60002,18005,,,15945
duanlian,175,,60002,18183,,,16238
duanlian,176,,60002,18361,,,16535
duanlian,177,,60002,18539,,,16838
duanlian,178,,60002,18717,,,17148
duanlian,179,,60002,18895,,,17463
duanlian,180,,60002,19073,,,17783
duanlian,181,,60002,19251,,,18110
duanlian,182,,60002,19429,,,18443
duanlian,183,,60002,19607,,,18783
duanlian,184,,60002,19785,,,19128
duanlian,185,,60002,19963,,,19480
duanlian,186,,60002,20141,,,19838
duanlian,187,,60002,20319,,,20203
duanlian,188,,60002,20497,,,20575
duanlian,189,,60002,20675,,,20955
duanlian,190,,60002,20853,,,21343
duanlian,191,,60002,21031,,,21735
duanlian,192,,60002,21209,,,22135
duanlian,193,,60002,21387,,,22543
duanlian,194,,60002,21565,,,22958
duanlian,195,,60002,21743,,,23383
duanlian,196,,60002,21921,,,23815
duanlian,197,,60002,22099,,,24255
duanlian,198,,60002,22277,,,24703
duanlian,199,,60002,22455,,,25160
duanlian,200,,60002,,,,25625
baoshi,1,,60003,5,,,35
baoshi,2,,60003,5,,,70
baoshi,3,,60003,10,,,106
baoshi,4,,60003,10,,,143
baoshi,5,,60003,10,,,180
baoshi,6,,60003,15,,,218
baoshi,7,,60003,15,,,257
baoshi,8,,60003,15,,,296
baoshi,9,,60003,15,,,336
baoshi,10,,60003,15,,,376
baoshi,11,,60003,20,,,417
baoshi,12,,60003,20,,,459
baoshi,13,,60003,20,,,501
baoshi,14,,60003,20,,,544
baoshi,15,,60003,20,,,588
baoshi,16,,60003,25,,,633
baoshi,17,,60003,25,,,678
baoshi,18,,60003,25,,,724
baoshi,19,,60003,25,,,771
baoshi,20,,60003,25,,,819
baoshi,21,,60003,30,,,867
baoshi,22,,60003,30,,,916
baoshi,23,,60003,30,,,966
baoshi,24,,60003,30,,,1017
baoshi,25,,60003,30,,,1069
baoshi,26,,60003,35,,,1121
baoshi,27,,60003,35,,,1174
baoshi,28,,60003,35,,,1228
baoshi,29,,60003,35,,,1283
baoshi,30,,60003,35,,,1339
baoshi,31,,60003,40,,,1396
baoshi,32,,60003,40,,,1454
baoshi,33,,60003,40,,,1513
baoshi,34,,60003,40,,,1573
baoshi,35,,60003,40,,,1634
baoshi,36,,60003,45,,,1696
baoshi,37,,60003,45,,,1759
baoshi,38,,60003,45,,,1823
baoshi,39,,60003,45,,,1888
baoshi,40,,60003,45,,,1954
baoshi,41,,60003,50,,,2021
baoshi,42,,60003,50,,,2089
baoshi,43,,60003,50,,,2158
baoshi,44,,60003,50,,,2228
baoshi,45,,60003,50,,,2299
baoshi,46,,60003,55,,,2371
baoshi,47,,60003,55,,,2445
baoshi,48,,60003,55,,,2520
baoshi,49,,60003,55,,,2596
baoshi,50,,60003,55,,,2673
baoshi,51,,60003,60,,,2752
baoshi,52,,60003,60,,,2832
baoshi,53,,60003,60,,,2913
baoshi,54,,60003,60,,,2995
baoshi,55,,60003,60,,,3079
baoshi,56,,60003,65,,,3164
baoshi,57,,60003,65,,,3251
baoshi,58,,60003,65,,,3339
baoshi,59,,60003,65,,,3428
baoshi,60,,60003,65,,,3519
baoshi,61,,60003,70,,,3611
baoshi,62,,60003,70,,,3705
baoshi,63,,60003,70,,,3800
baoshi,64,,60003,70,,,3897
baoshi,65,,60003,70,,,3996
baoshi,66,,60003,75,,,4096
baoshi,67,,60003,75,,,4198
baoshi,68,,60003,75,,,4301
baoshi,69,,60003,75,,,4406
baoshi,70,,60003,75,,,4513
baoshi,71,,60003,80,,,4622
baoshi,72,,60003,80,,,4732
baoshi,73,,60003,80,,,4844
baoshi,74,,60003,80,,,4958
baoshi,75,,60003,80,,,5074
baoshi,76,,60003,85,,,5192
baoshi,77,,60003,85,,,5312
baoshi,78,,60003,85,,,5434
baoshi,79,,60003,85,,,5558
baoshi,80,,60003,85,,,5684
baoshi,81,,60003,90,,,5812
baoshi,82,,60003,90,,,5942
baoshi,83,,60003,90,,,6074
baoshi,84,,60003,90,,,6208
baoshi,85,,60003,90,,,6344
baoshi,86,,60003,95,,,6483
baoshi,87,,60003,95,,,6624
baoshi,88,,60003,95,,,6767
baoshi,89,,60003,95,,,6912
baoshi,90,,60003,95,,,7060
baoshi,91,,60003,100,,,7210
baoshi,92,,60003,100,,,7363
baoshi,93,,60003,100,,,7518
baoshi,94,,60003,100,,,7676
baoshi,95,,60003,100,,,7836
baoshi,96,,60003,105,,,7999
baoshi,97,,60003,105,,,8165
baoshi,98,,60003,105,,,8333
baoshi,99,,60003,105,,,8504
baoshi,100,,60003,105,,,8678
baoshi,101,,60003,110,,,8855
baoshi,102,,60003,110,,,9035
baoshi,103,,60003,110,,,9217
baoshi,104,,60003,110,,,9402
baoshi,105,,60003,110,,,9590
baoshi,106,,60003,115,,,9782
baoshi,107,,60003,115,,,9977
baoshi,108,,60003,115,,,10175
baoshi,109,,60003,115,,,10376
baoshi,110,,60003,115,,,10580
baoshi,111,,60003,120,,,10788
baoshi,112,,60003,120,,,10999
baoshi,113,,60003,120,,,11214
baoshi,114,,60003,120,,,11432
baoshi,115,,60003,120,,,11654
baoshi,116,,60003,125,,,11879
baoshi,117,,60003,125,,,12108
baoshi,118,,60003,125,,,12341
baoshi,119,,60003,125,,,12577
baoshi,120,,60003,125,,,12817
baoshi,121,,60003,130,,,13061
baoshi,122,,60003,130,,,13309
baoshi,123,,60003,130,,,13561
baoshi,124,,60003,130,,,13817
baoshi,125,,60003,130,,,14078
baoshi,126,,60003,135,,,14343
baoshi,127,,60003,135,,,14612
baoshi,128,,60003,135,,,14886
baoshi,129,,60003,135,,,15164
baoshi,130,,60003,135,,,15447
baoshi,131,,60003,140,,,15734
baoshi,132,,60003,140,,,16026
baoshi,133,,60003,140,,,16323
baoshi,134,,60003,140,,,16624
baoshi,135,,60003,140,,,16930
baoshi,136,,60003,145,,,17241
baoshi,137,,60003,145,,,17557
baoshi,138,,60003,145,,,17879
baoshi,139,,60003,145,,,18206
baoshi,140,,60003,145,,,18538
baoshi,141,,60003,150,,,18876
baoshi,142,,60003,150,,,19219
baoshi,143,,60003,150,,,19568
baoshi,144,,60003,150,,,19922
baoshi,145,,60003,150,,,20282
baoshi,146,,60003,155,,,20648
baoshi,147,,60003,155,,,21020
baoshi,148,,60003,155,,,21398
baoshi,149,,60003,155,,,21782
baoshi,150,,60003,155,,,22173
baoshi,151,,60003,160,,,22570
baoshi,152,,60003,160,,,22974
baoshi,153,,60003,160,,,23384
baoshi,154,,60003,160,,,23801
baoshi,155,,60003,160,,,24225
baoshi,156,,60003,180,,,24656
