生死劫索引,怪物entryId,说明,等级（要求）,能否组队,开启宝箱消耗,怪物列表,怪物列表,怪物列表,劫索引,劫名称,几率掉落库,几率掉落展示,宝箱奖励,宝箱奖励(掉落库),首通奖励展示,首通奖励,领取宝箱后固定物品显示,固定物品奖励,协助物品奖励,全服首通奖励
9,13001010,第2劫(4),105,1,500,"[2]=13001002,[3]=13001003,[4]=13001002,[5]=13001005,[6]=13001006,[8]=13001008,[9]=13001009,[10]=13001012,[11]=13001011,[12]=13001012","[2]=13001002,[3]=13001003,[4]=13001002,[5]=13001005,[6]=13001006,[8]=13001008,[9]=13001009,[10]=13001012,[11]=13001011,[12]=13001012","[2]=13001002,[3]=13001003,[5]=13001005,[6]=13001006,[8]=13001008,[9]=13001009,[10]=13001010,[11]=13001011,[12]=13001012",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
10,13001110,第2劫(5),105,1,500,"[2]=13001102,[3]=13001103,[4]=13001102,[5]=13001105,[6]=13001106,[8]=13001108,[9]=13001109,[10]=13001112,[11]=13001111,[12]=13001112","[2]=13001102,[3]=13001103,[4]=13001102,[5]=13001105,[6]=13001106,[8]=13001108,[9]=13001109,[10]=13001112,[11]=13001111,[12]=13001112","[2]=13001102,[3]=13001103,[5]=13001105,[6]=13001106,[8]=13001108,[9]=13001109,[10]=13001110,[11]=13001111,[12]=13001112",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
11,13001210,第2劫(6),105,1,500,"[2]=13001202,[3]=13001203,[4]=13001202,[5]=13001205,[6]=13001206,[8]=13001208,[9]=13001209,[10]=13001212,[11]=13001211,[12]=13001212","[2]=13001202,[3]=13001203,[4]=13001202,[5]=13001205,[6]=13001206,[8]=13001208,[9]=13001209,[10]=13001212,[11]=13001211,[12]=13001212","[2]=13001202,[3]=13001203,[5]=13001205,[6]=13001206,[8]=13001208,[9]=13001209,[10]=13001210,[11]=13001211,[12]=13001212",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
12,13001310,第3劫(1),105,1,500,"[2]=13001302,[3]=13001303,[4]=13001302,[5]=13001305,[6]=13001306,[8]=13001308,[9]=13001309,[10]=13001312,[11]=13001311,[12]=13001312","[2]=13001302,[3]=13001303,[4]=13001302,[5]=13001305,[6]=13001306,[8]=13001308,[9]=13001309,[10]=13001312,[11]=13001311,[12]=13001312","[2]=13001302,[3]=13001303,[5]=13001305,[6]=13001306,[8]=13001308,[9]=13001309,[10]=13001310,[11]=13001311,[12]=13001312",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
13,13001410,第3劫(2),105,1,500,"[2]=13001402,[3]=13001403,[4]=13001402,[5]=13001405,[6]=13001406,[8]=13001408,[9]=13001409,[10]=13001412,[11]=13001411,[12]=13001412","[2]=13001402,[3]=13001403,[4]=13001402,[5]=13001405,[6]=13001406,[8]=13001408,[9]=13001409,[10]=13001412,[11]=13001411,[12]=13001412","[2]=13001402,[3]=13001403,[5]=13001405,[6]=13001406,[8]=13001408,[9]=13001409,[10]=13001410,[11]=13001411,[12]=13001412",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
14,13001510,第3劫(3),105,1,500,"[2]=13001502,[3]=13001503,[4]=13001502,[5]=13001505,[6]=13001506,[8]=13001508,[9]=13001509,[10]=13001512,[11]=13001511,[12]=13001512","[2]=13001502,[3]=13001503,[4]=13001502,[5]=13001505,[6]=13001506,[8]=13001508,[9]=13001509,[10]=13001512,[11]=13001511,[12]=13001512","[2]=13001502,[3]=13001503,[5]=13001505,[6]=13001506,[8]=13001508,[9]=13001509,[10]=13001510,[11]=13001511,[12]=13001512",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
15,13001610,第3劫(4),105,1,500,"[2]=13001602,[3]=13001603,[4]=13001602,[5]=13001605,[6]=13001606,[8]=13001608,[9]=13001609,[10]=13001612,[11]=13001611,[12]=13001612","[2]=13001602,[3]=13001603,[4]=13001602,[5]=13001605,[6]=13001606,[8]=13001608,[9]=13001609,[10]=13001612,[11]=13001611,[12]=13001612","[2]=13001602,[3]=13001603,[5]=13001605,[6]=13001606,[8]=13001608,[9]=13001609,[10]=13001610,[11]=13001611,[12]=13001612",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
16,13001710,第3劫(5),105,1,500,"[2]=13001702,[3]=13001703,[4]=13001702,[5]=13001705,[6]=13001706,[8]=13001708,[9]=13001709,[10]=13001712,[11]=13001711,[12]=13001712","[2]=13001702,[3]=13001703,[4]=13001702,[5]=13001705,[6]=13001706,[8]=13001708,[9]=13001709,[10]=13001712,[11]=13001711,[12]=13001712","[2]=13001702,[3]=13001703,[5]=13001705,[6]=13001706,[8]=13001708,[9]=13001709,[10]=13001710,[11]=13001711,[12]=13001712",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
17,13001810,第3劫(6),105,1,500,"[2]=13001802,[3]=13001803,[4]=13001802,[5]=13001805,[6]=13001806,[8]=13001808,[9]=13001809,[10]=13001812,[11]=13001811,[12]=13001812","[2]=13001802,[3]=13001803,[4]=13001802,[5]=13001805,[6]=13001806,[8]=13001808,[9]=13001809,[10]=13001812,[11]=13001811,[12]=13001812","[2]=13001802,[3]=13001803,[5]=13001805,[6]=13001806,[8]=13001808,[9]=13001809,[10]=13001810,[11]=13001811,[12]=13001812",3,第三劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
18,13001910,第4劫(1),105,1,500,"[2]=13001902,[3]=13001903,[4]=13001902,[5]=13001905,[6]=13001906,[8]=13001908,[9]=13001909,[10]=13001912,[11]=13001911,[12]=13001912","[2]=13001902,[3]=13001903,[4]=13001902,[5]=13001905,[6]=13001906,[8]=13001908,[9]=13001909,[10]=13001912,[11]=13001911,[12]=13001912","[2]=13001902,[3]=13001903,[5]=13001905,[6]=13001906,[8]=13001908,[9]=13001909,[10]=13001910,[11]=13001911,[12]=13001912",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
19,13002010,第4劫(2),105,1,500,"[2]=13002002,[3]=13002003,[4]=13002002,[5]=13002005,[6]=13002006,[8]=13002008,[9]=13002009,[10]=13002012,[11]=13002011,[12]=13002012","[2]=13002002,[3]=13002003,[4]=13002002,[5]=13002005,[6]=13002006,[8]=13002008,[9]=13002009,[10]=13002012,[11]=13002011,[12]=13002012","[2]=13002002,[3]=13002003,[5]=13002005,[6]=13002006,[8]=13002008,[9]=13002009,[10]=13002010,[11]=13002011,[12]=13002012",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
20,13002110,第4劫(3),105,1,500,"[2]=13002102,[3]=13002103,[4]=13002102,[5]=13002105,[6]=13002106,[8]=13002108,[9]=13002109,[10]=13002112,[11]=13002111,[12]=13002112","[2]=13002102,[3]=13002103,[4]=13002102,[5]=13002105,[6]=13002106,[8]=13002108,[9]=13002109,[10]=13002112,[11]=13002111,[12]=13002112","[2]=13002102,[3]=13002103,[5]=13002105,[6]=13002106,[8]=13002108,[9]=13002109,[10]=13002110,[11]=13002111,[12]=13002112",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
21,13002210,第4劫(4),105,1,500,"[2]=13002202,[3]=13002203,[4]=13002202,[5]=13002205,[6]=13002206,[8]=13002208,[9]=13002209,[10]=13002212,[11]=13002211,[12]=13002212","[2]=13002202,[3]=13002203,[4]=13002202,[5]=13002205,[6]=13002206,[8]=13002208,[9]=13002209,[10]=13002212,[11]=13002211,[12]=13002212","[2]=13002202,[3]=13002203,[5]=13002205,[6]=13002206,[8]=13002208,[9]=13002209,[10]=13002210,[11]=13002211,[12]=13002212",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
22,13002310,第4劫(5),105,1,500,"[2]=13002302,[3]=13002303,[4]=13002302,[5]=13002305,[6]=13002306,[8]=13002308,[9]=13002309,[10]=13002312,[11]=13002311,[12]=13002312","[2]=13002302,[3]=13002303,[4]=13002302,[5]=13002305,[6]=13002306,[8]=13002308,[9]=13002309,[10]=13002312,[11]=13002311,[12]=13002312","[2]=13002302,[3]=13002303,[5]=13002305,[6]=13002306,[8]=13002308,[9]=13002309,[10]=13002310,[11]=13002311,[12]=13002312",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
23,13002410,第4劫(6),105,1,500,"[2]=13002402,[3]=13002403,[4]=13002402,[5]=13002405,[6]=13002406,[8]=13002408,[9]=13002409,[10]=13002412,[11]=13002411,[12]=13002412","[2]=13002402,[3]=13002403,[4]=13002402,[5]=13002405,[6]=13002406,[8]=13002408,[9]=13002409,[10]=13002412,[11]=13002411,[12]=13002412","[2]=13002402,[3]=13002403,[5]=13002405,[6]=13002406,[8]=13002408,[9]=13002409,[10]=13002410,[11]=13002411,[12]=13002412",4,第四劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
24,13002510,第5劫(1),105,1,500,"[2]=13002502,[3]=13002503,[4]=13002502,[5]=13002505,[6]=13002506,[8]=13002508,[9]=13002509,[10]=13002512,[11]=13002511,[12]=13002512","[2]=13002502,[3]=13002503,[4]=13002502,[5]=13002505,[6]=13002506,[8]=13002508,[9]=13002509,[10]=13002512,[11]=13002511,[12]=13002512","[2]=13002502,[3]=13002503,[5]=13002505,[6]=13002506,[8]=13002508,[9]=13002509,[10]=13002510,[11]=13002511,[12]=13002512",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
25,13002610,第5劫(2),105,1,500,"[2]=13002602,[3]=13002603,[4]=13002602,[5]=13002605,[6]=13002606,[8]=13002608,[9]=13002609,[10]=13002612,[11]=13002611,[12]=13002612","[2]=13002602,[3]=13002603,[4]=13002602,[5]=13002605,[6]=13002606,[8]=13002608,[9]=13002609,[10]=13002612,[11]=13002611,[12]=13002612","[2]=13002602,[3]=13002603,[5]=13002605,[6]=13002606,[8]=13002608,[9]=13002609,[10]=13002610,[11]=13002611,[12]=13002612",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
