等级索引,需要经验,奖励内容,属性
135,68,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',27262},{'demage',10904},{'hujia',2726}"
136,68,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',27559},{'demage',11023},{'hujia',2755}"
137,68,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',27856},{'demage',11142},{'hujia',2785}"
138,68,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',28154},{'demage',11261},{'hujia',2815}"
139,78,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',28453},{'demage',11381},{'hujia',2845}"
140,78,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',28752},{'demage',11501},{'hujia',2875}"
141,78,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',29065},{'demage',11626},{'hujia',2906}"
142,78,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',29378},{'demage',11751},{'hujia',2937}"
143,78,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',29691},{'demage',11876},{'hujia',2969}"
144,78,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',30005},{'demage',12002},{'hujia',3000}"
145,78,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',30320},{'demage',12128},{'hujia',3032}"
146,78,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',30635},{'demage',12254},{'hujia',3063}"
147,78,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',30950},{'demage',12380},{'hujia',3095}"
148,78,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',31266},{'demage',12506},{'hujia',3126}"
149,78,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',31583},{'demage',12633},{'hujia',3158}"
150,78,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',31900},{'demage',12760},{'hujia',3190}"
151,78,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',32217},{'demage',12887},{'hujia',3221}"
152,78,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',32535},{'demage',13014},{'hujia',3253}"
153,78,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',32854},{'demage',13141},{'hujia',3285}"
154,78,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',33173},{'demage',13269},{'hujia',3317}"
155,78,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',33492},{'demage',13397},{'hujia',3349}"
156,78,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',33812},{'demage',13524},{'hujia',3381}"
157,78,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',34132},{'demage',13653},{'hujia',3413}"
158,78,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',34453},{'demage',13781},{'hujia',3445}"
159,78,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',34775},{'demage',13910},{'hujia',3477}"
160,78,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',35097},{'demage',14038},{'hujia',3509}"
161,78,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',35419},{'demage',14167},{'hujia',3541}"
162,78,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',35742},{'demage',14297},{'hujia',3574}"
163,78,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',36066},{'demage',14426},{'hujia',3606}"
164,78,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',36390},{'demage',14556},{'hujia',3639}"
165,78,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',36714},{'demage',14685},{'hujia',3671}"
166,78,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',37039},{'demage',14815},{'hujia',3703}"
167,78,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',37365},{'demage',14946},{'hujia',3736}"
168,78,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',37691},{'demage',15076},{'hujia',3769}"
169,88,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',38017},{'demage',15207},{'hujia',3801}"
170,88,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',38344},{'demage',15337},{'hujia',3834}"
171,88,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',38714},{'demage',15485},{'hujia',3871}"
172,88,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',39084},{'demage',15633},{'hujia',3908}"
173,88,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',39454},{'demage',15781},{'hujia',3945}"
174,88,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',39825},{'demage',15930},{'hujia',3982}"
175,88,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',40197},{'demage',16079},{'hujia',4019}"
176,88,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',40569},{'demage',16227},{'hujia',4056}"
177,88,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',40942},{'demage',16377},{'hujia',4094}"
178,88,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',41316},{'demage',16526},{'hujia',4131}"
179,88,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',41690},{'demage',16676},{'hujia',4169}"
180,88,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',41867},{'demage',16746},{'hujia',4186}"
181,88,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',42227},{'demage',16890},{'hujia',4222}"
182,88,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',42588},{'demage',17035},{'hujia',4258}"
183,88,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',42950},{'demage',17180},{'hujia',4295}"
184,88,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',43314},{'demage',17325},{'hujia',4331}"
185,88,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',43680},{'demage',17472},{'hujia',4368}"
186,88,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',44046},{'demage',17618},{'hujia',4404}"
187,88,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',44414},{'demage',17765},{'hujia',4441}"
188,88,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',44784},{'demage',17913},{'hujia',4478}"
189,88,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',45155},{'demage',18062},{'hujia',4515}"
190,88,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',45527},{'demage',18210},{'hujia',4552}"
191,88,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',45901},{'demage',18360},{'hujia',4590}"
192,88,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',46276},{'demage',18510},{'hujia',4627}"
193,88,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',46652},{'demage',18660},{'hujia',4665}"
194,88,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',47030},{'demage',18812},{'hujia',4703}"
195,88,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',47410},{'demage',18964},{'hujia',4741}"
196,88,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',47790},{'demage',19116},{'hujia',4779}"
197,88,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',48172},{'demage',19268},{'hujia',4817}"
198,88,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',48556},{'demage',19422},{'hujia',4855}"
199,100,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',48941},{'demage',19576},{'hujia',4894}"
200,100,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',49327},{'demage',19730},{'hujia',4932}"
201,100,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',49715},{'demage',19886},{'hujia',4971}"
202,100,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',50104},{'demage',20041},{'hujia',5010}"
203,100,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',50494},{'demage',20197},{'hujia',5049}"
204,100,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',50886},{'demage',20354},{'hujia',5088}"
205,100,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',51280},{'demage',20512},{'hujia',5128}"
206,100,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',51674},{'demage',20669},{'hujia',5167}"
207,100,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',52070},{'demage',20828},{'hujia',5207}"
208,100,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',52468},{'demage',20987},{'hujia',5246}"
209,100,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',52867},{'demage',21146},{'hujia',5286}"
210,100,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',53267},{'demage',21306},{'hujia',5326}"
211,100,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',53669},{'demage',21467},{'hujia',5366}"
212,100,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',54072},{'demage',21628},{'hujia',5407}"
213,100,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',54476},{'demage',21790},{'hujia',5447}"
214,100,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',54882},{'demage',21952},{'hujia',5488}"
