皇城天塔索引,怪物entryId,等级（要求）,能否组队,怪物列表,通关奖励,关卡序号,关卡名称,奖励预览
42,50000001,0,0,"[2]=9003209,[3]=9003209,[4]=9003209,[5]=9003209,[6]=9003209,[8]=9003209,[9]=9003209,[10]=9003210,[11]=9003209,[12]=9003209","{""exp"",9800000},{""funds"",19250}",32,第32关,"{""exp"",9800000},{""funds"",19250}"
43,9003310,0,0,"[2]=9003309,[3]=9003309,[4]=9003309,[5]=9003309,[6]=9003309,[8]=9003309,[9]=9003309,[10]=9003310,[11]=9003309,[12]=9003309","{""exp"",10000000},{""item"",60019,12}",33,第33关,"{""exp"",10000000},{""item"",60019,12}"
44,9003410,0,0,"[2]=9003409,[3]=9003409,[4]=9003409,[5]=9003409,[6]=9003409,[8]=9003409,[9]=9003409,[10]=9003410,[11]=9003409,[12]=9003409","{""exp"",10300000},{""funds"",8900}",34,第34关,"{""exp"",10300000},{""funds"",8900}"
45,9003510,0,0,"[2]=9003509,[3]=9003509,[4]=9003509,[5]=9003509,[6]=9003509,[8]=9003509,[9]=9003509,[10]=9003510,[11]=9003509,[12]=9003509","{""exp"",10600000},{""funds"",22250}",35,第35关,"{""exp"",10600000},{""funds"",22250}"
46,9003610,0,0,"[2]=9003609,[3]=9003609,[4]=9003609,[5]=9003609,[6]=9003609,[8]=9003609,[9]=9003609,[10]=9003610,[11]=9003609,[12]=9003609","{""exp"",10800000},{""item"",60019,12}",36,第36关,"{""exp"",10800000},{""item"",60019,12}"
47,9003710,0,0,"[2]=9003709,[3]=9003709,[4]=9003709,[5]=9003709,[6]=9003709,[8]=9003709,[9]=9003709,[10]=9003710,[11]=9003709,[12]=9003709","{""exp"",11100000},{""funds"",10200}",37,第37关,"{""exp"",11100000},{""funds"",10200}"
48,9003810,0,0,"[2]=9003809,[3]=9003809,[4]=9003809,[5]=9003809,[6]=9003809,[8]=9003809,[9]=9003809,[10]=9003810,[11]=9003809,[12]=9003809","{""exp"",11400000},{""funds"",25500}",38,第38关,"{""exp"",11400000},{""funds"",25500}"
49,9003910,0,0,"[2]=9003909,[3]=9003909,[4]=9003909,[5]=9003909,[6]=9003909,[8]=9003909,[9]=9003909,[10]=9003910,[11]=9003909,[12]=9003909","{""exp"",11600000},{""item"",60019,12}",39,第39关,"{""exp"",11600000},{""item"",60019,12}"
50,9004010,0,0,"[2]=9004009,[3]=9004009,[4]=9004009,[5]=9004009,[6]=9004009,[8]=9004009,[9]=9004009,[10]=9004010,[11]=9004009,[12]=9004009","{""exp"",11900000},{""funds"",11600}",40,第40关,"{""exp"",11900000},{""funds"",11600}"
51,9004110,0,0,"[2]=9004109,[3]=9004109,[4]=9004109,[5]=9004109,[6]=9004109,[8]=9004109,[9]=9004109,[10]=9004110,[11]=9004109,[12]=9004109","{""exp"",12200000},{""funds"",29000}",41,第41关,"{""exp"",12200000},{""funds"",29000}"
52,9004210,0,0,"[2]=9004209,[3]=9004209,[4]=9004209,[5]=9004209,[6]=9004209,[8]=9004209,[9]=9004209,[10]=9004210,[11]=9004209,[12]=9004209","{""exp"",12400000},{""item"",60019,12}",42,第42关,"{""exp"",12400000},{""item"",60019,12}"
53,9004310,0,0,"[2]=9004309,[3]=9004309,[4]=9004309,[5]=9004309,[6]=9004309,[8]=9004309,[9]=9004309,[10]=9004310,[11]=9004309,[12]=9004309","{""exp"",12700000},{""funds"",13100}",43,第43关,"{""exp"",12700000},{""funds"",13100}"
54,9004410,0,0,"[2]=9004409,[3]=9004409,[4]=9004409,[5]=9004409,[6]=9004409,[8]=9004409,[9]=9004409,[10]=9004410,[11]=9004409,[12]=9004409","{""exp"",13000000},{""funds"",32750}",44,第44关,"{""exp"",13000000},{""funds"",32750}"
55,9004510,0,0,"[2]=9004509,[3]=9004509,[4]=9004509,[5]=9004509,[6]=9004509,[8]=9004509,[9]=9004509,[10]=9004510,[11]=9004509,[12]=9004509","{""exp"",13200000},{""item"",60019,12}",45,第45关,"{""exp"",13200000},{""item"",60019,12}"
56,9004610,0,0,"[2]=9004609,[3]=9004609,[4]=9004609,[5]=9004609,[6]=9004609,[8]=9004609,[9]=9004609,[10]=9004610,[11]=9004609,[12]=9004609","{""exp"",13500000},{""funds"",14700}",46,第46关,"{""exp"",13500000},{""funds"",14700}"
57,9004710,0,0,"[2]=9004709,[3]=9004709,[4]=9004709,[5]=9004709,[6]=9004709,[8]=9004709,[9]=9004709,[10]=9004710,[11]=9004709,[12]=9004709","{""exp"",13800000},{""funds"",36750}",47,第47关,"{""exp"",13800000},{""funds"",36750}"
58,9004810,0,0,"[2]=9004809,[3]=9004809,[4]=9004809,[5]=9004809,[6]=9004809,[8]=9004809,[9]=9004809,[10]=9004810,[11]=9004809,[12]=9004809","{""exp"",14000000},{""item"",60019,12}",48,第48关,"{""exp"",14000000},{""item"",60019,12}"
59,9004910,0,0,"[2]=9004909,[3]=9004909,[4]=9004909,[5]=9004909,[6]=9004909,[8]=9004909,[9]=9004909,[10]=9004910,[11]=9004909,[12]=9004909","{""exp"",14300000},{""funds"",16400}",49,第49关,"{""exp"",14300000},{""funds"",16400}"
60,50000006,0,0,"[2]=9005009,[3]=9005009,[4]=9005009,[5]=9005009,[6]=9005009,[8]=9005009,[9]=9005009,[10]=9005010,[11]=9005009,[12]=9005009","{""exp"",14600000},{""funds"",41000}",50,第50关,"{""exp"",14600000},{""funds"",41000}"
61,9005110,0,0,"[2]=9005109,[3]=9005109,[4]=9005109,[5]=9005109,[6]=9005109,[8]=9005109,[9]=9005109,[10]=9005110,[11]=9005109,[12]=9005109","{""exp"",14800000},{""item"",60019,18}",51,第51关,"{""exp"",14800000},{""item"",60019,18}"
62,9005210,0,0,"[2]=9005209,[3]=9005209,[4]=9005209,[5]=9005209,[6]=9005209,[8]=9005209,[9]=9005209,[10]=9005210,[11]=9005209,[12]=9005209","{""exp"",15100000},{""funds"",18200}",52,第52关,"{""exp"",15100000},{""funds"",18200}"
63,50000001,0,0,"[2]=9005309,[3]=9005309,[4]=9005309,[5]=9005309,[6]=9005309,[8]=9005309,[9]=9005309,[10]=9005310,[11]=9005309,[12]=9005309","{""exp"",15400000},{""funds"",45500}",53,第53关,"{""exp"",15400000},{""funds"",45500}"
64,9005410,0,0,"[2]=9005409,[3]=9005409,[4]=9005409,[5]=9005409,[6]=9005409,[8]=9005409,[9]=9005409,[10]=9005410,[11]=9005409,[12]=9005409","{""exp"",15600000},{""item"",60019,18}",54,第54关,"{""exp"",15600000},{""item"",60019,18}"
65,9005510,0,0,"[2]=9005509,[3]=9005509,[4]=9005509,[5]=9005509,[6]=9005509,[8]=9005509,[9]=9005509,[10]=9005510,[11]=9005509,[12]=9005509","{""exp"",15900000},{""funds"",20100}",55,第55关,"{""exp"",15900000},{""funds"",20100}"
66,9005610,0,0,"[2]=9005609,[3]=9005609,[4]=9005609,[5]=9005609,[6]=9005609,[8]=9005609,[9]=9005609,[10]=9005610,[11]=9005609,[12]=9005609","{""exp"",16200000},{""funds"",50250}",56,第56关,"{""exp"",16200000},{""funds"",50250}"
67,9005710,0,0,"[2]=9005709,[3]=9005709,[4]=9005709,[5]=9005709,[6]=9005709,[8]=9005709,[9]=9005709,[10]=9005710,[11]=9005709,[12]=9005709","{""exp"",16400000},{""item"",60019,18}",57,第57关,"{""exp"",16400000},{""item"",60019,18}"
68,9005810,0,0,"[2]=9005809,[3]=9005809,[4]=9005809,[5]=9005809,[6]=9005809,[8]=9005809,[9]=9005809,[10]=9005810,[11]=9005809,[12]=9005809","{""exp"",16700000},{""funds"",22100}",58,第58关,"{""exp"",16700000},{""funds"",22100}"
69,9005910,0,0,"[2]=9005909,[3]=9005909,[4]=9005909,[5]=9005909,[6]=9005909,[8]=9005909,[9]=9005909,[10]=9005910,[11]=9005909,[12]=9005909","{""exp"",17000000},{""funds"",55250}",59,第59关,"{""exp"",17000000},{""funds"",55250}"
70,9006010,0,0,"[2]=9006009,[3]=9006009,[4]=9006009,[5]=9006009,[6]=9006009,[8]=9006009,[9]=9006009,[10]=9006010,[11]=9006009,[12]=9006009","{""exp"",17200000},{""item"",60019,18}",60,第60关,"{""exp"",17200000},{""item"",60019,18}"
71,50000005,0,0,"[2]=9006109,[3]=9006109,[4]=9006109,[5]=9006109,[6]=9006109,[8]=9006109,[9]=9006109,[10]=9006110,[11]=9006109,[12]=9006109","{""exp"",17500000},{""funds"",24200}",61,第61关,"{""exp"",17500000},{""funds"",24200}"
72,9006210,0,0,"[2]=9006209,[3]=9006209,[4]=9006209,[5]=9006209,[6]=9006209,[8]=9006209,[9]=9006209,[10]=9006210,[11]=9006209,[12]=9006209","{""exp"",17800000},{""funds"",60500}",62,第62关,"{""exp"",17800000},{""funds"",60500}"
73,50000003,0,0,"[2]=9006309,[3]=9006309,[4]=9006309,[5]=9006309,[6]=9006309,[8]=9006309,[9]=9006309,[10]=9006310,[11]=9006309,[12]=9006309","{""exp"",18000000},{""item"",60019,18}",63,第63关,"{""exp"",18000000},{""item"",60019,18}"
74,9006410,0,0,"[2]=9006409,[3]=9006409,[4]=9006409,[5]=9006409,[6]=9006409,[8]=9006409,[9]=9006409,[10]=9006410,[11]=9006409,[12]=9006409","{""exp"",18300000},{""funds"",26400}",64,第64关,"{""exp"",18300000},{""funds"",26400}"
75,9006510,0,0,"[2]=9006509,[3]=9006509,[4]=9006509,[5]=9006509,[6]=9006509,[8]=9006509,[9]=9006509,[10]=9006510,[11]=9006509,[12]=9006509","{""exp"",18600000},{""funds"",66000}",65,第65关,"{""exp"",18600000},{""funds"",66000}"
76,9006610,0,0,"[2]=9006609,[3]=9006609,[4]=9006609,[5]=9006609,[6]=9006609,[8]=9006609,[9]=9006609,[10]=9006610,[11]=9006609,[12]=9006609","{""exp"",18800000},{""item"",60019,18}",66,第66关,"{""exp"",18800000},{""item"",60019,18}"
77,9006710,0,0,"[2]=9006709,[3]=9006709,[4]=9006709,[5]=9006709,[6]=9006709,[8]=9006709,[9]=9006709,[10]=9006710,[11]=9006709,[12]=9006709","{""exp"",19100000},{""funds"",28700}",67,第67关,"{""exp"",19100000},{""funds"",28700}"
78,9006810,0,0,"[2]=9006809,[3]=9006809,[4]=9006809,[5]=9006809,[6]=9006809,[8]=9006809,[9]=9006809,[10]=9006810,[11]=9006809,[12]=9006809","{""exp"",19400000},{""funds"",71750}",68,第68关,"{""exp"",19400000},{""funds"",71750}"
79,9006910,0,0,"[2]=9006909,[3]=9006909,[4]=9006909,[5]=9006909,[6]=9006909,[8]=9006909,[9]=9006909,[10]=9006910,[11]=9006909,[12]=9006909","{""exp"",19600000},{""item"",60019,18}",69,第69关,"{""exp"",19600000},{""item"",60019,18}"
80,50000001,0,0,"[2]=9007009,[3]=9007009,[4]=9007009,[5]=9007009,[6]=9007009,[8]=9007009,[9]=9007009,[10]=9007010,[11]=9007009,[12]=9007009","{""exp"",19900000},{""funds"",31100}",70,第70关,"{""exp"",19900000},{""funds"",31100}"
81,9007110,0,0,"[2]=9007109,[3]=9007109,[4]=9007109,[5]=9007109,[6]=9007109,[8]=9007109,[9]=9007109,[10]=9007110,[11]=9007109,[12]=9007109","{""exp"",20200000},{""funds"",77750}",71,第71关,"{""exp"",20200000},{""funds"",77750}"
82,9007210,0,0,"[2]=9007209,[3]=9007209,[4]=9007209,[5]=9007209,[6]=9007209,[8]=9007209,[9]=9007209,[10]=9007210,[11]=9007209,[12]=9007209","{""exp"",20400000},{""item"",60019,18}",72,第72关,"{""exp"",20400000},{""item"",60019,18}"
83,9007310,0,0,"[2]=9007309,[3]=9007309,[4]=9007309,[5]=9007309,[6]=9007309,[8]=9007309,[9]=9007309,[10]=9007310,[11]=9007309,[12]=9007309","{""exp"",20700000},{""funds"",33600}",73,第73关,"{""exp"",20700000},{""funds"",33600}"
84,9007410,0,0,"[2]=9007409,[3]=9007409,[4]=9007409,[5]=9007409,[6]=9007409,[8]=9007409,[9]=9007409,[10]=9007410,[11]=9007409,[12]=9007409","{""exp"",21000000},{""funds"",84000}",74,第74关,"{""exp"",21000000},{""funds"",84000}"
85,9007510,0,0,"[2]=9007509,[3]=9007509,[4]=9007509,[5]=9007509,[6]=9007509,[8]=9007509,[9]=9007509,[10]=9007510,[11]=9007509,[12]=9007509","{""exp"",21200000},{""item"",60019,24}",75,第75关,"{""exp"",21200000},{""item"",60019,24}"
86,50000004,0,0,"[2]=9007609,[3]=9007609,[4]=9007609,[5]=9007609,[6]=9007609,[8]=9007609,[9]=9007609,[10]=9007610,[11]=9007609,[12]=9007609","{""exp"",21500000},{""funds"",36200}",76,第76关,"{""exp"",21500000},{""funds"",36200}"
87,9007710,0,0,"[2]=9007709,[3]=9007709,[4]=9007709,[5]=9007709,[6]=9007709,[8]=9007709,[9]=9007709,[10]=9007710,[11]=9007709,[12]=9007709","{""exp"",21800000},{""funds"",90500}",77,第77关,"{""exp"",21800000},{""funds"",90500}"
88,9007810,0,0,"[2]=9007809,[3]=9007809,[4]=9007809,[5]=9007809,[6]=9007809,[8]=9007809,[9]=9007809,[10]=9007810,[11]=9007809,[12]=9007809","{""exp"",22000000},{""item"",60019,24}",78,第78关,"{""exp"",22000000},{""item"",60019,24}"
89,9007910,0,0,"[2]=9007909,[3]=9007909,[4]=9007909,[5]=9007909,[6]=9007909,[8]=9007909,[9]=9007909,[10]=9007910,[11]=9007909,[12]=9007909","{""exp"",22300000},{""funds"",38900}",79,第79关,"{""exp"",22300000},{""funds"",38900}"
90,9008010,0,0,"[2]=9008009,[3]=9008009,[4]=9008009,[5]=9008009,[6]=9008009,[8]=9008009,[9]=9008009,[10]=9008010,[11]=9008009,[12]=9008009","{""exp"",22600000},{""funds"",97250}",80,第80关,"{""exp"",22600000},{""funds"",97250}"
91,9008110,0,0,"[2]=9008109,[3]=9008109,[4]=9008109,[5]=9008109,[6]=9008109,[8]=9008109,[9]=9008109,[10]=9008110,[11]=9008109,[12]=9008109","{""exp"",22800000},{""item"",60019,24}",81,第81关,"{""exp"",22800000},{""item"",60019,24}"
92,50000001,0,0,"[2]=9008209,[3]=9008209,[4]=9008209,[5]=9008209,[6]=9008209,[8]=9008209,[9]=9008209,[10]=9008210,[11]=9008209,[12]=9008209","{""exp"",23100000},{""funds"",41700}",82,第82关,"{""exp"",23100000},{""funds"",41700}"
93,9008310,0,0,"[2]=9008309,[3]=9008309,[4]=9008309,[5]=9008309,[6]=9008309,[8]=9008309,[9]=9008309,[10]=9008310,[11]=9008309,[12]=9008309","{""exp"",23400000},{""funds"",104250}",83,第83关,"{""exp"",23400000},{""funds"",104250}"
94,9008410,0,0,"[2]=9008409,[3]=9008409,[4]=9008409,[5]=9008409,[6]=9008409,[8]=9008409,[9]=9008409,[10]=9008410,[11]=9008409,[12]=9008409","{""exp"",23600000},{""item"",60019,24}",84,第84关,"{""exp"",23600000},{""item"",60019,24}"
95,9008510,0,0,"[2]=9008509,[3]=9008509,[4]=9008509,[5]=9008509,[6]=9008509,[8]=9008509,[9]=9008509,[10]=9008510,[11]=9008509,[12]=9008509","{""exp"",23900000},{""funds"",44600}",85,第85关,"{""exp"",23900000},{""funds"",44600}"
96,9008610,0,0,"[2]=9008609,[3]=9008609,[4]=9008609,[5]=9008609,[6]=9008609,[8]=9008609,[9]=9008609,[10]=9008610,[11]=9008609,[12]=9008609","{""exp"",24200000},{""funds"",111500}",86,第86关,"{""exp"",24200000},{""funds"",111500}"
97,9008710,0,0,"[2]=9008709,[3]=9008709,[4]=9008709,[5]=9008709,[6]=9008709,[8]=9008709,[9]=9008709,[10]=9008710,[11]=9008709,[12]=9008709","{""exp"",24400000},{""item"",60019,24}",87,第87关,"{""exp"",24400000},{""item"",60019,24}"
98,9008810,0,0,"[2]=9008809,[3]=9008809,[4]=9008809,[5]=9008809,[6]=9008809,[8]=9008809,[9]=9008809,[10]=9008810,[11]=9008809,[12]=9008809","{""exp"",24700000},{""funds"",47600}",88,第88关,"{""exp"",24700000},{""funds"",47600}"
99,9008910,0,0,"[2]=9008909,[3]=9008909,[4]=9008909,[5]=9008909,[6]=9008909,[8]=9008909,[9]=9008909,[10]=9008910,[11]=9008909,[12]=9008909","{""exp"",25000000},{""funds"",119000}",89,第89关,"{""exp"",25000000},{""funds"",119000}"
100,9009010,0,0,"[2]=9009009,[3]=9009009,[4]=9009009,[5]=9009009,[6]=9009009,[8]=9009009,[9]=9009009,[10]=9009010,[11]=9009009,[12]=9009009","{""exp"",25200000},{""item"",60019,24}",90,第90关,"{""exp"",25200000},{""item"",60019,24}"
101,9009110,0,0,"[2]=9009109,[3]=9009109,[4]=9009109,[5]=9009109,[6]=9009109,[8]=9009109,[9]=9009109,[10]=9009110,[11]=9009109,[12]=9009109","{""exp"",25500000},{""funds"",50700}",91,第91关,"{""exp"",25500000},{""funds"",50700}"
102,9009210,0,0,"[2]=9009209,[3]=9009209,[4]=9009209,[5]=9009209,[6]=9009209,[8]=9009209,[9]=9009209,[10]=9009210,[11]=9009209,[12]=9009209","{""exp"",25800000},{""funds"",126750}",92,第92关,"{""exp"",25800000},{""funds"",126750}"
103,9009310,0,0,"[2]=9009309,[3]=9009309,[4]=9009309,[5]=9009309,[6]=9009309,[8]=9009309,[9]=9009309,[10]=9009310,[11]=9009309,[12]=9009309","{""exp"",26000000},{""item"",60019,24}",93,第93关,"{""exp"",26000000},{""item"",60019,24}"
104,9009410,0,0,"[2]=9009409,[3]=9009409,[4]=9009409,[5]=9009409,[6]=9009409,[8]=9009409,[9]=9009409,[10]=9009410,[11]=9009409,[12]=9009409","{""exp"",26300000},{""funds"",53900}",94,第94关,"{""exp"",26300000},{""funds"",53900}"
105,9009510,0,0,"[2]=9009509,[3]=9009509,[4]=9009509,[5]=9009509,[6]=9009509,[8]=9009509,[9]=9009509,[10]=9009510,[11]=9009509,[12]=9009509","{""exp"",26600000},{""funds"",134750}",95,第95关,"{""exp"",26600000},{""funds"",134750}"
106,9009610,0,0,"[2]=9009609,[3]=9009609,[4]=9009609,[5]=9009609,[6]=9009609,[8]=9009609,[9]=9009609,[10]=9009610,[11]=9009609,[12]=9009609","{""exp"",26800000},{""item"",60019,24}",96,第96关,"{""exp"",26800000},{""item"",60019,24}"
107,9009710,0,0,"[2]=9009709,[3]=9009709,[4]=9009709,[5]=9009709,[6]=9009709,[8]=9009709,[9]=9009709,[10]=9009710,[11]=9009709,[12]=9009709","{""exp"",27100000},{""funds"",57200}",97,第97关,"{""exp"",27100000},{""funds"",57200}"
108,9009810,0,0,"[2]=9009809,[3]=9009809,[4]=9009809,[5]=9009809,[6]=9009809,[8]=9009809,[9]=9009809,[10]=9009810,[11]=9009809,[12]=9009809","{""exp"",27400000},{""funds"",143000}",98,第98关,"{""exp"",27400000},{""funds"",143000}"
109,9009910,0,0,"[2]=9009909,[3]=9009909,[4]=9009909,[5]=9009909,[6]=9009909,[8]=9009909,[9]=9009909,[10]=9009910,[11]=9009909,[12]=9009909","{""exp"",27600000},{""item"",60019,36}",99,第99关,"{""exp"",27600000},{""item"",60019,36}"
