三界试炼索引,怪物entryId,怪物列表,掉落库,宝箱奖励,层级名称,层级索引,提示对白
20,2001010,"[2]=2001009,[3]=2001009,[4]=2001009,[5]=2001009,[6]=2001009,[8]=2001009,[9]=2001009,[10]=2001010,[11]=2001009,[12]=2001009","{""item"",20014,5}",,10层,10,
21,2001110,"[2]=2001109,[3]=2001109,[4]=2001109,[5]=2001109,[6]=2001109,[8]=2001109,[9]=2001109,[10]=2001110,[11]=2001109,[12]=2001109","{""item"",20014,5}",,11层,11,
22,2001210,"[2]=2001209,[3]=2001209,[4]=2001209,[5]=2001209,[6]=2001209,[8]=2001209,[9]=2001209,[10]=2001210,[11]=2001209,[12]=2001209","{""item"",20014,5}","{""funds"",40000},{""item"",20014,100}",12层,12,通关15层送#orange#br[狐狸精]
23,2001310,"[2]=2001309,[3]=2001309,[4]=2001309,[5]=2001309,[6]=2001309,[8]=2001309,[9]=2001309,[10]=2001310,[11]=2001309,[12]=2001309","{""item"",20014,5}",,13层,13,
24,2001410,"[2]=2001409,[3]=2001409,[4]=2001409,[5]=2001409,[6]=2001409,[8]=2001409,[9]=2001409,[10]=2001410,[11]=2001409,[12]=2001409","{""item"",20014,5}",,14层,14,
25,2001510,"[2]=2001509,[3]=2001509,[4]=2001509,[5]=2001509,[6]=2001509,[8]=2001509,[9]=2001509,[10]=2001510,[11]=2001509,[12]=2001509","{""item"",20014,5}","{""funds"",50000},{""item"",50016,1}",15层,15,通关15层送#orange#br[狐狸精]
26,2001610,"[2]=2001609,[3]=2001609,[4]=2001609,[5]=2001609,[6]=2001609,[8]=2001609,[9]=2001609,[10]=2001610,[11]=2001609,[12]=2001609","{""item"",20014,5}",,16层,16,
27,2001710,"[2]=2001709,[3]=2001709,[4]=2001709,[5]=2001709,[6]=2001709,[8]=2001709,[9]=2001709,[10]=2001710,[11]=2001709,[12]=2001709","{""item"",20014,5}",,17层,17,
28,2001810,"[2]=2001809,[3]=2001809,[4]=2001809,[5]=2001809,[6]=2001809,[8]=2001809,[9]=2001809,[10]=2001810,[11]=2001809,[12]=2001809","{""item"",20014,5}","{""funds"",80000},{""item"",50006,5}",18层,18,
29,2001910,"[2]=2001909,[3]=2001909,[4]=2001909,[5]=2001909,[6]=2001909,[8]=2001909,[9]=2001909,[10]=2001910,[11]=2001909,[12]=2001909","{""item"",20014,5}",,19层,19,
30,2002010,"[2]=2002009,[3]=2002009,[4]=2002009,[5]=2002009,[6]=2002009,[8]=2002009,[9]=2002009,[10]=2002010,[11]=2002009,[12]=2002009","{""item"",20014,5}",,20层,20,
31,2002110,"[2]=2002109,[3]=2002109,[4]=2002109,[5]=2002109,[6]=2002109,[8]=2002109,[9]=2002109,[10]=2002110,[11]=2002109,[12]=2002109","{""item"",20014,5}","{""funds"",110000},{""item"",50006,5}",21层,21,
32,2002210,"[2]=2002209,[3]=2002209,[4]=2002209,[5]=2002209,[6]=2002209,[8]=2002209,[9]=2002209,[10]=2002210,[11]=2002209,[12]=2002209","{""item"",20014,5}",,22层,22,
33,2002310,"[2]=2002309,[3]=2002309,[4]=2002309,[5]=2002309,[6]=2002309,[8]=2002309,[9]=2002309,[10]=2002310,[11]=2002309,[12]=2002309","{""item"",20014,5}",,23层,23,
34,2002410,"[2]=2002409,[3]=2002409,[4]=2002409,[5]=2002409,[6]=2002409,[8]=2002409,[9]=2002409,[10]=2002410,[11]=2002409,[12]=2002409","{""item"",20014,5}","{""funds"",140000},{""item"",50006,5}",24层,24,
35,2002510,"[2]=2002509,[3]=2002509,[4]=2002509,[5]=2002509,[6]=2002509,[8]=2002509,[9]=2002509,[10]=2002510,[11]=2002509,[12]=2002509","{""item"",20014,5}",,25层,25,
36,2002610,"[2]=2002609,[3]=2002609,[4]=2002609,[5]=2002609,[6]=2002609,[8]=2002609,[9]=2002609,[10]=2002610,[11]=2002609,[12]=2002609","{""item"",20014,5}",,26层,26,
37,2002710,"[2]=2002709,[3]=2002709,[4]=2002709,[5]=2002709,[6]=2002709,[8]=2002709,[9]=2002709,[10]=2002710,[11]=2002709,[12]=2002709","{""item"",20014,5}","{""funds"",170000},{""item"",50006,10}",27层,27,
38,2002810,"[2]=2002809,[3]=2002809,[4]=2002809,[5]=2002809,[6]=2002809,[8]=2002809,[9]=2002809,[10]=2002810,[11]=2002809,[12]=2002809","{""item"",20014,5}",,28层,28,
39,2002910,"[2]=2002909,[3]=2002909,[4]=2002909,[5]=2002909,[6]=2002909,[8]=2002909,[9]=2002909,[10]=2002910,[11]=2002909,[12]=2002909","{""item"",20014,5}",,29层,29,
40,2003010,"[2]=2003009,[3]=2003009,[4]=2003009,[5]=2003009,[6]=2003009,[8]=2003009,[9]=2003009,[10]=2003010,[11]=2003009,[12]=2003009","{""item"",20014,5}","{""funds"",200000},{""item"",50006,10}",30层,30,
41,2003110,"[2]=2003109,[3]=2003109,[4]=2003109,[5]=2003109,[6]=2003109,[8]=2003109,[9]=2003109,[10]=2003110,[11]=2003109,[12]=2003109","{""item"",20014,5}",,31层,31,
42,2003210,"[2]=2003209,[3]=2003209,[4]=2003209,[5]=2003209,[6]=2003209,[8]=2003209,[9]=2003209,[10]=2003210,[11]=2003209,[12]=2003209","{""item"",20014,5}",,32层,32,
43,2003310,"[2]=2003309,[3]=2003309,[4]=2003309,[5]=2003309,[6]=2003309,[8]=2003309,[9]=2003309,[10]=2003310,[11]=2003309,[12]=2003309","{""item"",20014,5}","{""funds"",300000},{""item"",50006,10}",33层,33,
44,2003410,"[2]=2003409,[3]=2003409,[4]=2003409,[5]=2003409,[6]=2003409,[8]=2003409,[9]=2003409,[10]=2003410,[11]=2003409,[12]=2003409","{""item"",20014,5}",,34层,34,
45,2003510,"[2]=2003509,[3]=2003509,[4]=2003509,[5]=2003509,[6]=2003509,[8]=2003509,[9]=2003509,[10]=2003510,[11]=2003509,[12]=2003509","{""item"",20014,5}",,35层,35,
46,2003610,"[2]=2003609,[3]=2003609,[4]=2003609,[5]=2003609,[6]=2003609,[8]=2003609,[9]=2003609,[10]=2003610,[11]=2003609,[12]=2003609","{""item"",20014,5}","{""funds"",400000},{""item"",50006,15}",36层,36,
47,2003710,"[2]=2003709,[3]=2003709,[4]=2003709,[5]=2003709,[6]=2003709,[8]=2003709,[9]=2003709,[10]=2003710,[11]=2003709,[12]=2003709","{""item"",20014,5}",,37层,37,
48,2003810,"[2]=2003809,[3]=2003809,[4]=2003809,[5]=2003809,[6]=2003809,[8]=2003809,[9]=2003809,[10]=2003810,[11]=2003809,[12]=2003809","{""item"",20014,5}",,38层,38,
49,2003910,"[2]=2003909,[3]=2003909,[4]=2003909,[5]=2003909,[6]=2003909,[8]=2003909,[9]=2003909,[10]=2003910,[11]=2003909,[12]=2003909","{""item"",20014,5}","{""funds"",500000},{""item"",50006,15}",39层,39,
50,2004010,"[2]=2004009,[3]=2004009,[4]=2004009,[5]=2004009,[6]=2004009,[8]=2004009,[9]=2004009,[10]=2004010,[11]=2004009,[12]=2004009","{""item"",20014,5}",,40层,40,
51,2004110,"[2]=2004109,[3]=2004109,[4]=2004109,[5]=2004109,[6]=2004109,[8]=2004109,[9]=2004109,[10]=2004110,[11]=2004109,[12]=2004109","{""item"",20014,5}",,41层,41,
52,2004210,"[2]=2004209,[3]=2004209,[4]=2004209,[5]=2004209,[6]=2004209,[8]=2004209,[9]=2004209,[10]=2004210,[11]=2004209,[12]=2004209","{""item"",20014,5}","{""funds"",600000},{""item"",50006,15}",42层,42,
53,2004310,"[2]=2004309,[3]=2004309,[4]=2004309,[5]=2004309,[6]=2004309,[8]=2004309,[9]=2004309,[10]=2004310,[11]=2004309,[12]=2004309","{""item"",20014,5}",,43层,43,
54,2004410,"[2]=2004409,[3]=2004409,[4]=2004409,[5]=2004409,[6]=2004409,[8]=2004409,[9]=2004409,[10]=2004410,[11]=2004409,[12]=2004409","{""item"",20014,5}",,44层,44,
55,2004510,"[2]=2004509,[3]=2004509,[4]=2004509,[5]=2004509,[6]=2004509,[8]=2004509,[9]=2004509,[10]=2004510,[11]=2004509,[12]=2004509","{""item"",20014,5}","{""funds"",700000},{""item"",60012,360}",45层,45,
56,2004610,"[2]=2004609,[3]=2004609,[4]=2004609,[5]=2004609,[6]=2004609,[8]=2004609,[9]=2004609,[10]=2004610,[11]=2004609,[12]=2004609","{""item"",20014,5}",,46层,46,
57,2004710,"[2]=2004709,[3]=2004709,[4]=2004709,[5]=2004709,[6]=2004709,[8]=2004709,[9]=2004709,[10]=2004710,[11]=2004709,[12]=2004709","{""item"",20014,5}",,47层,47,
58,2004810,"[2]=2004809,[3]=2004809,[4]=2004809,[5]=2004809,[6]=2004809,[8]=2004809,[9]=2004809,[10]=2004810,[11]=2004809,[12]=2004809","{""item"",20014,5}","{""funds"",800000},{""item"",60012,360}",48层,48,
59,2004910,"[2]=2004909,[3]=2004909,[4]=2004909,[5]=2004909,[6]=2004909,[8]=2004909,[9]=2004909,[10]=2004910,[11]=2004909,[12]=2004909","{""item"",20014,5}",,49层,49,
60,2005010,"[2]=2005009,[3]=2005009,[4]=2005009,[5]=2005009,[6]=2005009,[8]=2005009,[9]=2005009,[10]=2005010,[11]=2005009,[12]=2005009","{""item"",20014,5}",,50层,50,
61,2005110,"[2]=2005109,[3]=2005109,[4]=2005109,[5]=2005109,[6]=2005109,[8]=2005109,[9]=2005109,[10]=2005110,[11]=2005109,[12]=2005109","{""item"",20014,5}","{""funds"",900000},{""item"",60012,360}",51层,51,
62,2005210,"[2]=2005209,[3]=2005209,[4]=2005209,[5]=2005209,[6]=2005209,[8]=2005209,[9]=2005209,[10]=2005210,[11]=2005209,[12]=2005209","{""item"",20014,5}",,52层,52,
63,2005310,"[2]=2005309,[3]=2005309,[4]=2005309,[5]=2005309,[6]=2005309,[8]=2005309,[9]=2005309,[10]=2005310,[11]=2005309,[12]=2005309","{""item"",20014,5}",,53层,53,
64,2005410,"[2]=2005409,[3]=2005409,[4]=2005409,[5]=2005409,[6]=2005409,[8]=2005409,[9]=2005409,[10]=2005410,[11]=2005409,[12]=2005409","{""item"",20014,5}","{""funds"",1000000},{""item"",60012,360}",54层,54,
65,2005510,"[2]=2005509,[3]=2005509,[4]=2005509,[5]=2005509,[6]=2005509,[8]=2005509,[9]=2005509,[10]=2005510,[11]=2005509,[12]=2005509","{""item"",20014,5}",,55层,55,
66,2005610,"[2]=2005609,[3]=2005609,[4]=2005609,[5]=2005609,[6]=2005609,[8]=2005609,[9]=2005609,[10]=2005610,[11]=2005609,[12]=2005609","{""item"",20014,5}",,56层,56,
67,2005710,"[2]=2005709,[3]=2005709,[4]=2005709,[5]=2005709,[6]=2005709,[8]=2005709,[9]=2005709,[10]=2005710,[11]=2005709,[12]=2005709","{""item"",20014,5}","{""funds"",1100000},{""item"",60012,480}",57层,57,
68,2005810,"[2]=2005809,[3]=2005809,[4]=2005809,[5]=2005809,[6]=2005809,[8]=2005809,[9]=2005809,[10]=2005810,[11]=2005809,[12]=2005809","{""item"",20014,5}",,58层,58,
69,2005910,"[2]=2005909,[3]=2005909,[4]=2005909,[5]=2005909,[6]=2005909,[8]=2005909,[9]=2005909,[10]=2005910,[11]=2005909,[12]=2005909","{""item"",20014,5}",,59层,59,
70,2006010,"[2]=2006009,[3]=2006009,[4]=2006009,[5]=2006009,[6]=2006009,[8]=2006009,[9]=2006009,[10]=2006010,[11]=2006009,[12]=2006009","{""item"",20014,5}","{""funds"",1200000},{""item"",60012,480}",60层,60,
71,2006110,"[2]=2006109,[3]=2006109,[4]=2006109,[5]=2006109,[6]=2006109,[8]=2006109,[9]=2006109,[10]=2006110,[11]=2006109,[12]=2006109","{""item"",20014,5}",,61层,61,
72,2006210,"[2]=2006209,[3]=2006209,[4]=2006209,[5]=2006209,[6]=2006209,[8]=2006209,[9]=2006209,[10]=2006210,[11]=2006209,[12]=2006209","{""item"",20014,5}",,62层,62,
73,2006310,"[2]=2006309,[3]=2006309,[4]=2006309,[5]=2006309,[6]=2006309,[8]=2006309,[9]=2006309,[10]=2006310,[11]=2006309,[12]=2006309","{""item"",20014,5}",,63层,63,
74,2006410,"[2]=2006409,[3]=2006409,[4]=2006409,[5]=2006409,[6]=2006409,[8]=2006409,[9]=2006409,[10]=2006410,[11]=2006409,[12]=2006409","{""item"",20014,5}",,64层,64,
75,2006510,"[2]=2006509,[3]=2006509,[4]=2006509,[5]=2006509,[6]=2006509,[8]=2006509,[9]=2006509,[10]=2006510,[11]=2006509,[12]=2006509","{""item"",20014,5}","{""funds"",1400000},{""item"",60012,480}",65层,65,
76,2006610,"[2]=2006609,[3]=2006609,[4]=2006609,[5]=2006609,[6]=2006609,[8]=2006609,[9]=2006609,[10]=2006610,[11]=2006609,[12]=2006609","{""item"",20014,5}",,66层,66,
77,2006710,"[2]=2006709,[3]=2006709,[4]=2006709,[5]=2006709,[6]=2006709,[8]=2006709,[9]=2006709,[10]=2006710,[11]=2006709,[12]=2006709","{""item"",20014,5}",,67层,67,
78,2006810,"[2]=2006809,[3]=2006809,[4]=2006809,[5]=2006809,[6]=2006809,[8]=2006809,[9]=2006809,[10]=2006810,[11]=2006809,[12]=2006809","{""item"",20014,5}",,68层,68,
79,2006910,"[2]=2006909,[3]=2006909,[4]=2006909,[5]=2006909,[6]=2006909,[8]=2006909,[9]=2006909,[10]=2006910,[11]=2006909,[12]=2006909","{""item"",20014,5}",,69层,69,
80,2007010,"[2]=2007009,[3]=2007009,[4]=2007009,[5]=2007009,[6]=2007009,[8]=2007009,[9]=2007009,[10]=2007010,[11]=2007009,[12]=2007009","{""item"",20014,5}","{""funds"",1600000},{""item"",60012,480}",70层,70,
81,2007110,"[2]=2007109,[3]=2007109,[4]=2007109,[5]=2007109,[6]=2007109,[8]=2007109,[9]=2007109,[10]=2007110,[11]=2007109,[12]=2007109","{""item"",20014,5}",,71层,71,
82,2007210,"[2]=2007209,[3]=2007209,[4]=2007209,[5]=2007209,[6]=2007209,[8]=2007209,[9]=2007209,[10]=2007210,[11]=2007209,[12]=2007209","{""item"",20014,5}",,72层,72,
83,2007310,"[2]=2007309,[3]=2007309,[4]=2007309,[5]=2007309,[6]=2007309,[8]=2007309,[9]=2007309,[10]=2007310,[11]=2007309,[12]=2007309","{""item"",20014,5}",,73层,73,
84,2007410,"[2]=2007409,[3]=2007409,[4]=2007409,[5]=2007409,[6]=2007409,[8]=2007409,[9]=2007409,[10]=2007410,[11]=2007409,[12]=2007409","{""item"",20014,5}",,74层,74,
85,2007510,"[2]=2007509,[3]=2007509,[4]=2007509,[5]=2007509,[6]=2007509,[8]=2007509,[9]=2007509,[10]=2007510,[11]=2007509,[12]=2007509","{""item"",20014,5}","{""funds"",1800000},{""item"",60012,480}",75层,75,
86,2007610,"[2]=2007609,[3]=2007609,[4]=2007609,[5]=2007609,[6]=2007609,[8]=2007609,[9]=2007609,[10]=2007610,[11]=2007609,[12]=2007609","{""item"",20014,5}",,76层,76,
87,2007710,"[2]=2007709,[3]=2007709,[4]=2007709,[5]=2007709,[6]=2007709,[8]=2007709,[9]=2007709,[10]=2007710,[11]=2007709,[12]=2007709","{""item"",20014,5}",,77层,77,
88,2007810,"[2]=2007809,[3]=2007809,[4]=2007809,[5]=2007809,[6]=2007809,[8]=2007809,[9]=2007809,[10]=2007810,[11]=2007809,[12]=2007809","{""item"",20014,5}",,78层,78,
89,2007910,"[2]=2007909,[3]=2007909,[4]=2007909,[5]=2007909,[6]=2007909,[8]=2007909,[9]=2007909,[10]=2007910,[11]=2007909,[12]=2007909","{""item"",20014,5}",,79层,79,
90,2008010,"[2]=2008009,[3]=2008009,[4]=2008009,[5]=2008009,[6]=2008009,[8]=2008009,[9]=2008009,[10]=2008010,[11]=2008009,[12]=2008009","{""item"",20014,5}","{""funds"",2000000},{""item"",60012,480}",80层,80,
91,2008110,"[2]=2008109,[3]=2008109,[4]=2008109,[5]=2008109,[6]=2008109,[8]=2008109,[9]=2008109,[10]=2008110,[11]=2008109,[12]=2008109","{""item"",20014,5}",,81层,81,
92,2008210,"[2]=2008209,[3]=2008209,[4]=2008209,[5]=2008209,[6]=2008209,[8]=2008209,[9]=2008209,[10]=2008210,[11]=2008209,[12]=2008209","{""item"",20014,5}",,82层,82,
93,2008310,"[2]=2008309,[3]=2008309,[4]=2008309,[5]=2008309,[6]=2008309,[8]=2008309,[9]=2008309,[10]=2008310,[11]=2008309,[12]=2008309","{""item"",20014,5}",,83层,83,
94,2008410,"[2]=2008409,[3]=2008409,[4]=2008409,[5]=2008409,[6]=2008409,[8]=2008409,[9]=2008409,[10]=2008410,[11]=2008409,[12]=2008409","{""item"",20014,5}",,84层,84,
95,2008510,"[2]=2008509,[3]=2008509,[4]=2008509,[5]=2008509,[6]=2008509,[8]=2008509,[9]=2008509,[10]=2008510,[11]=2008509,[12]=2008509","{""item"",20014,5}","{""funds"",2200000},{""item"",60012,480}",85层,85,
96,2008610,"[2]=2008609,[3]=2008609,[4]=2008609,[5]=2008609,[6]=2008609,[8]=2008609,[9]=2008609,[10]=2008610,[11]=2008609,[12]=2008609","{""item"",20014,5}",,86层,86,
97,2008710,"[2]=2008709,[3]=2008709,[4]=2008709,[5]=2008709,[6]=2008709,[8]=2008709,[9]=2008709,[10]=2008710,[11]=2008709,[12]=2008709","{""item"",20014,5}",,87层,87,
98,2008810,"[2]=2008809,[3]=2008809,[4]=2008809,[5]=2008809,[6]=2008809,[8]=2008809,[9]=2008809,[10]=2008810,[11]=2008809,[12]=2008809","{""item"",20014,5}",,88层,88,
99,2008910,"[2]=2008909,[3]=2008909,[4]=2008909,[5]=2008909,[6]=2008909,[8]=2008909,[9]=2008909,[10]=2008910,[11]=2008909,[12]=2008909","{""item"",20014,5}",,89层,89,
100,2009010,"[2]=2009009,[3]=2009009,[4]=2009009,[5]=2009009,[6]=2009009,[8]=2009009,[9]=2009009,[10]=2009010,[11]=2009009,[12]=2009009","{""item"",20014,5}","{""funds"",2400000},{""item"",60012,480}",90层,90,
101,2009110,"[2]=2009109,[3]=2009109,[4]=2009109,[5]=2009109,[6]=2009109,[8]=2009109,[9]=2009109,[10]=2009110,[11]=2009109,[12]=2009109","{""item"",20014,5}",,91层,91,
102,2009210,"[2]=2009209,[3]=2009209,[4]=2009209,[5]=2009209,[6]=2009209,[8]=2009209,[9]=2009209,[10]=2009210,[11]=2009209,[12]=2009209","{""item"",20014,5}",,92层,92,
103,2009310,"[2]=2009309,[3]=2009309,[4]=2009309,[5]=2009309,[6]=2009309,[8]=2009309,[9]=2009309,[10]=2009310,[11]=2009309,[12]=2009309","{""item"",20014,5}",,93层,93,
104,2009410,"[2]=2009409,[3]=2009409,[4]=2009409,[5]=2009409,[6]=2009409,[8]=2009409,[9]=2009409,[10]=2009410,[11]=2009409,[12]=2009409","{""item"",20014,5}",,94层,94,
105,2009510,"[2]=2009509,[3]=2009509,[4]=2009509,[5]=2009509,[6]=2009509,[8]=2009509,[9]=2009509,[10]=2009510,[11]=2009509,[12]=2009509","{""item"",20014,5}","{""funds"",2600000},{""item"",60012,480}",95层,95,
106,2009610,"[2]=2009609,[3]=2009609,[4]=2009609,[5]=2009609,[6]=2009609,[8]=2009609,[9]=2009609,[10]=2009610,[11]=2009609,[12]=2009609","{""item"",20014,5}",,96层,96,
107,2009710,"[2]=2009709,[3]=2009709,[4]=2009709,[5]=2009709,[6]=2009709,[8]=2009709,[9]=2009709,[10]=2009710,[11]=2009709,[12]=2009709","{""item"",20014,5}",,97层,97,
108,2009810,"[2]=2009809,[3]=2009809,[4]=2009809,[5]=2009809,[6]=2009809,[8]=2009809,[9]=2009809,[10]=2009810,[11]=2009809,[12]=2009809","{""item"",20014,5}",,98层,98,
109,2009910,"[2]=2009909,[3]=2009909,[4]=2009909,[5]=2009909,[6]=2009909,[8]=2009909,[9]=2009909,[10]=2009910,[11]=2009909,[12]=2009909","{""item"",20014,5}",,99层,99,
110,2010010,"[2]=2010009,[3]=2010009,[4]=2010009,[5]=2010009,[6]=2010009,[8]=2010009,[9]=2010009,[10]=2010010,[11]=2010009,[12]=2010009","{""item"",20014,5}","{""funds"",2800000},{""item"",60012,480}",100层,100,
111,2010110,"[2]=2010109,[3]=2010109,[4]=2010109,[5]=2010109,[6]=2010109,[8]=2010109,[9]=2010109,[10]=2010110,[11]=2010109,[12]=2010109","{""item"",20014,5}",,101层,101,
112,2010210,"[2]=2010209,[3]=2010209,[4]=2010209,[5]=2010209,[6]=2010209,[8]=2010209,[9]=2010209,[10]=2010210,[11]=2010209,[12]=2010209","{""item"",20014,5}",,102层,102,
113,2010310,"[2]=2010309,[3]=2010309,[4]=2010309,[5]=2010309,[6]=2010309,[8]=2010309,[9]=2010309,[10]=2010310,[11]=2010309,[12]=2010309","{""item"",20014,5}",,103层,103,
114,2010410,"[2]=2010409,[3]=2010409,[4]=2010409,[5]=2010409,[6]=2010409,[8]=2010409,[9]=2010409,[10]=2010410,[11]=2010409,[12]=2010409","{""item"",20014,5}",,104层,104,
115,2010510,"[2]=2010509,[3]=2010509,[4]=2010509,[5]=2010509,[6]=2010509,[8]=2010509,[9]=2010509,[10]=2010510,[11]=2010509,[12]=2010509","{""item"",20014,5}","{""funds"",3000000},{""item"",60012,480}",105层,105,
116,2010610,"[2]=2010609,[3]=2010609,[4]=2010609,[5]=2010609,[6]=2010609,[8]=2010609,[9]=2010609,[10]=2010610,[11]=2010609,[12]=2010609","{""item"",20014,5}",,106层,106,
117,2010710,"[2]=2010709,[3]=2010709,[4]=2010709,[5]=2010709,[6]=2010709,[8]=2010709,[9]=2010709,[10]=2010710,[11]=2010709,[12]=2010709","{""item"",20014,5}",,107层,107,
118,2010810,"[2]=2010809,[3]=2010809,[4]=2010809,[5]=2010809,[6]=2010809,[8]=2010809,[9]=2010809,[10]=2010810,[11]=2010809,[12]=2010809","{""item"",20014,5}",,108层,108,
119,2010910,"[2]=2010909,[3]=2010909,[4]=2010909,[5]=2010909,[6]=2010909,[8]=2010909,[9]=2010909,[10]=2010910,[11]=2010909,[12]=2010909","{""item"",20014,5}",,109层,109,
120,2011010,"[2]=2011009,[3]=2011009,[4]=2011009,[5]=2011009,[6]=2011009,[8]=2011009,[9]=2011009,[10]=2011010,[11]=2011009,[12]=2011009","{""item"",20014,5}","{""funds"",3200000},{""item"",60012,480}",110层,110,
121,2011110,"[2]=2011109,[3]=2011109,[4]=2011109,[5]=2011109,[6]=2011109,[8]=2011109,[9]=2011109,[10]=2011110,[11]=2011109,[12]=2011109","{""item"",20014,5}",,111层,111,
122,2011210,"[2]=2011209,[3]=2011209,[4]=2011209,[5]=2011209,[6]=2011209,[8]=2011209,[9]=2011209,[10]=2011210,[11]=2011209,[12]=2011209","{""item"",20014,5}",,112层,112,
123,2011310,"[2]=2011309,[3]=2011309,[4]=2011309,[5]=2011309,[6]=2011309,[8]=2011309,[9]=2011309,[10]=2011310,[11]=2011309,[12]=2011309","{""item"",20014,5}",,113层,113,
124,2011410,"[2]=2011409,[3]=2011409,[4]=2011409,[5]=2011409,[6]=2011409,[8]=2011409,[9]=2011409,[10]=2011410,[11]=2011409,[12]=2011409","{""item"",20014,5}",,114层,114,
125,2011510,"[2]=2011509,[3]=2011509,[4]=2011509,[5]=2011509,[6]=2011509,[8]=2011509,[9]=2011509,[10]=2011510,[11]=2011509,[12]=2011509","{""item"",20014,5}","{""funds"",3400000},{""item"",60012,480}",115层,115,
126,2011610,"[2]=2011609,[3]=2011609,[4]=2011609,[5]=2011609,[6]=2011609,[8]=2011609,[9]=2011609,[10]=2011610,[11]=2011609,[12]=2011609","{""item"",20014,5}",,116层,116,
127,2011710,"[2]=2011709,[3]=2011709,[4]=2011709,[5]=2011709,[6]=2011709,[8]=2011709,[9]=2011709,[10]=2011710,[11]=2011709,[12]=2011709","{""item"",20014,5}",,117层,117,
128,2011810,"[2]=2011809,[3]=2011809,[4]=2011809,[5]=2011809,[6]=2011809,[8]=2011809,[9]=2011809,[10]=2011810,[11]=2011809,[12]=2011809","{""item"",20014,5}",,118层,118,
129,2011910,"[2]=2011909,[3]=2011909,[4]=2011909,[5]=2011909,[6]=2011909,[8]=2011909,[9]=2011909,[10]=2011910,[11]=2011909,[12]=2011909","{""item"",20014,5}",,119层,119,
130,2012010,"[2]=2012009,[3]=2012009,[4]=2012009,[5]=2012009,[6]=2012009,[8]=2012009,[9]=2012009,[10]=2012010,[11]=2012009,[12]=2012009","{""item"",20014,5}","{""funds"",3600000},{""item"",60012,480}",120层,120,
