神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,进度（关）,首通奖励预览,通关奖励预览
20,12,5001010,0,1,0,"[3]=5001009,[4]=5001009,[9]=5001009,[10]=5001010,[11]=5001009","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,10,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
21,12,5001110,0,1,0,"[3]=5001109,[4]=5001109,[9]=5001109,[10]=5001110,[11]=5001109","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,11,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
22,12,5001210,0,1,0,"[3]=5001209,[4]=5001209,[9]=5001209,[10]=5001210,[11]=5001209","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,12,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
23,13,5001310,0,1,0,"[2]=5001309,[3]=5001309,[4]=5001309,[5]=5001309,[6]=5001309,[8]=5001309,[9]=5001309,[10]=5001310,[11]=5001309,[12]=5001309","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,13,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
24,13,5001410,0,1,0,"[2]=5001409,[3]=5001409,[4]=5001409,[5]=5001409,[6]=5001409,[8]=5001409,[9]=5001409,[10]=5001410,[11]=5001409,[12]=5001409","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,14,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
25,13,5001510,0,1,0,"[2]=5001509,[3]=5001509,[4]=5001509,[5]=5001509,[6]=5001509,[8]=5001509,[9]=5001509,[10]=5001510,[11]=5001509,[12]=5001509","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,15,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
26,13,50000004,0,1,0,"[2]=5001609,[3]=5001609,[4]=5001609,[5]=5001609,[6]=5001609,[8]=5001609,[9]=5001609,[10]=5001610,[11]=5001609,[12]=5001609","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,16,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
27,13,5001710,0,1,0,"[2]=5001709,[3]=5001709,[4]=5001709,[5]=5001709,[6]=5001709,[8]=5001709,[9]=5001709,[10]=5001710,[11]=5001709,[12]=5001709","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,17,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
28,13,5001810,0,1,0,"[2]=5001809,[3]=5001809,[4]=5001809,[5]=5001809,[6]=5001809,[8]=5001809,[9]=5001809,[10]=5001810,[11]=5001809,[12]=5001809","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100},{""item"",63004,1}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图3,18,"{60056, 100},{63004, 1}","{60061,113000},{60055,37000},{20013,1}"
29,14,5001910,0,1,0,"[2]=5001909,[3]=5001909,[4]=5001909,[5]=5001909,[6]=5001909,[8]=5001909,[9]=5001909,[10]=5001910,[11]=5001909,[12]=5001909","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,19,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
30,14,5002010,0,1,0,"[2]=5002009,[3]=5002009,[4]=5002009,[5]=5002009,[6]=5002009,[8]=5002009,[9]=5002009,[10]=5002010,[11]=5002009,[12]=5002009","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,20,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
31,14,5002110,0,1,0,"[2]=5002109,[3]=5002109,[4]=5002109,[5]=5002109,[6]=5002109,[8]=5002109,[9]=5002109,[10]=5002110,[11]=5002109,[12]=5002109","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,21,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
32,14,5002210,0,1,0,"[2]=5002209,[3]=5002209,[4]=5002209,[5]=5002209,[6]=5002209,[8]=5002209,[9]=5002209,[10]=5002210,[11]=5002209,[12]=5002209","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,22,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
33,14,5002310,0,1,0,"[2]=5002309,[3]=5002309,[4]=5002309,[5]=5002309,[6]=5002309,[8]=5002309,[9]=5002309,[10]=5002310,[11]=5002309,[12]=5002309","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,23,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
34,14,5002410,0,1,0,"[2]=5002409,[3]=5002409,[4]=5002409,[5]=5002409,[6]=5002409,[8]=5002409,[9]=5002409,[10]=5002410,[11]=5002409,[12]=5002409","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图4,24,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
35,15,50000001,0,1,0,"[2]=5002509,[3]=5002509,[4]=5002509,[5]=5002509,[6]=5002509,[8]=5002509,[9]=5002509,[10]=5002510,[11]=5002509,[12]=5002509","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,25,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
36,15,5002610,0,1,0,"[2]=5002609,[3]=5002609,[4]=5002609,[5]=5002609,[6]=5002609,[8]=5002609,[9]=5002609,[10]=5002610,[11]=5002609,[12]=5002609","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,26,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
37,15,5002710,0,1,0,"[2]=5002709,[3]=5002709,[4]=5002709,[5]=5002709,[6]=5002709,[8]=5002709,[9]=5002709,[10]=5002710,[11]=5002709,[12]=5002709","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,27,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
38,15,5002810,0,1,0,"[2]=5002809,[3]=5002809,[4]=5002809,[5]=5002809,[6]=5002809,[8]=5002809,[9]=5002809,[10]=5002810,[11]=5002809,[12]=5002809","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,28,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
39,15,5002910,0,1,0,"[2]=5002909,[3]=5002909,[4]=5002909,[5]=5002909,[6]=5002909,[8]=5002909,[9]=5002909,[10]=5002910,[11]=5002909,[12]=5002909","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,29,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
40,15,5003010,0,1,0,"[2]=5003009,[3]=5003009,[4]=5003009,[5]=5003009,[6]=5003009,[8]=5003009,[9]=5003009,[10]=5003010,[11]=5003009,[12]=5003009","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图5,30,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
41,16,5003110,0,1,0,"[2]=5003109,[3]=5003109,[4]=5003109,[5]=5003109,[6]=5003109,[8]=5003109,[9]=5003109,[10]=5003110,[11]=5003109,[12]=5003109","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,31,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
42,16,5003210,0,1,0,"[2]=5003209,[3]=5003209,[4]=5003209,[5]=5003209,[6]=5003209,[8]=5003209,[9]=5003209,[10]=5003210,[11]=5003209,[12]=5003209","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,32,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
43,16,5003310,0,1,0,"[2]=5003309,[3]=5003309,[4]=5003309,[5]=5003309,[6]=5003309,[8]=5003309,[9]=5003309,[10]=5003310,[11]=5003309,[12]=5003309","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,33,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
44,16,5003410,0,1,0,"[2]=5003409,[3]=5003409,[4]=5003409,[5]=5003409,[6]=5003409,[8]=5003409,[9]=5003409,[10]=5003410,[11]=5003409,[12]=5003409","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,34,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
45,16,5003510,0,1,0,"[2]=5003509,[3]=5003509,[4]=5003509,[5]=5003509,[6]=5003509,[8]=5003509,[9]=5003509,[10]=5003510,[11]=5003509,[12]=5003509","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,35,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
46,16,5003610,0,1,0,"[2]=5003609,[3]=5003609,[4]=5003609,[5]=5003609,[6]=5003609,[8]=5003609,[9]=5003609,[10]=5003610,[11]=5003609,[12]=5003609","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100},{""item"",40010,1}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,45}}",宝藏图6,36,"{60056, 100},{40010, 1}","{60061,113000},{60055,40000},{20013,1}"
47,17,5003710,0,1,0,"[2]=5003709,[3]=5003709,[4]=5003709,[5]=5003709,[6]=5003709,[8]=5003709,[9]=5003709,[10]=5003710,[11]=5003709,[12]=5003709","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,37,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
48,17,5003810,0,1,0,"[2]=5003809,[3]=5003809,[4]=5003809,[5]=5003809,[6]=5003809,[8]=5003809,[9]=5003809,[10]=5003810,[11]=5003809,[12]=5003809","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,38,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
49,17,5003910,0,1,0,"[2]=5003909,[3]=5003909,[4]=5003909,[5]=5003909,[6]=5003909,[8]=5003909,[9]=5003909,[10]=5003910,[11]=5003909,[12]=5003909","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,39,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
50,17,5004010,0,1,0,"[2]=5004009,[3]=5004009,[4]=5004009,[5]=5004009,[6]=5004009,[8]=5004009,[9]=5004009,[10]=5004010,[11]=5004009,[12]=5004009","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,40,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
51,17,5004110,0,1,0,"[2]=5004109,[3]=5004109,[4]=5004109,[5]=5004109,[6]=5004109,[8]=5004109,[9]=5004109,[10]=5004110,[11]=5004109,[12]=5004109","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,41,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
52,17,5004210,0,1,0,"[2]=5004209,[3]=5004209,[4]=5004209,[5]=5004209,[6]=5004209,[8]=5004209,[9]=5004209,[10]=5004210,[11]=5004209,[12]=5004209","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图7,42,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
53,18,5004310,0,1,0,"[2]=5004309,[3]=5004309,[4]=5004309,[5]=5004309,[6]=5004309,[8]=5004309,[9]=5004309,[10]=5004310,[11]=5004309,[12]=5004309","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,43,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
54,18,5004410,0,1,0,"[2]=5004409,[3]=5004409,[4]=5004409,[5]=5004409,[6]=5004409,[8]=5004409,[9]=5004409,[10]=5004410,[11]=5004409,[12]=5004409","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,44,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
55,18,5004510,0,1,0,"[2]=5004509,[3]=5004509,[4]=5004509,[5]=5004509,[6]=5004509,[8]=5004509,[9]=5004509,[10]=5004510,[11]=5004509,[12]=5004509","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,45,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
56,18,5004610,0,1,0,"[2]=5004609,[3]=5004609,[4]=5004609,[5]=5004609,[6]=5004609,[8]=5004609,[9]=5004609,[10]=5004610,[11]=5004609,[12]=5004609","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,46,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
57,18,5004710,0,1,0,"[2]=5004709,[3]=5004709,[4]=5004709,[5]=5004709,[6]=5004709,[8]=5004709,[9]=5004709,[10]=5004710,[11]=5004709,[12]=5004709","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,47,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
58,18,50000001,0,1,0,"[2]=5004809,[3]=5004809,[4]=5004809,[5]=5004809,[6]=5004809,[8]=5004809,[9]=5004809,[10]=5004810,[11]=5004809,[12]=5004809","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图8,48,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
