#key,msg_s,count(播放次数),优先级（数值越大越高）,show_s(1:系统，2:淡入淡出提示，3:确定对话框，4:大喇叭，5:屏幕提示，6：结拜频道，7:世界频道，10。帮派频道，11.IM消息，23:圣地横幅，24:世界BOSS横幅)","transform_s(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}1:物品entry => 物品name 2：物品品质 => 颜色 7.物品附加属性id->名称  9:帮派建筑id =》建筑名  10：时间转换，转换成的格式放在100对应的参数 例子参见 RESULT_BIWU_ENTER_ROOM，11。id转竞技组别名字  12。id转比赛名字，13。数字转星期名，14.帮派职位名字"
key_ks,msg_s,count_n,priority_n,show_t,transform_t
RESULT_ROBBER_FACTION_ITEM,获得小型公会物资并存入所在公会仓库！,,,0,
SERVER_CHAT_GROUP_COUNT_LIMIT,聊天组已经达到全服上限,,,0,
RESULT_MEMBERS_COUNT_LIMIT,讨论组成员达到上限,,,0,
RESULT_CREATE_TIME_LIMIT,%s分钟内不能再次创建,,,2,
ROLE_LEVEL_LIMIT,等级不足%s级,,,2,
ROLE_GROUP_MAX_COUNT_LIMIT,个人聊天组已经达到上限,,,0,
ROLE_GROUP_CREATE_COUNT_LIMIT,个人创建数量已经达到上限,,,0,
ROLE_GROUP_RELEASE,该讨论组已经解散,,,0,
RESULT_UNIONPVP_FIRST_START,联盟赛初赛开始,,,0,
RESULT_UNIONPVP_FIRST_END,联盟赛初赛结束，决赛开始准备,,,0,
RESULT_UNIONPVP_SECOND_START,联盟赛决赛开始,,,0,
RESULT_UNIONPVP_SECOND_END,联盟赛决赛结束,,,0,
RESULT_UNIONPVP_SECOND_SUCCESS,%s公会赢得了比赛,,,0,
RESULT_UNIONPVP_APPLY_END,本届联盟赛名单已经确定,,,0,
RESULT_UNIONPVP_NO_NODE,不在参赛列表中,,,2,
RESULT_UNIONPVP_NO_ROOM,没有这个副本,,,2,
RESULT_UNIONPVP_NO_PLR_DATA,没有玩家数据,,,2,
RESULT_UNIONPVP_NO_ENTER,这个阶段不能进入副本,,,2,
RESULT_UNIONPVP_FACTION_TIME,加入公会时间不足%s天,,,2,
RESULT_UNIONPVP_HAS_FLAG,已经有旗帜了,,,0,
RESULT_UNIONPVP_TIME_FLAG,时间还未到，不能获取积分,,,0,
RESULT_UNIONPVP_DIFFERENT,在不同地图，不能进行此操作,,,0,
RESULT_UNIONPVP_DEAD_WAIT,对方或者你处于死亡等待状态,,,0,
RESULT_UNIONPVP_NO_UNION,没有加入联盟！,,,0,
RESULT_UNIONPVP_CANNOT_PREPARE,当前不是准备阶段,,,0,
RESULT_UNIONPVP_SET_READY,已经设置成功,,,0,
RESULT_UNIONPVP_HAS_MEMBER,这个位置已经有人了,,,0,
RESULT_UNIONPVP_NO_MEMBER,对方没有人参加战斗,,,0,
RESULT_UNIONPVP_REFRESH_FLAG,中央战场刷新了战旗,,,0,
RESULT_UNIONPVP_MATCH_NOT_START,比赛名单还未确定，请耐心等待,,,0,
RESULT_FACITON_TASK_DAILY_COUNT,已达每天公会任务完成（包括取消）个数上限,,,0,
RESULT_UNIONPVP_APPLY_ALREADY,已经在名单之中了，不能重复报名!,,,0,
RESULT_UNIONPVP_COUNT,这种状态不能叠加!,,,0,
RESULT_UNIONPVP_ENTER_TIME,退出再次进入需要等待!,,,0,
RESULT_UNIONPVP_MY_SIDE,不能攻击己方单位!,,,0,
RESULT_UNIONPVP_BOSS_TIME,不能连续攻击!,,,0,
RESULT_UNIONPVP_REFRESH_BOX,刷新了宝箱，大家快去捡啊!,,,0,
RESULT_UNIONPVP_ADD_BUFF,你获得了一个%s!,,,0,
RESULT_UNIONPVP_LEVEL_LIMIT,联盟公会平均等级不足5级，无法报名!,,,0,
RESULT_UNIONPVP_LEADER_COMBAT,会长正在战斗，或者不在活动内!,,,0,
RESULT_UNIONPVP_BUFF_YIN_SHEN,对方处于免战状态,,,0,
RESULT_UNIONPVP_NO_FACTION,你没有公会,,,0,
RESULT_UNIONPVP_NO_LEADER,你不是公会长,,,0,
RESULT_UNIONPVP_NO_APPLY_STAGE,当前不是报名阶段,,,0,
RESULT_UNIONPVP_ADD_BUFF,你获得了一个%s!,,,0,
RESULT_UNIONPVP_LEVEL_LIMIT,联盟公会平均等级不足5级，无法报名!,,,0,
RESULT_UNIONPVP_LEADER_COMBAT,会长正在战斗，或者不在活动内!,,,0,
RESULT_UNIONPVP_BUFF_YIN_SHEN,对方处于隐身状态,,,0,
RESULT_UNIONPVP_NO_FACTION,你没有公会,,,0,
RESULT_UNIONPVP_NO_LEADER,你不是公会长,,,0,
RESULT_UNIONPVP_NO_APPLY_STAGE,当前不是报名阶段,,,0,
FACTION_MTX_OPEN,灵阵守卫活动已经由%s公会的会长%s开启了，请大家参加,,,0,
FACTION_MTX_ENTER_ONE,每周只能进入一次阵眼,,,0,
FACTION_MTX_BROKEN,阵眼已经被破坏,,,0,
FACTION_MTX_GUARD_COMING,听说阵眼守护者已经出现，请速去挑战,,,0,
FACTION_MTX_BROKEN,经过大家的齐心协力，最后%s以迅雷不及掩耳之势给予守护者致命一击，成功击杀守护者！,,,0,
FACTION_MTX_LEAVE,副本内全体成员获得通关奖励，将在10秒后被送出副本。,,,0,
FACTION_MTX_NO_UNION,没有加入联盟,,,0,
FACTION_MTX_NO_FACTION,没有加入公会,,,0,
FACTION_MTX_NOT_OPEN,灵阵没有开启,,,0,
FACTION_BOSS_NOT_OPEN,BOSS没有开启，请先破坏阵眼,,,0,
FACTION_BOSS_COOLDOWN,你还不能打BOSS，在冷却中,,,0,
FACTION_TEACHER_NOT_OPEN,强化师还没有出来，请等待刷新,,,0,
FACTION_TEACHER_COOLDOWN,你还不能打强化师，在冷却中,,,0,
FACTION_TEACHER_COMMING,强化师已经出现，灵阵的力量加强了，请速去对抗,,,0,
FACTION_TEACHER_GONE,强化师已经被消灭，灵阵的力量回复正常,,,0,
FACTION_BOSS_COMMING,boss出现了，请速去对抗,,,0,
FACTION_BOSS_GONE,boss已经被消灭，活动即将结束,,,0,
FACTION_MTX_MPA_BROKEN_ONE,%s已经被破坏，请各位继续努力破坏剩下的阵眼,,,0,
FACTION_MTX_MPA_ALL_BROKEN,%s已经被破坏，BOSS即将出现,,,0,
FACTION_BEING_LIFE_COOLDOWN,刚复活，身体弱，请稍后再试,,,0,
FACTION_MTX_JOIN_TIME_LIMIT,加入公会不足7天,,,2,
FACTION_MTX_MCH_PROMOTE,%s提升了福利机器人!,,,0,
FACTION_MTX_MCH_UPGRADE,福利机器升级成功，%d%%机会获得双倍奖励!,,,0,
FACTION_MTX_DOUBLE_PRIZE,恭喜你，获得双倍奖励!,,,0,
RESULT_FACITON_TASK_CANCEL_GOLD,取消公会任务钻石不足,,,0,
RESULT_FACITON_TASK_TIME_LIMIT,公会任务时间限制,,,0,
RESULT_SHAPESHIFTING,变身之中不能攻击,,,0,
RESULT_NOT_COMMON_COMBAT_TEAM,没有加入骑士团不可进入!,,,0,
RESULT_TEAM_PVE_LAYER_COUNT_LIMIT,今天进度已通关两区，请等待明天继续!,,,0,
RESULT_TEAM_PVE_SUCCESS,你已经成功通关了!,,,2,
RESULT_TEAM_PVE_RESETTING,记录正在重置中，凌晨之后开放!,,,0,
RESULT_TEAM_PVE_POINT_ADD,增加骑士团副本积分%d!,,,0,
RESULT_TEAM_PVE_POINT_DEC,减少骑士团副本积分%d!,,,0,
RESULT_RIDE_EQUIP_COUNT_LIMIT,当前装备已达上限!,,,0,
