#key_ks,msg_s,show_s(1:系统，2:淡入淡出提示，3:确定对话框，4:大喇叭，5:屏幕提示，6:结拜频道，7:世界频道，10。帮会频道，11.IM消息，),"transform_t(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}1:物品entry => 物品name 2:物品品质 => 颜色 7.物品附加属性id->名称  9:帮会建筑id =》建筑名  10:时间转换，转换成的格式放在100对应的参数 例子参见 RESULT_BIWU_ENTER_ROOM，11。id转竞技组别名字  12。id转比赛名字，13。数字转星期名，14.帮会职位名字"
key_ks,msg_s,show_t,transform_t
INPUT_ACC,输入账号,2,
INPUT_ACC_INFO,请输入账户名,2,
INPUT_PWD,输入密码,2,
INPUT_PWD_INFO,请输入密码,2,
INPUT_CFM_PWD,确认,2,
INPUT_CFM_PWD_INFO,请再次输入密码,2,
LOGIN_INFO,登录,2,
LOGIN_ROLE_SELECT_FAIL,服务器忙碌中，暂时无法登陆，请稍候再试。#brCODE:%d,,
LOGIN_ROLE_CREATE_FAIL,名字重复，请重新输入,,
LOGIN_ADD_MEMERY_CONTENT,正在加载中......(%s),,
REGISTER_INFO,注册,2,
REGISTER_SURE,确定注册,2,
LOGIN_TO_QQ,与QQ好友玩,2,
LOGIN_TO_WX,与微信好友玩,2,
CONFIRM_INFO,确定,2,
CLEAN_INFO,清除,2,
PLAYER_NAME_INFO,玩家名,2,
RECENT_LOGIN_INFO,上次登录,2,
SERVER_LIST_INFO,服务器选择,2,
PLS_INPUT_PLAYERNAME,请输入玩家名,2,
FANMANG,繁忙,2,
BAOMAN,爆满,2,
LIUCHANG,流畅,2,
XINFU,新服,2,
WEIHU,维护,2,
XUANFU,选服,2,
CURRENT,当前,2,
LOGIN_ERROR1,注册名存在，请重新输入,2,
LOGIN_ERROR2,桥连接失败，错误[%d]%s,2,
LOGIN_ERROR3,认证失败，错误:%d,2,
LOGIN_ERROR4,你输入的账号属于新账号，未被注册，是否注册?,2,
LOGIN_ERROR5,注册成功，赶快点击进入游戏吧,2,
LOGIN_ERROR6,账号或者密码错误，请重新输入,2,
LOGIN_ERROR7,当前服务器正在维护，请稍后重试,2,
LOGIN_ERROR8,同时登陆账号过多，请稍后重试,2,
SDK_LOGIN_ERROR,登陆失败，错误码:%d，错误信息:%s,2,
LOGIN_USER_CFM,请完成用户信息填写,2,
LOGIN_PSW_CFM,确认密码和输入密码不一致，请重新输入确认密码,2,
LOGIN_USER_FORMAT_CFM,账号只能包含6-20位的字母或数字,2,
LOGIN_PSW_FORMAT_CFM,密码只能包含6-20位的字母或数字,2,
LOGIN_NAME_CFM1,请输入玩家名字,2,
LOGIN_NAME_CFM2,玩家名不可使用标点符号、纯字母纯数字，请重新输入。,2,
LOGIN_NAME_CFM3,玩家名不可超过%d个字,2,
LOGIN_NAME_CFM4,玩家名存在敏感字,2,
LOGIN_CHANGE_PASSWORD,修改密码,2,
LOGIN_AUTO_REGISTER,输入账号密码，若属于新账号则自动注册,2,
LOGIN_GET_SERVERLIST_INFO,正在获取服务器列表,2,
LOGIN_GET_NOTICE_INFO,正在获取公告信息,2,
LOGIN_GET_SERVERLIST_FAILED,获取服务器列表失败,2,
LOGIN_GET_SERVERLIST_FAILED_YES,重新获取,2,
LOGIN_GET_AUTH_FAILED,获取账户信息失败,2,
LOGIN_GET_AUTH_FAILED_YES,重新获取,2,
LOGIN_GET_ACCOUNT_INFO,正在获取账号信息,2,
NET_ERROR1,网络连接不稳定，请稍后再试,2,
NET_ERROR2,资源加载失败，请检查网络,2,
NET_CLOSE,您的网络与服务器已断开连接，需要重新连接,,
LOGIN_CONNECTING,正在努力登录游戏,2,
LOGIN_SERVER_VER_ERROR,当前版本与官方服务器版本不一致，请等待服务器更新后可进入游戏。,2,
LOGIN_SERVER_TOO_OFTEN,登入服务器过于频繁，请稍后重试,2,
LOGIN_REFRESH,刷新,2,
LOGIN_REFRESH_TOO_OFTEN,刷新过于频繁，请稍后重试,2,
LOGIN_INPUT_NAME_TIPS1,欢迎来到狗狗的世界，请问怎么称呼您呢？,,
LOGIN_INPUT_NAME_TIPS2,(请输入名字，最多%d个字),,
GLOBAL,准备进入跨服地图！,,
GLOBAL_TIPS,您看到此提示代表跨服操作出現異常，為避免遊戲過程發生問題，請退出重新登入跨服伺服器，謝謝。,,
GLOBAL_TUICHU,确定退出跨服活动？,,
GLOBAL_TXT1,跨服内不开放,,
GLOBAL_TXT2,跨服组队,,
GLOBAL_TXT3,剩余收益次数,,
GLOBAL_TXT4,主角%s级开启,,
GLOBAL_TXT5,11:00-13:00和23:00-1:00银两和经验双倍收益，3人组队再加成30%,,
GLOBAL_TXT6,自动战斗%d级开启,,
LAST_LOGIN_ROLE,最近登录,,
ALL_LOGIN_ROLE,所有角色,,
AUTO_LOGIN_ROLE,（%d秒后自动登陆）,,
AUTO_LOGIN_ROLE1,%d秒后自动登陆，点击取消,,
NO_MONEY,金币不足,,
GONGKAI,公开,2,
JINBI,金币,,
YUANBAO,元宝,,
BIND_YUANBAO,绑元,,
JJ_JIFEN,竞技积分,,
BANG_GONG,帮贡,,
YOUQINGBI,友情币,,
WEIWANG,威望,,
TIANXIADIYI,天下第一积分,,
HUN_POINT,魂币,,
BUGONGKAI,不公开,2,
LOAD_FILE,读取,2,
NEW_ELEM,创建新元素,2,
PLAY_TITLE,演示,2,
CHANGE_TITLE,更改,2,
ORDER_NUMBER,序号,2,
SET_DIR,设置角度,2,
SET_PLAYER_XY,设置角色位置,2,
LBRACKET,【,,
RBRACKET,】,,
DUNHAO,、,,
CAOZUOPINFAN,操作频繁~~,,
FIGHT_EDIT_ACTION_1,起手,2,
FIGHT_EDIT_ACTION_2,出手,2,
FIGHT_EDIT_ACTION_3,结束,2,
FIGHT_EDIT_ADD,添加,2,
FIGHT_EDIT_REMOVE,删除,2,
FIGHT_ACTOR_ACTION,人物动作,2,
FIGHT_ACTOR_MOVE,人物移动,2,
FIGHT_ACTOR_FADE,人物残影,2,
FIGHT_ACTOR_ZHUANGTAI,残影状态,2,
FIGHT_ACTOR_JIANGE,残影间隔,2,
FIGHT_ACTOR_TINGLIU,残影停留,2,
FIGHT_ACTOR_SHULIANG,残影数量,2,
FIGHT_ATTACK_TITLE,攻击,2,
FIGHT_SPELL_TITLE,施法,2,
FIGHT_MAP_EFFECT,场景特效,2,
FIGHT_MOVE_EFFECT,移动特效,2,
FIGHT_WAIT_TIME,等待时间,2,
FIGHT_ACTOR_EFFECT,人物特效,2,
FIGHT_ACTOR_SCALE,人物缩放,2,
FIGHT_SCALE_TITLE,缩放比例,2,
FIGHT_SCALE_HUIFU,是否恢复,2,
FIGHT_TYPE_TITLE,类型,2,
FIGHT_ACTOR_TITLE,行为者,2,
FIGHT_SCREEN_SHAKE,屏幕震动,2,
FIGHT_SPEED_TITLE,速度,2,
FIGHT_BONE_TITLE,骨骼,2,
FIGHT_EXIT_TITLE,退出条件,2,
FIGHT_EXIT_PUPPET,显示分身,2,
FIGHT_EFFECT_ID,特效ID,2,
FIGHT_EFFECT_POS,特效位置,2,
FIGHT_POS_OFFSET_X,偏移X,2,
FIGHT_POS_OFFSET_Y,偏移Y,2,
FIGHT_POS_FROM_OFFSET_X,开始偏移X,2,
FIGHT_POS_FROM_OFFSET_Y,开始偏移Y,2,
FIGHT_POS_TO_OFFSET_X,结束偏移X,2,
FIGHT_POS_TO_OFFSET_Y,结束偏移Y,2,
FIGHT_POS_BEGIN,开始位置,2,
FIGHT_POS_END,结束位置,2,
FIGHT_USE_TIME,时间,2,
FIGHT_MOVE_TYPE,移动方式,2,
FIGHT_MOVE_INSTANT,瞬移,2,
FIGHT_MOVE_LINE,直线,2,
FIGHT_MOVE_TRACE,追踪,2,
FIGHT_IS_ONCE,是否一次,2,
FIGHT_CASTER,攻击者,2,
FIGHT_TARGET,受击者,2,
FIGHT_TARGETLIST,群受击者,2,
FIGHT_BOOL_TRUE,真,2,
FIGHT_BOOL_FALSE,假,2,
FIGHT_TARGET_MID,敌人中间,2,
FIGHT_CASTER_MID,本方中间,2,
FIGHT_SCENE_MID,场景中间,2,
FIGHT_POS_RESET,归位,2,
FIGHT_ATTACK_END,攻击完,2,
FIGHT_ATTACK_ATTACK,攻击帧,2,
FIGHT_RESULT_MAX_TIME,技能%d 战斗超时，请检查配置,2,
FIGHT_RESULT_NO_TARGET,技能%d的目标列表为空，类型:%d，请检查,2,
FIGHT_ELEM_TITLE,元素,2,
FIGHT_TRIGGER_TITLE,技能,2,
FIGHT_REFRESH_TITLE,刷新,2,
FIGHT_CHASE_TEMPLATE,连击模板,2,
FIGHT_TEMPLATE,模板,2,
FIGHT_ATTACK_TYPE,攻击类型,2,
FIGHT_ONCE_ATTACK,单击,2,
FIGHT_CHASE_ATTACK,连击,2,
FIGHT_LIST_ATTACK,群攻,2,
FIGHT_PREPARE_ATTACK,吟唱,2,
FIGHT_INTERVAL_ATTACK,持续,2,
FIGHT_SEAT_TYPE,站位类型,2,
FIGHT_SEAT_FRONT_FRONT,前前,2,
FIGHT_SEAT_BACK_BACK,后后,2,
FIGHT_SEAT_WHOLE,全体,2,
FIGHT_CAMPAIGN_START,进入战斗,2,
FIGHT_CAMPAIGN_WOFANGZHENYING,我方阵营,2,
FIGHT_CAMPAIGN_DIFANGZHENYING,敌方阵营,2,
FIGHT_CAMPAIGN_TUIJIANDENGJI,等级,2,
FIGHT_CAMPAIGN_ZHANDOULIZONGHE,战斗力:%s,2,
FIGHT_CAMPAIGN_DIANJIBUJIANG,点击布将,2,
FIGHT_CAMPAIGN_BEIZHAN,备战,2,
FIGHT_CAMPAIGN_KENENGHUODE,可能获得,2,
FIGHT_CAMPAIGN_XIAZHEN,下阵,2,
FIGHT_CAMPAIGN_TILIXIAOHAO,行动力消耗:%d,2,
FIGHT_CAMPAIGN_TILIBUZU,行动力值不足,2,
FIGHT_CAMPAIGN_ZHANLI,战力:%s,2,
FIGHT_CAMPAIGN_BUZHEN_TISHI,拖动我可以和攻击范围相同的女神调换位置哦！,,
FIGHT_CMAPAIGN_SAODANGKAIQI,vip1开启扫荡功能,2,
FIGHT_PRIZE_BIAOTI,战 胜,2,
FIGHT_PRIZE_ZHUJUEJINGYAN,主角经验: ,2,
FIGHT_PRIZE_ZHANLIPIN,战利品,2,
FIGHT_PRIZE_HUODE,获 得,2,
FIGHT_PRIZE_XINGJIJIANGLI,星级奖励,2,
FIGHT_PRIZE_BAOXIANGJIANGLI,宝箱奖励,2,
FIGHT_PRIZE_LIKAI,离 开,2,
FIGHT_PRIZE_TIAOZHANCHENGGONG,挑战成功,2,
FIGHT_PRIZE_PAIMINGSHANGSHENG,排名上升,2,
FIGHT_LOST_BIAOTI,战 败,2,
FIGHT_LOST_SHENGJIZHUANGBEI,升级装备,2,
FIGHT_LOST_TISHENGDNEGJI,提升等级,2,
FIGHT_LOST_TISHICISHU,继续加油，今天你还剩下#orange %d#rf次挑战机会,2,
FIGHT_LOST_TIAOZHANSHIBAI,挑战失败,2,
FIGHT_LOST_ZHANBAIJIANYI,你可以通过下列方式强化自己,2,
FIGHT_LOST_CHENSHU_YAOQING,#space#norb呜呜呜~~~输给他们人家很不服气啦！如果可以和xx一起上阵发动进阶联动效果的话，我一定不会输的！,2,
FIGHT_LOST_CHENSHU_DAZAO,#space#norb主人，如果我得到进阶装备的话，就可以发动进阶技能打败敌人了！,2,
FIGHT_LOST_CHENSHU_XIANJI,#space#norb主人，我们要努力提升实力！我再也不想失败了！,2,
FIGHT_LOST_TISHI_YAOQING,#nor你可以通过#yellow互动#nor与#yellow女神邀请#nor获得新的女神,2,
FIGHT_LOST_TISHI_DAZAO,#nor你可以通过#yellow工坊#nor晋升各种装备武器,2,
FIGHT_LOST_TIPS1,女神召集或互动可邀请更高品质女神,,
FIGHT_LOST_TIPS2,进行法阵祭祀可提高全体女神攻击和生命,,
FIGHT_LOST_TIPS3,升级魔导仪可提升魔导石的战斗效果,,
FIGHT_LOST_TIPS4,进行装备强化、洗炼、重铸可提升装备属性和战力,,
FIGHT_LOST_TIPS5,Lv.%d#br蜕变%d阶#br进阶%d#STAR_XIAO,,
FIGHT_SKILL_SHOW,表演者 #red%s#rf；技能 #red%s#rf；ID #red %d,2,
FIGHT_POWER_BUFF_TIPS,"buffId:#yellow %d#rf	表演者:#yellow%s#rf	类型:#red%s",,
FIGHT_ACTION_PAUSE_NOTSTART,暂停动作%s能且只能出现在技能开头:%s,,
FIGHT_ACTION_PAUSE_NOTBEGINZERO,%s暂停动作%s没有从时间0开始或者持续时间断开,,
FIGHT_ACTION_PAUSE_NOTMATCH,暂停时间不对应，客户端:%s，服务器:%s,,
FIGHT_VIDEO_SKIP,跳 过,,
FIGHT_VIDEO_WAIT,正在加载,,
FIGHT_CHANGE_POSTION,长按女神可以调整相同攻击距离的站位,2,
FIGHT_NOT_EXSIT_SKILL,ID为:%d的技能缺少客户端表现，entryId:%d#br请注意！,2,
FIGHT_NOT_EXSIT_SKILL_EDIT,ID为:%d的技能缺少客户端表现，entryId:%d请注意！,2,
FIGHT_FADONG,施放,,
FIGHT_KAISHIYINCHANG,开始吟唱,,
FIGHT_ZHUNBEISHIFA,准备施法,,
FIGHT_JIAXUE,血量恢复,,
FIGHT_KOUXUE,血量减少,,
FIGHT_MAXJIAXUE,生命上限增加,,
FIGHT_MAXKOUXUE,生命上限减少,,
FIGHT_JIAQI,能量提升,,
FIGHT_KOUQI,能量减少,,
FIGHT_DANGQIANNVQI,当前怒气,,
FIGHT_ZHONGBUFF,获得%s状态,,
FIGHT_QUBUFF,失去%s状态,,
FIGHT_KAISHI,战斗开始,,
FIGHT_JIESHU,战斗结束,,
FIGHT_ZHENWANG,阵亡,,
FIGHT_DONGJIE,战斗冻结中,,
FIGHT_KEFAZHAO,可发招,,
FIGHT_KEFAZHAO1,奥义技,,
FIGHT_ZIDONGFAZHAO,开启自动战斗,,
FIGHT_QUXIAOZIDONG,取消自动战斗,,
FIGHT_TUICHUZHANDOU,是否退出战斗？,,
FIGHT_TUICHUZHANDOU1,快速退出战斗,,
FIGHT_WUJINENG,无技能,,
FIGHT_WINGTL,守护能量,,
FIGHT_KAIFANG,通过第1章3关开启自动战斗,,
FIGHT_DEFEND_BEGIN,请选择目标,,
FIGHT_DEFEND_END,已取消目标选择,,
FIGHT_SHOWING_TIPS,战斗准备中....,,
FIGHT_LEAVE_FORBID,当前不能退出战斗,,
FIGHT_LIANJI,连击,,
RECORD_BATTLE_TXT1,我阵输出:,,
RECORD_BATTLE_TXT2,敌阵输出:,,
LEGION_WAR_TITLE1,我阵,,
LEGION_WAR_TITLE2,敌阵,,
FIGHT_TXT1,离开,,
FIGHT_TXT2,战斗记录,,
FIGHT_TXT3,守护技能%s,,
FIGHT_TXT4,奥义值不足,,
FIGHT_TXT5,怒气值不足,,
FIGHT_ZHANLI_ADD,战力提升:%s
FIGHT_ZHANLI_REDUCE,战力下降:%s
FIGHT_TXT100,奥义值,,
FIGHT_TXT6,自动施放绝技,,
FIGHT_TXT7,自动施放绝技和奥义,,
FIGHT_TXT8,手动施放技能,,
FIGHT_TXT9,领取奖励,,
FIGHT_TXT10,当前战斗中,,
FIGHT_TXT11,恭喜获得%s,,
FIGHT_TXT12,退出,,
FIGHT_TXT13,推荐战力:%s,,
FIGHT_TXT14,历史通关:%s,,
FIGHT_TXT15,当前正在%s组队中，无法进行抓捕,,
FIGHT_TXT16,战斗录像已丢失,,
DEMAGE_SCORSE_TIPS,%s使用技能%s对%s造成%s伤害！,,
CHAYIDUIBI,差异对比,,
FANYISHUCHU,翻译输出,,
TIHUANZIDUAN,替换字段,,
PET_PINJIE_TXT1,传奇,,
PET_PINJIE_TXT2,魔王,,
PET_PINJIE_TXT3,史诗,,
EQUIP_NEED_MATERIAL,,,
LOAD_MAP,加载地图,2,
PLAY_MUSIC,播放音乐,2,
STOP_MUSIC,停止音乐,2,
MOVIE_CAREMA,移动视角,2,
SET_CAREMA,设置视角,2,
WAIT_TIME,等待时间,2,
ROLE_SAY,头顶冒泡,2,
CREATE_EFFECT,创建特效,2,
DELETE_EFFECT,删除特效,2,
SHAKE_MAP,地图震动,2,
ROLE_SPEAK,黑框说话,2,
DELETE_PLAYER,删除角色,2,
DELETE_ALL_PLAYER,删全部人,2,
FIGHT,战斗,2,
MOVE_PLAYER,移动角色,2,
CHANGE_ACTION,改变动作,2,
FINISH_TASK,完成任务,2,
#MOVIE_EDIT,,,
TASK_TARGETMAP,目标地图:,,
CREATE_ROLE,创建角色,,
HERO_TITLE,角色,,
SAVE,保存,,
HOME_COMMENT_DEL,删除,,
ITEM_FEIXING_POS,位置,,
MOVIE_EDIT_ELEM_SHOW_TIME,表演时间,,
MOVIE_RESULT_INDEX,索引,,
LOGIN_CREATE_ROLE,创建,,
SET_DIR,设置角度,2,
SHOW_IMAGE,显示图片,2,
EXECUTE,执行操作,2,
ADD_FIGHTRESULT,加入result,2,
INIT_FIGHTPLAYER,初始化战斗角色,2,
MOVIE_EDIT_ADD_FIGHT_PLAYER,加入战斗角色,2,
PLAYER_TO_PLAYER,从角色移到角色,2,
HERO_NAME_TITLE,角色名,2,
DIR_TITLE,方向,2,
MODEL_ID,模型ID,2,
NAME_COLOR,名称颜色,2,
MUSIC_FILE,音乐文件,2,
MUSIC_VOLUME,音量,2,
TIME,时间,2,
TEXT_DIRECTION,内容,2,
EFFECT_MODEL_ID,特效模型ID,2,
IS_ONCE,是否一次性,2,
EFFECT_TITLE,特效,2,
SHAKE_TYPE,震动类型,2,
FIGHT_ID,战斗ID,2,
FIGHT_IGNORE_RUN,忽略跑位,2,
FIGHT_SKILL_NO_RP,能量不足，无法释放！,2,
GONGGONGCD,公共CD时间,,
JINENGCD,技能CD时间,,
FIGHT_SKILL_NO_NOT_SELF,这不是阁下的女神，无法操作,2,
SPEED,速度,2,
IS_CAMERA,是否绑定镜头,2,
COOR_TYPE,对齐方式,2,
ACTION_TYPE,动作类型,2,
IS_LOOP,是否循环,2,
TASK,任务,2,
DIR,方向,2,
IMAGE,图片名,2,
AUTO_HIDE,图片消失,,
LEFT_PLAYER,左边玩家,2,
RIGHT_PLAYER,右边玩家,2,
LEFT,左,2,
ROLE_MINGZI,名字,2,
LEFT_BOTTOM,左下,2,
BOTTOM,下,2,
RIGHT_BOTTOM,右下,2,
RIGHT,右,2,
RIGHT_TOP,右上,2,
TOP,上,2,
LEFT_TOP,左上,2,
TARGET_PLAYER,目标角色,2,
OFFX,X坐标偏离,2,
OFFY,Y坐标偏离,2,
MOVIE_ADDRESULT_CASTERSIDE,源边,2,
MOVIE_ADDRESULT_CASTERPOS,源位,2,
MOVIE_ADDRESULT_TARGETSIDE,目标边,2,
MOVIE_ADDRESULT_TARGETPOS,目标位,2,
MOVIE_ADDRESULT_LOSSHP,扣血,2,
MOVIE_ADDRESULT_RESULTID,表演ID,2,
MOVIE_EDIT_EFFECT_RENWUTEXIAO,人物特效,2,
MOVIE_EDIT_EFFECT_ID,特效ID,2,
MOVIE_EDIT_EFFECT_SHANCHUTEXIAO,删人效,2,
MOVIE_EDIT_VISIBLE_KEJIANXING,人物可见,2,
MOVIE_EDIT_VISIBLE_KEJIAN,可见性,2,
MOVIE_EDIT_VISIBLE_KEJIANXING,人物可见,2,
PLAY_FRAME_ANIMATION,界面动画,,
MOVIE_EDIT_FALL_PLAYER,降落角色,,
MOVIE_EDIT_FULL_BLACK,全屏黑暗,,
MOVIE_PLAY_VIDEO,播放视频,,
MOVIE_PLAY_VIDEO_NAME,视频名,,
UNION_TEXT22,存在敏感字符,,
#,,,
ENTER_GAME,进入游戏,2,
ZONGHE,综合,,
DANGQIAN,当前,,
SHIJIE,世界,,
MENPAI,门派,,
BANGPAI,帮会,,
DUIWU,队伍,,
SILIAO,私聊,,
LINSHI,临时,,
XITONG,系统,,
QUANBU,全部,,
CHUANWEN,传闻,,
PANEL_TYPENAME,(%s),,
CHAT_SHUO,说:,,
CHAT_CHARU,插入,,
CHAT_FASONG,发  送,,
CHAT_SEND,发送,,
CHAT_BIAOQING,表情,,
CHAT_WUPIN,物品,,
CHAT_WU,宠物,,
CHAT_LISHI,历史,,
CHAT_PET_LEVEL,等级:%d,,
CHAT_ERROE_JINYAN,你现在被禁言，无法发送。,,
CHAT_ERROE_SHIJIAN,发送信息过于频繁，需要等待%d秒。,,
CHAT_ERROR_NOTEAM,你未加入队伍,,
CHAT_ERROR_MUBIAO,该目标不存在。,,
CHAT_ERROR_DENGJI,需要%d级才可以发送。,,
CHAT_ERROR_POWER_ENERGY,该频道发送需要消耗%d点行动力值和%d点活力值，你当前未满足条件,,
CHAT_ERROR_WUPINSHANGXIAN,一次最多只能发送%d个物品。,,
CHAT_ERROR_CHONGWUSHANGXIAN,最多只能发送%d只宠物。,,
CHAT_CONFIRM_SILIAOMINGZI,请输入私聊对象的名字,,
CHAT_ERROR_ZIFUSHANGXIAN,信息过长，请重新编辑（%d个字符以下）,,
CHAT_ERROR_NEIRONGBUNENGWEIKONG,输入信息不能为空！,,
CHARM_NOT_ENOUGH,当前魅力值为负数，不能发言！,,
CHARM_GET_TIPS,tips:收到好友鲜花会提升魅力值,,
CHAT_INPUT_SAYING,点击输入聊天信息,,
JUNTUAN,公会,,
UNION_LEGION_TITLE,联盟,,
KUAFU_CHAT,跨服,,
CHAT_VOICE_TIPS1,按住说话,,
CHAT_VOICE_TIPS2,松开结束,,
CHAT_VOICE_TIPS3,手指上滑，取消发送,,
CHAT_VOICE_TIPS4,松开手指，取消发送,,
CHAT_VOICE_TIPS5,设备不支持语音输入！,,
CHAT_TYPE_VOICE,语音,,
VOICE_FILE_NO_FIND,该语音不存在，无法播放！,,
VOICE_FILE_PLAYING,正在播发语音，请稍后,,
CHAT_VOICE_OVER_MAX_TIME,超过最长录音时间（10秒），结束录音。,,
CHAT_VOICE_TIPS6,你不在门派中！,,
CHAT_VOICE_TIPS7,你未加入公会！,,
CHAT_VOICE_TIPS8,你未加入队伍！,,
CHAT_SEARCH_SELF,无法查找自己！,,
CHAT_QUESTION,智力抢答题目,,
CHAT_COUNTDOWN,倒数计时:%d,,
CURRENT_QUESTION,【智力抢答】%s,,
MSG_SYS,系统：,,
CHAT_TXT1,跨服频道不支持语音聊天！,,
CHAT_TXT2,跨服频道不支持查玩家信息！,,
CHAT_TXT3,该玩家已下线,,
CHAT_TXT4,聊天好友,,
CHAT_TXT5,查找玩家,,
CHAT_TXT6,当前没有聊天玩家,,
CHAT_TXT7,玩家不在线，不能语音聊天,,
CHAT_TXT8,你已经加入公会,,
CHAT_TXT9,发送协助成功,,
CHAT_TXT10,宠物和仙君无论是否出战，培养都增加全队战力,,
CHAT_TXT11,关卡挑战BOSS失败，可试试点击关卡界面求助，帮助玩家也可获得奖励,,
CHAT_TXT12,战斗失败时，可试试调整技能配置顺序,,
CHAT_TXT13,120级开启法宝功能，强力法宝技能助您勇闯西游,,
CHAT_TXT14,%s105;%d;%d;%s%s,,
