vip等级,索引,说明,参数
10,buyFund,,80
11,buyFund,,90
12,buyFund,,100
13,buyFund,,120
14,buyFund,,120
15,buyFund,,120
16,buyFund,,120
0,factionDevote,公会贡献,15
1,factionDevote,,22.5
2,factionDevote,,22.5
3,factionDevote,,30
4,factionDevote,,30
5,factionDevote,,30
6,factionDevote,,30
7,factionDevote,,30
8,factionDevote,,30
9,factionDevote,,30
10,factionDevote,,30
11,factionDevote,,30
12,factionDevote,,30
13,factionDevote,,30
14,factionDevote,,30
15,factionDevote,,30
16,factionDevote,,30
0,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
1,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
2,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
3,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
4,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
5,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
6,leaderBuff,,"[1]=0,[2]=0,[3]=0,"
7,leaderBuff,,"[1]=0,[2]=0.5,[3]=0.8,"
8,leaderBuff,,"[1]=0,[2]=0.5,[3]=0.8,"
9,leaderBuff,,"[1]=0,[2]=0.55,[3]=0.9,"
10,leaderBuff,,"[1]=0,[2]=0.55,[3]=0.9,"
11,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
12,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
13,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
14,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
15,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
16,leaderBuff,,"[1]=0,[2]=0.6,[3]=1,"
0,recruitHoopCount,每日部下抽奖免费刷新次数,0
1,recruitHoopCount,,0
2,recruitHoopCount,,1
3,recruitHoopCount,,1
4,recruitHoopCount,,2
5,recruitHoopCount,,2
6,recruitHoopCount,,2
7,recruitHoopCount,,2
8,recruitHoopCount,,2
9,recruitHoopCount,,2
10,recruitHoopCount,,2
11,recruitHoopCount,,2
12,recruitHoopCount,,2
13,recruitHoopCount,,2
14,recruitHoopCount,,2
15,recruitHoopCount,,2
16,recruitHoopCount,,2
0,recruitBateCount,每日部下抽奖免费挑战次数,0
1,recruitBateCount,,0
2,recruitBateCount,,0
3,recruitBateCount,,0
4,recruitBateCount,,0
5,recruitBateCount,,0
6,recruitBateCount,,0
7,recruitBateCount,,0
8,recruitBateCount,,0
9,recruitBateCount,,0
10,recruitBateCount,,0
11,recruitBateCount,,0
12,recruitBateCount,,0
13,recruitBateCount,,0
14,recruitBateCount,,0
15,recruitBateCount,,0
16,recruitBateCount,,0
0,power,每日额外恢复体力,0
1,power,,0
2,power,,0
3,power,,0
4,power,,0
5,power,,0
6,power,,0
7,power,,0
8,power,,0
9,power,,0
10,power,,0
11,power,,0
12,power,,0
13,power,,0
14,power,,0
15,power,,0
16,power,,0
0,BossHook,魔女挂机,0
1,BossHook,,0
2,BossHook,,1
3,BossHook,,1
4,BossHook,,1
5,BossHook,,1
6,BossHook,,1
7,BossHook,,1
8,BossHook,,1
9,BossHook,,1
10,BossHook,,1
11,BossHook,,1
12,BossHook,,1
13,BossHook,,1
14,BossHook,,1
15,BossHook,,1
16,BossHook,,1
0,campainWipe,扫荡,0
1,campainWipe,,0
2,campainWipe,,0
3,campainWipe,,0
4,campainWipe,,0
5,campainWipe,,0
6,campainWipe,,0
7,campainWipe,,0
8,campainWipe,,0
9,campainWipe,,0
10,campainWipe,,0
11,campainWipe,,0
12,campainWipe,,0
13,campainWipe,,0
14,campainWipe,,0
15,campainWipe,,0
16,campainWipe,,0
0,godskill,神器,0
1,godskill,,0
2,godskill,,0
3,godskill,,0
4,godskill,,0
5,godskill,,0
6,godskill,,0
7,godskill,,1
8,godskill,,1
9,godskill,,1
10,godskill,,1
11,godskill,,1
12,godskill,,1
13,godskill,,1
14,godskill,,1
15,godskill,,1
16,godskill,,1
0,petEntryId,特殊部下,0
1,petEntryId,,0
2,petEntryId,,0
3,petEntryId,,0
4,petEntryId,,0
5,petEntryId,,0
6,petEntryId,,0
7,petEntryId,,0
8,petEntryId,,1
9,petEntryId,,2
10,petEntryId,,3
11,petEntryId,,4
12,petEntryId,,5
13,petEntryId,,0
14,petEntryId,,0
15,petEntryId,,0
16,petEntryId,,0
0,buyPower,体力购买次数,1
1,buyPower,,2
2,buyPower,,3
3,buyPower,,4
4,buyPower,,5
5,buyPower,,6
6,buyPower,,7
7,buyPower,,8
8,buyPower,,10
9,buyPower,,12
10,buyPower,,14
11,buyPower,,16
12,buyPower,,18
13,buyPower,,20
14,buyPower,,33
15,buyPower,,36
16,buyPower,,39
0,skyTowerCount,勇闯地宫奖励系数,0
1,skyTowerCount,,0
2,skyTowerCount,,0
3,skyTowerCount,,0.5
4,skyTowerCount,,0.5
5,skyTowerCount,,0.5
6,skyTowerCount,,0.5
7,skyTowerCount,,0.5
8,skyTowerCount,,0.5
9,skyTowerCount,,0.5
10,skyTowerCount,,0.5
11,skyTowerCount,,0.5
12,skyTowerCount,,0.5
13,skyTowerCount,,0.5
14,skyTowerCount,,0.5
15,skyTowerCount,,0.5
16,skyTowerCount,,0.5
0,captainBuff,小团队光环,0
1,captainBuff,,1
2,captainBuff,,1
3,captainBuff,,2
4,captainBuff,,2
5,captainBuff,,2
6,captainBuff,,3
7,captainBuff,,3
8,captainBuff,,4
9,captainBuff,,4
10,captainBuff,,5
11,captainBuff,,5
12,captainBuff,,6
13,captainBuff,,6
14,captainBuff,,6
15,captainBuff,,6
16,captainBuff,,6
0,body,专属模型&头像,0
1,body,,1
2,body,,1
3,body,,2
4,body,,2
5,body,,2
6,body,,3
7,body,,3
8,body,,4
9,body,,4
10,body,,5
11,body,,5
12,body,,6
13,body,,7
14,body,,8
15,body,,9
16,body,,10
0,choujiang,命运占卜,0
1,choujiang,,1
2,choujiang,,1
3,choujiang,,1
4,choujiang,,2
5,choujiang,,2
6,choujiang,,3
7,choujiang,,3
8,choujiang,,4
9,choujiang,,5
10,choujiang,,6
11,choujiang,,7
12,choujiang,,8
13,choujiang,,9
14,choujiang,,10
15,choujiang,,11
16,choujiang,,12
0,robberHook,混沌世界挂机,1800
1,robberHook,,3600
2,robberHook,,7200
3,robberHook,,86400
4,robberHook,,86400
5,robberHook,,86400
6,robberHook,,86400
7,robberHook,,86400
8,robberHook,,86400
9,robberHook,,86400
10,robberHook,,86400
11,robberHook,,86400
12,robberHook,,86400
13,robberHook,,86400
14,robberHook,,86400
15,robberHook,,86400
16,robberHook,,86400
0,LostTempleAtt,光明神殿加攻击百分比,0
1,LostTempleAtt,,0
2,LostTempleAtt,,0
3,LostTempleAtt,,0
4,LostTempleAtt,,0
5,LostTempleAtt,,0
6,LostTempleAtt,,0
7,LostTempleAtt,,0
8,LostTempleAtt,,0
9,LostTempleAtt,,0
10,LostTempleAtt,,0
11,LostTempleAtt,,0
12,LostTempleAtt,,0
13,LostTempleAtt,,10
14,LostTempleAtt,,15
15,LostTempleAtt,,20
16,LostTempleAtt,,25
0,LostTempleHp,光明神殿加生命百分比,0
1,LostTempleHp,,0
2,LostTempleHp,,0
3,LostTempleHp,,0
4,LostTempleHp,,0
5,LostTempleHp,,0
6,LostTempleHp,,0
7,LostTempleHp,,0
8,LostTempleHp,,0
9,LostTempleHp,,0
10,LostTempleHp,,0
11,LostTempleHp,,0
12,LostTempleHp,,0
13,LostTempleHp,,0
14,LostTempleHp,,0
15,LostTempleHp,,0
16,LostTempleHp,,0
0,FactionWarAtt,公会战加攻击百分比,0
1,FactionWarAtt,,0
2,FactionWarAtt,,0
3,FactionWarAtt,,0
4,FactionWarAtt,,0
5,FactionWarAtt,,0
6,FactionWarAtt,,0
7,FactionWarAtt,,0
8,FactionWarAtt,,0
9,FactionWarAtt,,0
10,FactionWarAtt,,0
11,FactionWarAtt,,0
12,FactionWarAtt,,0
13,FactionWarAtt,,10
14,FactionWarAtt,,15
15,FactionWarAtt,,20
16,FactionWarAtt,,25
0,FactionWarHp,公会战加生命百分比,0
1,FactionWarHp,,0
2,FactionWarHp,,0
3,FactionWarHp,,0
4,FactionWarHp,,0
5,FactionWarHp,,0
6,FactionWarHp,,0
7,FactionWarHp,,0
8,FactionWarHp,,0
9,FactionWarHp,,0
10,FactionWarHp,,0
11,FactionWarHp,,0
12,FactionWarHp,,0
13,FactionWarHp,,0
14,FactionWarHp,,0
15,FactionWarHp,,0
16,FactionWarHp,,0
0,RobberHangRatio,圣地挂机机率,0
1,RobberHangRatio,,0
2,RobberHangRatio,,0
3,RobberHangRatio,,0
4,RobberHangRatio,,0
5,RobberHangRatio,,0
6,RobberHangRatio,,0
7,RobberHangRatio,,0
8,RobberHangRatio,,0
9,RobberHangRatio,,0
10,RobberHangRatio,,0
11,RobberHangRatio,,0
12,RobberHangRatio,,0
13,RobberHangRatio,,0
14,RobberHangRatio,,0
15,RobberHangRatio,,0
16,RobberHangRatio,,0
0,RobberHangOfflineRatio,圣地离线挂机率减小,0.5
1,RobberHangOfflineRatio,,0.5
2,RobberHangOfflineRatio,,0.5
3,RobberHangOfflineRatio,,0.5
4,RobberHangOfflineRatio,,0.5
5,RobberHangOfflineRatio,,0.55
6,RobberHangOfflineRatio,,0.6
7,RobberHangOfflineRatio,,0.65
8,RobberHangOfflineRatio,,0.7
9,RobberHangOfflineRatio,,0.75
10,RobberHangOfflineRatio,,0.8
11,RobberHangOfflineRatio,,0.9
12,RobberHangOfflineRatio,,1
13,RobberHangOfflineRatio,,1
14,RobberHangOfflineRatio,,1
15,RobberHangOfflineRatio,,1
16,RobberHangOfflineRatio,,1
0,RobberHangOfflineTime,圣地离线挂机最大时间,1800
1,RobberHangOfflineTime,,3600
2,RobberHangOfflineTime,,5400
3,RobberHangOfflineTime,,5400
4,RobberHangOfflineTime,,5400
5,RobberHangOfflineTime,,7200
6,RobberHangOfflineTime,,7200
7,RobberHangOfflineTime,,7200
8,RobberHangOfflineTime,,9000
9,RobberHangOfflineTime,,10800
10,RobberHangOfflineTime,,12600
11,RobberHangOfflineTime,,14400
12,RobberHangOfflineTime,,16200
13,RobberHangOfflineTime,,18000
14,RobberHangOfflineTime,,19800
15,RobberHangOfflineTime,,21600
16,RobberHangOfflineTime,,23400
0,fengmo,封魔任务,0
1,fengmo,,1
2,fengmo,,1
3,fengmo,,1
4,fengmo,,1
5,fengmo,,1
6,fengmo,,1
7,fengmo,,1
8,fengmo,,1
9,fengmo,,1
10,fengmo,,1
11,fengmo,,1
12,fengmo,,1
13,fengmo,,1
14,fengmo,,1
15,fengmo,,1
16,fengmo,,1
0,rechargeMoney,银两兑换,0
1,rechargeMoney,,1
2,rechargeMoney,,3
3,rechargeMoney,,5
4,rechargeMoney,,7
5,rechargeMoney,,9
6,rechargeMoney,,11
7,rechargeMoney,,13
8,rechargeMoney,,15
9,rechargeMoney,,17
10,rechargeMoney,,19
11,rechargeMoney,,21
12,rechargeMoney,,23
13,rechargeMoney,,25
14,rechargeMoney,,27
15,rechargeMoney,,29
16,rechargeMoney,,31
17,rechargeMoney,,33
18,rechargeMoney,,35
19,rechargeMoney,,37
20,rechargeMoney,,39
0,TianNvOpen,女儿国王提前开启,7
0,buyChampionCount,竞技场购买次数,0
1,buyChampionCount,,1
2,buyChampionCount,,2
3,buyChampionCount,,3
4,buyChampionCount,,4
5,buyChampionCount,,5
6,buyChampionCount,,6
7,buyChampionCount,,7
8,buyChampionCount,,8
9,buyChampionCount,,9
10,buyChampionCount,,10
11,buyChampionCount,,11
12,buyChampionCount,,12
13,buyChampionCount,,13
14,buyChampionCount,,14
15,buyChampionCount,,15
16,buyChampionCount,,16
17,buyChampionCount,,17
18,buyChampionCount,,18
19,buyChampionCount,,19
20,buyChampionCount,,20
0,sweepMaterialBoss,材料副本扫荡次数,1
1,sweepMaterialBoss,,1
2,sweepMaterialBoss,,1
3,sweepMaterialBoss,,1
4,sweepMaterialBoss,,1
5,sweepMaterialBoss,,3
6,sweepMaterialBoss,,3
7,sweepMaterialBoss,,3
8,sweepMaterialBoss,,3
9,sweepMaterialBoss,,3
10,sweepMaterialBoss,,4
11,sweepMaterialBoss,,4
12,sweepMaterialBoss,,4
13,sweepMaterialBoss,,4
14,sweepMaterialBoss,,4
15,sweepMaterialBoss,,5
16,sweepMaterialBoss,,5
17,sweepMaterialBoss,,5
18,sweepMaterialBoss,,5
19,sweepMaterialBoss,,5
20,sweepMaterialBoss,,5
0,worldPlayerBossCount,世界BOSS次数,1
1,worldPlayerBossCount,,1
2,worldPlayerBossCount,,1
3,worldPlayerBossCount,,1
4,worldPlayerBossCount,,1
5,worldPlayerBossCount,,1
6,worldPlayerBossCount,,2
7,worldPlayerBossCount,,2
8,worldPlayerBossCount,,2
9,worldPlayerBossCount,,3
10,worldPlayerBossCount,,3
11,worldPlayerBossCount,,4
12,worldPlayerBossCount,,4
13,worldPlayerBossCount,,5
14,worldPlayerBossCount,,5
15,worldPlayerBossCount,,6
16,worldPlayerBossCount,,6
17,worldPlayerBossCount,,7
18,worldPlayerBossCount,,7
19,worldPlayerBossCount,,8
20,worldPlayerBossCount,,8
5,clubTaskReset,帮会任务重置次数,3
