#光效ID,光效名称,模型ID,绑定骨骼,绑定次序,音效,X坐标偏移（以站在左边的战斗角色为准）,Y坐标偏移,特效播放速度
Id_kn,Name_s,model_n,bindBone_s,bindOrder_n,sound_s,offx_n,offy_n,speed_n
10071,神武技能07,1071,,,,,,
10072,逍遥技能01,1072,,,,,,
10073,逍遥技能02,1073,,,,,,
10074,逍遥技能03,1074,,,,,,
10075,逍遥技能04,1075,,,,,,
10076,逍遥技能05,1076,,,,,,
10077,魔王技能01,1077,,,,,,
10078,魔王技能02,1078,,,,,,
10079,魔王技能03,1079,,,,,,
10080,魔王技能04,1080,,,,,,
10081,魔王技能05,1081,,,,,,
10082,爆炸,1082,,,,,,
10083,剑,1083,,,,,,
10084,飞剑,1084,,,,,,
10085,佛光,1085,,,,,,
10086,符咒,1086,,,,,,
10087,破龙击,1087,,,,,,
10088,水龙,1088,,,,,,
10089,无量剑,1089,,,,,,
10090,星光,1090,,,,,,
10091,玉女,1091,,,,,,
10092,冰锥,1092,,,,,,
10093,冰锥02,1093,,,,,,
10094,鬼魂,1094,,,,,,
10095,鬼魂02,1095,,,,,,
10096,鬼魂03,1096,,,,,,
10097,火柱,1097,,,,,,
10098,剑灵,1098,,,,,,
10099,酒葫芦,1099,,,,,,
10100,龙卷风,1100,,,,,,
10101,三味真火,1101,,,,,,
10102,下毒,1102,,,,,,
10103,越女剑,1103,,,,,,
10104,神武技能09,1104,,,,,,
10105,毒03,1105,,,,,,
10106,毒04,1106,,,,,,
10107,毒05,1107,,,,,,
10108,水06,1108,,,,,,
10109,不屈战魂,1109,,,,,,
10110,浪,1110,,,,,,
10111,绿风,1111,,,,,,
10112,施法旋风,1112,,,,,,
10113,施法01,1113,,,,,,
10114,施法旋风02,1114,,,,,,
10115,魔王技能06,1115,,,,,,
10116,魔王技能07,1116,,,,,,
10117,魔王技能08,1117,,,,,,
10118,连击,1118,,,,,,
10119,霸王拳,1119,,,,,,
10120,毒液02,1120,,,,,,
10121,毒液03,1121,,,,,,
10122,毒液04,1122,,,,,,
10123,毒液05,1123,,,,,,
10124,飞龙,1124,,,,,,
10125,佛门01,1125,,,,,,
10126,佛门02,1126,,,,,,
10127,光阵,1127,,,,,,
10128,光柱,1128,,,,,,
10129,花瓣,1129,,,,,,
10130,火焰,1130,,,,,,
10131,灵剑01,1131,,,,,,
10132,灵剑02,1132,,,,,,
10133,灵剑03,1133,,,,,,
10134,龙卷风02,1134,,,,,,
10135,劈刀,1135,,,,,,
10136,少林拳,1136,,,,,,
10137,水涡,1137,,,,,,
10138,无敌斩,1138,,,,,,
10139,罩子,1139,,,,,,
10140,飞刀,1140,,,,,,
10141,受击02,1141,,,,,,
10142,受击03,1142,,,,,,
10143,受击04,1143,,,,,,
10144,受击05,1144,,,,,,
10145,受击06,1145,,,,,,
10146,受击07,1146,,,,,,
10147,受击08,1147,,,,,,
10148,受击09,1148,,,,,,
10149,受击10,1149,,,,,,
10150,受击11,1150,,,,,,
10151,受击12,1151,,,,,,
10152,主角技能名01,1152,,,,,,
10153,主角技能名02,1153,,,,,,
10154,主角技能名03,1154,,,,,,
10155,主角技能名04,1155,,,,,,
10156,主角技能名05,1156,,,,,,
10157,主角技能名06,1157,,,,,,
10158,主角技能名07,1158,,,,,,
10159,主角技能名08,1159,,,,,,
10160,主角技能名09,1160,,,,,,
10161,主角技能名10,1161,,,,,,
10162,主角技能名11,1162,,,,,,
10163,主角技能名12,1163,,,,,,
10164,主角技能名13,1164,,,,,,
10165,主角技能名14,1165,,,,,,
10166,主角技能名15,1166,,,,,,
10167,神武技能10,1167,,,,,,
10168,神武技能11,1168,,,,,,
10169,冰柱,1169,,,,,,
10170,符咒击,1170,,,,,,
10171,符咒击02,1171,,,,,,
10172,鬼魂击02,1172,,,,,,
10173,鬼手击,1173,,,,,,
10174,火焰飞溅,1174,,,,,,
10175,狂风击,1175,,,,,,
10176,破击,1176,,,,,,
10177,狮子吼,1177,,,,,,
10178,锁链,1178,,,,,,
10179,八卦,1179,,,,,,
10180,冰柱阵,1180,,,,,,
10181,雷电击,1181,,,,,,
10182,鼎,1182,,,,,,
10183,鬼魂击,1183,,,,,,
10184,鬼手击02,1184,,,,,,
10185,鬼手击03,1185,,,,,,
10186,荷花击,1186,,,,,,
10187,黑风击,1187,,,,,,
10188,恐惧,1188,,,,,,
10189,狂风击,1189,,,,,,
10190,狂风击02,1190,,,,,,
10191,狂风击04,1191,,,,,,
10192,狂风击05,1192,,,,,,
10193,雷震子雷击,1193,,,,,,
10194,龙击03,1194,,,,,,
10195,圣水击,1195,,,,,,
10196,水爆击,1196,,,,,,
10197,树藤,1197,,,,,,
10198,塔,1198,,,,,,
10199,受击13,1199,,,,,,
10200,受击14,1200,,,,,,
10201,受击15,1201,,,,,,
10202,受击16,1202,,,,,,
10203,冰块,1203,,,,,,
10204,水技01,1204,,,,,,
10205,黑云雷击,1205,,,,,,
10206,水技02,1206,,,,,,
10207,猴子猴孙,1207,,,,,,
10208,猴子猴孙02,1208,,,,,,
10209,绿色受击,1209,,,,,,
10210,buff破甲,1210,center,,,,,
10211,buff伤害降低,1211,up,,,,,
10212,buff保护罩,1212,center,,,,,
10213,buff伤害提升,1213,up,,,,,
10214,buff眩晕,1214,up,,,,,
10215,元素击,1215,,,,,,
10216,连续爆击,1216,,,,,,
10217,佛光击,1217,,,,,,
10218,花击,1218,,,,,,
10219,光柱击,1219,,,,,,
10220,蓝色符咒,1220,,,,,,
10221,红色狂风,1221,,,,,,
10222,爆裂,1222,,,,,,
10223,冰封,1223,,,,,,
10224,地面半月,1224,,,,,,
10225,飞轮,1225,,,,,,
10226,魂飞魄散,1226,,,,,,
10227,剑击,1227,,,,,,
10228,冒火,1228,,,,,,
10229,冒火02,1229,,,,,,
10230,铁锤,1230,,,,,,
10231,万箭穿心,1231,,,,,,
10232,五雷01,1232,,,,,,
10233,五雷02,1233,,,,,,
10234,五雷03,1234,,,,,,
10235,五雷04,1235,,,,,,
10236,五雷05,1236,,,,,,
10237,山,1237,,,,,,
90002,通用死亡特效,9002,,,,,,
90003,抓宠特效,9003,,,,,,
90007,升级特效,9007,,,,,,
90008,强化特效,9008,,,,,,
90009,溶解特效,9009,,,,,,
90010,捕捉成功,9010,,,,,,
90011,朱果,9011,,,,,,
90012,蟠桃,9012,,,,,,
90013,人参果,9013,,,,,,
90014,押镖01,9014,,,,,,
90015,押镖02,9015,,,,,,
90016,押镖03,9016,,,,,,
90017,押镖04,9017,,,,,,
90018,押镖05,9018,,,,,,
90019,争霸宝箱01,9019,,,,,,
90020,争霸宝箱02,9020,,,,,,
90021,争霸宝箱03,9021,,,,,,
90022,争霸宝箱04,9022,,,,,,
90023,争霸人族基地,9023,,,,,,
90024,争霸仙族基地,9024,,,,,,
90025,争霸妖族基地,9025,,,,,,
90026,惊喜宝箱,9026,,,,,,
90027,钥匙,9027,,,,,,
202001,兽魂01,22001,,,,,,
202002,兽魂02,22002,,,,,,
202003,兽魂03,22003,,,,,,
202004,兽魂04,22004,,,,,,
202005,兽魂05,22005,,,,,,
202006,兽魂06,22006,,,,,,
202007,兽魂07,22007,,,,,,
202008,兽魂08,22008,,,,,,
202009,兽魂09,22009,,,,,,
202010,兽魂10,22010,,,,,,
202011,兽魂11,22011,,,,,,
202012,兽魂12,22012,,,,,,
202013,兽魂13,22013,,,,,,
202014,兽魂14,22014,,,,,,
202015,兽魂15,22015,,,,,,
102001,神武男初始武器,12001,,,,,,
102002,逍遥男初始武器,12002,,,,,,
102003,心魔男初始武器,12003,,,,,,
102004,男神兵1阶,12004,,,,,,
102005,男神兵2阶,12005,,,,,,
102006,男神兵3阶,12006,,,,,,
102007,男神兵4阶,12007,,,,,,
102008,男神兵5阶,12008,,,,,,
102009,男神兵6阶,12009,,,,,,
102010,男神兵7阶,12010,,,,,,
102011,男神兵8阶,12011,,,,,,
102012,男神兵9阶,12012,,,,,,
102013,男神兵10阶,12013,,,,,,
102101,神武女初始武器,12101,,,,,,
102102,逍遥女初始武器,12102,,,,,,
102103,心魔女初始武器,12103,,,,,,
102104,女神兵1阶,12104,,,,,,
102105,女神兵2阶,12105,,,,,,
102106,女神兵3阶,12106,,,,,,
102107,女神兵4阶,12107,,,,,,
102108,女神兵5阶,12108,,,,,,
102109,女神兵6阶,12109,,,,,,
102110,女神兵7阶,12110,,,,,,
102111,女神兵8阶,12111,,,,,,
102112,女神兵9阶,12112,,,,,,
102113,女神兵10阶,12113,,,,,,
600001,男神兵皮肤01,60001,,,,,,
600002,男神兵皮肤02,60002,,,,,,
600003,男神兵皮肤03,60003,,,,,,
600004,男神兵皮肤04,60004,,,,,,
600005,男神兵皮肤05,60005,,,,,,
600006,男神兵皮肤06,60006,,,,,,
600007,男神兵皮肤07,60007,,,,,,
600008,男神兵皮肤08,60008,,,,,,
600009,男神兵皮肤09,60009,,,,,,
600010,男神兵皮肤10,60010,,,,,,
601001,女神兵皮肤01,61001,,,,,,
601002,女神兵皮肤02,61002,,,,,,
601003,女神兵皮肤03,61003,,,,,,
601004,女神兵皮肤04,61004,,,,,,
601005,女神兵皮肤05,61005,,,,,,
601006,女神兵皮肤06,61006,,,,,,
601007,女神兵皮肤07,61007,,,,,,
601008,女神兵皮肤08,61008,,,,,,
601009,女神兵皮肤09,61009,,,,,,
601010,女神兵皮肤10,61010,,,,,,
103001,翅膀1阶,13001,,,,,,
103002,翅膀2阶,13002,,,,,,
103003,翅膀3阶,13003,,,,,,
103004,翅膀4阶,13004,,,,,,
103005,翅膀5阶,13005,,,,,,
103006,翅膀6阶,13006,,,,,,
103007,翅膀7阶,13007,,,,,,
103008,翅膀8阶,13008,,,,,,
103009,翅膀9阶,13009,,,,,,
103010,翅膀10阶,13010,,,,,,
103011,翅膀11阶,13011,,,,,,
103012,翅膀12阶,13012,,,,,,
105001,坐骑1阶,15001,,,,,,
105002,坐骑2阶,15002,,,,,,
105003,坐骑3阶,15003,,,,,,
105004,坐骑4阶,15004,,,,,,
105005,坐骑5阶,15005,,,,,,
105006,坐骑6阶,15006,,,,,,
105007,坐骑7阶,15007,,,,,,
105008,坐骑8阶,15008,,,,,,
105009,坐骑9阶,15009,,,,,,
105010,坐骑10阶,15010,,,,,,
300001,坐骑皮肤1,30001,,,,,,
300002,坐骑皮肤2,30002,,,,,,
300003,坐骑皮肤3,30003,,,,,,
300004,坐骑皮肤4,30004,,,,,,
300005,坐骑皮肤5,30005,,,,,,
300006,坐骑皮肤6,30006,,,,,,
300007,坐骑皮肤7,30007,,,,,,
300008,坐骑皮肤六彩神鹿,30008,,,,,,
205001,女儿国王花撵01,25001,,,,,,
205002,女儿国王花撵02,25002,,,,,,
205003,女儿国王花撵03,25003,,,,,,
205004,女儿国王花撵04,25004,,,,,,
205005,女儿国王花撵05,25005,,,,,,
205006,女儿国王花撵06,25006,,,,,,
205007,女儿国王花撵07,25007,,,,,,
205008,女儿国王花撵08,25008,,,,,,
205009,女儿国王花撵09,25009,,,,,,
205010,女儿国王花撵10,25010,,,,,,
205011,女儿国王花撵11,25011,,,,,,
205012,女儿国王花撵12,25012,,,,,,
205013,女儿国王花撵13,25013,,,,,,
205014,女儿国王花撵14,25014,,,,,,
205015,女儿国王花撵15,25015,,,,,,
206001,女儿国王灵气01,26001,,,,,,
206002,女儿国王灵气02,26002,,,,,,
206003,女儿国王灵气03,26003,,,,,,
206004,女儿国王灵气04,26004,,,,,,
206005,女儿国王灵气05,26005,,,,,,
206006,女儿国王灵气06,26006,,,,,,
206007,女儿国王灵气07,26007,,,,,,
206008,女儿国王灵气08,26008,,,,,,
206009,女儿国王灵气09,26009,,,,,,
206010,女儿国王灵气10,26010,,,,,,
206011,女儿国王灵气11,26011,,,,,,
206012,女儿国王灵气12,26012,,,,,,
206013,女儿国王灵气13,26013,,,,,,
206014,女儿国王灵气14,26014,,,,,,
206015,女儿国王灵气15,26015,,,,,,
400001,翅膀皮肤01,40001,,,,,,
400002,翅膀皮肤02,40002,,,,,,
400003,翅膀皮肤03,40003,,,,,,
400004,翅膀皮肤04,40004,,,,,,
108001,法阵1阶,18001,,,,,,
108002,法阵2阶,18002,,,,,,
108003,法阵3阶,18003,,,,,,
108004,法阵4阶,18004,,,,,,
108005,法阵5阶,18005,,,,,,
108006,法阵6阶,18006,,,,,,
108007,法阵7阶,18007,,,,,,
108008,法阵8阶,18008,,,,,,
108009,法阵9阶,18009,,,,,,
108010,法阵10阶,18010,,,,,,
108011,法阵11阶,18011,,,,,,
108012,法阵12阶,18012,,,,,,
108013,法阵13阶,18013,,,,,,
108014,法阵14阶,18014,,,,,,
108015,法阵15阶,18015,,,,,,
900010,男时装01,90010,,,,,,
900011,男时装02,90011,,,,,,
900012,男时装03,90012,,,,,,
900013,男时装04,90013,,,,,,
900014,男时装05,90014,,,,,,
900015,男时装06,90015,,,,,,
900016,男时装07,90016,,,,,,
900017,男时装08,90017,,,,,,
901010,女时装01,91010,,,,,,
901011,女时装02,91011,,,,,,
901012,女时装03,91012,,,,,,
901013,女时装04,91013,,,,,,
901014,女时装05,91014,,,,,,
901015,女时装06,91015,,,,,,
901016,女时装07,91016,,,,,,
901017,女时装08,91017,,,,,,
90030,灯笼,9030,,,,,,
90031,聚集能量白色,9031,,,,,,
90036,云雾妖气,9036,,,,,,
90038,飞升,9038,,,,,,
90039,聚集能量绿色,9039,,,,,,
90040,聚集能量蓝色,9040,,,,,,
90041,聚集能量紫色,9041,,,,,,
90042,聚集能量金色,9042,,,,,,
