#key,value(根据每个参数的type不同，来定义不同关键字的内容)
key_s,value_t
ts,"['type']=1, ['font']='ht_20_cc', ['color'] = 'chartreuse'"
nl,"['type']=1, ['font']='ht_20_cc', ['color'] = 'yellow'"
il,"['type']=1, ['font']='ht_20_cc', ['color'] = 'yellow'"
pl,"['type']=1, ['font']='ht_20_cc', ['color'] = 'yellow'"
gold,"['type']=1, ['font']='ht_20_cc', ['color'] = 'gold' "
watchet,"['type']=1, ['font']='ht_20_cc', ['color'] = 'lightskyblue'"
khaki,"['type']=1, ['font']='ht_20_cc', ['color'] = 'khaki'"
darkturquoise,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkturquoise'"
lightslategray,"['type']=1, ['font']='ht_20_cc', ['color'] = 'lightslategray'"
cyan,"['type']=1, ['font']='ht_20_cc', ['color'] = 'cyan'"
lime,"['type']=1, ['font']='ht_20_cc', ['color'] = 'lime'"
beige,"['type']=1, ['font']='ht_20_cc', ['color'] = 'beige'"
navajowhite,"['type']=1, ['font']='ht_20_cc', ['color'] = 'navajowhite'"
darksalmon,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darksalmon'"
ublack,"['type']=1, ['font']='ht_20_cc', ['color'] = 'ublack'"
brown,"['type']=1, ['font']='ht_20_cc', ['color'] = 'brown'"
fuchsia,"['type']=1, ['font']='ht_20_cc', ['color'] = 'fuchsia'"
zongse,"['type']=1, ['font']='ht_20_cc', ['color'] = 'zongse'"
saddlebrown,"['type']=1, ['font']='ht_20_cc', ['color'] = 'saddlebrown'"
gray,"['type']=1, ['font']='ht_20_cc', ['color'] = 'gray'"
purple,"['type']=1, ['font']='ht_20_cc', ['color'] = 'purple'"
aliceblue,"['type']=1, ['font']='ht_20_cc', ['color'] = 'aliceblue'"
royalblue,"['type']=1, ['font']='ht_20_cc', ['color'] = 'royalblue'"
darkviolet,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkviolet'"
darkgoldenrod,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkgoldenrod'"
firebrick,"['type']=1, ['font']='ht_20_cc', ['color'] = 'firebrick'"
darkgreen,"['type']=1, ['font']='ht_20_cc', ['color'] = 'darkgreen'"
lightsalmon,"['type']=1, ['font']='ht_20_cc', ['color'] = 'lightsalmon'"

#表情,
#1,"['type']=3, ['anim_name']='lt_biaoQingIcon01'"
1,"['type']=2, ['name']='biaoQing01'"
2,"['type']=2, ['name']='biaoQing02'"
3,"['type']=2, ['name']='biaoQing03'"
4,"['type']=2, ['name']='biaoQing04'"
5,"['type']=2, ['name']='biaoQing05'"
6,"['type']=2, ['name']='biaoQing06'"
7,"['type']=2, ['name']='biaoQing07'"
8,"['type']=2, ['name']='biaoQing08'"
9,"['type']=2, ['name']='biaoQing09'"
10,"['type']=2, ['name']='biaoQing10'"
11,"['type']=2, ['name']='biaoQing11'"
12,"['type']=2, ['name']='biaoQing12'"
13,"['type']=2, ['name']='biaoQing13'"
14,"['type']=2, ['name']='biaoQing14'"
15,"['type']=2, ['name']='biaoQing15'"
16,"['type']=2, ['name']='biaoQing16'"
17,"['type']=2, ['name']='biaoQing17'"
18,"['type']=2, ['name']='biaoQing18'"
19,"['type']=2, ['name']='biaoQing19'"
20,"['type']=2, ['name']='biaoQing20'"
#保存字体,
SF,['type']=6
sf,['type']=6
#恢复字体,
RF,['type']=7
rf,['type']=7
#换行,
br,['type']=8
#空格,
little_space,"['type']=9,['hor_blank']=2 "
one_px_space,"['type']=9,['hor_blank']=1 "
space_10,"['type']=9,['hor_blank']=10 "
space,"['type']=9,['hor_blank']=26 "
space_40,"['type']=9,['hor_blank']=40 "
space_55,"['type']=9,['hor_blank']=55 "
space_85,"['type']=9,['hor_blank']=85 "
space_100,"['type']=9,['hor_blank']=100 "
space_ten,"['type']=9,['hor_blank']=10 "
#图片,
JINBI,"['type']=2, ['name']='ty_jinBiIcon01'"
BIND_YUANBAO,"['type']=2, ['name']='ty_banYinIcon01'"
YUANBAO,"['type']=2, ['name']='ty_zuanShiIcon01'"
HONGDIAN,"['type']=2, ['name']='zjm_hongDian01'"
JJC_POINT,"['type']=2, ['name']='ty_xiaoIcon10'"
JIE_SUO,"['type']=2, ['name']='cw_jiNengSuo02'"
SUO1,"['type']=2, ['name']='cw_jiNengSuo03'"
SUO2,"['type']=2, ['name']='cw_jiNengSuo04'"
STAR,"['type']=2, ['name']='ty_star01'"
STAR_DI,"['type']=2, ['name']='ty_starDi01'"
JIA,"['type']=2, ['name']='ty_xiaoIcon02'"
BANG_GONG,"['type']=2, ['name']='ty_xiaoIcon06'"
WIN,"['type']=2, ['name']='jj_text02'"
LOST,"['type']=2, ['name']='jj_text03'"
JIANTOU,"['type']=2, ['name']='sz_jianTou01'"
JIANTOU_UP,"['type']=2, ['name']='ty_tiShengJianTou02'"
JUDIAN_ZL_ICON1,"['type']=2, ['name']='pf_zhanLingIcon01'"
JUDIAN_ZL_ICON2,"['type']=2, ['name']='pf_zhanLingIcon02'"
#VIP,
VIP0,"['type']=2, ['name']='vipLv00'"
VIP1,"['type']=2, ['name']='vipLv01'"
VIP2,"['type']=2, ['name']='vipLv02'"
VIP3,"['type']=2, ['name']='vipLv03'"
VIP4,"['type']=2, ['name']='vipLv04'"
VIP5,"['type']=2, ['name']='vipLv05'"
VIP6,"['type']=2, ['name']='vipLv06'"
VIP7,"['type']=2, ['name']='vipLv07'"
VIP8,"['type']=2, ['name']='vipLv08'"
VIP9,"['type']=2, ['name']='vipLv09'"
VIP10,"['type']=2, ['name']='vipLv10'"
#设置,
HIDEPLAYER,"['type']=2, ['name']='sz_szIcon01'"
APPLYFRIEND,"['type']=2, ['name']='sz_szIcon02'"
SOUND,"['type']=2, ['name']='sz_szIcon03'"
MUSIC,"['type']=2, ['name']='sz_szIcon04'"
FLOWER,"['type']=2, ['name']='grzy_icon_hua02'"
THREE_HEART,"['type']=2, ['name']='fbyq_icon_aiXin'"
QINGPINGGUO_XIAO,"['type']=2, ['name']='ty_jingYanIcon01'"
ZSZZ_POINT,"['type']=2, ['name']='zszz_rongYuIcon'"
VOICE_ICON_LEFT,"['type']=2, ['name']='hy_yuYinIcon'"
VOICE_ICON_RIGHT,"['type']=2, ['name']='hy_yuYinIcon02'"
#宠物五行
WUXING_JIN,"['type']=2, ['name']='cw_shuXing01'"
WUXING_MU,"['type']=2, ['name']='cw_shuXing02'"
WUXING_SHUI,"['type']=2, ['name']='cw_shuXing03'"
WUXING_HUO,"['type']=2, ['name']='cw_shuXing04'"
WUXING_TU,"['type']=2, ['name']='cw_shuXing05'"
#宠物品质
PET_R,"['type']=2, ['name']='ty_pinZhi01'"
PET_SR,"['type']=2, ['name']='ty_pinZhi02'"
PET_SSR,"['type']=2, ['name']='ty_pinZhi03'"
PET_SSSR,"['type']=2, ['name']='ty_pinZhi04'"
PET_SSSSR,"['type']=2, ['name']='ty_pinZhi05'"
#材料
LINGQI_DAN,"['type']=2, ['name']='ty_xiaoIcon29'"
HUANIAN_DAN,"['type']=2, ['name']='ty_xiaoIcon28'"
XIANQI_DAN,"['type']=2, ['name']='ty_xiaoIcon27'"
TIANNV_DAN,"['type']=2, ['name']='ty_xiaoIcon26'"
SHOUHUN_DAN,"['type']=2, ['name']='ty_xiaoIcon25'"
TONGLING_DAN,"['type']=2, ['name']='ty_xiaoIcon24'"
CHONGWU_DAN,"['type']=2, ['name']='ty_xiaoIcon23'"
XIANWEI_DAN,"['type']=2, ['name']='ty_xiaoIcon22'"
FAZHEN_DAN,"['type']=2, ['name']='ty_xiaoIcon21'"
XIANLV_DAN,"['type']=2, ['name']='ty_xiaoIcon20'"
SHENBIN_DAN,"['type']=2, ['name']='ty_xiaoIcon19'"
TIANXIAN_DAN,"['type']=2, ['name']='ty_xiaoIcon18'"
CHIBANG_DAN,"['type']=2, ['name']='ty_xiaoIcon17'"
ZUOQI_DAN,"['type']=2, ['name']='ty_xiaoIcon16'"
TUPO_DAN,"['type']=2, ['name']='ty_xiaoIcon15'"
JINGMAI_DAN,"['type']=2, ['name']='ty_xiaoIcon14'"
BAOSHI,"['type']=2, ['name']='ty_xiaoIcon13'"
DUANZAO,"['type']=2, ['name']='ty_xiaoIcon12'"
JINGLIAN,"['type']=2, ['name']='ty_xiaoIcon11'"
MATERIAL_20001,"['type']=2, ['name']='ty_xiaoIcon16'"
MATERIAL_20004,"['type']=2, ['name']='ty_xiaoIcon17'"
MATERIAL_20005,"['type']=2, ['name']='ty_xiaoIcon21'"
MATERIAL_20006,"['type']=2, ['name']='ty_xiaoIcon22'"
JINGMAI_WHOLE,"['type']=2, ['name']='ty_xiaoIcon14'"
JINGMAI_SONE,"['type']=2, ['name']='ty_xiaoIcon15'"
GONGXUN,"['type']=2, ['name']='ty_xiaoIcon10'"
WEIWANG,"['type']=2, ['name']='ty_xiaoIcon09'"
YOUQINGBI,"['type']=2, ['name']='ty_xiaoIcon08'"
PIFU_SUIPIAN,"['type']=2, ['name']='ty_xiaoIcon07'"
BANGGONG,"['type']=2, ['name']='ty_xiaoIcon06'"
JINZHUANG_SUIPIAN,"['type']=2, ['name']='ty_xiaoIcon05'"
SHENGZHUANG_SUIPIAN,"['type']=2, ['name']='ty_xiaoIcon38'"
XIANLVLIN,"['type']=2, ['name']='ty_xiaoIcon04'"
HUANSHOULIN,"['type']=2, ['name']='ty_xiaoIcon03'"
YINLIANGLIN,"['type']=2, ['name']='ty_xiaoIcon01'"
PUTONG_JINENGSHI,"['type']=2, ['name']='ty_xiaoIcon35'"
TESHU_JINENGSHI,"['type']=2, ['name']='ty_xiaoIcon36'"
GANTANHAO,"['type']=2, ['name']='zjm_hongDian01'"
DIYI,"['type']=2, ['name']='ty_xiaoIcon47'"
SHENZHUANG,"['type']=2, ['name']='ty_xiaoIcon38'"
SHILIANSHI,"['type']=2, ['name']='ty_xiaoIcon40'"
SHUXINGSHILIANSHI,"['type']=2, ['name']='ty_xiaoIcon39'"
TISHENG,"['type']=2, ['name']='ty_tiShengJianTou'"
LIANYAOHU,"['type']=2, ['name']='ty_xiaoIcon44'"
EXP,"['type']=2, ['name']='ty_xiaoIcon45'"
JIANTOU,"['type']=2, ['name']='sz_jianTou01'"
BIAOCHE_LING,"['type']=2, ['name']='ty_xiaoIcon48'"
HUNBI,"['type']=2, ['name']='ty_xiaoIcon49'"
