索引ID,添加叹号的路径,红点检查事件,红点检查参数,手动关闭红点,特效表现（不填默认红点）,描述,
12,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/dohailonggong""",event_copy_dragonprize,"[""type""]=""sixStar"",[""checkLevel""]=30",,,秘境宝藏领奖,
13,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/dohailonggong""",event_copy_dragonprize,"[""type""]=""twelve"",[""checkLevel""]=30",,,秘境宝藏领奖,
14,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/dohailonggong""",event_copy_dragonprize,"[""type""]=""eighteen"",[""checkLevel""]=30",,,秘境宝藏领奖,
15,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/tiantingshilian""",event_copy_heavenprize,["checkLevel"]=55,,,天庭试练领奖,
16,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/boss_btn_img"",""BossMainFrame/bottom_group_root/bottom_group/yewaiBOSS""",event_boss_wild,["checkLevel"]=70,,,野外BOSS,
#,,,,,,,
100,"""ForgeFrame/group_radio/bottom_group/strengthen"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_qianghua,"[""itemId""]=1,[""type""]= 1",,,,锻造强化
101,"""ForgeFrame/group_radio/bottom_group/refine"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_jinglian,"[""itemId""]=60001,[""type""]=2",,,锻造精炼,
102,"""ForgeFrame/group_radio/bottom_group/duanZao"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_duanlian,"[""itemId""]=60002,[""type""]=3",,,锻造锻炼,
103,"""ForgeFrame/group_radio/bottom_group/baoShi"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_baoshi,"[""itemId""]=60003,[""type""]=4",,,锻造宝石,
104,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/btn_Echange"",""MainFrame/bottom_group/scene_group/tab2""",event_role_equip_tips,,,,角色装备,
105,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/chenghao"",""RoleFATFrame/container/group/chenghao"",""MainFrame/bottom_group/scene_group/tab2""",event_role_title_tips,"[""type""]=1,[""checkLevel""]=25",,,角色称号,
106,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/shizhuang"",""RoleFATFrame/container/group/shizhuang"",""MainFrame/bottom_group/scene_group/tab2""",event_role_fashion_tips,"[""type""]=2,[""checkLevel""]=40",,,角色时装,
107,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Ebottom/bt_E_levelUp"",""MainFrame/bottom_group/scene_group/tab2""",event_role_upgrade_tips,,,,角色升级,
108,"""RoleFrame/group_bottom/group/skills"",""MainFrame/bottom_group/scene_group/tab2""",event_role_skill,,,,角色技能,
109,"""XianLvFrame/group_xianLv/upgrade_wnd/btn_up1"",""XianLvFrame/group_xianLv/upgrade_wnd/btn_autoUp1""",event_xianlv_upgrade,["checkLevel"]=20,,,仙君升阶,
110,"""XianLvFrame/group_xianLv/up_star_wnd/btn_shengXing""",event_xianlv_upstart,["checkLevel"]=20,,,仙君升星,
111,"""XianLvFrame/bottom_group/xianLv"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_total_upgrade,["checkLevel"]=20,,,仙君升阶外面的,
112,"""XianLvFrame/bottom_group/shengXing"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_total_upstart,["checkLevel"]=20,,,仙君升星外面的,
113,"""XianLvFrame/group_xianLv/unlock_wnd/group_unlock/btn_jiHuo"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_jihuo,["checkLevel"]=20,,,仙君激活,
114,"""MainContentFrame/activity_wnd/dynamic_richang"",""DailyFrame/bottom_group/tab0""",event_daily_xiangyao,["checkLevel"]=40,,,日常降妖,
115,"""MainContentFrame/activity_wnd/dynamic_richang"",""DailyFrame/bottom_group/group_zudui/tab1""",event_daily_zudui,["checkLevel"]=40,,,日常组队,
116,"""MainContentFrame/activity_wnd/dynamic_richang"",""DailyFrame/bottom_group/tab2""",event_daily_sanbai,["checkLevel"]=40,,,日常三百,
117,"""MainContentFrame/activity_wnd/dynamic_richang"",""DailyFrame/bottom_group/xiyoulilian"",""DailyFrame/group_xiYou/btn_upgrade""",event_daily_lilian,["checkLevel"]=45,,,日常历练,
118,"""RoleFrame/group_bottom/group/equips"",""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_equips/group_Etop/fabao1"",""RoleFaBaoFrame/group_bottom/group/fabao1""",event_fabao_fabao,"[""checkLevel""]=120",,,角色法宝,
119,"""RoleFrame/group_bottom/group/equips"",""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_equips/group_Etop/fabao1"",""RoleFaBaoFrame/group_bottom/group/tab_2""",event_fabao_upgrade,"[""checkLevel""]=120",,,法宝升级,
120,"""RoleFrame/group_bottom/group/equips"",""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_equips/group_Etop/fabao1"",""RoleFaBaoFrame/group_bottom/group/tab_3"",""RoleFaBaoFrame/group_dazao/dazao_putong/btn_putong""",event_fabao_dazao_putong,"[""checkLevel""]=120",,,法宝打造普通,
121,"""RoleFrame/group_bottom/group/equips"",""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_equips/group_Etop/fabao1"",""RoleFaBaoFrame/group_bottom/group/tab_3"",""RoleFaBaoFrame/group_dazao/dazao_wanmei/btn_wanmei""",event_fabao_dazao_wanmei,"[""checkLevel""]=120",,,法宝打造完美,
122,"""RoleFrame/group_bottom/group/equips"",""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_equips/group_Etop/fabao1"",""RoleFaBaoFrame/group_bottom/group/tab_4""",event_fabao_fenjie,"[""checkVIP""]=7,[""checkLevel""]=120",,,法宝分解,
123,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianLv""",event_xianlv_total_jihuo,["checkLevel"]=20,,,仙君激活外面的,
124,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianLv""",event_xianlv_total_fight,["checkLevel"]=20,,,仙君出站外面的,
125,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/danyao""",event_tianxian_daoyao,["checkLevel"]=60,,,天仙丹药,
126,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/jingmai""",event_tianxian_jingmai,["checkLevel"]=95,,,天仙经脉,
127,"""XianLvFrame/group_xianLv/state_btn""",event_xianlv_fight,["checkLevel"]=20,,,仙君出站,
128,"""ShopEquipFrame/bottom_group/tab2"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_equip""",event_shop_unlock_tips,"[""shopEntry""]=17,[""checkLevel""]=40",,,雷音商店,
129,"""ShopEquipFrame/bottom_group/tab3"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_equip""",event_shop_unlock_tips,"[""shopEntry""]=18,[""checkLevel""]=40",,,帮会商店,
130,"""ShopEquipFrame/bottom_group/tab4"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_equip""",event_shop_unlock_tips,"[""shopEntry""]=19,[""checkLevel""]=40",,,帮会福利,
132,"""ShopJingJiFrame/bottom_group/tab2"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_jingji""",event_shop_unlock_tips,"[""shopEntry""]=25,[""checkLevel""]=20",,,竞技福利,
133,"""ShopJingJiFrame/bottom_group/tab3"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_jingji""",event_shop_unlock_tips,"[""shopEntry""]=26,[""checkLevel""]=45",,,押镖商店,
134,"""ShopJingJiFrame/bottom_group/tab4"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_jingji""",event_shop_unlock_tips,"[""shopEntry""]=27,[""checkLevel""]=20",,,答题商店,
135,"""CopyMainFrame/cailiao_group/cailiao_shop""",event_shop_unlock_tips,"[""shopEntry""]=31,[""checkLevel""]=20",,,材料商店,
136,"""BossMainFrame/geren_group/geren_shop""",event_shop_unlock_tips,"[""shopEntry""]=28,[""checkLevel""]=20",,,个人BOSS商店,
137,"""BossMainFrame/quanmin_group/quanmin_shop""",event_shop_unlock_tips,"[""shopEntry""]=29,[""checkLevel""]=20",,,全名BOSS商店,
138,"""BossMainFrame/jie_group/jie_shop""",event_shop_unlock_tips,"[""shopEntry""]=30,[""checkLevel""]=20",,,生死劫商店,
139,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_skin,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
140,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_skin,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
141,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_skin,"[""type""]=14,[""checkLevel""]=50",,,天仙,
142,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_skin,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
143,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_skin,"[""type""]=18,[""checkLevel""]=100",,,女儿国王,
144,"""ShopEquipFrame/bottom_group/tab1"",""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_equip"",""ShopEquipFrame/cost_group/group_access""",event_shop_gold_smelt,["checkLevel"]=40,,,金装分解,
145,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg104/dynamicButotn104"",""CarnivalFrame/group_act/scroll/scroll_group/group0/_btn28""",event_carnival_upgrade,"[""activityIndex""]=28,[""checkLevel""]=20",,,狂欢进阶A,
146,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg104/dynamicButotn104"",""CarnivalFrame/group_act/scroll/scroll_group/group1/_btn29""",event_carnival_upgrade,"[""activityIndex""]=29,[""checkLevel""]=20",,,狂欢进阶B,
147,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg104/dynamicButotn104"",""CarnivalFrame/group_act/scroll/scroll_group/group4/_btn36""",event_carnival_upgrade,"[""activityIndex""]=36,[""checkLevel""]=20",,,累计充值,
148,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_stage_level_up,,,,新服进阶活动,
149,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_all_stage_up,,,,开服全民进阶活动,
150,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_all_buy,,,,开服全名团购,
#151,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_shop_discount,,,,开服折扣商店,
152,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_mixaccu_recharge,,,,开服累充,
153,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_all_level_up,,,,全民升级,
154,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103"",""MainCityFrame/group_actList/bg39/dynamicButotn39""",event_new_inst_zones,,"[""hide""]=""OpenServerMainFrame""",,升级副本,
155,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg103/dynamicButotn103""",event_new_mission,,,,龙宫章节,
156,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/activity_btn_img"",""ActivityListFrame/scroll_wnd/scroll/scroll_group/group1/group1_group/group1_go_btn"", ""EscortFrame/escort/btn_escort""",event_husong_tips,"[""checkLevel""]=45",,,押镖,
157,"""MainContentFrame/activity_wnd/dynamic_beibao"",""ItemBeiBaoFrame/group_bottom/props""",event_beibao_tips,,,,背包可用物品,
159,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/cross_btn_img""",event_cross_team,,,,跨服组队,
160,"""BossBefallFrame/jie_shop_btn""",event_shop_unlock_tips,"[""shopEntry""]=30,[""checkLevel""]=20",,,生死劫商店,
161,"""MainCityFrame/build_wnd/boss_btn_img"",""MainFrame/bottom_group/scene_group/tab1"",""BossMainFrame/bottom_group_root/bottom_group/shengsijie""",event_befall_sweep,,,,生死劫扫荡,
162,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg107/dynamicButotn107"",""LuckyPrizeFrame/top_scroll/scroll/scroll_group/group0/group0_btn""",event_lucky_prize_tips,,,,幸运好礼,
163,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/champion_btn_img"",""ChampionFrame/group_bottom/group/peerless"",""ChampionFrame/peerless_wnd/part_register/btn_baoming"",""MainContentFrame/btn_txdy""",event_peerless_tips,"[""checkLevel""]=120",,,天下第一,
164,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg104/dynamicButotn104"",""MainCityFrame/group_actList/bg54/dynamicButotn54"",""CarnivalFrame/group_act/scroll/scroll_group/group5/_btn54""",event_nor_inst_zones,"[""activityIndex""]=54,[""checkLevel""]=20","[""hide""]=""CarnivalFrame""",,狂欢副本,
165,"""MainCityFrame/build_wnd/btn_xingling""",event_always_show,"[""xingling""]=5, [""checkLevel""]=85","[""show""]=""XingLingFrame"", [""times""]=1",,星灵,
166,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/shop_group/btn_equip""",event_shop_equip_tips,"[""entryList""]= {6,7,8}",,,装备金装,
167,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/btn_shenhun"", ""ShenHunFrame/btn_liehun""",event_shenhun_hunbi,"[""checkLevel""] = 85",,,猎魂魂币,
168,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/btn_shenhun""",event_shenhun_jianke,"[""checkLevel""] = 85",,,神魂镌刻,
#,,,,,,,
200,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_dan,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
201,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_dan,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
202,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_dan,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
203,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_dan,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
204,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_dan,"[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
205,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_dan,"[""type""]=13,[""checkLevel""]=78",,,仙君神位,
206,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_dan,"[""type""]=14,[""checkLevel""]=50",,,天仙,
207,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_dan,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
208,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_dan,"[""type""]=18,[""checkLevel""]=100",,,女儿国王,
209,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/xianqi""",event_fun_dan,"[""type""]=19,[""checkLevel""]=105",,,女儿国王仙器,
210,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/huanian""",event_fun_dan,"[""type""]=20,[""checkLevel""]=110",,,女儿国王花撵,
211,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/lingqi""",event_fun_dan,"[""type""]=21,[""checkLevel""]=115",,,女儿国王灵气,
#,,,,,,,
212,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_equip,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
213,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_equip,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
214,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_equip,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
215,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_equip,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
216,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_equip,"[""itemId""]=60035,[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
217,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_equip,"[""itemId""]=60036,[""type""]=13,[""checkLevel""]=78",,,仙君神位,
218,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_equip,"[""itemId""]=60039,[""type""]=14,[""checkLevel""]=50",,,天仙,
219,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_equip,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
220,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_equip,"[""itemId""]=60041,[""type""]=18,[""checkLevel""]=100",,,女儿国王,
221,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/xianqi""",event_fun_equip,"[""itemId""]=60042,[""type""]=19,[""checkLevel""]=105",,,女儿国王仙器,
222,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/huanian""",event_fun_equip,"[""itemId""]=60043,[""type""]=20,[""checkLevel""]=110",,,女儿国王花撵,
223,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/lingqi""",event_fun_equip,"[""itemId""]=60044,[""type""]=21,[""checkLevel""]=115",,,女儿国王灵气,
#,,,,,,,
224,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_skill,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
225,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_skill,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
226,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_skill,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
227,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_skill,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
228,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_skill,"[""itemId""]=60035,[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
229,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_skill,"[""itemId""]=60036,[""type""]=13,[""checkLevel""]=78",,,仙君神位,
230,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_skill,"[""itemId""]=60039,[""type""]=14,[""checkLevel""]=50",,,天仙,
231,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_skill,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
232,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_skill,"[""itemId""]=60041,[""type""]=18,[""checkLevel""]=100",,,女儿国王,
233,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/xianqi""",event_fun_skill,"[""itemId""]=60042,[""type""]=19,[""checkLevel""]=105",,,女儿国王仙器,
234,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/huanian""",event_fun_skill,"[""itemId""]=60043,[""type""]=20,[""checkLevel""]=110",,,女儿国王花撵,
235,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/lingqi""",event_fun_skill,"[""itemId""]=60044,[""type""]=21,[""checkLevel""]=115",,,女儿国王灵气,
#,,,,,,,
236,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_upgrade,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
237,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_upgrade,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
238,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_upgrade,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
239,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_upgrade,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
240,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_upgrade,"[""itemId""]=60035,[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
241,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_upgrade,"[""itemId""]=60036,[""type""]=13,[""checkLevel""]=78",,,仙君神位,
242,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_upgrade,"[""itemId""]=60039,[""type""]=14,[""checkLevel""]=50",,,天仙,
243,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_upgrade,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
244,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_upgrade,"[""itemId""]=60041,[""type""]=18,[""checkLevel""]=100",,,女儿国王,
245,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/xianqi""",event_fun_upgrade,"[""itemId""]=60042,[""type""]=19,[""checkLevel""]=105",,,女儿国王仙器,
246,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/huanian""",event_fun_upgrade,"[""itemId""]=60043,[""type""]=20,[""checkLevel""]=110",,,女儿国王花撵,
