#name,x,y,w,h,filename,refname
name_ks,x_n,y_n,w_n,h_n,filename_s,refname_s
sss_fangWu03,0,0,595,529,ui/image/sanShengSanShi/sss_fangWu03.png,
sjdt_diTuDi01,0,0,1024,515,ui/image/shiJieDiTu/sjdt_diTuDi01.jpg,
sjdt_diTuDi02,0,0,1024,515,ui/image/shiJieDiTu/sjdt_diTuDi02.jpg,
sjdt_diTuDi03,0,0,802,515,ui/image/shiJieDiTu/sjdt_diTuDi03.jpg,
sjdt_icon01,0,0,162,158,ui/image/shiJieDiTu/sjdt_icon01.png,
sjdt_icon02,0,0,152,126,ui/image/shiJieDiTu/sjdt_icon02.png,
sjdt_icon03,0,0,172,136,ui/image/shiJieDiTu/sjdt_icon03.png,
sjdt_icon04,0,0,161,150,ui/image/shiJieDiTu/sjdt_icon04.png,
sjdt_icon05,0,0,179,128,ui/image/shiJieDiTu/sjdt_icon05.png,
sjdt_icon06,0,0,159,135,ui/image/shiJieDiTu/sjdt_icon06.png,
sjdt_icon07,0,0,185,122,ui/image/shiJieDiTu/sjdt_icon07.png,
sjdt_icon08,0,0,181,130,ui/image/shiJieDiTu/sjdt_icon08.png,
sjdt_icon09,0,0,181,141,ui/image/shiJieDiTu/sjdt_icon09.png,
sjdt_icon10,0,0,188,139,ui/image/shiJieDiTu/sjdt_icon10.png,
sjdt_icon11,0,0,139,137,ui/image/shiJieDiTu/sjdt_icon11.png,
sjdt_icon12,0,0,163,141,ui/image/shiJieDiTu/sjdt_icon12.png,
sjdt_icon13,0,0,173,134,ui/image/shiJieDiTu/sjdt_icon13.png,
sjdt_icon14,0,0,136,128,ui/image/shiJieDiTu/sjdt_icon14.png,
sjdt_icon15,0,0,172,143,ui/image/shiJieDiTu/sjdt_icon15.png,
sjdt_icon16,0,0,145,158,ui/image/shiJieDiTu/sjdt_icon16.png,
sjdt_icon17,0,0,172,136,ui/image/shiJieDiTu/sjdt_icon17.png,
sjdt_icon18,0,0,141,122,ui/image/shiJieDiTu/sjdt_icon18.png,
sjdt_icon19,0,0,161,134,ui/image/shiJieDiTu/sjdt_icon19.png,
sjdt_icon20,0,0,137,122,ui/image/shiJieDiTu/sjdt_icon20.png,
sjdt_icon21,0,0,176,151,ui/image/shiJieDiTu/sjdt_icon21.png,
sjdt_icon22,0,0,187,136,ui/image/shiJieDiTu/sjdt_icon22.png,
sjdt_icon23,0,0,139,136,ui/image/shiJieDiTu/sjdt_icon23.png,
sjdt_icon24,0,0,181,131,ui/image/shiJieDiTu/sjdt_icon24.png,
sjdt_icon25,0,0,196,154,ui/image/shiJieDiTu/sjdt_icon25.png,
sjdt_juanZhou01,0,0,20,618,ui/image/shiJieDiTu/sjdt_juanZhou01.png,
sjdt_juanZhou02,0,0,21,618,ui/image/shiJieDiTu/sjdt_juanZhou02.png,
sc_leiChongDi01,0,0,564,668,ui/image/shouChong/sc_leiChongDi01.png,
sc_tzjhTu01,0,0,550,197,ui/image/shouChong/sc_tzjhTu01.png,
sc_zcjjTu01,0,0,550,197,ui/image/shouChong/sc_zcjjTu01.png,
sc_zhanShiTu01,0,0,564,423,ui/image/shouChong/sc_zhanShiTu01.png,
sc_zhanShiTu02,0,0,564,423,ui/image/shouChong/sc_zhanShiTu02.png,
sc_zhanShiTu03,0,0,564,423,ui/image/shouChong/sc_zhanShiTu03.png,
sc_zhanShiTu04,0,0,564,423,ui/image/shouChong/sc_zhanShiTu04.png,
syb_biaoTiTu01,0,0,565,197,ui/image/songYuanBao/syb_biaoTiTu01.png,
syb_biaoTiTu02,0,0,565,197,ui/image/songYuanBao/syb_biaoTiTu02.png,
tx_ztBg01,0,0,556,502,ui/image/tianXian/tx_ztBg01.png,
ty_ztUiDi01,0,0,640,1136,ui/image/tongYong/ty_ztUiDi01.jpg,
ty_zhanDouZhen,0,465,280,0,ui/image/tongYong/ty_zhanDouZhen.png,
xb_ztBg01,0,0,565,739,ui/image/xunBao/xb_ztBg01.png,
xb_ztBg02,0,0,569,631,ui/image/xunBao/xb_ztBg02.png,
xb_ztBg03,0,0,603,739,ui/image/xunBao/xb_ztBg03.png,
zsyj_biaoTi01,0,0,570,454,ui/image/zhiShengYiJie/zsyj_biaoTi01.png,
zctx_90001,0,0,140,140,ui/image/zhuChengTouXiang/zctx_90001.png,
zctx_90002,0,0,140,140,ui/image/zhuChengTouXiang/zctx_90002.png,
zctx_90003,0,0,140,140,ui/image/zhuChengTouXiang/zctx_90003.png,
zctx_91001,0,0,140,140,ui/image/zhuChengTouXiang/zctx_91001.png,
zctx_91002,0,0,140,140,ui/image/zhuChengTouXiang/zctx_91002.png,
zctx_91003,0,0,140,140,ui/image/zhuChengTouXiang/zctx_91003.png,
kfzb_90001,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_90001.png,
kfzb_90002,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_90002.png,
kfzb_90003,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_90003.png,
kfzb_91001,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_91001.png,
kfzb_91002,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_91002.png,
kfzb_91003,0,0,72,72,ui/image/zhuChengTouXiang/kfzb_91003.png,
zjm_zhuCheng,0,0,640,1136,ui/image/tongYong/zjm_zhuCheng.jpg,
zjm_jianZhu01,0,0,176,162,ui/image/tongYong/zjm_jianZhu01.png,
zjm_jianZhu02,0,0,189,184,ui/image/tongYong/zjm_jianZhu02.png,
zjm_jianZhu03,0,0,257,224,ui/image/tongYong/zjm_jianZhu03.png,
zjm_jianZhu04,0,0,185,217,ui/image/tongYong/zjm_jianZhu04.png,
zjm_jianZhu05,0,0,198,186,ui/image/tongYong/zjm_jianZhu05.png,
zjm_jianZhu06,0,0,229,270,ui/image/tongYong/zjm_jianZhu06.png,
ty_buZhuoShiBai,0,0,507,319,ui/image/tongYong/ty_buZhuoShiBai.png,
zjm_jianZhu01_down,0,0,176,162,ui/image/tongYong/zjm_jianZhu01_down.png,
zjm_jianZhu02_down,0,0,189,184,ui/image/tongYong/zjm_jianZhu02_down.png,
zjm_jianZhu03_down,0,0,257,224,ui/image/tongYong/zjm_jianZhu03_down.png,
zjm_jianZhu04_down,0,0,185,217,ui/image/tongYong/zjm_jianZhu04_down.png,
zjm_jianZhu05_down,0,0,198,186,ui/image/tongYong/zjm_jianZhu05_down.png,
zjm_jianZhu06_down,0,0,229,270,ui/image/tongYong/zjm_jianZhu06_down.png,
ty_paiHangBangDi,0,0,422,203,ui/image/tongYong/ty_paiHangBangDi.png,
jrhl_npcDuiHua,0,0,586,264,ui/image/jinRiHaoLi/jrhl_npcDuiHua.png,
fb_ztUIDi01,0,0,565,736,ui/image/faBao/fb_ztUIDi01.png,
fx_ztUiDi01,0,0,410,414,ui/image/fenXiang/fx_ztUiDi01.png,
fx_ztUiDi02,0,0,267,104,ui/image/fenXiang/fx_ztUiDi02.png,
sz_ztBg01,0,0,349,169,ui/image/shenZhuang/sz_ztBg01.png,
sz_ztBg02,0,0,349,169,ui/image/shenZhuang/sz_ztBg02.png,
sz_ztBg03,0,0,349,169,ui/image/shenZhuang/sz_ztBg03.png,
dlfl_ztDi01,0,0,640,607,ui/image/dengLuFuLi/dlfl_ztDi01.png,
10ycz_uiDi01,0,0,640,402,ui/image/10yuanChongZhi/10ycz_uiDi01.png,
zsyj_biaoTiText01,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText01.png,
zsyj_biaoTiText02,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText02.png,
zsyj_biaoTiText03,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText03.png,
zsyj_biaoTiText04,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText04.png,
zsyj_biaoTiText05,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText05.png,
zsyj_biaoTiText06,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText06.png,
zsyj_biaoTiText07,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText07.png,
zsyj_biaoTiText08,0,0,261,104,ui/image/zhiShengYiJie/zsyj_biaoTiText08.png,
ty_tianNvTiShiDi01,0,0,283,165,ui/image/tongYong/ty_tianNvTiShiDi01.png,
ty_tianNvTiShiDi02,0,0,640,564,ui/image/tongYong/ty_tianNvTiShiDi02.png,
ty_tianNvTiShiDi03,0,0,283,165,ui/image/tongYong/ty_tianNvTiShiDi03.png,
ty_hdZhuangBeiDi01,0,0,620,141,ui/image/tongYong/ty_hdZhuangBeiDi01.png,
sclx_biaoTiDi01,0,0,564,197,ui/image/shenChongLaiXi/sclx_biaoTiDi01.png,
jchd_biaoTiDi01,0,0,564,197,ui/image/jingCaiHuoDong/jchd_biaoTiDi01.png,
jchd_biaoTiDi02,0,0,564,197,ui/image/jingCaiHuoDong/jchd_biaoTiDi02.png,
jchd_biaoTiDi03,0,0,564,197,ui/image/jingCaiHuoDong/jchd_biaoTiDi03.png,
jchd_liuJieDi01,0,0,580,645,ui/image/jingCaiHuoDong/jchd_liuJieDi01.png,
xyhl_zhanShiTu01,0,0,564,197,ui/image/xingYunHaoLi/xyhl_zhanShiTu01.png,
txdy_duiZhenTuDi01,0,0,400,551,ui/image/tianXiaDiYi/txdy_duiZhenTuDi01.png,
txdy_duiZhenTuXian01,0,0,102,115,ui/image/tianXiaDiYi/txdy_duiZhenTuXian01.png,
txdy_duiZhenTuXian02,0,0,102,115,ui/image/tianXiaDiYi/txdy_duiZhenTuXian02.png,
txdy_duiZhenTuXian03,0,0,29,165,ui/image/tianXiaDiYi/txdy_duiZhenTuXian03.png,
txdy_duiZhenTuXian04,0,0,70,5,ui/image/tianXiaDiYi/txdy_duiZhenTuXian04.png,
txdy_duiZhenTuXian05,0,0,6,50,ui/image/tianXiaDiYi/txdy_duiZhenTuXian05.png,
txdy_ztUIDi01,0,0,579,717,ui/image/tianXiaDiYi/txdy_ztUIDi01.png,
txdy_ztUIDi02,0,0,473,337,ui/image/tianXiaDiYi/txdy_ztUIDi02.png,
gk_shouTongZTDi01,0,0,565,197,ui/image/guanKa/gk_shouTongZTDi01.png,
gk_shouTongZTDi02,0,0,565,197,ui/image/guanKa/gk_shouTongZTDi02.png,
wlmz_kuaFuPaiMingDi01,0,0,564,197,ui/image/wuLinMengZhu/wlmz_kuaFuPaiMingDi01.png,
kfzb_huoDongDiTu01,0,0,564,197,ui/image/kuaFuZhengBa/kfzb_huoDongDiTu01.png,
pf_xiaoDiTu,0,0,1536,963,ui/image/peiFang/pf_xiaoDiTu.jpg,
pf_heChengDi01,0,0,592,451,ui/image/peiFang/pf_heChengDi01.png,
ty_heChengShiBai,0,0,507,319,ui/image/tongYong/ty_heChengShiBai.png,

xl_xingXiuZhanShiDi01,0,0,593,608,ui/image/xingLing/xl_xingXiuZhanShiDi01.png,
xl_tiYanTiShi01,0,0,283,165,ui/image/xingLing/xl_tiYanTiShi01.png,
xl_xingXiuTu01,0,0,280,400,ui/image/xingLing/xl_xingXiuTu01.png,
xl_xingXiuTu02,0,0,280,400,ui/image/xingLing/xl_xingXiuTu02.png,
xl_xingXiuTu03,0,0,280,400,ui/image/xingLing/xl_xingXiuTu03.png,
xl_xingXiuTu04,0,0,280,400,ui/image/xingLing/xl_xingXiuTu04.png,
xl_xingXiuTu05,0,0,280,400,ui/image/xingLing/xl_xingXiuTu05.png,
xl_xingXiuTu06,0,0,280,400,ui/image/xingLing/xl_xingXiuTu06.png,
xl_xingXiuTu07,0,0,280,400,ui/image/xingLing/xl_xingXiuTu07.png,
xl_xingXiuTu08,0,0,280,400,ui/image/xingLing/xl_xingXiuTu08.png,
xl_xingXiuTu09,0,0,280,400,ui/image/xingLing/xl_xingXiuTu09.png,
xl_xingXiuTu10,0,0,280,400,ui/image/xingLing/xl_xingXiuTu10.png,

sh_baGuaDi,0,0,514,502,ui/image/shenHun/sh_baGuaDi.jpg,
sh_ztQiangHuaDi,0,0,564,179,ui/image/shenHun/sh_ztQiangHuaDi.png,
lh_lieHunBg01,0,0,590,730,ui/image/lieHun/lh_lieHunBg01.png,
lh_guiMenGuan01,0,0,588,325,ui/image/lieHun/lh_guiMenGuan01.png,

scml_miLu01,0,0,235,423,ui/image/shenChongMilu/scml_miLu01.png,
scml_miLu02,0,0,303,465,ui/image/shenChongMilu/scml_miLu02.png,
scml_miLu03,0,0,326,378,ui/image/shenChongMilu/scml_miLu03.png,
scml_ztDi01,0,0,609,869,ui/image/shenChongMilu/scml_ztDi01.png,
scml_ztHeiDi01,0,0,609,869,ui/image/shenChongMilu/scml_ztHeiDi01.png,
