ID,名称缩写,消耗能量,消耗奥义值,怪物技能介绍,技能放置位（允许多个框）,技能类型(1表示绝招，2表示奥义招，享有最高表演优先级）,禁止连发（用于吟唱和持续施法的起手阶段）,升级说明
50013,重明鸟,0,,对随机3个目标造成17.5%+1680的伤害。,,0,0,
50014,巨灵神,0,,对随机3个目标造成18%+2016的伤害。,,0,0,
50015,趴趴熊,0,,对随机1个目标造成25%+3640的伤害。,,0,0,
50016,九尾狐,0,,对随机1个目标造成25%+3080的伤害。,,0,0,
50017,龙龟,0,,对随机3个目标造成19%+2352的伤害。,,0,0,
50018,晶魂,0,,对随机1个目标造成25%+4200的伤害。,,0,0,
50019,年兽,0,,对随机3个目标造成19%+2688的伤害。,,0,0,
50020,黑风小妖,0,,对随机1个目标造成26%+4760的伤害。,,0,0,
50021,熊猫,0,,对随机3个目标造成19.5%+3024的伤害。,,0,0,
50022,黑水玄蛇,0,,对随机1个目标造成26%+5320的伤害。,,0,0,
50023,火德真君,0,,对随机3个目标造成19.5%+3360的伤害。,,0,0,
50024,六耳猕猴,0,,对随机1个目标造成27%+5880的伤害。,,0,0,
50025,地狱三头犬,0,,对随机3个目标造成20.5%+3696的伤害。,,0,0,
50026,夜游神,0,,对随机3个目标造成21%+4368的伤害。,,0,0,
50027,业魔,0,,对随机1个目标造成29%+7560的伤害。,,0,0,
50028,强盗,0,,对随机1个目标造成28%+6440的伤害。,,0,0,
50029,白象王,0,,对随机3个目标造成21%+4032的伤害。,,0,0,
50030,冰龙,0,,对随机1个目标造成28%+7000的伤害。,,0,0,
50031,剑侠兔,0,,对随机3个目标造成22%+4704的伤害。,,0,0,
50032,封蛇,0,,对随机1个目标造成30%+8120的伤害。,,0,0,
50033,神将,0,,对随机3个目标造成22.5%+5040的伤害。,,0,0,
50034,千年老妖,0,,对随机1个目标造成31%+8680的伤害。,,0,0,
50035,招财猫,0,,对随机3个目标造成23.5%+5376的伤害。,,0,0,
50036,熊猫大侠,0,,对随机1个目标造成32%+9240的伤害。,,0,0,
50037,青狮怪,0,,对随机1个目标造成33%+9520的伤害。,,0,0,
50038,东海龙王,0,,对随机1个目标造成33%+9800的伤害。,,0,0,
50039,朱雀,0,,对随机3个目标造成27%+6700的伤害。,,0,0,
50040,青龙,0,,对随机3个目标造成24%+6384的伤害。,,0,0,
50041,白虎,0,,对随机1个目标造成43%+13300的伤害。,,0,0,
50042,玄武,0,,对随机3个目标造成30%+6900的伤害。,,0,0,
50043,猪八戒,0,,对随机1个目标造成38%+11200的伤害。,,0,0,
50044,虎力大仙,0,,对随机1个目标造成40%+11480的伤害。,,0,0,
50045,赤脚大仙,0,,对随机1个目标造成39%+11500的伤害。,,0,0,
50046,奎木狼,0,,对随机1个目标造成36%+12500的伤害。,,0,0,
50047,鹿力大仙,0,,对随机1个目标造成30%+8000的伤害。,,0,0,
80001,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80002,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80003,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80004,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80005,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80006,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80007,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80008,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80009,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80010,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80011,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80012,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80013,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80014,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80015,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80016,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80017,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80018,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80019,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80020,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80021,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80022,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80023,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80024,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80025,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80026,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80027,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80028,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80029,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80030,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80031,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80032,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80033,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80034,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80035,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80036,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80037,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80038,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80039,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80040,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80041,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80042,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80043,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80044,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80045,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80046,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80047,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80048,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80049,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80050,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80051,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80052,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80053,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80054,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80055,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80056,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80057,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80058,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80059,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80060,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80061,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80062,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80063,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80064,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80065,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80066,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80067,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80068,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80069,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80070,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80071,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80072,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80073,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80074,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80075,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80076,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80077,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80078,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80079,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80080,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80081,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80082,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80083,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80084,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80085,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80086,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80087,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80088,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80089,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80090,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80091,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80092,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80093,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80094,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80095,普攻,0,,对随机2个目标造成100%的伤害,,0,0,
80096,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80097,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80098,普攻,0,,对随机3个目标造成100%的伤害,,0,0,
80099,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80100,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80101,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80102,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80103,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80104,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80105,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80106,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80107,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80108,连击被动,0,,100%触发技能连击,,0,0,
80109,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80110,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80111,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80112,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80113,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80114,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80115,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80116,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80117,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80118,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80119,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80120,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80121,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80122,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80123,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80124,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80125,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80126,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80127,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80128,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80129,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80130,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80131,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
80132,普攻,0,,对随机1个目标造成100%的伤害,,0,0,
