ID,技能等级,技能品质框（1是灰色 2是绿色 3是蓝色 4是紫色 5是金色 6是红色 7是彩色）,名称缩写,图标,技能描述
40009,1,1,天神怒吼,40009,对随机3名目标造成26.5%+940的伤害
40009,2,2,天神怒吼,40009,对随机3名目标造成26.5%+1410的伤害
40009,3,3,天神怒吼,40009,对随机3名目标造成31.5%+1410的伤害
40009,4,4,天神怒吼,40009,对随机3名目标造成31.5%+1880的伤害
40009,5,5,天神怒吼,40009,对随机3名目标造成36.5%+1880的伤害
40009,6,6,天神怒吼,40009,对随机3名目标造成36.5%+2350的伤害
40009,7,7,天神怒吼,40009,对随机3名目标造成41.5%+2350的伤害
40010,1,1,雷霆万钧,40010,对随机3名目标造成28%+1020的伤害
40010,2,2,雷霆万钧,40010,对随机3名目标造成28%+1530的伤害
40010,3,3,雷霆万钧,40010,对随机3名目标造成33%+1530的伤害
40010,4,4,雷霆万钧,40010,对随机3名目标造成33%+2040的伤害
40010,5,5,雷霆万钧,40010,对随机3名目标造成38%+2040的伤害
40010,6,6,雷霆万钧,40010,对随机3名目标造成38%+2550的伤害
40010,7,7,雷霆万钧,40010,对随机3名目标造成43%+2550的伤害
40011,1,1,猴王出世,40011,对随机2名目标造成21.5%+780的伤害
40011,2,2,猴王出世,40011,对随机2名目标造成21.5%+1170的伤害
40011,3,3,猴王出世,40011,对随机2名目标造成26.5%+1170的伤害
40011,4,4,猴王出世,40011,对随机2名目标造成26.5%+1560的伤害
40011,5,5,猴王出世,40011,对随机2名目标造成31.5%+1560的伤害
40011,6,6,猴王出世,40011,对随机2名目标造成31.5%+1950的伤害
40011,7,7,猴王出世,40011,对随机2名目标造成36.5%+1950的伤害
40012,1,1,逍遥游,40012,对随机2名目标造成15%+500的伤害
40012,2,2,逍遥游,40012,对随机2名目标造成15%+750的伤害
40012,3,3,逍遥游,40012,对随机2名目标造成20%+750的伤害
40012,4,4,逍遥游,40012,对随机2名目标造成20%+1000的伤害
40012,5,5,逍遥游,40012,对随机2名目标造成25%+1000的伤害
40012,6,6,逍遥游,40012,对随机2名目标造成25%+1250的伤害
40012,7,7,逍遥游,40012,对随机2名目标造成30%+1250的伤害
#宠物主动技能,,,,,
50001,1,3,普攻,50001,对随机1名目标造成20%+280的伤害
50002,1,3,普攻,50002,对随机1名目标造成20%+560的伤害
50003,1,3,普攻,50003,对随机1名目标造成20%+840的伤害
50004,1,4,普攻,50004,对随机1名目标造成20%+1120的伤害
50005,1,4,普攻,50005,对随机1名目标造成21%+1400的伤害
50006,1,4,普攻,50006,对随机3名目标造成16%+1008的伤害
50007,1,4,普攻,50007,对随机1名目标造成20%+1000的伤害
50008,1,4,普攻,50008,对随机1名目标造成21%+1000的伤害
50009,1,4,普攻,50009,对随机1名目标造成22%+1000的伤害
50010,1,4,普攻,50010,对随机1名目标造成22%+1960的伤害
50011,1,4,普攻,50011,对随机3名目标造成16.5%+1344的伤害
50012,1,4,普攻,50012,对随机1名目标造成23%+2520的伤害
50013,1,4,普攻,50013,对随机3名目标造成17.5%+1680的伤害
50014,1,4,普攻,50014,对随机3名目标造成18%+2016的伤害
50015,1,4,普攻,50015,对随机1名目标造成25%+3640的伤害
50016,1,5,普攻,50016,对随机1名目标造成25%+3080的伤害
50017,1,5,普攻,50017,对随机3名目标造成19%+2352的伤害
50018,1,5,普攻,50018,对随机1名目标造成25%+4200的伤害
50019,1,5,普攻,50019,对随机3名目标造成19%+2688的伤害
50020,1,5,普攻,50020,对随机1名目标造成26%+4760的伤害
50021,1,5,普攻,50021,对随机3名目标造成19.5%+3024的伤害
50022,1,5,普攻,50022,对随机1名目标造成26%+5320的伤害
50023,1,5,普攻,50023,对随机3名目标造成19.5%+3360的伤害
50024,1,5,普攻,50024,对随机1名目标造成27%+5880的伤害
50025,1,5,普攻,50025,对随机3名目标造成22%+3696的伤害
50026,1,5,普攻,50026,对随机3名目标造成21%+4368的伤害
50027,1,5,普攻,50027,对随机1名目标造成29%+7560的伤害
50028,1,5,普攻,50028,对随机1名目标造成28%+6440的伤害
50029,1,5,普攻,50029,对随机3名目标造成21%+4032的伤害
50030,1,5,普攻,50030,对随机1名目标造成28%+7000的伤害
50031,1,5,普攻,50031,对随机3名目标造成22%+4704的伤害
50032,1,5,普攻,50032,对随机1名目标造成26%+8120的伤害
50033,1,5,普攻,50033,对随机3名目标造成22.5%+5040的伤害
50034,1,5,普攻,50034,对随机1名目标造成27%+8680的伤害
50035,1,5,普攻,50035,对随机3名目标造成23.5%+5376的伤害
50036,1,5,普攻,50036,对随机1名目标造成28%+9240的伤害
50037,1,5,普攻,50037,对随机1名目标造成29%+9520的伤害
50038,1,5,普攻,50038,对随机1名目标造成29%+9800的伤害
50039,1,6,普攻,50039,对随机3名目标造成28%+6700的伤害
50040,1,6,普攻,50040,对随机3名目标造成26%+6384的伤害
50041,1,6,普攻,50041,对随机1名目标造成46%+13300的伤害
50042,1,6,普攻,50042,对随机3名目标造成33%+6900的伤害
50043,1,6,普攻,50043,对随机1名目标造成38%+11200的伤害
50044,1,6,普攻,50044,对随机1名目标造成48%+11480的伤害
50045,1,6,普攻,50045,对随机1名目标造成40%+11500的伤害
50046,1,6,普攻,50046,对随机1名目标造成38%+12500的伤害
50047,1,6,普攻,50047,对随机1名目标造成33%+8000的伤害
50048,1,6,普攻,50048,对随机3名目标造成37%+8000的伤害
50049,1,6,普攻,50049,对随机1名目标造成57%+15500的伤害
50050,1,6,普攻,50050,对随机1名目标造成60%+15500的伤害
50051,1,6,普攻,50051,对随机3名目标造成42%+8000的伤害
50052,1,6,普攻,50052,对随机1名目标造成48%+13800的伤害
50053,1,6,普攻,50053,对随机3名目标造成35%+7200的伤害
50054,1,6,普攻,50054,对随机1名目标造成50%+13800的伤害
50055,1,6,普攻,50055,对随机1名目标造成55%+13800的伤害
50056,1,6,普攻,50056,对随机1名目标造成26.5%+4080的伤害
50057,1,6,普攻,50057,对随机3名目标造成25%+6000的伤害
50058,1,6,普攻,50058,对随机1名目标造成38%+9000的伤害
50059,1,6,普攻,50059,对随机1名目标造成23%+4000的伤害
50060,1,6,普攻,50060,对随机1名目标造成27%+5000的伤害
50061,1,6,普攻,50061,对随机1名目标造成27.5%+8000的伤害
50062,1,6,普攻,50062,对随机1名目标造成22%+2100的伤害
50063,1,6,普攻,50063,对随机1名目标造成22%+1800的伤害
50064,1,6,普攻,50064,对随机1名目标造成28%+8000的伤害
50065,1,6,普攻,50065,对随机3名目标造成18%+1800的伤害
50066,1,6,普攻,50066,对随机3名目标造成20%+1300的伤害
50067,1,6,普攻,50067,对随机1名目标造成26.5%+6800的伤害
50068,1,6,普攻,50068,对随机3名目标造成25%+11050的伤害
50069,1,6,普攻,50069,对随机1名目标造成22%+2150的伤害
50070,1,6,普攻,50070,对随机1名目标造成22%+2100的伤害
50071,1,6,普攻,50071,对随机3名目标造成20%+3600的伤害
50072,1,6,普攻,50072,对随机1名目标造成33%+9000的伤害
50073,1,6,普攻,50073,对随机1名目标造成25%+9000的伤害
50074,1,6,普攻,50074,对随机3名目标造成25%+3016的伤害
#宠物飞升技能,,,,,
55001,1,6,盲药毒师,55001,攻击时降低目标命中值30%三回合
55002,1,6,精通盲毒,55002,盲药毒师的降低命中值效果增至55%
55003,1,6,烈性盲毒,55003,对攻击目标附加一个随机单位造成35%溅射伤害，降低命中效果对两个单位都生效
55004,1,6,狂暴一击,55004,本回合对敌人造成暴击伤害时，下回合获得溅射效果，对敌人造成伤害时，将溅射其上下左右相邻的队友，对他们造成16.72%的伤害
55005,1,6,势如破竹,55005,技能狂暴一击造成的伤害变为20%
55006,1,6,暴怒猛击,55006,技能狂暴一击造成的伤害变为真实伤害
55007,1,6,回光返照,55007,攻击时吸收伤害量25%恢复生命值
55008,1,6,灵魂连接,55008,回光返照的吸收伤害效果增加15%
55009,1,6,闪避专家,55009,被动：闪避值提升20%
55010,1,6,朱雀怒火,55010,自身攻击附带灼烧效果，每次攻击有20%的几率使其陷入灼烧状态，每回合受到17%的伤害，持续1回合
55011,1,6,烈风火羽,55011,灼烧伤害变为33%
55012,1,6,生生不息,55012,自身死亡时，有50%的几率复活，复活后恢复12%的生命，攻击提高15.2%。每场只触发一次
55013,1,6,噬血爪,55013,攻击时吸收伤害量18%恢复生命值
55014,1,6,通灵血爪,55014,噬血爪吸收的伤害量增加10%
55015,1,6,闪避专家,55015,被动：闪避值提升20%
55016,1,6,龙之气息,55016,本回合内，自身与后方队友对敌人造成的总伤害超过自身攻击的165%时，下回合攻击目标增加2人，持续1回合
55017,1,6,龙之怒吼,55017,龙之气息攻击目标变为全体
55018,1,6,灵魂烈火,55018,龙之气息持续回合数增加1回合
55019,1,6,顽强意志,55019,受到致命攻击时，30%概率保留1点生命值
55020,1,6,绝处逢生,55020,顽强意志触发概率增加20%
55021,1,6,生机勃发,55021,回合开始立即回复6%的生命
55022,1,6,爆裂巨斧,55022,攻击时附带20%几率晕眩目标1回合
55023,1,6,热烈之斧,55023,爆裂巨斧晕眩概率增加10%
55024,1,6,回旋巨斧,55024,攻击时目标周围单位将受到40%溅射伤害
55025,1,6,舍身,55025,第3回合开始，若自身生命高于50%，则本回合必定嘲讽敌方全体（优先级最高），同时获得15%的防御
55026,1,6,顽强意志,55026,获得的防御变为25%
55027,1,6,血海无量,55027,若自身在本回合内受到的伤害次数超过5次，则在回合结束时，以牺牲自身30%当前生命的代价，对敌方全体造成所损失生命数值50%的伤害
55028,1,6,泰山压顶,55028,攻击时附带10%几率晕眩目标1回合
55029,1,6,上古血脉,55029,泰山压顶晕眩概率增加10%
55030,1,6,崩天裂地,55030,主动技能伤害增加5%，攻击时目标周围单位将受到18%溅射伤害
55031,1,6,琵琶之魂,55031,击中敌方的仙君，伤害将提升80%
55032,1,6,余音袅袅,55032,琵琶之魂伤害提升至120%
55033,1,6,神音破防,55033,攻击附带破防两回合，使其防御降低100%
55034,1,6,坚硬皮肤,55034,第4回合开始，若自身仍存活在场上，则每回合结束时，对敌方输出最高的2人造成33.75%的伤害
55035,1,6,横冲直撞,55035,坚硬皮肤造成的伤害变为40.5%
55036,1,6,巨灵神力,55036,坚硬皮肤攻击目标增加1人
55037,1,6,四象轮回,55037,击中眩晕目标将造成180%的伤害
55038,1,6,两仪化形,55038,提升四象轮回的伤害至230%
55039,1,6,八仙过海,55039,主动技能伤害增加4%
55040,1,6,狂暴一击,55040,攻击时无视对方50%的防御
55041,1,6,势如破竹,55041,使狂暴一击完全无视对方的防御
55042,1,6,暴怒猛击,55042,攻击时必定造成暴击伤害
55043,1,6,不死不灭,55043,死亡后20%概率立即复活，保留生命值45%，最多复活3次
55044,1,6,猩红之力,55044,不死不灭复活概率提升为40%
55045,1,6,生生不息,55045,回合开始回复生命8%
55046,1,6,凶狠反击,55046,受到攻击时反弹受到伤害的22%给攻击者（只计算直接攻击）
55047,1,6,野蛮之力,55047,凶狠反击反弹的伤害增加13%
55048,1,6,硬化皮肤,55048,受到PVP伤害降低20%
55049,1,6,灼火之心,55049,攻击附带灼烧，目标每回合减少生命5%，持续3回合，BOSS无效
55050,1,6,灵魂烈焰,55050,灼火之心每回合灼烧伤害增加2%
55051,1,6,战佛之心,55051,主动技能伤害+3%
55052,1,6,蓄力一击,55052,蓄力一回合，蓄力后的一次攻击将造成300%的伤害
55053,1,6,伤害加深,55053,使蓄力一击的伤害增加至380%
55054,1,6,势在必得,55054,使蓄力一击无法被闪避
#宠物被动技能,,,,,
60001,1,1,一级生命,60001,【固定】增加1200生命
60002,1,2,二级生命,60002,【固定】增加1800生命
60003,1,3,三级生命,60003,【固定】增加2500生命
60004,1,4,四级生命,60004,【固定】增加3800生命
60005,1,5,五级生命,60005,【固定】增加6000生命
60006,1,6,六级生命,60006,【固定】增加9100生命
60007,1,7,#red七#orange级#magenta生#cyan命,60007,【固定】增加14500生命
60008,1,1,一级攻击,60008,【固定】增加120攻击
60009,1,2,二级攻击,60009,【固定】增加180攻击
60010,1,3,三级攻击,60010,【固定】增加250攻击
60011,1,4,四级攻击,60011,【固定】增加380攻击
60012,1,5,五级攻击,60012,【固定】增加600攻击
60013,1,6,六级攻击,60013,【固定】增加910攻击
60014,1,7,#red七#orange级#magenta攻#cyan击,60014,【固定】增加1450攻击
60015,1,1,一级防御,60015,【固定】增加120防御
60016,1,2,二级防御,60016,【固定】增加180防御
60017,1,3,三级防御,60017,【固定】增加250防御
60018,1,4,四级防御,60018,【固定】增加380防御
60019,1,5,五级防御,60019,【固定】增加600防御
60020,1,6,六级防御,60020,【固定】增加910防御
60021,1,7,#red七#orange级#magenta防#cyan御,60021,【固定】增加1450防御
60022,1,1,一级速度,60022,【固定】增加5速度
60023,1,2,二级速度,60023,【固定】增加7速度
60024,1,3,三级速度,60024,【固定】增加10速度
60025,1,4,四级速度,60025,【固定】增加15速度
60026,1,5,五级速度,60026,【固定】增加24速度
60027,1,6,六级速度,60027,【固定】增加36速度
60028,1,7,#red七#orange级#magenta速#cyan度,60028,【固定】增加58速度
60029,1,1,一级闪避,60029,【固定】增加100闪避
60030,1,2,二级闪避,60030,【固定】增加140闪避
60031,1,3,三级闪避,60031,【固定】增加200闪避
60032,1,4,四级闪避,60032,【固定】增加300闪避
60033,1,5,五级闪避,60033,【固定】增加480闪避
60034,1,6,六级闪避,60034,【固定】增加730闪避
60035,1,7,#red七#orange级#magenta闪#cyan避,60035,【固定】增加1160闪避
60036,1,1,一级命中,60036,【固定】增加100命中
60037,1,2,二级命中,60037,【固定】增加140命中
60038,1,3,三级命中,60038,【固定】增加200命中
60039,1,4,四级命中,60039,【固定】增加300命中
60040,1,5,五级命中,60040,【固定】增加480命中
60041,1,6,六级命中,60041,【固定】增加730命中
60042,1,7,#red七#orange级#magenta命#cyan中,60042,【固定】增加1160命中
60043,1,1,一级暴击,60043,【固定】增加100暴击
60044,1,2,二级暴击,60044,【固定】增加140暴击
60045,1,3,三级暴击,60045,【固定】增加200暴击
60046,1,4,四级暴击,60046,【固定】增加300暴击
60047,1,5,五级暴击,60047,【固定】增加480暴击
60048,1,6,六级暴击,60048,【固定】增加730暴击
60049,1,7,#red七#orange级#magenta暴#cyan击,60049,【固定】增加1160暴击
60050,1,1,一级抗暴,60050,【固定】增加100抗暴
60051,1,2,二级抗暴,60051,【固定】增加140抗暴
60052,1,3,三级抗暴,60052,【固定】增加200抗暴
60053,1,4,四级抗暴,60053,【固定】增加300抗暴
60054,1,5,五级抗暴,60054,【固定】增加480抗暴
60055,1,6,六级抗暴,60055,【固定】增加730抗暴
60056,1,7,#red七#orange级#magenta抗#cyan暴,60056,【固定】增加1160抗暴
60057,1,1,一级破防,60057,【固定】增加47无视防御
60058,1,2,二级破防,60058,【固定】增加65无视防御
60059,1,3,三级破防,60059,【固定】增加94无视防御
60060,1,4,四级破防,60060,【固定】增加141无视防御
60061,1,5,五级破防,60061,【固定】增加225无视防御
60062,1,6,六级破防,60062,【固定】增加342无视防御
60063,1,7,#red七#orange级#magenta破#cyan防,60063,【固定】增加580无视防御
60064,1,1,一级护甲,60064,【固定】增加47减免无视
60065,1,2,二级护甲,60065,【固定】增加65减免无视
60066,1,3,三级护甲,60066,【固定】增加94减免无视
60067,1,4,四级护甲,60067,【固定】增加141减免无视
60068,1,5,五级护甲,60068,【固定】增加225减免无视
60069,1,6,六级护甲,60069,【固定】增加342减免无视
60070,1,7,#red七#orange级#magenta护#cyan甲,60070,【固定】增加580减免无视
60071,1,1,一级虚弱,60071,【被动】攻击时有10%概率使目标下回合伤害降低15%
60072,1,2,二级虚弱,60072,【被动】攻击时有10%概率使目标下回合伤害降低18%
60073,1,3,三级虚弱,60073,【被动】攻击时有10%概率使目标下回合伤害降低21%
60074,1,4,四级虚弱,60074,【被动】攻击时有10%概率使目标下回合伤害降低24%
60075,1,5,五级虚弱,60075,【被动】攻击时有10%概率使目标下回合伤害降低27%
60076,1,6,六级虚弱,60076,【被动】攻击时有10%概率使目标下回合伤害降低30%
60077,1,7,#red七#orange级#magenta虚#cyan弱,60077,【被动】攻击时有10%概率使目标下回合伤害降低33%
60078,1,1,一级穿甲,60078,【被动】攻击时有10%概率使目标下回合防御降低30%
60079,1,2,二级穿甲,60079,【被动】攻击时有10%概率使目标下回合防御降低35%
60080,1,3,三级穿甲,60080,【被动】攻击时有10%概率使目标下回合防御降低40%
60081,1,4,四级穿甲,60081,【被动】攻击时有10%概率使目标下回合防御降低45%
60082,1,5,五级穿甲,60082,【被动】攻击时有10%概率使目标下回合防御降低50%
60083,1,6,六级穿甲,60083,【被动】攻击时有10%概率使目标下回合防御降低55%
60084,1,7,#red七#orange级#magenta穿#cyan甲,60084,【被动】攻击时有10%概率使目标下回合防御降低60%
60085,1,1,一级暴击,60085,【被动】攻击时有10%概率提升当前技能20%暴击率
60086,1,2,二级暴击,60086,【被动】攻击时有10%概率提升当前技能25%暴击率
60087,1,3,三级暴击,60087,【被动】攻击时有10%概率提升当前技能30%暴击率
60088,1,4,四级暴击,60088,【被动】攻击时有10%概率提升当前技能35%暴击率
60089,1,5,五级暴击,60089,【被动】攻击时有10%概率提升当前技能40%暴击率
60090,1,6,六级暴击,60090,【被动】攻击时有10%概率提升当前技能45%暴击率
60091,1,7,#red七#orange级#magenta暴#cyan击,60091,【被动】攻击时有10%概率提升当前技能50%暴击率
60092,1,1,一级吸血,60092,【被动】攻击时有10%概率将造成伤害的8%转化为生命
60093,1,2,二级吸血,60093,【被动】攻击时有10%概率将造成伤害的12%转化为生命
60094,1,3,三级吸血,60094,【被动】攻击时有10%概率将造成伤害的16%转化为生命
60095,1,4,四级吸血,60095,【被动】攻击时有10%概率将造成伤害的20%转化为生命
60096,1,5,五级吸血,60096,【被动】攻击时有10%概率将造成伤害的24%转化为生命
60097,1,6,六级吸血,60097,【被动】攻击时有10%概率将造成伤害的28%转化为生命
60098,1,7,#red七#orange级#magenta吸#cyan血,60098,【被动】攻击时有10%概率将造成伤害的32%转化为生命
60099,1,1,一级吸收,60099,【被动】受到单体攻击时有10%概率吸收当前伤害8%转化为生命
60100,1,2,二级吸收,60100,【被动】受到单体攻击时有10%概率吸收当前伤害12%转化为生命
60101,1,3,三级吸收,60101,【被动】受到单体攻击时有10%概率吸收当前伤害16%转化为生命
60102,1,4,四级吸收,60102,【被动】受到单体攻击时有10%概率吸收当前伤害20%转化为生命
60103,1,5,五级吸收,60103,【被动】受到单体攻击时有10%概率吸收当前伤害24%转化为生命
60104,1,6,六级吸收,60104,【被动】受到单体攻击时有10%概率吸收当前伤害28%转化为生命
60105,1,7,#red七#orange级#magenta吸#cyan收,60105,【被动】受到单体攻击时有10%概率吸收当前伤害32%转化为生命
60106,1,1,一级复仇,60106,【被动】受到单体攻击时有10%概率提升下回合15%伤害
60107,1,2,二级复仇,60107,【被动】受到单体攻击时有10%概率提升下回合18%伤害
60108,1,3,三级复仇,60108,【被动】受到单体攻击时有10%概率提升下回合21%伤害
60109,1,4,四级复仇,60109,【被动】受到单体攻击时有10%概率提升下回合24%伤害
60110,1,5,五级复仇,60110,【被动】受到单体攻击时有10%概率提升下回合27%伤害
60111,1,6,六级复仇,60111,【被动】受到单体攻击时有10%概率提升下回合30%伤害
60112,1,7,#red七#orange级#magenta复#cyan仇,60112,【被动】受到单体攻击时有10%概率提升下回合33%伤害
60113,1,1,一级强韧,60113,【被动】受到单体攻击时有10%概率下回合减免15%伤害
60114,1,2,二级强韧,60114,【被动】受到单体攻击时有10%概率下回合减免18%伤害
60115,1,3,三级强韧,60115,【被动】受到单体攻击时有10%概率下回合减免21%伤害
60116,1,4,四级强韧,60116,【被动】受到单体攻击时有10%概率下回合减免24%伤害
60117,1,5,五级强韧,60117,【被动】受到单体攻击时有10%概率下回合减免27%伤害
60118,1,6,六级强韧,60118,【被动】受到单体攻击时有10%概率下回合减免30%伤害
60119,1,7,#red七#orange级#magenta强#cyan韧,60119,【被动】受到单体攻击时有10%概率下回合减免33%伤害
60120,1,1,一级怒击,60120,【被动】攻击时有10%概率提升当前技能18%伤害
60121,1,2,二级怒击,60121,【被动】攻击时有10%概率提升当前技能22%伤害
60122,1,3,三级怒击,60122,【被动】攻击时有10%概率提升当前技能26%伤害
60123,1,4,四级怒击,60123,【被动】攻击时有10%概率提升当前技能30%伤害
60124,1,5,五级怒击,60124,【被动】攻击时有10%概率提升当前技能34%伤害
60125,1,6,六级怒击,60125,【被动】攻击时有10%概率提升当前技能38%伤害
60126,1,7,#red七#orange级#magenta怒#cyan击,60126,【被动】攻击时有10%概率提升当前技能42%伤害
60127,1,1,一级晕厥,60127,【被动】攻击时有6%概率触发眩晕（持续一回合）
60128,1,2,二级晕厥,60128,【被动】攻击时有6.5%概率触发眩晕（持续一回合）
60129,1,3,三级晕厥,60129,【被动】攻击时有7%概率触发眩晕（持续一回合）
60130,1,4,四级晕厥,60130,【被动】攻击时有7.5%概率触发眩晕（持续一回合）
60131,1,5,五级晕厥,60131,【被动】攻击时有8%概率触发眩晕（持续一回合）
60132,1,6,六级晕厥,60132,【被动】攻击时有8.5%概率触发眩晕（持续一回合）
60133,1,7,#red七#orange级#magenta晕#cyan厥,60133,【被动】攻击时有9%概率触发眩晕（持续一回合）
60134,1,1,一级反击,60134,【被动】受到单体攻击时有5%概率反击攻击者
60135,1,2,二级反击,60135,【被动】受到单体攻击时有5.5%概率反击攻击者
60136,1,3,三级反击,60136,【被动】受到单体攻击时有6%概率反击攻击者
60137,1,4,四级反击,60137,【被动】受到单体攻击时有6.5%概率反击攻击者
60138,1,5,五级反击,60138,【被动】受到单体攻击时有7%概率反击攻击者
60139,1,6,六级反击,60139,【被动】受到单体攻击时有7.5%概率反击攻击者
60140,1,7,#red七#orange级#magenta反#cyan击,60140,【被动】受到单体攻击时有8%概率反击攻击者
60141,1,1,一级连击,60141,【被动】攻击时有5%概率触发连击
60142,1,2,二级连击,60142,【被动】攻击时有5.5%概率触发连击
60143,1,3,三级连击,60143,【被动】攻击时有6%概率触发连击
60144,1,4,四级连击,60144,【被动】攻击时有6.5%概率触发连击
60145,1,5,五级连击,60145,【被动】攻击时有7%概率触发连击
60146,1,6,六级连击,60146,【被动】攻击时有7.5%概率触发连击
