引导Index,动作Index,监听动作的条件，防止加载没用的引导,监听事件,监听参数,执行动作,动作参数,描述
10101,3,,,,AddListen,["listen"]=20103,
10102,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30001"", ""1""},{""30002"", ""NULL""}},[""finishTask""]={1003,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10102,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10102,3,,,,AddListen,["listen"]=20109,
20101,1,,AcceptTask,["taskId"]=1003,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20101,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20101,3,,,,AddListen,["listen"]=20103,
20103,1,,UIShow,["windowName"] = "RoleFrame",AnimTips,"[""window""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20103,2,,,,AddListen,["listen"]=20105,
20105,1,,FinishTask,"[""finishTask""]={1003,true}",ClearAction,"[""index""]={20103,1}",
20105,2,,,,ClearAction,"[""index""]={20103,2}",
20105,3,,,,ClearAction,"[""index""]={10101,1}",
20105,4,,,,ClearAction,"[""index""]={10101,2}",
20105,5,,,,ClearAction,"[""index""]={20101,1}",
20105,6,,,,ClearAction,"[""index""]={20101,2}",
20105,7,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_bottom/btn_back"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20105,8,,,,AnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20105,9,,,,AddListen,["listen"]=20107,
20107,1,,BeforeWindowClose,["window"] = "RoleFrame",ClearAction,"[""index""]={20105,7}",
20107,2,,,,ClearAction,"[""index""]={20105,8}",
20107,3,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20107,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20107,5,,,,AddListen,["listen"]=20109,
20107,6,,,,ClearAction,"[""index""]={20108,1}",
20107,7,,,,ClearAction,"[""index""]={20108,2}",
20108,1,,FinishTask,"[""finishTask""]={1003,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20108,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20108,3,,,,AddListen,["listen"]=20109,
20108,4,,,,ClearAction,"[""index""]={20101,1}",
20108,5,,,,ClearAction,"[""index""]={20101,2}",
20108,6,,,,DeleteListen,["listen"]=20103,
20109,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20107,3}",
20109,2,,,,ClearAction,"[""index""]={20107,4}",
20109,3,,,,ClearAction,"[""index""]={20108,1}",
20109,4,,,,ClearAction,"[""index""]={20108,2}",
20109,5,,,,ClearAction,"[""index""]={10102,1}",
20109,6,,,,ClearAction,"[""index""]={10102,2}",
20109,7,,,,Record,"[""key""]=""30002"",[""value""]=""1""",
20109,8,,,,AddListen,["listen"]=20201,
#20109,9,,,,AddListen,["listen"]=20208,
#,,,,,,,
#东海龙宫1~1,,,,,,,
10201,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30002"", ""1""},{""30003"", ""NULL""}},[""finishTask""]={1005,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10201,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10201,3,,,,AddListen,["listen"]=20203,
10202,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30002"", ""1""},{""30003"", ""NULL""}},[""finishTask""]={1005,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10202,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10202,3,,,,AddListen,["listen"]=20209,
20201,1,,AcceptTask,["taskId"]=1005,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20201,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20201,3,,,,AddListen,["listen"]=20203,
20203,1,,UIShow,["windowName"] = "CampaignBossFrame",AnimTips,"[""window""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20203,2,,,,AddListen,["listen"]=20205,
20205,1,,FinishTask,"[""finishTask""]={1005,true}",ClearAction,"[""index""]={20203,1}",
20205,2,,,,ClearAction,"[""index""]={20203,2}",
20205,3,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20205,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20205,5,,,,AddListen,["listen"]=20209,
20205,6,,,,ClearAction,"[""index""]={10201,1}",
20205,7,,,,ClearAction,"[""index""]={10201,2}",
20208,1,,FinishTask,"[""finishTask""]={1005,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20208,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20208,3,,,,AddListen,["listen"]=20209,
20208,4,,,,DeleteListen,["listen"]=20203,
20209,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20205,3}",
20209,2,,,,ClearAction,"[""index""]={20205,4}",
20209,3,,,,ClearAction,"[""index""]={10202,1}",
20209,4,,,,ClearAction,"[""index""]={10202,2}",
20209,5,,,,Record,"[""key""]=""30003"",[""value""]=""1""",
20209,6,,,,AddListen,["listen"]=20301,
20209,7,,,,ClearAction,"[""index""]={20208,1}",
20209,8,,,,ClearAction,"[""index""]={20208,2}",
20209,9,,,,AddListen,["listen"]=20308,
20209,10,,,,ClearAction,"[""index""]={20201,1}",
20209,11,,,,ClearAction,"[""index""]={20201,2}",
#,,,,,,,
#宠物升级,,,,,,,
10301,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30003"", ""1""},{""30004"", ""NULL""}},[""finishTask""]={1007,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10301,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10301,3,,,,AddListen,["listen"]=20303,
10302,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30003"", ""1""},{""30004"", ""NULL""}},[""finishTask""]={1007,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10302,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10302,3,,,,AddListen,["listen"]=20309,
20301,1,,AcceptTask,["taskId"]=1007,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20301,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20301,3,,,,AddListen,["listen"]=20303,
20303,1,,UIShow,["windowName"] = "PetFrame",AnimTips,"[""window""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20303,2,,,,AddListen,["listen"]=20305,
20305,1,,FinishTask,"[""finishTask""]={1007,true}",ClearAction,"[""index""]={20303,1}",
20305,2,,,,ClearAction,"[""index""]={20303,2}",
20305,3,,,,ClearAction,"[""index""]={10301,1}",
20305,4,,,,ClearAction,"[""index""]={10301,2}",
20305,5,,,,ClearAction,"[""index""]={20301,1}",
20305,6,,,,ClearAction,"[""index""]={20301,2}",
20305,7,,,,MovableAnimTips,"[""window""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/btn_close"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20305,8,,,,AnimTips,"[""window""]=""PetFrame/btn_close"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20305,9,,,,AddListen,["listen"]=20307,
20307,1,,BeforeWindowClose,["window"] = "PetFrame",ClearAction,"[""index""]={20305,7}",
20307,2,,,,ClearAction,"[""index""]={20305,8}",
20307,3,,,,MovableAnimTips,"[""window""]=""PetFrame/btn_close"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20307,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20307,5,,,,AddListen,["listen"]=20309,
20307,6,,,,ClearAction,"[""index""]={20308,1}",
20307,7,,,,ClearAction,"[""index""]={20308,2}",
20308,1,,FinishTask,"[""finishTask""]={1007,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20308,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20308,3,,,,AddListen,["listen"]=20309,
20308,4,,,,ClearAction,"[""index""]={20301,1}",
20308,5,,,,ClearAction,"[""index""]={20301,2}",
20308,6,,,,DeleteListen,["listen"]=20303,
20309,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20307,3}",
20309,2,,,,ClearAction,"[""index""]={20307,4}",
20309,3,,,,ClearAction,"[""index""]={10302,1}",
20309,4,,,,ClearAction,"[""index""]={10302,2}",
20309,5,,,,Record,"[""key""]=""30004"",[""value""]=""1""",
20309,6,,,,AddListen,["listen"]=20401,
20309,7,,,,ClearAction,"[""index""]={20308,1}",
20309,8,,,,ClearAction,"[""index""]={20308,2}",
20309,9,,,,AddListen,["listen"]=20408,
#,,,,,,,
#技能升级4次,,,,,,,
10401,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30004"", ""1""},{""30005"", ""NULL""}},[""finishTask""]={1009,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10401,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10401,3,,,,AddListen,["listen"]=20403,
10402,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30004"", ""1""},{""30005"", ""NULL""}},[""finishTask""]={1009,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10402,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10402,3,,,,AddListen,["listen"]=20409,
20401,1,,AcceptTask,["taskId"]=1009,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20401,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20401,3,,,,AddListen,["listen"]=20403,
20403,1,,UIShow,["windowName"] = "RoleFrame",AnimTips,"[""window""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20403,2,,,,AddListen,["listen"]=20405,
20405,1,,FinishTask,"[""finishTask""]={1009,true}",ClearAction,"[""index""]={20403,1}",
20405,2,,,,ClearAction,"[""index""]={20403,2}",
20405,3,,,,ClearAction,"[""index""]={10401,1}",
20405,4,,,,ClearAction,"[""index""]={10401,2}",
20405,5,,,,ClearAction,"[""index""]={20401,1}",
20405,6,,,,ClearAction,"[""index""]={20401,2}",
20405,7,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_bottom/btn_back"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20405,8,,,,AnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20405,9,,,,AddListen,["listen"]=20407,
20407,1,,BeforeWindowClose,["window"] = "RoleFrame",ClearAction,"[""index""]={20405,7}",
20407,2,,,,ClearAction,"[""index""]={20405,8}",
20407,3,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20407,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20407,5,,,,AddListen,["listen"]=20409,
20407,6,,,,ClearAction,"[""index""]={20408,1}",
20407,7,,,,ClearAction,"[""index""]={20408,2}",
20408,1,,FinishTask,"[""finishTask""]={1009,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20408,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20408,3,,,,AddListen,["listen"]=20409,
20408,4,,,,ClearAction,"[""index""]={20401,1}",
20408,5,,,,ClearAction,"[""index""]={20401,2}",
20408,6,,,,DeleteListen,["listen"]=20403,
20409,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20407,3}",
20409,2,,,,ClearAction,"[""index""]={20407,4}",
20409,3,,,,ClearAction,"[""index""]={10402,1}",
20409,4,,,,ClearAction,"[""index""]={10402,2}",
20409,5,,,,Record,"[""key""]=""30005"",[""value""]=""1""",
20409,6,,,,AddListen,["listen"]=20501,
20409,7,,,,ClearAction,"[""index""]={20408,1}",
20409,8,,,,ClearAction,"[""index""]={20408,2}",
20409,9,,,,AddListen,["listen"]=20508,
#,,,,,,,
#东海龙宫1~2,,,,,,,
10501,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30005"", ""1""},{""30006"", ""NULL""}},[""finishTask""]={1011,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10501,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10501,3,,,,AddListen,["listen"]=20503,
10502,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30005"", ""1""},{""30006"", ""NULL""}},[""finishTask""]={1011,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10502,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10502,3,,,,AddListen,["listen"]=20509,
20501,1,,AcceptTask,["taskId"]=1011,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20501,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20501,3,,,,AddListen,["listen"]=20503,
20503,1,,UIShow,["windowName"] = "CampaignBossFrame",AnimTips,"[""window""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20503,2,,,,AddListen,["listen"]=20505,
20505,1,,FinishTask,"[""finishTask""]={1011,true}",ClearAction,"[""index""]={20503,1}",
20505,2,,,,ClearAction,"[""index""]={20503,2}",
20505,3,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20505,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20505,5,,,,AddListen,["listen"]=20509,
20505,6,,,,ClearAction,"[""index""]={10501,1}",
